time,San Antonio,pts.away,score,pts.home,Denver
11:21.0,,,61-61,,W. Chandler misses 2-pt shot from 7 ft
11:21.0,Defensive rebound by D. Bertans,,61-61,,
11:20.0,Turnover by D. Murray (out of bounds lost ball),,61-61,,
11:09.0,,,61-63,2,G. Harris makes 2-pt shot from 1 ft
11:08.0,San Antonio full timeout,,61-63,,
11:08.0,T. Parker enters the game for D. Murray,,61-63,,
10:50.0,P. Gasol makes 2-pt shot from 1 ft (assist by D. Bertans),2,63-63,,
10:40.0,,,63-65,2,N. Jokic makes 2-pt shot from 2 ft (assist by G. Harris)
10:40.0,,,63-65,,Shooting foul by D. Green (drawn by N. Jokic)
10:40.0,,,63-66,1,N. Jokic makes free throw 1 of 1
10:25.0,P. Gasol makes 2-pt shot from 1 ft (assist by T. Parker),2,65-66,,
10:04.0,,,65-68,2,J. Murray makes 2-pt shot from 4 ft (assist by N. Jokic)
9:48.0,P. Gasol makes 2-pt shot from 9 ft (assist by T. Parker),2,67-68,,
9:29.0,,,67-68,,W. Chandler misses 3-pt shot from 22 ft
9:27.0,Defensive rebound by D. Green,,67-68,,
9:08.0,Turnover by P. Gasol (lost ball; steal by J. Murray),,67-68,,
9:01.0,,,67-71,3,N. Jokic makes 3-pt shot from 24 ft (assist by W. Barton)
8:44.0,P. Gasol misses 2-pt shot from 14 ft,,67-71,,
8:41.0,,,67-71,,Defensive rebound by W. Chandler
8:36.0,,,67-71,,G. Harris misses 3-pt shot from 22 ft
8:30.0,Defensive rebound by P. Gasol,,67-71,,
8:27.0,,,67-71,,Personal foul by J. Murray (drawn by T. Parker)
8:27.0,J. Lauvergne enters the game for K. Anderson,,67-71,,
8:27.0,M. Ginobili enters the game for D. Green,,67-71,,
8:27.0,P. Mills enters the game for P. Gasol,,67-71,,
8:27.0,B. Forbes enters the game for D. Bertans,,67-71,,
8:23.0,T. Parker misses 2-pt shot from 19 ft,,67-71,,
8:19.0,,,67-71,,Defensive rebound by W. Barton
8:15.0,,,67-71,,W. Barton misses 3-pt shot from 26 ft
8:12.0,Defensive rebound by J. Lauvergne,,67-71,,
7:59.0,B. Forbes makes 2-pt shot from 15 ft (assist by P. Mills),2,69-71,,
7:38.0,,,69-71,,N. Jokic misses 2-pt shot from 5 ft
7:36.0,Defensive rebound by B. Forbes,,69-71,,
7:23.0,Shooting foul by J. Murray (drawn by M. Ginobili),,69-71,,
7:23.0,M. Ginobili makes free throw 1 of 2,1,70-71,,
7:23.0,D. Murray enters the game for T. Parker,,70-71,,
7:23.0,M. Ginobili makes free throw 2 of 2,1,71-71,,
7:11.0,,,71-73,2,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic)
6:57.0,B. Forbes misses 2-pt shot from 12 ft,,71-73,,
6:52.0,Offensive rebound by J. Lauvergne,,71-73,,
6:52.0,J. Lauvergne makes 2-pt shot at rim,2,73-73,,
6:41.0,,,73-75,2,N. Jokic makes 2-pt shot from 5 ft
6:22.0,P. Mills misses 2-pt shot from 19 ft,,73-75,,
6:19.0,,,73-75,,Defensive rebound by N. Jokic
6:10.0,,,73-77,2,J. Murray makes 2-pt shot from 17 ft
5:59.0,D. Murray misses 2-pt shot from 12 ft,,73-77,,
5:55.0,Offensive rebound by J. Lauvergne,,73-77,,
5:55.0,J. Lauvergne misses 2-pt shot at rim,,73-77,,
5:54.0,Offensive rebound by D. Murray,,73-77,,
5:53.0,D. Murray makes 2-pt shot from 1 ft,2,75-77,,
5:50.0,Personal take foul by D. Murray (drawn by J. Murray),,75-77,,
5:50.0,D. Green enters the game for M. Ginobili,,75-77,,
5:50.0,,,75-77,,D. Harris enters the game for W. Barton
5:39.0,,,75-77,,G. Harris misses 2-pt shot from 9 ft
5:36.0,Defensive rebound by J. Lauvergne,,75-77,,
5:30.0,P. Mills misses 3-pt shot from 24 ft (block by W. Chandler),,75-77,,
5:26.0,,,75-77,,Defensive rebound by N. Jokic
5:24.0,,,75-79,2,W. Chandler makes 2-pt shot from 2 ft (assist by N. Jokic)
5:14.0,B. Forbes misses 2-pt shot from 12 ft,,75-79,,
5:11.0,,,75-79,,Defensive rebound by D. Harris
4:55.0,,,75-79,,D. Harris misses 3-pt shot from 24 ft
4:52.0,Defensive rebound by D. Murray,,75-79,,
4:52.0,,,75-79,,Personal take foul by D. Harris (drawn by D. Murray)
4:34.0,J. Lauvergne makes 2-pt shot from 1 ft,2,77-79,,
4:18.0,Personal block foul by D. Murray (drawn by W. Chandler),,77-79,,
4:12.0,,,77-79,,N. Jokic misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by Team,,77-79,,
3:59.0,D. Murray misses 2-pt shot from 2 ft,,77-79,,
3:56.0,Offensive rebound by D. Murray,,77-79,,
3:55.0,,,77-79,,Violation by N. Jokic (kicked ball)
3:49.0,,,77-79,,Personal foul by G. Harris (drawn by P. Mills)
3:38.0,D. Murray misses 2-pt shot from 1 ft,,77-79,,
3:35.0,Offensive rebound by J. Lauvergne,,77-79,,
3:35.0,J. Lauvergne makes 2-pt shot at rim,2,79-79,,
3:26.0,,,79-79,,Turnover by J. Murray (lost ball; steal by D. Green)
