time,Denver,pts.away,score,pts.home,LA Clippers
4:28.0,,,15-17,,L. Williams misses 2-pt shot from 5 ft
4:26.0,,,15-17,,Offensive rebound by Team
4:22.0,,,15-17,,B. Griffin misses 2-pt shot from 2 ft
4:17.0,,,15-17,,Offensive rebound by B. Griffin
4:17.0,,,15-19,2,B. Griffin makes 2-pt shot at rim
3:54.0,W. Chandler misses 2-pt shot from 7 ft,,15-19,,
3:47.0,Offensive rebound by M. Beasley,,15-19,,
3:47.0,M. Beasley makes 2-pt shot at rim,2,17-19,,
3:38.0,,,17-21,2,B. Griffin makes 2-pt shot from 1 ft (assist by L. Williams)
3:28.0,N. Jokic makes 2-pt shot from 1 ft (assist by T. Lyles),2,19-21,,
3:28.0,Shooting foul by M. Harrell (drawn by N. Jokic),,19-21,,
3:28.0,,,19-21,,J. Evans enters the game for L. Williams
3:28.0,R. Jefferson enters the game for W. Chandler,,19-21,,
3:28.0,N. Jokic makes free throw 1 of 1,1,20-21,,
3:09.0,,,20-23,2,T. Wallace makes 2-pt shot at rim (assist by B. Griffin)
2:52.0,T. Lyles misses 2-pt shot from 10 ft,,20-23,,
2:50.0,,,20-23,,Defensive rebound by B. Griffin
2:46.0,,,20-23,,W. Johnson misses 3-pt shot from 23 ft
2:36.0,,,20-23,,Offensive rebound by B. Griffin
2:36.0,,,20-23,,B. Griffin misses 2-pt shot at rim
2:36.0,,,20-23,,Offensive rebound by B. Griffin
2:34.0,,,20-23,,Turnover by W. Johnson (bad pass; steal by M. Beasley)
2:28.0,W. Barton makes 2-pt shot at rim (assist by N. Jokic),2,22-23,,
2:20.0,,,22-23,,Turnover by T. Wallace (lost ball; steal by M. Beasley)
2:12.0,M. Beasley makes 2-pt shot at rim (assist by W. Barton),2,24-23,,
1:47.0,,,24-25,2,B. Griffin makes 2-pt shot from 1 ft
1:35.0,T. Lyles misses 3-pt shot from 26 ft,,24-25,,
1:31.0,,,24-25,,Defensive rebound by M. Harrell
1:25.0,,,24-25,,Turnover by T. Wallace (out of bounds lost ball)
1:25.0,Denver full timeout,,24-25,,
1:25.0,,,24-25,,S. Dekker enters the game for B. Griffin
1:25.0,E. Mudiay enters the game for W. Barton,,24-25,,
1:25.0,K. Faried enters the game for N. Jokic,,24-25,,
1:12.0,T. Lyles misses 2-pt shot from 21 ft,,24-25,,
1:07.0,Offensive rebound by K. Faried,,24-25,,
1:06.0,K. Faried misses 2-pt shot from 9 ft,,24-25,,
1:06.0,,,24-25,,Defensive rebound by M. Harrell
0:46.0,,,24-27,2,S. Dekker makes 2-pt shot from 2 ft (assist by J. Evans)
0:33.0,E. Mudiay makes 3-pt shot from 25 ft (assist by M. Beasley),3,27-27,,
0:19.0,,,27-29,2,S. Dekker makes 2-pt shot from 1 ft (assist by J. Evans)
0:00.0,E. Mudiay misses 2-pt shot from 6 ft,,27-29,,
0:00.0,,,27-29,,Defensive rebound by M. Harrell
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,27-31,2,J. Evans makes 2-pt shot from 17 ft
11:37.0,Turnover by E. Mudiay (lost ball; steal by S. Dekker),,27-31,,
11:35.0,,,27-31,,Turnover by S. Dekker (out of bounds lost ball)
11:18.0,T. Lyles makes 2-pt shot at rim (assist by R. Jefferson),2,29-31,,
11:06.0,,,29-33,2,M. Harrell makes 2-pt shot from 3 ft
11:06.0,Violation by K. Faried (def goaltending),,29-33,,
10:53.0,G. Harris makes 2-pt shot from 10 ft,2,31-33,,
10:42.0,,,31-35,2,M. Harrell makes 2-pt shot from 1 ft (assist by M. Teodosic)
10:30.0,G. Harris misses 3-pt shot from 25 ft,,31-35,,
10:28.0,,,31-35,,Defensive rebound by W. Johnson
10:19.0,,,31-35,,M. Harrell misses 2-pt shot from 5 ft
10:17.0,Defensive rebound by T. Lyles,,31-35,,
10:13.0,,,31-35,,Personal foul by M. Teodosic (drawn by T. Lyles)
10:07.0,Offensive foul by K. Faried (drawn by M. Harrell),,31-35,,
10:07.0,Turnover by K. Faried (offensive foul),,31-35,,
9:44.0,,,31-37,2,M. Harrell makes 2-pt shot from 7 ft
9:44.0,,,31-37,,Shooting foul by K. Faried (drawn by M. Harrell)
9:44.0,,,31-37,,M. Harrell misses free throw 1 of 1
9:42.0,Defensive rebound by K. Faried,,31-37,,
9:30.0,T. Lyles makes 2-pt shot from 13 ft (assist by E. Mudiay),2,33-37,,
9:08.0,,,33-37,,M. Teodosic misses 3-pt shot from 25 ft
9:05.0,,,33-37,,Offensive rebound by S. Dekker
8:55.0,,,33-37,,W. Johnson misses 3-pt shot from 25 ft
8:52.0,Defensive rebound by K. Faried,,33-37,,
8:46.0,T. Lyles makes 2-pt shot at rim (assist by G. Harris),2,35-37,,
8:32.0,,,35-40,3,W. Johnson makes 3-pt shot from 22 ft (assist by S. Dekker)
8:30.0,Denver full timeout,,35-40,,
8:30.0,,,35-40,,L. Williams enters the game for W. Johnson
8:17.0,Shooting foul by M. Harrell (drawn by T. Lyles),,35-40,,
8:17.0,T. Lyles makes free throw 1 of 2,1,36-40,,
8:17.0,T. Lyles makes free throw 2 of 2,1,37-40,,
8:05.0,,,37-40,,Turnover by L. Williams (out of bounds lost ball)
8:05.0,W. Chandler enters the game for R. Jefferson,,37-40,,
7:55.0,K. Faried makes 2-pt shot from 1 ft (assist by E. Mudiay),2,39-40,,
7:47.0,,,39-42,2,M. Harrell makes 2-pt shot from 1 ft (assist by J. Evans)
7:27.0,T. Lyles misses 3-pt shot from 25 ft,,39-42,,
7:26.0,,,39-42,,Defensive rebound by Team
7:26.0,,,39-42,,B. Griffin enters the game for J. Evans
7:26.0,,,39-42,,T. Wallace enters the game for S. Dekker
7:12.0,,,39-42,,B. Griffin misses 2-pt shot from 4 ft
7:08.0,,,39-42,,Offensive rebound by B. Griffin
7:07.0,,,39-42,,B. Griffin misses 2-pt shot from 4 ft
7:05.0,Defensive rebound by T. Lyles,,39-42,,
6:58.0,E. Mudiay misses 2-pt shot from 1 ft,,39-42,,
6:55.0,Offensive rebound by K. Faried,,39-42,,
6:55.0,K. Faried misses 2-pt shot from 2 ft (block by T. Wallace),,39-42,,
6:55.0,,,39-42,,Defensive rebound by M. Teodosic
6:50.0,,,39-42,,L. Williams misses 3-pt shot from 25 ft
6:46.0,,,39-42,,Offensive rebound by M. Harrell
6:45.0,,,39-42,,Turnover by M. Harrell (bad pass; steal by G. Harris)
6:42.0,Shooting foul by L. Williams (drawn by E. Mudiay),,39-42,,
6:42.0,E. Mudiay makes free throw 1 of 2,1,40-42,,
6:42.0,,,40-42,,W. Reed enters the game for M. Harrell
6:42.0,N. Jokic enters the game for T. Lyles,,40-42,,
6:42.0,M. Plumlee enters the game for K. Faried,,40-42,,
6:42.0,E. Mudiay makes free throw 2 of 2,1,41-42,,
6:27.0,,,41-42,,T. Wallace misses 3-pt shot from 22 ft
6:22.0,Defensive rebound by N. Jokic,,41-42,,
6:17.0,G. Harris misses 3-pt shot from 24 ft,,41-42,,
6:13.0,,,41-42,,Defensive rebound by B. Griffin
6:12.0,,,41-42,,Turnover by B. Griffin (bad pass; steal by G. Harris)
6:07.0,G. Harris makes 3-pt shot from 24 ft,3,44-42,,
5:51.0,,,44-42,,Turnover by W. Reed (bad pass; steal by M. Plumlee)
5:40.0,G. Harris makes 2-pt shot from 2 ft (assist by M. Plumlee),2,46-42,,
5:31.0,,,46-44,2,L. Williams makes 2-pt shot from 6 ft
5:17.0,Shooting foul by W. Reed (drawn by G. Harris),,46-44,,
5:17.0,G. Harris makes free throw 1 of 2,1,47-44,,
5:17.0,W. Barton enters the game for E. Mudiay,,47-44,,
5:17.0,G. Harris makes free throw 2 of 2,1,48-44,,
5:02.0,,,48-46,2,B. Griffin makes 2-pt shot at rim
5:02.0,,,48-46,,Shooting foul by M. Plumlee (drawn by B. Griffin)
5:02.0,,,48-46,,B. Griffin misses free throw 1 of 1
4:59.0,Defensive rebound by M. Plumlee,,48-46,,
4:44.0,M. Plumlee makes 2-pt shot from 2 ft (assist by W. Chandler),2,50-46,,
4:36.0,,,50-46,,W. Reed misses 2-pt shot from 1 ft
4:33.0,Defensive rebound by W. Chandler,,50-46,,
4:14.0,M. Plumlee misses 2-pt shot from 1 ft (block by W. Reed),,50-46,,
4:13.0,Offensive rebound by M. Plumlee,,50-46,,
4:13.0,Turnover by Team (shot clock),,50-46,,
4:13.0,,,50-46,,LA Clippers full timeout
4:04.0,,,50-46,,Turnover by M. Teodosic (bad pass; steal by G. Harris)
4:00.0,W. Chandler misses 2-pt shot from 13 ft,,50-46,,
3:58.0,Offensive rebound by Team,,50-46,,
3:44.0,M. Plumlee makes 2-pt shot from 1 ft (assist by W. Barton),2,52-46,,
3:23.0,,,52-48,2,B. Griffin makes 2-pt shot from 3 ft
2:57.0,G. Harris misses 2-pt shot from 9 ft,,52-48,,
2:52.0,,,52-48,,Defensive rebound by L. Williams
2:46.0,,,52-48,,L. Williams misses 3-pt shot from 27 ft
2:43.0,Defensive rebound by M. Plumlee,,52-48,,
2:30.0,N. Jokic misses 2-pt shot from 4 ft,,52-48,,
2:29.0,Offensive rebound by N. Jokic,,52-48,,
2:29.0,N. Jokic makes 2-pt shot from 4 ft,2,54-48,,
2:29.0,Shooting foul by W. Reed (drawn by N. Jokic),,54-48,,
2:29.0,,,54-48,,W. Johnson enters the game for M. Teodosic
2:29.0,N. Jokic makes free throw 1 of 1,1,55-48,,
2:07.0,,,55-48,,Turnover by W. Reed (lost ball; steal by G. Harris)
1:55.0,,,55-48,,M. Harrell enters the game for W. Reed
1:52.0,G. Harris makes 2-pt shot from 15 ft (assist by W. Chandler),2,57-48,,
1:34.0,,,57-48,,B. Griffin misses 2-pt shot at rim
1:31.0,Defensive rebound by M. Plumlee,,57-48,,
1:24.0,,,57-48,,Violation by B. Griffin (kicked ball)
1:17.0,Turnover by G. Harris (bad pass),,57-48,,
1:09.0,,,57-48,,L. Williams misses 2-pt shot from 7 ft
1:01.0,,,57-48,,Offensive rebound by L. Williams
1:01.0,,,57-50,2,L. Williams makes 2-pt shot at rim
0:46.0,N. Jokic misses 3-pt shot from 26 ft,,57-50,,
0:44.0,Offensive rebound by Team,,57-50,,
0:36.0,N. Jokic misses 3-pt shot from 24 ft,,57-50,,
0:33.0,,,57-50,,Defensive rebound by T. Wallace
0:12.0,,,57-50,,Turnover by L. Williams (lost ball; steal by M. Plumlee)
0:02.0,G. Harris misses 2-pt shot from 10 ft,,57-50,,
0:00.0,Offensive rebound by W. Barton,,57-50,,
0:00.0,W. Barton makes 2-pt shot at rim,2,59-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,59-50,,B. Griffin misses 2-pt shot from 4 ft
11:39.0,Defensive rebound by W. Chandler,,59-50,,
11:35.0,Turnover by N. Jokic (out of bounds lost ball),,59-50,,
11:17.0,,,59-50,,B. Griffin misses 3-pt shot from 25 ft
11:15.0,Defensive rebound by W. Barton,,59-50,,
11:00.0,N. Jokic misses 2-pt shot from 2 ft,,59-50,,
10:58.0,,,59-50,,Defensive rebound by T. Wallace
10:52.0,,,59-50,,W. Reed misses 2-pt shot from 2 ft
10:50.0,Defensive rebound by M. Plumlee,,59-50,,
10:47.0,M. Plumlee makes 2-pt shot at rim (assist by G. Harris),2,61-50,,
10:33.0,,,61-52,2,L. Williams makes 2-pt shot from 1 ft
10:09.0,N. Jokic makes 3-pt shot from 24 ft (assist by G. Harris),3,64-52,,
9:55.0,,,64-55,3,M. Teodosic makes 3-pt shot from 25 ft (assist by B. Griffin)
9:41.0,Turnover by G. Harris (bad pass),,64-55,,
9:33.0,,,64-55,,Turnover by M. Teodosic (out of bounds lost ball)
9:18.0,Turnover by W. Chandler (out of bounds lost ball),,64-55,,
9:05.0,,,64-58,3,B. Griffin makes 3-pt shot from 25 ft (assist by L. Williams)
8:53.0,Turnover by W. Barton (lost ball; steal by M. Teodosic),,64-58,,
8:49.0,,,64-60,2,M. Teodosic makes 2-pt shot at rim
8:49.0,Denver full timeout,,64-60,,
8:35.0,W. Chandler misses 2-pt shot from 5 ft,,64-60,,
8:32.0,,,64-60,,Defensive rebound by T. Wallace
8:17.0,,,64-60,,W. Reed misses 2-pt shot from 1 ft (block by N. Jokic)
8:17.0,Defensive rebound by Team,,64-60,,
8:12.0,G. Harris misses 2-pt shot from 1 ft,,64-60,,
8:09.0,,,64-60,,Defensive rebound by T. Wallace
7:54.0,,,64-62,2,M. Teodosic makes 2-pt shot from 16 ft
7:42.0,Shooting foul by W. Reed (drawn by M. Plumlee),,64-62,,
7:42.0,M. Plumlee makes free throw 1 of 2,1,65-62,,
7:42.0,M. Plumlee misses free throw 2 of 2,,65-62,,
7:38.0,,,65-62,,Defensive rebound by T. Wallace
7:25.0,,,65-62,,L. Williams misses 3-pt shot from 25 ft
7:18.0,,,65-62,,Offensive rebound by W. Reed
7:18.0,,,65-64,2,W. Reed makes 2-pt shot at rim
7:12.0,Offensive foul by M. Plumlee (drawn by B. Griffin),,65-64,,
7:12.0,Turnover by M. Plumlee (offensive foul),,65-64,,
6:58.0,,,65-66,2,B. Griffin makes 2-pt shot at rim (assist by M. Teodosic)
6:47.0,Shooting foul by W. Reed (drawn by N. Jokic),,65-66,,
6:47.0,N. Jokic makes free throw 1 of 2,1,66-66,,
6:47.0,,,66-66,,M. Harrell enters the game for W. Reed
6:47.0,N. Jokic misses free throw 2 of 2,,66-66,,
6:44.0,,,66-66,,Defensive rebound by B. Griffin
6:32.0,,,66-68,2,T. Wallace makes 2-pt shot at rim (assist by B. Griffin)
6:31.0,Denver full timeout,,66-68,,
6:31.0,T. Lyles enters the game for N. Jokic,,66-68,,
6:14.0,W. Chandler makes 2-pt shot from 2 ft,2,68-68,,
5:51.0,,,68-68,,L. Williams misses 2-pt shot from 1 ft
5:47.0,Defensive rebound by M. Plumlee,,68-68,,
5:37.0,Turnover by W. Chandler (bad pass; steal by M. Harrell),,68-68,,
5:31.0,,,68-68,,M. Teodosic misses 3-pt shot from 24 ft
5:30.0,,,68-68,,Offensive rebound by M. Harrell
5:30.0,,,68-68,,M. Harrell misses 2-pt shot at rim (block by W. Barton)
5:30.0,,,68-68,,Offensive rebound by M. Harrell
5:30.0,,,68-68,,Shooting foul by T. Lyles (drawn by M. Harrell)
5:30.0,,,68-69,1,M. Harrell makes free throw 1 of 2
5:30.0,,,68-69,,W. Johnson enters the game for M. Teodosic
5:30.0,,,68-69,,M. Harrell misses free throw 2 of 2
5:25.0,Defensive rebound by T. Lyles,,68-69,,
5:25.0,Turnover by T. Lyles (bad pass),,68-69,,
5:19.0,,,68-69,,Turnover by B. Griffin (traveling)
5:09.0,,,68-69,,J. Evans enters the game for L. Williams
4:59.0,M. Plumlee makes 2-pt shot from 1 ft (assist by W. Barton),2,70-69,,
4:39.0,,,70-69,,Offensive foul by B. Griffin (drawn by M. Plumlee)
4:39.0,,,70-69,,Turnover by B. Griffin (offensive foul)
4:39.0,M. Beasley enters the game for G. Harris,,70-69,,
4:21.0,W. Barton makes 2-pt shot from 9 ft,2,72-69,,
4:03.0,,,72-69,,Turnover by B. Griffin (bad pass; steal by M. Plumlee)
3:50.0,T. Lyles makes 3-pt shot from 25 ft (assist by W. Barton),3,75-69,,
3:26.0,,,75-69,,M. Harrell misses 2-pt shot from 3 ft
3:24.0,Defensive rebound by M. Plumlee,,75-69,,
3:11.0,W. Barton makes 2-pt shot from 10 ft,2,77-69,,
3:03.0,Personal foul by W. Barton (drawn by J. Evans),,77-69,,
2:55.0,Personal block foul by M. Plumlee (drawn by B. Griffin),,77-69,,
2:55.0,,,77-69,,S. Dekker enters the game for B. Griffin
2:55.0,N. Jokic enters the game for M. Plumlee,,77-69,,
2:51.0,,,77-69,,T. Wallace misses 2-pt shot from 3 ft (block by N. Jokic)
2:51.0,,,77-69,,Offensive rebound by T. Wallace
2:47.0,,,77-69,,T. Wallace misses 2-pt shot from 5 ft
2:45.0,Defensive rebound by N. Jokic,,77-69,,
2:34.0,N. Jokic misses 2-pt shot from 5 ft,,77-69,,
2:34.0,Offensive rebound by W. Chandler,,77-69,,
2:32.0,W. Chandler makes 2-pt shot at rim,2,79-69,,
2:32.0,,,79-69,,LA Clippers full timeout
2:08.0,,,79-71,2,J. Evans makes 2-pt shot from 14 ft
1:40.0,W. Barton misses 2-pt shot from 8 ft,,79-71,,
1:37.0,,,79-71,,Defensive rebound by J. Evans
1:28.0,,,79-73,2,M. Harrell makes 2-pt shot from 1 ft (assist by T. Wallace)
1:28.0,,,79-73,,Shooting foul by T. Lyles (drawn by M. Harrell)
1:28.0,R. Jefferson enters the game for W. Chandler,,79-73,,
1:28.0,,,79-73,,M. Harrell misses free throw 1 of 1
1:28.0,Defensive rebound by Team,,79-73,,
1:16.0,T. Lyles misses 3-pt shot from 22 ft,,79-73,,
1:13.0,,,79-73,,Defensive rebound by J. Evans
1:09.0,,,79-76,3,T. Wallace makes 3-pt shot from 22 ft (assist by W. Johnson)
0:49.0,M. Beasley misses 3-pt shot from 24 ft,,79-76,,
0:49.0,,,79-76,,Defensive rebound by J. Evans
0:44.0,,,79-76,,T. Wallace misses 2-pt shot from 1 ft (block by W. Barton)
0:44.0,,,79-76,,Offensive rebound by Team
0:43.0,,,79-76,,L. Williams enters the game for T. Wallace
0:43.0,E. Mudiay enters the game for W. Barton,,79-76,,
0:41.0,,,79-79,3,L. Williams makes 3-pt shot from 25 ft (assist by W. Johnson)
0:32.0,E. Mudiay misses 2-pt shot at rim,,79-79,,
0:30.0,,,79-79,,Defensive rebound by J. Evans
0:26.0,,,79-79,,M. Harrell misses 2-pt shot from 2 ft
0:24.0,,,79-79,,Offensive rebound by W. Johnson
0:24.0,,,79-79,,Shooting foul by R. Jefferson (drawn by M. Harrell)
0:24.0,,,79-80,1,M. Harrell makes free throw 1 of 2
0:24.0,,,79-80,,S. Thornwell enters the game for L. Williams
0:24.0,,,79-80,,M. Harrell misses free throw 2 of 2
0:22.0,Defensive rebound by R. Jefferson,,79-80,,
0:03.0,E. Mudiay makes 2-pt shot from 11 ft,2,81-80,,
0:00.0,,,81-80,,J. Evans misses 3-pt shot from 29 ft
0:00.0,,,81-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,N. Jokic makes 2-pt shot from 11 ft,2,83-80,,
11:25.0,,,83-80,,W. Johnson misses 3-pt shot from 24 ft
11:23.0,Defensive rebound by G. Harris,,83-80,,
11:16.0,Turnover by G. Harris (lost ball; steal by S. Dekker),,83-80,,
11:12.0,,,83-82,2,J. Evans makes 2-pt shot from 1 ft (assist by W. Johnson)
10:51.0,E. Mudiay misses 3-pt shot from 25 ft,,83-82,,
10:48.0,Offensive rebound by T. Lyles,,83-82,,
10:41.0,N. Jokic misses 3-pt shot from 24 ft,,83-82,,
10:37.0,Offensive rebound by T. Lyles,,83-82,,
10:28.0,,,83-82,,Personal foul by J. Evans (drawn by N. Jokic)
10:20.0,E. Mudiay misses 2-pt shot at rim (block by M. Harrell),,83-82,,
10:13.0,Offensive rebound by E. Mudiay,,83-82,,
10:13.0,E. Mudiay misses 2-pt shot at rim,,83-82,,
10:12.0,,,83-82,,Defensive rebound by M. Harrell
10:10.0,,,83-82,,L. Williams misses 3-pt shot from 24 ft
10:06.0,Defensive rebound by R. Jefferson,,83-82,,
10:01.0,N. Jokic makes 2-pt shot from 1 ft (assist by E. Mudiay),2,85-82,,
9:51.0,,,85-82,,L. Williams misses 2-pt shot from 1 ft (block by E. Mudiay)
9:49.0,,,85-82,,Offensive rebound by L. Williams
9:49.0,,,85-82,,L. Williams misses 2-pt shot from 1 ft (block by T. Lyles)
9:49.0,Defensive rebound by N. Jokic,,85-82,,
9:49.0,,,85-82,,Personal foul by L. Williams (drawn by N. Jokic)
9:35.0,E. Mudiay makes 2-pt shot from 11 ft (assist by N. Jokic),2,87-82,,
9:22.0,Personal foul by G. Harris (drawn by J. Evans),,87-82,,
9:22.0,,,87-82,,B. Griffin enters the game for S. Dekker
9:22.0,,,87-82,,M. Teodosic enters the game for J. Evans
9:22.0,M. Plumlee enters the game for N. Jokic,,87-82,,
9:13.0,,,87-85,3,W. Johnson makes 3-pt shot from 25 ft (assist by L. Williams)
9:00.0,Turnover by M. Plumlee (bad pass; steal by M. Harrell),,87-85,,
8:58.0,,,87-85,,Shooting foul by M. Plumlee (drawn by W. Johnson)
8:58.0,,,87-86,1,W. Johnson makes free throw 1 of 2
8:58.0,,,87-87,1,W. Johnson makes free throw 2 of 2
8:44.0,Turnover by G. Harris (lost ball; steal by M. Teodosic),,87-87,,
8:43.0,,,87-89,2,M. Harrell makes 2-pt shot from 1 ft (assist by M. Teodosic)
8:43.0,,,87-89,,Shooting foul by T. Lyles (drawn by M. Harrell)
8:43.0,,,87-90,1,M. Harrell makes free throw 1 of 1
8:26.0,E. Mudiay makes 2-pt shot from 1 ft (assist by M. Plumlee),2,89-90,,
8:13.0,,,89-90,,M. Teodosic misses 3-pt shot from 25 ft
8:12.0,Defensive rebound by M. Plumlee,,89-90,,
7:55.0,T. Lyles misses 2-pt shot from 2 ft,,89-90,,
7:52.0,Offensive rebound by M. Plumlee,,89-90,,
7:52.0,M. Plumlee misses 2-pt shot from 1 ft,,89-90,,
7:52.0,Offensive rebound by M. Plumlee,,89-90,,
7:49.0,Turnover by M. Plumlee (bad pass; steal by L. Williams),,89-90,,
7:49.0,Personal foul by R. Jefferson (drawn by L. Williams),,89-90,,
7:49.0,W. Barton enters the game for G. Harris,,89-90,,
7:39.0,,,89-90,,Turnover by L. Williams (bad pass; steal by E. Mudiay)
7:36.0,Turnover by E. Mudiay (bad pass; steal by B. Griffin),,89-90,,
7:20.0,,,89-90,,W. Johnson misses 2-pt shot from 15 ft
7:15.0,Defensive rebound by E. Mudiay,,89-90,,
7:03.0,T. Lyles misses 2-pt shot from 1 ft,,89-90,,
7:02.0,Offensive rebound by R. Jefferson,,89-90,,
7:02.0,R. Jefferson misses 2-pt shot at rim,,89-90,,
7:02.0,Offensive rebound by Team,,89-90,,
6:50.0,E. Mudiay misses 2-pt shot from 13 ft,,89-90,,
6:50.0,Offensive rebound by M. Plumlee,,89-90,,
6:33.0,W. Barton makes 3-pt shot from 25 ft,3,92-90,,
6:17.0,,,92-92,2,L. Williams makes 2-pt shot from 18 ft
5:56.0,W. Barton makes 2-pt shot from 18 ft,2,94-92,,
