time,Chicago,pts.away,score,pts.home,Denver
1:00.0,J. Holiday makes 3-pt shot from 24 ft (assist by P. Zipser),3,34-24,,
0:48.0,,,34-27,3,T. Lyles makes 3-pt shot from 25 ft (assist by R. Jefferson)
0:30.0,J. Holiday makes 2-pt shot from 2 ft (assist by B. Portis),2,36-27,,
0:30.0,Shooting foul by W. Barton (drawn by J. Holiday),,36-27,,
0:30.0,J. Holiday makes free throw 1 of 1,1,37-27,,
0:19.0,,,37-30,3,E. Mudiay makes 3-pt shot from 24 ft
0:03.0,J. Grant makes 2-pt shot from 10 ft,2,39-30,,
0:00.0,,,39-30,,E. Mudiay misses 3-pt shot from 25 ft
0:00.0,,,39-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Personal foul by J. Grant (drawn by E. Mudiay),,39-30,,
11:46.0,Personal foul by A. Blakeney (drawn by R. Jefferson),,39-30,,
11:42.0,,,39-32,2,T. Lyles makes 2-pt shot from 3 ft (assist by M. Plumlee)
11:28.0,B. Portis misses 2-pt shot from 1 ft,,39-32,,
11:26.0,,,39-32,,Defensive rebound by T. Lyles
11:22.0,,,39-32,,E. Mudiay misses 2-pt shot from 9 ft
11:17.0,Defensive rebound by A. Blakeney,,39-32,,
11:07.0,A. Blakeney misses 3-pt shot from 24 ft,,39-32,,
11:05.0,,,39-32,,Defensive rebound by E. Mudiay
10:57.0,,,39-32,,W. Barton misses 3-pt shot from 26 ft
10:54.0,,,39-32,,Offensive rebound by Team
10:54.0,Personal foul by B. Portis (drawn by M. Plumlee),,39-32,,
10:45.0,,,39-32,,E. Mudiay misses 3-pt shot from 25 ft
10:40.0,,,39-32,,Offensive rebound by M. Plumlee
10:40.0,,,39-34,2,M. Plumlee makes 2-pt shot from 2 ft
10:12.0,P. Zipser makes 3-pt shot from 23 ft (assist by A. Blakeney),3,42-34,,
9:53.0,,,42-34,,R. Jefferson misses 2-pt shot from 3 ft
9:51.0,Defensive rebound by P. Zipser,,42-34,,
9:47.0,,,42-34,,Personal foul by M. Plumlee (drawn by P. Zipser)
9:32.0,D. Valentine misses 2-pt shot from 20 ft,,42-34,,
9:29.0,,,42-34,,Defensive rebound by W. Barton
9:14.0,,,42-34,,E. Mudiay misses 2-pt shot from 3 ft (block by B. Portis)
9:13.0,,,42-34,,Offensive rebound by Team
9:07.0,,,42-34,,M. Plumlee misses 2-pt shot from 11 ft
9:03.0,Defensive rebound by P. Zipser,,42-34,,
8:45.0,A. Blakeney misses 2-pt shot from 4 ft,,42-34,,
8:42.0,Offensive rebound by B. Portis,,42-34,,
8:42.0,B. Portis makes 2-pt shot from 3 ft,2,44-34,,
8:34.0,,,44-34,,Turnover by W. Barton (traveling)
8:24.0,D. Valentine makes 3-pt shot from 23 ft (assist by J. Grant),3,47-34,,
8:23.0,,,47-34,,Denver full timeout
8:23.0,,,47-34,,J. Hernangomez enters the game for E. Mudiay
8:23.0,,,47-34,,N. Jokic enters the game for T. Lyles
8:23.0,,,47-34,,J. Murray enters the game for R. Jefferson
8:23.0,,,47-34,,G. Harris enters the game for M. Plumlee
8:03.0,Jump ball: N. Jokic vs. B. Portis (J. Murray gains possession),,,,Jump ball: N. Jokic vs. B. Portis (J. Murray gains possession)
8:03.0,Personal foul by P. Zipser (drawn by J. Murray),,47-34,,
7:50.0,,,47-34,,W. Barton misses 3-pt shot from 22 ft
7:46.0,Defensive rebound by B. Portis,,47-34,,
7:36.0,J. Grant misses 2-pt shot from 16 ft,,47-34,,
7:32.0,,,47-34,,Defensive rebound by W. Barton
7:25.0,,,47-34,,N. Jokic misses 2-pt shot from 2 ft
7:23.0,,,47-34,,Offensive rebound by N. Jokic
7:21.0,,,47-36,2,W. Barton makes 2-pt shot from 19 ft (assist by N. Jokic)
7:06.0,B. Portis makes 2-pt shot from 15 ft (assist by J. Grant),2,49-36,,
6:45.0,,,49-36,,Turnover by J. Murray (bad pass; steal by D. Valentine)
6:40.0,Turnover by P. Zipser (bad pass; steal by W. Barton),,49-36,,
6:35.0,,,49-38,2,W. Barton makes 2-pt shot from 3 ft
6:25.0,Turnover by B. Portis (lost ball; steal by G. Harris),,49-38,,
6:20.0,Shooting block foul by P. Zipser (drawn by G. Harris),,49-38,,
6:20.0,,,49-38,,G. Harris misses free throw 1 of 2
6:20.0,,,49-38,,Offensive rebound by Team
6:20.0,L. Markkanen enters the game for J. Grant,,49-38,,
6:20.0,R. Lopez enters the game for B. Portis,,49-38,,
6:20.0,J. Holiday enters the game for A. Blakeney,,49-38,,
6:20.0,K. Dunn enters the game for P. Zipser,,49-38,,
6:20.0,,,49-39,1,G. Harris makes free throw 2 of 2
6:08.0,R. Lopez makes 2-pt shot from 3 ft (assist by J. Holiday),2,51-39,,
5:59.0,,,51-39,,G. Harris misses 3-pt shot from 24 ft
5:56.0,,,51-39,,Offensive rebound by J. Murray
5:52.0,Personal block foul by D. Valentine (drawn by G. Harris),,51-39,,
5:52.0,,,51-40,1,G. Harris makes free throw 1 of 2
5:52.0,,,51-40,,G. Harris misses free throw 2 of 2
5:49.0,Defensive rebound by R. Lopez,,51-40,,
5:31.0,L. Markkanen makes 2-pt shot from 1 ft (assist by R. Lopez),2,53-40,,
5:10.0,,,53-42,2,W. Barton makes 2-pt shot from 3 ft (assist by G. Harris)
4:55.0,Turnover by R. Lopez (lost ball; steal by W. Barton),,53-42,,
4:45.0,Personal foul by L. Markkanen (drawn by J. Hernangomez),,53-42,,
4:45.0,,,53-43,1,J. Hernangomez makes free throw 1 of 2
4:45.0,,,53-43,,J. Hernangomez misses free throw 2 of 2
4:42.0,Defensive rebound by R. Lopez,,53-43,,
4:27.0,K. Dunn makes 3-pt shot from 25 ft (assist by D. Valentine),3,56-43,,
4:14.0,,,56-45,2,W. Barton makes 2-pt shot from 2 ft (assist by N. Jokic)
4:08.0,,,56-45,,K. Faried enters the game for J. Hernangomez
4:06.0,J. Holiday makes 2-pt shot from 14 ft (assist by K. Dunn),2,58-45,,
3:42.0,,,58-48,3,G. Harris makes 3-pt shot from 24 ft (assist by N. Jokic)
3:28.0,R. Lopez makes 2-pt shot from 4 ft,2,60-48,,
3:03.0,,,60-50,2,K. Faried makes 2-pt shot from 7 ft
2:54.0,K. Dunn misses 2-pt shot from 20 ft,,60-50,,
2:52.0,,,60-50,,Defensive rebound by N. Jokic
2:37.0,,,60-52,2,N. Jokic makes 2-pt shot from 2 ft
2:37.0,Chicago full timeout,,60-52,,
2:24.0,Offensive foul by R. Lopez (drawn by N. Jokic),,60-52,,
2:24.0,Turnover by R. Lopez (offensive foul),,60-52,,
2:08.0,,,60-54,2,N. Jokic makes 2-pt shot from 3 ft
1:55.0,,,60-54,,Def 3 sec tech foul by N. Jokic
1:55.0,J. Holiday makes technical free throw,1,61-54,,
1:55.0,J. Grant enters the game for K. Dunn,,61-54,,
1:46.0,Shooting foul by N. Jokic (drawn by L. Markkanen),,61-54,,
1:46.0,L. Markkanen makes free throw 1 of 2,1,62-54,,
1:46.0,B. Portis enters the game for R. Lopez,,62-54,,
1:46.0,L. Markkanen makes free throw 2 of 2,1,63-54,,
1:31.0,,,63-54,,J. Murray misses 2-pt shot from 18 ft
1:27.0,,,63-54,,Offensive rebound by J. Murray
1:11.0,,,63-54,,N. Jokic misses 2-pt shot from 2 ft
1:07.0,,,63-54,,Offensive rebound by N. Jokic
1:07.0,,,63-56,2,N. Jokic makes 2-pt shot at rim
0:52.0,B. Portis makes 2-pt shot from 5 ft (assist by J. Grant),2,65-56,,
0:44.0,Personal foul by J. Grant (drawn by N. Jokic),,65-56,,
0:44.0,,,65-56,,Denver full timeout
0:44.0,,,65-57,1,N. Jokic makes free throw 1 of 2
0:44.0,,,65-58,1,N. Jokic makes free throw 2 of 2
0:43.0,,,65-58,,Personal take foul by K. Faried (drawn by J. Grant)
0:43.0,J. Grant misses free throw 1 of 2,,65-58,,
0:43.0,Offensive rebound by Team,,65-58,,
0:43.0,,,65-58,,J. Hernangomez enters the game for N. Jokic
0:43.0,P. Zipser enters the game for L. Markkanen,,65-58,,
0:43.0,J. Grant misses free throw 2 of 2,,65-58,,
0:41.0,,,65-58,,Defensive rebound by K. Faried
0:33.0,,,65-60,2,K. Faried makes 2-pt shot from 2 ft (assist by W. Barton)
0:28.0,P. Zipser makes 3-pt shot from 26 ft (assist by J. Grant),3,68-60,,
0:05.0,,,68-62,2,W. Barton makes 2-pt shot from 17 ft
0:01.0,D. Valentine misses 3-pt shot from 30 ft,,68-62,,
0:01.0,Offensive rebound by Team,,68-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,68-62,,Offensive foul by K. Faried (drawn by J. Holiday)
11:50.0,,,68-62,,Turnover by K. Faried (offensive foul)
11:32.0,Turnover by J. Holiday (lost ball; steal by G. Harris),,68-62,,
11:26.0,,,68-62,,W. Barton misses 2-pt shot from 1 ft
11:22.0,,,68-62,,Offensive rebound by K. Faried
11:22.0,,,68-64,2,K. Faried makes 2-pt shot at rim
11:07.0,L. Markkanen misses 2-pt shot from 9 ft,,68-64,,
11:05.0,,,68-64,,Defensive rebound by K. Faried
10:54.0,Personal foul by L. Markkanen (drawn by J. Hernangomez),,68-64,,
10:45.0,,,68-64,,Turnover by J. Murray (bad pass; steal by K. Dunn)
10:43.0,Shooting foul by J. Murray (drawn by K. Dunn),,68-64,,
10:43.0,K. Dunn misses free throw 1 of 2,,68-64,,
10:43.0,Offensive rebound by Team,,68-64,,
10:43.0,K. Dunn misses free throw 2 of 2,,68-64,,
10:41.0,,,68-64,,Defensive rebound by K. Faried
10:19.0,,,68-64,,J. Hernangomez misses 3-pt shot from 24 ft
10:16.0,Defensive rebound by K. Dunn,,68-64,,
10:08.0,D. Valentine makes 2-pt shot from 7 ft,2,70-64,,
9:54.0,,,70-66,2,G. Harris makes 2-pt shot from 2 ft (assist by K. Faried)
9:42.0,R. Lopez misses 2-pt shot from 11 ft,,70-66,,
9:39.0,,,70-66,,Defensive rebound by K. Faried
9:29.0,,,70-68,2,J. Murray makes 2-pt shot from 13 ft (assist by W. Barton)
9:09.0,L. Markkanen makes 2-pt shot from 8 ft,2,72-68,,
8:47.0,,,72-68,,J. Murray misses 2-pt shot from 13 ft
8:45.0,Defensive rebound by L. Markkanen,,72-68,,
8:31.0,Turnover by K. Dunn (bad pass; steal by W. Barton),,72-68,,
8:28.0,,,72-71,3,G. Harris makes 3-pt shot from 25 ft (assist by W. Barton)
8:26.0,Chicago full timeout,,72-71,,
8:07.0,L. Markkanen misses 2-pt shot from 5 ft,,72-71,,
8:05.0,Offensive rebound by L. Markkanen,,72-71,,
8:02.0,L. Markkanen makes 2-pt shot from 2 ft,2,74-71,,
7:49.0,,,74-71,,W. Barton misses 2-pt shot from 2 ft
7:47.0,Defensive rebound by D. Valentine,,74-71,,
7:40.0,Turnover by J. Holiday (step out of bounds),,74-71,,
7:27.0,,,74-71,,Shooting foul by K. Dunn (drawn by J. Murray)
7:27.0,,,74-72,1,J. Murray makes free throw 1 of 3
7:27.0,,,74-73,1,J. Murray makes free throw 2 of 3
7:27.0,,,74-74,1,J. Murray makes free throw 3 of 3
7:20.0,Turnover by R. Lopez (bad pass; steal by G. Harris),,74-74,,
7:18.0,Personal foul by K. Dunn (drawn by G. Harris),,74-74,,
7:18.0,J. Grant enters the game for K. Dunn,,74-74,,
7:06.0,,,74-74,,J. Murray misses 2-pt shot from 12 ft
7:06.0,,,74-74,,K. Faried misses 2-pt shot from 2 ft
7:06.0,Defensive rebound by J. Grant,,74-74,,
7:04.0,,,74-74,,Defensive rebound by K. Faried
6:47.0,L. Markkanen misses 2-pt shot from 4 ft,,74-74,,
6:47.0,Offensive rebound by R. Lopez,,74-74,,
6:47.0,R. Lopez makes 2-pt shot from 2 ft,2,76-74,,
6:47.0,Shooting foul by W. Barton (drawn by R. Lopez),,76-74,,
6:47.0,R. Lopez makes free throw 1 of 1,1,77-74,,
6:35.0,,,77-74,,Turnover by J. Hernangomez (traveling)
6:14.0,J. Holiday misses 2-pt shot from 19 ft,,77-74,,
6:14.0,,,77-74,,Defensive rebound by G. Harris
6:08.0,Personal foul by J. Grant (drawn by W. Barton),,77-74,,
6:01.0,,,77-76,2,G. Harris makes 2-pt shot from 17 ft
5:43.0,L. Markkanen misses 3-pt shot from 25 ft,,77-76,,
5:43.0,,,77-76,,Defensive rebound by K. Faried
5:31.0,,,77-76,,W. Barton misses 2-pt shot from 7 ft
5:31.0,Defensive rebound by Team,,77-76,,
5:18.0,D. Valentine misses 3-pt shot from 25 ft,,77-76,,
5:14.0,,,77-76,,Defensive rebound by J. Murray
4:57.0,,,77-76,,G. Harris misses 2-pt shot from 3 ft (block by L. Markkanen)
4:52.0,,,77-76,,Offensive rebound by K. Faried
4:52.0,,,77-78,2,K. Faried makes 2-pt shot at rim
4:38.0,Shooting foul by J. Murray (drawn by L. Markkanen),,77-78,,
4:38.0,L. Markkanen makes free throw 1 of 2,1,78-78,,
4:38.0,,,78-78,,M. Plumlee enters the game for K. Faried
4:38.0,P. Zipser enters the game for D. Valentine,,78-78,,
4:38.0,L. Markkanen makes free throw 2 of 2,1,79-78,,
4:31.0,,,79-78,,Shooting foul by J. Holiday (drawn by M. Plumlee)
4:31.0,,,79-78,,M. Plumlee misses free throw 1 of 2
4:31.0,,,79-78,,Offensive rebound by Team
4:31.0,,,79-78,,M. Plumlee misses free throw 2 of 2
4:27.0,Defensive rebound by L. Markkanen,,79-78,,
4:13.0,J. Grant makes 2-pt shot from 8 ft,2,81-78,,
3:51.0,,,81-81,3,W. Barton makes 3-pt shot from 25 ft (assist by J. Hernangomez)
3:26.0,L. Markkanen misses 2-pt shot from 11 ft (block by G. Harris),,81-81,,
3:26.0,,,81-81,,Defensive rebound by G. Harris
3:20.0,,,81-84,3,G. Harris makes 3-pt shot from 25 ft
2:54.0,J. Holiday makes 2-pt shot from 17 ft (assist by P. Zipser),2,83-84,,
2:41.0,,,83-87,3,W. Barton makes 3-pt shot from 25 ft (assist by G. Harris)
2:12.0,L. Markkanen misses 2-pt shot from 3 ft,,83-87,,
2:09.0,,,83-87,,Defensive rebound by M. Plumlee
1:57.0,,,83-87,,J. Murray misses 3-pt shot from 25 ft
1:52.0,Defensive rebound by L. Markkanen,,83-87,,
1:46.0,,,83-87,,Personal foul by J. Murray (drawn by J. Grant)
1:46.0,,,83-87,,Denver full timeout
1:46.0,,,83-87,,E. Mudiay enters the game for G. Harris
1:46.0,,,83-87,,T. Lyles enters the game for J. Murray
1:46.0,B. Portis enters the game for L. Markkanen,,83-87,,
1:37.0,P. Zipser makes 3-pt shot from 24 ft (assist by J. Grant),3,86-87,,
1:21.0,,,86-90,3,W. Barton makes 3-pt shot from 26 ft (assist by T. Lyles)
1:03.0,R. Lopez makes 2-pt shot from 5 ft (assist by J. Grant),2,88-90,,
0:44.0,,,88-90,,T. Lyles misses 2-pt shot from 8 ft
0:40.0,Defensive rebound by J. Grant,,88-90,,
0:33.0,R. Lopez misses 2-pt shot from 4 ft (block by M. Plumlee),,88-90,,
0:30.0,,,88-90,,Defensive rebound by J. Hernangomez
0:27.0,,,88-90,,E. Mudiay misses 3-pt shot from 25 ft
0:26.0,Defensive rebound by J. Grant,,88-90,,
0:26.0,,,88-90,,Personal foul by J. Hernangomez (drawn by J. Grant)
0:26.0,J. Grant makes free throw 1 of 2,1,89-90,,
0:26.0,J. Grant misses free throw 2 of 2,,89-90,,
0:24.0,,,89-90,,Defensive rebound by Team
0:24.0,Personal foul by R. Lopez (drawn by M. Plumlee),,89-90,,
0:24.0,,,89-90,,M. Plumlee misses free throw 1 of 2
0:24.0,,,89-90,,Offensive rebound by Team
0:24.0,,,89-91,1,M. Plumlee makes free throw 2 of 2
0:03.0,J. Grant makes 3-pt shot from 25 ft,3,92-91,,
0:00.0,,,92-91,,Turnover by W. Barton (turnover)
0:00.0,J. Holiday misses 3-pt shot from 24 ft,,92-91,,
0:00.0,Offensive rebound by Team,,92-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,P. Zipser misses 3-pt shot from 25 ft,,92-91,,
11:42.0,,,92-91,,Defensive rebound by M. Plumlee
11:25.0,,,92-91,,R. Jefferson misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by J. Grant,,92-91,,
11:16.0,J. Grant misses 2-pt shot from 6 ft,,92-91,,
11:14.0,,,92-91,,Defensive rebound by G. Harris
11:11.0,Personal take foul by P. Zipser (drawn by G. Harris),,92-91,,
10:49.0,,,92-91,,G. Harris misses 2-pt shot from 4 ft
10:47.0,Defensive rebound by D. Valentine,,92-91,,
10:42.0,Shooting foul by M. Plumlee (drawn by B. Portis),,92-91,,
10:42.0,B. Portis misses free throw 1 of 2,,92-91,,
10:42.0,Offensive rebound by Team,,92-91,,
10:42.0,B. Portis makes free throw 2 of 2,1,93-91,,
10:30.0,,,93-91,,G. Harris misses 3-pt shot from 25 ft
10:26.0,Defensive rebound by J. Grant,,93-91,,
10:16.0,B. Portis makes 2-pt shot from 20 ft (assist by J. Grant),2,95-91,,
9:54.0,,,95-91,,Turnover by E. Mudiay (bad pass)
9:46.0,P. Zipser misses 2-pt shot from 6 ft (block by T. Lyles),,95-91,,
9:43.0,,,95-91,,Defensive rebound by M. Plumlee
9:39.0,,,95-91,,Offensive charge foul by G. Harris (drawn by J. Grant)
9:39.0,,,95-91,,Turnover by G. Harris (offensive foul)
9:26.0,B. Portis misses 2-pt shot from 8 ft,,95-91,,
9:22.0,,,95-91,,Defensive rebound by T. Lyles
9:14.0,,,95-93,2,E. Mudiay makes 2-pt shot from 2 ft
8:52.0,J. Grant misses 3-pt shot from 24 ft,,95-93,,
8:49.0,,,95-93,,Defensive rebound by E. Mudiay
8:34.0,,,95-95,2,M. Plumlee makes 2-pt shot from 8 ft (assist by E. Mudiay)
8:16.0,B. Portis misses 2-pt shot from 7 ft,,95-95,,
8:14.0,,,95-95,,Defensive rebound by T. Lyles
8:08.0,,,95-95,,Shooting foul by A. Blakeney (drawn by E. Mudiay)
8:08.0,,,95-96,1,E. Mudiay makes free throw 1 of 2
8:08.0,,,95-97,1,E. Mudiay makes free throw 2 of 2
7:56.0,,,95-97,,Personal foul by M. Plumlee (drawn by D. Valentine)
7:56.0,K. Dunn enters the game for A. Blakeney,,95-97,,
7:44.0,P. Zipser makes 2-pt shot from 11 ft (assist by D. Valentine),2,97-97,,
7:31.0,,,97-97,,Shooting foul by P. Zipser (drawn by G. Harris)
7:31.0,,,97-98,1,G. Harris makes free throw 1 of 2
7:31.0,L. Markkanen enters the game for B. Portis,,97-98,,
7:31.0,,,97-99,1,G. Harris makes free throw 2 of 2
7:16.0,R. Lopez enters the game for P. Zipser,,97-99,,
7:08.0,Turnover by R. Lopez (turnover),,97-99,,
6:48.0,,,97-101,2,R. Jefferson makes 2-pt shot from 1 ft (assist by E. Mudiay)
6:48.0,Chicago full timeout,,97-101,,
6:48.0,J. Holiday enters the game for J. Grant,,97-101,,
6:31.0,Turnover by L. Markkanen (turnover),,97-101,,
6:20.0,,,97-101,,E. Mudiay misses 3-pt shot from 24 ft
6:15.0,Defensive rebound by J. Holiday,,97-101,,
6:07.0,J. Holiday misses 3-pt shot from 25 ft,,97-101,,
6:04.0,,,97-101,,Defensive rebound by M. Plumlee
5:56.0,,,97-101,,G. Harris misses 3-pt shot from 24 ft
5:52.0,Defensive rebound by K. Dunn,,97-101,,
5:45.0,K. Dunn makes 2-pt shot from 2 ft,2,99-101,,
5:45.0,Shooting foul by M. Plumlee (drawn by K. Dunn),,99-101,,
5:45.0,,,99-101,,J. Murray enters the game for E. Mudiay
5:45.0,,,99-101,,W. Barton enters the game for R. Jefferson
5:45.0,K. Dunn misses free throw 1 of 1,,99-101,,
5:41.0,,,99-101,,Defensive rebound by M. Plumlee
5:25.0,,,99-101,,G. Harris misses 2-pt shot from 2 ft
5:23.0,Defensive rebound by L. Markkanen,,99-101,,
5:17.0,J. Holiday misses 2-pt shot from 10 ft,,99-101,,
5:14.0,,,99-101,,Defensive rebound by M. Plumlee
5:04.0,,,99-101,,Turnover by W. Barton (bad pass; steal by J. Holiday)
4:58.0,L. Markkanen misses 3-pt shot from 25 ft,,99-101,,
4:53.0,,,99-101,,Defensive rebound by T. Lyles
4:32.0,,,99-101,,T. Lyles misses 3-pt shot from 25 ft
4:30.0,Defensive rebound by D. Valentine,,99-101,,
4:22.0,R. Lopez makes 2-pt shot from 3 ft (assist by D. Valentine),2,101-101,,
4:03.0,,,101-101,,Turnover by G. Harris (bad pass; steal by R. Lopez)
3:42.0,K. Dunn makes 2-pt shot from 9 ft,2,103-101,,
3:41.0,,,103-101,,Denver full timeout
3:41.0,,,103-101,,K. Faried enters the game for M. Plumlee
3:18.0,,,103-101,,J. Murray misses 2-pt shot from 3 ft
3:16.0,Defensive rebound by L. Markkanen,,103-101,,
2:57.0,Shooting foul by K. Faried (drawn by R. Lopez),,103-101,,
2:57.0,R. Lopez misses free throw 1 of 2,,103-101,,
