time,Miami,pts.away,score,pts.home,LA Lakers
11:23.0,K. Olynyk misses 2-pt shot from 2 ft (block by I. Zubac),,25-24,,
11:23.0,Offensive rebound by K. Olynyk,,25-24,,
11:23.0,,,25-24,,Personal foul by K. Kuzma (drawn by K. Olynyk)
11:16.0,K. Olynyk makes 3-pt shot from 24 ft (assist by T. Johnson),3,28-24,,
10:56.0,,,28-24,,Shooting foul by J. Winslow (drawn by T. Wear)
10:56.0,,,28-25,1,T. Wear makes free throw 1 of 2
10:56.0,,,28-26,1,T. Wear makes free throw 2 of 2
10:42.0,R. McGruder misses 2-pt shot from 3 ft,,28-26,,
10:40.0,,,28-26,,Defensive rebound by T. Wear
10:39.0,,,28-26,,Turnover by T. Wear (bad pass; steal by K. Olynyk)
10:38.0,,,28-26,,Personal foul by T. Ennis (drawn by K. Olynyk)
10:28.0,T. Johnson misses 2-pt shot from 9 ft,,28-26,,
10:25.0,,,28-26,,Defensive rebound by I. Zubac
10:11.0,,,28-28,2,T. Ennis makes 2-pt shot from 16 ft
9:56.0,,,28-28,,Def 3 sec tech foul by T. Ennis
9:56.0,W. Ellington makes technical free throw,1,29-28,,
9:48.0,J. Winslow misses 3-pt shot from 22 ft,,29-28,,
9:43.0,,,29-28,,Defensive rebound by I. Zubac
9:34.0,,,29-30,2,I. Zubac makes 2-pt shot from 1 ft (assist by I. Thomas)
9:15.0,T. Johnson misses 3-pt shot from 24 ft,,29-30,,
9:11.0,,,29-30,,Defensive rebound by T. Wear
9:02.0,,,29-30,,Turnover by I. Zubac (lost ball; steal by K. Olynyk)
8:52.0,,,29-30,,Personal foul by I. Thomas (drawn by R. McGruder)
8:42.0,K. Olynyk makes 3-pt shot from 24 ft (assist by T. Johnson),3,32-30,,
8:24.0,,,32-30,,T. Ennis misses 2-pt shot from 1 ft
8:22.0,Defensive rebound by J. Winslow,,32-30,,
8:19.0,R. McGruder misses 3-pt shot from 22 ft,,32-30,,
8:14.0,Offensive rebound by W. Ellington,,32-30,,
8:11.0,W. Ellington misses 2-pt shot from 12 ft,,32-30,,
8:11.0,,,32-30,,Defensive rebound by T. Ennis
7:52.0,,,32-30,,I. Thomas misses 2-pt shot from 10 ft (block by R. McGruder)
7:49.0,Defensive rebound by T. Johnson,,32-30,,
7:45.0,R. McGruder makes 2-pt shot from 2 ft (assist by J. Winslow),2,34-30,,
7:35.0,,,34-30,,LA Lakers full timeout
7:35.0,,,34-30,,B. Lopez enters the game for T. Wear
7:35.0,,,34-30,,L. Ball enters the game for I. Zubac
7:35.0,J. Johnson enters the game for J. Winslow,,34-30,,
7:21.0,,,34-30,,Turnover by T. Ennis (lost ball; steal by T. Johnson)
7:10.0,Offensive foul by K. Olynyk (drawn by L. Ball),,34-30,,
7:10.0,Turnover by K. Olynyk (offensive foul),,34-30,,
7:10.0,J. Richardson enters the game for T. Johnson,,34-30,,
6:55.0,,,34-30,,B. Lopez misses 2-pt shot from 7 ft
6:50.0,Defensive rebound by J. Richardson,,34-30,,
6:47.0,K. Olynyk misses 3-pt shot from 24 ft,,34-30,,
6:44.0,,,34-30,,Defensive rebound by L. Ball
6:41.0,Personal foul by K. Olynyk (drawn by B. Lopez),,34-30,,
6:41.0,,,34-30,,K. Caldwell-Pope enters the game for T. Ennis
6:41.0,B. Adebayo enters the game for K. Olynyk,,34-30,,
6:25.0,,,34-30,,B. Lopez misses 2-pt shot from 5 ft
6:22.0,Defensive rebound by B. Adebayo,,34-30,,
6:17.0,J. Richardson misses 3-pt shot from 25 ft,,34-30,,
6:12.0,,,34-30,,Defensive rebound by K. Caldwell-Pope
6:08.0,,,34-30,,Shooting foul by B. Adebayo (drawn by I. Thomas)
6:08.0,,,34-31,1,I. Thomas makes free throw 1 of 2
6:08.0,G. Dragic enters the game for W. Ellington,,34-31,,
6:08.0,,,34-32,1,I. Thomas makes free throw 2 of 2
5:56.0,Shooting foul by I. Thomas (drawn by G. Dragic),,34-32,,
5:56.0,G. Dragic makes free throw 1 of 2,1,35-32,,
5:56.0,,,35-32,,J. Randle enters the game for I. Thomas
5:56.0,G. Dragic makes free throw 2 of 2,1,36-32,,
5:41.0,,,36-35,3,B. Lopez makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
5:23.0,R. McGruder makes 2-pt shot from 9 ft (assist by J. Johnson),2,38-35,,
5:12.0,,,38-37,2,K. Kuzma makes 2-pt shot from 8 ft (assist by L. Ball)
4:56.0,J. Johnson misses 3-pt shot from 25 ft,,38-37,,
4:52.0,Offensive rebound by J. Richardson,,38-37,,
4:50.0,B. Adebayo makes 2-pt shot at rim (assist by J. Johnson),2,40-37,,
4:35.0,,,40-40,3,B. Lopez makes 3-pt shot from 24 ft (assist by K. Kuzma)
4:16.0,R. McGruder misses 2-pt shot from 2 ft (block by B. Lopez),,40-40,,
4:16.0,Offensive rebound by Team,,40-40,,
4:15.0,J. Johnson misses 3-pt shot from 24 ft,,40-40,,
4:12.0,,,40-40,,Defensive rebound by K. Caldwell-Pope
4:07.0,,,40-40,,Turnover by K. Caldwell-Pope (bad pass)
4:07.0,Miami full timeout,,40-40,,
4:07.0,,,40-40,,I. Thomas enters the game for K. Kuzma
3:51.0,R. McGruder makes 2-pt shot from 6 ft,2,42-40,,
3:36.0,,,42-40,,Turnover by L. Ball (bad pass; steal by J. Johnson)
3:32.0,G. Dragic misses 2-pt shot from 1 ft,,42-40,,
3:29.0,Offensive rebound by R. McGruder,,42-40,,
3:21.0,G. Dragic makes 3-pt shot from 25 ft,3,45-40,,
3:05.0,,,45-42,2,J. Randle makes 2-pt shot from 1 ft (assist by B. Lopez)
3:01.0,Turnover by G. Dragic (bad pass; steal by L. Ball),,45-42,,
2:56.0,,,45-44,2,L. Ball makes 2-pt shot from 1 ft (assist by J. Randle)
2:33.0,J. Johnson misses 2-pt shot from 4 ft,,45-44,,
2:31.0,,,45-44,,Defensive rebound by L. Ball
2:25.0,,,45-46,2,J. Randle makes 2-pt shot from 2 ft (assist by L. Ball)
2:25.0,,,45-46,,Shooting foul by J. Johnson (drawn by J. Randle)
2:25.0,W. Ellington enters the game for R. McGruder,,45-46,,
2:25.0,,,45-46,,J. Randle misses free throw 1 of 1
2:23.0,Defensive rebound by J. Johnson,,45-46,,
2:14.0,G. Dragic misses 3-pt shot from 24 ft,,45-46,,
2:12.0,,,45-46,,Defensive rebound by Team
1:50.0,,,45-46,,Turnover by I. Thomas (lost ball; steal by W. Ellington)
1:48.0,Offensive foul by W. Ellington (drawn by K. Caldwell-Pope),,45-46,,
1:48.0,Turnover by W. Ellington (offensive foul),,45-46,,
1:48.0,K. Olynyk enters the game for J. Johnson,,45-46,,
1:33.0,,,45-48,2,L. Ball makes 2-pt shot from 1 ft (assist by J. Randle)
1:11.0,,,45-48,,Personal foul by K. Caldwell-Pope (drawn by J. Richardson)
1:11.0,J. Richardson misses free throw 1 of 2,,45-48,,
1:11.0,Offensive rebound by Team,,45-48,,
1:11.0,J. Johnson enters the game for K. Olynyk,,45-48,,
1:11.0,J. Richardson makes free throw 2 of 2,1,46-48,,
0:54.0,Personal foul by W. Ellington (drawn by K. Caldwell-Pope),,46-48,,
0:54.0,,,46-49,1,K. Caldwell-Pope makes free throw 1 of 2
0:54.0,,,46-50,1,K. Caldwell-Pope makes free throw 2 of 2
0:52.0,Miami full timeout,,46-50,,
0:52.0,,,46-50,,T. Ennis enters the game for I. Thomas
0:37.0,G. Dragic makes 2-pt shot from 13 ft,2,48-50,,
0:17.0,,,48-50,,K. Caldwell-Pope misses 3-pt shot from 24 ft
0:14.0,Defensive rebound by W. Ellington,,48-50,,
0:00.0,G. Dragic makes 2-pt shot from 8 ft,2,50-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,J. Johnson makes 2-pt shot from 2 ft (assist by T. Johnson),2,52-50,,
11:16.0,,,52-50,,J. Randle misses 2-pt shot from 9 ft
11:16.0,,,52-50,,Offensive rebound by Team
11:16.0,Loose ball foul by J. Richardson (drawn by K. Kuzma),,52-50,,
11:03.0,,,52-50,,Turnover by K. Caldwell-Pope (bad pass; steal by J. Richardson)
11:03.0,,,52-50,,Personal foul by J. Randle (drawn by J. Richardson)
10:53.0,J. Johnson makes 2-pt shot from 1 ft,2,54-50,,
10:44.0,,,54-50,,Turnover by L. Ball (bad pass; steal by J. Richardson)
10:41.0,G. Dragic makes 2-pt shot at rim (assist by J. Richardson),2,56-50,,
10:41.0,,,56-50,,LA Lakers full timeout
10:31.0,,,56-50,,Shooting foul by B. Adebayo (drawn by B. Lopez)
10:31.0,,,56-50,,B. Lopez misses free throw 1 of 3
10:31.0,,,56-50,,Offensive rebound by Team
10:31.0,,,56-51,1,B. Lopez makes free throw 2 of 3
10:31.0,,,56-52,1,B. Lopez makes free throw 3 of 3
10:20.0,J. Johnson misses 2-pt shot from 18 ft,,56-52,,
10:16.0,,,56-52,,Defensive rebound by J. Randle
10:10.0,,,56-52,,Shooting foul by J. Johnson (drawn by J. Randle)
10:10.0,,,56-53,1,J. Randle makes free throw 1 of 2
10:10.0,,,56-54,1,J. Randle makes free throw 2 of 2
9:47.0,G. Dragic misses 2-pt shot from 10 ft,,56-54,,
9:45.0,,,56-54,,Defensive rebound by B. Lopez
9:30.0,,,56-54,,Turnover by L. Ball (bad pass)
9:13.0,Turnover by G. Dragic (out of bounds lost ball),,56-54,,
8:59.0,,,56-54,,Shooting foul by B. Adebayo (drawn by B. Lopez)
8:59.0,,,56-55,1,B. Lopez makes free throw 1 of 2
8:59.0,,,56-56,1,B. Lopez makes free throw 2 of 2
8:48.0,B. Adebayo makes 2-pt shot from 1 ft (assist by J. Johnson),2,58-56,,
8:31.0,,,58-58,2,L. Ball makes 2-pt shot from 2 ft
8:19.0,G. Dragic makes 2-pt shot from 1 ft (assist by J. Johnson),2,60-58,,
8:07.0,,,60-58,,L. Ball misses 2-pt shot from 2 ft
8:05.0,,,60-58,,Offensive rebound by L. Ball
8:03.0,,,60-61,3,B. Lopez makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope)
7:50.0,,,60-61,,Personal foul by K. Kuzma (drawn by G. Dragic)
7:38.0,J. Richardson misses 2-pt shot from 2 ft,,60-61,,
7:35.0,,,60-61,,Defensive rebound by J. Randle
7:29.0,,,60-61,,J. Randle misses 2-pt shot from 2 ft
7:26.0,Defensive rebound by J. Richardson,,60-61,,
7:20.0,Shooting foul by B. Lopez (drawn by J. Johnson),,60-61,,
7:20.0,J. Johnson misses free throw 1 of 2,,60-61,,
7:20.0,Offensive rebound by Team,,60-61,,
7:20.0,J. Johnson makes free throw 2 of 2,1,61-61,,
7:07.0,,,61-61,,K. Caldwell-Pope misses 2-pt shot from 1 ft
7:07.0,Defensive rebound by Team,,61-61,,
6:53.0,J. Johnson misses 2-pt shot from 3 ft,,61-61,,
6:51.0,,,61-61,,Defensive rebound by J. Randle
6:46.0,,,61-61,,J. Randle misses 2-pt shot from 2 ft
6:46.0,Defensive rebound by G. Dragic,,61-61,,
6:40.0,Turnover by G. Dragic (bad pass),,61-61,,
6:20.0,,,61-63,2,B. Lopez makes 2-pt shot from 1 ft (assist by L. Ball)
6:07.0,Turnover by J. Richardson (lost ball; steal by K. Caldwell-Pope),,61-63,,
6:05.0,,,61-65,2,K. Caldwell-Pope makes 2-pt shot from 1 ft
6:04.0,Miami full timeout,,61-65,,
6:04.0,,,61-65,,I. Thomas enters the game for K. Kuzma
5:49.0,G. Dragic misses 3-pt shot from 25 ft,,61-65,,
5:47.0,Offensive rebound by Team,,61-65,,
5:47.0,W. Ellington enters the game for J. Richardson,,61-65,,
5:41.0,T. Johnson makes 2-pt shot from 6 ft,2,63-65,,
5:20.0,,,63-65,,Shooting foul by J. Johnson (drawn by J. Randle)
5:20.0,,,63-66,1,J. Randle makes free throw 1 of 2
5:20.0,,,63-67,1,J. Randle makes free throw 2 of 2
5:08.0,T. Johnson makes 2-pt shot from 2 ft,2,65-67,,
4:57.0,,,65-67,,L. Ball misses 2-pt shot from 4 ft (block by T. Johnson)
4:57.0,,,65-67,,Offensive rebound by Team
4:52.0,,,65-67,,L. Ball misses 3-pt shot from 23 ft
4:46.0,,,65-67,,Offensive rebound by K. Caldwell-Pope
4:46.0,,,65-69,2,K. Caldwell-Pope makes 2-pt shot at rim
4:27.0,T. Johnson misses 3-pt shot from 24 ft,,65-69,,
4:23.0,,,65-69,,Defensive rebound by J. Randle
4:16.0,,,65-69,,I. Thomas misses 2-pt shot from 15 ft
4:14.0,Defensive rebound by G. Dragic,,65-69,,
4:12.0,Shooting foul by K. Caldwell-Pope (drawn by G. Dragic),,65-69,,
4:12.0,G. Dragic makes free throw 1 of 2,1,66-69,,
4:12.0,G. Dragic makes free throw 2 of 2,1,67-69,,
3:53.0,,,67-69,,B. Lopez misses 3-pt shot from 26 ft
3:50.0,Defensive rebound by J. Johnson,,67-69,,
3:37.0,W. Ellington misses 3-pt shot from 24 ft,,67-69,,
3:34.0,,,67-69,,Defensive rebound by J. Randle
3:27.0,,,67-69,,Turnover by K. Caldwell-Pope (bad pass; steal by J. Johnson)
3:20.0,B. Adebayo makes 2-pt shot from 3 ft (assist by W. Ellington),2,69-69,,
3:11.0,,,69-69,,B. Lopez misses 3-pt shot from 25 ft
3:08.0,Defensive rebound by G. Dragic,,69-69,,
2:59.0,G. Dragic misses 2-pt shot from 6 ft,,69-69,,
2:55.0,Offensive rebound by B. Adebayo,,69-69,,
2:53.0,Shooting foul by K. Caldwell-Pope (drawn by B. Adebayo),,69-69,,
2:53.0,B. Adebayo misses free throw 1 of 2,,69-69,,
2:53.0,Offensive rebound by Team,,69-69,,
2:53.0,,,69-69,,T. Wear enters the game for B. Lopez
2:53.0,J. Winslow enters the game for J. Johnson,,69-69,,
2:53.0,K. Olynyk enters the game for G. Dragic,,69-69,,
2:53.0,B. Adebayo makes free throw 2 of 2,1,70-69,,
2:53.0,,,70-69,,I. Zubac enters the game for J. Randle
2:33.0,,,70-69,,Turnover by I. Thomas (out of bounds lost ball)
2:19.0,K. Olynyk makes 2-pt shot from 21 ft (assist by T. Johnson),2,72-69,,
2:08.0,,,72-71,2,I. Zubac makes 2-pt shot from 2 ft (assist by L. Ball)
1:54.0,B. Adebayo makes 2-pt shot from 4 ft (assist by J. Winslow),2,74-71,,
1:42.0,,,74-71,,L. Ball misses 2-pt shot from 12 ft (block by J. Winslow)
1:39.0,,,74-71,,Offensive rebound by L. Ball
1:37.0,,,74-71,,I. Thomas misses 3-pt shot from 24 ft
1:34.0,Defensive rebound by J. Winslow,,74-71,,
1:13.0,Offensive foul by T. Johnson (drawn by I. Thomas),,74-71,,
1:13.0,Turnover by T. Johnson (offensive foul),,74-71,,
1:00.0,,,74-71,,L. Ball misses 2-pt shot from 7 ft
0:58.0,,,74-71,,Offensive rebound by L. Ball
0:58.0,,,74-71,,L. Ball misses 2-pt shot at rim
0:57.0,,,74-71,,Offensive rebound by I. Zubac
0:56.0,,,74-71,,Turnover by I. Zubac (lost ball; steal by T. Johnson)
0:56.0,Miami full timeout,,74-71,,
0:43.0,W. Ellington misses 2-pt shot from 22 ft,,74-71,,
0:41.0,,,74-71,,Defensive rebound by K. Caldwell-Pope
0:24.0,,,74-71,,T. Wear misses 2-pt shot from 21 ft
0:24.0,Defensive rebound by J. Winslow,,74-71,,
0:04.0,J. Winslow misses 2-pt shot from 5 ft (block by L. Ball),,74-71,,
0:04.0,Offensive rebound by Team,,74-71,,
0:01.0,B. Adebayo misses 2-pt shot from 13 ft,,74-71,,
0:01.0,,,74-71,,Defensive rebound by L. Ball
0:00.0,,,74-71,,L. Ball misses 3-pt shot from 72 ft
0:00.0,,,74-71,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,74-74,3,T. Wear makes 3-pt shot from 24 ft (assist by I. Thomas)
11:27.0,B. Adebayo misses 2-pt shot from 10 ft,,74-74,,
11:25.0,,,74-74,,Defensive rebound by K. Kuzma
11:05.0,,,74-74,,J. Randle misses 2-pt shot from 6 ft
11:02.0,Defensive rebound by K. Olynyk,,74-74,,
10:58.0,T. Johnson misses 3-pt shot from 24 ft,,74-74,,
10:54.0,,,74-74,,Defensive rebound by K. Kuzma
10:47.0,,,74-77,3,T. Wear makes 3-pt shot from 25 ft (assist by K. Kuzma)
10:30.0,K. Olynyk makes 2-pt shot at rim (assist by J. Winslow),2,76-77,,
10:13.0,,,76-77,,K. Kuzma misses 3-pt shot from 22 ft
10:11.0,Defensive rebound by K. Olynyk,,76-77,,
9:50.0,T. Johnson makes 2-pt shot from 1 ft,2,78-77,,
9:43.0,,,78-77,,I. Thomas misses 2-pt shot from 2 ft (block by K. Olynyk)
9:43.0,,,78-77,,Offensive rebound by Team
9:43.0,J. Richardson enters the game for T. Johnson,,78-77,,
9:38.0,,,78-77,,T. Wear misses 2-pt shot from 15 ft
9:36.0,Defensive rebound by B. Adebayo,,78-77,,
9:26.0,K. Olynyk misses 3-pt shot from 25 ft,,78-77,,
9:22.0,,,78-77,,Defensive rebound by K. Kuzma
9:16.0,,,78-79,2,I. Thomas makes 2-pt shot from 1 ft (assist by K. Kuzma)
9:03.0,W. Ellington makes 3-pt shot from 25 ft (assist by B. Adebayo),3,81-79,,
8:41.0,,,81-79,,B. Lopez enters the game for J. Randle
8:39.0,,,81-79,,Turnover by K. Kuzma (bad pass; steal by J. Winslow)
8:20.0,W. Ellington misses 3-pt shot from 24 ft,,81-79,,
8:16.0,Offensive rebound by B. Adebayo,,81-79,,
8:14.0,K. Olynyk misses 3-pt shot from 22 ft,,81-79,,
8:11.0,Offensive rebound by J. Richardson,,81-79,,
8:11.0,B. Adebayo makes 2-pt shot at rim (assist by J. Richardson),2,83-79,,
8:11.0,Shooting foul by B. Lopez (drawn by B. Adebayo),,83-79,,
8:11.0,,,83-79,,L. Ball enters the game for T. Ennis
8:11.0,,,83-79,,K. Caldwell-Pope enters the game for T. Wear
8:11.0,B. Adebayo misses free throw 1 of 1,,83-79,,
8:08.0,,,83-79,,Defensive rebound by K. Kuzma
7:54.0,,,83-79,,Turnover by I. Thomas (lost ball; steal by K. Olynyk)
7:52.0,,,83-79,,Personal foul by K. Kuzma (drawn by J. Winslow)
7:52.0,R. McGruder enters the game for B. Adebayo,,83-79,,
7:52.0,,,83-79,,J. Randle enters the game for B. Lopez
7:43.0,J. Winslow misses 3-pt shot from 26 ft,,83-79,,
7:39.0,Offensive rebound by J. Richardson,,83-79,,
7:30.0,K. Olynyk makes 2-pt shot from 1 ft (assist by J. Winslow),2,85-79,,
7:12.0,,,85-79,,Turnover by K. Caldwell-Pope (bad pass)
6:58.0,J. Winslow misses 2-pt shot from 1 ft,,85-79,,
6:55.0,,,85-79,,Defensive rebound by J. Randle
6:47.0,Personal foul by J. Richardson (drawn by J. Randle),,85-79,,
6:47.0,,,85-79,,LA Lakers full timeout
6:39.0,,,85-79,,K. Kuzma misses 2-pt shot from 1 ft
6:38.0,Defensive rebound by K. Olynyk,,85-79,,
6:22.0,W. Ellington misses 2-pt shot from 1 ft,,85-79,,
6:16.0,,,85-79,,Defensive rebound by K. Caldwell-Pope
6:15.0,,,85-79,,Shooting foul by K. Olynyk (drawn by J. Randle)
6:15.0,,,85-80,1,J. Randle makes free throw 1 of 2
6:15.0,,,85-80,,B. Lopez enters the game for I. Thomas
6:15.0,G. Dragic enters the game for R. McGruder,,85-80,,
6:15.0,,,85-81,1,J. Randle makes free throw 2 of 2
6:04.0,K. Olynyk misses 3-pt shot from 24 ft,,85-81,,
5:59.0,Offensive rebound by J. Richardson,,85-81,,
5:51.0,J. Richardson makes 3-pt shot from 27 ft (assist by G. Dragic),3,88-81,,
5:35.0,,,88-81,,Turnover by K. Kuzma (bad pass)
5:35.0,J. Johnson enters the game for J. Winslow,,88-81,,
5:23.0,G. Dragic misses 3-pt shot from 25 ft,,88-81,,
5:20.0,,,88-81,,Defensive rebound by K. Kuzma
5:03.0,,,88-81,,Offensive charge foul by J. Randle (drawn by G. Dragic)
5:03.0,,,88-81,,Turnover by J. Randle (offensive foul)
4:53.0,K. Olynyk misses 2-pt shot from 3 ft,,88-81,,
