time,Philadelphia,pts.away,score,pts.home,Milwaukee
0:53.0,,,30-24,,Shooting foul by R. Holmes (drawn by G. Antetokounmpo)
0:53.0,,,30-25,1,G. Antetokounmpo makes free throw 1 of 2
0:53.0,,,30-26,1,G. Antetokounmpo makes free throw 2 of 2
0:36.0,R. Covington misses 3-pt shot from 26 ft,,30-26,,
0:33.0,Offensive rebound by R. Holmes,,30-26,,
0:29.0,Turnover by T. McConnell (bad pass; steal by S. Brown),,30-26,,
0:26.0,,,30-26,,Shooting foul by R. Covington (drawn by G. Antetokounmpo)
0:26.0,,,30-27,1,G. Antetokounmpo makes free throw 1 of 2
0:26.0,A. Johnson enters the game for R. Holmes,,30-27,,
0:26.0,,,30-28,1,G. Antetokounmpo makes free throw 2 of 2
0:02.0,T. McConnell misses 2-pt shot from 6 ft,,30-28,,
0:02.0,Offensive rebound by T. Booker,,30-28,,
0:02.0,T. Booker misses 2-pt shot from 1 ft,,30-28,,
0:01.0,,,30-28,,Defensive rebound by G. Antetokounmpo
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,A. Johnson misses 2-pt shot from 4 ft (block by T. Maker),,30-28,,
11:39.0,Offensive rebound by Team,,30-28,,
11:39.0,,,30-28,,J. Terry enters the game for T. Snell
11:35.0,T. McConnell misses 2-pt shot from 13 ft,,30-28,,
11:33.0,,,30-28,,Defensive rebound by T. Maker
11:30.0,,,30-28,,G. Antetokounmpo misses 2-pt shot from 1 ft
11:27.0,Defensive rebound by D. Saric,,30-28,,
11:08.0,R. Covington misses 3-pt shot from 22 ft,,30-28,,
11:05.0,,,30-28,,Defensive rebound by G. Antetokounmpo
10:52.0,,,30-28,,S. Brown misses 2-pt shot from 2 ft
10:49.0,Defensive rebound by R. Covington,,30-28,,
10:31.0,Jump ball: T. Maker vs. A. Johnson (T. McConnell gains possession),,,,Jump ball: T. Maker vs. A. Johnson (T. McConnell gains possession)
10:31.0,Turnover by T. McConnell (out of bounds lost ball),,30-28,,
10:22.0,,,30-28,,Shooting foul by R. Covington (drawn by G. Antetokounmpo)
10:22.0,,,30-29,1,G. Antetokounmpo makes free throw 1 of 2
10:22.0,,,30-30,1,G. Antetokounmpo makes free throw 2 of 2
10:13.0,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft,,30-30,,
10:10.0,Offensive rebound by D. Saric,,30-30,,
10:01.0,T. Luwawu-Cabarrot misses 3-pt shot from 28 ft,,30-30,,
9:57.0,,,30-30,,Defensive rebound by T. Maker
9:49.0,,,30-32,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by T. Maker)
9:32.0,,,30-32,,Personal foul by G. Antetokounmpo (drawn by T. Luwawu-Cabarrot)
9:32.0,B. Simmons enters the game for T. McConnell,,30-32,,
9:32.0,,,30-32,,Personal foul by T. Maker (drawn by T. Luwawu-Cabarrot)
9:19.0,R. Covington misses 3-pt shot from 26 ft,,30-32,,
9:15.0,,,30-32,,Defensive rebound by S. Brown
9:06.0,,,30-32,,S. Brown misses 2-pt shot from 1 ft
9:04.0,Defensive rebound by B. Simmons,,30-32,,
9:03.0,Shooting foul by T. Maker (drawn by R. Covington),,30-32,,
9:03.0,R. Covington makes free throw 1 of 2,1,31-32,,
9:03.0,R. Covington makes free throw 2 of 2,1,32-32,,
8:48.0,,,32-34,2,G. Antetokounmpo makes 2-pt shot from 16 ft
8:31.0,B. Simmons makes 2-pt shot from 3 ft,2,34-34,,
8:18.0,,,34-34,,S. Brown misses 3-pt shot from 26 ft
8:15.0,Defensive rebound by B. Simmons,,34-34,,
8:07.0,T. Luwawu-Cabarrot misses 3-pt shot from 23 ft,,34-34,,
8:03.0,,,34-34,,Defensive rebound by G. Antetokounmpo
7:57.0,,,34-37,3,J. Terry makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
7:56.0,Philadelphia full timeout,,34-37,,
7:56.0,,,34-37,,J. Henson enters the game for T. Maker
7:56.0,J. Anderson enters the game for A. Johnson,,34-37,,
7:56.0,R. Holmes enters the game for T. Luwawu-Cabarrot,,34-37,,
7:39.0,D. Saric misses 3-pt shot from 28 ft,,34-37,,
7:32.0,Offensive rebound by R. Covington,,34-37,,
7:32.0,R. Covington makes 2-pt shot at rim,2,36-37,,
7:18.0,,,36-37,,Turnover by J. Terry (lost ball; steal by B. Simmons)
7:16.0,Offensive charge foul by B. Simmons (drawn by M. Dellavedova),,36-37,,
7:16.0,Turnover by B. Simmons (offensive foul),,36-37,,
7:16.0,,,36-37,,M. Brogdon enters the game for M. Dellavedova
7:16.0,T. Booker enters the game for D. Saric,,36-37,,
6:58.0,,,36-37,,Turnover by J. Terry (bad pass; steal by T. Booker)
6:51.0,R. Covington misses 3-pt shot from 26 ft,,36-37,,
6:47.0,,,36-37,,Defensive rebound by S. Brown
6:40.0,,,36-39,2,S. Brown makes 2-pt shot from 20 ft (assist by G. Antetokounmpo)
6:19.0,R. Holmes misses 3-pt shot from 25 ft,,36-39,,
6:15.0,,,36-39,,Defensive rebound by M. Brogdon
6:12.0,,,36-39,,K. Middleton enters the game for G. Antetokounmpo
6:12.0,T. McConnell enters the game for B. Simmons,,36-39,,
5:55.0,,,36-39,,J. Henson misses 2-pt shot from 3 ft (block by J. Anderson)
5:51.0,Defensive rebound by T. McConnell,,36-39,,
5:41.0,Turnover by R. Covington (bad pass; steal by J. Terry),,36-39,,
5:36.0,,,36-39,,J. Terry misses 2-pt shot from 1 ft (block by R. Covington)
5:32.0,Defensive rebound by T. McConnell,,36-39,,
5:16.0,R. Holmes makes 2-pt shot at rim (assist by T. McConnell),2,38-39,,
5:02.0,,,38-41,2,J. Terry makes 2-pt shot from 14 ft (assist by M. Brogdon)
4:53.0,Shooting foul by J. Henson (drawn by J. Anderson),,38-41,,
4:53.0,J. Anderson makes free throw 1 of 2,1,39-41,,
4:53.0,,,39-41,,T. Snell enters the game for S. Brown
4:53.0,J. Anderson makes free throw 2 of 2,1,40-41,,
4:35.0,,,40-43,2,J. Henson makes 2-pt shot from 1 ft (assist by M. Brogdon)
4:21.0,R. Covington makes 2-pt shot from 1 ft (assist by R. Holmes),2,42-43,,
3:57.0,,,42-45,2,J. Henson makes 2-pt shot at rim (assist by T. Snell)
3:38.0,,,42-45,,Personal foul by K. Middleton (drawn by T. Booker)
3:38.0,T. Booker makes free throw 1 of 2,1,43-45,,
3:38.0,T. Booker makes free throw 2 of 2,1,44-45,,
3:25.0,Personal foul by J. Anderson (drawn by J. Terry),,44-45,,
3:12.0,D. Saric enters the game for T. Booker,,44-45,,
3:07.0,,,44-48,3,K. Middleton makes 3-pt shot from 27 ft (assist by J. Terry)
2:57.0,,,44-48,,Personal foul by J. Terry (drawn by R. Covington)
2:57.0,,,44-48,,Milwaukee full timeout
2:57.0,,,44-48,,G. Antetokounmpo enters the game for J. Terry
2:57.0,R. Covington makes free throw 1 of 2,1,45-48,,
2:57.0,R. Covington makes free throw 2 of 2,1,46-48,,
2:40.0,,,46-48,,G. Antetokounmpo misses 2-pt shot from 18 ft
2:37.0,Defensive rebound by T. McConnell,,46-48,,
2:24.0,J. Anderson makes 2-pt shot at rim (assist by T. McConnell),2,48-48,,
2:22.0,,,48-48,,Turnover by G. Antetokounmpo (traveling)
2:07.0,R. Covington misses 3-pt shot from 26 ft,,48-48,,
2:05.0,,,48-48,,Defensive rebound by K. Middleton
1:56.0,,,48-48,,Shooting foul by T. McConnell (drawn by J. Henson)
1:56.0,,,48-48,,J. Henson misses free throw 1 of 2
1:56.0,,,48-48,,Offensive rebound by Team
1:56.0,T. Luwawu-Cabarrot enters the game for R. Covington,,48-48,,
1:56.0,,,48-49,1,J. Henson makes free throw 2 of 2
1:44.0,D. Saric misses 2-pt shot from 4 ft (block by G. Antetokounmpo),,48-49,,
1:44.0,Offensive rebound by Team,,48-49,,
1:34.0,Turnover by T. McConnell (traveling),,48-49,,
1:27.0,Personal foul by T. McConnell (drawn by M. Brogdon),,48-49,,
1:27.0,,,48-50,1,M. Brogdon makes free throw 1 of 2
1:27.0,T. Booker enters the game for R. Holmes,,48-50,,
1:27.0,,,48-51,1,M. Brogdon makes free throw 2 of 2
1:12.0,,,48-51,,Violation by J. Henson (kicked ball)
1:00.0,T. McConnell misses 2-pt shot from 2 ft (block by M. Brogdon),,48-51,,
0:58.0,,,48-51,,Defensive rebound by J. Henson
0:54.0,,,48-53,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon)
0:35.0,,,48-53,,Def 3 sec tech foul by J. Henson
0:35.0,D. Saric makes technical free throw,1,49-53,,
0:31.0,J. Anderson misses 2-pt shot at rim,,49-53,,
0:31.0,Offensive rebound by J. Anderson,,49-53,,
0:30.0,J. Anderson makes 2-pt shot at rim,2,51-53,,
0:12.0,Personal foul by D. Saric (drawn by J. Henson),,51-53,,
0:12.0,,,51-54,1,J. Henson makes free throw 1 of 2
0:12.0,,,51-55,1,J. Henson makes free throw 2 of 2
0:00.0,D. Saric makes 2-pt shot from 16 ft,2,53-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,T. Luwawu-Cabarrot misses 3-pt shot from 27 ft,,53-55,,
11:34.0,,,53-55,,Defensive rebound by G. Antetokounmpo
11:26.0,,,53-55,,K. Middleton misses 3-pt shot from 26 ft
11:24.0,Defensive rebound by R. Covington,,53-55,,
11:19.0,D. Saric misses 3-pt shot from 27 ft,,53-55,,
11:17.0,,,53-55,,Defensive rebound by G. Antetokounmpo
10:52.0,,,53-55,,G. Antetokounmpo misses 2-pt shot from 15 ft
10:49.0,,,53-55,,Offensive rebound by J. Henson
10:49.0,,,53-58,3,T. Snell makes 3-pt shot from 27 ft (assist by J. Henson)
10:37.0,Shooting foul by K. Middleton (drawn by D. Saric),,53-58,,
10:37.0,D. Saric makes free throw 1 of 2,1,54-58,,
10:37.0,D. Saric makes free throw 2 of 2,1,55-58,,
10:16.0,,,55-60,2,K. Middleton makes 2-pt shot from 17 ft
9:57.0,,,55-60,,Personal foul by T. Snell (drawn by A. Johnson)
9:49.0,B. Simmons misses 2-pt shot from 14 ft,,55-60,,
9:46.0,Offensive rebound by A. Johnson,,55-60,,
9:30.0,B. Simmons makes 2-pt shot from 6 ft,2,57-60,,
9:11.0,,,57-62,2,J. Henson makes 2-pt shot at rim (assist by K. Middleton)
8:55.0,Shooting foul by J. Henson (drawn by B. Simmons),,57-62,,
8:55.0,B. Simmons makes free throw 1 of 2,1,58-62,,
8:55.0,B. Simmons makes free throw 2 of 2,1,59-62,,
8:35.0,,,59-62,,G. Antetokounmpo misses 2-pt shot from 19 ft
8:32.0,Defensive rebound by A. Johnson,,59-62,,
8:21.0,A. Johnson makes 2-pt shot at rim (assist by D. Saric),2,61-62,,
8:21.0,Shooting foul by K. Middleton (drawn by A. Johnson),,61-62,,
8:21.0,,,61-62,,Violation by J. Henson (lane)
8:21.0,A. Johnson makes free throw 1 of 1,1,62-62,,
7:56.0,,,62-62,,M. Brogdon misses 3-pt shot from 26 ft
7:52.0,Defensive rebound by B. Simmons,,62-62,,
7:46.0,D. Saric misses 2-pt shot from 20 ft,,62-62,,
7:43.0,,,62-62,,Defensive rebound by G. Antetokounmpo
7:35.0,,,62-62,,Turnover by M. Brogdon (step out of bounds)
7:35.0,Philadelphia full timeout,,62-62,,
7:35.0,J. Anderson enters the game for R. Covington,,62-62,,
7:14.0,D. Saric makes 2-pt shot from 19 ft (assist by J. Anderson),2,64-62,,
6:53.0,,,64-62,,K. Middleton misses 2-pt shot from 2 ft (block by A. Johnson)
6:52.0,Defensive rebound by A. Johnson,,64-62,,
6:48.0,T. Luwawu-Cabarrot misses 2-pt shot from 3 ft (block by T. Snell),,64-62,,
6:46.0,,,64-62,,Defensive rebound by M. Brogdon
6:31.0,,,64-62,,Turnover by G. Antetokounmpo (out of bounds lost ball)
6:23.0,Turnover by T. Luwawu-Cabarrot (bad pass),,64-62,,
6:05.0,,,64-64,2,K. Middleton makes 2-pt shot from 14 ft (assist by G. Antetokounmpo)
5:52.0,A. Johnson misses 2-pt shot from 4 ft,,64-64,,
5:50.0,,,64-64,,Defensive rebound by G. Antetokounmpo
5:45.0,,,64-66,2,G. Antetokounmpo makes 2-pt shot at rim
5:29.0,B. Simmons misses 2-pt shot from 15 ft,,64-66,,
5:27.0,,,64-66,,Defensive rebound by K. Middleton
5:23.0,,,64-68,2,M. Brogdon makes 2-pt shot from 2 ft (assist by K. Middleton)
5:09.0,B. Simmons makes 2-pt shot from 3 ft (assist by A. Johnson),2,66-68,,
4:56.0,,,66-70,2,G. Antetokounmpo makes 2-pt shot from 15 ft
4:42.0,D. Saric makes 2-pt shot from 1 ft (assist by A. Johnson),2,68-70,,
4:17.0,,,68-73,3,T. Snell makes 3-pt shot from 26 ft (assist by K. Middleton)
4:02.0,T. Luwawu-Cabarrot misses 2-pt shot from 2 ft (block by J. Henson),,68-73,,
3:59.0,,,68-73,,Defensive rebound by G. Antetokounmpo
3:54.0,,,68-76,3,K. Middleton makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
3:54.0,Philadelphia full timeout,,68-76,,
3:54.0,,,68-76,,T. Maker enters the game for M. Brogdon
3:54.0,,,68-76,,M. Dellavedova enters the game for J. Henson
3:54.0,J. Young enters the game for A. Johnson,,68-76,,
3:54.0,T. Booker enters the game for T. Luwawu-Cabarrot,,68-76,,
3:54.0,R. Covington enters the game for D. Saric,,68-76,,
3:54.0,R. Holmes enters the game for J. Anderson,,68-76,,
3:39.0,R. Covington misses 3-pt shot from 25 ft,,68-76,,
3:35.0,,,68-76,,Defensive rebound by G. Antetokounmpo
3:28.0,,,68-76,,Turnover by G. Antetokounmpo (lost ball; steal by R. Covington)
3:15.0,J. Young makes 3-pt shot from 27 ft (assist by B. Simmons),3,71-76,,
2:50.0,,,71-78,2,G. Antetokounmpo makes 2-pt shot from 1 ft
2:33.0,T. Booker misses 2-pt shot from 6 ft,,71-78,,
2:31.0,,,71-78,,Defensive rebound by T. Maker
2:25.0,,,71-78,,K. Middleton misses 2-pt shot from 2 ft
2:23.0,Defensive rebound by T. Booker,,71-78,,
2:17.0,Turnover by R. Covington (lost ball; steal by M. Dellavedova),,71-78,,
2:17.0,,,71-78,,S. Brown enters the game for K. Middleton
1:56.0,,,71-78,,M. Dellavedova misses 2-pt shot from 7 ft (block by R. Covington)
1:53.0,Defensive rebound by J. Young,,71-78,,
1:48.0,T. Booker makes 2-pt shot from 1 ft (assist by B. Simmons),2,73-78,,
1:36.0,,,73-78,,Offensive charge foul by G. Antetokounmpo (drawn by B. Simmons)
1:36.0,,,73-78,,Turnover by G. Antetokounmpo (offensive foul)
1:36.0,,,73-78,,J. Terry enters the game for T. Snell
1:18.0,Turnover by R. Covington (out of bounds lost ball),,73-78,,
0:55.0,,,73-78,,T. Maker misses 2-pt shot from 19 ft
0:53.0,,,73-78,,Offensive rebound by G. Antetokounmpo
0:50.0,,,73-81,3,S. Brown makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
0:38.0,R. Covington misses 2-pt shot from 3 ft,,73-81,,
0:38.0,Offensive rebound by R. Holmes,,73-81,,
0:38.0,R. Holmes makes 2-pt shot at rim,2,75-81,,
0:28.0,,,75-81,,Shooting foul by R. Holmes (drawn by G. Antetokounmpo)
0:28.0,,,75-82,1,G. Antetokounmpo makes free throw 1 of 2
0:28.0,,,75-83,1,G. Antetokounmpo makes free throw 2 of 2
0:08.0,R. Covington misses 3-pt shot from 26 ft,,75-83,,
0:04.0,,,75-83,,Defensive rebound by G. Antetokounmpo
0:00.0,,,75-83,,G. Antetokounmpo misses 3-pt shot from 23 ft
0:00.0,,,75-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:34.0,,,75-85,2,K. Middleton makes 2-pt shot from 14 ft
11:17.0,,,75-85,,Violation by T. Maker (kicked ball)
11:05.0,Turnover by T. McConnell (traveling),,75-85,,
10:41.0,,,75-85,,K. Middleton misses 2-pt shot from 17 ft
10:38.0,Defensive rebound by R. Holmes,,75-85,,
10:28.0,R. Covington misses 2-pt shot from 18 ft,,75-85,,
10:25.0,,,75-85,,Defensive rebound by M. Dellavedova
10:20.0,,,75-88,3,S. Brown makes 3-pt shot from 26 ft (assist by M. Dellavedova)
10:19.0,Philadelphia full timeout,,75-88,,
10:19.0,J. Anderson enters the game for R. Covington,,75-88,,
10:01.0,D. Saric makes 2-pt shot from 22 ft (assist by J. Young),2,77-88,,
9:42.0,,,77-88,,K. Middleton misses 2-pt shot from 12 ft
9:42.0,Defensive rebound by R. Holmes,,77-88,,
9:34.0,,,77-88,,Personal foul by S. Brown (drawn by D. Saric)
9:18.0,R. Holmes misses 3-pt shot from 23 ft,,77-88,,
9:15.0,,,77-88,,Defensive rebound by J. Terry
8:56.0,,,77-88,,K. Middleton misses 2-pt shot from 4 ft
8:53.0,Defensive rebound by R. Holmes,,77-88,,
8:48.0,Shooting foul by T. Maker (drawn by R. Holmes),,77-88,,
8:48.0,R. Holmes misses free throw 1 of 2,,77-88,,
8:48.0,Offensive rebound by Team,,77-88,,
8:48.0,B. Simmons enters the game for T. McConnell,,77-88,,
8:48.0,R. Holmes makes free throw 2 of 2,1,78-88,,
8:32.0,,,78-88,,T. Maker misses 3-pt shot from 23 ft
8:30.0,Defensive rebound by D. Saric,,78-88,,
8:24.0,Turnover by D. Saric (lost ball; steal by K. Middleton),,78-88,,
8:19.0,,,78-88,,J. Terry misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by J. Anderson,,78-88,,
8:02.0,Turnover by D. Saric (step out of bounds),,78-88,,
8:02.0,,,78-88,,G. Antetokounmpo enters the game for S. Brown
8:02.0,R. Covington enters the game for R. Holmes,,78-88,,
7:45.0,,,78-88,,G. Antetokounmpo misses 2-pt shot from 10 ft
7:42.0,Defensive rebound by B. Simmons,,78-88,,
7:39.0,R. Covington makes 3-pt shot from 26 ft (assist by J. Young),3,81-88,,
7:37.0,,,81-88,,Milwaukee full timeout
7:11.0,,,81-88,,M. Dellavedova misses 3-pt shot from 25 ft
7:08.0,Defensive rebound by D. Saric,,81-88,,
7:03.0,J. Anderson misses 2-pt shot from 2 ft (block by T. Maker),,81-88,,
7:01.0,,,81-88,,Defensive rebound by G. Antetokounmpo
6:51.0,,,81-91,3,M. Dellavedova makes 3-pt shot from 22 ft (assist by J. Terry)
6:35.0,Turnover by B. Simmons (bad pass; steal by M. Dellavedova),,81-91,,
6:35.0,,,81-91,,Shooting foul by R. Covington (drawn by M. Dellavedova)
6:35.0,,,81-92,1,M. Dellavedova makes free throw 1 of 2
6:35.0,,,81-92,,J. Henson enters the game for J. Terry
6:35.0,,,81-92,,T. Snell enters the game for T. Maker
6:35.0,,,81-93,1,M. Dellavedova makes free throw 2 of 2
6:26.0,B. Simmons makes 2-pt shot from 8 ft,2,83-93,,
6:26.0,Shooting foul by G. Antetokounmpo (drawn by B. Simmons),,83-93,,
6:26.0,B. Simmons misses free throw 1 of 1,,83-93,,
6:23.0,,,83-93,,Defensive rebound by K. Middleton
6:09.0,,,83-95,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Henson)
5:57.0,B. Simmons makes 2-pt shot from 6 ft,2,85-95,,
5:32.0,,,85-95,,G. Antetokounmpo misses 3-pt shot from 26 ft
5:29.0,Defensive rebound by D. Saric,,85-95,,
5:14.0,J. Young misses 3-pt shot from 23 ft,,85-95,,
5:11.0,,,85-95,,Defensive rebound by G. Antetokounmpo
4:49.0,,,85-98,3,G. Antetokounmpo makes 3-pt shot from 27 ft
4:33.0,D. Saric misses 3-pt shot from 26 ft,,85-98,,
4:31.0,,,85-98,,Defensive rebound by K. Middleton
4:15.0,,,85-100,2,M. Dellavedova makes 2-pt shot from 1 ft
4:15.0,Philadelphia full timeout,,85-100,,
4:15.0,T. Luwawu-Cabarrot enters the game for J. Anderson,,85-100,,
3:55.0,D. Saric misses 3-pt shot from 27 ft,,85-100,,
3:52.0,,,85-100,,Defensive rebound by K. Middleton
3:40.0,,,85-100,,K. Middleton misses 2-pt shot from 10 ft
3:37.0,,,85-100,,Offensive rebound by K. Middleton
3:34.0,,,85-100,,M. Dellavedova misses 3-pt shot from 26 ft
3:34.0,Defensive rebound by B. Simmons,,85-100,,
3:19.0,B. Simmons makes 2-pt shot from 14 ft,2,87-100,,
