time,Phoenix,pts.away,score,pts.home,Minnesota
1:03.0,J. Jackson makes free throw 2 of 2,1,39-50,,
0:57.0,,,39-50,,J. Butler misses 2-pt shot at rim
0:54.0,Defensive rebound by J. Dudley,,39-50,,
0:51.0,,,39-50,,Personal block foul by K. Towns (drawn by J. Jackson)
0:51.0,J. Jackson misses free throw 1 of 2,,39-50,,
0:51.0,Offensive rebound by Team,,39-50,,
0:51.0,J. Jackson makes free throw 2 of 2,1,40-50,,
0:28.0,,,40-50,,K. Towns misses 2-pt shot from 5 ft
0:25.0,Defensive rebound by J. Jackson,,40-50,,
0:02.0,T. Ulis misses 2-pt shot from 3 ft (block by T. Gibson),,40-50,,
0:02.0,Offensive rebound by A. Len,,40-50,,
0:01.0,A. Len makes 2-pt shot at rim,2,42-50,,
0:00.0,,,42-50,,J. Butler misses 3-pt shot from 57 ft
0:00.0,,,42-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,M. Chriss makes 2-pt shot from 11 ft (assist by T. Chandler),2,44-50,,
11:33.0,Personal foul by T. Ulis (drawn by J. Teague),,44-50,,
11:33.0,,,44-50,,Technical foul by J. Teague
11:33.0,T. Warren makes technical free throw,1,45-50,,
11:23.0,,,45-50,,T. Gibson misses 2-pt shot from 19 ft
11:20.0,Defensive rebound by J. Jackson,,45-50,,
11:16.0,Shooting foul by A. Wiggins (drawn by T. Warren),,45-50,,
11:16.0,T. Warren makes free throw 1 of 2,1,46-50,,
11:16.0,T. Warren misses free throw 2 of 2,,46-50,,
11:14.0,,,46-50,,Defensive rebound by T. Gibson
10:57.0,,,46-50,,J. Teague misses 2-pt shot from 2 ft (block by T. Chandler)
10:57.0,,,46-50,,Offensive rebound by Team
10:51.0,,,46-50,,A. Wiggins misses 3-pt shot from 25 ft
10:49.0,Defensive rebound by T. Chandler,,46-50,,
10:44.0,T. Warren misses 2-pt shot from 15 ft,,46-50,,
10:42.0,,,46-50,,Defensive rebound by T. Gibson
10:33.0,,,46-52,2,J. Teague makes 2-pt shot from 4 ft
10:13.0,J. Jackson misses 2-pt shot from 1 ft,,46-52,,
10:11.0,,,46-52,,Defensive rebound by T. Gibson
10:01.0,,,46-55,3,K. Towns makes 3-pt shot from 24 ft (assist by J. Teague)
9:36.0,M. Chriss misses 3-pt shot from 22 ft,,46-55,,
9:34.0,Offensive rebound by T. Chandler,,46-55,,
9:28.0,,,46-55,,Personal foul by T. Gibson (drawn by M. Chriss)
9:20.0,M. Chriss misses 3-pt shot from 22 ft,,46-55,,
9:15.0,,,46-55,,Defensive rebound by J. Butler
9:06.0,Personal foul by T. Chandler (drawn by K. Towns),,46-55,,
8:51.0,,,46-55,,J. Butler misses 2-pt shot from 12 ft
8:50.0,Defensive rebound by Team,,46-55,,
8:39.0,Shooting foul by T. Gibson (drawn by M. Chriss),,46-55,,
8:39.0,M. Chriss makes free throw 1 of 2,1,47-55,,
8:39.0,M. Chriss misses free throw 2 of 2,,47-55,,
8:37.0,,,47-55,,Defensive rebound by J. Butler
8:23.0,,,47-58,3,J. Teague makes 3-pt shot from 24 ft
8:12.0,Shooting foul by K. Towns (drawn by T. Chandler),,47-58,,
8:12.0,T. Chandler makes free throw 1 of 2,1,48-58,,
8:12.0,T. Chandler makes free throw 2 of 2,1,49-58,,
8:05.0,,,49-58,,Shooting foul by T. Chandler (drawn by K. Towns)
8:05.0,,,49-59,1,K. Towns makes free throw 1 of 2
8:05.0,A. Len enters the game for T. Chandler,,49-59,,
8:05.0,,,49-60,1,K. Towns makes free throw 2 of 2
7:46.0,J. Jackson misses 3-pt shot from 24 ft,,49-60,,
7:41.0,Offensive rebound by T. Warren,,49-60,,
7:39.0,T. Warren misses 2-pt shot from 2 ft,,49-60,,
7:34.0,Offensive rebound by J. Jackson,,49-60,,
7:34.0,J. Jackson makes 2-pt shot at rim,2,51-60,,
7:27.0,,,51-63,3,K. Towns makes 3-pt shot from 24 ft (assist by J. Teague)
7:11.0,Offensive charge foul by M. Chriss (drawn by J. Butler),,51-63,,
7:11.0,Turnover by M. Chriss (offensive foul),,51-63,,
7:11.0,,,51-63,,Technical foul by J. Butler
7:11.0,T. Warren makes technical free throw,1,52-63,,
