time,Toronto,pts.away,score,pts.home,Golden State
5:01.0,Turnover by N. Powell (bad pass; steal by S. Curry),,73-75,,
4:59.0,,,73-75,,P. McCaw enters the game for K. Thompson
4:59.0,,,73-75,,J. Bell enters the game for Z. Pachulia
4:48.0,,,73-77,2,P. McCaw makes 2-pt shot from 1 ft (assist by D. Green)
4:25.0,K. Lowry makes 2-pt shot from 1 ft (assist by P. Siakam),2,75-77,,
4:14.0,,,75-79,2,J. Bell makes 2-pt shot from 2 ft (assist by D. Green)
4:14.0,Toronto full timeout,,75-79,,
4:14.0,C. Miles enters the game for S. Ibaka,,75-79,,
4:14.0,J. Poeltl enters the game for N. Powell,,75-79,,
3:51.0,J. Poeltl misses 2-pt shot from 2 ft (block by J. Bell),,75-79,,
3:45.0,,,75-79,,Defensive rebound by J. Bell
3:33.0,,,75-79,,S. Curry misses 2-pt shot from 17 ft
3:28.0,Defensive rebound by D. DeRozan,,75-79,,
3:22.0,P. Siakam misses 2-pt shot from 10 ft,,75-79,,
3:17.0,,,75-79,,Defensive rebound by D. Green
3:13.0,,,75-81,2,J. Bell makes 2-pt shot from 2 ft (assist by A. Iguodala)
2:59.0,K. Lowry makes 2-pt shot from 17 ft,2,77-81,,
2:40.0,,,77-83,2,S. Curry makes 2-pt shot from 2 ft
2:31.0,D. DeRozan makes 2-pt shot from 3 ft (assist by K. Lowry),2,79-83,,
2:12.0,,,79-83,,S. Curry misses 2-pt shot from 11 ft
2:06.0,Defensive rebound by K. Lowry,,79-83,,
2:03.0,K. Lowry misses 3-pt shot from 77 ft (block by S. Curry),,79-83,,
2:03.0,,,79-83,,Defensive rebound by S. Curry
1:58.0,,,79-83,,Shooting foul by C. Miles (drawn by D. Green)
1:58.0,,,79-84,1,D. Green makes free throw 1 of 2
1:58.0,O. Anunoby enters the game for K. Lowry,,79-84,,
1:58.0,D. Wright enters the game for P. Siakam,,79-84,,
1:58.0,,,79-85,1,D. Green makes free throw 2 of 2
1:44.0,O. Anunoby misses 3-pt shot from 23 ft,,79-85,,
1:43.0,Offensive rebound by Team,,79-85,,
1:43.0,,,79-85,,K. Durant enters the game for D. Green
1:33.0,D. Wright makes 2-pt shot from 1 ft,2,81-85,,
1:33.0,Shooting foul by J. Bell (drawn by D. Wright),,81-85,,
1:33.0,D. Wright makes free throw 1 of 1,1,82-85,,
1:17.0,,,82-88,3,S. Curry makes 3-pt shot from 22 ft (assist by A. Iguodala)
1:04.0,D. DeRozan makes 2-pt shot from 12 ft,2,84-88,,
0:52.0,,,84-91,3,S. Curry makes 3-pt shot from 28 ft (assist by K. Durant)
0:31.0,D. DeRozan makes 2-pt shot from 19 ft (assist by O. Anunoby),2,86-91,,
0:28.0,,,86-91,,S. Curry misses 3-pt shot from 26 ft
0:18.0,Defensive rebound by J. Poeltl,,86-91,,
0:04.0,D. DeRozan misses 2-pt shot from 21 ft,,86-91,,
0:04.0,Offensive rebound by J. Poeltl,,86-91,,
0:02.0,J. Poeltl misses 2-pt shot at rim,,86-91,,
0:02.0,Offensive rebound by J. Poeltl,,86-91,,
0:01.0,J. Poeltl misses 2-pt shot at rim,,86-91,,
0:01.0,,,86-91,,Defensive rebound by K. Durant
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,K. Lowry misses 2-pt shot from 7 ft,,86-91,,
11:35.0,,,86-91,,Defensive rebound by D. West
11:22.0,,,86-93,2,K. Durant makes 2-pt shot from 14 ft (assist by S. Livingston)
11:06.0,Turnover by C. Miles (bad pass; steal by K. Thompson),,86-93,,
11:01.0,,,86-95,2,D. West makes 2-pt shot from 2 ft (assist by S. Livingston)
10:43.0,Turnover by D. Wright (bad pass; steal by A. Iguodala),,86-95,,
10:32.0,,,86-97,2,D. West makes 2-pt shot at rim (assist by K. Durant)
10:30.0,Toronto full timeout,,86-97,,
10:17.0,J. Poeltl makes 2-pt shot from 3 ft (assist by O. Anunoby),2,88-97,,
9:52.0,,,88-97,,A. Iguodala misses 3-pt shot from 22 ft
9:48.0,Defensive rebound by C. Miles,,88-97,,
9:43.0,K. Lowry misses 2-pt shot from 11 ft,,88-97,,
9:36.0,Offensive rebound by O. Anunoby,,88-97,,
9:27.0,O. Anunoby makes 3-pt shot from 28 ft (assist by D. Wright),3,91-97,,
9:02.0,,,91-97,,K. Thompson misses 2-pt shot from 9 ft
8:54.0,,,91-97,,Offensive rebound by D. West
8:54.0,,,91-99,2,D. West makes 2-pt shot at rim
8:43.0,C. Miles misses 3-pt shot from 24 ft (block by D. West),,91-99,,
8:43.0,O. Anunoby makes 2-pt shot at rim (assist by J. Poeltl),2,93-99,,
8:39.0,Offensive rebound by J. Poeltl,,93-99,,
8:27.0,Personal foul by J. Poeltl (drawn by K. Durant),,93-99,,
8:27.0,D. DeRozan enters the game for C. Miles,,93-99,,
8:19.0,,,93-99,,Turnover by D. West (bad pass)
8:08.0,K. Lowry misses 3-pt shot from 26 ft,,93-99,,
8:04.0,Offensive rebound by J. Poeltl,,93-99,,
8:04.0,J. Poeltl makes 2-pt shot from 2 ft,2,95-99,,
8:04.0,,,95-99,,D. Green enters the game for D. West
7:48.0,,,95-99,,K. Durant misses 2-pt shot from 20 ft
7:44.0,Defensive rebound by D. Wright,,95-99,,
7:38.0,D. DeRozan misses 2-pt shot from 9 ft (block by A. Iguodala),,95-99,,
7:31.0,Offensive rebound by D. Wright,,95-99,,
7:25.0,Shooting foul by D. Green (drawn by D. Wright),,95-99,,
7:25.0,D. Wright makes free throw 1 of 2,1,96-99,,
7:25.0,D. Wright makes free throw 2 of 2,1,97-99,,
7:13.0,,,97-99,,Turnover by D. Green (lost ball; steal by J. Poeltl)
7:10.0,D. Wright makes 2-pt shot from 1 ft (assist by K. Lowry),2,99-99,,
7:10.0,,,99-99,,Golden State full timeout
7:10.0,,,99-99,,S. Curry enters the game for A. Iguodala
6:56.0,,,99-101,2,K. Durant makes 2-pt shot from 16 ft
6:38.0,Shooting foul by S. Livingston (drawn by D. DeRozan),,99-101,,
6:38.0,D. DeRozan makes free throw 1 of 2,1,100-101,,
6:38.0,D. DeRozan makes free throw 2 of 2,1,101-101,,
6:26.0,,,101-101,,Shooting foul by J. Poeltl (drawn by D. Green)
6:26.0,,,101-102,1,D. Green makes free throw 1 of 2
6:26.0,S. Ibaka enters the game for O. Anunoby,,101-102,,
6:26.0,,,101-103,1,D. Green makes free throw 2 of 2
6:03.0,K. Lowry makes 3-pt shot from 26 ft (assist by J. Poeltl),3,104-103,,
5:50.0,,,104-103,,Shooting foul by K. Lowry (drawn by K. Durant)
5:50.0,,,104-103,,K. Durant misses free throw 1 of 2
5:50.0,,,104-103,,Offensive rebound by Team
5:50.0,,,104-104,1,K. Durant makes free throw 2 of 2
5:37.0,D. DeRozan misses 2-pt shot from 17 ft,,104-104,,
5:33.0,Offensive rebound by J. Poeltl,,104-104,,
5:30.0,D. Wright misses 3-pt shot from 25 ft,,104-104,,
5:26.0,,,104-104,,Defensive rebound by S. Curry
5:21.0,,,104-104,,K. Durant misses 3-pt shot from 25 ft
5:15.0,Defensive rebound by K. Lowry,,104-104,,
5:13.0,K. Lowry misses 3-pt shot from 28 ft,,104-104,,
5:11.0,Offensive rebound by Team,,104-104,,
5:11.0,,,104-104,,Loose ball foul by S. Livingston (drawn by J. Poeltl)
4:58.0,D. DeRozan misses 2-pt shot from 21 ft,,104-104,,
4:53.0,Offensive rebound by J. Poeltl,,104-104,,
4:43.0,D. DeRozan misses 2-pt shot from 7 ft,,104-104,,
4:39.0,,,104-104,,Defensive rebound by D. Green
4:36.0,,,104-104,,Shooting foul by K. Lowry (drawn by K. Durant)
4:36.0,,,104-104,,K. Durant misses free throw 1 of 2
4:36.0,,,104-104,,Offensive rebound by Team
4:36.0,,,104-104,,A. Iguodala enters the game for S. Livingston
4:36.0,Toronto full timeout,,104-104,,
4:36.0,,,104-105,1,K. Durant makes free throw 2 of 2
4:22.0,J. Poeltl makes 2-pt shot from 4 ft (assist by K. Lowry),2,106-105,,
4:03.0,,,106-105,,K. Thompson misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by D. Wright,,106-105,,
3:53.0,D. DeRozan makes 2-pt shot from 2 ft (assist by D. Wright),2,108-105,,
3:41.0,,,108-105,,S. Curry misses 3-pt shot from 27 ft
3:37.0,Defensive rebound by K. Lowry,,108-105,,
3:20.0,Turnover by S. Ibaka (traveling),,108-105,,
3:05.0,,,108-105,,S. Curry misses 3-pt shot from 25 ft
3:01.0,Defensive rebound by D. Wright,,108-105,,
2:52.0,D. DeRozan makes 2-pt shot from 13 ft,2,110-105,,
2:36.0,,,110-107,2,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green)
2:13.0,Shooting foul by D. Green (drawn by D. DeRozan),,110-107,,
2:13.0,D. DeRozan makes free throw 1 of 2,1,111-107,,
2:13.0,D. DeRozan makes free throw 2 of 2,1,112-107,,
1:56.0,,,112-107,,Turnover by K. Durant (out of bounds lost ball)
1:37.0,J. Poeltl misses 2-pt shot from 8 ft (block by D. Green),,112-107,,
1:30.0,,,112-107,,Defensive rebound by K. Thompson
1:28.0,,,112-109,2,S. Curry makes 2-pt shot from 2 ft (assist by A. Iguodala)
1:05.0,K. Lowry misses 2-pt shot from 13 ft,,112-109,,
1:02.0,,,112-109,,Defensive rebound by D. Green
