time,Cleveland,pts.away,score,pts.home,Philadelphia
8:22.0,L. James makes free throw 1 of 1,1,8-8,,
8:11.0,,,8-8,,Shooting foul by K. Love (drawn by B. Simmons)
8:11.0,,,8-9,1,B. Simmons makes free throw 1 of 2
8:11.0,,,8-9,,B. Simmons misses free throw 2 of 2
8:08.0,,,8-9,,Offensive rebound by A. Johnson
8:06.0,,,8-11,2,A. Johnson makes 2-pt shot from 4 ft
7:49.0,J. Green makes 3-pt shot from 26 ft (assist by L. James),3,11-11,,
7:31.0,,,11-11,,J. Redick misses 2-pt shot from 20 ft
7:27.0,,,11-11,,Offensive rebound by A. Johnson
7:27.0,,,11-13,2,A. Johnson makes 2-pt shot from 6 ft
7:19.0,Turnover by L. James (bad pass; steal by A. Johnson),,11-13,,
7:14.0,,,11-16,3,J. Redick makes 3-pt shot from 25 ft (assist by B. Simmons)
7:13.0,Cleveland full timeout,,11-16,,
7:13.0,,,11-16,,M. Belinelli enters the game for R. Covington
7:13.0,,,11-16,,T. McConnell enters the game for J. Redick
7:01.0,Turnover by L. James (lost ball; steal by B. Simmons),,11-16,,
6:43.0,,,11-16,,Shooting foul by J. Green (drawn by M. Belinelli)
6:43.0,,,11-17,1,M. Belinelli makes free throw 1 of 3
6:43.0,,,11-18,1,M. Belinelli makes free throw 2 of 3
6:43.0,,,11-19,1,M. Belinelli makes free throw 3 of 3
6:23.0,K. Love misses 2-pt shot from 16 ft,,11-19,,
6:23.0,Offensive rebound by Team,,11-19,,
6:23.0,,,11-19,,Loose ball foul by D. Saric (drawn by J. Green)
6:14.0,C. Osman misses 2-pt shot from 4 ft,,11-19,,
6:10.0,,,11-19,,Defensive rebound by B. Simmons
6:05.0,,,11-19,,Turnover by M. Belinelli (out of bounds lost ball)
5:53.0,R. Hood makes 2-pt shot from 5 ft,2,13-19,,
5:40.0,,,13-22,3,D. Saric makes 3-pt shot from 27 ft (assist by B. Simmons)
5:29.0,Shooting foul by A. Johnson (drawn by R. Hood),,13-22,,
5:29.0,R. Hood makes free throw 1 of 2,1,14-22,,
5:29.0,,,14-22,,R. Holmes enters the game for A. Johnson
5:29.0,T. Thompson enters the game for C. Osman,,14-22,,
5:29.0,J. Smith enters the game for J. Green,,14-22,,
5:29.0,R. Hood makes free throw 2 of 2,1,15-22,,
5:18.0,,,15-22,,M. Belinelli misses 3-pt shot from 25 ft
5:15.0,,,15-22,,Offensive rebound by Team
5:05.0,,,15-22,,D. Saric misses 2-pt shot from 18 ft
5:01.0,Defensive rebound by L. James,,15-22,,
4:55.0,L. James misses 2-pt shot from 22 ft,,15-22,,
4:52.0,,,15-22,,Defensive rebound by B. Simmons
4:49.0,,,15-25,3,M. Belinelli makes 3-pt shot from 26 ft (assist by B. Simmons)
4:33.0,J. Smith makes 2-pt shot from 19 ft,2,17-25,,
4:27.0,,,17-27,2,R. Holmes makes 2-pt shot from 1 ft (assist by B. Simmons)
4:11.0,L. James misses 2-pt shot from 1 ft,,17-27,,
4:08.0,Offensive rebound by L. James,,17-27,,
4:08.0,L. James misses 2-pt shot at rim,,17-27,,
4:07.0,,,17-27,,Defensive rebound by B. Simmons
4:05.0,,,17-29,2,R. Holmes makes 2-pt shot from 1 ft (assist by T. McConnell)
4:05.0,Cleveland full timeout,,17-29,,
4:05.0,,,17-29,,R. Covington enters the game for D. Saric
4:05.0,,,17-29,,E. Ilyasova enters the game for T. McConnell
4:05.0,J. Clarkson enters the game for R. Hood,,17-29,,
3:50.0,K. Love misses 2-pt shot from 2 ft (block by E. Ilyasova),,17-29,,
3:45.0,,,17-29,,Defensive rebound by M. Belinelli
3:43.0,,,17-31,2,B. Simmons makes 2-pt shot from 1 ft
3:25.0,L. James misses 2-pt shot from 8 ft,,17-31,,
3:25.0,Offensive rebound by T. Thompson,,17-31,,
3:20.0,T. Thompson makes 2-pt shot at rim,2,19-31,,
3:02.0,,,19-31,,R. Covington misses 3-pt shot from 25 ft
2:59.0,,,19-31,,Offensive rebound by B. Simmons
2:57.0,,,19-31,,R. Covington misses 3-pt shot from 27 ft
2:54.0,Defensive rebound by K. Love,,19-31,,
2:47.0,L. James misses 2-pt shot from 5 ft (block by R. Holmes),,19-31,,
2:44.0,,,19-31,,Defensive rebound by B. Simmons
2:40.0,,,19-31,,M. Belinelli misses 3-pt shot from 26 ft
2:40.0,Defensive rebound by K. Love,,19-31,,
2:36.0,,,19-31,,Personal foul by B. Simmons (drawn by L. James)
2:36.0,,,19-31,,J. Redick enters the game for M. Belinelli
2:36.0,,,19-31,,M. Fultz enters the game for B. Simmons
2:36.0,K. Korver enters the game for K. Love,,19-31,,
2:32.0,J. Smith misses 3-pt shot from 26 ft,,19-31,,
2:29.0,,,19-31,,Defensive rebound by R. Covington
2:18.0,,,19-31,,E. Ilyasova misses 2-pt shot from 9 ft
2:10.0,,,19-31,,Offensive rebound by M. Fultz
2:03.0,,,19-34,3,R. Covington makes 3-pt shot from 22 ft (assist by E. Ilyasova)
1:44.0,J. Smith misses 2-pt shot from 18 ft,,19-34,,
1:41.0,,,19-34,,Defensive rebound by E. Ilyasova
1:35.0,,,19-34,,M. Fultz misses 2-pt shot from 5 ft
1:31.0,Defensive rebound by J. Clarkson,,19-34,,
1:28.0,J. Clarkson makes 2-pt shot from 1 ft,2,21-34,,
1:27.0,,,21-34,,Philadelphia full timeout
1:17.0,,,21-36,2,M. Fultz makes 2-pt shot from 1 ft
1:01.0,K. Korver makes 2-pt shot from 21 ft (assist by L. James),2,23-36,,
0:46.0,,,23-39,3,J. Redick makes 3-pt shot from 26 ft (assist by R. Holmes)
0:36.0,T. Thompson makes 2-pt shot from 1 ft (assist by L. James),2,25-39,,
0:36.0,Shooting foul by E. Ilyasova (drawn by T. Thompson),,25-39,,
0:36.0,T. Thompson misses free throw 1 of 1,,25-39,,
0:36.0,,,25-39,,Defensive rebound by E. Ilyasova
0:28.0,,,25-41,2,M. Fultz makes 2-pt shot from 1 ft
0:07.0,K. Korver makes 3-pt shot from 28 ft (assist by L. James),3,28-41,,
0:00.0,,,28-41,,R. Holmes misses 2-pt shot from 16 ft
0:00.0,,,28-41,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,L. Nance misses 2-pt shot from 3 ft,,28-41,,
11:38.0,,,28-41,,Defensive rebound by M. Fultz
11:32.0,,,28-41,,D. Saric misses 3-pt shot from 26 ft
11:29.0,Defensive rebound by J. Green,,28-41,,
11:27.0,Shooting foul by R. Covington (drawn by J. Green),,28-41,,
11:27.0,J. Green makes free throw 1 of 2,1,29-41,,
11:27.0,J. Green makes free throw 2 of 2,1,30-41,,
11:18.0,,,30-43,2,J. Redick makes 2-pt shot from 2 ft (assist by D. Saric)
11:05.0,Turnover by J. Green (bad pass; steal by M. Fultz),,30-43,,
10:59.0,,,30-45,2,M. Fultz makes 2-pt shot from 1 ft
10:50.0,J. Clarkson misses 2-pt shot from 8 ft,,30-45,,
10:47.0,,,30-45,,Defensive rebound by J. Redick
10:43.0,,,30-45,,J. Redick misses 3-pt shot from 24 ft
10:40.0,,,30-45,,Offensive rebound by Team
10:40.0,,,30-45,,M. Belinelli enters the game for J. Redick
10:38.0,,,30-48,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by M. Fultz)
10:12.0,J. Clarkson misses 2-pt shot from 7 ft,,30-48,,
10:10.0,Offensive rebound by J. Clarkson,,30-48,,
10:09.0,J. Clarkson misses 2-pt shot from 4 ft (block by R. Covington),,30-48,,
10:09.0,,,30-48,,Defensive rebound by M. Fultz
10:04.0,,,30-48,,Turnover by M. Fultz (lost ball; steal by J. Clarkson)
9:58.0,J. Clarkson makes 2-pt shot at rim,2,32-48,,
9:41.0,,,32-50,2,E. Ilyasova makes 2-pt shot from 22 ft (assist by M. Fultz)
9:14.0,J. Clarkson misses 2-pt shot from 13 ft,,32-50,,
9:11.0,,,32-50,,Defensive rebound by D. Saric
8:48.0,,,32-52,2,M. Fultz makes 2-pt shot from 11 ft (assist by D. Saric)
8:27.0,K. Korver misses 3-pt shot from 26 ft,,32-52,,
8:24.0,,,32-52,,Defensive rebound by E. Ilyasova
8:12.0,Personal foul by K. Korver (drawn by D. Saric),,32-52,,
8:05.0,,,32-55,3,R. Covington makes 3-pt shot from 22 ft (assist by M. Fultz)
8:03.0,Cleveland full timeout,,32-55,,
8:03.0,,,32-55,,B. Simmons enters the game for M. Fultz
8:03.0,L. James enters the game for J. Clarkson,,32-55,,
7:56.0,L. Nance misses 2-pt shot from 8 ft (block by R. Covington),,32-55,,
7:55.0,,,32-55,,Defensive rebound by B. Simmons
7:47.0,,,32-55,,D. Saric misses 2-pt shot from 15 ft
7:45.0,Defensive rebound by L. James,,32-55,,
7:41.0,L. Nance makes 2-pt shot from 1 ft (assist by L. James),2,34-55,,
7:25.0,,,34-57,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by B. Simmons)
7:04.0,J. Smith misses 3-pt shot from 23 ft,,34-57,,
7:00.0,,,34-57,,Defensive rebound by E. Ilyasova
6:50.0,,,34-57,,B. Simmons misses 2-pt shot from 1 ft
6:47.0,Defensive rebound by L. James,,34-57,,
6:44.0,Turnover by L. James (lost ball; steal by R. Covington),,34-57,,
6:40.0,,,34-57,,Turnover by D. Saric (bad pass)
6:40.0,R. Hood enters the game for J. Smith,,34-57,,
6:31.0,,,34-57,,Personal foul by M. Belinelli (drawn by L. Nance)
6:31.0,,,34-57,,J. Redick enters the game for E. Ilyasova
6:31.0,,,34-57,,A. Johnson enters the game for R. Covington
6:18.0,J. Green makes 3-pt shot from 24 ft (assist by L. James),3,37-57,,
5:52.0,,,37-60,3,M. Belinelli makes 3-pt shot from 30 ft (assist by D. Saric)
5:45.0,Turnover by L. James (bad pass; steal by B. Simmons),,37-60,,
5:38.0,,,37-62,2,J. Redick makes 2-pt shot from 3 ft (assist by B. Simmons)
5:31.0,Turnover by J. Green (lost ball; steal by B. Simmons),,37-62,,
5:26.0,,,37-65,3,M. Belinelli makes 3-pt shot from 25 ft (assist by B. Simmons)
5:25.0,Cleveland full timeout,,37-65,,
5:25.0,K. Love enters the game for L. Nance,,37-65,,
5:25.0,C. Osman enters the game for K. Korver,,37-65,,
5:07.0,J. Green makes 2-pt shot from 1 ft (assist by L. James),2,39-65,,
4:52.0,,,39-65,,Turnover by B. Simmons (bad pass; steal by L. James)
4:47.0,L. James misses 2-pt shot from 1 ft,,39-65,,
4:45.0,,,39-65,,Defensive rebound by J. Redick
4:38.0,,,39-67,2,B. Simmons makes 2-pt shot from 2 ft (assist by A. Johnson)
4:20.0,L. James makes 2-pt shot at rim,2,41-67,,
4:13.0,,,41-67,,M. Belinelli misses 3-pt shot from 25 ft
4:11.0,Defensive rebound by K. Love,,41-67,,
3:58.0,K. Love makes 2-pt shot at rim (assist by L. James),2,43-67,,
3:44.0,Personal foul by R. Hood (drawn by A. Johnson),,43-67,,
3:44.0,,,43-67,,R. Covington enters the game for D. Saric
3:44.0,,,43-67,,E. Ilyasova enters the game for M. Belinelli
3:39.0,,,43-67,,Shooting foul by R. Hood (drawn by J. Redick)
3:39.0,,,43-67,,J. Redick misses free throw 1 of 3
3:39.0,,,43-67,,Offensive rebound by Team
3:39.0,,,43-68,1,J. Redick makes free throw 2 of 3
3:39.0,,,43-69,1,J. Redick makes free throw 3 of 3
3:24.0,L. James makes 2-pt shot from 2 ft (assist by K. Love),2,45-69,,
3:24.0,Shooting foul by R. Covington (drawn by L. James),,45-69,,
3:24.0,L. James misses free throw 1 of 1,,45-69,,
3:24.0,,,45-69,,Defensive rebound by E. Ilyasova
3:11.0,,,45-71,2,B. Simmons makes 2-pt shot from 8 ft (assist by J. Redick)
3:01.0,K. Love misses 3-pt shot from 25 ft,,45-71,,
2:58.0,,,45-71,,Defensive rebound by B. Simmons
2:49.0,,,45-71,,E. Ilyasova misses 3-pt shot from 24 ft
2:47.0,Defensive rebound by K. Love,,45-71,,
2:42.0,C. Osman misses 3-pt shot from 28 ft,,45-71,,
2:39.0,,,45-71,,Defensive rebound by R. Covington
2:26.0,,,45-73,2,B. Simmons makes 2-pt shot at rim
2:21.0,Turnover by K. Love (bad pass),,45-73,,
2:21.0,,,45-73,,Philadelphia full timeout
2:21.0,,,45-73,,M. Belinelli enters the game for R. Covington
2:11.0,,,45-73,,Shooting foul by K. Love (drawn by E. Ilyasova)
2:11.0,,,45-74,1,E. Ilyasova makes free throw 1 of 2
2:11.0,J. Smith enters the game for R. Hood,,45-74,,
2:11.0,,,45-75,1,E. Ilyasova makes free throw 2 of 2
1:51.0,L. James makes 2-pt shot from 2 ft (assist by K. Love),2,47-75,,
1:43.0,,,47-75,,M. Belinelli misses 2-pt shot from 15 ft
1:41.0,Defensive rebound by L. James,,47-75,,
1:34.0,L. James misses 2-pt shot from 2 ft (block by B. Simmons),,47-75,,
1:34.0,Offensive rebound by Team,,47-75,,
1:34.0,Shooting foul by E. Ilyasova (drawn by C. Osman),,47-75,,
1:34.0,C. Osman makes free throw 1 of 2,1,48-75,,
1:34.0,C. Osman misses free throw 2 of 2,,48-75,,
1:31.0,,,48-75,,Defensive rebound by B. Simmons
1:20.0,,,48-78,3,J. Redick makes 3-pt shot from 26 ft (assist by A. Johnson)
1:03.0,Shooting foul by B. Simmons (drawn by K. Love),,48-78,,
1:03.0,,,48-78,,D. Saric enters the game for E. Ilyasova
1:03.0,K. Love makes free throw 1 of 2,1,49-78,,
1:03.0,K. Love makes free throw 2 of 2,1,50-78,,
0:54.0,,,50-78,,A. Johnson misses 2-pt shot from 5 ft
0:52.0,Defensive rebound by K. Love,,50-78,,
0:48.0,C. Osman misses 2-pt shot from 5 ft,,50-78,,
0:45.0,Offensive rebound by J. Green,,50-78,,
0:45.0,J. Green makes 2-pt shot at rim,2,52-78,,
0:34.0,,,52-78,,M. Belinelli misses 2-pt shot from 4 ft
0:34.0,Defensive rebound by Team,,52-78,,
0:34.0,,,52-78,,M. Fultz enters the game for B. Simmons
0:34.0,T. Thompson enters the game for K. Love,,52-78,,
0:14.0,J. Green makes 3-pt shot from 23 ft (assist by L. James),3,55-78,,
0:03.0,,,55-78,,A. Johnson misses 2-pt shot from 4 ft
0:03.0,Defensive rebound by T. Thompson,,55-78,,
0:00.0,C. Osman misses 3-pt shot from 40 ft,,55-78,,
0:00.0,Offensive rebound by Team,,55-78,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,C. Osman makes 3-pt shot from 25 ft (assist by J. Green),3,58-78,,
11:23.0,,,58-78,,D. Saric misses 3-pt shot from 23 ft
11:20.0,Defensive rebound by L. James,,58-78,,
11:16.0,L. James makes 3-pt shot from 25 ft (assist by J. Green),3,61-78,,
11:05.0,Personal foul by C. Osman (drawn by B. Simmons),,61-78,,
10:58.0,,,61-80,2,B. Simmons makes 2-pt shot from 1 ft
10:41.0,L. James makes 3-pt shot from 26 ft,3,64-80,,
10:34.0,Personal foul by K. Korver (drawn by J. Redick),,64-80,,
10:23.0,,,64-82,2,B. Simmons makes 2-pt shot from 2 ft
10:23.0,,,64-82,,Shooting foul by K. Korver (drawn by B. Simmons)
10:23.0,,,64-82,,B. Simmons misses free throw 1 of 1
10:23.0,Defensive rebound by J. Green,,64-82,,
10:07.0,L. James misses 2-pt shot from 3 ft (block by R. Covington),,64-82,,
10:07.0,,,64-82,,Defensive rebound by Team
10:02.0,,,64-84,2,A. Johnson makes 2-pt shot from 2 ft (assist by B. Simmons)
10:02.0,,,64-84,,Shooting foul by J. Green (drawn by A. Johnson)
10:02.0,,,64-85,1,A. Johnson makes free throw 1 of 1
9:48.0,Shooting foul by A. Johnson (drawn by K. Love),,64-85,,
9:48.0,K. Love misses free throw 1 of 2,,64-85,,
9:48.0,Offensive rebound by Team,,64-85,,
9:48.0,K. Love makes free throw 2 of 3,1,65-85,,
9:48.0,K. Love makes free throw 3 of 3,1,66-85,,
9:37.0,,,66-85,,J. Redick misses 2-pt shot from 22 ft
9:31.0,Defensive rebound by L. James,,66-85,,
9:26.0,K. Love misses 3-pt shot from 26 ft,,66-85,,
9:23.0,,,66-85,,Defensive rebound by A. Johnson
9:17.0,,,66-85,,J. Redick misses 2-pt shot from 3 ft (block by K. Love)
9:17.0,,,66-85,,Offensive rebound by Team
9:13.0,,,66-85,,A. Johnson misses 2-pt shot from 1 ft
9:11.0,Defensive rebound by J. Green,,66-85,,
9:08.0,L. James makes 2-pt shot from 1 ft,2,68-85,,
8:47.0,,,68-85,,J. Redick misses 3-pt shot from 27 ft
8:45.0,Defensive rebound by L. James,,68-85,,
8:44.0,Turnover by K. Korver (out of bounds lost ball),,68-85,,
8:32.0,,,68-85,,Turnover by A. Johnson (bad pass; steal by K. Korver)
8:29.0,C. Osman makes 2-pt shot from 2 ft (assist by L. James),2,70-85,,
8:29.0,,,70-85,,Philadelphia full timeout
8:29.0,,,70-85,,R. Holmes enters the game for A. Johnson
8:16.0,,,70-85,,D. Saric misses 3-pt shot from 26 ft
8:13.0,Defensive rebound by C. Osman,,70-85,,
7:55.0,L. James makes 2-pt shot from 1 ft (assist by C. Osman),2,72-85,,
7:34.0,,,72-85,,Turnover by J. Redick (bad pass; steal by K. Korver)
7:28.0,J. Green makes 3-pt shot from 23 ft (assist by C. Osman),3,75-85,,
7:12.0,Personal foul by K. Love (drawn by J. Redick),,75-85,,
7:12.0,,,75-86,1,J. Redick makes free throw 1 of 2
7:12.0,,,75-86,,T. McConnell enters the game for D. Saric
7:12.0,,,75-86,,E. Ilyasova enters the game for R. Covington
7:12.0,,,75-87,1,J. Redick makes free throw 2 of 2
6:54.0,Shooting foul by R. Holmes (drawn by L. James),,75-87,,
6:54.0,L. James misses free throw 1 of 2,,75-87,,
6:54.0,Offensive rebound by Team,,75-87,,
6:54.0,,,75-87,,M. Belinelli enters the game for J. Redick
6:54.0,L. James makes free throw 2 of 2,1,76-87,,
6:33.0,,,76-87,,E. Ilyasova misses 3-pt shot from 25 ft
6:30.0,Defensive rebound by K. Love,,76-87,,
6:25.0,L. James misses 3-pt shot from 25 ft,,76-87,,
6:22.0,Offensive rebound by C. Osman,,76-87,,
6:20.0,L. James makes 2-pt shot at rim (assist by K. Korver),2,78-87,,
6:11.0,,,78-87,,T. McConnell misses 2-pt shot from 11 ft
6:08.0,Defensive rebound by K. Love,,78-87,,
5:52.0,L. James makes 2-pt shot from 4 ft,2,80-87,,
5:34.0,,,80-89,2,M. Belinelli makes 2-pt shot from 15 ft (assist by E. Ilyasova)
5:06.0,J. Green misses 3-pt shot from 22 ft,,80-89,,
5:03.0,,,80-89,,Defensive rebound by B. Simmons
4:58.0,,,80-89,,Turnover by R. Holmes (out of bounds lost ball)
4:58.0,,,80-89,,R. Covington enters the game for T. McConnell
4:58.0,J. Smith enters the game for L. James,,80-89,,
4:47.0,,,80-89,,Personal foul by E. Ilyasova (drawn by K. Love)
4:38.0,Turnover by K. Korver (bad pass; steal by B. Simmons),,80-89,,
4:35.0,Personal foul by J. Green (drawn by B. Simmons),,80-89,,
4:35.0,,,80-90,1,B. Simmons makes free throw 1 of 2
4:35.0,J. Clarkson enters the game for K. Korver,,80-90,,
4:35.0,,,80-91,1,B. Simmons makes free throw 2 of 2
4:21.0,K. Love makes 3-pt shot from 25 ft (assist by C. Osman),3,83-91,,
4:05.0,,,83-91,,Offensive foul by B. Simmons (drawn by J. Green)
4:05.0,,,83-91,,Turnover by B. Simmons (offensive foul)
3:50.0,Turnover by J. Clarkson (lost ball; steal by E. Ilyasova),,83-91,,
3:43.0,,,83-94,3,M. Belinelli makes 3-pt shot from 26 ft (assist by B. Simmons)
3:22.0,K. Love makes 2-pt shot from 16 ft,2,85-94,,
3:14.0,,,85-94,,Turnover by B. Simmons (out of bounds lost ball)
3:14.0,,,85-94,,M. Fultz enters the game for B. Simmons
2:58.0,J. Green misses 2-pt shot from 5 ft,,85-94,,
2:55.0,,,85-94,,Defensive rebound by R. Holmes
2:43.0,,,85-97,3,M. Belinelli makes 3-pt shot from 25 ft (assist by M. Fultz)
2:43.0,Cleveland full timeout,,85-97,,
2:27.0,Shooting foul by M. Belinelli (drawn by J. Green),,85-97,,
2:27.0,J. Green makes free throw 1 of 2,1,86-97,,
2:27.0,,,86-97,,J. Redick enters the game for R. Covington
2:27.0,J. Green makes free throw 2 of 2,1,87-97,,
2:16.0,,,87-99,2,M. Fultz makes 2-pt shot from 1 ft
2:01.0,K. Love makes 3-pt shot from 26 ft (assist by J. Clarkson),3,90-99,,
1:47.0,,,90-102,2,M. Belinelli makes 3-pt shot from 25 ft (assist by R. Holmes)
1:18.0,J. Green makes 2-pt shot from 9 ft,2,92-102,,
1:06.0,,,92-102,,Turnover by M. Fultz (turnover)
1:06.0,,,92-102,,Loose ball foul by M. Fultz (drawn by J. Clarkson)
1:06.0,J. Clarkson makes free throw 1 of 2,1,93-102,,
1:06.0,,,93-102,,R. Covington enters the game for R. Holmes
1:06.0,L. James enters the game for J. Green,,93-102,,
1:06.0,J. Clarkson makes free throw 2 of 2,1,94-102,,
0:54.0,,,94-102,,J. Redick misses 3-pt shot from 25 ft
0:51.0,Defensive rebound by C. Osman,,94-102,,
0:45.0,L. James makes 2-pt shot from 2 ft,2,96-102,,
0:34.0,,,96-104,2,R. Covington makes 2-pt shot from 3 ft (assist by E. Ilyasova)
0:34.0,,,96-104,,Shooting foul by J. Smith (drawn by R. Covington)
0:34.0,,,96-105,1,R. Covington makes free throw 1 of 1
0:23.0,L. James makes 2-pt shot from 1 ft,2,98-105,,
0:03.0,,,98-105,,M. Belinelli misses 3-pt shot from 26 ft
0:01.0,,,98-105,,Offensive rebound by E. Ilyasova
0:01.0,,,98-105,,E. Ilyasova misses 2-pt shot from 2 ft
0:01.0,Defensive rebound by Team,,98-105,,
0:00.0,C. Osman misses 3-pt shot from 53 ft,,98-105,,
0:00.0,Offensive rebound by Team,,98-105,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,98-107,2,E. Ilyasova makes 2-pt shot from 2 ft (assist by A. Johnson)
11:26.0,Turnover by L. James (lost ball; steal by R. Covington),,98-107,,
11:20.0,Personal foul by J. Clarkson (drawn by J. Redick),,98-107,,
11:17.0,,,98-107,,A. Johnson misses 2-pt shot from 2 ft
11:15.0,Defensive rebound by J. Green,,98-107,,
11:13.0,Shooting foul by E. Ilyasova (drawn by J. Green),,98-107,,
11:13.0,J. Green makes free throw 1 of 2,1,99-107,,
11:13.0,J. Green makes free throw 2 of 2,1,100-107,,
10:55.0,,,100-107,,M. Fultz misses 2-pt shot from 6 ft
10:54.0,,,100-107,,Offensive rebound by E. Ilyasova
10:38.0,,,100-107,,M. Fultz misses 2-pt shot from 8 ft
10:36.0,Defensive rebound by C. Osman,,100-107,,
10:29.0,Shooting foul by J. Redick (drawn by L. James),,100-107,,
10:29.0,L. James misses free throw 1 of 2,,100-107,,
10:29.0,Offensive rebound by Team,,100-107,,
10:29.0,,,100-107,,B. Simmons enters the game for M. Fultz
10:29.0,L. James makes free throw 2 of 2,1,101-107,,
10:20.0,,,101-107,,J. Redick misses 3-pt shot from 25 ft
10:16.0,,,101-107,,Offensive rebound by E. Ilyasova
10:09.0,,,101-109,2,B. Simmons makes 2-pt shot from 1 ft (assist by E. Ilyasova)
10:02.0,C. Osman misses 3-pt shot from 23 ft,,101-109,,
9:58.0,,,101-109,,Defensive rebound by R. Covington
9:42.0,,,101-111,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by B. Simmons)
9:24.0,L. James makes 3-pt shot from 25 ft,3,104-111,,
9:12.0,,,104-111,,A. Johnson misses 2-pt shot from 4 ft (block by L. James)
9:09.0,Defensive rebound by Team,,104-111,,
9:09.0,,,104-111,,M. Belinelli enters the game for A. Johnson
9:09.0,,,104-111,,D. Saric enters the game for J. Redick
9:09.0,K. Korver enters the game for C. Osman,,104-111,,
8:59.0,L. James makes 3-pt shot from 25 ft,3,107-111,,
8:57.0,,,107-111,,Philadelphia full timeout
8:44.0,,,107-111,,D. Saric misses 3-pt shot from 26 ft
8:41.0,Defensive rebound by L. James,,107-111,,
8:22.0,L. James makes 2-pt shot from 2 ft,2,109-111,,
8:14.0,Personal foul by J. Smith (drawn by B. Simmons),,109-111,,
8:14.0,,,109-111,,R. Holmes enters the game for E. Ilyasova
8:11.0,Personal foul by K. Korver (drawn by B. Simmons),,109-111,,
8:00.0,,,109-113,2,B. Simmons makes 2-pt shot from 8 ft
7:39.0,L. James misses 3-pt shot from 25 ft,,109-113,,
7:36.0,,,109-113,,Defensive rebound by B. Simmons
7:28.0,,,109-113,,M. Belinelli misses 3-pt shot from 26 ft
7:28.0,Defensive rebound by L. James,,109-113,,
7:21.0,Turnover by L. James (bad pass; steal by R. Covington),,109-113,,
7:03.0,,,109-113,,B. Simmons misses 2-pt shot from 12 ft
6:55.0,,,109-113,,Offensive rebound by R. Covington
6:55.0,,,109-115,2,R. Covington makes 2-pt shot at rim
6:44.0,J. Clarkson misses 2-pt shot from 4 ft (block by M. Belinelli),,109-115,,
6:44.0,,,109-115,,Defensive rebound by Team
6:36.0,,,109-117,2,R. Holmes makes 2-pt shot from 11 ft (assist by M. Belinelli)
6:36.0,Cleveland full timeout,,109-117,,
6:36.0,C. Osman enters the game for J. Clarkson,,109-117,,
6:36.0,K. Love enters the game for K. Korver,,109-117,,
6:23.0,J. Smith makes 3-pt shot from 25 ft (assist by K. Love),3,112-117,,
6:05.0,,,112-117,,M. Belinelli misses 3-pt shot from 25 ft
6:01.0,,,112-117,,Offensive rebound by D. Saric
