time,Houston,pts.away,score,pts.home,Brooklyn
1:49.0,E. Gordon makes 2-pt shot from 4 ft,2,32-26,,
1:35.0,,,32-28,2,C. LeVert makes 2-pt shot from 1 ft
1:20.0,N. Hilario misses 2-pt shot from 12 ft,,32-28,,
1:17.0,,,32-28,,Defensive rebound by N. Stauskas
1:12.0,,,32-30,2,D. Russell makes 2-pt shot from 4 ft
1:00.0,G. Green makes 3-pt shot from 24 ft,3,35-30,,
0:46.0,,,35-30,,J. Webb misses 3-pt shot from 22 ft
0:46.0,Defensive rebound by C. Paul,,35-30,,
0:36.0,G. Green makes 3-pt shot from 22 ft,3,38-30,,
0:25.0,,,38-30,,Shooting foul by N. Hilario (drawn by J. Okafor)
0:25.0,,,38-30,,J. Okafor misses free throw 1 of 2
0:25.0,,,38-30,,Offensive rebound by Team
0:25.0,,,38-31,1,J. Okafor makes free throw 2 of 2
0:02.0,G. Green misses 3-pt shot from 26 ft,,38-31,,
0:02.0,,,38-31,,Defensive rebound by C. LeVert
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,N. Hilario misses 2-pt shot from 2 ft,,38-31,,
11:41.0,,,38-31,,Defensive rebound by J. Webb
11:29.0,,,38-31,,D. Russell misses 3-pt shot from 22 ft
11:24.0,Defensive rebound by E. Gordon,,38-31,,
11:22.0,Turnover by C. Paul (bad pass; steal by D. Russell),,38-31,,
11:15.0,,,38-31,,D. Russell misses 2-pt shot from 7 ft
11:12.0,Defensive rebound by N. Hilario,,38-31,,
11:04.0,C. Paul makes 2-pt shot from 13 ft,2,40-31,,
10:51.0,,,40-34,3,C. LeVert makes 3-pt shot from 25 ft (assist by N. Stauskas)
10:36.0,N. Hilario misses 2-pt shot from 20 ft,,40-34,,
10:36.0,,,40-34,,Defensive rebound by C. LeVert
10:28.0,,,40-34,,Shooting foul by R. Anderson (drawn by D. Russell)
10:28.0,,,40-35,1,D. Russell makes free throw 1 of 2
10:28.0,,,40-36,1,D. Russell makes free throw 2 of 2
10:19.0,C. Paul makes 2-pt shot from 13 ft,2,42-36,,
10:01.0,Personal foul by G. Green (drawn by C. LeVert),,42-36,,
10:01.0,,,42-36,,J. Harris enters the game for N. Stauskas
9:54.0,,,42-36,,C. LeVert misses 2-pt shot from 1 ft
9:51.0,,,42-36,,Offensive rebound by J. Webb
9:49.0,,,42-36,,Turnover by J. Webb (bad pass; steal by E. Gordon)
9:47.0,Turnover by E. Gordon (lost ball; steal by C. LeVert),,42-36,,
9:46.0,,,42-36,,Offensive charge foul by C. LeVert (drawn by G. Green)
9:46.0,,,42-36,,Turnover by C. LeVert (offensive foul)
9:42.0,,,42-36,,Personal foul by C. LeVert (drawn by E. Gordon)
9:36.0,C. Paul makes 2-pt shot from 12 ft,2,44-36,,
9:19.0,,,44-36,,D. Russell misses 2-pt shot from 7 ft
9:15.0,,,44-36,,Offensive rebound by J. Harris
9:14.0,,,44-38,2,D. Russell makes 2-pt shot from 2 ft (assist by J. Harris)
9:07.0,E. Gordon misses 3-pt shot from 22 ft,,44-38,,
9:03.0,,,44-38,,Defensive rebound by J. Harris
9:00.0,Personal foul by G. Green (drawn by J. Webb),,44-38,,
9:00.0,C. Capela enters the game for E. Gordon,,44-38,,
9:00.0,L. Mbah a Moute enters the game for R. Anderson,,44-38,,
9:00.0,P. Tucker enters the game for N. Hilario,,44-38,,
8:49.0,,,44-38,,J. Harris misses 3-pt shot from 22 ft
8:44.0,Defensive rebound by L. Mbah a Moute,,44-38,,
8:41.0,C. Paul misses 3-pt shot from 24 ft,,44-38,,
8:38.0,,,44-38,,Defensive rebound by J. Webb
8:32.0,,,44-41,3,J. Harris makes 3-pt shot from 22 ft (assist by C. LeVert)
8:19.0,G. Green makes 2-pt shot from 12 ft,2,46-41,,
8:07.0,,,46-41,,C. LeVert misses 2-pt shot from 1 ft
8:04.0,Defensive rebound by C. Capela,,46-41,,
7:59.0,G. Green misses 3-pt shot from 24 ft,,46-41,,
7:55.0,,,46-41,,Defensive rebound by J. Okafor
7:43.0,,,46-41,,J. Harris misses 2-pt shot from 2 ft (block by C. Capela)
7:42.0,,,46-41,,Offensive rebound by J. Harris
7:42.0,,,46-41,,J. Harris misses 2-pt shot from 2 ft (block by P. Tucker)
7:40.0,Defensive rebound by G. Green,,46-41,,
7:26.0,C. Paul makes 3-pt shot from 24 ft,3,49-41,,
7:25.0,,,49-41,,Brooklyn full timeout
7:25.0,,,49-41,,D. Carroll enters the game for J. Webb
7:25.0,,,49-41,,A. Crabbe enters the game for C. LeVert
7:25.0,J. Harden enters the game for G. Green,,49-41,,
7:12.0,,,49-41,,D. Russell misses 3-pt shot from 25 ft
7:10.0,Defensive rebound by L. Mbah a Moute,,49-41,,
7:03.0,J. Harden makes 2-pt shot from 11 ft,2,51-41,,
6:40.0,,,51-44,3,A. Crabbe makes 3-pt shot from 28 ft (assist by J. Harris)
6:22.0,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by C. Paul),3,54-44,,
5:58.0,,,54-46,2,J. Harris makes 2-pt shot from 1 ft (assist by D. Russell)
5:47.0,J. Harden makes 2-pt shot from 13 ft,2,56-46,,
5:32.0,,,56-48,2,J. Okafor makes 2-pt shot from 6 ft
5:19.0,J. Harden misses 2-pt shot from 17 ft,,56-48,,
5:15.0,,,56-48,,Defensive rebound by J. Okafor
5:03.0,,,56-48,,D. Russell misses 2-pt shot from 21 ft
5:00.0,Defensive rebound by J. Harden,,56-48,,
4:55.0,P. Tucker makes 3-pt shot from 22 ft (assist by L. Mbah a Moute),3,59-48,,
4:34.0,,,59-48,,Turnover by J. Okafor (lost ball; steal by L. Mbah a Moute)
4:30.0,J. Harden misses 2-pt shot from 2 ft (block by D. Russell),,59-48,,
4:29.0,,,59-48,,Defensive rebound by Team
4:29.0,,,59-48,,S. Dinwiddie enters the game for D. Russell
4:29.0,,,59-48,,J. Allen enters the game for J. Okafor
4:29.0,E. Gordon enters the game for C. Paul,,59-48,,
4:12.0,,,59-51,3,D. Carroll makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
3:53.0,C. Capela makes 2-pt shot from 3 ft (assist by P. Tucker),2,61-51,,
3:41.0,,,61-54,3,S. Dinwiddie makes 3-pt shot from 27 ft (assist by D. Carroll)
3:26.0,L. Mbah a Moute misses 3-pt shot from 22 ft,,61-54,,
3:23.0,,,61-54,,Defensive rebound by S. Dinwiddie
3:06.0,,,61-54,,J. Harris misses 2-pt shot from 1 ft
3:03.0,Defensive rebound by L. Mbah a Moute,,61-54,,
2:59.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by J. Harden),2,63-54,,
2:50.0,,,63-54,,Turnover by S. Dinwiddie (lost ball; steal by P. Tucker)
2:35.0,J. Harden misses 2-pt shot from 14 ft,,63-54,,
2:33.0,,,63-54,,Defensive rebound by J. Harris
2:25.0,,,63-54,,D. Carroll misses 2-pt shot from 1 ft
2:22.0,,,63-54,,Offensive rebound by J. Harris
2:15.0,,,63-56,2,J. Allen makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
1:55.0,C. Capela misses 2-pt shot from 5 ft,,63-56,,
1:53.0,,,63-56,,Defensive rebound by J. Harris
1:52.0,Personal take foul by J. Harden (drawn by S. Dinwiddie),,63-56,,
1:52.0,Houston full timeout,,63-56,,
1:52.0,,,63-56,,C. LeVert enters the game for J. Harris
1:52.0,C. Paul enters the game for C. Capela,,63-56,,
1:36.0,,,63-59,3,D. Carroll makes 3-pt shot from 26 ft (assist by C. LeVert)
1:14.0,C. Paul makes 2-pt shot from 21 ft,2,65-59,,
0:50.0,,,65-61,2,J. Allen makes 2-pt shot from 6 ft (assist by C. LeVert)
0:30.0,C. Paul misses 3-pt shot from 26 ft,,65-61,,
0:27.0,,,65-61,,Defensive rebound by D. Carroll
0:05.0,,,65-61,,S. Dinwiddie misses 3-pt shot from 27 ft
0:02.0,,,65-61,,Offensive rebound by C. LeVert
0:00.0,,,65-63,2,C. LeVert makes 2-pt shot from 2 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,J. Harden misses 3-pt shot from 24 ft,,65-63,,
11:47.0,,,65-63,,Defensive rebound by J. Allen
11:26.0,,,65-63,,D. Carroll misses 3-pt shot from 23 ft
11:23.0,Defensive rebound by P. Tucker,,65-63,,
11:15.0,Turnover by P. Tucker (step out of bounds),,65-63,,
11:00.0,,,65-63,,A. Crabbe misses 3-pt shot from 24 ft
10:56.0,Defensive rebound by C. Capela,,65-63,,
10:42.0,C. Paul misses 2-pt shot from 13 ft,,65-63,,
10:40.0,Offensive rebound by C. Capela,,65-63,,
10:38.0,C. Capela makes 2-pt shot from 5 ft,2,67-63,,
10:17.0,,,67-63,,J. Harris misses 3-pt shot from 25 ft
10:15.0,Defensive rebound by P. Tucker,,67-63,,
10:07.0,Shooting foul by A. Crabbe (drawn by J. Harden),,67-63,,
10:07.0,J. Harden makes free throw 1 of 2,1,68-63,,
10:07.0,J. Harden makes free throw 2 of 2,1,69-63,,
9:52.0,,,69-63,,Shooting foul by C. Paul (drawn by J. Allen)
9:52.0,,,69-64,1,J. Allen makes free throw 1 of 2
9:52.0,,,69-65,1,J. Allen makes free throw 2 of 2
9:34.0,J. Harden makes 3-pt shot from 26 ft (assist by C. Paul),3,72-65,,
9:19.0,,,72-65,,J. Allen misses 3-pt shot from 22 ft
9:16.0,Defensive rebound by C. Paul,,72-65,,
8:59.0,Turnover by C. Paul (bad pass; steal by S. Dinwiddie),,72-65,,
8:57.0,,,72-67,2,J. Harris makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
8:57.0,,,72-67,,Shooting foul by J. Harden (drawn by J. Harris)
8:57.0,,,72-68,1,J. Harris makes free throw 1 of 1
8:44.0,Turnover by J. Harden (bad pass; steal by J. Allen),,72-68,,
8:39.0,,,72-71,3,D. Carroll makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
8:22.0,Turnover by L. Mbah a Moute (bad pass; steal by D. Carroll),,72-71,,
8:15.0,,,72-71,,A. Crabbe misses 3-pt shot from 22 ft
8:11.0,Defensive rebound by Team,,72-71,,
7:58.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,74-71,,
7:39.0,,,74-71,,S. Dinwiddie misses 3-pt shot from 25 ft
7:36.0,Defensive rebound by L. Mbah a Moute,,74-71,,
7:17.0,C. Paul misses 2-pt shot from 18 ft,,74-71,,
7:15.0,Offensive rebound by C. Paul,,74-71,,
7:15.0,,,74-71,,Personal block foul by J. Harris (drawn by C. Paul)
7:15.0,E. Gordon enters the game for C. Paul,,74-71,,
7:03.0,J. Harden makes 2-pt shot from 4 ft,2,76-71,,
6:46.0,,,76-71,,A. Crabbe misses 2-pt shot from 2 ft (block by C. Capela)
6:44.0,,,76-71,,Offensive rebound by J. Allen
6:44.0,,,76-71,,Brooklyn full timeout
6:39.0,,,76-74,3,S. Dinwiddie makes 3-pt shot from 25 ft
6:10.0,J. Harden misses 3-pt shot from 25 ft,,76-74,,
6:09.0,,,76-74,,Defensive rebound by A. Crabbe
6:03.0,,,76-74,,D. Carroll misses 3-pt shot from 24 ft
5:59.0,Defensive rebound by P. Tucker,,76-74,,
5:53.0,E. Gordon makes 2-pt shot from 22 ft (assist by P. Tucker),2,78-74,,
5:39.0,,,78-76,2,J. Allen makes 2-pt shot at rim (assist by S. Dinwiddie)
5:22.0,Turnover by L. Mbah a Moute (bad pass; steal by S. Dinwiddie),,78-76,,
5:18.0,,,78-76,,A. Crabbe misses 3-pt shot from 24 ft
5:13.0,,,78-76,,Offensive rebound by J. Harris
5:01.0,Shooting block foul by J. Harden (drawn by D. Carroll),,78-76,,
5:01.0,,,78-77,1,D. Carroll makes free throw 1 of 2
5:01.0,G. Green enters the game for L. Mbah a Moute,,78-77,,
5:01.0,,,78-78,1,D. Carroll makes free throw 2 of 2
4:48.0,J. Harden makes 2-pt shot from 1 ft,2,80-78,,
4:35.0,,,80-78,,J. Allen misses 2-pt shot from 1 ft (block by C. Capela)
4:32.0,,,80-78,,Offensive rebound by S. Dinwiddie
4:30.0,,,80-81,3,S. Dinwiddie makes 3-pt shot from 24 ft
4:16.0,,,80-81,,Personal foul by J. Harris (drawn by C. Capela)
4:16.0,,,80-81,,J. Okafor enters the game for J. Allen
4:16.0,,,80-81,,N. Stauskas enters the game for A. Crabbe
4:16.0,N. Hilario enters the game for C. Capela,,80-81,,
4:03.0,J. Harden misses 2-pt shot from 2 ft (block by J. Okafor),,80-81,,
4:00.0,,,80-81,,Defensive rebound by J. Okafor
3:38.0,,,80-84,3,S. Dinwiddie makes 3-pt shot from 32 ft
3:18.0,N. Hilario makes 2-pt shot from 5 ft,2,82-84,,
2:55.0,,,82-84,,J. Okafor misses 2-pt shot from 2 ft (block by J. Harden)
2:55.0,,,82-84,,Offensive rebound by Team
2:55.0,Houston full timeout,,82-84,,
2:55.0,,,82-84,,D. Russell enters the game for S. Dinwiddie
2:55.0,,,82-84,,C. LeVert enters the game for J. Harris
2:55.0,C. Paul enters the game for J. Harden,,82-84,,
2:48.0,,,82-84,,D. Russell misses 2-pt shot from 19 ft
2:45.0,Defensive rebound by G. Green,,82-84,,
2:30.0,G. Green makes 3-pt shot from 24 ft (assist by C. Paul),3,85-84,,
2:06.0,,,85-84,,D. Carroll misses 2-pt shot from 16 ft
2:04.0,,,85-84,,Offensive rebound by Team
2:04.0,,,85-84,,J. Webb enters the game for D. Carroll
1:58.0,,,85-84,,N. Stauskas misses 3-pt shot from 25 ft
1:54.0,Defensive rebound by P. Tucker,,85-84,,
1:45.0,,,85-84,,Personal foul by J. Webb (drawn by N. Hilario)
1:45.0,L. Mbah a Moute enters the game for P. Tucker,,85-84,,
1:34.0,E. Gordon makes 3-pt shot from 23 ft (assist by C. Paul),3,88-84,,
1:12.0,,,88-84,,D. Russell misses 2-pt shot from 5 ft
1:10.0,Defensive rebound by L. Mbah a Moute,,88-84,,
1:06.0,G. Green makes 3-pt shot from 26 ft,3,91-84,,
1:04.0,,,91-84,,Brooklyn full timeout
0:51.0,,,91-84,,Shooting foul by L. Mbah a Moute (drawn by C. LeVert)
0:51.0,,,91-85,1,C. LeVert makes free throw 1 of 2
0:51.0,,,91-86,1,C. LeVert makes free throw 2 of 2
0:29.0,Shooting foul by J. Okafor (drawn by C. Paul),,91-86,,
0:29.0,C. Paul makes free throw 1 of 3,1,92-86,,
0:29.0,C. Paul makes free throw 2 of 3,1,93-86,,
0:29.0,C. Paul makes free throw 3 of 3,1,94-86,,
0:05.0,,,94-86,,C. LeVert misses 2-pt shot from 1 ft
0:03.0,Defensive rebound by C. Paul,,94-86,,
0:00.0,C. Paul makes 2-pt shot from 1 ft,2,96-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,96-86,,N. Stauskas misses 3-pt shot from 24 ft
11:35.0,Defensive rebound by C. Paul,,96-86,,
11:31.0,E. Gordon misses 3-pt shot from 25 ft,,96-86,,
11:28.0,,,96-86,,Defensive rebound by D. Russell
11:17.0,Personal foul by N. Hilario (drawn by J. Okafor),,96-86,,
11:08.0,,,96-88,2,J. Okafor makes 2-pt shot from 1 ft (assist by D. Russell)
10:46.0,Shooting foul by A. Crabbe (drawn by E. Gordon),,96-88,,
10:46.0,E. Gordon makes free throw 1 of 2,1,97-88,,
10:46.0,E. Gordon makes free throw 2 of 2,1,98-88,,
10:32.0,,,98-90,2,J. Okafor makes 2-pt shot from 6 ft
10:17.0,N. Hilario makes 2-pt shot from 17 ft (assist by E. Gordon),2,100-90,,
9:57.0,,,100-90,,J. Okafor misses 2-pt shot from 1 ft
9:56.0,,,100-90,,Offensive rebound by J. Webb
9:53.0,,,100-90,,J. Webb misses 2-pt shot from 1 ft
9:53.0,Defensive rebound by C. Paul,,100-90,,
9:35.0,C. Paul makes 3-pt shot from 25 ft,3,103-90,,
9:14.0,,,103-92,2,D. Russell makes 2-pt shot from 1 ft
8:53.0,E. Gordon makes 2-pt shot from 1 ft (assist by C. Paul),2,105-92,,
8:38.0,,,105-92,,N. Stauskas misses 2-pt shot from 1 ft
8:34.0,,,105-92,,Offensive rebound by J. Okafor
8:34.0,,,105-94,2,J. Okafor makes 2-pt shot at rim
8:20.0,C. Paul misses 3-pt shot from 25 ft,,105-94,,
8:17.0,,,105-94,,Defensive rebound by J. Webb
8:04.0,Personal foul by N. Hilario (drawn by J. Okafor),,105-94,,
8:04.0,,,105-94,,S. Dinwiddie enters the game for J. Webb
8:04.0,,,105-94,,D. Carroll enters the game for N. Stauskas
8:04.0,,,105-94,,J. Allen enters the game for J. Okafor
8:04.0,P. Tucker enters the game for E. Gordon,,105-94,,
8:04.0,J. Harden enters the game for G. Green,,105-94,,
8:04.0,C. Capela enters the game for N. Hilario,,105-94,,
7:56.0,,,105-94,,Turnover by D. Russell (bad pass; steal by C. Capela)
7:41.0,C. Paul makes 3-pt shot from 22 ft,3,108-94,,
7:40.0,,,108-94,,Brooklyn full timeout
7:40.0,,,108-94,,J. Harris enters the game for D. Russell
7:25.0,,,108-96,2,J. Allen makes 2-pt shot at rim (assist by S. Dinwiddie)
7:05.0,C. Capela misses 2-pt shot from 2 ft,,108-96,,
7:03.0,,,108-96,,Defensive rebound by A. Crabbe
6:58.0,,,108-96,,Turnover by J. Harris (bad pass; steal by C. Paul)
6:39.0,C. Capela makes 2-pt shot from 5 ft,2,110-96,,
6:18.0,,,110-99,3,D. Carroll makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
5:52.0,J. Harden makes 3-pt shot from 24 ft,3,113-99,,
5:40.0,,,113-99,,Turnover by J. Harris (bad pass)
5:40.0,,,113-99,,Personal foul by S. Dinwiddie (drawn by L. Mbah a Moute)
5:40.0,,,113-99,,J. Okafor enters the game for J. Allen
5:40.0,E. Gordon enters the game for C. Paul,,113-99,,
5:40.0,L. Mbah a Moute misses clear path free throw 1 of 2,,113-99,,
5:40.0,Offensive rebound by Team,,113-99,,
5:40.0,L. Mbah a Moute misses clear path free throw 2 of 2,,113-99,,
5:40.0,Offensive rebound by Team,,113-99,,
5:40.0,,,113-99,,I. Whitehead enters the game for S. Dinwiddie
5:40.0,,,113-99,,J. Okafor enters the game for J. Allen
5:18.0,J. Harden misses 3-pt shot from 26 ft,,113-99,,
5:14.0,Offensive rebound by C. Capela,,113-99,,
5:02.0,J. Harden misses 2-pt shot from 18 ft,,113-99,,
4:59.0,,,113-99,,Defensive rebound by J. Harris
4:53.0,,,113-99,,N. Stauskas enters the game for D. Carroll
4:53.0,,,113-99,,J. Webb enters the game for A. Crabbe
4:45.0,,,113-99,,J. Harris misses 3-pt shot from 24 ft
4:42.0,Defensive rebound by C. Capela,,113-99,,
4:24.0,J. Harden makes 2-pt shot from 2 ft,2,115-99,,
4:12.0,,,115-101,2,J. Okafor makes 2-pt shot from 1 ft (assist by J. Harris)
4:12.0,,,115-101,,Shooting foul by J. Harden (drawn by J. Okafor)
4:12.0,,,115-101,,R. Vaughn enters the game for J. Harris
4:12.0,,,115-101,,J. Okafor misses free throw 1 of 1
4:12.0,Defensive rebound by J. Harden,,115-101,,
3:52.0,E. Gordon misses 2-pt shot from 8 ft,,115-101,,
3:52.0,,,115-101,,Defensive rebound by N. Stauskas
3:35.0,,,115-101,,I. Whitehead misses 2-pt shot from 21 ft
3:35.0,Defensive rebound by L. Mbah a Moute,,115-101,,
3:27.0,,,115-101,,Personal foul by I. Whitehead (drawn by J. Harden)
3:27.0,C. Paul enters the game for E. Gordon,,115-101,,
3:18.0,J. Harden misses 3-pt shot from 22 ft,,115-101,,
3:15.0,,,115-101,,Defensive rebound by J. Webb
3:11.0,,,115-104,3,J. Webb makes 3-pt shot from 25 ft (assist by N. Stauskas)
2:47.0,,,115-104,,Personal foul by N. Stauskas (drawn by C. Capela)
2:47.0,Houston full timeout,,115-104,,
2:41.0,C. Capela misses 2-pt shot from 1 ft,,115-104,,
2:41.0,Offensive rebound by C. Capela,,115-104,,
2:41.0,Shooting foul by I. Whitehead (drawn by C. Capela),,115-104,,
2:41.0,C. Capela misses free throw 1 of 2,,115-104,,
2:41.0,Offensive rebound by Team,,115-104,,
2:41.0,C. Capela misses free throw 2 of 2,,115-104,,
2:36.0,,,115-104,,Defensive rebound by J. Okafor
2:13.0,,,115-107,3,J. Webb makes 3-pt shot from 22 ft (assist by N. Stauskas)
2:02.0,Shooting foul by I. Whitehead (drawn by J. Harden),,115-107,,
2:02.0,J. Harden makes free throw 1 of 2,1,116-107,,
2:02.0,J. Harden makes free throw 2 of 2,1,117-107,,
1:48.0,,,117-109,2,J. Okafor makes 2-pt shot from 1 ft (assist by R. Vaughn)
1:29.0,C. Paul misses 3-pt shot from 25 ft,,117-109,,
1:26.0,,,117-109,,Defensive rebound by J. Okafor
1:22.0,,,117-111,2,I. Whitehead makes 2-pt shot from 7 ft
1:03.0,Shooting foul by R. Vaughn (drawn by J. Harden),,117-111,,
1:03.0,J. Harden makes free throw 1 of 3,1,118-111,,
1:03.0,J. Harden makes free throw 2 of 3,1,119-111,,
1:03.0,J. Harden makes free throw 3 of 3,1,120-111,,
0:55.0,,,120-113,2,I. Whitehead makes 2-pt shot from 1 ft
0:33.0,J. Harden makes 3-pt shot from 25 ft,3,123-113,,
0:23.0,,,123-113,,I. Whitehead misses 2-pt shot from 15 ft
0:19.0,Defensive rebound by J. Harden,,123-113,,
