time,LA Lakers,pts.away,score,pts.home,Utah
7:19.0,B. Ingram makes 2-pt shot from 1 ft,2,7-12,,
6:59.0,,,7-14,2,D. Favors makes 2-pt shot from 1 ft (assist by R. Hood)
6:52.0,LA Lakers full timeout,,7-14,,
6:52.0,,,7-14,,D. Mitchell enters the game for R. Rubio
6:46.0,B. Lopez misses 3-pt shot from 25 ft,,7-14,,
6:43.0,,,7-14,,Defensive rebound by R. Hood
6:31.0,,,7-14,,R. Hood misses 3-pt shot from 22 ft
6:28.0,Defensive rebound by L. Nance,,7-14,,
6:14.0,,,7-14,,Violation by R. Hood (kicked ball)
6:08.0,L. Ball misses 3-pt shot from 28 ft,,7-14,,
6:05.0,,,7-14,,Defensive rebound by D. Favors
5:52.0,Personal foul by B. Ingram (drawn by R. Gobert),,7-14,,
5:52.0,,,7-14,,J. Johnson enters the game for D. Favors
5:37.0,,,7-14,,Turnover by Team (shot clock)
5:22.0,Turnover by K. Caldwell-Pope (traveling),,7-14,,
5:08.0,,,7-17,3,J. Ingles makes 3-pt shot from 25 ft (assist by J. Johnson)
4:55.0,Turnover by B. Ingram (lost ball; steal by D. Mitchell),,7-17,,
4:52.0,,,7-17,,A. Burks enters the game for R. Hood
4:52.0,K. Kuzma enters the game for K. Caldwell-Pope,,7-17,,
4:52.0,J. Clarkson enters the game for L. Nance,,7-17,,
4:46.0,,,7-17,,D. Mitchell misses 2-pt shot from 2 ft
4:44.0,Defensive rebound by J. Clarkson,,7-17,,
4:39.0,Offensive foul by B. Lopez (drawn by J. Johnson),,7-17,,
4:39.0,Turnover by B. Lopez (offensive foul),,7-17,,
4:23.0,,,7-17,,J. Johnson misses 3-pt shot from 25 ft
4:20.0,,,7-17,,Offensive rebound by J. Ingles
4:03.0,,,7-17,,Shooting foul by B. Ingram (drawn by A. Burks)
4:03.0,,,7-18,1,A. Burks makes free throw 1 of 2
4:03.0,,,7-18,,T. Sefolosha enters the game for J. Ingles
4:03.0,J. Randle enters the game for L. Ball,,7-18,,
4:03.0,J. Hart enters the game for B. Ingram,,7-18,,
4:03.0,L. Ball enters the game for B. Lopez,,7-18,,
4:03.0,,,7-19,1,A. Burks makes free throw 2 of 2
3:44.0,K. Kuzma misses 3-pt shot from 24 ft,,7-19,,
3:41.0,,,7-19,,Defensive rebound by T. Sefolosha
3:29.0,,,7-21,2,D. Mitchell makes 2-pt shot from 13 ft
3:02.0,J. Clarkson misses 3-pt shot from 25 ft (block by R. Gobert),,7-21,,
2:55.0,,,7-21,,Defensive rebound by T. Sefolosha
2:54.0,,,7-21,,D. Mitchell misses 2-pt shot from 4 ft
2:48.0,Defensive rebound by J. Randle,,7-21,,
2:44.0,K. Kuzma makes 2-pt shot from 13 ft,2,9-21,,
2:25.0,,,9-23,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by J. Johnson)
2:11.0,L. Ball makes 3-pt shot from 22 ft (assist by K. Kuzma),3,12-23,,
1:55.0,,,12-23,,Turnover by D. Mitchell (lost ball; steal by L. Ball)
1:55.0,,,12-23,,Personal foul by D. Mitchell (drawn by J. Randle)
1:55.0,,,12-23,,Utah full timeout
1:55.0,,,12-23,,E. Udoh enters the game for A. Burks
1:55.0,,,12-23,,R. Rubio enters the game for R. Gobert
1:44.0,L. Ball misses 2-pt shot from 2 ft,,12-23,,
1:41.0,,,12-23,,Defensive rebound by R. Rubio
1:24.0,,,12-23,,J. Johnson misses 3-pt shot from 24 ft
1:22.0,Defensive rebound by J. Clarkson,,12-23,,
1:14.0,J. Clarkson misses 2-pt shot from 11 ft,,12-23,,
1:12.0,Offensive rebound by J. Clarkson,,12-23,,
1:11.0,J. Clarkson misses 2-pt shot from 2 ft,,12-23,,
1:11.0,Offensive rebound by K. Kuzma,,12-23,,
1:05.0,K. Kuzma misses 2-pt shot at rim,,12-23,,
1:04.0,,,12-23,,Defensive rebound by E. Udoh
0:53.0,,,12-25,2,R. Rubio makes 2-pt shot from 20 ft
0:41.0,J. Clarkson makes 2-pt shot from 8 ft,2,14-25,,
0:30.0,,,14-28,3,R. Rubio makes 3-pt shot from 24 ft (assist by J. Johnson)
0:11.0,J. Clarkson makes 2-pt shot from 1 ft,2,16-28,,
0:03.0,Personal foul by J. Randle (drawn by R. Rubio),,16-28,,
0:03.0,T. Ennis enters the game for L. Ball,,16-28,,
0:01.0,,,16-31,3,D. Mitchell makes 3-pt shot from 25 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Personal foul by J. Randle (drawn by R. Rubio),,16-31,,
11:36.0,,,16-31,,Turnover by J. Johnson (out of bounds lost ball)
11:12.0,K. Kuzma misses 2-pt shot from 2 ft,,16-31,,
11:10.0,,,16-31,,Defensive rebound by T. Sefolosha
11:04.0,,,16-31,,R. Hood misses 3-pt shot from 25 ft
11:01.0,Defensive rebound by J. Hart,,16-31,,
10:54.0,J. Randle misses 2-pt shot from 20 ft,,16-31,,
10:52.0,Offensive rebound by J. Randle,,16-31,,
10:51.0,J. Randle makes 2-pt shot from 1 ft,2,18-31,,
10:23.0,,,18-31,,R. Rubio misses 3-pt shot from 24 ft
10:23.0,,,18-31,,Offensive rebound by Team
10:23.0,,,18-31,,Turnover by Team (shot clock)
10:10.0,J. Randle makes 2-pt shot from 1 ft (assist by J. Clarkson),2,20-31,,
9:56.0,,,20-33,2,T. Sefolosha makes 2-pt shot from 3 ft
9:45.0,J. Randle misses 2-pt shot from 20 ft,,20-33,,
9:45.0,,,20-33,,Defensive rebound by J. Johnson
9:35.0,,,20-33,,Utah full timeout
9:35.0,,,20-33,,D. Favors enters the game for J. Johnson
9:35.0,,,20-33,,A. Burks enters the game for T. Sefolosha
9:31.0,,,20-33,,A. Burks misses 2-pt shot from 1 ft
9:28.0,,,20-33,,Offensive rebound by E. Udoh
9:28.0,,,20-33,,E. Udoh misses 2-pt shot at rim
9:27.0,Defensive rebound by K. Kuzma,,20-33,,
9:25.0,J. Clarkson makes 2-pt shot from 2 ft (assist by K. Kuzma),2,22-33,,
9:08.0,,,22-35,2,R. Hood makes 2-pt shot from 20 ft (assist by D. Favors)
8:47.0,K. Kuzma misses 2-pt shot from 1 ft,,22-35,,
8:45.0,,,22-35,,Defensive rebound by R. Rubio
8:40.0,,,22-35,,Turnover by R. Hood (lost ball; steal by J. Hart)
8:35.0,K. Kuzma makes 2-pt shot from 1 ft (assist by T. Ennis),2,24-35,,
8:32.0,Technical foul by Team,,24-35,,
8:32.0,J. Clarkson makes technical free throw,1,25-35,,
8:32.0,,,25-35,,D. Mitchell enters the game for R. Rubio
8:12.0,,,25-35,,R. Hood misses 2-pt shot from 9 ft
8:09.0,Defensive rebound by J. Randle,,25-35,,
8:04.0,J. Hart makes 2-pt shot from 3 ft (assist by J. Randle),2,27-35,,
7:45.0,,,27-35,,D. Mitchell misses 2-pt shot from 16 ft
7:42.0,Defensive rebound by K. Kuzma,,27-35,,
7:37.0,,,27-35,,Personal foul by E. Udoh (drawn by T. Ennis)
7:37.0,,,27-35,,R. Gobert enters the game for A. Burks
7:37.0,,,27-35,,J. Ingles enters the game for E. Udoh
7:37.0,K. Caldwell-Pope enters the game for T. Ennis,,27-35,,
7:26.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,27-35,,
7:22.0,,,27-35,,Defensive rebound by R. Hood
7:16.0,Personal foul by J. Clarkson (drawn by R. Gobert),,27-35,,
7:16.0,,,27-35,,R. Rubio enters the game for R. Hood
7:16.0,B. Ingram enters the game for J. Hart,,27-35,,
7:04.0,,,27-35,,Shooting foul by J. Randle (drawn by R. Rubio)
7:04.0,,,27-36,1,R. Rubio makes free throw 1 of 2
7:04.0,,,27-36,,R. Rubio misses free throw 2 of 2
7:04.0,,,27-36,,Offensive rebound by D. Favors
6:54.0,,,27-38,2,D. Favors makes 2-pt shot at rim
6:52.0,L. Nance enters the game for J. Randle,,27-38,,
6:45.0,J. Clarkson makes 2-pt shot from 8 ft (assist by K. Kuzma),2,29-38,,
6:30.0,,,29-38,,D. Mitchell misses 3-pt shot from 23 ft
6:28.0,Defensive rebound by L. Nance,,29-38,,
6:20.0,K. Caldwell-Pope misses 2-pt shot from 11 ft,,29-38,,
6:18.0,,,29-38,,Defensive rebound by R. Rubio
6:08.0,,,29-38,,Shooting foul by L. Nance (drawn by R. Rubio)
6:08.0,,,29-39,1,R. Rubio makes free throw 1 of 2
6:08.0,B. Lopez enters the game for K. Kuzma,,29-39,,
6:08.0,,,29-40,1,R. Rubio makes free throw 2 of 2
6:08.0,L. Ball enters the game for J. Clarkson,,29-40,,
5:58.0,Turnover by L. Nance (bad pass; steal by D. Mitchell),,29-40,,
5:55.0,,,29-42,2,D. Mitchell makes 2-pt shot from 2 ft
5:37.0,K. Caldwell-Pope misses 2-pt shot from 12 ft,,29-42,,
5:35.0,Offensive rebound by L. Nance,,29-42,,
5:31.0,Shooting foul by D. Mitchell (drawn by K. Caldwell-Pope),,29-42,,
5:31.0,K. Caldwell-Pope makes free throw 1 of 2,1,30-42,,
5:31.0,K. Caldwell-Pope makes free throw 2 of 2,1,31-42,,
5:18.0,,,31-42,,R. Rubio misses 3-pt shot from 24 ft
5:16.0,Defensive rebound by K. Caldwell-Pope,,31-42,,
5:12.0,,,31-42,,Personal foul by D. Favors (drawn by B. Lopez)
5:00.0,B. Ingram misses 2-pt shot from 14 ft,,31-42,,
4:57.0,,,31-42,,Defensive rebound by D. Favors
4:38.0,,,31-45,3,R. Rubio makes 3-pt shot from 27 ft (assist by D. Mitchell)
4:25.0,L. Ball makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,34-45,,
4:08.0,,,34-45,,Turnover by R. Rubio (bad pass; steal by B. Ingram)
4:06.0,,,34-45,,Personal foul by D. Mitchell (drawn by K. Caldwell-Pope)
4:06.0,,,34-45,,R. Hood enters the game for D. Mitchell
4:06.0,,,34-45,,J. Johnson enters the game for D. Favors
4:01.0,B. Lopez makes 2-pt shot from 17 ft (assist by L. Ball),2,36-45,,
3:45.0,Personal foul by B. Lopez (drawn by R. Rubio),,36-45,,
3:45.0,,,36-46,1,R. Rubio makes free throw 1 of 2
3:45.0,,,36-47,1,R. Rubio makes free throw 2 of 2
3:32.0,B. Ingram makes 2-pt shot from 2 ft,2,38-47,,
3:22.0,,,38-50,3,R. Hood makes 3-pt shot from 23 ft (assist by J. Ingles)
3:09.0,L. Ball misses 2-pt shot from 22 ft,,38-50,,
3:06.0,,,38-50,,Defensive rebound by J. Johnson
2:50.0,,,38-52,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
2:38.0,,,38-52,,Personal foul by R. Gobert (drawn by B. Lopez)
2:38.0,LA Lakers full timeout,,38-52,,
2:38.0,B. Lopez makes free throw 1 of 2,1,39-52,,
2:38.0,B. Lopez makes free throw 2 of 2,1,40-52,,
2:19.0,,,40-52,,Turnover by R. Rubio (bad pass; steal by B. Ingram)
2:15.0,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by B. Ingram),2,42-52,,
2:01.0,,,42-52,,Shooting foul by L. Nance (drawn by R. Gobert)
2:01.0,,,42-52,,R. Gobert misses free throw 1 of 2
2:01.0,,,42-52,,Offensive rebound by Team
2:01.0,,,42-52,,R. Gobert misses free throw 2 of 2
1:59.0,Defensive rebound by L. Nance,,42-52,,
1:50.0,,,42-52,,Personal foul by J. Ingles (drawn by B. Ingram)
1:50.0,B. Ingram misses free throw 1 of 2,,42-52,,
1:50.0,Offensive rebound by Team,,42-52,,
1:50.0,B. Ingram makes free throw 2 of 2,1,43-52,,
1:39.0,,,43-55,3,J. Ingles makes 3-pt shot from 25 ft (assist by R. Rubio)
1:18.0,B. Ingram makes 2-pt shot from 17 ft,2,45-55,,
1:14.0,,,45-55,,Turnover by R. Rubio (bad pass)
1:01.0,B. Lopez misses 3-pt shot from 24 ft,,45-55,,
0:57.0,,,45-55,,Defensive rebound by J. Johnson
0:43.0,,,45-55,,Shooting foul by L. Ball (drawn by J. Johnson)
0:43.0,,,45-55,,J. Johnson misses free throw 1 of 2
0:43.0,,,45-55,,Offensive rebound by Team
0:43.0,,,45-56,1,J. Johnson makes free throw 2 of 2
0:21.0,B. Lopez misses 2-pt shot from 10 ft,,45-56,,
0:19.0,Offensive rebound by L. Ball,,45-56,,
0:01.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,45-56,,
0:01.0,Offensive rebound by Team,,45-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,45-56,,R. Gobert misses 2-pt shot from 1 ft
11:37.0,,,45-56,,Offensive rebound by R. Rubio
11:37.0,,,45-56,,R. Rubio misses 2-pt shot from 3 ft
11:37.0,,,45-56,,Offensive rebound by Team
11:37.0,Loose ball foul by B. Lopez (drawn by R. Gobert),,45-56,,
11:29.0,,,45-56,,D. Favors misses 3-pt shot from 23 ft
11:26.0,,,45-56,,Offensive rebound by R. Rubio
11:17.0,,,45-56,,J. Ingles misses 2-pt shot from 6 ft (block by B. Lopez)
11:13.0,Defensive rebound by K. Caldwell-Pope,,45-56,,
11:10.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,45-56,,
11:07.0,,,45-56,,Defensive rebound by J. Ingles
10:58.0,,,45-56,,R. Hood misses 2-pt shot from 19 ft
10:55.0,Defensive rebound by L. Nance,,45-56,,
10:46.0,Shooting foul by R. Gobert (drawn by B. Ingram),,45-56,,
10:46.0,B. Ingram misses free throw 1 of 2,,45-56,,
10:46.0,Offensive rebound by Team,,45-56,,
10:46.0,B. Ingram misses free throw 2 of 2,,45-56,,
10:44.0,,,45-56,,Defensive rebound by D. Favors
10:26.0,,,45-56,,J. Ingles misses 3-pt shot from 22 ft
10:19.0,,,45-56,,Offensive rebound by R. Gobert
10:19.0,,,45-58,2,R. Gobert makes 2-pt shot at rim
10:09.0,B. Lopez misses 2-pt shot from 10 ft (block by R. Gobert),,45-58,,
10:09.0,,,45-58,,Defensive rebound by D. Favors
10:09.0,Personal foul by B. Lopez (drawn by D. Favors),,45-58,,
9:50.0,,,45-60,2,J. Ingles makes 2-pt shot from 2 ft
9:29.0,L. Ball makes 3-pt shot from 25 ft,3,48-60,,
9:14.0,,,48-60,,D. Favors misses 2-pt shot from 17 ft
9:11.0,Defensive rebound by K. Caldwell-Pope,,48-60,,
8:59.0,B. Ingram makes 2-pt shot from 2 ft,2,50-60,,
8:34.0,,,50-60,,R. Rubio misses 2-pt shot from 2 ft (block by L. Nance)
8:29.0,Defensive rebound by B. Lopez,,50-60,,
8:29.0,B. Ingram makes 2-pt shot from 1 ft (assist by L. Ball),2,52-60,,
8:29.0,,,52-60,,Utah full timeout
8:29.0,A. Bogut enters the game for B. Lopez,,52-60,,
8:09.0,,,52-62,2,D. Favors makes 2-pt shot from 16 ft (assist by J. Ingles)
7:51.0,L. Nance makes 2-pt shot from 16 ft (assist by L. Ball),2,54-62,,
7:34.0,,,54-62,,R. Rubio misses 3-pt shot from 25 ft
7:30.0,Defensive rebound by A. Bogut,,54-62,,
7:14.0,B. Ingram misses 2-pt shot from 15 ft,,54-62,,
7:13.0,,,54-62,,Defensive rebound by D. Favors
7:04.0,,,54-62,,Turnover by D. Favors (out of bounds lost ball)
7:00.0,,,54-62,,Violation by J. Ingles (kicked ball)
7:00.0,,,54-62,,D. Mitchell enters the game for R. Rubio
6:57.0,Offensive foul by A. Bogut (drawn by J. Ingles),,54-62,,
6:57.0,Turnover by A. Bogut (offensive foul),,54-62,,
6:41.0,,,54-64,2,R. Hood makes 2-pt shot from 16 ft
6:18.0,Turnover by K. Caldwell-Pope (bad pass; steal by J. Ingles),,54-64,,
6:16.0,Personal foul by K. Caldwell-Pope (drawn by D. Mitchell),,54-64,,
6:05.0,,,54-64,,Turnover by D. Favors (lost ball; steal by L. Nance)
6:04.0,,,54-64,,Personal foul by J. Ingles (drawn by L. Nance)
6:04.0,,,54-64,,J. Johnson enters the game for D. Favors
5:52.0,B. Ingram misses 2-pt shot from 13 ft,,54-64,,
5:47.0,Offensive rebound by A. Bogut,,54-64,,
5:31.0,L. Ball misses 2-pt shot from 18 ft,,54-64,,
5:30.0,Offensive rebound by A. Bogut,,54-64,,
5:22.0,B. Ingram makes 2-pt shot from 2 ft,2,56-64,,
4:53.0,,,56-67,3,R. Hood makes 3-pt shot from 25 ft (assist by J. Johnson)
4:38.0,B. Ingram misses 3-pt shot from 22 ft,,56-67,,
4:33.0,Offensive rebound by L. Nance,,56-67,,
4:33.0,L. Nance misses 2-pt shot at rim,,56-67,,
4:32.0,,,56-67,,Defensive rebound by J. Ingles
4:22.0,,,56-67,,J. Ingles misses 3-pt shot from 24 ft
4:19.0,Defensive rebound by A. Bogut,,56-67,,
4:18.0,LA Lakers full timeout,,56-67,,
4:18.0,,,56-67,,A. Burks enters the game for R. Hood
4:11.0,,,56-67,,Personal foul by A. Burks (drawn by K. Caldwell-Pope)
4:04.0,Turnover by L. Ball (bad pass; steal by J. Ingles),,56-67,,
4:00.0,,,56-67,,Turnover by D. Mitchell (lost ball; steal by B. Ingram)
3:57.0,Turnover by B. Ingram (bad pass; steal by D. Mitchell),,56-67,,
3:45.0,,,56-67,,Turnover by D. Mitchell (bad pass; steal by L. Nance)
3:36.0,K. Caldwell-Pope misses 2-pt shot from 20 ft,,56-67,,
3:34.0,Offensive rebound by L. Nance,,56-67,,
3:23.0,L. Ball misses 3-pt shot from 26 ft,,56-67,,
3:22.0,Offensive rebound by L. Nance,,56-67,,
3:22.0,,,56-67,,Personal foul by D. Mitchell (drawn by L. Nance)
3:22.0,,,56-67,,T. Sefolosha enters the game for J. Ingles
3:05.0,J. Clarkson enters the game for K. Caldwell-Pope,,56-67,,
3:01.0,B. Ingram makes 3-pt shot from 23 ft (assist by L. Nance),3,59-67,,
2:45.0,,,59-69,2,D. Mitchell makes 2-pt shot from 10 ft
2:45.0,,,59-69,,Shooting foul by L. Ball (drawn by D. Mitchell)
2:45.0,K. Kuzma enters the game for A. Bogut,,59-69,,
2:45.0,,,59-70,1,D. Mitchell makes free throw 1 of 1
2:22.0,J. Clarkson makes 2-pt shot from 2 ft,2,61-70,,
2:01.0,,,61-70,,Turnover by J. Johnson (palming)
2:01.0,,,61-70,,E. Udoh enters the game for R. Gobert
1:50.0,K. Kuzma makes 3-pt shot from 25 ft (assist by J. Clarkson),3,64-70,,
1:23.0,,,64-70,,Turnover by J. Johnson (lost ball; steal by K. Kuzma)
1:04.0,J. Clarkson misses 2-pt shot from 4 ft (block by T. Sefolosha),,64-70,,
1:01.0,,,64-70,,Defensive rebound by T. Sefolosha
0:58.0,,,64-70,,A. Burks misses 3-pt shot from 24 ft
0:55.0,,,64-70,,Offensive rebound by D. Mitchell
0:55.0,,,64-72,2,D. Mitchell makes 2-pt shot at rim
0:52.0,Turnover by L. Ball (bad pass; steal by J. Johnson),,64-72,,
0:43.0,,,64-75,3,D. Mitchell makes 3-pt shot from 25 ft
0:35.0,Offensive foul by L. Nance (drawn by D. Mitchell),,64-75,,
0:35.0,Turnover by L. Nance (offensive foul),,64-75,,
0:30.0,,,64-75,,Turnover by D. Mitchell (lost ball; steal by L. Ball)
0:10.0,K. Kuzma misses 3-pt shot from 25 ft,,64-75,,
0:07.0,,,64-75,,Defensive rebound by A. Burks
0:02.0,,,64-75,,A. Burks misses 2-pt shot from 3 ft
0:00.0,Defensive rebound by L. Nance,,64-75,,
0:00.0,L. Nance misses 3-pt shot from 68 ft,,64-75,,
0:00.0,Offensive rebound by Team,,64-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,C. Brewer misses 3-pt shot from 23 ft,,64-75,,
11:40.0,Offensive rebound by Team,,64-75,,
11:40.0,,,64-75,,Loose ball foul by R. Rubio (drawn by K. Kuzma)
11:20.0,J. Clarkson makes 2-pt shot from 12 ft,2,66-75,,
11:00.0,,,66-75,,D. Favors misses 2-pt shot from 17 ft
10:57.0,Defensive rebound by J. Randle,,66-75,,
10:51.0,J. Hart misses 3-pt shot from 25 ft,,66-75,,
10:47.0,,,66-75,,Defensive rebound by E. Udoh
10:40.0,,,66-75,,Turnover by R. Rubio (out of bounds lost ball)
10:28.0,J. Clarkson makes 2-pt shot from 2 ft (assist by J. Randle),2,68-75,,
10:04.0,,,68-75,,D. Mitchell misses 2-pt shot from 12 ft
10:00.0,,,68-75,,Offensive rebound by D. Mitchell
9:56.0,,,68-75,,D. Mitchell misses 3-pt shot from 23 ft
9:53.0,,,68-75,,Offensive rebound by E. Udoh
9:52.0,,,68-77,2,D. Favors makes 2-pt shot at rim (assist by E. Udoh)
9:33.0,J. Randle misses 2-pt shot from 3 ft,,68-77,,
9:31.0,Offensive rebound by J. Randle,,68-77,,
9:30.0,Shooting foul by R. Rubio (drawn by J. Randle),,68-77,,
9:30.0,J. Randle makes free throw 1 of 2,1,69-77,,
9:30.0,,,69-77,,R. Hood enters the game for D. Mitchell
9:30.0,J. Randle makes free throw 2 of 2,1,70-77,,
9:09.0,,,70-77,,R. Hood misses 2-pt shot from 10 ft
9:05.0,,,70-77,,Offensive rebound by D. Favors
8:54.0,,,70-77,,Utah full timeout
8:46.0,,,70-77,,Turnover by R. Hood (traveling)
8:31.0,C. Brewer makes 2-pt shot from 3 ft,2,72-77,,
8:31.0,,,72-77,,Violation by D. Favors (def goaltending)
8:07.0,,,72-77,,R. Rubio misses 2-pt shot from 8 ft
8:03.0,Defensive rebound by J. Hart,,72-77,,
7:59.0,J. Hart misses 2-pt shot from 3 ft,,72-77,,
7:57.0,Offensive rebound by J. Randle,,72-77,,
7:55.0,J. Randle misses 2-pt shot from 2 ft (block by D. Favors),,72-77,,
7:55.0,,,72-77,,Defensive rebound by T. Sefolosha
7:46.0,Personal foul by K. Kuzma (drawn by E. Udoh),,72-77,,
7:46.0,,,72-77,,R. Gobert enters the game for T. Sefolosha
7:46.0,,,72-77,,J. Ingles enters the game for E. Udoh
7:37.0,,,72-77,,Turnover by D. Favors (traveling)
7:26.0,J. Clarkson misses 2-pt shot from 17 ft,,72-77,,
7:24.0,,,72-77,,Defensive rebound by R. Gobert
7:13.0,,,72-80,3,R. Rubio makes 3-pt shot from 23 ft (assist by J. Ingles)
6:52.0,C. Brewer misses 2-pt shot from 9 ft,,72-80,,
6:50.0,,,72-80,,Defensive rebound by J. Ingles
6:46.0,,,72-80,,R. Hood misses 2-pt shot from 19 ft
6:42.0,Defensive rebound by J. Clarkson,,72-80,,
6:38.0,Shooting foul by R. Hood (drawn by J. Hart),,72-80,,
6:38.0,J. Hart makes free throw 1 of 2,1,73-80,,
6:38.0,,,73-80,,D. Mitchell enters the game for R. Rubio
6:38.0,B. Ingram enters the game for C. Brewer,,73-80,,
6:38.0,J. Hart makes free throw 2 of 2,1,74-80,,
6:25.0,,,74-80,,Offensive foul by R. Hood (drawn by B. Ingram)
6:25.0,,,74-80,,Turnover by R. Hood (offensive foul)
6:12.0,K. Kuzma misses 2-pt shot from 21 ft,,74-80,,
6:09.0,,,74-80,,Defensive rebound by D. Mitchell
5:55.0,,,74-80,,D. Favors misses 2-pt shot from 3 ft
5:55.0,,,74-80,,Offensive rebound by Team
5:46.0,,,74-80,,J. Ingles misses 2-pt shot from 22 ft
5:43.0,,,74-80,,Offensive rebound by R. Gobert
5:43.0,,,74-82,2,R. Gobert makes 2-pt shot at rim
5:43.0,LA Lakers full timeout,,74-82,,
5:43.0,L. Ball enters the game for K. Kuzma,,74-82,,
5:43.0,L. Nance enters the game for J. Clarkson,,74-82,,
5:29.0,Turnover by B. Ingram (lost ball; steal by D. Favors),,74-82,,
5:18.0,,,74-84,2,D. Mitchell makes 2-pt shot from 1 ft
4:51.0,J. Randle misses 2-pt shot from 8 ft,,74-84,,
4:49.0,,,74-84,,Defensive rebound by D. Favors
4:32.0,,,74-84,,Turnover by D. Mitchell (lost ball; steal by B. Ingram)
4:27.0,J. Hart makes 2-pt shot from 1 ft (assist by B. Ingram),2,76-84,,
4:26.0,,,76-84,,Utah full timeout
4:26.0,,,76-84,,R. Rubio enters the game for R. Hood
4:26.0,K. Caldwell-Pope enters the game for J. Hart,,76-84,,
4:07.0,,,76-84,,J. Ingles misses 3-pt shot from 24 ft
4:02.0,Defensive rebound by J. Randle,,76-84,,
3:53.0,Shooting foul by D. Favors (drawn by L. Nance),,76-84,,
3:53.0,L. Nance makes free throw 1 of 2,1,77-84,,
3:53.0,L. Nance misses free throw 2 of 2,,77-84,,
3:51.0,,,77-84,,Defensive rebound by R. Gobert
3:37.0,,,77-86,2,D. Favors makes 2-pt shot from 2 ft (assist by D. Mitchell)
3:10.0,B. Ingram misses 2-pt shot from 5 ft,,77-86,,
3:08.0,,,77-86,,Defensive rebound by R. Gobert
