time,Indiana,pts.away,score,pts.home,Chicago
3:11.0,V. Oladipo makes 3-pt shot from 25 ft,3,23-12,,
2:55.0,,,23-12,,D. Valentine misses 2-pt shot from 20 ft
2:51.0,Defensive rebound by T. Young,,23-12,,
2:50.0,V. Oladipo misses 3-pt shot from 25 ft,,23-12,,
2:50.0,Offensive rebound by Team,,23-12,,
2:48.0,,,23-12,,Personal foul by R. Lopez (drawn by D. Sabonis)
2:48.0,Indiana full timeout,,23-12,,
2:39.0,V. Oladipo misses 2-pt shot from 13 ft,,23-12,,
2:34.0,,,23-12,,Defensive rebound by R. Lopez
2:14.0,,,23-12,,R. Lopez misses 2-pt shot from 6 ft
2:11.0,Defensive rebound by T. Young,,23-12,,
2:03.0,L. Stephenson misses 2-pt shot from 21 ft,,23-12,,
1:59.0,,,23-12,,Defensive rebound by J. Holiday
1:46.0,,,23-12,,Turnover by J. Holiday (bad pass)
1:46.0,T. Leaf enters the game for T. Young,,23-12,,
1:46.0,D. Collison enters the game for V. Oladipo,,23-12,,
1:32.0,L. Stephenson makes 2-pt shot from 21 ft,2,25-12,,
1:14.0,,,25-14,2,B. Portis makes 2-pt shot from 2 ft
1:01.0,L. Stephenson makes 2-pt shot from 19 ft (assist by D. Collison),2,27-14,,
0:46.0,,,27-14,,B. Portis misses 2-pt shot from 17 ft
0:43.0,Defensive rebound by C. Joseph,,27-14,,
0:28.0,Turnover by L. Stephenson (lost ball; steal by K. Dunn),,27-14,,
0:25.0,,,27-14,,Turnover by K. Dunn (out of bounds lost ball)
0:09.0,D. Collison misses 2-pt shot from 19 ft,,27-14,,
0:08.0,,,27-14,,Defensive rebound by Team
0:08.0,Loose ball foul by D. Sabonis (drawn by B. Portis),,27-14,,
0:08.0,,,27-15,1,B. Portis makes free throw 1 of 2
0:08.0,,,27-15,,C. Felicio enters the game for J. Holiday
0:08.0,,,27-15,,K. Felder enters the game for R. Lopez
0:08.0,,,27-16,1,B. Portis makes free throw 2 of 2
0:00.0,D. Sabonis misses 3-pt shot from 26 ft,,27-16,,
0:00.0,Offensive rebound by Team,,27-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Offensive foul by D. Sabonis (drawn by K. Felder),,27-16,,
11:47.0,Turnover by D. Sabonis (offensive foul),,27-16,,
11:35.0,,,27-16,,Turnover by K. Dunn (lost ball; steal by C. Joseph)
11:29.0,C. Joseph makes 3-pt shot from 25 ft (assist by L. Stephenson),3,30-16,,
11:11.0,Personal foul by L. Stephenson (drawn by D. Valentine),,30-16,,
11:00.0,,,30-18,2,K. Dunn makes 2-pt shot from 17 ft (assist by D. Valentine)
10:41.0,D. Collison misses 3-pt shot from 23 ft,,30-18,,
10:38.0,,,30-18,,Defensive rebound by B. Portis
10:31.0,,,30-20,2,K. Dunn makes 2-pt shot from 1 ft
10:14.0,D. Sabonis misses 2-pt shot from 23 ft,,30-20,,
10:10.0,,,30-20,,Defensive rebound by K. Felder
9:59.0,,,30-20,,B. Portis misses 2-pt shot from 2 ft
9:56.0,,,30-20,,Offensive rebound by K. Felder
9:54.0,,,30-20,,D. Valentine misses 3-pt shot from 22 ft
9:52.0,,,30-20,,Offensive rebound by B. Portis
9:49.0,,,30-20,,Turnover by B. Portis (lost ball; steal by C. Joseph)
9:44.0,C. Joseph misses 3-pt shot from 24 ft,,30-20,,
9:40.0,Offensive rebound by D. Sabonis,,30-20,,
9:31.0,C. Joseph makes 3-pt shot from 26 ft (assist by D. Collison),3,33-20,,
9:16.0,,,33-22,2,K. Felder makes 2-pt shot from 3 ft
9:05.0,T. Leaf misses 3-pt shot from 25 ft,,33-22,,
9:05.0,,,33-22,,Defensive rebound by C. Felicio
8:50.0,,,33-24,2,B. Portis makes 2-pt shot from 3 ft (assist by D. Valentine)
8:45.0,Indiana full timeout,,33-24,,
8:45.0,B. Bogdanovic enters the game for D. Collison,,33-24,,
8:45.0,T. Young enters the game for T. Leaf,,33-24,,
8:31.0,L. Stephenson misses 3-pt shot from 26 ft,,33-24,,
8:27.0,,,33-24,,Defensive rebound by B. Portis
8:09.0,,,33-24,,B. Portis misses 2-pt shot from 7 ft
8:05.0,Defensive rebound by C. Joseph,,33-24,,
7:52.0,C. Joseph misses 3-pt shot from 25 ft,,33-24,,
7:48.0,,,33-24,,Defensive rebound by D. Valentine
7:43.0,,,33-24,,K. Dunn misses 2-pt shot from 17 ft
7:39.0,Defensive rebound by D. Sabonis,,33-24,,
7:34.0,T. Young makes 2-pt shot from 1 ft,2,35-24,,
7:16.0,,,35-24,,D. Valentine misses 2-pt shot from 11 ft
7:13.0,Defensive rebound by D. Sabonis,,35-24,,
7:13.0,Offensive foul by C. Joseph (drawn by K. Felder),,35-24,,
7:13.0,Turnover by C. Joseph (offensive foul),,35-24,,
7:13.0,V. Oladipo enters the game for L. Stephenson,,35-24,,
7:06.0,,,35-24,,Offensive foul by C. Felicio (drawn by T. Young)
7:06.0,,,35-24,,Turnover by C. Felicio (offensive foul)
6:51.0,V. Oladipo misses 3-pt shot from 23 ft,,35-24,,
6:48.0,,,35-24,,Defensive rebound by K. Felder
6:44.0,,,35-24,,K. Felder misses 2-pt shot from 15 ft
6:40.0,Defensive rebound by T. Young,,35-24,,
6:35.0,,,35-24,,Personal foul by C. Felicio (drawn by D. Sabonis)
6:35.0,,,35-24,,R. Lopez enters the game for B. Portis
6:35.0,,,35-24,,L. Markkanen enters the game for C. Felicio
6:35.0,,,35-24,,J. Holiday enters the game for D. Valentine
6:29.0,V. Oladipo misses 2-pt shot from 5 ft,,35-24,,
6:26.0,,,35-24,,Defensive rebound by L. Markkanen
6:21.0,,,35-27,3,L. Markkanen makes 3-pt shot from 24 ft (assist by K. Felder)
5:58.0,T. Young makes 2-pt shot from 13 ft,2,37-27,,
5:36.0,,,37-27,,J. Holiday misses 3-pt shot from 23 ft
5:33.0,Defensive rebound by C. Joseph,,37-27,,
5:30.0,V. Oladipo makes 2-pt shot from 1 ft (assist by C. Joseph),2,39-27,,
5:30.0,,,39-27,,Chicago full timeout
5:30.0,,,39-27,,J. Grant enters the game for K. Felder
5:30.0,M. Turner enters the game for D. Sabonis,,39-27,,
5:21.0,,,39-29,2,J. Grant makes 2-pt shot from 18 ft (assist by K. Dunn)
5:03.0,T. Young misses 2-pt shot from 16 ft,,39-29,,
5:01.0,,,39-29,,Defensive rebound by K. Dunn
4:51.0,,,39-29,,R. Lopez misses 2-pt shot from 1 ft
4:48.0,Defensive rebound by M. Turner,,39-29,,
4:39.0,Turnover by B. Bogdanovic (bad pass; steal by J. Grant),,39-29,,
4:32.0,,,39-29,,L. Markkanen misses 3-pt shot from 23 ft
4:29.0,Defensive rebound by B. Bogdanovic,,39-29,,
4:17.0,B. Bogdanovic misses 3-pt shot from 26 ft,,39-29,,
4:13.0,,,39-29,,Defensive rebound by L. Markkanen
3:56.0,,,39-31,2,L. Markkanen makes 2-pt shot from 15 ft (assist by J. Holiday)
3:36.0,,,39-31,,Personal foul by J. Grant (drawn by V. Oladipo)
3:36.0,D. Collison enters the game for C. Joseph,,39-31,,
3:30.0,,,39-31,,Violation by L. Markkanen (kicked ball)
3:17.0,V. Oladipo misses 2-pt shot from 21 ft,,39-31,,
3:11.0,,,39-31,,Defensive rebound by L. Markkanen
3:00.0,Turnover by T. Young (bad pass),,39-31,,
2:59.0,,,39-31,,Turnover by J. Grant (bad pass; steal by D. Collison)
2:51.0,,,39-33,2,K. Dunn makes 2-pt shot at rim (assist by L. Markkanen)
2:37.0,V. Oladipo makes 2-pt shot from 1 ft,2,41-33,,
2:37.0,Shooting foul by R. Lopez (drawn by V. Oladipo),,41-33,,
2:37.0,,,41-33,,P. Zipser enters the game for K. Dunn
2:37.0,V. Oladipo misses free throw 1 of 1,,41-33,,
2:34.0,,,41-33,,Defensive rebound by L. Markkanen
2:20.0,,,41-33,,R. Lopez misses 2-pt shot from 3 ft
2:16.0,Defensive rebound by M. Turner,,41-33,,
2:09.0,T. Young misses 3-pt shot from 26 ft,,41-33,,
2:05.0,,,41-33,,Defensive rebound by L. Markkanen
1:56.0,,,41-33,,L. Markkanen misses 2-pt shot from 15 ft
1:52.0,Defensive rebound by T. Young,,41-33,,
1:45.0,M. Turner misses 2-pt shot from 3 ft,,41-33,,
1:42.0,Offensive rebound by V. Oladipo,,41-33,,
1:33.0,B. Bogdanovic misses 2-pt shot from 9 ft (block by R. Lopez),,41-33,,
1:28.0,,,41-33,,Defensive rebound by P. Zipser
1:21.0,,,41-33,,L. Markkanen misses 3-pt shot from 24 ft
1:17.0,Defensive rebound by T. Young,,41-33,,
1:04.0,V. Oladipo misses 2-pt shot from 11 ft,,41-33,,
1:04.0,,,41-33,,Defensive rebound by R. Lopez
0:43.0,,,41-33,,Shooting foul by V. Oladipo (drawn by J. Grant)
0:43.0,,,41-33,,J. Grant misses free throw 1 of 2
0:43.0,,,41-33,,Offensive rebound by Team
0:43.0,,,41-33,,C. Felicio enters the game for R. Lopez
0:43.0,A. Jefferson enters the game for M. Turner,,41-33,,
0:43.0,C. Joseph enters the game for B. Bogdanovic,,41-33,,
0:43.0,,,41-33,,J. Grant misses free throw 2 of 2
0:38.0,Defensive rebound by A. Jefferson,,41-33,,
0:31.0,,,41-33,,Personal block foul by C. Felicio (drawn by D. Collison)
0:31.0,,,41-33,,B. Portis enters the game for C. Felicio
0:25.0,V. Oladipo makes 2-pt shot from 2 ft (assist by T. Young),2,43-33,,
0:05.0,,,43-33,,J. Grant misses 2-pt shot at rim
0:01.0,,,43-33,,Offensive rebound by B. Portis
0:01.0,,,43-35,2,B. Portis makes 2-pt shot at rim
0:00.0,V. Oladipo makes 2-pt shot from 4 ft,2,45-35,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,M. Turner makes 2-pt shot from 15 ft (assist by D. Collison),2,47-35,,
11:16.0,,,47-35,,J. Holiday misses 3-pt shot from 23 ft
11:13.0,Defensive rebound by M. Turner,,47-35,,
10:52.0,V. Oladipo misses 2-pt shot from 17 ft,,47-35,,
10:48.0,,,47-35,,Defensive rebound by J. Grant
10:43.0,,,47-35,,J. Grant misses 2-pt shot from 1 ft (block by M. Turner)
10:39.0,Defensive rebound by D. Collison,,47-35,,
10:36.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by V. Oladipo),3,50-35,,
10:19.0,,,50-38,3,L. Markkanen makes 3-pt shot from 25 ft (assist by J. Holiday)
10:00.0,V. Oladipo makes 2-pt shot at rim,2,52-38,,
9:43.0,,,52-40,2,J. Holiday makes 2-pt shot from 14 ft (assist by R. Lopez)
9:29.0,V. Oladipo makes 2-pt shot from 12 ft,2,54-40,,
9:08.0,,,54-42,2,L. Markkanen makes 2-pt shot from 2 ft (assist by J. Holiday)
9:00.0,B. Bogdanovic makes 3-pt shot from 22 ft (assist by V. Oladipo),3,57-42,,
8:43.0,,,57-42,,J. Holiday misses 2-pt shot from 6 ft
8:39.0,,,57-42,,Offensive rebound by R. Lopez
8:36.0,,,57-42,,L. Markkanen misses 3-pt shot from 23 ft
8:32.0,Defensive rebound by T. Young,,57-42,,
8:30.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by T. Young),3,60-42,,
8:29.0,,,60-42,,Chicago full timeout
8:29.0,,,60-42,,K. Dunn enters the game for J. Grant
8:29.0,,,60-42,,D. Valentine enters the game for P. Zipser
8:15.0,,,60-42,,K. Dunn misses 2-pt shot from 5 ft
8:12.0,Defensive rebound by M. Turner,,60-42,,
7:58.0,Turnover by B. Bogdanovic (bad pass; steal by J. Holiday),,60-42,,
7:52.0,,,60-42,,Turnover by R. Lopez (bad pass; steal by V. Oladipo)
7:46.0,V. Oladipo makes 2-pt shot at rim,2,62-42,,
7:27.0,,,62-42,,D. Valentine misses 2-pt shot from 19 ft
7:22.0,Defensive rebound by T. Young,,62-42,,
7:16.0,,,62-42,,Violation by K. Dunn (kicked ball)
7:05.0,M. Turner misses 2-pt shot from 18 ft,,62-42,,
7:01.0,Offensive rebound by B. Bogdanovic,,62-42,,
6:59.0,D. Collison makes 3-pt shot from 23 ft (assist by V. Oladipo),3,65-42,,
6:33.0,,,65-45,3,D. Valentine makes 3-pt shot from 25 ft (assist by J. Holiday)
6:14.0,M. Turner misses 2-pt shot from 17 ft,,65-45,,
6:10.0,,,65-45,,Defensive rebound by D. Valentine
6:10.0,Personal foul by T. Young (drawn by D. Valentine),,65-45,,
5:55.0,,,65-47,2,R. Lopez makes 2-pt shot from 1 ft (assist by D. Valentine)
5:55.0,,,65-47,,Shooting foul by D. Collison (drawn by R. Lopez)
5:55.0,,,65-48,1,R. Lopez makes free throw 1 of 1
5:37.0,T. Young misses 2-pt shot from 4 ft (block by R. Lopez),,65-48,,
5:35.0,Offensive rebound by D. Collison,,65-48,,
5:31.0,Turnover by D. Collison (bad pass; steal by D. Valentine),,65-48,,
5:26.0,,,65-48,,D. Valentine misses 2-pt shot from 2 ft (block by M. Turner)
5:22.0,Defensive rebound by M. Turner,,65-48,,
5:20.0,B. Bogdanovic misses 3-pt shot from 26 ft,,65-48,,
5:17.0,,,65-48,,Defensive rebound by R. Lopez
5:07.0,,,65-50,2,J. Holiday makes 2-pt shot from 21 ft (assist by R. Lopez)
5:05.0,Indiana full timeout,,65-50,,
4:39.0,T. Young misses 2-pt shot from 20 ft,,65-50,,
4:36.0,,,65-50,,Defensive rebound by J. Holiday
4:27.0,,,65-50,,L. Markkanen misses 3-pt shot from 26 ft
4:23.0,Defensive rebound by B. Bogdanovic,,65-50,,
4:14.0,T. Young makes 2-pt shot from 14 ft,2,67-50,,
3:56.0,,,67-52,2,K. Dunn makes 2-pt shot from 7 ft
3:38.0,M. Turner makes 2-pt shot from 8 ft,2,69-52,,
3:38.0,Shooting foul by J. Holiday (drawn by M. Turner),,69-52,,
3:38.0,,,69-52,,B. Portis enters the game for L. Markkanen
3:38.0,C. Joseph enters the game for T. Young,,69-52,,
3:38.0,D. Sabonis enters the game for B. Bogdanovic,,69-52,,
3:38.0,M. Turner misses free throw 1 of 1,,69-52,,
3:38.0,Offensive rebound by D. Sabonis,,69-52,,
3:30.0,C. Joseph makes 2-pt shot from 16 ft (assist by D. Collison),2,71-52,,
3:19.0,,,71-54,2,K. Dunn makes 2-pt shot from 13 ft
2:53.0,M. Turner misses 2-pt shot from 9 ft,,71-54,,
2:49.0,,,71-54,,Defensive rebound by D. Valentine
2:45.0,,,71-54,,D. Valentine misses 3-pt shot from 26 ft
2:43.0,Defensive rebound by Team,,71-54,,
2:31.0,V. Oladipo makes 2-pt shot at rim (assist by D. Sabonis),2,73-54,,
2:13.0,,,73-54,,Shooting foul by D. Collison (drawn by B. Portis)
2:13.0,,,73-55,1,B. Portis makes free throw 1 of 2
2:13.0,,,73-55,,C. Felicio enters the game for R. Lopez
2:13.0,L. Stephenson enters the game for V. Oladipo,,73-55,,
2:13.0,,,73-56,1,B. Portis makes free throw 2 of 2
2:01.0,M. Turner makes 3-pt shot from 25 ft (assist by C. Joseph),3,76-56,,
1:44.0,,,76-58,2,J. Holiday makes 2-pt shot from 17 ft
1:25.0,Turnover by M. Turner (step out of bounds),,76-58,,
1:14.0,,,76-58,,B. Portis misses 3-pt shot from 24 ft
1:10.0,Defensive rebound by L. Stephenson,,76-58,,
1:07.0,Shooting foul by D. Valentine (drawn by D. Sabonis),,76-58,,
1:07.0,D. Sabonis makes free throw 1 of 2,1,77-58,,
1:07.0,D. Sabonis makes free throw 2 of 2,1,78-58,,
0:56.0,,,78-61,3,B. Portis makes 3-pt shot from 22 ft (assist by D. Valentine)
0:44.0,M. Turner makes 2-pt shot from 1 ft (assist by C. Joseph),2,80-61,,
0:23.0,,,80-61,,Turnover by K. Dunn (bad pass; steal by L. Stephenson)
0:18.0,Turnover by L. Stephenson (bad pass; steal by K. Dunn),,80-61,,
0:03.0,,,80-61,,K. Dunn misses 2-pt shot from 3 ft
0:00.0,Defensive rebound by M. Turner,,80-61,,
0:00.0,D. Collison misses 3-pt shot from 39 ft,,80-61,,
0:00.0,Offensive rebound by Team,,80-61,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,80-61,,D. Valentine misses 3-pt shot from 23 ft
11:45.0,Defensive rebound by L. Stephenson,,80-61,,
11:36.0,T. Young makes 2-pt shot from 11 ft (assist by C. Joseph),2,82-61,,
11:21.0,,,82-61,,K. Dunn misses 3-pt shot from 26 ft
11:18.0,Defensive rebound by B. Bogdanovic,,82-61,,
11:11.0,C. Joseph misses 2-pt shot from 20 ft,,82-61,,
11:07.0,,,82-61,,Defensive rebound by K. Dunn
11:02.0,,,82-63,2,B. Portis makes 2-pt shot from 17 ft (assist by K. Dunn)
10:43.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by C. Joseph),3,85-63,,
10:30.0,,,85-63,,D. Valentine misses 2-pt shot from 19 ft
10:26.0,Defensive rebound by D. Sabonis,,85-63,,
10:22.0,Offensive foul by D. Sabonis (drawn by C. Felicio),,85-63,,
10:22.0,Turnover by D. Sabonis (offensive foul),,85-63,,
10:09.0,,,85-63,,Shooting foul by C. Joseph (drawn by B. Portis)
10:09.0,,,85-63,,B. Portis misses free throw 1 of 2
10:09.0,,,85-63,,Offensive rebound by Team
10:09.0,,,85-64,1,B. Portis makes free throw 2 of 2
9:59.0,Turnover by L. Stephenson (traveling),,85-64,,
9:50.0,Personal foul by C. Joseph (drawn by B. Portis),,85-64,,
9:44.0,,,85-64,,Turnover by D. Valentine (bad pass; steal by T. Young)
9:37.0,C. Joseph misses 3-pt shot from 23 ft,,85-64,,
9:34.0,,,85-64,,Defensive rebound by B. Portis
9:18.0,,,85-64,,K. Felder misses 2-pt shot from 18 ft
9:12.0,Defensive rebound by C. Joseph,,85-64,,
9:01.0,L. Stephenson makes 2-pt shot from 1 ft,2,87-64,,
9:01.0,,,87-64,,Chicago full timeout
9:01.0,,,87-64,,L. Markkanen enters the game for C. Felicio
9:01.0,,,87-64,,Q. Pondexter enters the game for D. Valentine
8:44.0,,,87-64,,K. Felder misses 2-pt shot from 16 ft
8:38.0,Defensive rebound by T. Young,,87-64,,
8:25.0,T. Young misses 2-pt shot from 14 ft,,87-64,,
8:22.0,,,87-64,,Defensive rebound by B. Portis
8:04.0,,,87-64,,K. Felder misses 3-pt shot from 27 ft
7:59.0,Defensive rebound by D. Sabonis,,87-64,,
7:46.0,T. Young misses 3-pt shot from 25 ft,,87-64,,
7:43.0,,,87-64,,Defensive rebound by L. Markkanen
7:34.0,,,87-64,,B. Portis misses 2-pt shot from 3 ft
7:32.0,Defensive rebound by D. Sabonis,,87-64,,
7:23.0,Shooting foul by K. Dunn (drawn by D. Sabonis),,87-64,,
7:23.0,D. Sabonis misses free throw 1 of 2,,87-64,,
7:23.0,Offensive rebound by Team,,87-64,,
7:23.0,D. Sabonis misses free throw 2 of 2,,87-64,,
7:20.0,,,87-64,,Defensive rebound by L. Markkanen
7:06.0,,,87-64,,K. Dunn misses 2-pt shot from 2 ft
7:06.0,,,87-64,,Offensive rebound by K. Dunn
7:00.0,,,87-66,2,K. Dunn makes 2-pt shot at rim
6:44.0,L. Stephenson makes 2-pt shot from 1 ft,2,89-66,,
6:37.0,,,89-68,2,K. Dunn makes 2-pt shot from 21 ft
6:24.0,T. Young misses 3-pt shot from 24 ft,,89-68,,
6:21.0,,,89-68,,Defensive rebound by Q. Pondexter
6:17.0,Personal foul by L. Stephenson (drawn by K. Felder),,89-68,,
6:00.0,,,89-68,,L. Markkanen misses 2-pt shot from 3 ft
5:58.0,,,89-68,,Offensive rebound by B. Portis
5:58.0,,,89-68,,B. Portis misses 2-pt shot at rim
5:58.0,,,89-68,,Offensive rebound by B. Portis
5:58.0,,,89-68,,B. Portis misses 2-pt shot at rim
5:58.0,,,89-68,,Offensive rebound by B. Portis
5:58.0,,,89-70,2,B. Portis makes 2-pt shot at rim
5:58.0,Indiana full timeout,,89-70,,
5:58.0,V. Oladipo enters the game for L. Stephenson,,89-70,,
5:58.0,M. Turner enters the game for T. Young,,89-70,,
5:37.0,V. Oladipo misses 2-pt shot from 20 ft,,89-70,,
5:35.0,Offensive rebound by D. Sabonis,,89-70,,
5:35.0,Shooting foul by K. Dunn (drawn by D. Sabonis),,89-70,,
5:35.0,D. Sabonis makes free throw 1 of 2,1,90-70,,
5:35.0,D. Sabonis makes free throw 2 of 2,1,91-70,,
5:16.0,,,91-70,,Turnover by K. Felder (bad pass; steal by C. Joseph)
5:05.0,Turnover by D. Sabonis (out of bounds lost ball),,91-70,,
4:46.0,,,91-70,,B. Portis misses 2-pt shot from 1 ft (block by M. Turner)
4:43.0,Defensive rebound by D. Sabonis,,91-70,,
4:37.0,Turnover by V. Oladipo (lost ball; steal by Q. Pondexter),,91-70,,
4:33.0,,,91-72,2,Q. Pondexter makes 2-pt shot from 1 ft (assist by K. Dunn)
4:29.0,,,91-72,,Personal foul by Q. Pondexter (drawn by V. Oladipo)
4:14.0,D. Sabonis makes 2-pt shot at rim (assist by C. Joseph),2,93-72,,
4:03.0,,,93-72,,B. Portis misses 2-pt shot from 1 ft
4:03.0,Defensive rebound by M. Turner,,93-72,,
3:57.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by C. Joseph),3,96-72,,
3:57.0,,,96-72,,Chicago full timeout
3:57.0,,,96-72,,C. Felicio enters the game for L. Markkanen
3:46.0,,,96-72,,Turnover by K. Dunn (bad pass; steal by V. Oladipo)
3:44.0,Shooting foul by K. Felder (drawn by V. Oladipo),,96-72,,
3:44.0,V. Oladipo makes free throw 1 of 2,1,97-72,,
3:44.0,V. Oladipo makes free throw 2 of 2,1,98-72,,
3:25.0,,,98-74,2,B. Portis makes 2-pt shot from 15 ft (assist by Q. Pondexter)
3:09.0,C. Joseph misses 3-pt shot from 25 ft,,98-74,,
3:05.0,,,98-74,,Defensive rebound by B. Portis
2:58.0,,,98-77,3,Q. Pondexter makes 3-pt shot from 25 ft (assist by K. Dunn)
2:41.0,Turnover by V. Oladipo (bad pass; steal by B. Portis),,98-77,,
2:37.0,,,98-79,2,Q. Pondexter makes 2-pt shot from 1 ft (assist by B. Portis)
2:37.0,Indiana full timeout,,98-79,,
2:37.0,J. Young enters the game for V. Oladipo,,98-79,,
2:22.0,C. Joseph makes 2-pt shot from 17 ft (assist by B. Bogdanovic),2,100-79,,
2:03.0,,,100-81,2,C. Felicio makes 2-pt shot at rim (assist by K. Dunn)
1:52.0,B. Bogdanovic misses 3-pt shot from 23 ft,,100-81,,
1:49.0,,,100-81,,Defensive rebound by B. Portis
1:46.0,,,100-81,,K. Felder misses 3-pt shot from 24 ft
1:45.0,Defensive rebound by B. Bogdanovic,,100-81,,
1:45.0,Indiana full timeout,,100-81,,
1:45.0,T. Leaf enters the game for C. Joseph,,100-81,,
1:45.0,I. Anigbogu enters the game for D. Sabonis,,100-81,,
1:45.0,D. Wilkins enters the game for M. Turner,,100-81,,
