time,Utah,pts.away,score,pts.home,Dallas
7:58.0,D. Favors makes free throw 1 of 2,1,11-10,,
7:58.0,D. Favors makes free throw 2 of 2,1,12-10,,
7:49.0,,,12-13,3,H. Barnes makes 3-pt shot from 25 ft (assist by J. Barea)
7:32.0,R. Rubio makes 3-pt shot from 22 ft (assist by D. Favors),3,15-13,,
7:19.0,,,15-15,2,J. Barea makes 2-pt shot from 7 ft
7:04.0,D. Mitchell makes 2-pt shot from 4 ft,2,17-15,,
6:52.0,,,17-15,,J. Barea misses 3-pt shot from 22 ft
6:50.0,Defensive rebound by D. Favors,,17-15,,
6:36.0,D. Favors makes 3-pt shot from 22 ft (assist by J. Ingles),3,20-15,,
6:36.0,,,20-15,,Dallas full timeout
6:36.0,,,20-15,,Y. Ferrell enters the game for D. Nowitzki
6:36.0,,,20-15,,S. Mejri enters the game for D. Powell
6:36.0,,,20-15,,D. McDermott enters the game for J. Barea
6:36.0,J. Crowder enters the game for D. Favors,,20-15,,
6:13.0,,,20-17,2,H. Barnes makes 2-pt shot from 4 ft (assist by D. Finney-Smith)
5:56.0,,,20-17,,Personal block foul by S. Mejri (drawn by D. Mitchell)
5:50.0,D. Mitchell makes 3-pt shot from 25 ft,3,23-17,,
5:30.0,,,23-20,3,D. Finney-Smith makes 3-pt shot from 22 ft (assist by H. Barnes)
5:15.0,R. Gobert makes 2-pt shot from 3 ft (assist by J. Ingles),2,25-20,,
5:02.0,,,25-20,,Y. Ferrell misses 2-pt shot from 16 ft
5:00.0,Defensive rebound by J. Ingles,,25-20,,
4:51.0,Turnover by J. Ingles (bad pass; steal by Y. Ferrell),,25-20,,
4:38.0,,,25-23,3,H. Barnes makes 3-pt shot from 25 ft (assist by Y. Ferrell)
4:16.0,R. Rubio makes 2-pt shot from 18 ft (assist by J. Ingles),2,27-23,,
3:54.0,,,27-25,2,D. McDermott makes 2-pt shot from 1 ft (assist by S. Mejri)
3:45.0,J. Crowder misses 3-pt shot from 25 ft,,27-25,,
3:43.0,,,27-25,,Defensive rebound by Y. Ferrell
3:33.0,Personal foul by D. Mitchell (drawn by S. Mejri),,27-25,,
3:33.0,R. O'Neale enters the game for J. Ingles,,27-25,,
3:33.0,J. Jerebko enters the game for R. Rubio,,27-25,,
3:19.0,,,27-28,3,D. McDermott makes 3-pt shot from 26 ft (assist by D. Finney-Smith)
3:18.0,Utah full timeout,,27-28,,
3:07.0,J. Crowder misses 2-pt shot from 15 ft,,27-28,,
3:06.0,,,27-28,,Defensive rebound by D. McDermott
2:55.0,Personal foul by R. O'Neale (drawn by D. McDermott),,27-28,,
2:55.0,D. Favors enters the game for R. Gobert,,27-28,,
2:46.0,,,27-28,,Offensive foul by S. Mejri (drawn by D. Mitchell)
2:46.0,,,27-28,,Turnover by S. Mejri (offensive foul)
2:21.0,J. Jerebko misses 2-pt shot from 17 ft,,27-28,,
2:18.0,,,27-28,,Defensive rebound by D. Finney-Smith
2:12.0,,,27-30,2,Y. Ferrell makes 2-pt shot from 22 ft
1:54.0,R. O'Neale makes 3-pt shot from 23 ft (assist by D. Favors),3,30-30,,
1:35.0,,,30-32,2,S. Mejri makes 2-pt shot at rim (assist by H. Barnes)
1:18.0,J. Jerebko makes 2-pt shot from 18 ft (assist by R. O'Neale),2,32-32,,
1:08.0,,,32-32,,Turnover by Y. Ferrell (bad pass; steal by D. Mitchell)
1:05.0,D. Mitchell makes 2-pt shot at rim,2,34-32,,
1:04.0,,,34-32,,Dallas full timeout
1:04.0,,,34-32,,D. Powell enters the game for D. Finney-Smith
1:04.0,,,34-32,,D. Nowitzki enters the game for H. Barnes
1:04.0,,,34-32,,A. Harrison enters the game for S. Mejri
1:04.0,D. Exum enters the game for D. Mitchell,,34-32,,
0:41.0,,,34-32,,Y. Ferrell misses 2-pt shot from 6 ft
0:39.0,Defensive rebound by R. O'Neale,,34-32,,
0:31.0,D. Exum misses 2-pt shot from 1 ft,,34-32,,
0:28.0,,,34-32,,Defensive rebound by Y. Ferrell
0:25.0,,,34-32,,D. Powell misses 2-pt shot from 1 ft (block by D. Favors)
0:25.0,,,34-32,,Offensive rebound by Team
0:22.0,Shooting block foul by D. Favors (drawn by D. Powell),,34-32,,
0:22.0,,,34-33,1,D. Powell makes free throw 1 of 2
0:22.0,D. Mitchell enters the game for D. Exum,,34-33,,
0:22.0,,,34-34,1,D. Powell makes free throw 2 of 2
0:04.0,D. Mitchell makes 2-pt shot from 5 ft,2,36-34,,
0:04.0,Shooting foul by D. Nowitzki (drawn by D. Mitchell),,36-34,,
0:04.0,D. Exum enters the game for J. Jerebko,,36-34,,
0:04.0,D. Mitchell makes free throw 1 of 1,1,37-34,,
0:00.0,,,37-34,,Y. Ferrell misses 3-pt shot from 25 ft
0:00.0,,,37-34,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,,,37-34,,J. Barea enters the game for Y. Ferrell
11:49.0,,,37-34,,D. McDermott misses 2-pt shot from 15 ft
11:46.0,Defensive rebound by D. Favors,,37-34,,
11:38.0,J. Ingles makes 3-pt shot from 25 ft (assist by D. Favors),3,40-34,,
11:22.0,,,40-34,,Turnover by D. McDermott (bad pass; steal by D. Favors)
11:14.0,J. Jerebko makes 3-pt shot from 25 ft (assist by J. Crowder),3,43-34,,
10:53.0,,,43-34,,Turnover by D. McDermott (bad pass)
10:40.0,,,43-34,,Personal foul by A. Harrison (drawn by J. Ingles)
10:30.0,D. Exum misses 2-pt shot from 5 ft,,43-34,,
10:25.0,,,43-34,,Defensive rebound by J. Barea
10:20.0,,,43-34,,J. Barea misses 2-pt shot from 3 ft
10:18.0,Defensive rebound by J. Crowder,,43-34,,
10:13.0,J. Crowder misses 3-pt shot from 27 ft,,43-34,,
10:12.0,,,43-34,,Defensive rebound by D. McDermott
9:56.0,,,43-34,,Shooting foul by J. Ingles (drawn by D. Powell)
9:56.0,,,43-34,,D. Powell misses free throw 1 of 2
9:56.0,,,43-34,,Offensive rebound by Team
9:56.0,R. O'Neale enters the game for J. Crowder,,43-34,,
9:56.0,,,43-35,1,D. Powell makes free throw 2 of 2
9:44.0,J. Ingles makes 3-pt shot from 25 ft (assist by D. Exum),3,46-35,,
9:24.0,,,46-35,,D. Powell misses 2-pt shot from 3 ft
9:22.0,Defensive rebound by J. Jerebko,,46-35,,
9:17.0,D. Favors makes 2-pt shot from 2 ft (assist by D. Exum),2,48-35,,
9:17.0,,,48-35,,Dallas full timeout
9:02.0,,,48-35,,Shooting foul by D. Exum (drawn by A. Harrison)
9:02.0,,,48-36,1,A. Harrison makes free throw 1 of 3
9:02.0,,,48-37,1,A. Harrison makes free throw 2 of 3
9:02.0,,,48-37,,A. Harrison misses free throw 3 of 3
9:00.0,Defensive rebound by J. Jerebko,,48-37,,
8:39.0,D. Favors misses 2-pt shot from 1 ft,,48-37,,
8:38.0,Offensive rebound by D. Favors,,48-37,,
8:35.0,D. Favors misses 2-pt shot at rim,,48-37,,
8:34.0,,,48-37,,Defensive rebound by D. Powell
8:27.0,,,48-37,,D. Nowitzki misses 2-pt shot from 19 ft
8:27.0,Defensive rebound by D. Favors,,48-37,,
8:04.0,J. Jerebko misses 2-pt shot from 2 ft,,48-37,,
8:02.0,Offensive rebound by D. Favors,,48-37,,
8:01.0,D. Favors makes 2-pt shot from 1 ft,2,50-37,,
7:53.0,,,50-37,,D. Nowitzki misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by J. Jerebko,,50-37,,
7:38.0,J. Ingles makes 2-pt shot at rim,2,52-37,,
7:15.0,,,52-39,2,D. Powell makes 2-pt shot at rim (assist by J. Barea)
7:15.0,Utah full timeout,,52-39,,
7:15.0,R. Rubio enters the game for J. Ingles,,52-39,,
7:15.0,D. Mitchell enters the game for J. Jerebko,,52-39,,
7:15.0,R. Gobert enters the game for D. Exum,,52-39,,
7:01.0,D. Mitchell misses 2-pt shot from 6 ft (block by D. Powell),,52-39,,
6:58.0,,,52-39,,Defensive rebound by A. Harrison
6:49.0,,,52-39,,Turnover by D. McDermott (bad pass; steal by R. Rubio)
6:45.0,R. Rubio misses 3-pt shot from 24 ft,,52-39,,
6:41.0,Offensive rebound by R. Gobert,,52-39,,
6:38.0,Turnover by R. Rubio (bad pass; steal by A. Harrison),,52-39,,
6:30.0,,,52-42,3,J. Barea makes 3-pt shot from 25 ft (assist by A. Harrison)
6:10.0,R. O'Neale misses 3-pt shot from 25 ft,,52-42,,
6:08.0,,,52-42,,Defensive rebound by J. Barea
6:01.0,,,52-44,2,J. Barea makes 2-pt shot from 4 ft
5:47.0,D. Favors misses 3-pt shot from 23 ft,,52-44,,
5:47.0,,,52-44,,Defensive rebound by D. Nowitzki
5:47.0,Loose ball foul by R. Gobert (drawn by D. Nowitzki),,52-44,,
5:47.0,,,52-44,,Y. Ferrell enters the game for A. Harrison
5:47.0,J. Crowder enters the game for R. O'Neale,,52-44,,
5:31.0,,,52-46,2,Y. Ferrell makes 2-pt shot at rim
5:20.0,Turnover by J. Crowder (bad pass; steal by D. Nowitzki),,52-46,,
5:20.0,Loose ball foul by D. Favors (drawn by D. Nowitzki),,52-46,,
5:20.0,,,52-46,,D. Finney-Smith enters the game for D. Powell
5:20.0,,,52-46,,H. Barnes enters the game for D. McDermott
5:20.0,,,52-46,,S. Mejri enters the game for D. Nowitzki
5:09.0,,,52-48,2,J. Barea makes 2-pt shot from 17 ft
5:02.0,Utah full timeout,,52-48,,
5:02.0,J. Ingles enters the game for D. Favors,,52-48,,
4:55.0,Shooting foul by D. Finney-Smith (drawn by R. Gobert),,52-48,,
4:55.0,R. Gobert makes free throw 1 of 2,1,53-48,,
4:55.0,R. Gobert makes free throw 2 of 2,1,54-48,,
4:39.0,,,54-51,3,Y. Ferrell makes 3-pt shot from 25 ft (assist by J. Barea)
4:14.0,D. Mitchell misses 3-pt shot from 23 ft,,54-51,,
4:12.0,,,54-51,,Defensive rebound by D. Finney-Smith
3:59.0,,,54-51,,D. Finney-Smith misses 2-pt shot from 10 ft (block by R. Gobert)
3:57.0,Defensive rebound by R. Rubio,,54-51,,
3:51.0,Offensive charge foul by J. Crowder (drawn by D. Finney-Smith),,54-51,,
3:51.0,Turnover by J. Crowder (offensive foul),,54-51,,
3:35.0,,,54-51,,S. Mejri misses 2-pt shot from 7 ft
3:32.0,Defensive rebound by D. Mitchell,,54-51,,
3:27.0,R. Rubio makes 3-pt shot from 25 ft (assist by D. Mitchell),3,57-51,,
3:03.0,,,57-53,2,S. Mejri makes 2-pt shot from 1 ft (assist by J. Barea)
2:45.0,R. Rubio misses 2-pt shot from 14 ft,,57-53,,
2:43.0,,,57-53,,Defensive rebound by S. Mejri
2:31.0,,,57-53,,J. Barea misses 2-pt shot from 7 ft
2:29.0,Defensive rebound by J. Ingles,,57-53,,
2:25.0,J. Crowder makes 2-pt shot at rim (assist by J. Ingles),2,59-53,,
2:05.0,,,59-53,,H. Barnes misses 2-pt shot from 2 ft (block by R. Gobert)
2:03.0,,,59-53,,Offensive rebound by S. Mejri
2:02.0,,,59-55,2,S. Mejri makes 2-pt shot at rim
1:48.0,J. Ingles makes 2-pt shot from 9 ft (assist by J. Crowder),2,61-55,,
1:21.0,,,61-55,,H. Barnes misses 2-pt shot from 2 ft
1:20.0,,,61-55,,Offensive rebound by S. Mejri
1:19.0,,,61-55,,Turnover by Team (shot clock)
1:03.0,Shooting foul by J. Barea (drawn by R. Rubio),,61-55,,
1:03.0,R. Rubio makes free throw 1 of 2,1,62-55,,
1:03.0,,,62-55,,D. Nowitzki enters the game for S. Mejri
1:03.0,R. Rubio makes free throw 2 of 2,1,63-55,,
0:38.0,,,63-58,3,J. Barea makes 3-pt shot from 27 ft (assist by Y. Ferrell)
0:33.0,Offensive foul by R. Rubio (drawn by J. Barea),,63-58,,
0:33.0,Turnover by R. Rubio (offensive foul),,63-58,,
0:14.0,,,63-58,,Y. Ferrell misses 3-pt shot from 25 ft
0:11.0,Defensive rebound by D. Mitchell,,63-58,,
0:03.0,D. Mitchell misses 2-pt shot from 1 ft,,63-58,,
0:02.0,Offensive rebound by R. Gobert,,63-58,,
0:00.0,J. Crowder makes 2-pt shot from 18 ft (assist by R. Gobert),2,65-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,65-58,,D. Nowitzki misses 2-pt shot from 19 ft
11:46.0,Defensive rebound by R. Gobert,,65-58,,
11:26.0,D. Favors makes 2-pt shot from 1 ft (assist by R. Rubio),2,67-58,,
11:09.0,,,67-58,,H. Barnes misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by Team,,67-58,,
10:56.0,R. Gobert makes 2-pt shot from 3 ft (assist by D. Favors),2,69-58,,
10:56.0,Shooting foul by H. Barnes (drawn by R. Gobert),,69-58,,
10:56.0,R. Gobert makes free throw 1 of 1,1,70-58,,
10:43.0,,,70-60,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by J. Barea)
10:31.0,Turnover by R. Rubio (bad pass; steal by H. Barnes),,70-60,,
10:17.0,,,70-60,,Turnover by H. Barnes (bad pass; steal by R. Gobert)
10:12.0,R. Rubio makes 3-pt shot from 25 ft (assist by D. Mitchell),3,73-60,,
9:49.0,,,73-60,,J. Barea misses 2-pt shot from 14 ft
9:47.0,Defensive rebound by J. Ingles,,73-60,,
9:33.0,J. Ingles misses 2-pt shot from 22 ft,,73-60,,
9:30.0,,,73-60,,Defensive rebound by D. Finney-Smith
9:24.0,,,73-60,,D. Nowitzki misses 3-pt shot from 25 ft
9:22.0,Defensive rebound by R. Rubio,,73-60,,
9:15.0,R. Rubio makes 3-pt shot from 25 ft,3,76-60,,
9:14.0,,,76-60,,Dallas full timeout
8:58.0,,,76-60,,D. Powell misses 2-pt shot from 1 ft (block by R. Gobert)
8:56.0,Defensive rebound by R. Rubio,,76-60,,
8:53.0,J. Ingles misses 3-pt shot from 24 ft,,76-60,,
8:51.0,,,76-60,,Defensive rebound by D. Finney-Smith
8:34.0,,,76-60,,Turnover by D. Nowitzki (lost ball; steal by D. Mitchell)
8:22.0,R. Rubio misses 3-pt shot from 24 ft,,76-60,,
8:21.0,,,76-60,,Defensive rebound by Team
8:05.0,,,76-63,3,D. Finney-Smith makes 3-pt shot from 24 ft (assist by J. Barea)
7:46.0,D. Favors misses 2-pt shot from 19 ft,,76-63,,
7:43.0,,,76-63,,Defensive rebound by D. Powell
7:32.0,,,76-63,,H. Barnes misses 2-pt shot from 21 ft
7:30.0,Defensive rebound by J. Ingles,,76-63,,
7:25.0,Turnover by D. Favors (traveling),,76-63,,
7:09.0,,,76-65,2,H. Barnes makes 2-pt shot from 1 ft
6:52.0,D. Mitchell makes 2-pt shot from 3 ft,2,78-65,,
6:38.0,,,78-65,,D. Finney-Smith misses 3-pt shot from 22 ft
6:36.0,Defensive rebound by J. Ingles,,78-65,,
6:36.0,,,78-65,,Personal foul by D. Finney-Smith (drawn by J. Ingles)
6:23.0,D. Mitchell misses 3-pt shot from 25 ft,,78-65,,
6:20.0,,,78-65,,Defensive rebound by D. Finney-Smith
6:13.0,,,78-65,,J. Barea misses 2-pt shot from 2 ft (block by R. Gobert)
6:13.0,,,78-65,,Offensive rebound by Team
6:13.0,,,78-65,,S. Mejri enters the game for J. Barea
6:13.0,,,78-65,,Y. Ferrell enters the game for D. Nowitzki
6:13.0,,,78-65,,D. McDermott enters the game for D. Powell
6:13.0,J. Crowder enters the game for D. Favors,,78-65,,
6:11.0,,,78-65,,H. Barnes misses 2-pt shot from 18 ft
6:08.0,Defensive rebound by J. Ingles,,78-65,,
5:58.0,R. Gobert misses 2-pt shot from 4 ft (block by D. Finney-Smith),,78-65,,
5:55.0,,,78-65,,Defensive rebound by S. Mejri
5:45.0,,,78-65,,Turnover by D. Finney-Smith (bad pass; steal by R. Rubio)
5:39.0,D. Mitchell makes 2-pt shot at rim (assist by R. Rubio),2,80-65,,
5:13.0,,,80-65,,Turnover by S. Mejri (lost ball; steal by R. Rubio)
5:01.0,,,80-65,,Personal foul by H. Barnes (drawn by R. Gobert)
5:01.0,,,80-65,,A. Harrison enters the game for D. Finney-Smith
4:54.0,J. Ingles makes 3-pt shot from 24 ft (assist by R. Rubio),3,83-65,,
4:53.0,,,83-65,,Dallas full timeout
4:38.0,Personal foul by J. Ingles (drawn by D. McDermott),,83-65,,
4:28.0,,,83-65,,Y. Ferrell misses 3-pt shot from 23 ft
4:25.0,Defensive rebound by J. Crowder,,83-65,,
4:06.0,J. Ingles makes 2-pt shot from 1 ft,2,85-65,,
4:06.0,Shooting foul by D. McDermott (drawn by J. Ingles),,85-65,,
4:06.0,J. Ingles makes free throw 1 of 1,1,86-65,,
3:45.0,,,86-68,3,H. Barnes makes 3-pt shot from 24 ft
3:28.0,J. Ingles misses 3-pt shot from 25 ft,,86-68,,
3:27.0,Offensive rebound by J. Crowder,,86-68,,
3:26.0,,,86-68,,Loose ball foul by A. Harrison (drawn by J. Crowder)
3:26.0,J. Crowder makes free throw 1 of 2,1,87-68,,
3:26.0,,,87-68,,J. Jones enters the game for D. McDermott
3:26.0,R. O'Neale enters the game for J. Ingles,,87-68,,
3:26.0,J. Jerebko enters the game for R. Rubio,,87-68,,
3:26.0,J. Crowder makes free throw 2 of 2,1,88-68,,
3:20.0,,,88-70,2,Y. Ferrell makes 2-pt shot at rim
3:20.0,,,88-70,,Shooting foul by J. Crowder (drawn by Y. Ferrell)
3:20.0,,,88-71,1,Y. Ferrell makes free throw 1 of 1
3:03.0,R. O'Neale misses 2-pt shot from 2 ft (block by S. Mejri),,88-71,,
3:03.0,,,88-71,,Defensive rebound by Team
2:44.0,,,88-71,,H. Barnes misses 2-pt shot from 16 ft
2:42.0,Defensive rebound by R. Gobert,,88-71,,
2:37.0,D. Mitchell misses 3-pt shot from 25 ft,,88-71,,
2:37.0,Offensive rebound by Team,,88-71,,
2:37.0,,,88-71,,Loose ball foul by A. Harrison (drawn by R. Gobert)
2:37.0,R. Gobert makes free throw 1 of 2,1,89-71,,
2:37.0,R. Gobert makes free throw 2 of 2,1,90-71,,
2:23.0,,,90-71,,J. Jones misses 3-pt shot from 25 ft
2:19.0,,,90-71,,Offensive rebound by S. Mejri
2:16.0,,,90-71,,A. Harrison misses 3-pt shot from 26 ft
2:12.0,,,90-71,,Offensive rebound by H. Barnes
2:12.0,,,90-71,,H. Barnes misses 2-pt shot from 1 ft (block by R. Gobert)
2:12.0,Defensive rebound by Team,,90-71,,
2:12.0,D. Favors enters the game for R. Gobert,,90-71,,
2:12.0,D. Exum enters the game for D. Mitchell,,90-71,,
2:01.0,J. Crowder misses 2-pt shot from 17 ft,,90-71,,
1:58.0,,,90-71,,Defensive rebound by J. Jones
1:52.0,,,90-74,3,Y. Ferrell makes 3-pt shot from 25 ft
1:34.0,D. Exum misses 3-pt shot from 23 ft,,90-74,,
1:33.0,Offensive rebound by D. Favors,,90-74,,
1:23.0,R. O'Neale makes 2-pt shot from 1 ft,2,92-74,,
1:23.0,,,92-74,,Violation by S. Mejri (def goaltending)
1:01.0,,,92-74,,Y. Ferrell misses 2-pt shot from 7 ft
1:00.0,,,92-74,,Offensive rebound by J. Jones
0:59.0,,,92-76,2,J. Jones makes 2-pt shot from 1 ft
0:49.0,D. Exum misses 2-pt shot from 1 ft,,92-76,,
0:49.0,Offensive rebound by D. Favors,,92-76,,
0:48.0,D. Favors makes 2-pt shot at rim,2,94-76,,
0:32.0,,,94-79,3,H. Barnes makes 3-pt shot from 24 ft
0:16.0,D. Favors makes 2-pt shot at rim (assist by D. Exum),2,96-79,,
0:04.0,,,96-81,2,Y. Ferrell makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,D. Favors makes 2-pt shot from 10 ft (assist by J. Jerebko),2,98-81,,
11:22.0,,,98-84,3,Y. Ferrell makes 3-pt shot from 26 ft (assist by M. Kleber)
11:05.0,D. Favors misses 2-pt shot from 4 ft (block by D. Nowitzki),,98-84,,
11:05.0,,,98-84,,Defensive rebound by Team
11:05.0,D. Exum enters the game for R. O'Neale,,98-84,,
10:54.0,,,98-84,,Y. Ferrell misses 2-pt shot at rim
10:51.0,Defensive rebound by J. Jerebko,,98-84,,
10:41.0,J. Crowder makes 2-pt shot from 16 ft (assist by J. Jerebko),2,100-84,,
10:27.0,,,100-86,2,J. Jones makes 2-pt shot from 2 ft (assist by Y. Ferrell)
10:13.0,J. Ingles makes 2-pt shot from 10 ft,2,102-86,,
10:00.0,,,102-88,2,D. Nowitzki makes 2-pt shot from 18 ft
9:50.0,D. Exum makes 2-pt shot from 1 ft (assist by J. Ingles),2,104-88,,
9:37.0,,,104-90,2,M. Kleber makes 2-pt shot at rim (assist by J. Barea)
9:36.0,Utah full timeout,,104-90,,
9:36.0,R. Gobert enters the game for J. Jerebko,,104-90,,
9:36.0,R. Rubio enters the game for D. Exum,,104-90,,
9:26.0,R. Rubio makes 2-pt shot at rim (assist by J. Ingles),2,106-90,,
9:09.0,,,106-93,3,J. Barea makes 3-pt shot from 25 ft
8:52.0,J. Crowder misses 2-pt shot from 5 ft (block by M. Kleber),,106-93,,
8:52.0,,,106-93,,Defensive rebound by Team
8:34.0,,,106-96,3,M. Kleber makes 3-pt shot from 25 ft (assist by J. Barea)
8:11.0,R. Rubio misses 2-pt shot from 18 ft,,106-96,,
8:07.0,,,106-96,,Defensive rebound by Y. Ferrell
7:53.0,,,106-96,,J. Barea misses 3-pt shot from 25 ft
7:48.0,Defensive rebound by R. Gobert,,106-96,,
7:42.0,J. Crowder makes 3-pt shot from 25 ft (assist by D. Favors),3,109-96,,
7:41.0,,,109-96,,Dallas full timeout
7:41.0,D. Mitchell enters the game for J. Ingles,,109-96,,
7:27.0,,,109-96,,Turnover by M. Kleber (bad pass; steal by R. Gobert)
7:16.0,,,109-96,,S. Mejri enters the game for J. Barea
7:16.0,,,109-96,,A. Harrison enters the game for D. Nowitzki
7:16.0,,,109-96,,H. Barnes enters the game for M. Kleber
7:12.0,,,109-96,,Personal foul by A. Harrison (drawn by D. Mitchell)
7:03.0,R. Rubio misses 3-pt shot from 24 ft,,109-96,,
7:01.0,,,109-96,,Defensive rebound by J. Jones
6:49.0,,,109-98,2,Y. Ferrell makes 2-pt shot from 16 ft
6:34.0,D. Mitchell makes 2-pt shot from 17 ft (assist by R. Gobert),2,111-98,,
6:17.0,,,111-98,,H. Barnes misses 2-pt shot from 21 ft
6:15.0,Defensive rebound by D. Mitchell,,111-98,,
6:04.0,D. Favors makes 2-pt shot from 1 ft (assist by D. Mitchell),2,113-98,,
5:51.0,,,113-98,,Turnover by J. Jones (out of bounds lost ball)
5:35.0,D. Mitchell misses 2-pt shot from 7 ft,,113-98,,
5:33.0,,,113-98,,Defensive rebound by H. Barnes
5:24.0,,,113-98,,Y. Ferrell misses 2-pt shot from 14 ft
5:20.0,Defensive rebound by R. Rubio,,113-98,,
5:07.0,J. Crowder misses 3-pt shot from 24 ft,,113-98,,
5:06.0,,,113-98,,Defensive rebound by Y. Ferrell
5:06.0,Loose ball foul by R. Gobert (drawn by S. Mejri),,113-98,,
5:06.0,,,113-98,,K. Collinsworth enters the game for Y. Ferrell
5:06.0,,,113-98,,M. Kleber enters the game for S. Mejri
4:52.0,,,113-98,,A. Harrison misses 3-pt shot from 25 ft
4:47.0,Defensive rebound by D. Mitchell,,113-98,,
4:46.0,Turnover by D. Mitchell (bad pass),,113-98,,
4:27.0,,,113-98,,A. Harrison misses 2-pt shot from 13 ft
4:25.0,,,113-98,,Offensive rebound by M. Kleber
4:24.0,,,113-98,,J. Jones misses 3-pt shot from 23 ft
4:22.0,Defensive rebound by J. Crowder,,113-98,,
4:08.0,D. Mitchell misses 2-pt shot from 5 ft (block by A. Harrison),,113-98,,
4:08.0,Offensive rebound by Team,,113-98,,
4:08.0,J. Ingles enters the game for D. Favors,,113-98,,
4:01.0,D. Mitchell misses 3-pt shot from 24 ft,,113-98,,
3:59.0,,,113-98,,Defensive rebound by H. Barnes
3:47.0,,,113-101,3,H. Barnes makes 3-pt shot from 25 ft (assist by M. Kleber)
3:25.0,Shooting foul by J. Jones (drawn by D. Mitchell),,113-101,,
3:25.0,D. Mitchell makes free throw 1 of 2,1,114-101,,
3:25.0,,,114-101,,Dallas full timeout
3:25.0,D. Mitchell makes free throw 2 of 2,1,115-101,,
3:01.0,,,115-101,,H. Barnes misses 2-pt shot from 7 ft
2:58.0,,,115-101,,Offensive rebound by A. Harrison
2:58.0,,,115-103,2,A. Harrison makes 2-pt shot from 1 ft
2:34.0,D. Mitchell misses 2-pt shot from 3 ft,,115-103,,
2:33.0,,,115-103,,Defensive rebound by K. Collinsworth
2:33.0,Personal take foul by J. Crowder (drawn by K. Collinsworth),,115-103,,
2:33.0,,,115-103,,D. McDermott enters the game for H. Barnes
2:22.0,,,115-105,2,D. McDermott makes 2-pt shot from 1 ft (assist by M. Kleber)
2:06.0,Turnover by J. Ingles (bad pass),,115-105,,
2:06.0,D. Exum enters the game for J. Ingles,,115-105,,
2:06.0,J. Jerebko enters the game for J. Crowder,,115-105,,
1:56.0,,,115-105,,Turnover by K. Collinsworth (bad pass; steal by R. Rubio)
1:50.0,D. Mitchell misses 2-pt shot from 2 ft (block by K. Collinsworth),,115-105,,
1:50.0,,,115-105,,Defensive rebound by K. Collinsworth
1:49.0,Personal take foul by R. Rubio (drawn by J. Jones),,115-105,,
1:43.0,,,115-105,,K. Collinsworth misses 2-pt shot from 2 ft
1:43.0,,,115-105,,Offensive rebound by Team
1:43.0,Loose ball foul by R. Rubio (drawn by M. Kleber),,115-105,,
