time,New Orleans,pts.away,score,pts.home,Detroit
7:22.0,,,12-11,1,I. Smith makes free throw 1 of 2
7:22.0,,,12-12,1,I. Smith makes free throw 2 of 2
7:18.0,Turnover by R. Rondo (out of bounds lost ball),,12-12,,
7:01.0,,,12-12,,B. Griffin misses 2-pt shot from 7 ft
7:01.0,,,12-12,,Offensive rebound by A. Drummond
7:01.0,,,12-12,,Shooting foul by E. Okafor (drawn by A. Drummond)
7:01.0,,,12-12,,A. Drummond misses free throw 1 of 2
7:01.0,,,12-12,,Offensive rebound by Team
7:01.0,I. Clark enters the game for R. Rondo,,12-12,,
7:01.0,,,12-13,1,A. Drummond makes free throw 2 of 2
7:01.0,D. Miller enters the game for E. Moore,,12-13,,
6:50.0,D. Miller misses 3-pt shot from 24 ft,,12-13,,
6:46.0,,,12-13,,Defensive rebound by B. Griffin
6:33.0,,,12-15,2,B. Griffin makes 2-pt shot from 1 ft
6:20.0,A. Davis makes 2-pt shot from 4 ft (assist by J. Holiday),2,14-15,,
6:20.0,,,14-15,,Violation by A. Drummond (def goaltending)
6:11.0,,,14-17,2,I. Smith makes 2-pt shot from 15 ft
5:58.0,E. Okafor makes 2-pt shot from 10 ft (assist by J. Holiday),2,16-17,,
5:44.0,Personal foul by I. Clark (drawn by I. Smith),,16-17,,
5:44.0,,,16-17,,I. Smith misses free throw 1 of 2
5:44.0,,,16-17,,Offensive rebound by Team
5:44.0,,,16-17,,A. Tolliver enters the game for S. Johnson
5:44.0,,,16-17,,J. Ennis enters the game for B. Griffin
5:44.0,N. Mirotic enters the game for E. Okafor,,16-17,,
5:44.0,,,16-18,1,I. Smith makes free throw 2 of 2
5:33.0,I. Clark misses 2-pt shot from 8 ft,,16-18,,
5:31.0,Offensive rebound by A. Davis,,16-18,,
5:29.0,N. Mirotic misses 2-pt shot from 17 ft,,16-18,,
5:29.0,,,16-18,,Defensive rebound by Team
5:13.0,,,16-18,,Turnover by I. Smith (out of bounds lost ball)
5:02.0,,,16-18,,Personal foul by A. Tolliver (drawn by I. Clark)
4:57.0,A. Davis makes 2-pt shot from 18 ft,2,18-18,,
4:40.0,,,18-18,,R. Bullock misses 2-pt shot from 6 ft
4:37.0,,,18-18,,Offensive rebound by A. Drummond
4:37.0,,,18-20,2,A. Drummond makes 2-pt shot at rim
4:32.0,J. Holiday misses 2-pt shot from 1 ft (block by J. Ennis),,18-20,,
4:32.0,,,18-20,,Defensive rebound by I. Smith
4:26.0,,,18-20,,A. Tolliver misses 3-pt shot from 23 ft
4:23.0,,,18-20,,Offensive rebound by A. Drummond
4:22.0,,,18-22,2,A. Drummond makes 2-pt shot from 2 ft
4:11.0,A. Davis makes 3-pt shot from 24 ft (assist by I. Clark),3,21-22,,
3:54.0,,,21-22,,R. Bullock misses 2-pt shot from 7 ft
3:50.0,Defensive rebound by I. Clark,,21-22,,
3:42.0,,,21-22,,Def 3 sec tech foul by J. Ennis
3:42.0,I. Clark makes technical free throw,1,22-22,,
3:42.0,,,22-22,,L. Galloway enters the game for I. Smith
3:42.0,,,22-22,,J. Nelson enters the game for R. Bullock
3:39.0,J. Holiday misses 2-pt shot from 5 ft,,22-22,,
3:35.0,,,22-22,,Defensive rebound by J. Nelson
3:28.0,,,22-25,3,J. Nelson makes 3-pt shot from 24 ft
3:20.0,A. Davis makes 2-pt shot from 7 ft (assist by J. Holiday),2,24-25,,
3:02.0,,,24-28,3,L. Galloway makes 3-pt shot from 22 ft (assist by J. Nelson)
2:52.0,J. Holiday makes 2-pt shot from 2 ft,2,26-28,,
2:39.0,,,26-28,,J. Nelson misses 3-pt shot from 25 ft
2:36.0,Defensive rebound by N. Mirotic,,26-28,,
2:26.0,J. Holiday misses 3-pt shot from 22 ft,,26-28,,
2:25.0,,,26-28,,Defensive rebound by A. Drummond
2:15.0,,,26-28,,L. Galloway misses 3-pt shot from 28 ft
2:10.0,Defensive rebound by N. Mirotic,,26-28,,
2:05.0,I. Clark makes 3-pt shot from 22 ft (assist by J. Holiday),3,29-28,,
1:47.0,,,29-28,,A. Drummond misses 2-pt shot from 5 ft
1:45.0,Defensive rebound by A. Davis,,29-28,,
1:38.0,N. Mirotic makes 3-pt shot from 24 ft (assist by D. Miller),3,32-28,,
1:21.0,,,32-28,,L. Galloway misses 3-pt shot from 26 ft
1:18.0,Defensive rebound by A. Davis,,32-28,,
1:14.0,A. Davis misses 2-pt shot from 10 ft,,32-28,,
1:09.0,,,32-28,,Defensive rebound by A. Tolliver
0:58.0,,,32-28,,A. Tolliver misses 2-pt shot from 10 ft
0:58.0,Defensive rebound by Team,,32-28,,
0:58.0,New Orleans full timeout,,32-28,,
0:58.0,,,32-28,,B. Griffin enters the game for A. Drummond
0:58.0,R. Rondo enters the game for J. Holiday,,32-28,,
0:40.0,Turnover by A. Davis (bad pass; steal by L. Galloway),,32-28,,
0:36.0,,,32-28,,Shooting foul by I. Clark (drawn by J. Ennis)
0:36.0,,,32-29,1,J. Ennis makes free throw 1 of 2
0:36.0,,,32-29,,J. Ennis misses free throw 2 of 2
0:34.0,Defensive rebound by N. Mirotic,,32-29,,
0:27.0,N. Mirotic misses 3-pt shot from 25 ft,,32-29,,
0:25.0,,,32-29,,Defensive rebound by Team
0:01.0,,,32-31,2,B. Griffin makes 2-pt shot from 9 ft
0:00.0,A. Davis misses 3-pt shot from 47 ft,,32-31,,
0:00.0,Offensive rebound by Team,,32-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by I. Clark (out of bounds lost ball),,32-31,,
11:28.0,,,32-33,2,B. Griffin makes 2-pt shot from 7 ft
11:17.0,C. Diallo misses 2-pt shot from 9 ft,,32-33,,
11:16.0,Offensive rebound by C. Diallo,,32-33,,
11:13.0,C. Diallo misses 2-pt shot from 12 ft,,32-33,,
11:13.0,,,32-33,,Defensive rebound by E. Moreland
10:57.0,,,32-35,2,B. Griffin makes 2-pt shot from 18 ft (assist by S. Johnson)
10:43.0,N. Mirotic makes 2-pt shot from 2 ft (assist by C. Diallo),2,34-35,,
10:35.0,Personal foul by D. Miller (drawn by S. Johnson),,34-35,,
10:25.0,,,34-35,,B. Griffin misses 2-pt shot from 11 ft
10:23.0,Defensive rebound by D. Miller,,34-35,,
10:15.0,R. Rondo makes 2-pt shot from 3 ft,2,36-35,,
9:56.0,,,36-37,2,B. Griffin makes 2-pt shot from 9 ft
9:47.0,C. Diallo makes 2-pt shot from 1 ft (assist by R. Rondo),2,38-37,,
9:25.0,,,38-37,,B. Griffin misses 3-pt shot from 25 ft
9:24.0,,,38-37,,Offensive rebound by E. Moreland
9:22.0,,,38-37,,L. Galloway misses 3-pt shot from 27 ft
9:16.0,Defensive rebound by N. Mirotic,,38-37,,
9:12.0,D. Miller makes 3-pt shot from 25 ft (assist by R. Rondo),3,41-37,,
9:00.0,,,41-37,,Detroit full timeout
8:46.0,,,41-37,,S. Johnson misses 2-pt shot from 8 ft
8:46.0,Defensive rebound by Team,,41-37,,
8:46.0,New Orleans full timeout,,41-37,,
8:46.0,E. Moore enters the game for D. Miller,,41-37,,
8:36.0,N. Mirotic makes 3-pt shot from 27 ft (assist by E. Moore),3,44-37,,
8:20.0,,,44-37,,J. Nelson misses 3-pt shot from 26 ft
8:16.0,Defensive rebound by N. Mirotic,,44-37,,
8:13.0,N. Mirotic misses 3-pt shot from 25 ft,,44-37,,
8:10.0,,,44-37,,Defensive rebound by L. Galloway
8:07.0,Personal foul by N. Mirotic (drawn by B. Griffin),,44-37,,
8:03.0,,,44-39,2,J. Nelson makes 2-pt shot from 3 ft
8:03.0,,,44-39,,Shooting foul by E. Moore (drawn by J. Nelson)
8:03.0,,,44-40,1,J. Nelson makes free throw 1 of 1
7:40.0,E. Moore misses 2-pt shot from 1 ft,,44-40,,
7:39.0,E. Moore misses 2-pt shot from 1 ft,,44-40,,
7:39.0,Offensive rebound by E. Moore,,44-40,,
7:38.0,,,44-40,,Defensive rebound by E. Moreland
7:28.0,,,44-40,,Turnover by B. Griffin (bad pass)
7:28.0,,,44-40,,A. Drummond enters the game for E. Moreland
7:28.0,J. Holiday enters the game for E. Moore,,44-40,,
7:20.0,N. Mirotic misses 2-pt shot from 19 ft,,44-40,,
7:18.0,,,44-40,,Defensive rebound by L. Galloway
7:13.0,,,44-40,,J. Nelson misses 3-pt shot from 28 ft
7:10.0,Defensive rebound by C. Diallo,,44-40,,
7:03.0,Turnover by R. Rondo (bad pass; steal by B. Griffin),,44-40,,
6:56.0,,,44-40,,L. Galloway misses 3-pt shot from 25 ft
6:53.0,,,44-40,,Offensive rebound by A. Drummond
6:53.0,,,44-40,,A. Drummond misses 2-pt shot from 1 ft
6:53.0,,,44-40,,Offensive rebound by A. Drummond
6:53.0,,,44-40,,A. Drummond misses 2-pt shot from 1 ft
6:51.0,,,44-40,,Offensive rebound by B. Griffin
6:50.0,,,44-40,,Shooting foul by C. Diallo (drawn by B. Griffin)
6:50.0,,,44-41,1,B. Griffin makes free throw 1 of 2
6:50.0,,,44-41,,I. Smith enters the game for L. Galloway
6:50.0,,,44-41,,R. Bullock enters the game for J. Nelson
6:50.0,,,44-41,,B. Griffin misses free throw 2 of 2
6:50.0,A. Davis enters the game for N. Mirotic,,44-41,,
6:50.0,D. Liggins enters the game for R. Rondo,,44-41,,
6:45.0,Offensive rebound by I. Clark,,44-41,,
6:37.0,I. Clark misses 3-pt shot from 26 ft,,44-41,,
6:32.0,,,44-41,,Defensive rebound by B. Griffin
6:20.0,,,44-41,,B. Griffin misses 3-pt shot from 26 ft
6:17.0,Defensive rebound by I. Clark,,44-41,,
6:09.0,A. Davis makes 2-pt shot from 7 ft (assist by J. Holiday),2,46-41,,
5:56.0,,,46-43,2,R. Bullock makes 2-pt shot from 11 ft (assist by A. Drummond)
5:56.0,,,46-43,,Shooting foul by D. Liggins (drawn by R. Bullock)
5:56.0,,,46-43,,A. Tolliver enters the game for B. Griffin
5:56.0,,,46-44,1,R. Bullock makes free throw 1 of 1
5:49.0,,,46-44,,Personal foul by A. Tolliver (drawn by A. Davis)
5:49.0,,,46-44,,J. Ennis enters the game for S. Johnson
5:46.0,A. Davis makes 2-pt shot from 9 ft (assist by D. Liggins),2,48-44,,
5:33.0,,,48-44,,A. Tolliver misses 3-pt shot from 26 ft (block by C. Diallo)
5:28.0,Defensive rebound by A. Davis,,48-44,,
5:26.0,J. Holiday makes 2-pt shot from 6 ft,2,50-44,,
5:12.0,,,50-44,,J. Ennis misses 2-pt shot from 18 ft
5:12.0,Defensive rebound by Team,,50-44,,
5:04.0,Turnover by A. Davis (out of bounds lost ball),,50-44,,
4:51.0,,,50-44,,J. Ennis misses 3-pt shot from 23 ft
4:45.0,Defensive rebound by A. Davis,,50-44,,
4:41.0,Offensive charge foul by I. Clark (drawn by A. Tolliver),,50-44,,
4:41.0,Turnover by I. Clark (offensive foul),,50-44,,
4:41.0,R. Rondo enters the game for D. Liggins,,50-44,,
4:41.0,D. Liggins enters the game for I. Clark,,50-44,,
4:32.0,,,50-44,,Offensive foul by I. Smith (drawn by R. Rondo)
4:32.0,,,50-44,,Turnover by I. Smith (offensive foul)
4:18.0,A. Davis makes 2-pt shot at rim (assist by R. Rondo),2,52-44,,
4:05.0,,,52-44,,R. Bullock misses 2-pt shot from 12 ft
4:03.0,Defensive rebound by C. Diallo,,52-44,,
3:59.0,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo),2,54-44,,
3:50.0,,,54-44,,Detroit full timeout
3:50.0,,,54-44,,B. Griffin enters the game for A. Tolliver
3:44.0,,,54-44,,B. Griffin misses 2-pt shot from 17 ft
3:38.0,Defensive rebound by R. Rondo,,54-44,,
3:22.0,A. Davis makes 2-pt shot from 17 ft,2,56-44,,
3:07.0,,,56-44,,Turnover by R. Bullock (lost ball; steal by D. Liggins)
3:05.0,D. Liggins makes 2-pt shot from 1 ft,2,58-44,,
2:50.0,Personal foul by C. Diallo (drawn by B. Griffin),,58-44,,
2:50.0,,,58-45,1,B. Griffin makes free throw 1 of 2
2:50.0,,,58-45,,S. Johnson enters the game for J. Ennis
2:50.0,,,58-46,1,B. Griffin makes free throw 2 of 2
2:43.0,A. Davis misses 2-pt shot from 15 ft,,58-46,,
2:40.0,,,58-46,,Defensive rebound by S. Johnson
2:34.0,,,58-48,2,S. Johnson makes 2-pt shot from 1 ft
2:16.0,,,58-48,,Personal foul by A. Drummond (drawn by A. Davis)
2:07.0,J. Holiday misses 2-pt shot from 18 ft,,58-48,,
2:05.0,,,58-48,,Defensive rebound by I. Smith
1:58.0,,,58-48,,I. Smith misses 2-pt shot from 15 ft
1:54.0,Defensive rebound by A. Davis,,58-48,,
1:33.0,J. Holiday makes 2-pt shot from 10 ft,2,60-48,,
1:17.0,,,60-48,,Offensive charge foul by S. Johnson (drawn by D. Liggins)
1:17.0,,,60-48,,Turnover by S. Johnson (offensive foul)
1:17.0,,,60-48,,A. Tolliver enters the game for A. Drummond
1:17.0,D. Miller enters the game for C. Diallo,,60-48,,
1:17.0,N. Mirotic enters the game for D. Liggins,,60-48,,
1:01.0,J. Holiday misses 2-pt shot from 6 ft,,60-48,,
0:59.0,,,60-48,,Defensive rebound by S. Johnson
0:54.0,Personal foul by J. Holiday (drawn by S. Johnson),,60-48,,
0:54.0,,,60-49,1,S. Johnson makes free throw 1 of 2
0:54.0,,,60-50,1,S. Johnson makes free throw 2 of 2
0:52.0,,,60-50,,Personal foul by B. Griffin (drawn by A. Davis)
0:45.0,N. Mirotic misses 2-pt shot from 11 ft,,60-50,,
0:42.0,,,60-50,,Defensive rebound by I. Smith
0:37.0,,,60-52,2,B. Griffin makes 2-pt shot from 3 ft
0:27.0,N. Mirotic misses 3-pt shot from 22 ft,,60-52,,
0:23.0,,,60-52,,Defensive rebound by B. Griffin
0:04.0,,,60-52,,B. Griffin misses 3-pt shot from 27 ft
0:01.0,Defensive rebound by N. Mirotic,,60-52,,
0:00.0,R. Rondo misses 3-pt shot from 36 ft,,60-52,,
0:00.0,Offensive rebound by Team,,60-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,E. Moore misses 2-pt shot from 7 ft,,60-52,,
11:40.0,Offensive rebound by E. Okafor,,60-52,,
11:39.0,A. Davis misses 2-pt shot from 5 ft,,60-52,,
11:39.0,Offensive rebound by E. Okafor,,60-52,,
11:32.0,A. Davis misses 2-pt shot from 6 ft,,60-52,,
11:32.0,Offensive rebound by E. Okafor,,60-52,,
11:32.0,E. Okafor makes 2-pt shot at rim,2,62-52,,
11:25.0,,,62-52,,A. Drummond misses 2-pt shot from 1 ft
11:23.0,Defensive rebound by R. Rondo,,62-52,,
11:16.0,E. Okafor misses 2-pt shot from 4 ft,,62-52,,
11:13.0,Offensive rebound by E. Okafor,,62-52,,
11:02.0,E. Okafor makes 2-pt shot from 1 ft (assist by E. Moore),2,64-52,,
11:02.0,,,64-52,,Detroit full timeout
10:40.0,,,64-52,,R. Bullock misses 2-pt shot from 4 ft (block by E. Okafor)
10:38.0,Defensive rebound by A. Davis,,64-52,,
10:15.0,R. Rondo misses 3-pt shot from 26 ft,,64-52,,
10:15.0,Offensive rebound by Team,,64-52,,
10:15.0,Turnover by Team (shot clock),,64-52,,
10:03.0,,,64-54,2,I. Smith makes 2-pt shot from 3 ft (assist by B. Griffin)
9:47.0,E. Moore misses 3-pt shot from 25 ft,,64-54,,
9:44.0,,,64-54,,Defensive rebound by A. Drummond
9:39.0,,,64-54,,R. Bullock misses 3-pt shot from 25 ft
9:36.0,Defensive rebound by R. Rondo,,64-54,,
9:23.0,E. Okafor misses 2-pt shot from 5 ft,,64-54,,
9:21.0,,,64-54,,Defensive rebound by A. Drummond
9:15.0,,,64-57,3,S. Johnson makes 3-pt shot from 24 ft (assist by R. Bullock)
9:01.0,A. Davis makes 3-pt shot from 26 ft (assist by R. Rondo),3,67-57,,
8:34.0,,,67-57,,Turnover by B. Griffin (bad pass; steal by E. Moore)
8:28.0,R. Rondo misses 2-pt shot from 3 ft,,67-57,,
8:24.0,Offensive rebound by E. Moore,,67-57,,
8:24.0,E. Moore misses 2-pt shot at rim,,67-57,,
8:23.0,,,67-57,,Defensive rebound by B. Griffin
8:18.0,,,67-60,3,R. Bullock makes 3-pt shot from 25 ft (assist by B. Griffin)
8:16.0,New Orleans full timeout,,67-60,,
8:01.0,E. Okafor misses 2-pt shot from 4 ft (block by A. Drummond),,67-60,,
7:57.0,,,67-60,,Defensive rebound by I. Smith
7:53.0,,,67-60,,R. Bullock misses 3-pt shot from 22 ft
7:49.0,,,67-60,,Offensive rebound by A. Drummond
7:48.0,,,67-60,,R. Bullock misses 2-pt shot from 1 ft
7:47.0,,,67-60,,Offensive rebound by R. Bullock
7:46.0,,,67-60,,Shooting foul by E. Okafor (drawn by R. Bullock)
7:46.0,,,67-61,1,R. Bullock makes free throw 1 of 2
7:46.0,,,67-62,1,R. Bullock makes free throw 2 of 2
7:31.0,A. Davis misses 2-pt shot from 21 ft,,67-62,,
7:27.0,,,67-62,,Defensive rebound by A. Drummond
7:21.0,,,67-62,,I. Smith misses 2-pt shot from 4 ft (block by R. Rondo)
7:19.0,Defensive rebound by J. Holiday,,67-62,,
7:16.0,J. Holiday makes 2-pt shot from 2 ft,2,69-62,,
6:57.0,,,69-62,,B. Griffin misses 3-pt shot from 24 ft
6:55.0,Defensive rebound by E. Okafor,,69-62,,
6:51.0,E. Moore misses 2-pt shot from 5 ft (block by I. Smith),,69-62,,
6:49.0,,,69-62,,Defensive rebound by I. Smith
6:49.0,N. Mirotic enters the game for E. Okafor,,69-62,,
6:42.0,,,69-65,3,S. Johnson makes 3-pt shot from 24 ft (assist by I. Smith)
6:40.0,New Orleans full timeout,,69-65,,
6:27.0,N. Mirotic misses 2-pt shot from 8 ft,,69-65,,
6:26.0,,,69-65,,Defensive rebound by I. Smith
6:21.0,,,69-65,,I. Smith misses 2-pt shot from 2 ft (block by J. Holiday)
6:19.0,Defensive rebound by J. Holiday,,69-65,,
6:17.0,Shooting foul by B. Griffin (drawn by N. Mirotic),,69-65,,
6:17.0,N. Mirotic makes free throw 1 of 3,1,70-65,,
6:17.0,N. Mirotic makes free throw 2 of 3,1,71-65,,
6:17.0,D. Miller enters the game for R. Rondo,,71-65,,
6:17.0,N. Mirotic makes free throw 3 of 3,1,72-65,,
5:57.0,,,72-65,,S. Johnson misses 3-pt shot from 25 ft
5:53.0,Defensive rebound by E. Moore,,72-65,,
5:41.0,N. Mirotic misses 3-pt shot from 22 ft,,72-65,,
5:38.0,,,72-65,,Defensive rebound by A. Drummond
5:32.0,,,72-68,3,B. Griffin makes 3-pt shot from 24 ft (assist by S. Johnson)
5:23.0,D. Miller makes 3-pt shot from 25 ft (assist by J. Holiday),3,75-68,,
4:56.0,,,75-68,,A. Drummond misses 2-pt shot from 9 ft
4:56.0,,,75-68,,Offensive rebound by Team
4:56.0,Personal foul by N. Mirotic (drawn by B. Griffin),,75-68,,
4:56.0,,,75-68,,A. Tolliver enters the game for A. Drummond
4:42.0,,,75-68,,S. Johnson misses 2-pt shot from 5 ft
4:41.0,Defensive rebound by A. Davis,,75-68,,
4:33.0,D. Miller misses 3-pt shot from 26 ft,,75-68,,
4:29.0,,,75-68,,Defensive rebound by R. Bullock
4:23.0,,,75-68,,Shooting foul by E. Moore (drawn by I. Smith)
4:23.0,,,75-69,1,I. Smith makes free throw 1 of 2
4:23.0,,,75-69,,L. Kennard enters the game for S. Johnson
4:23.0,I. Clark enters the game for E. Moore,,75-69,,
4:23.0,,,75-70,1,I. Smith makes free throw 2 of 2
4:07.0,Shooting foul by I. Smith (drawn by J. Holiday),,75-70,,
4:07.0,J. Holiday makes free throw 1 of 2,1,76-70,,
4:07.0,,,76-70,,J. Nelson enters the game for I. Smith
4:07.0,J. Holiday makes free throw 2 of 2,1,77-70,,
3:50.0,,,77-70,,B. Griffin misses 2-pt shot from 6 ft
3:48.0,Defensive rebound by N. Mirotic,,77-70,,
3:43.0,N. Mirotic makes 3-pt shot from 27 ft (assist by J. Holiday),3,80-70,,
3:27.0,,,80-70,,A. Tolliver misses 3-pt shot from 22 ft
3:24.0,Defensive rebound by I. Clark,,80-70,,
3:17.0,J. Holiday makes 2-pt shot from 2 ft,2,82-70,,
3:05.0,,,82-70,,Turnover by J. Nelson (lost ball; steal by J. Holiday)
3:01.0,A. Davis makes 2-pt shot from 3 ft (assist by J. Holiday),2,84-70,,
3:01.0,Shooting foul by A. Tolliver (drawn by A. Davis),,84-70,,
3:01.0,,,84-70,,A. Drummond enters the game for B. Griffin
3:01.0,R. Rondo enters the game for J. Holiday,,84-70,,
3:01.0,A. Davis makes free throw 1 of 1,1,85-70,,
2:48.0,,,85-73,3,A. Tolliver makes 3-pt shot from 24 ft (assist by J. Nelson)
2:32.0,I. Clark misses 2-pt shot from 11 ft,,85-73,,
2:31.0,,,85-73,,Defensive rebound by A. Drummond
2:27.0,,,85-73,,Turnover by A. Drummond (lost ball; steal by N. Mirotic)
2:22.0,N. Mirotic makes 2-pt shot from 3 ft (assist by R. Rondo),2,87-73,,
2:02.0,,,87-76,3,L. Kennard makes 3-pt shot from 22 ft (assist by J. Nelson)
1:44.0,D. Miller makes 3-pt shot from 22 ft (assist by A. Davis),3,90-76,,
1:24.0,,,90-76,,Shooting foul by A. Davis (drawn by A. Drummond)
1:24.0,,,90-77,1,A. Drummond makes free throw 1 of 2
1:24.0,,,90-77,,L. Galloway enters the game for R. Bullock
1:24.0,,,90-77,,A. Drummond misses free throw 2 of 2
1:22.0,Defensive rebound by N. Mirotic,,90-77,,
1:14.0,D. Miller misses 3-pt shot from 24 ft,,90-77,,
1:12.0,,,90-77,,Defensive rebound by A. Drummond
1:12.0,Personal foul by R. Rondo (drawn by A. Drummond),,90-77,,
1:12.0,,,90-78,1,A. Drummond makes free throw 1 of 2
1:12.0,,,90-78,,A. Drummond misses free throw 2 of 2
1:10.0,Defensive rebound by N. Mirotic,,90-78,,
0:57.0,N. Mirotic makes 2-pt shot from 18 ft (assist by I. Clark),2,92-78,,
0:45.0,,,92-78,,J. Nelson misses 3-pt shot from 24 ft
0:42.0,Defensive rebound by N. Mirotic,,92-78,,
0:34.0,Turnover by R. Rondo (bad pass),,92-78,,
0:34.0,C. Diallo enters the game for A. Davis,,92-78,,
0:21.0,,,92-78,,A. Tolliver misses 2-pt shot from 2 ft
0:19.0,Defensive rebound by C. Diallo,,92-78,,
0:16.0,N. Mirotic makes 3-pt shot from 29 ft (assist by R. Rondo),3,95-78,,
0:00.0,,,95-80,2,A. Drummond makes 2-pt shot from 9 ft (assist by L. Kennard)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,95-83,3,A. Tolliver makes 3-pt shot from 23 ft (assist by J. Nelson)
11:36.0,N. Mirotic misses 2-pt shot from 18 ft,,95-83,,
11:34.0,,,95-83,,Defensive rebound by A. Drummond
11:22.0,,,95-85,2,J. Nelson makes 2-pt shot from 2 ft
11:05.0,C. Diallo makes 2-pt shot from 8 ft,2,97-85,,
10:47.0,,,97-85,,L. Galloway misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by Team,,97-85,,
10:40.0,,,97-85,,Personal foul by A. Tolliver (drawn by R. Rondo)
10:33.0,Turnover by D. Miller (bad pass; steal by J. Nelson),,97-85,,
10:31.0,Personal foul by R. Rondo (drawn by J. Nelson),,97-85,,
10:20.0,,,97-85,,J. Nelson misses 3-pt shot from 25 ft
10:17.0,Defensive rebound by R. Rondo,,97-85,,
9:55.0,D. Miller misses 2-pt shot from 6 ft,,97-85,,
9:55.0,,,97-85,,Defensive rebound by A. Tolliver
9:37.0,,,97-87,2,L. Kennard makes 2-pt shot from 13 ft (assist by J. Nelson)
9:23.0,,,97-87,,Violation by A. Tolliver (kicked ball)
9:23.0,J. Holiday enters the game for I. Clark,,97-87,,
9:15.0,J. Holiday misses 2-pt shot from 11 ft,,97-87,,
9:12.0,,,97-87,,Defensive rebound by A. Drummond
9:00.0,,,97-87,,A. Drummond misses 2-pt shot from 8 ft
8:58.0,Defensive rebound by J. Holiday,,97-87,,
8:52.0,R. Rondo misses 3-pt shot from 25 ft,,97-87,,
8:51.0,Offensive rebound by Team,,97-87,,
8:51.0,,,97-87,,Loose ball foul by A. Tolliver (drawn by N. Mirotic)
8:51.0,,,97-87,,Technical foul by A. Drummond
8:51.0,,,97-87,,S. Johnson enters the game for L. Galloway
8:51.0,J. Holiday makes technical free throw,1,98-87,,
8:51.0,,,98-87,,B. Griffin enters the game for A. Tolliver
