time,Boston,pts.away,score,pts.home,Sacramento
3:03.0,G. Monroe misses 2-pt shot from 3 ft,,17-18,,
3:00.0,,,17-18,,Defensive rebound by S. Labissiere
2:53.0,,,17-21,3,S. Labissiere makes 3-pt shot from 25 ft (assist by D. Fox)
2:53.0,Boston full timeout,,17-21,,
2:53.0,,,17-21,,B. Hield enters the game for J. Jackson
2:53.0,G. Yabusele enters the game for T. Rozier,,17-21,,
2:53.0,J. Tatum enters the game for A. Nader,,17-21,,
2:53.0,S. Larkin enters the game for A. Horford,,17-21,,
2:37.0,G. Monroe misses 2-pt shot from 2 ft,,17-21,,
2:34.0,,,17-21,,Defensive rebound by K. Koufos
2:22.0,,,17-21,,S. Labissiere misses 3-pt shot from 26 ft
2:18.0,Defensive rebound by J. Tatum,,17-21,,
2:14.0,J. Tatum misses 3-pt shot from 24 ft,,17-21,,
2:09.0,,,17-21,,Defensive rebound by B. Hield
2:05.0,,,17-23,2,B. Hield makes 2-pt shot from 2 ft
1:42.0,G. Monroe misses 2-pt shot from 3 ft,,17-23,,
1:39.0,,,17-23,,Defensive rebound by V. Carter
1:29.0,,,17-23,,D. Fox misses 2-pt shot from 19 ft
1:25.0,Defensive rebound by G. Monroe,,17-23,,
1:12.0,S. Ojeleye makes 3-pt shot from 24 ft (assist by G. Yabusele),3,20-23,,
0:55.0,,,20-25,2,B. Hield makes 2-pt shot from 22 ft (assist by S. Labissiere)
0:42.0,S. Larkin makes 2-pt shot from 12 ft (assist by G. Yabusele),2,22-25,,
0:29.0,,,22-25,,S. Labissiere misses 2-pt shot from 4 ft
0:27.0,,,22-25,,Offensive rebound by S. Labissiere
0:27.0,,,22-27,2,S. Labissiere makes 2-pt shot at rim
0:14.0,S. Larkin makes 2-pt shot from 3 ft,2,24-27,,
0:00.0,,,24-27,,D. Fox misses 3-pt shot from 27 ft
0:00.0,,,24-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,24-27,,B. Hield misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by J. Tatum,,24-27,,
11:25.0,G. Yabusele misses 3-pt shot from 24 ft,,24-27,,
11:20.0,,,24-27,,Defensive rebound by B. Hield
11:08.0,,,24-27,,Turnover by B. Hield (bad pass)
10:56.0,J. Tatum makes 2-pt shot from 18 ft (assist by S. Larkin),2,26-27,,
10:42.0,,,26-29,2,B. Hield makes 2-pt shot from 15 ft (assist by F. Mason)
10:26.0,J. Tatum makes 2-pt shot from 19 ft (assist by S. Larkin),2,28-29,,
10:05.0,,,28-29,,V. Carter misses 3-pt shot from 25 ft
10:01.0,Defensive rebound by G. Monroe,,28-29,,
9:50.0,Shooting foul by W. Cauley-Stein (drawn by G. Yabusele),,28-29,,
9:50.0,G. Yabusele misses free throw 1 of 2,,28-29,,
9:50.0,Offensive rebound by Team,,28-29,,
9:50.0,G. Yabusele makes free throw 2 of 2,1,29-29,,
9:32.0,,,29-29,,Turnover by V. Carter (traveling)
9:23.0,Shooting foul by V. Carter (drawn by S. Ojeleye),,29-29,,
9:23.0,S. Ojeleye misses free throw 1 of 2,,29-29,,
9:23.0,Offensive rebound by Team,,29-29,,
9:23.0,S. Ojeleye misses free throw 2 of 2,,29-29,,
9:20.0,,,29-29,,Defensive rebound by K. Koufos
9:02.0,,,29-29,,F. Mason misses 2-pt shot from 1 ft
8:57.0,,,29-29,,Offensive rebound by K. Koufos
8:57.0,,,29-31,2,K. Koufos makes 2-pt shot at rim
8:42.0,S. Ojeleye misses 2-pt shot from 3 ft,,29-31,,
8:38.0,Offensive rebound by G. Monroe,,29-31,,
8:38.0,G. Monroe makes 2-pt shot at rim,2,31-31,,
8:20.0,,,31-31,,B. Hield misses 2-pt shot from 18 ft
8:17.0,Defensive rebound by G. Monroe,,31-31,,
8:00.0,G. Monroe misses 2-pt shot from 8 ft,,31-31,,
7:58.0,,,31-31,,Defensive rebound by V. Carter
7:53.0,,,31-34,3,V. Carter makes 3-pt shot from 26 ft (assist by F. Mason)
7:32.0,S. Larkin misses 2-pt shot from 22 ft,,31-34,,
7:29.0,,,31-34,,Defensive rebound by B. Hield
7:22.0,,,31-34,,Turnover by W. Cauley-Stein (traveling)
7:22.0,,,31-34,,B. Bogdanovic enters the game for V. Carter
7:09.0,J. Tatum makes 2-pt shot from 22 ft (assist by G. Monroe),2,33-34,,
6:59.0,,,33-36,2,F. Mason makes 2-pt shot from 9 ft
6:39.0,Turnover by G. Monroe (lost ball; steal by K. Koufos),,33-36,,
6:34.0,,,33-38,2,B. Hield makes 2-pt shot from 2 ft (assist by W. Cauley-Stein)
6:21.0,Turnover by J. Tatum (out of bounds lost ball),,33-38,,
6:21.0,,,33-38,,Sacramento full timeout
6:21.0,,,33-38,,S. Labissiere enters the game for K. Koufos
6:21.0,A. Baynes enters the game for J. Tatum,,33-38,,
6:21.0,A. Nader enters the game for S. Larkin,,33-38,,
6:21.0,T. Rozier enters the game for G. Yabusele,,33-38,,
6:21.0,A. Horford enters the game for S. Ojeleye,,33-38,,
6:21.0,J. Brown enters the game for G. Monroe,,33-38,,
6:06.0,,,33-41,3,B. Hield makes 3-pt shot from 24 ft (assist by W. Cauley-Stein)
5:50.0,J. Brown makes 3-pt shot from 24 ft (assist by A. Horford),3,36-41,,
5:33.0,,,36-44,3,B. Hield makes 3-pt shot from 25 ft (assist by W. Cauley-Stein)
5:13.0,Shooting foul by B. Bogdanovic (drawn by J. Brown),,36-44,,
5:13.0,J. Brown makes free throw 1 of 2,1,37-44,,
5:13.0,J. Brown makes free throw 2 of 2,1,38-44,,
4:55.0,,,38-44,,S. Labissiere misses 2-pt shot from 7 ft
4:54.0,,,38-44,,Offensive rebound by Team
4:54.0,Loose ball foul by A. Baynes (drawn by S. Labissiere),,38-44,,
4:38.0,,,38-44,,F. Mason misses 3-pt shot from 23 ft
4:35.0,Defensive rebound by A. Horford,,38-44,,
4:19.0,A. Horford makes 2-pt shot at rim (assist by T. Rozier),2,40-44,,
4:02.0,,,40-44,,D. Fox enters the game for F. Mason
4:02.0,,,40-44,,J. Jackson enters the game for B. Hield
3:53.0,,,40-44,,Shooting foul by A. Nader (drawn by W. Cauley-Stein)
3:53.0,,,40-45,1,W. Cauley-Stein makes free throw 1 of 2
3:53.0,,,40-46,1,W. Cauley-Stein makes free throw 2 of 2
3:35.0,Turnover by J. Brown (bad pass; steal by B. Bogdanovic),,40-46,,
3:31.0,,,40-48,2,J. Jackson makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
3:17.0,T. Rozier makes 3-pt shot from 22 ft (assist by A. Horford),3,43-48,,
2:58.0,,,43-50,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
2:49.0,Boston full timeout,,43-50,,
2:49.0,J. Tatum enters the game for J. Brown,,43-50,,
2:49.0,S. Ojeleye enters the game for A. Nader,,43-50,,
2:49.0,S. Larkin enters the game for A. Baynes,,43-50,,
2:33.0,A. Horford makes 2-pt shot from 7 ft (assist by S. Larkin),2,45-50,,
2:07.0,,,45-53,3,D. Fox makes 3-pt shot from 24 ft (assist by S. Labissiere)
1:55.0,T. Rozier makes 3-pt shot from 24 ft (assist by A. Horford),3,48-53,,
1:36.0,,,48-55,2,S. Labissiere makes 2-pt shot from 18 ft
1:25.0,S. Ojeleye misses 3-pt shot from 24 ft,,48-55,,
1:21.0,,,48-55,,Defensive rebound by S. Labissiere
1:10.0,,,48-55,,Shooting foul by S. Ojeleye (drawn by W. Cauley-Stein)
1:10.0,,,48-56,1,W. Cauley-Stein makes free throw 1 of 2
1:10.0,G. Monroe enters the game for S. Ojeleye,,48-56,,
1:10.0,,,48-57,1,W. Cauley-Stein makes free throw 2 of 2
0:58.0,J. Tatum makes 2-pt shot from 16 ft,2,50-57,,
0:44.0,,,50-60,3,S. Labissiere makes 3-pt shot from 24 ft (assist by J. Jackson)
0:35.0,A. Horford makes 2-pt shot from 1 ft (assist by S. Larkin),2,52-60,,
0:25.0,,,52-60,,D. Fox misses 2-pt shot from 3 ft (block by A. Horford)
0:22.0,Defensive rebound by G. Monroe,,52-60,,
0:05.0,Turnover by S. Larkin (lost ball; steal by B. Bogdanovic),,52-60,,
0:01.0,,,52-60,,B. Bogdanovic misses 3-pt shot from 24 ft
0:01.0,,,52-60,,Offensive rebound by W. Cauley-Stein
0:00.0,,,52-60,,W. Cauley-Stein misses 2-pt shot at rim
0:00.0,,,52-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,52-60,,Turnover by J. Jackson (bad pass; steal by T. Rozier)
11:33.0,Turnover by A. Horford (bad pass),,52-60,,
11:25.0,,,52-60,,W. Cauley-Stein misses 2-pt shot from 16 ft
11:20.0,Defensive rebound by T. Rozier,,52-60,,
11:12.0,A. Baynes makes 2-pt shot from 7 ft (assist by A. Horford),2,54-60,,
10:54.0,,,54-62,2,W. Cauley-Stein makes 2-pt shot at rim (assist by S. Labissiere)
10:32.0,A. Horford makes 2-pt shot from 3 ft,2,56-62,,
10:10.0,,,56-64,2,W. Cauley-Stein makes 2-pt shot from 15 ft
9:50.0,A. Horford misses 2-pt shot from 4 ft (block by S. Labissiere),,56-64,,
9:50.0,Offensive rebound by Team,,56-64,,
9:44.0,J. Tatum misses 2-pt shot from 4 ft,,56-64,,
9:42.0,,,56-64,,Defensive rebound by S. Labissiere
9:36.0,,,56-64,,Turnover by D. Fox (bad pass; steal by J. Tatum)
9:35.0,,,56-64,,Personal foul by J. Jackson (drawn by J. Tatum)
9:22.0,T. Rozier makes 3-pt shot from 23 ft (assist by A. Baynes),3,59-64,,
9:03.0,,,59-64,,J. Jackson misses 3-pt shot from 25 ft
9:01.0,Defensive rebound by J. Tatum,,59-64,,
8:44.0,Shooting foul by D. Fox (drawn by A. Horford),,59-64,,
8:44.0,A. Horford misses free throw 1 of 2,,59-64,,
8:44.0,Offensive rebound by Team,,59-64,,
8:44.0,A. Horford makes free throw 2 of 2,1,60-64,,
8:30.0,,,60-64,,W. Cauley-Stein misses 2-pt shot from 11 ft
8:28.0,Defensive rebound by A. Baynes,,60-64,,
8:22.0,J. Brown makes 2-pt shot from 1 ft,2,62-64,,
8:02.0,,,62-64,,S. Labissiere misses 3-pt shot from 24 ft
7:59.0,Defensive rebound by J. Tatum,,62-64,,
7:47.0,T. Rozier makes 3-pt shot from 22 ft,3,65-64,,
7:40.0,,,65-64,,Sacramento full timeout
7:40.0,,,65-64,,K. Koufos enters the game for S. Labissiere
7:29.0,,,65-66,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
7:15.0,J. Brown misses 2-pt shot from 14 ft,,65-66,,
7:11.0,,,65-66,,Defensive rebound by B. Bogdanovic
7:04.0,,,65-66,,B. Bogdanovic misses 2-pt shot from 14 ft
7:02.0,Defensive rebound by J. Tatum,,65-66,,
6:57.0,T. Rozier makes 3-pt shot from 24 ft (assist by J. Brown),3,68-66,,
6:39.0,,,68-66,,W. Cauley-Stein misses 2-pt shot from 17 ft
6:36.0,Defensive rebound by J. Tatum,,68-66,,
6:35.0,,,68-66,,Personal foul by W. Cauley-Stein (drawn by A. Horford)
6:35.0,S. Ojeleye enters the game for J. Tatum,,68-66,,
6:35.0,,,68-66,,V. Carter enters the game for B. Bogdanovic
6:28.0,A. Baynes makes 2-pt shot from 2 ft (assist by T. Rozier),2,70-66,,
6:07.0,,,70-66,,Turnover by D. Fox (bad pass; steal by T. Rozier)
6:03.0,J. Brown makes 2-pt shot from 2 ft (assist by T. Rozier),2,72-66,,
5:41.0,,,72-66,,W. Cauley-Stein misses 2-pt shot from 5 ft
5:38.0,Defensive rebound by A. Baynes,,72-66,,
5:20.0,Shooting foul by D. Fox (drawn by J. Brown),,72-66,,
5:20.0,J. Brown makes free throw 1 of 2,1,73-66,,
5:20.0,,,73-66,,F. Mason enters the game for D. Fox
5:20.0,J. Brown makes free throw 2 of 2,1,74-66,,
5:05.0,,,74-68,2,K. Koufos makes 2-pt shot from 1 ft (assist by F. Mason)
4:52.0,T. Rozier misses 3-pt shot from 25 ft,,74-68,,
4:50.0,,,74-68,,Defensive rebound by F. Mason
4:50.0,Personal foul by T. Rozier (drawn by F. Mason),,74-68,,
4:50.0,J. Tatum enters the game for J. Brown,,74-68,,
4:40.0,,,74-68,,J. Jackson misses 3-pt shot from 25 ft
4:35.0,Defensive rebound by A. Baynes,,74-68,,
4:17.0,T. Rozier misses 3-pt shot from 25 ft,,74-68,,
4:15.0,,,74-68,,Defensive rebound by K. Koufos
4:04.0,G. Monroe enters the game for A. Baynes,,74-68,,
3:55.0,,,74-68,,W. Cauley-Stein misses 2-pt shot from 4 ft
3:52.0,Defensive rebound by G. Monroe,,74-68,,
3:34.0,J. Tatum misses 2-pt shot from 16 ft,,74-68,,
3:32.0,,,74-68,,Defensive rebound by W. Cauley-Stein
3:17.0,,,74-68,,V. Carter misses 3-pt shot from 28 ft
3:14.0,Defensive rebound by A. Horford,,74-68,,
3:03.0,G. Monroe misses 2-pt shot from 4 ft,,74-68,,
3:03.0,,,74-68,,Defensive rebound by J. Jackson
2:56.0,,,74-70,2,F. Mason makes 2-pt shot from 2 ft
2:46.0,Boston full timeout,,74-70,,
2:46.0,,,74-70,,B. Bogdanovic enters the game for W. Cauley-Stein
2:46.0,,,74-70,,B. Hield enters the game for J. Jackson
2:46.0,S. Larkin enters the game for T. Rozier,,74-70,,
2:46.0,A. Nader enters the game for A. Horford,,74-70,,
2:29.0,G. Monroe makes 2-pt shot from 1 ft (assist by J. Tatum),2,76-70,,
2:13.0,,,76-72,2,F. Mason makes 2-pt shot from 18 ft
2:02.0,,,76-72,,Personal foul by F. Mason (drawn by S. Larkin)
2:02.0,S. Larkin makes free throw 1 of 2,1,77-72,,
2:02.0,S. Larkin makes free throw 2 of 2,1,78-72,,
1:38.0,,,78-72,,B. Hield misses 2-pt shot from 8 ft
1:33.0,,,78-72,,Offensive rebound by K. Koufos
1:33.0,,,78-74,2,K. Koufos makes 2-pt shot at rim
1:21.0,Turnover by G. Monroe (lost ball; steal by B. Hield),,78-74,,
1:17.0,,,78-74,,Turnover by V. Carter (bad pass; steal by S. Larkin)
1:02.0,Turnover by J. Tatum (lost ball; steal by B. Hield),,78-74,,
1:01.0,,,78-74,,Shooting foul by J. Tatum (drawn by B. Hield)
1:01.0,,,78-75,1,B. Hield makes free throw 1 of 2
1:01.0,,,78-76,1,B. Hield makes free throw 2 of 2
0:44.0,S. Ojeleye makes 2-pt shot from 3 ft (assist by G. Monroe),2,80-76,,
0:28.0,,,80-78,2,V. Carter makes 2-pt shot from 20 ft
0:05.0,J. Tatum misses 3-pt shot from 24 ft,,80-78,,
0:02.0,,,80-78,,Defensive rebound by K. Koufos
0:00.0,,,80-78,,B. Bogdanovic misses 3-pt shot from 46 ft
0:00.0,,,80-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,A. Nader misses 2-pt shot from 4 ft,,80-78,,
11:35.0,,,80-78,,Defensive rebound by K. Koufos
11:24.0,,,80-80,2,F. Mason makes 2-pt shot from 2 ft (assist by B. Hield)
11:10.0,G. Monroe misses 2-pt shot from 4 ft,,80-80,,
11:10.0,Offensive rebound by Team,,80-80,,
11:10.0,T. Rozier enters the game for J. Tatum,,80-80,,
11:06.0,T. Rozier makes 2-pt shot from 16 ft,2,82-80,,
10:46.0,,,82-80,,B. Hield misses 2-pt shot from 20 ft
10:43.0,Defensive rebound by S. Ojeleye,,82-80,,
10:37.0,,,82-80,,Violation by B. Hield (kicked ball)
10:22.0,G. Monroe misses 2-pt shot from 10 ft,,82-80,,
10:20.0,,,82-80,,Defensive rebound by V. Carter
10:12.0,,,82-82,2,K. Koufos makes 2-pt shot from 1 ft (assist by F. Mason)
9:56.0,,,82-82,,Personal foul by F. Mason (drawn by T. Rozier)
9:47.0,,,82-82,,Personal foul by K. Koufos (drawn by T. Rozier)
9:37.0,,,82-82,,Personal foul by K. Koufos (drawn by S. Larkin)
9:30.0,Turnover by A. Nader (traveling),,82-82,,
9:11.0,,,82-82,,B. Bogdanovic misses 3-pt shot from 25 ft
9:08.0,Defensive rebound by G. Monroe,,82-82,,
8:53.0,T. Rozier makes 3-pt shot from 25 ft,3,85-82,,
8:42.0,,,85-82,,Sacramento full timeout
8:42.0,J. Bird enters the game for A. Nader,,85-82,,
8:27.0,,,85-82,,Offensive charge foul by B. Hield (drawn by T. Rozier)
8:27.0,,,85-82,,Turnover by B. Hield (offensive foul)
8:01.0,T. Rozier misses 3-pt shot from 25 ft,,85-82,,
7:59.0,,,85-82,,Defensive rebound by K. Koufos
7:54.0,Personal foul by S. Ojeleye (drawn by V. Carter),,85-82,,
7:54.0,J. Brown enters the game for S. Larkin,,85-82,,
7:43.0,,,85-82,,B. Hield misses 3-pt shot from 21 ft
7:41.0,Defensive rebound by G. Monroe,,85-82,,
7:25.0,Turnover by T. Rozier (bad pass; steal by B. Hield),,85-82,,
7:23.0,,,85-82,,Turnover by B. Hield (lost ball; steal by T. Rozier)
7:07.0,T. Rozier makes 2-pt shot from 2 ft,2,87-82,,
7:07.0,Shooting foul by F. Mason (drawn by T. Rozier),,87-82,,
7:07.0,,,87-82,,S. Labissiere enters the game for V. Carter
7:07.0,A. Horford enters the game for S. Ojeleye,,87-82,,
7:07.0,T. Rozier makes free throw 1 of 1,1,88-82,,
6:55.0,,,88-84,2,F. Mason makes 2-pt shot from 9 ft
6:34.0,G. Monroe misses 2-pt shot from 2 ft,,88-84,,
6:30.0,,,88-84,,Defensive rebound by F. Mason
6:27.0,,,88-86,2,F. Mason makes 2-pt shot from 2 ft
6:27.0,Boston full timeout,,88-86,,
6:27.0,A. Baynes enters the game for G. Monroe,,88-86,,
6:08.0,J. Brown makes 2-pt shot from 11 ft,2,90-86,,
5:49.0,,,90-86,,Turnover by F. Mason (bad pass; steal by J. Brown)
5:46.0,J. Brown makes 2-pt shot from 2 ft,2,92-86,,
5:23.0,,,92-86,,S. Labissiere misses 3-pt shot from 24 ft
5:20.0,Defensive rebound by A. Baynes,,92-86,,
5:02.0,A. Horford misses 2-pt shot from 2 ft,,92-86,,
4:58.0,,,92-86,,Defensive rebound by F. Mason
4:50.0,,,92-86,,S. Labissiere misses 2-pt shot from 14 ft
4:46.0,Defensive rebound by A. Baynes,,92-86,,
4:26.0,T. Rozier makes 2-pt shot from 13 ft,2,94-86,,
4:06.0,,,94-86,,B. Hield misses 3-pt shot from 24 ft
4:04.0,Defensive rebound by J. Brown,,94-86,,
3:48.0,A. Horford makes 3-pt shot from 25 ft,3,97-86,,
3:47.0,,,97-86,,Sacramento full timeout
3:47.0,,,97-86,,W. Cauley-Stein enters the game for F. Mason
3:47.0,,,97-86,,D. Fox enters the game for K. Koufos
3:40.0,,,97-86,,Shooting foul by A. Baynes (drawn by S. Labissiere)
3:40.0,,,97-87,1,S. Labissiere makes free throw 1 of 2
3:40.0,,,97-88,1,S. Labissiere makes free throw 2 of 2
3:18.0,A. Baynes makes 2-pt shot from 11 ft (assist by A. Horford),2,99-88,,
3:04.0,,,99-88,,S. Labissiere misses 2-pt shot from 6 ft
3:01.0,Defensive rebound by J. Brown,,99-88,,
2:40.0,A. Horford misses 2-pt shot from 11 ft,,99-88,,
2:37.0,,,99-88,,Defensive rebound by B. Hield
2:22.0,,,99-88,,B. Hield misses 3-pt shot from 24 ft
2:18.0,,,99-88,,Offensive rebound by S. Labissiere
2:16.0,,,99-88,,B. Bogdanovic misses 3-pt shot from 25 ft
2:13.0,,,99-88,,Offensive rebound by B. Hield
2:10.0,,,99-91,3,B. Hield makes 3-pt shot from 22 ft
1:52.0,,,99-91,,Personal foul by B. Bogdanovic (drawn by J. Brown)
1:52.0,J. Brown makes free throw 1 of 2,1,100-91,,
1:52.0,S. Ojeleye enters the game for A. Baynes,,100-91,,
1:52.0,J. Brown makes free throw 2 of 2,1,101-91,,
1:44.0,,,101-91,,D. Fox misses 2-pt shot from 15 ft
1:41.0,Defensive rebound by T. Rozier,,101-91,,
1:25.0,S. Ojeleye makes 3-pt shot from 24 ft (assist by A. Horford),3,104-91,,
1:18.0,,,104-91,,B. Hield misses 2-pt shot from 15 ft
1:16.0,,,104-91,,Offensive rebound by W. Cauley-Stein
1:15.0,,,104-91,,Turnover by W. Cauley-Stein (bad pass)
0:50.0,J. Brown misses 2-pt shot from 16 ft,,104-91,,
0:47.0,Offensive rebound by J. Bird,,104-91,,
0:45.0,J. Brown misses 3-pt shot from 25 ft,,104-91,,
0:45.0,Offensive rebound by S. Ojeleye,,104-91,,
0:39.0,S. Ojeleye misses 2-pt shot at rim,,104-91,,
0:38.0,,,104-91,,Defensive rebound by B. Hield
0:36.0,,,104-91,,Turnover by B. Hield (bad pass; steal by T. Rozier)
0:15.0,J. Brown misses 3-pt shot from 26 ft,,104-91,,
0:15.0,Offensive rebound by Team,,104-91,,
0:15.0,Turnover by Team (shot clock),,104-91,,
0:15.0,K. Allen enters the game for T. Rozier,,104-91,,
0:07.0,,,104-93,2,B. Hield makes 2-pt shot from 2 ft
