time,Sacramento,pts.away,score,pts.home,San Antonio
8:05.0,,,38-26,,Offensive rebound by Team
8:05.0,,,38-26,,L. Aldridge enters the game for P. Gasol
8:05.0,J. Sampson enters the game for V. Carter,,38-26,,
8:05.0,,,38-27,1,D. Green makes free throw 2 of 2
7:47.0,J. Sampson misses 3-pt shot from 23 ft,,38-27,,
7:44.0,,,38-27,,Defensive rebound by D. Murray
7:41.0,,,38-27,,D. Green misses 2-pt shot from 1 ft (block by B. Hield)
7:41.0,,,38-27,,Offensive rebound by Team
7:28.0,,,38-27,,D. Green misses 3-pt shot from 22 ft
7:28.0,Defensive rebound by B. Hield,,38-27,,
7:18.0,B. Hield misses 2-pt shot from 9 ft,,38-27,,
7:18.0,,,38-27,,Defensive rebound by D. Murray
7:10.0,,,38-29,2,D. Murray makes 2-pt shot at rim
6:59.0,D. Fox misses 2-pt shot from 3 ft (block by L. Aldridge),,38-29,,
6:58.0,Offensive rebound by D. Fox,,38-29,,
6:57.0,Turnover by D. Fox (traveling),,38-29,,
6:52.0,Personal foul by W. Cauley-Stein (drawn by L. Aldridge),,38-29,,
6:52.0,,,38-29,,K. Anderson enters the game for D. Green
6:43.0,,,38-29,,L. Aldridge misses 2-pt shot from 13 ft
6:43.0,Defensive rebound by D. Fox,,38-29,,
6:34.0,B. Hield makes 3-pt shot from 25 ft (assist by D. Fox),3,41-29,,
6:16.0,,,41-29,,Turnover by D. Murray (bad pass; steal by B. Hield)
6:11.0,D. Fox misses 2-pt shot from 13 ft,,41-29,,
6:06.0,Offensive rebound by J. Sampson,,41-29,,
6:06.0,J. Sampson misses 2-pt shot at rim,,41-29,,
6:05.0,,,41-29,,Defensive rebound by K. Anderson
5:46.0,,,41-31,2,L. Aldridge makes 2-pt shot from 12 ft
5:35.0,Sacramento full timeout,,41-31,,
5:35.0,,,41-31,,M. Ginobili enters the game for D. Bertans
5:26.0,Turnover by D. Fox (bad pass; steal by K. Anderson),,41-31,,
5:15.0,,,41-34,3,P. Mills makes 3-pt shot from 23 ft (assist by K. Anderson)
4:50.0,B. Hield makes 2-pt shot from 19 ft,2,43-34,,
4:37.0,,,43-34,,T. Parker enters the game for D. Murray
4:37.0,V. Carter enters the game for B. Hield,,43-34,,
4:25.0,,,43-34,,L. Aldridge misses 2-pt shot from 13 ft
4:22.0,Defensive rebound by V. Carter,,43-34,,
4:12.0,D. Fox makes 2-pt shot from 16 ft (assist by V. Carter),2,45-34,,
3:56.0,,,45-36,2,K. Anderson makes 2-pt shot at rim (assist by M. Ginobili)
3:56.0,,,45-36,,Shooting foul by J. Sampson (drawn by K. Anderson)
3:56.0,N. Hayes enters the game for J. Sampson,,45-36,,
3:56.0,,,45-36,,K. Anderson misses free throw 1 of 1
3:56.0,Defensive rebound by N. Hayes,,45-36,,
3:43.0,Turnover by D. Fox (lost ball; steal by M. Ginobili),,45-36,,
3:37.0,,,45-36,,P. Mills misses 3-pt shot from 25 ft
3:35.0,Defensive rebound by V. Carter,,45-36,,
3:22.0,D. Fox misses 3-pt shot from 25 ft,,45-36,,
3:19.0,,,45-36,,Defensive rebound by K. Anderson
2:58.0,,,45-36,,L. Aldridge misses 2-pt shot from 1 ft
2:58.0,Defensive rebound by V. Carter,,45-36,,
2:58.0,,,45-36,,Personal foul by M. Ginobili (drawn by V. Carter)
2:44.0,W. Cauley-Stein makes 2-pt shot from 12 ft (assist by D. Fox),2,47-36,,
2:29.0,,,47-39,3,M. Ginobili makes 3-pt shot from 24 ft (assist by T. Parker)
2:11.0,D. Fox misses 2-pt shot from 19 ft,,47-39,,
2:08.0,,,47-39,,Defensive rebound by K. Anderson
1:51.0,,,47-39,,M. Ginobili misses 2-pt shot from 1 ft (block by W. Cauley-Stein)
1:44.0,,,47-39,,Offensive rebound by L. Aldridge
1:44.0,,,47-41,2,L. Aldridge makes 2-pt shot at rim
1:32.0,W. Cauley-Stein misses 2-pt shot from 15 ft,,47-41,,
1:29.0,,,47-41,,Defensive rebound by L. Aldridge
1:17.0,,,47-41,,T. Parker misses 2-pt shot from 13 ft
1:15.0,Defensive rebound by N. Hayes,,47-41,,
0:55.0,W. Cauley-Stein makes 2-pt shot from 18 ft,2,49-41,,
0:32.0,,,49-41,,L. Aldridge misses 2-pt shot from 21 ft
0:30.0,,,49-41,,Offensive rebound by P. Mills
0:30.0,,,49-43,2,P. Mills makes 2-pt shot at rim
0:30.0,Violation by W. Cauley-Stein (def goaltending),,49-43,,
0:12.0,W. Cauley-Stein misses 2-pt shot from 19 ft,,49-43,,
0:07.0,Offensive rebound by N. Hayes,,49-43,,
0:02.0,Shooting foul by K. Anderson (drawn by W. Cauley-Stein),,49-43,,
0:02.0,W. Cauley-Stein makes free throw 1 of 2,1,50-43,,
0:02.0,W. Cauley-Stein misses free throw 2 of 2,,50-43,,
0:01.0,,,50-43,,Defensive rebound by M. Ginobili
0:00.0,,,50-43,,Turnover by M. Ginobili (lost ball; steal by N. Hayes)
0:00.0,N. Hayes misses 2-pt shot from 18 ft,,50-43,,
0:00.0,Offensive rebound by Team,,50-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,50-43,,P. Mills misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by W. Cauley-Stein,,50-43,,
11:26.0,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by D. Fox),2,52-43,,
11:09.0,,,52-43,,D. Murray misses 2-pt shot from 18 ft
11:07.0,Defensive rebound by W. Cauley-Stein,,52-43,,
10:55.0,D. Fox misses 2-pt shot from 10 ft,,52-43,,
10:52.0,Offensive rebound by D. Fox,,52-43,,
10:50.0,J. Jackson misses 3-pt shot from 23 ft,,52-43,,
10:46.0,,,52-43,,Defensive rebound by L. Aldridge
10:33.0,,,52-43,,L. Aldridge misses 2-pt shot from 9 ft
10:31.0,,,52-43,,Offensive rebound by D. Murray
10:24.0,,,52-43,,D. Murray misses 2-pt shot from 8 ft
10:22.0,Defensive rebound by J. Jackson,,52-43,,
10:18.0,Shooting foul by P. Mills (drawn by D. Fox),,52-43,,
10:18.0,D. Fox makes free throw 1 of 2,1,53-43,,
10:18.0,,,53-43,,T. Parker enters the game for D. Murray
10:18.0,D. Fox makes free throw 2 of 2,1,54-43,,
9:56.0,,,54-46,3,P. Mills makes 3-pt shot from 25 ft
9:32.0,Offensive foul by J. Sampson (drawn by T. Parker),,54-46,,
9:32.0,Turnover by J. Sampson (offensive foul),,54-46,,
9:19.0,,,54-46,,D. Green misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by J. Sampson,,54-46,,
9:03.0,Turnover by W. Cauley-Stein (traveling),,54-46,,
8:53.0,,,54-46,,P. Mills misses 2-pt shot from 20 ft
8:50.0,Defensive rebound by J. Sampson,,54-46,,
8:43.0,D. Fox makes 2-pt shot from 12 ft,2,56-46,,
8:24.0,,,56-48,2,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Parker)
8:05.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,56-48,,
8:03.0,,,56-48,,Defensive rebound by L. Aldridge
7:58.0,,,56-48,,P. Mills misses 3-pt shot from 22 ft
7:58.0,Defensive rebound by J. Sampson,,56-48,,
7:39.0,B. Bogdanovic makes 2-pt shot from 8 ft,2,58-48,,
7:24.0,,,58-48,,K. Anderson misses 3-pt shot from 25 ft
7:21.0,,,58-48,,Offensive rebound by L. Aldridge
7:19.0,,,58-48,,L. Aldridge misses 2-pt shot from 11 ft
7:18.0,,,58-48,,Offensive rebound by Team
7:18.0,N. Hayes enters the game for J. Sampson,,58-48,,
7:03.0,,,58-48,,L. Aldridge misses 2-pt shot from 7 ft
7:00.0,Defensive rebound by N. Hayes,,58-48,,
6:40.0,W. Cauley-Stein makes 2-pt shot from 18 ft (assist by B. Bogdanovic),2,60-48,,
6:38.0,,,60-48,,San Antonio full timeout
6:38.0,,,60-48,,M. Ginobili enters the game for K. Anderson
6:38.0,,,60-48,,R. Gay enters the game for P. Mills
6:38.0,,,60-48,,B. Forbes enters the game for D. Green
6:38.0,B. Hield enters the game for B. Bogdanovic,,60-48,,
6:18.0,,,60-48,,L. Aldridge misses 2-pt shot from 13 ft
6:16.0,Defensive rebound by W. Cauley-Stein,,60-48,,
6:05.0,W. Cauley-Stein makes 2-pt shot from 17 ft (assist by B. Hield),2,62-48,,
5:45.0,,,62-48,,M. Ginobili misses 2-pt shot from 12 ft
5:42.0,Defensive rebound by N. Hayes,,62-48,,
5:28.0,N. Hayes misses 2-pt shot from 17 ft,,62-48,,
5:25.0,,,62-48,,Defensive rebound by L. Aldridge
5:14.0,,,62-48,,R. Gay misses 2-pt shot from 8 ft
5:09.0,,,62-48,,Offensive rebound by L. Aldridge
5:09.0,,,62-48,,L. Aldridge misses 2-pt shot at rim
5:08.0,Defensive rebound by W. Cauley-Stein,,62-48,,
4:53.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,62-48,,
4:50.0,,,62-48,,Defensive rebound by L. Aldridge
4:48.0,,,62-48,,R. Gay misses 3-pt shot from 25 ft
4:45.0,,,62-48,,Offensive rebound by Team
4:45.0,,,62-48,,P. Gasol enters the game for L. Aldridge
4:45.0,J. Cooley enters the game for W. Cauley-Stein,,62-48,,
4:33.0,,,62-50,2,R. Gay makes 2-pt shot from 10 ft (assist by T. Parker)
4:21.0,Turnover by J. Cooley (offensive goaltending),,62-50,,
4:01.0,,,62-52,2,R. Gay makes 2-pt shot from 10 ft
4:00.0,Sacramento full timeout,,62-52,,
4:00.0,V. Carter enters the game for J. Jackson,,62-52,,
3:44.0,Shooting foul by B. Forbes (drawn by J. Cooley),,62-52,,
3:44.0,J. Cooley makes free throw 1 of 2,1,63-52,,
3:44.0,J. Cooley misses free throw 2 of 2,,63-52,,
3:42.0,,,63-52,,Defensive rebound by M. Ginobili
3:33.0,Shooting block foul by J. Cooley (drawn by M. Ginobili),,63-52,,
3:33.0,,,63-53,1,M. Ginobili makes free throw 1 of 2
3:33.0,,,63-53,,P. Mills enters the game for T. Parker
3:33.0,,,63-54,1,M. Ginobili makes free throw 2 of 2
3:14.0,B. Bogdanovic enters the game for D. Fox,,63-54,,
3:09.0,N. Hayes misses 2-pt shot from 17 ft,,63-54,,
3:06.0,,,63-54,,Defensive rebound by M. Ginobili
2:55.0,,,63-56,2,B. Forbes makes 2-pt shot from 19 ft (assist by P. Gasol)
2:29.0,B. Hield makes 2-pt shot from 16 ft,2,65-56,,
2:14.0,,,65-56,,M. Ginobili misses 3-pt shot from 25 ft
2:10.0,Defensive rebound by N. Hayes,,65-56,,
1:52.0,B. Hield misses 2-pt shot at rim,,65-56,,
1:48.0,Offensive rebound by B. Hield,,65-56,,
1:35.0,,,65-56,,Personal foul by B. Forbes (drawn by V. Carter)
1:22.0,B. Hield misses 2-pt shot from 12 ft,,65-56,,
1:21.0,Offensive rebound by Team,,65-56,,
1:21.0,,,65-56,,Loose ball foul by R. Gay (drawn by J. Cooley)
1:21.0,J. Cooley misses free throw 1 of 2,,65-56,,
1:21.0,Offensive rebound by Team,,65-56,,
1:21.0,J. Cooley makes free throw 2 of 2,1,66-56,,
1:06.0,,,66-56,,R. Gay misses 2-pt shot from 7 ft
1:04.0,Defensive rebound by N. Hayes,,66-56,,
0:51.0,B. Bogdanovic misses 2-pt shot from 19 ft,,66-56,,
0:48.0,,,66-56,,Defensive rebound by B. Forbes
0:39.0,,,66-56,,Shooting foul by J. Cooley (drawn by R. Gay)
0:39.0,,,66-57,1,R. Gay makes free throw 1 of 2
0:39.0,,,66-58,1,R. Gay makes free throw 2 of 2
0:25.0,V. Carter misses 3-pt shot from 25 ft,,66-58,,
0:20.0,,,66-58,,Defensive rebound by P. Mills
0:01.0,,,66-60,2,R. Gay makes 2-pt shot from 19 ft
0:00.0,B. Hield misses 3-pt shot from 39 ft,,66-60,,
0:00.0,Offensive rebound by Team,,66-60,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Shooting foul by P. Gasol (drawn by W. Cauley-Stein),,66-60,,
11:49.0,W. Cauley-Stein misses free throw 1 of 2,,66-60,,
11:49.0,Offensive rebound by Team,,66-60,,
11:49.0,W. Cauley-Stein makes free throw 2 of 2,1,67-60,,
11:38.0,,,67-60,,Shooting foul by N. Hayes (drawn by R. Gay)
11:38.0,,,67-61,1,R. Gay makes free throw 1 of 2
11:38.0,,,67-62,1,R. Gay makes free throw 2 of 2
11:25.0,D. Fox misses 2-pt shot from 6 ft,,67-62,,
11:25.0,,,67-62,,Defensive rebound by Team
11:25.0,Loose ball foul by W. Cauley-Stein (drawn by P. Gasol),,67-62,,
11:14.0,,,67-62,,P. Mills misses 3-pt shot from 25 ft
11:10.0,,,67-62,,Offensive rebound by R. Gay
11:07.0,Shooting block foul by W. Cauley-Stein (drawn by K. Anderson),,67-62,,
11:07.0,,,67-63,1,K. Anderson makes free throw 1 of 2
11:07.0,J. Jackson enters the game for N. Hayes,,67-63,,
11:07.0,,,67-64,1,K. Anderson makes free throw 2 of 2
10:54.0,B. Bogdanovic misses 2-pt shot from 9 ft,,67-64,,
10:52.0,Offensive rebound by B. Bogdanovic,,67-64,,
10:50.0,B. Bogdanovic misses 2-pt shot from 20 ft,,67-64,,
10:47.0,,,67-64,,Defensive rebound by P. Gasol
10:38.0,,,67-66,2,B. Forbes makes 2-pt shot from 17 ft (assist by P. Gasol)
10:38.0,Sacramento full timeout,,67-66,,
10:21.0,Turnover by B. Hield (lost ball; steal by K. Anderson),,67-66,,
10:18.0,,,67-68,2,B. Forbes makes 2-pt shot from 1 ft (assist by K. Anderson)
10:05.0,B. Hield makes 3-pt shot from 25 ft,3,70-68,,
9:50.0,Personal foul by D. Fox (drawn by P. Mills),,70-68,,
9:50.0,J. Sampson enters the game for B. Bogdanovic,,70-68,,
9:39.0,,,70-68,,P. Mills misses 3-pt shot from 24 ft
9:39.0,Defensive rebound by W. Cauley-Stein,,70-68,,
9:22.0,Turnover by B. Hield (bad pass; steal by R. Gay),,70-68,,
9:20.0,,,70-68,,Shooting foul by J. Sampson (drawn by R. Gay)
9:20.0,,,70-68,,R. Gay misses free throw 1 of 2
9:20.0,,,70-68,,Offensive rebound by Team
9:20.0,,,70-69,1,R. Gay makes free throw 2 of 2
8:59.0,J. Sampson makes 2-pt shot from 1 ft (assist by D. Fox),2,72-69,,
8:48.0,Personal foul by J. Jackson (drawn by K. Anderson),,72-69,,
8:48.0,,,72-70,1,K. Anderson makes free throw 1 of 2
8:48.0,,,72-70,,M. Ginobili enters the game for P. Gasol
8:48.0,,,72-70,,L. Aldridge enters the game for R. Gay
8:48.0,,,72-71,1,K. Anderson makes free throw 2 of 2
8:31.0,J. Sampson makes 2-pt shot from 7 ft,2,74-71,,
8:08.0,,,74-73,2,L. Aldridge makes 2-pt shot from 11 ft
7:52.0,B. Hield misses 3-pt shot from 24 ft,,74-73,,
7:48.0,,,74-73,,Defensive rebound by M. Ginobili
7:40.0,,,74-73,,Shooting foul by W. Cauley-Stein (drawn by L. Aldridge)
7:40.0,,,74-74,1,L. Aldridge makes free throw 1 of 2
7:40.0,,,74-75,1,L. Aldridge makes free throw 2 of 2
7:24.0,Shooting foul by L. Aldridge (drawn by W. Cauley-Stein),,74-75,,
7:24.0,W. Cauley-Stein misses free throw 1 of 2,,74-75,,
7:24.0,Offensive rebound by Team,,74-75,,
7:24.0,W. Cauley-Stein makes free throw 2 of 2,1,75-75,,
7:09.0,,,75-75,,Turnover by P. Mills (bad pass)
6:59.0,D. Fox misses 2-pt shot from 19 ft,,75-75,,
6:55.0,,,75-75,,Defensive rebound by L. Aldridge
6:46.0,,,75-75,,K. Anderson misses 2-pt shot from 20 ft
6:42.0,Defensive rebound by W. Cauley-Stein,,75-75,,
6:40.0,,,75-75,,Personal block foul by M. Ginobili (drawn by W. Cauley-Stein)
6:32.0,B. Hield makes 2-pt shot at rim,2,77-75,,
6:31.0,,,77-75,,San Antonio full timeout
6:31.0,,,77-75,,D. Murray enters the game for P. Mills
6:22.0,Personal foul by J. Jackson (drawn by M. Ginobili),,77-75,,
6:22.0,,,77-76,1,M. Ginobili makes free throw 1 of 2
6:22.0,,,77-77,1,M. Ginobili makes free throw 2 of 2
6:00.0,B. Hield misses 2-pt shot from 2 ft (block by L. Aldridge),,77-77,,
5:57.0,,,77-77,,Defensive rebound by L. Aldridge
5:53.0,,,77-80,3,B. Forbes makes 3-pt shot from 22 ft (assist by M. Ginobili)
5:34.0,D. Fox misses 2-pt shot from 19 ft,,77-80,,
5:32.0,,,77-80,,Defensive rebound by M. Ginobili
5:23.0,,,77-82,2,M. Ginobili makes 2-pt shot at rim (assist by L. Aldridge)
5:23.0,Sacramento full timeout,,77-82,,
5:23.0,,,77-82,,P. Mills enters the game for K. Anderson
5:23.0,,,77-82,,R. Gay enters the game for D. Murray
5:23.0,B. Bogdanovic enters the game for J. Jackson,,77-82,,
5:13.0,Shooting foul by M. Ginobili (drawn by D. Fox),,77-82,,
5:13.0,D. Fox makes free throw 1 of 2,1,78-82,,
5:13.0,D. Fox makes free throw 2 of 2,1,79-82,,
4:59.0,,,79-82,,B. Forbes misses 3-pt shot from 23 ft
4:52.0,,,79-82,,Offensive rebound by R. Gay
4:52.0,,,79-84,2,R. Gay makes 2-pt shot at rim
4:39.0,W. Cauley-Stein makes 2-pt shot from 1 ft,2,81-84,,
4:18.0,,,81-86,2,M. Ginobili makes 2-pt shot at rim
3:58.0,W. Cauley-Stein makes 2-pt shot from 18 ft (assist by D. Fox),2,83-86,,
3:42.0,,,83-86,,M. Ginobili misses 3-pt shot from 25 ft
3:39.0,Defensive rebound by J. Sampson,,83-86,,
3:29.0,B. Hield misses 3-pt shot from 25 ft,,83-86,,
