time,Toronto,pts.away,score,pts.home,Oklahoma City
7:01.0,,,48-40,,C. Anthony enters the game for R. Felton
7:01.0,,,48-40,,P. George enters the game for P. Patterson
7:01.0,D. DeRozan enters the game for D. Wright,,48-40,,
7:01.0,,,48-41,1,S. Adams makes free throw 2 of 2
6:46.0,Turnover by K. Lowry (bad pass; steal by S. Adams),,48-41,,
6:44.0,,,48-41,,Shooting foul by O. Anunoby (drawn by R. Westbrook)
6:44.0,,,48-42,1,R. Westbrook makes free throw 1 of 2
6:44.0,,,48-43,1,R. Westbrook makes free throw 2 of 2
6:22.0,O. Anunoby misses 3-pt shot from 24 ft,,48-43,,
6:21.0,,,48-43,,Defensive rebound by Team
6:11.0,,,48-43,,C. Anthony misses 3-pt shot from 25 ft
6:06.0,,,48-43,,Offensive rebound by P. George
6:01.0,,,48-43,,R. Westbrook misses 3-pt shot from 23 ft
5:59.0,,,48-43,,Offensive rebound by S. Adams
5:55.0,,,48-45,2,P. George makes 2-pt shot at rim (assist by S. Adams)
5:55.0,,,48-45,,Shooting foul by S. Ibaka (drawn by P. George)
5:55.0,,,48-45,,P. Patterson enters the game for S. Adams
5:55.0,,,48-45,,P. George misses free throw 1 of 1
5:53.0,Defensive rebound by J. Valanciunas,,48-45,,
5:49.0,Toronto full timeout,,48-45,,
5:41.0,J. Valanciunas makes 2-pt shot from 8 ft (assist by K. Lowry),2,50-45,,
5:23.0,,,50-48,3,P. George makes 3-pt shot from 26 ft (assist by C. Anthony)
5:11.0,Turnover by O. Anunoby (lost ball; steal by P. George),,50-48,,
5:06.0,,,50-48,,P. Patterson misses 3-pt shot from 22 ft
5:05.0,,,50-48,,Offensive rebound by R. Westbrook
5:04.0,,,50-50,2,R. Westbrook makes 2-pt shot at rim
4:41.0,S. Ibaka misses 2-pt shot from 14 ft,,50-50,,
4:41.0,,,50-50,,Defensive rebound by R. Westbrook
4:34.0,,,50-50,,P. Patterson misses 3-pt shot from 24 ft
4:34.0,Defensive rebound by K. Lowry,,50-50,,
4:15.0,Shooting foul by P. Patterson (drawn by D. DeRozan),,50-50,,
4:15.0,D. DeRozan makes free throw 1 of 2,1,51-50,,
4:15.0,C. Miles enters the game for O. Anunoby,,51-50,,
4:15.0,D. DeRozan makes free throw 2 of 2,1,52-50,,
3:59.0,,,52-52,2,C. Anthony makes 2-pt shot from 8 ft (assist by R. Westbrook)
3:42.0,J. Valanciunas makes 2-pt shot at rim (assist by S. Ibaka),2,54-52,,
3:32.0,,,54-52,,Shooting foul by C. Miles (drawn by R. Westbrook)
3:32.0,,,54-53,1,R. Westbrook makes free throw 1 of 2
3:32.0,,,54-54,1,R. Westbrook makes free throw 2 of 2
3:18.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,56-54,,
3:02.0,,,56-54,,Shooting foul by J. Valanciunas (drawn by R. Westbrook)
3:02.0,,,56-55,1,R. Westbrook makes free throw 1 of 2
3:02.0,F. VanVleet enters the game for J. Valanciunas,,56-55,,
3:02.0,,,56-55,,J. Grant enters the game for P. Patterson
3:02.0,,,56-56,1,R. Westbrook makes free throw 2 of 2
2:41.0,K. Lowry misses 3-pt shot from 27 ft,,56-56,,
2:38.0,Offensive rebound by K. Lowry,,56-56,,
2:36.0,K. Lowry misses 3-pt shot from 25 ft,,56-56,,
2:32.0,,,56-56,,Defensive rebound by P. George
2:25.0,,,56-56,,Turnover by R. Westbrook (bad pass; steal by K. Lowry)
2:20.0,Offensive charge foul by D. DeRozan (drawn by A. Roberson),,56-56,,
2:20.0,Turnover by D. DeRozan (offensive foul),,56-56,,
2:07.0,,,56-56,,R. Westbrook misses 2-pt shot from 1 ft
2:05.0,,,56-56,,Offensive rebound by A. Roberson
2:01.0,Personal foul by F. VanVleet (drawn by R. Westbrook),,56-56,,
2:01.0,,,56-56,,R. Westbrook misses free throw 1 of 2
2:01.0,,,56-56,,Offensive rebound by Team
2:01.0,,,56-57,1,R. Westbrook makes free throw 2 of 2
1:47.0,D. DeRozan misses 2-pt shot from 14 ft (block by A. Roberson),,56-57,,
1:45.0,Offensive rebound by K. Lowry,,56-57,,
1:44.0,K. Lowry misses 3-pt shot from 26 ft,,56-57,,
1:44.0,,,56-57,,Defensive rebound by C. Anthony
1:34.0,,,56-57,,C. Anthony misses 2-pt shot from 14 ft
1:34.0,,,56-57,,Offensive rebound by A. Roberson
1:30.0,,,56-60,3,P. George makes 3-pt shot from 24 ft (assist by J. Grant)
1:08.0,S. Ibaka misses 2-pt shot from 12 ft,,56-60,,
1:06.0,,,56-60,,Defensive rebound by A. Roberson
0:51.0,,,56-62,2,R. Westbrook makes 2-pt shot from 15 ft (assist by C. Anthony)
0:51.0,,,56-62,,Shooting foul by F. VanVleet (drawn by R. Westbrook)
0:51.0,,,56-63,1,R. Westbrook makes free throw 1 of 1
0:34.0,C. Miles makes 3-pt shot from 24 ft (assist by D. DeRozan),3,59-63,,
0:30.0,Personal take foul by C. Miles (drawn by A. Roberson),,59-63,,
0:30.0,,,59-63,,A. Roberson misses free throw 1 of 2
0:30.0,,,59-63,,Offensive rebound by Team
0:30.0,J. Poeltl enters the game for F. VanVleet,,59-63,,
0:30.0,,,59-64,1,A. Roberson makes free throw 2 of 2
0:27.0,,,59-64,,Personal foul by J. Grant (drawn by K. Lowry)
0:27.0,K. Lowry makes free throw 1 of 2,1,60-64,,
0:27.0,,,60-64,,A. Abrines enters the game for A. Roberson
0:27.0,K. Lowry makes free throw 2 of 2,1,61-64,,
0:08.0,,,61-64,,C. Anthony misses 3-pt shot from 24 ft
0:04.0,Defensive rebound by K. Lowry,,61-64,,
0:02.0,S. Ibaka makes 2-pt shot from 1 ft (assist by K. Lowry),2,63-64,,
0:00.0,,,63-64,,Shooting foul by K. Lowry (drawn by J. Grant)
0:00.0,,,63-65,1,J. Grant makes free throw 1 of 3
0:00.0,,,63-66,1,J. Grant makes free throw 2 of 3
0:00.0,,,63-66,,A. Roberson enters the game for A. Abrines
0:00.0,,,63-66,,J. Grant misses free throw 3 of 3
0:00.0,Defensive rebound by J. Poeltl,,63-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,D. DeRozan misses 3-pt shot from 24 ft,,63-66,,
11:34.0,,,63-66,,Defensive rebound by Team
11:27.0,Personal foul by O. Anunoby (drawn by C. Anthony),,63-66,,
11:17.0,,,63-66,,Shooting foul by S. Ibaka (drawn by C. Anthony)
11:17.0,,,63-67,1,C. Anthony makes free throw 1 of 2
11:17.0,,,63-68,1,C. Anthony makes free throw 2 of 2
11:02.0,,,63-68,,Personal foul by S. Adams (drawn by D. DeRozan)
10:53.0,D. DeRozan misses 2-pt shot from 11 ft,,63-68,,
10:51.0,,,63-68,,Defensive rebound by C. Anthony
10:43.0,,,63-68,,P. George misses 2-pt shot from 4 ft (block by J. Valanciunas)
10:40.0,Defensive rebound by D. DeRozan,,63-68,,
10:37.0,D. DeRozan misses 2-pt shot from 1 ft,,63-68,,
10:36.0,,,63-68,,Defensive rebound by S. Adams
10:30.0,,,63-70,2,R. Westbrook makes 2-pt shot from 11 ft (assist by P. George)
10:18.0,Turnover by J. Valanciunas (bad pass; steal by S. Adams),,63-70,,
10:14.0,,,63-73,3,P. George makes 3-pt shot from 25 ft (assist by C. Anthony)
10:12.0,Toronto full timeout,,63-73,,
9:53.0,Shooting foul by C. Anthony (drawn by J. Valanciunas),,63-73,,
9:53.0,J. Valanciunas makes free throw 1 of 2,1,64-73,,
9:53.0,J. Valanciunas makes free throw 2 of 2,1,65-73,,
9:41.0,,,65-75,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
9:15.0,D. DeRozan misses 3-pt shot from 25 ft,,65-75,,
9:13.0,,,65-75,,Defensive rebound by A. Roberson
8:59.0,,,65-77,2,S. Adams makes 2-pt shot from 8 ft (assist by R. Westbrook)
8:39.0,D. DeRozan misses 3-pt shot from 23 ft,,65-77,,
8:37.0,,,65-77,,Defensive rebound by R. Westbrook
8:31.0,,,65-79,2,R. Westbrook makes 2-pt shot from 2 ft
8:18.0,K. Lowry makes 2-pt shot from 2 ft,2,67-79,,
7:55.0,,,67-79,,R. Westbrook misses 2-pt shot from 13 ft
7:52.0,Defensive rebound by D. DeRozan,,67-79,,
7:47.0,,,67-79,,Personal block foul by R. Westbrook (drawn by S. Ibaka)
7:47.0,J. Poeltl enters the game for O. Anunoby,,67-79,,
7:47.0,C. Miles enters the game for J. Valanciunas,,67-79,,
7:47.0,,,67-79,,J. Grant enters the game for S. Adams
7:41.0,S. Ibaka misses 3-pt shot from 25 ft,,67-79,,
7:38.0,,,67-79,,Defensive rebound by P. George
7:28.0,,,67-79,,P. George misses 2-pt shot from 20 ft
7:25.0,Defensive rebound by D. DeRozan,,67-79,,
7:22.0,,,67-79,,Personal block foul by P. George (drawn by C. Miles)
7:16.0,D. DeRozan makes 2-pt shot from 1 ft,2,69-79,,
7:16.0,Shooting foul by A. Roberson (drawn by D. DeRozan),,69-79,,
7:16.0,D. DeRozan makes free throw 1 of 1,1,70-79,,
7:03.0,,,70-79,,C. Anthony misses 2-pt shot from 14 ft
7:01.0,Defensive rebound by D. DeRozan,,70-79,,
6:53.0,Shooting foul by P. George (drawn by K. Lowry),,70-79,,
6:53.0,K. Lowry makes free throw 1 of 3,1,71-79,,
6:53.0,K. Lowry makes free throw 2 of 3,1,72-79,,
6:53.0,K. Lowry makes free throw 3 of 3,1,73-79,,
6:43.0,,,73-82,3,P. George makes 3-pt shot from 23 ft (assist by R. Westbrook)
6:28.0,D. DeRozan misses 2-pt shot from 1 ft,,73-82,,
6:27.0,Offensive rebound by J. Poeltl,,73-82,,
6:26.0,J. Poeltl makes 2-pt shot at rim,2,75-82,,
6:10.0,,,75-84,2,C. Anthony makes 2-pt shot from 14 ft
5:55.0,C. Miles makes 3-pt shot from 24 ft,3,78-84,,
5:52.0,,,78-84,,Oklahoma City full timeout
5:52.0,,,78-84,,J. Huestis enters the game for P. George
5:41.0,,,78-84,,Shooting foul by S. Ibaka (drawn by J. Grant)
5:41.0,,,78-85,1,J. Grant makes free throw 1 of 2
5:41.0,,,78-86,1,J. Grant makes free throw 2 of 2
5:30.0,S. Ibaka misses 2-pt shot from 6 ft,,78-86,,
5:29.0,,,78-86,,Defensive rebound by Team
5:14.0,Personal foul by K. Lowry (drawn by C. Anthony),,78-86,,
5:14.0,P. Siakam enters the game for S. Ibaka,,78-86,,
5:07.0,,,78-86,,Turnover by R. Westbrook (bad pass; steal by D. DeRozan)
4:58.0,D. DeRozan misses 2-pt shot from 5 ft (block by J. Huestis),,78-86,,
4:54.0,,,78-86,,Defensive rebound by A. Roberson
4:48.0,,,78-89,3,J. Huestis makes 3-pt shot from 25 ft (assist by R. Westbrook)
4:32.0,Turnover by K. Lowry (bad pass; steal by C. Anthony),,78-89,,
4:28.0,,,78-89,,Turnover by R. Westbrook (lost ball; steal by C. Miles)
4:14.0,J. Poeltl makes 2-pt shot from 1 ft (assist by K. Lowry),2,80-89,,
4:09.0,Personal take foul by P. Siakam (drawn by A. Roberson),,80-89,,
4:09.0,,,80-89,,A. Roberson misses free throw 1 of 2
4:09.0,,,80-89,,Offensive rebound by Team
4:09.0,,,80-90,1,A. Roberson makes free throw 2 of 2
3:51.0,Turnover by C. Miles (lost ball; steal by A. Roberson),,80-90,,
3:48.0,,,80-90,,Shooting foul by P. Siakam (drawn by J. Huestis)
3:48.0,,,80-90,,J. Huestis misses free throw 1 of 2
3:48.0,,,80-90,,Offensive rebound by Team
3:48.0,,,80-91,1,J. Huestis makes free throw 2 of 2
3:38.0,K. Lowry misses 2-pt shot from 15 ft,,80-91,,
3:35.0,,,80-91,,Defensive rebound by C. Anthony
3:29.0,,,80-91,,R. Westbrook misses 2-pt shot from 19 ft
3:28.0,,,80-91,,Offensive rebound by A. Roberson
3:27.0,,,80-93,2,A. Roberson makes 2-pt shot at rim
3:16.0,Shooting foul by J. Huestis (drawn by P. Siakam),,80-93,,
3:16.0,P. Siakam makes free throw 1 of 2,1,81-93,,
3:16.0,F. VanVleet enters the game for D. DeRozan,,81-93,,
3:16.0,P. Siakam makes free throw 2 of 2,1,82-93,,
3:11.0,Personal take foul by C. Miles (drawn by A. Roberson),,82-93,,
3:11.0,,,82-93,,A. Roberson misses free throw 1 of 2
3:11.0,,,82-93,,Offensive rebound by Team
3:11.0,,,82-93,,A. Roberson misses free throw 2 of 2
3:09.0,Defensive rebound by J. Poeltl,,82-93,,
3:03.0,J. Poeltl misses 2-pt shot from 5 ft (block by J. Grant),,82-93,,
3:03.0,Offensive rebound by F. VanVleet,,82-93,,
2:59.0,C. Miles makes 3-pt shot from 22 ft (assist by F. VanVleet),3,85-93,,
2:58.0,,,85-93,,Oklahoma City full timeout
2:58.0,,,85-93,,P. George enters the game for A. Roberson
2:42.0,,,85-95,2,C. Anthony makes 2-pt shot from 10 ft
2:17.0,J. Poeltl misses 2-pt shot from 1 ft (block by J. Huestis),,85-95,,
2:14.0,,,85-95,,Defensive rebound by P. George
2:06.0,,,85-95,,J. Grant misses 2-pt shot from 2 ft
2:04.0,Defensive rebound by J. Poeltl,,85-95,,
2:04.0,,,85-95,,P. Patterson enters the game for C. Anthony
2:02.0,Jump ball: R. Westbrook vs. J. Poeltl (F. VanVleet gains possession),,,,Jump ball: R. Westbrook vs. J. Poeltl (F. VanVleet gains possession)
1:59.0,K. Lowry misses 3-pt shot from 25 ft,,85-95,,
1:54.0,,,85-95,,Defensive rebound by P. George
1:47.0,,,85-97,2,R. Westbrook makes 2-pt shot from 14 ft
1:35.0,J. Poeltl makes 2-pt shot from 1 ft (assist by F. VanVleet),2,87-97,,
1:35.0,Shooting foul by P. George (drawn by J. Poeltl),,87-97,,
1:35.0,,,87-97,,R. Felton enters the game for R. Westbrook
1:35.0,D. Wright enters the game for K. Lowry,,87-97,,
1:35.0,J. Poeltl misses free throw 1 of 1,,87-97,,
1:32.0,,,87-97,,Defensive rebound by J. Grant
1:12.0,,,87-97,,P. George misses 2-pt shot from 20 ft
1:08.0,Defensive rebound by C. Miles,,87-97,,
0:54.0,C. Miles misses 3-pt shot from 23 ft,,87-97,,
0:52.0,,,87-97,,Defensive rebound by J. Huestis
0:37.0,,,87-97,,R. Felton misses 3-pt shot from 26 ft
0:36.0,,,87-97,,Offensive rebound by J. Huestis
0:35.0,,,87-99,2,J. Huestis makes 2-pt shot from 1 ft
0:28.0,Shooting foul by J. Grant (drawn by J. Poeltl),,87-99,,
0:28.0,J. Poeltl misses free throw 1 of 2,,87-99,,
0:28.0,Offensive rebound by Team,,87-99,,
0:28.0,N. Powell enters the game for C. Miles,,87-99,,
0:28.0,J. Poeltl makes free throw 2 of 2,1,88-99,,
0:09.0,,,88-99,,P. George misses 3-pt shot from 25 ft
0:06.0,,,88-99,,Offensive rebound by P. Patterson
0:04.0,,,88-102,3,R. Felton makes 3-pt shot from 26 ft
0:00.0,N. Powell misses 2-pt shot from 7 ft,,88-102,,
0:00.0,Offensive rebound by Team,,88-102,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,88-102,,Offensive foul by J. Grant (drawn by F. VanVleet)
11:49.0,,,88-102,,Turnover by J. Grant (offensive foul)
11:29.0,D. DeRozan misses 2-pt shot at rim (block by J. Grant),,88-102,,
11:27.0,,,88-102,,Defensive rebound by J. Grant
11:14.0,,,88-102,,J. Huestis misses 3-pt shot from 23 ft
11:12.0,Defensive rebound by D. Wright,,88-102,,
11:03.0,N. Powell makes 2-pt shot from 6 ft (assist by D. Wright),2,90-102,,
10:38.0,,,90-104,2,P. George makes 2-pt shot from 12 ft
10:22.0,D. DeRozan misses 2-pt shot from 8 ft,,90-104,,
10:19.0,,,90-104,,Defensive rebound by J. Huestis
10:09.0,,,90-104,,J. Grant misses 2-pt shot from 4 ft (block by J. Poeltl)
10:06.0,Defensive rebound by D. DeRozan,,90-104,,
10:03.0,D. DeRozan misses 2-pt shot from 1 ft,,90-104,,
10:02.0,,,90-104,,Defensive rebound by R. Felton
9:56.0,,,90-106,2,R. Felton makes 2-pt shot from 1 ft
9:43.0,,,90-106,,Personal foul by P. George (drawn by D. DeRozan)
9:43.0,,,90-106,,A. Roberson enters the game for P. George
9:36.0,N. Powell misses 3-pt shot from 24 ft,,90-106,,
9:34.0,,,90-106,,Defensive rebound by J. Grant
9:13.0,,,90-108,2,J. Grant makes 2-pt shot from 1 ft (assist by R. Felton)
8:53.0,J. Poeltl makes 2-pt shot at rim (assist by N. Powell),2,92-108,,
8:37.0,,,92-108,,R. Felton misses 2-pt shot from 22 ft
8:33.0,Defensive rebound by J. Poeltl,,92-108,,
8:25.0,F. VanVleet makes 2-pt shot from 1 ft,2,94-108,,
8:06.0,Personal foul by D. DeRozan (drawn by R. Felton),,94-108,,
8:06.0,,,94-108,,R. Westbrook enters the game for J. Huestis
