time,Houston,pts.away,score,pts.home,Toronto
3:35.0,,,13-23,,K. Lowry misses 2-pt shot from 12 ft
3:32.0,Defensive rebound by J. Harden,,13-23,,
3:26.0,N. Hilario misses 2-pt shot from 1 ft,,13-23,,
3:24.0,,,13-23,,Defensive rebound by S. Ibaka
3:20.0,,,13-23,,S. Ibaka misses 3-pt shot from 25 ft
3:17.0,Defensive rebound by N. Hilario,,13-23,,
3:10.0,Shooting foul by N. Powell (drawn by J. Harden),,13-23,,
3:10.0,J. Harden makes free throw 1 of 2,1,14-23,,
3:10.0,,,14-23,,P. Siakam enters the game for S. Ibaka
3:10.0,,,14-23,,C. Miles enters the game for N. Powell
3:10.0,J. Harden misses free throw 2 of 2,,14-23,,
3:08.0,,,14-23,,Defensive rebound by J. Poeltl
2:47.0,,,14-23,,Shooting foul by E. Gordon (drawn by D. DeRozan)
2:47.0,Houston full timeout,,14-23,,
2:47.0,,,14-23,,F. VanVleet enters the game for K. Lowry
2:47.0,C. Paul enters the game for J. Harden,,14-23,,
2:47.0,,,14-24,1,D. DeRozan makes free throw 1 of 2
2:47.0,,,14-25,1,D. DeRozan makes free throw 2 of 2
2:31.0,E. Gordon misses 2-pt shot from 3 ft,,14-25,,
2:26.0,Offensive rebound by N. Hilario,,14-25,,
2:26.0,N. Hilario misses 2-pt shot at rim,,14-25,,
2:26.0,,,14-25,,Defensive rebound by D. DeRozan
2:22.0,,,14-27,2,D. DeRozan makes 2-pt shot from 1 ft
2:00.0,C. Paul misses 2-pt shot from 10 ft,,14-27,,
1:57.0,,,14-27,,Defensive rebound by P. Siakam
1:40.0,,,14-27,,F. VanVleet misses 2-pt shot from 17 ft
1:37.0,Defensive rebound by L. Mbah a Moute,,14-27,,
1:33.0,,,14-27,,Personal foul by P. Siakam (drawn by N. Hilario)
1:33.0,N. Hilario misses free throw 1 of 2,,14-27,,
1:33.0,Offensive rebound by Team,,14-27,,
1:33.0,N. Hilario misses free throw 2 of 2,,14-27,,
1:31.0,,,14-27,,Defensive rebound by P. Siakam
1:11.0,,,14-29,2,F. VanVleet makes 2-pt shot from 1 ft
1:02.0,,,14-29,,Personal foul by J. Poeltl (drawn by C. Paul)
1:02.0,C. Paul makes free throw 1 of 2,1,15-29,,
1:02.0,C. Paul makes free throw 2 of 2,1,16-29,,
0:40.0,Personal foul by J. Johnson (drawn by D. DeRozan),,16-29,,
0:32.0,,,16-32,3,D. DeRozan makes 3-pt shot from 26 ft (assist by J. Poeltl)
0:10.0,N. Hilario misses 2-pt shot from 3 ft,,16-32,,
0:09.0,,,16-32,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,E. Gordon misses 3-pt shot from 30 ft,,16-32,,
11:30.0,,,16-32,,Defensive rebound by F. VanVleet
11:09.0,,,16-35,3,C. Miles makes 3-pt shot from 22 ft (assist by F. VanVleet)
10:58.0,C. Paul misses 2-pt shot from 18 ft,,16-35,,
10:55.0,,,16-35,,Defensive rebound by P. Siakam
10:50.0,,,16-35,,F. VanVleet misses 3-pt shot from 30 ft
10:46.0,,,16-35,,Offensive rebound by Team
10:35.0,,,16-35,,C. Miles misses 3-pt shot from 29 ft
10:33.0,Defensive rebound by E. Gordon,,16-35,,
10:27.0,J. Johnson makes 3-pt shot from 23 ft (assist by L. Mbah a Moute),3,19-35,,
10:11.0,,,19-35,,Offensive charge foul by P. Siakam (drawn by P. Tucker)
10:11.0,,,19-35,,Turnover by P. Siakam (offensive foul)
9:48.0,J. Johnson makes 2-pt shot from 1 ft,2,21-35,,
9:38.0,,,21-37,2,F. VanVleet makes 2-pt shot from 1 ft
9:20.0,C. Paul makes 2-pt shot from 12 ft,2,23-37,,
8:54.0,,,23-40,3,M. Miller makes 3-pt shot from 25 ft (assist by F. VanVleet)
8:43.0,P. Tucker makes 2-pt shot from 6 ft (assist by C. Paul),2,25-40,,
8:19.0,,,25-42,2,M. Miller makes 2-pt shot from 1 ft (assist by F. VanVleet)
8:14.0,E. Gordon misses 3-pt shot from 31 ft,,25-42,,
8:11.0,,,25-42,,Defensive rebound by F. VanVleet
8:00.0,,,25-44,2,M. Miller makes 2-pt shot from 1 ft (assist by J. Poeltl)
7:38.0,E. Gordon misses 3-pt shot from 28 ft,,25-44,,
7:34.0,,,25-44,,Defensive rebound by P. Siakam
7:17.0,,,25-44,,C. Miles misses 3-pt shot from 25 ft
7:14.0,Defensive rebound by J. Johnson,,25-44,,
7:08.0,C. Paul makes 2-pt shot from 12 ft,2,27-44,,
6:59.0,,,27-44,,Toronto full timeout
6:59.0,,,27-44,,K. Lowry enters the game for F. VanVleet
6:59.0,C. Capela enters the game for C. Paul,,27-44,,
6:59.0,J. Harden enters the game for J. Johnson,,27-44,,
6:59.0,T. Ariza enters the game for L. Mbah a Moute,,27-44,,
6:48.0,,,27-44,,Turnover by M. Miller (step out of bounds)
6:31.0,J. Harden makes 2-pt shot from 9 ft,2,29-44,,
6:23.0,,,29-44,,Turnover by K. Lowry (turnover)
6:23.0,,,29-44,,S. Ibaka enters the game for C. Miles
6:23.0,,,29-44,,D. DeRozan enters the game for P. Siakam
6:23.0,,,29-44,,N. Powell enters the game for M. Miller
6:12.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,31-44,,
5:55.0,,,31-44,,N. Powell misses 3-pt shot from 22 ft
5:51.0,Defensive rebound by C. Capela,,31-44,,
5:41.0,J. Harden misses 2-pt shot from 2 ft,,31-44,,
5:38.0,Offensive rebound by C. Capela,,31-44,,
5:36.0,Jump ball: J. Poeltl vs. C. Capela (S. Ibaka gains possession),,,,Jump ball: J. Poeltl vs. C. Capela (S. Ibaka gains possession)
5:36.0,Turnover by C. Capela (turnover; steal by J. Poeltl),,31-44,,
5:27.0,,,31-46,2,D. DeRozan makes 2-pt shot from 11 ft
5:18.0,,,31-46,,J. Valanciunas enters the game for J. Poeltl
5:04.0,C. Capela misses 2-pt shot from 10 ft,,31-46,,
5:01.0,,,31-46,,Defensive rebound by J. Valanciunas
4:56.0,,,31-49,3,K. Lowry makes 3-pt shot from 25 ft (assist by N. Powell)
4:37.0,J. Harden makes 2-pt shot from 3 ft,2,33-49,,
4:12.0,,,33-49,,Turnover by N. Powell (lost ball; steal by T. Ariza)
4:03.0,T. Ariza makes 2-pt shot from 1 ft (assist by E. Gordon),2,35-49,,
4:00.0,Personal foul by P. Tucker (drawn by K. Lowry),,35-49,,
4:00.0,C. Paul enters the game for E. Gordon,,35-49,,
3:44.0,,,35-49,,N. Powell misses 3-pt shot from 22 ft
3:40.0,,,35-49,,Offensive rebound by N. Powell
3:39.0,,,35-51,2,N. Powell makes 2-pt shot from 8 ft
3:26.0,Turnover by J. Harden (bad pass; steal by J. Valanciunas),,35-51,,
3:20.0,,,35-51,,N. Powell misses 3-pt shot from 26 ft
3:16.0,,,35-51,,Offensive rebound by D. DeRozan
3:14.0,,,35-54,3,D. DeRozan makes 3-pt shot from 23 ft
3:14.0,Houston full timeout,,35-54,,
2:57.0,C. Paul misses 2-pt shot from 9 ft,,35-54,,
2:55.0,,,35-54,,Defensive rebound by K. Lowry
2:34.0,,,35-54,,D. DeRozan misses 3-pt shot from 26 ft
2:31.0,Defensive rebound by P. Tucker,,35-54,,
2:22.0,Shooting foul by J. Valanciunas (drawn by P. Tucker),,35-54,,
2:22.0,P. Tucker misses free throw 1 of 2,,35-54,,
2:22.0,Offensive rebound by Team,,35-54,,
2:22.0,P. Tucker makes free throw 2 of 2,1,36-54,,
1:59.0,,,36-54,,D. DeRozan misses 2-pt shot from 17 ft
1:58.0,Defensive rebound by C. Capela,,36-54,,
1:52.0,J. Harden misses 2-pt shot from 1 ft,,36-54,,
1:51.0,,,36-54,,Defensive rebound by J. Valanciunas
1:44.0,,,36-54,,Turnover by S. Ibaka (out of bounds lost ball)
1:23.0,C. Capela misses 2-pt shot from 2 ft,,36-54,,
1:20.0,Offensive rebound by C. Capela,,36-54,,
1:20.0,C. Capela misses 2-pt shot at rim,,36-54,,
1:19.0,,,36-54,,Defensive rebound by J. Valanciunas
1:18.0,,,36-54,,Turnover by J. Valanciunas (lost ball; steal by C. Capela)
1:13.0,C. Capela makes 2-pt shot from 1 ft,2,38-54,,
1:04.0,Def 3 sec tech foul by P. Tucker,,38-54,,
1:04.0,,,38-55,1,D. DeRozan makes technical free throw
0:55.0,,,38-55,,K. Lowry misses 3-pt shot from 29 ft
0:53.0,,,38-55,,Offensive rebound by J. Valanciunas
0:53.0,,,38-55,,Shooting foul by C. Capela (drawn by J. Valanciunas)
0:53.0,,,38-56,1,J. Valanciunas makes free throw 1 of 2
0:53.0,,,38-57,1,J. Valanciunas makes free throw 2 of 2
0:44.0,J. Harden makes 2-pt shot from 1 ft,2,40-57,,
0:44.0,Shooting foul by S. Ibaka (drawn by J. Harden),,40-57,,
0:44.0,,,40-57,,C. Miles enters the game for J. Valanciunas
0:44.0,J. Harden makes free throw 1 of 1,1,41-57,,
0:30.0,,,41-57,,D. DeRozan misses 2-pt shot from 18 ft
0:28.0,,,41-57,,Offensive rebound by D. DeRozan
0:28.0,,,41-57,,Shooting foul by C. Paul (drawn by D. DeRozan)
0:28.0,,,41-57,,D. DeRozan misses free throw 1 of 2
0:28.0,,,41-57,,Offensive rebound by Team
0:28.0,,,41-58,1,D. DeRozan makes free throw 2 of 2
0:09.0,J. Harden makes 2-pt shot from 8 ft,2,43-58,,
0:00.0,,,43-58,,D. DeRozan misses 3-pt shot from 27 ft (block by J. Harden)
0:00.0,,,43-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,45-58,,
11:16.0,,,45-58,,N. Powell misses 3-pt shot from 23 ft
11:14.0,Defensive rebound by C. Capela,,45-58,,
11:07.0,J. Harden makes 2-pt shot from 1 ft,2,47-58,,
10:51.0,,,47-58,,Turnover by J. Valanciunas (lost ball; steal by C. Paul)
10:45.0,T. Ariza misses 3-pt shot from 22 ft,,47-58,,
10:42.0,,,47-58,,Defensive rebound by N. Powell
10:31.0,,,47-58,,D. DeRozan misses 2-pt shot from 5 ft
10:29.0,Defensive rebound by C. Capela,,47-58,,
10:27.0,Shooting foul by S. Ibaka (drawn by J. Harden),,47-58,,
10:27.0,J. Harden makes free throw 1 of 2,1,48-58,,
10:27.0,J. Harden makes free throw 2 of 2,1,49-58,,
10:19.0,,,49-61,3,K. Lowry makes 3-pt shot from 28 ft (assist by J. Valanciunas)
10:03.0,T. Ariza misses 2-pt shot from 1 ft,,49-61,,
9:59.0,Offensive rebound by C. Capela,,49-61,,
9:59.0,C. Capela makes 2-pt shot at rim,2,51-61,,
9:47.0,,,51-61,,Turnover by S. Ibaka (bad pass; steal by C. Paul)
9:43.0,Offensive charge foul by C. Paul,,51-61,,
9:43.0,Turnover by C. Paul (offensive foul),,51-61,,
9:43.0,Technical foul by C. Paul,,51-61,,
9:43.0,,,51-61,,D. DeRozan misses technical free throw
9:43.0,,,51-61,,Offensive rebound by Team
9:32.0,,,51-61,,Turnover by D. DeRozan (lost ball; steal by J. Harden)
9:27.0,Shooting foul by J. Valanciunas (drawn by T. Ariza),,51-61,,
9:27.0,T. Ariza makes free throw 1 of 2,1,52-61,,
9:27.0,T. Ariza makes free throw 2 of 2,1,53-61,,
9:09.0,,,53-61,,K. Lowry misses 2-pt shot from 2 ft
9:06.0,,,53-61,,Offensive rebound by J. Valanciunas
9:04.0,,,53-61,,D. DeRozan misses 3-pt shot from 26 ft
9:02.0,Defensive rebound by P. Tucker,,53-61,,
8:53.0,,,53-61,,Personal foul by N. Powell (drawn by J. Harden)
8:45.0,J. Harden misses 3-pt shot from 23 ft,,53-61,,
8:42.0,,,53-61,,Defensive rebound by D. DeRozan
8:34.0,,,53-64,3,S. Ibaka makes 3-pt shot from 23 ft (assist by D. DeRozan)
8:19.0,C. Paul makes 2-pt shot from 13 ft,2,55-64,,
7:59.0,,,55-64,,J. Valanciunas misses 2-pt shot from 10 ft
7:56.0,,,55-64,,Offensive rebound by S. Ibaka
7:55.0,,,55-64,,S. Ibaka misses 2-pt shot from 1 ft
7:55.0,,,55-64,,Offensive rebound by S. Ibaka
7:55.0,Personal foul by C. Paul (drawn by S. Ibaka),,55-64,,
7:44.0,,,55-66,2,S. Ibaka makes 2-pt shot from 13 ft (assist by K. Lowry)
7:29.0,C. Paul misses 3-pt shot from 23 ft,,55-66,,
7:26.0,,,55-66,,Defensive rebound by K. Lowry
7:21.0,,,55-68,2,K. Lowry makes 2-pt shot from 2 ft
6:56.0,Turnover by Team (shot clock),,55-68,,
6:56.0,,,55-68,,Toronto full timeout
6:56.0,L. Mbah a Moute enters the game for C. Paul,,55-68,,
6:56.0,E. Gordon enters the game for C. Capela,,55-68,,
6:32.0,,,55-68,,S. Ibaka misses 3-pt shot from 26 ft
6:27.0,Defensive rebound by L. Mbah a Moute,,55-68,,
6:21.0,J. Harden makes 2-pt shot from 1 ft (assist by L. Mbah a Moute),2,57-68,,
6:03.0,,,57-71,3,K. Lowry makes 3-pt shot from 25 ft (assist by J. Valanciunas)
5:38.0,J. Harden makes 2-pt shot from 1 ft,2,59-71,,
5:38.0,,,59-71,,Violation by J. Valanciunas (def goaltending)
5:31.0,,,59-73,2,S. Ibaka makes 2-pt shot from 11 ft (assist by K. Lowry)
5:06.0,E. Gordon misses 2-pt shot from 11 ft,,59-73,,
5:03.0,,,59-73,,Defensive rebound by S. Ibaka
4:47.0,,,59-73,,Shooting foul by P. Tucker (drawn by K. Lowry)
4:47.0,,,59-74,1,K. Lowry makes free throw 1 of 2
4:47.0,,,59-74,,K. Lowry misses free throw 2 of 2
4:44.0,,,59-74,,Offensive rebound by J. Valanciunas
4:42.0,,,59-76,2,J. Valanciunas makes 2-pt shot from 1 ft
4:22.0,Turnover by L. Mbah a Moute (out of bounds lost ball),,59-76,,
4:10.0,,,59-76,,S. Ibaka misses 3-pt shot from 25 ft
4:08.0,,,59-76,,Offensive rebound by J. Valanciunas
4:04.0,,,59-76,,D. DeRozan misses 3-pt shot from 22 ft
4:01.0,Defensive rebound by P. Tucker,,59-76,,
3:58.0,T. Ariza makes 2-pt shot at rim (assist by P. Tucker),2,61-76,,
3:32.0,,,61-76,,N. Powell misses 3-pt shot from 23 ft
3:30.0,Defensive rebound by T. Ariza,,61-76,,
3:25.0,J. Harden makes 3-pt shot from 28 ft,3,64-76,,
3:01.0,,,64-76,,K. Lowry misses 3-pt shot from 27 ft
2:59.0,Defensive rebound by T. Ariza,,64-76,,
2:52.0,J. Harden makes 3-pt shot from 26 ft,3,67-76,,
2:48.0,,,67-76,,Toronto full timeout
2:48.0,,,67-76,,J. Poeltl enters the game for K. Lowry
2:48.0,,,67-76,,F. VanVleet enters the game for S. Ibaka
2:48.0,,,67-76,,P. Siakam enters the game for J. Valanciunas
2:48.0,,,67-76,,C. Miles enters the game for N. Powell
2:48.0,J. Johnson enters the game for T. Ariza,,67-76,,
2:36.0,,,67-78,2,D. DeRozan makes 2-pt shot from 1 ft
2:16.0,Turnover by J. Harden (bad pass; steal by F. VanVleet),,67-78,,
2:09.0,,,67-78,,C. Miles misses 3-pt shot from 24 ft
2:07.0,Defensive rebound by Team,,67-78,,
2:07.0,C. Paul enters the game for J. Harden,,67-78,,
1:55.0,E. Gordon makes 3-pt shot from 25 ft (assist by C. Paul),3,70-78,,
1:43.0,,,70-78,,Offensive charge foul by D. DeRozan (drawn by P. Tucker)
1:43.0,,,70-78,,Turnover by D. DeRozan (offensive foul)
1:28.0,E. Gordon makes 2-pt shot from 2 ft,2,72-78,,
1:28.0,Shooting foul by J. Poeltl (drawn by E. Gordon),,72-78,,
1:28.0,E. Gordon makes free throw 1 of 1,1,73-78,,
1:16.0,,,73-78,,F. VanVleet misses 2-pt shot from 2 ft
1:14.0,Defensive rebound by P. Tucker,,73-78,,
1:09.0,J. Johnson misses 3-pt shot from 25 ft,,73-78,,
1:06.0,,,73-78,,Defensive rebound by D. DeRozan
1:00.0,,,73-81,3,D. DeRozan makes 3-pt shot from 25 ft (assist by P. Siakam)
0:51.0,,,73-81,,Personal foul by F. VanVleet (drawn by C. Paul)
0:51.0,C. Paul makes free throw 1 of 2,1,74-81,,
0:51.0,C. Paul makes free throw 2 of 2,1,75-81,,
0:27.0,,,75-81,,P. Siakam misses 2-pt shot from 6 ft
0:25.0,,,75-81,,Offensive rebound by J. Poeltl
0:25.0,,,75-83,2,J. Poeltl makes 2-pt shot from 1 ft
0:03.0,P. Tucker misses 3-pt shot from 25 ft,,75-83,,
0:03.0,,,75-83,,Defensive rebound by J. Poeltl
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,75-83,,Turnover by F. VanVleet (lost ball; steal by C. Paul)
11:42.0,T. Ariza makes 2-pt shot from 1 ft,2,77-83,,
11:42.0,Shooting foul by M. Miller (drawn by T. Ariza),,77-83,,
11:42.0,T. Ariza misses free throw 1 of 1,,77-83,,
11:40.0,,,77-83,,Defensive rebound by P. Siakam
11:21.0,,,77-83,,J. Poeltl misses 2-pt shot from 5 ft
11:19.0,Defensive rebound by C. Paul,,77-83,,
11:11.0,C. Paul makes 2-pt shot from 10 ft,2,79-83,,
10:59.0,,,79-83,,C. Miles misses 3-pt shot from 27 ft
10:57.0,Defensive rebound by T. Ariza,,79-83,,
10:49.0,Turnover by E. Gordon (bad pass),,79-83,,
10:35.0,,,79-86,2,C. Miles makes 3-pt shot from 23 ft (assist by F. VanVleet)
10:31.0,,,79-86,,Personal foul by F. VanVleet (drawn by C. Paul)
10:20.0,Turnover by C. Paul (bad pass; steal by J. Poeltl),,79-86,,
10:16.0,,,79-88,2,P. Siakam makes 2-pt shot from 1 ft (assist by F. VanVleet)
10:15.0,Houston full timeout,,79-88,,
10:05.0,T. Ariza misses 3-pt shot from 23 ft,,79-88,,
10:03.0,,,79-88,,Defensive rebound by J. Poeltl
9:54.0,,,79-88,,F. VanVleet misses 2-pt shot from 1 ft
9:53.0,Defensive rebound by C. Paul,,79-88,,
9:36.0,C. Paul misses 2-pt shot from 1 ft,,79-88,,
9:36.0,,,79-88,,Defensive rebound by Team
9:20.0,,,79-90,2,F. VanVleet makes 2-pt shot at rim
9:07.0,L. Mbah a Moute makes 3-pt shot from 26 ft (assist by J. Johnson),3,82-90,,
8:40.0,,,82-90,,P. Siakam misses 2-pt shot from 12 ft
8:39.0,,,82-90,,Offensive rebound by Team
8:39.0,,,82-90,,Turnover by Team (shot clock)
8:29.0,C. Paul makes 2-pt shot from 6 ft,2,84-90,,
8:16.0,,,84-93,3,F. VanVleet makes 3-pt shot from 25 ft
8:03.0,Turnover by J. Johnson (lost ball; steal by C. Miles),,84-93,,
7:52.0,,,84-93,,F. VanVleet misses 2-pt shot from 2 ft (block by L. Mbah a Moute)
7:48.0,Defensive rebound by L. Mbah a Moute,,84-93,,
7:46.0,C. Paul misses 3-pt shot from 26 ft,,84-93,,
7:46.0,,,84-93,,Defensive rebound by Team
7:45.0,,,84-93,,K. Lowry enters the game for M. Miller
7:30.0,,,84-93,,F. VanVleet misses 3-pt shot from 25 ft
7:27.0,,,84-93,,Offensive rebound by C. Miles
7:24.0,,,84-93,,Turnover by K. Lowry (bad pass)
7:24.0,,,84-93,,N. Powell enters the game for P. Siakam
7:24.0,J. Harden enters the game for C. Paul,,84-93,,
7:24.0,P. Tucker enters the game for J. Johnson,,84-93,,
7:15.0,J. Harden makes 2-pt shot at rim,2,86-93,,
6:50.0,,,86-93,,F. VanVleet misses 3-pt shot from 23 ft
6:46.0,Defensive rebound by T. Ariza,,86-93,,
6:40.0,J. Harden makes 2-pt shot from 1 ft,2,88-93,,
6:26.0,,,88-95,2,F. VanVleet makes 2-pt shot from 1 ft
6:11.0,E. Gordon makes 3-pt shot from 29 ft (assist by P. Tucker),3,91-95,,
6:09.0,,,91-95,,Toronto full timeout
6:09.0,,,91-95,,J. Valanciunas enters the game for C. Miles
6:09.0,,,91-95,,D. DeRozan enters the game for J. Poeltl
6:09.0,C. Capela enters the game for L. Mbah a Moute,,91-95,,
6:01.0,,,91-97,2,D. DeRozan makes 2-pt shot from 1 ft
5:40.0,E. Gordon misses 2-pt shot from 2 ft (block by F. VanVleet),,91-97,,
5:40.0,Offensive rebound by Team,,91-97,,
5:35.0,J. Harden misses 3-pt shot from 23 ft,,91-97,,
5:33.0,,,91-97,,Defensive rebound by K. Lowry
5:29.0,,,91-100,3,K. Lowry makes 3-pt shot from 26 ft
5:10.0,E. Gordon makes 2-pt shot from 7 ft,2,93-100,,
4:53.0,,,93-102,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
4:38.0,J. Harden makes 3-pt shot from 26 ft,3,96-102,,
4:14.0,,,96-102,,F. VanVleet misses 2-pt shot from 3 ft
4:12.0,Defensive rebound by P. Tucker,,96-102,,
4:05.0,E. Gordon misses 2-pt shot from 6 ft,,96-102,,
4:04.0,Offensive rebound by Team,,96-102,,
4:04.0,,,96-102,,Loose ball foul by K. Lowry (drawn by C. Capela)
4:04.0,C. Paul enters the game for E. Gordon,,96-102,,
3:57.0,Turnover by J. Harden (bad pass),,96-102,,
3:41.0,,,96-102,,D. DeRozan misses 2-pt shot from 14 ft
3:38.0,Defensive rebound by C. Capela,,96-102,,
3:26.0,Shooting foul by J. Valanciunas (drawn by C. Capela),,96-102,,
3:26.0,Houston full timeout,,96-102,,
3:26.0,C. Capela misses free throw 1 of 2,,96-102,,
3:26.0,Offensive rebound by Team,,96-102,,
3:26.0,C. Capela makes free throw 2 of 2,1,97-102,,
3:04.0,,,97-102,,D. DeRozan misses 2-pt shot from 15 ft
3:00.0,Defensive rebound by P. Tucker,,97-102,,
2:46.0,,,97-102,,Personal foul by D. DeRozan (drawn by J. Harden)
2:46.0,J. Harden makes free throw 1 of 2,1,98-102,,
2:46.0,J. Harden makes free throw 2 of 2,1,99-102,,
2:33.0,,,99-102,,Turnover by F. VanVleet (out of bounds lost ball)
2:10.0,J. Harden makes 3-pt shot from 25 ft,3,102-102,,
1:49.0,,,102-104,2,D. DeRozan makes 2-pt shot from 11 ft
1:35.0,C. Capela misses 2-pt shot from 2 ft (block by J. Valanciunas),,102-104,,
1:33.0,,,102-104,,Defensive rebound by J. Valanciunas
1:09.0,,,102-104,,Turnover by J. Valanciunas (lost ball; steal by P. Tucker)
0:47.0,Turnover by J. Harden (bad pass; steal by J. Valanciunas),,102-104,,
0:47.0,Personal foul by C. Capela (drawn by D. DeRozan),,102-104,,
0:47.0,,,102-104,,C. Miles enters the game for N. Powell
0:26.0,,,102-104,,C. Miles misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by C. Capela,,102-104,,
0:14.0,C. Paul misses 3-pt shot from 22 ft,,102-104,,
