time,Washington,pts.away,score,pts.home,Cleveland
1:52.0,I. Mahinmi misses 2-pt shot at rim,,18-28,,
1:52.0,Offensive rebound by Team,,18-28,,
1:52.0,,,18-28,,L. Nance enters the game for T. Thompson
1:52.0,T. Frazier enters the game for T. Satoransky,,18-28,,
1:52.0,,,18-28,,J. Clarkson enters the game for G. Hill
1:32.0,M. Scott misses 3-pt shot from 23 ft,,18-28,,
1:30.0,Offensive rebound by I. Mahinmi,,18-28,,
1:30.0,I. Mahinmi makes 2-pt shot from 11 ft,2,20-28,,
1:30.0,,,20-28,,Violation by L. Nance (def goaltending)
1:22.0,Personal foul by I. Mahinmi (drawn by L. Nance),,20-28,,
1:22.0,,,20-28,,R. Hood enters the game for J. Smith
1:22.0,J. Meeks enters the game for B. Beal,,20-28,,
1:18.0,,,20-28,,Turnover by J. Green (lost ball; steal by K. Oubre)
1:14.0,M. Scott misses 2-pt shot from 2 ft,,20-28,,
1:14.0,Offensive rebound by I. Mahinmi,,20-28,,
1:12.0,I. Mahinmi misses 2-pt shot from 1 ft,,20-28,,
1:12.0,Offensive rebound by I. Mahinmi,,20-28,,
1:11.0,I. Mahinmi misses 2-pt shot from 1 ft,,20-28,,
1:11.0,Offensive rebound by T. Frazier,,20-28,,
0:55.0,M. Scott misses 2-pt shot from 16 ft,,20-28,,
0:52.0,,,20-28,,Defensive rebound by R. Hood
0:46.0,,,20-31,3,R. Hood makes 3-pt shot from 30 ft (assist by J. Clarkson)
0:22.0,K. Oubre makes 2-pt shot from 8 ft (assist by T. Frazier),2,22-31,,
0:00.0,,,22-31,,L. James misses 3-pt shot from 28 ft
0:00.0,,,22-31,,Offensive rebound by Team
0:00.0,Jump ball: T. Thompson vs. M. Gortat (M. Morris gains possession),,,,Jump ball: T. Thompson vs. M. Gortat (M. Morris gains possession)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,22-33,2,L. Nance makes 2-pt shot from 1 ft (assist by R. Hood)
11:35.0,J. Meeks makes 3-pt shot from 26 ft (assist by K. Oubre),3,25-33,,
11:11.0,,,25-33,,J. Clarkson misses 3-pt shot from 31 ft
11:08.0,Defensive rebound by K. Oubre,,25-33,,
10:52.0,I. Mahinmi makes 2-pt shot from 9 ft (assist by J. Meeks),2,27-33,,
10:43.0,,,27-35,2,J. Clarkson makes 2-pt shot from 10 ft
10:43.0,,,27-35,,Shooting foul by T. Frazier (drawn by J. Clarkson)
10:43.0,,,27-36,1,J. Clarkson makes free throw 1 of 1
10:28.0,T. Frazier makes 2-pt shot from 20 ft (assist by I. Mahinmi),2,29-36,,
10:15.0,,,29-38,2,J. Clarkson makes 2-pt shot from 13 ft
10:08.0,,,29-38,,Personal foul by L. Nance (drawn by T. Frazier)
9:56.0,K. Oubre misses 2-pt shot from 15 ft,,29-38,,
9:53.0,,,29-38,,Defensive rebound by L. Nance
9:46.0,,,29-38,,J. Clarkson misses 2-pt shot from 8 ft
9:44.0,,,29-38,,Offensive rebound by L. Nance
9:38.0,,,29-40,2,L. Nance makes 2-pt shot at rim (assist by J. Green)
9:16.0,M. Scott makes 2-pt shot from 9 ft,2,31-40,,
9:02.0,,,31-40,,R. Hood misses 2-pt shot from 21 ft
8:59.0,Defensive rebound by I. Mahinmi,,31-40,,
8:46.0,M. Scott misses 2-pt shot from 5 ft,,31-40,,
8:46.0,,,31-40,,Defensive rebound by Team
8:46.0,Loose ball foul by I. Mahinmi (drawn by K. Korver),,31-40,,
8:34.0,,,31-40,,Offensive foul by L. Nance (drawn by T. Frazier)
8:34.0,,,31-40,,Turnover by L. Nance (offensive foul)
8:20.0,J. Meeks misses 2-pt shot from 1 ft,,31-40,,
8:16.0,,,31-40,,Defensive rebound by L. Nance
8:14.0,,,31-40,,J. Clarkson misses 3-pt shot from 26 ft
8:13.0,Defensive rebound by Team,,31-40,,
7:50.0,T. Frazier misses 3-pt shot from 28 ft,,31-40,,
7:48.0,,,31-40,,Defensive rebound by R. Hood
7:41.0,,,31-40,,J. Green misses 2-pt shot at rim
7:39.0,Defensive rebound by T. Frazier,,31-40,,
7:33.0,K. Oubre misses 2-pt shot from 7 ft,,31-40,,
7:31.0,,,31-40,,Defensive rebound by K. Korver
7:29.0,,,31-40,,Turnover by J. Clarkson (out of bounds lost ball)
7:14.0,J. Meeks misses 2-pt shot from 16 ft,,31-40,,
7:11.0,,,31-40,,Defensive rebound by J. Clarkson
7:05.0,,,31-42,2,J. Clarkson makes 2-pt shot from 1 ft
7:05.0,,,31-42,,Shooting foul by T. Frazier (drawn by J. Clarkson)
7:05.0,,,31-42,,L. James enters the game for J. Green
7:05.0,B. Beal enters the game for T. Frazier,,31-42,,
7:05.0,T. Satoransky enters the game for J. Meeks,,31-42,,
7:05.0,M. Morris enters the game for I. Mahinmi,,31-42,,
7:05.0,,,31-43,1,J. Clarkson makes free throw 1 of 1
6:54.0,B. Beal makes 2-pt shot from 1 ft (assist by T. Satoransky),2,33-43,,
6:42.0,,,33-43,,Shooting foul by M. Scott (drawn by L. Nance)
6:42.0,,,33-43,,Cleveland full timeout
6:42.0,O. Porter enters the game for M. Scott,,33-43,,
6:42.0,,,33-43,,L. Nance misses free throw 1 of 2
6:42.0,,,33-43,,Offensive rebound by Team
6:42.0,,,33-43,,L. Nance misses free throw 2 of 2
6:39.0,Defensive rebound by O. Porter,,33-43,,
6:21.0,O. Porter misses 2-pt shot from 12 ft,,33-43,,
6:20.0,Offensive rebound by Team,,33-43,,
6:17.0,Turnover by Team (shot clock),,33-43,,
6:00.0,,,33-43,,Turnover by L. James (bad pass)
6:00.0,,,33-43,,J. Smith enters the game for L. Nance
5:39.0,,,33-43,,Personal foul by K. Korver (drawn by M. Morris)
5:39.0,,,33-43,,G. Hill enters the game for J. Clarkson
5:29.0,Turnover by M. Morris (bad pass),,33-43,,
5:19.0,Personal foul by K. Oubre (drawn by L. James),,33-43,,
5:19.0,,,33-44,1,L. James makes free throw 1 of 2
5:19.0,,,33-44,,T. Thompson enters the game for K. Korver
5:19.0,,,33-45,1,L. James makes free throw 2 of 2
5:03.0,T. Satoransky makes 2-pt shot from 8 ft (assist by M. Morris),2,35-45,,
4:53.0,,,35-45,,G. Hill misses 3-pt shot from 24 ft
4:49.0,Defensive rebound by B. Beal,,35-45,,
4:40.0,O. Porter makes 3-pt shot from 25 ft (assist by T. Satoransky),3,38-45,,
4:17.0,Personal foul by T. Satoransky (drawn by G. Hill),,38-45,,
4:17.0,,,38-46,1,G. Hill makes free throw 1 of 2
4:17.0,,,38-46,,G. Hill misses free throw 2 of 2
4:13.0,Defensive rebound by K. Oubre,,38-46,,
4:02.0,B. Beal makes 3-pt shot from 25 ft,3,41-46,,
3:40.0,,,41-46,,G. Hill misses 2-pt shot at rim
3:37.0,Defensive rebound by M. Morris,,41-46,,
3:31.0,K. Oubre makes 3-pt shot from 25 ft (assist by M. Morris),3,44-46,,
3:30.0,,,44-46,,Cleveland full timeout
3:15.0,,,44-46,,R. Hood misses 3-pt shot from 23 ft
3:13.0,Defensive rebound by T. Satoransky,,44-46,,
3:06.0,M. Morris misses 3-pt shot from 25 ft,,44-46,,
3:03.0,Offensive rebound by O. Porter,,44-46,,
2:48.0,M. Morris makes 2-pt shot from 15 ft (assist by T. Satoransky),2,46-46,,
2:26.0,,,46-46,,G. Hill misses 2-pt shot from 14 ft
2:24.0,Defensive rebound by Team,,46-46,,
2:24.0,,,46-46,,Loose ball foul by T. Thompson (drawn by K. Oubre)
2:09.0,K. Oubre makes 3-pt shot from 24 ft (assist by O. Porter),3,49-46,,
1:53.0,,,49-48,2,L. James makes 2-pt shot at rim
1:38.0,M. Morris makes 3-pt shot from 25 ft (assist by T. Satoransky),3,52-48,,
1:16.0,,,52-48,,Turnover by G. Hill (bad pass; steal by O. Porter)
1:15.0,Turnover by O. Porter (bad pass; steal by G. Hill),,52-48,,
1:15.0,,,52-48,,Turnover by G. Hill (bad pass; steal by M. Morris)
0:57.0,K. Oubre makes 2-pt shot from 1 ft (assist by B. Beal),2,54-48,,
0:52.0,,,54-50,2,L. James makes 2-pt shot from 1 ft
0:39.0,B. Beal misses 2-pt shot from 1 ft,,54-50,,
0:37.0,,,54-50,,Defensive rebound by J. Smith
0:33.0,,,54-52,2,R. Hood makes 2-pt shot from 7 ft (assist by L. James)
0:13.0,T. Satoransky makes 2-pt shot from 7 ft,2,56-52,,
0:13.0,Shooting foul by G. Hill (drawn by T. Satoransky),,56-52,,
0:13.0,,,56-52,,J. Green enters the game for T. Thompson
0:13.0,M. Scott enters the game for O. Porter,,56-52,,
0:13.0,T. Satoransky makes free throw 1 of 1,1,57-52,,
0:02.0,,,57-54,2,L. James makes 2-pt shot from 5 ft
0:02.0,,,57-54,,Shooting foul by M. Morris (drawn by L. James)
0:02.0,,,57-54,,C. Osman enters the game for G. Hill
0:02.0,,,57-54,,L. James misses free throw 1 of 1
0:00.0,Defensive rebound by M. Morris,,57-54,,
0:00.0,M. Morris misses 3-pt shot from 49 ft,,57-54,,
0:00.0,Offensive rebound by Team,,57-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,57-56,2,T. Thompson makes 2-pt shot from 7 ft (assist by G. Hill)
11:22.0,Turnover by M. Morris (lost ball; steal by L. James),,57-56,,
11:16.0,,,57-59,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
11:02.0,T. Satoransky makes 2-pt shot from 21 ft,2,59-59,,
10:46.0,,,59-59,,Turnover by G. Hill (bad pass; steal by O. Porter)
10:33.0,B. Beal misses 2-pt shot from 18 ft,,59-59,,
10:31.0,,,59-59,,Defensive rebound by T. Thompson
10:27.0,,,59-61,2,G. Hill makes 2-pt shot from 1 ft
10:27.0,,,59-61,,Shooting foul by B. Beal (drawn by G. Hill)
10:27.0,,,59-62,1,G. Hill makes free throw 1 of 1
10:14.0,O. Porter makes 3-pt shot from 24 ft (assist by B. Beal),3,62-62,,
10:02.0,,,62-62,,G. Hill misses 3-pt shot from 24 ft
9:59.0,Defensive rebound by O. Porter,,62-62,,
9:55.0,,,62-62,,Personal foul by L. James (drawn by O. Porter)
9:41.0,M. Morris misses 3-pt shot from 22 ft,,62-62,,
9:38.0,,,62-62,,Defensive rebound by G. Hill
9:20.0,Violation by M. Gortat (kicked ball),,62-62,,
9:07.0,,,62-62,,L. James misses 3-pt shot from 27 ft
9:04.0,Defensive rebound by T. Satoransky,,62-62,,
9:00.0,,,62-62,,Personal foul by L. James (drawn by M. Gortat)
8:52.0,O. Porter misses 2-pt shot from 10 ft,,62-62,,
8:50.0,,,62-62,,Defensive rebound by C. Osman
8:43.0,,,62-62,,C. Osman misses 2-pt shot from 1 ft
8:38.0,,,62-62,,Offensive rebound by T. Thompson
8:38.0,,,62-64,2,T. Thompson makes 2-pt shot at rim
8:24.0,B. Beal misses 2-pt shot from 18 ft,,62-64,,
8:21.0,,,62-64,,Defensive rebound by L. James
8:17.0,,,62-64,,Turnover by L. James (bad pass)
7:55.0,M. Gortat makes 2-pt shot at rim (assist by B. Beal),2,64-64,,
7:44.0,Personal foul by M. Morris (drawn by C. Osman),,64-64,,
7:33.0,,,64-64,,C. Osman misses 2-pt shot from 11 ft
7:31.0,Defensive rebound by M. Gortat,,64-64,,
7:26.0,B. Beal makes 2-pt shot from 7 ft,2,66-64,,
7:03.0,,,66-64,,G. Hill misses 3-pt shot from 23 ft
7:00.0,Defensive rebound by O. Porter,,66-64,,
6:50.0,M. Gortat misses 2-pt shot from 1 ft (block by T. Thompson),,66-64,,
6:48.0,,,66-64,,Defensive rebound by T. Thompson
6:47.0,Personal foul by T. Satoransky (drawn by L. James),,66-64,,
6:47.0,,,66-64,,Cleveland full timeout
6:39.0,,,66-64,,J. Smith misses 3-pt shot from 25 ft
6:36.0,Defensive rebound by M. Gortat,,66-64,,
6:24.0,T. Satoransky makes 3-pt shot from 25 ft (assist by M. Morris),3,69-64,,
6:04.0,,,69-64,,C. Osman misses 3-pt shot from 23 ft
6:02.0,Defensive rebound by M. Morris,,69-64,,
5:51.0,O. Porter misses 3-pt shot from 24 ft,,69-64,,
5:48.0,,,69-64,,Defensive rebound by Team
5:28.0,,,69-64,,Turnover by T. Thompson (bad pass; steal by T. Satoransky)
5:19.0,Turnover by M. Morris (bad pass),,69-64,,
5:01.0,,,69-67,3,L. James makes 3-pt shot from 23 ft (assist by G. Hill)
4:40.0,Turnover by B. Beal (bad pass; steal by J. Smith),,69-67,,
4:27.0,,,69-70,3,J. Smith makes 3-pt shot from 23 ft (assist by T. Thompson)
4:11.0,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal),2,71-70,,
3:55.0,,,71-72,2,T. Thompson makes 2-pt shot from 12 ft (assist by G. Hill)
3:39.0,M. Morris makes 2-pt shot from 1 ft (assist by T. Satoransky),2,73-72,,
3:15.0,,,73-72,,G. Hill misses 3-pt shot from 25 ft
3:12.0,Defensive rebound by M. Gortat,,73-72,,
3:01.0,Turnover by B. Beal (bad pass),,73-72,,
3:01.0,,,73-72,,R. Hood enters the game for L. James
2:48.0,Washington full timeout,,73-72,,
2:48.0,,,73-72,,J. Clarkson enters the game for G. Hill
2:48.0,,,73-72,,J. Green enters the game for C. Osman
2:48.0,I. Mahinmi enters the game for M. Gortat,,73-72,,
2:48.0,K. Oubre enters the game for O. Porter,,73-72,,
2:44.0,,,73-72,,J. Smith misses 3-pt shot from 23 ft
2:42.0,Defensive rebound by M. Morris,,73-72,,
2:29.0,B. Beal makes 2-pt shot from 1 ft (assist by T. Satoransky),2,75-72,,
2:20.0,Personal foul by I. Mahinmi (drawn by J. Clarkson),,75-72,,
2:20.0,,,75-72,,L. Nance enters the game for J. Smith
2:20.0,,,75-72,,K. Korver enters the game for T. Thompson
2:20.0,M. Scott enters the game for M. Morris,,75-72,,
2:11.0,,,75-75,3,R. Hood makes 3-pt shot from 25 ft
1:53.0,B. Beal misses 2-pt shot from 22 ft,,75-75,,
1:50.0,,,75-75,,Defensive rebound by K. Korver
1:35.0,Personal block foul by K. Oubre (drawn by J. Clarkson),,75-75,,
1:35.0,,,75-76,1,J. Clarkson makes free throw 1 of 2
1:35.0,,,75-76,,J. Clarkson misses free throw 2 of 2
1:33.0,Defensive rebound by M. Scott,,75-76,,
1:16.0,Shooting foul by L. Nance (drawn by I. Mahinmi),,75-76,,
1:16.0,I. Mahinmi makes free throw 1 of 2,1,76-76,,
1:16.0,J. Meeks enters the game for B. Beal,,76-76,,
1:16.0,I. Mahinmi makes free throw 2 of 2,1,77-76,,
1:04.0,,,77-79,3,K. Korver makes 3-pt shot from 25 ft (assist by R. Hood)
0:51.0,J. Meeks makes 3-pt shot from 25 ft,3,80-79,,
0:35.0,,,80-79,,L. Nance misses 2-pt shot from 15 ft
0:32.0,Defensive rebound by K. Oubre,,80-79,,
0:12.0,T. Satoransky makes 2-pt shot from 13 ft,2,82-79,,
0:00.0,,,82-79,,J. Clarkson misses 3-pt shot from 27 ft
0:00.0,,,82-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,J. Meeks misses 2-pt shot from 1 ft,,82-79,,
11:34.0,,,82-79,,Defensive rebound by K. Korver
11:22.0,,,82-81,2,J. Green makes 2-pt shot from 6 ft
11:22.0,,,82-81,,Shooting foul by J. Meeks (drawn by J. Green)
11:22.0,,,82-82,1,J. Green makes free throw 1 of 1
11:08.0,Shooting foul by J. Green (drawn by K. Oubre),,82-82,,
11:08.0,K. Oubre makes free throw 1 of 2,1,83-82,,
11:08.0,K. Oubre makes free throw 2 of 2,1,84-82,,
10:56.0,,,84-84,2,L. Nance makes 2-pt shot from 1 ft (assist by K. Korver)
10:38.0,I. Mahinmi misses 2-pt shot from 9 ft,,84-84,,
10:34.0,Offensive rebound by M. Scott,,84-84,,
10:31.0,M. Scott makes 2-pt shot from 7 ft,2,86-84,,
10:19.0,,,86-86,2,J. Green makes 2-pt shot from 20 ft
9:57.0,M. Scott makes 2-pt shot from 9 ft (assist by K. Oubre),2,88-86,,
9:47.0,Personal foul by T. Frazier (drawn by K. Korver),,88-86,,
9:42.0,,,88-89,3,K. Korver makes 3-pt shot from 25 ft (assist by J. Clarkson)
9:32.0,M. Scott misses 3-pt shot from 29 ft,,88-89,,
9:31.0,,,88-89,,Defensive rebound by Team
9:22.0,,,88-89,,K. Korver misses 3-pt shot from 24 ft
9:19.0,Defensive rebound by M. Scott,,88-89,,
9:11.0,M. Scott makes 2-pt shot from 9 ft,2,90-89,,
8:55.0,,,90-89,,J. Green misses 3-pt shot from 25 ft
8:52.0,Defensive rebound by K. Oubre,,90-89,,
8:48.0,K. Oubre misses 3-pt shot from 26 ft,,90-89,,
8:46.0,,,90-89,,Defensive rebound by Team
8:34.0,,,90-89,,R. Hood misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by Team,,90-89,,
8:32.0,,,90-89,,Loose ball foul by L. Nance (drawn by T. Frazier)
8:32.0,,,90-89,,L. James enters the game for R. Hood
8:25.0,Offensive foul by M. Scott (drawn by J. Green),,90-89,,
8:25.0,Turnover by M. Scott (offensive foul),,90-89,,
8:10.0,,,90-89,,J. Green misses 3-pt shot from 26 ft
8:06.0,Defensive rebound by T. Frazier,,90-89,,
7:59.0,J. Meeks makes 2-pt shot from 6 ft (assist by T. Frazier),2,92-89,,
7:46.0,Personal foul by I. Mahinmi (drawn by J. Green),,92-89,,
7:44.0,,,92-89,,K. Korver misses 3-pt shot from 27 ft
7:41.0,Defensive rebound by Team,,92-89,,
7:26.0,Turnover by I. Mahinmi (bad pass; steal by L. Nance),,92-89,,
7:16.0,,,92-89,,J. Green misses 3-pt shot from 23 ft
7:13.0,Defensive rebound by T. Frazier,,92-89,,
7:08.0,Washington full timeout,,92-89,,
7:08.0,,,92-89,,R. Hood enters the game for J. Green
7:08.0,O. Porter enters the game for T. Frazier,,92-89,,
7:08.0,B. Beal enters the game for M. Scott,,92-89,,
6:51.0,K. Oubre makes 3-pt shot from 22 ft (assist by I. Mahinmi),3,95-89,,
6:35.0,,,95-89,,K. Korver misses 3-pt shot from 25 ft (block by B. Beal)
6:30.0,Defensive rebound by O. Porter,,95-89,,
6:28.0,B. Beal misses 3-pt shot from 26 ft,,95-89,,
6:26.0,,,95-89,,Defensive rebound by J. Clarkson
6:22.0,,,95-89,,L. James misses 2-pt shot from 17 ft
6:19.0,Defensive rebound by K. Oubre,,95-89,,
6:12.0,I. Mahinmi makes 2-pt shot at rim (assist by B. Beal),2,97-89,,
6:12.0,,,97-89,,Cleveland full timeout
6:12.0,,,97-89,,G. Hill enters the game for J. Clarkson
6:12.0,,,97-89,,J. Smith enters the game for L. Nance
6:12.0,,,97-89,,T. Thompson enters the game for K. Korver
5:54.0,,,97-91,2,L. James makes 2-pt shot from 1 ft
5:28.0,B. Beal makes 2-pt shot from 16 ft,2,99-91,,
5:05.0,,,99-93,2,L. James makes 2-pt shot from 1 ft
4:47.0,O. Porter makes 3-pt shot from 25 ft (assist by B. Beal),3,102-93,,
4:33.0,Personal foul by B. Beal (drawn by T. Thompson),,102-93,,
4:19.0,,,102-93,,Turnover by T. Thompson (lost ball; steal by I. Mahinmi)
4:14.0,J. Meeks misses 3-pt shot from 23 ft,,102-93,,
4:11.0,,,102-93,,Defensive rebound by T. Thompson
4:02.0,,,102-93,,J. Smith misses 3-pt shot from 24 ft
3:59.0,Defensive rebound by O. Porter,,102-93,,
3:44.0,Shooting foul by R. Hood (drawn by J. Meeks),,102-93,,
3:44.0,J. Meeks makes free throw 1 of 2,1,103-93,,
3:44.0,,,103-93,,K. Korver enters the game for T. Thompson
3:44.0,J. Meeks makes free throw 2 of 2,1,104-93,,
3:38.0,,,104-95,2,L. James makes 2-pt shot from 1 ft
3:18.0,B. Beal misses 2-pt shot from 1 ft,,104-95,,
3:16.0,,,104-95,,Defensive rebound by L. James
3:13.0,,,104-95,,Shooting foul by I. Mahinmi (drawn by L. James)
3:13.0,,,104-96,1,L. James makes free throw 1 of 2
3:13.0,M. Morris enters the game for I. Mahinmi,,104-96,,
3:13.0,,,104-97,1,L. James makes free throw 2 of 2
2:51.0,M. Morris misses 3-pt shot from 23 ft,,104-97,,
2:47.0,,,104-97,,Defensive rebound by L. James
2:41.0,,,104-97,,R. Hood misses 3-pt shot from 22 ft
2:39.0,Defensive rebound by M. Morris,,104-97,,
2:23.0,J. Meeks misses 3-pt shot from 26 ft,,104-97,,
2:20.0,,,104-97,,Defensive rebound by K. Korver
2:14.0,,,104-99,2,L. James makes 2-pt shot at rim (assist by K. Korver)
2:14.0,Washington full timeout,,104-99,,
2:14.0,T. Satoransky enters the game for J. Meeks,,104-99,,
1:55.0,B. Beal misses 2-pt shot from 11 ft,,104-99,,
1:52.0,,,104-99,,Defensive rebound by K. Korver
1:41.0,,,104-99,,L. James misses 3-pt shot from 24 ft
1:38.0,Defensive rebound by O. Porter,,104-99,,
1:19.0,Turnover by B. Beal (bad pass),,104-99,,
1:13.0,,,104-101,2,L. James makes 2-pt shot from 1 ft
0:59.0,K. Oubre misses 2-pt shot from 2 ft (block by J. Smith),,104-101,,
0:59.0,Offensive rebound by Team,,104-101,,
0:57.0,O. Porter makes 2-pt shot from 1 ft (assist by B. Beal),2,106-101,,
0:57.0,,,106-101,,Cleveland full timeout
0:51.0,,,106-103,2,L. James makes 2-pt shot at rim
0:28.0,B. Beal makes 2-pt shot at rim,2,108-103,,
0:20.0,,,108-103,,L. James misses 2-pt shot from 1 ft (block by M. Morris)
0:19.0,,,108-103,,Offensive rebound by L. James
0:17.0,,,108-103,,Shooting foul by T. Satoransky (drawn by L. James)
0:17.0,,,108-103,,L. James misses free throw 1 of 2
0:17.0,,,108-103,,Offensive rebound by Team
0:17.0,,,108-103,,L. James misses free throw 2 of 2
0:16.0,Defensive rebound by Team,,108-103,,
0:16.0,,,108-103,,Personal foul by R. Hood (drawn by B. Beal)
