time,Toronto,pts.away,score,pts.home,Cleveland
6:05.0,,,24-22,1,J. Green makes free throw 2 of 2
5:43.0,S. Ibaka makes 2-pt shot from 18 ft (assist by O. Anunoby),2,26-22,,
5:21.0,,,26-25,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
5:09.0,S. Ibaka misses 2-pt shot from 9 ft,,26-25,,
5:07.0,,,26-25,,Defensive rebound by K. Love
4:59.0,,,26-27,2,G. Hill makes 2-pt shot at rim
4:50.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,28-27,,
4:30.0,,,28-30,3,J. Green makes 3-pt shot from 26 ft (assist by K. Love)
4:10.0,K. Lowry misses 3-pt shot from 29 ft,,28-30,,
4:06.0,Offensive rebound by J. Valanciunas,,28-30,,
3:55.0,O. Anunoby makes 2-pt shot from 1 ft,2,30-30,,
3:46.0,,,30-33,3,J. Calderon makes 3-pt shot from 23 ft (assist by L. James)
3:32.0,D. DeRozan misses 3-pt shot from 25 ft,,30-33,,
3:30.0,,,30-33,,Defensive rebound by G. Hill
3:27.0,Personal block foul by O. Anunoby (drawn by G. Hill),,30-33,,
3:27.0,,,30-33,,A. Zizic enters the game for J. Green
3:27.0,,,30-33,,J. Smith enters the game for K. Love
3:27.0,J. Poeltl enters the game for J. Valanciunas,,30-33,,
3:27.0,P. Siakam enters the game for O. Anunoby,,30-33,,
3:11.0,,,30-36,3,J. Smith makes 3-pt shot from 23 ft (assist by L. James)
3:08.0,,,30-36,,Personal foul by J. Smith (drawn by K. Lowry)
3:08.0,Toronto full timeout,,30-36,,
3:08.0,,,30-36,,J. Clarkson enters the game for J. Calderon
3:08.0,F. VanVleet enters the game for S. Ibaka,,30-36,,
2:52.0,F. VanVleet makes 3-pt shot from 25 ft (assist by D. DeRozan),3,33-36,,
2:29.0,,,33-36,,L. James misses 2-pt shot from 4 ft
2:24.0,,,33-36,,Offensive rebound by L. James
2:24.0,,,33-38,2,L. James makes 2-pt shot at rim
2:12.0,F. VanVleet misses 3-pt shot from 23 ft,,33-38,,
2:09.0,,,33-38,,Defensive rebound by A. Zizic
1:56.0,,,33-38,,A. Zizic misses 2-pt shot from 7 ft
1:56.0,,,33-38,,Offensive rebound by Team
1:56.0,Loose ball foul by K. Lowry (drawn by L. James),,33-38,,
1:56.0,D. Wright enters the game for K. Lowry,,33-38,,
1:49.0,,,33-40,2,J. Clarkson makes 2-pt shot from 14 ft (assist by L. James)
1:33.0,F. VanVleet makes 3-pt shot from 23 ft (assist by D. Wright),3,36-40,,
1:19.0,,,36-42,2,A. Zizic makes 2-pt shot at rim (assist by J. Smith)
1:07.0,F. VanVleet misses 2-pt shot from 1 ft,,36-42,,
1:06.0,Offensive rebound by J. Poeltl,,36-42,,
1:05.0,J. Poeltl makes 2-pt shot at rim,2,38-42,,
0:53.0,,,38-42,,Turnover by G. Hill (traveling)
0:53.0,,,38-42,,J. Calderon enters the game for G. Hill
0:25.0,D. Wright misses 2-pt shot from 14 ft,,38-42,,
0:23.0,,,38-42,,Defensive rebound by L. James
0:02.0,,,38-42,,L. James misses 2-pt shot from 2 ft
0:01.0,Defensive rebound by Team,,38-42,,
0:01.0,,,38-42,,J. Green enters the game for L. James
0:00.0,P. Siakam misses 3-pt shot from 49 ft,,38-42,,
0:00.0,Offensive rebound by Team,,38-42,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,38-44,2,J. Clarkson makes 2-pt shot from 13 ft (assist by J. Calderon)
11:23.0,D. Wright makes 2-pt shot from 1 ft,2,40-44,,
11:08.0,Personal foul by N. Powell (drawn by J. Smith),,40-44,,
10:58.0,,,40-46,2,A. Zizic makes 2-pt shot from 9 ft (assist by J. Calderon)
10:34.0,Shooting foul by J. Smith (drawn by J. Poeltl),,40-46,,
10:34.0,J. Poeltl makes free throw 1 of 2,1,41-46,,
10:34.0,J. Poeltl misses free throw 2 of 2,,41-46,,
10:32.0,,,41-46,,Defensive rebound by J. Smith
10:25.0,,,41-46,,Turnover by J. Calderon (bad pass; steal by J. Poeltl)
10:17.0,D. Wright makes 2-pt shot from 1 ft,2,43-46,,
10:01.0,,,43-46,,Turnover by A. Zizic (lost ball; steal by F. VanVleet)
10:00.0,,,43-46,,Personal foul by J. Calderon (drawn by N. Powell)
10:00.0,,,43-46,,K. Love enters the game for A. Zizic
9:51.0,P. Siakam misses 2-pt shot from 9 ft,,43-46,,
9:49.0,,,43-46,,Defensive rebound by K. Love
9:43.0,,,43-46,,J. Clarkson misses 2-pt shot from 15 ft (block by D. Wright)
9:40.0,Defensive rebound by P. Siakam,,43-46,,
9:22.0,J. Poeltl misses 2-pt shot from 11 ft,,43-46,,
9:19.0,,,43-46,,Defensive rebound by K. Love
9:13.0,,,43-46,,Turnover by J. Smith (out of bounds lost ball)
9:00.0,F. VanVleet misses 2-pt shot from 2 ft,,43-46,,
8:57.0,Offensive rebound by J. Poeltl,,43-46,,
8:55.0,F. VanVleet makes 3-pt shot from 23 ft (assist by D. Wright),3,46-46,,
8:46.0,,,46-46,,Cleveland full timeout
8:40.0,,,46-46,,Shooting foul by P. Siakam (drawn by K. Love)
8:40.0,,,46-47,1,K. Love makes free throw 1 of 2
8:40.0,,,46-48,1,K. Love makes free throw 2 of 2
8:17.0,J. Poeltl makes 2-pt shot from 1 ft (assist by P. Siakam),2,48-48,,
8:01.0,,,48-48,,K. Love misses 2-pt shot from 16 ft
7:57.0,Defensive rebound by N. Powell,,48-48,,
7:52.0,P. Siakam makes 2-pt shot from 8 ft,2,50-48,,
7:30.0,,,50-48,,K. Love misses 2-pt shot from 12 ft (block by P. Siakam)
7:24.0,,,50-48,,Offensive rebound by J. Smith
7:23.0,,,50-48,,J. Green misses 3-pt shot from 26 ft
7:20.0,Defensive rebound by P. Siakam,,50-48,,
7:08.0,N. Powell misses 3-pt shot from 25 ft,,50-48,,
7:07.0,Offensive rebound by J. Poeltl,,50-48,,
7:07.0,J. Poeltl misses 2-pt shot at rim,,50-48,,
7:06.0,Offensive rebound by J. Poeltl,,50-48,,
7:06.0,J. Poeltl misses 2-pt shot at rim,,50-48,,
7:05.0,Offensive rebound by J. Poeltl,,50-48,,
7:04.0,J. Poeltl makes 2-pt shot at rim,2,52-48,,
6:41.0,,,52-51,3,J. Calderon makes 3-pt shot from 25 ft (assist by J. Clarkson)
6:25.0,,,52-51,,Personal foul by J. Green (drawn by N. Powell)
6:25.0,,,52-51,,G. Hill enters the game for J. Smith
6:25.0,,,52-51,,L. James enters the game for J. Calderon
6:25.0,K. Lowry enters the game for N. Powell,,52-51,,
6:19.0,D. Wright makes 3-pt shot from 26 ft,3,55-51,,
5:59.0,,,55-51,,J. Clarkson misses 2-pt shot from 1 ft (block by J. Poeltl)
5:59.0,,,55-51,,Offensive rebound by Team
5:59.0,,,55-51,,J. Holland enters the game for J. Green
5:50.0,,,55-51,,L. James misses 2-pt shot from 13 ft
5:48.0,Defensive rebound by K. Lowry,,55-51,,
5:48.0,,,55-51,,Personal block foul by L. James (drawn by P. Siakam)
5:48.0,,,55-51,,J. Green enters the game for K. Love
5:37.0,F. VanVleet makes 2-pt shot at rim,2,57-51,,
5:24.0,,,57-51,,Shooting foul by J. Poeltl (drawn by J. Green)
5:24.0,,,57-52,1,J. Green makes free throw 1 of 2
5:24.0,D. DeRozan enters the game for F. VanVleet,,57-52,,
5:24.0,,,57-53,1,J. Green makes free throw 2 of 2
5:04.0,P. Siakam makes 3-pt shot from 22 ft (assist by D. Wright),3,60-53,,
4:49.0,,,60-53,,L. James misses 2-pt shot from 8 ft
4:46.0,Defensive rebound by K. Lowry,,60-53,,
4:31.0,P. Siakam makes 2-pt shot from 10 ft,2,62-53,,
4:19.0,Personal foul by K. Lowry (drawn by G. Hill),,62-53,,
4:19.0,,,62-53,,J. Smith enters the game for J. Clarkson
4:06.0,,,62-53,,J. Green misses 2-pt shot from 11 ft
4:04.0,,,62-53,,Offensive rebound by J. Holland
4:01.0,,,62-55,2,J. Holland makes 2-pt shot from 1 ft
3:44.0,D. DeRozan misses 2-pt shot from 9 ft,,62-55,,
3:40.0,Offensive rebound by D. DeRozan,,62-55,,
3:39.0,D. DeRozan makes 2-pt shot from 2 ft,2,64-55,,
3:27.0,,,64-55,,L. James misses 2-pt shot from 2 ft
3:26.0,Defensive rebound by J. Poeltl,,64-55,,
3:19.0,P. Siakam misses 2-pt shot from 1 ft,,64-55,,
3:18.0,Offensive rebound by J. Poeltl,,64-55,,
3:18.0,J. Poeltl misses 2-pt shot from 1 ft,,64-55,,
3:17.0,,,64-55,,Defensive rebound by L. James
3:11.0,,,64-57,2,L. James makes 2-pt shot from 1 ft
3:09.0,Toronto full timeout,,64-57,,
3:09.0,,,64-57,,A. Zizic enters the game for J. Green
3:09.0,S. Ibaka enters the game for J. Poeltl,,64-57,,
3:09.0,J. Valanciunas enters the game for P. Siakam,,64-57,,
2:51.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,66-57,,
2:35.0,,,66-57,,G. Hill misses 2-pt shot from 16 ft
2:35.0,Defensive rebound by J. Valanciunas,,66-57,,
2:22.0,D. DeRozan misses 2-pt shot from 7 ft (block by G. Hill),,66-57,,
2:22.0,Offensive rebound by Team,,66-57,,
2:22.0,F. VanVleet enters the game for D. Wright,,66-57,,
2:18.0,K. Lowry makes 3-pt shot from 30 ft (assist by F. VanVleet),3,69-57,,
1:54.0,,,69-59,2,L. James makes 2-pt shot from 1 ft
1:43.0,K. Lowry makes 3-pt shot from 25 ft,3,72-59,,
1:30.0,,,72-61,2,G. Hill makes 2-pt shot from 11 ft
1:17.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by F. VanVleet),2,74-61,,
1:02.0,Personal foul by S. Ibaka (drawn by L. James),,74-61,,
1:02.0,,,74-62,1,L. James makes free throw 1 of 2
1:02.0,,,74-62,,J. Clarkson enters the game for J. Smith
1:02.0,,,74-62,,K. Love enters the game for A. Zizic
1:02.0,,,74-63,1,L. James makes free throw 2 of 2
0:50.0,K. Lowry misses 3-pt shot from 25 ft,,74-63,,
0:47.0,,,74-63,,Defensive rebound by L. James
0:41.0,Personal foul by K. Lowry (drawn by J. Holland),,74-63,,
0:41.0,,,74-63,,J. Holland misses free throw 1 of 2
0:41.0,,,74-63,,Offensive rebound by Team
0:41.0,D. Wright enters the game for K. Lowry,,74-63,,
0:41.0,,,74-64,1,J. Holland makes free throw 2 of 2
0:33.0,D. DeRozan makes 2-pt shot from 10 ft,2,76-64,,
0:13.0,,,76-64,,J. Clarkson misses 3-pt shot from 25 ft
0:09.0,Defensive rebound by S. Ibaka,,76-64,,
0:00.0,F. VanVleet makes 3-pt shot from 23 ft (assist by D. DeRozan),3,79-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,79-66,2,G. Hill makes 2-pt shot at rim (assist by K. Love)
11:26.0,O. Anunoby misses 2-pt shot from 1 ft,,79-66,,
11:24.0,,,79-66,,Defensive rebound by K. Love
11:19.0,,,79-69,3,J. Calderon makes 3-pt shot from 24 ft (assist by L. James)
11:07.0,Shooting foul by G. Hill (drawn by J. Valanciunas),,79-69,,
11:07.0,J. Valanciunas makes free throw 1 of 2,1,80-69,,
11:07.0,J. Valanciunas makes free throw 2 of 2,1,81-69,,
11:00.0,,,81-69,,L. James misses 3-pt shot from 25 ft
10:58.0,Defensive rebound by J. Valanciunas,,81-69,,
10:45.0,S. Ibaka misses 3-pt shot from 23 ft,,81-69,,
10:42.0,,,81-69,,Defensive rebound by L. James
10:37.0,,,81-71,2,L. James makes 2-pt shot from 1 ft
10:31.0,K. Lowry misses 3-pt shot from 25 ft,,81-71,,
10:27.0,,,81-71,,Defensive rebound by G. Hill
10:14.0,,,81-71,,K. Love misses 2-pt shot from 6 ft
10:11.0,Defensive rebound by S. Ibaka,,81-71,,
9:56.0,S. Ibaka misses 2-pt shot from 1 ft,,81-71,,
9:53.0,,,81-71,,Defensive rebound by K. Love
9:39.0,,,81-73,2,G. Hill makes 2-pt shot from 6 ft
9:13.0,Turnover by Team (shot clock),,81-73,,
8:59.0,,,81-73,,K. Love misses 2-pt shot from 2 ft
8:56.0,Defensive rebound by J. Valanciunas,,81-73,,
8:41.0,O. Anunoby misses 2-pt shot at rim,,81-73,,
8:39.0,,,81-73,,Defensive rebound by K. Love
8:38.0,Personal foul by D. DeRozan (drawn by L. James),,81-73,,
8:25.0,,,81-73,,J. Green misses 2-pt shot from 1 ft
8:23.0,Defensive rebound by K. Lowry,,81-73,,
8:17.0,,,81-73,,Shooting block foul by J. Calderon (drawn by D. DeRozan)
8:17.0,D. DeRozan makes free throw 1 of 2,1,82-73,,
8:17.0,D. DeRozan makes free throw 2 of 2,1,83-73,,
8:01.0,,,83-73,,J. Green misses 2-pt shot from 1 ft
7:59.0,Defensive rebound by J. Valanciunas,,83-73,,
7:56.0,Shooting foul by G. Hill (drawn by K. Lowry),,83-73,,
7:56.0,K. Lowry makes free throw 1 of 2,1,84-73,,
7:56.0,K. Lowry makes free throw 2 of 2,1,85-73,,
7:56.0,,,85-73,,Cleveland full timeout
7:49.0,Personal foul by S. Ibaka (drawn by K. Love),,85-73,,
7:37.0,,,85-73,,Turnover by K. Love (bad pass)
7:25.0,D. DeRozan misses 2-pt shot from 16 ft,,85-73,,
7:20.0,Offensive rebound by J. Valanciunas,,85-73,,
7:18.0,K. Lowry makes 3-pt shot from 25 ft (assist by J. Valanciunas),3,88-73,,
7:04.0,,,88-75,2,J. Calderon makes 2-pt shot from 17 ft
6:46.0,Turnover by O. Anunoby (bad pass; steal by L. James),,88-75,,
6:41.0,,,88-75,,L. James misses 2-pt shot from 1 ft
6:38.0,Defensive rebound by J. Valanciunas,,88-75,,
6:32.0,S. Ibaka makes 2-pt shot at rim (assist by K. Lowry),2,90-75,,
6:12.0,,,90-78,3,G. Hill makes 3-pt shot from 23 ft (assist by K. Love)
5:53.0,D. DeRozan misses 3-pt shot from 25 ft,,90-78,,
5:50.0,,,90-78,,Defensive rebound by J. Calderon
5:44.0,,,90-78,,K. Love misses 2-pt shot from 2 ft (block by J. Valanciunas)
5:40.0,,,90-78,,Offensive rebound by K. Love
5:39.0,,,90-80,2,K. Love makes 2-pt shot at rim
5:21.0,K. Lowry makes 3-pt shot from 24 ft (assist by S. Ibaka),3,93-80,,
5:07.0,Personal foul by O. Anunoby (drawn by L. James),,93-80,,
5:07.0,J. Poeltl enters the game for J. Valanciunas,,93-80,,
5:07.0,F. VanVleet enters the game for O. Anunoby,,93-80,,
4:55.0,,,93-83,3,K. Love makes 3-pt shot from 22 ft (assist by L. James)
4:39.0,F. VanVleet misses 3-pt shot from 23 ft,,93-83,,
4:36.0,,,93-83,,Defensive rebound by J. Green
4:29.0,,,93-83,,K. Love misses 3-pt shot from 24 ft
4:27.0,Defensive rebound by D. DeRozan,,93-83,,
4:13.0,S. Ibaka misses 3-pt shot from 25 ft,,93-83,,
4:11.0,,,93-83,,Defensive rebound by Team
4:11.0,,,93-83,,J. Clarkson enters the game for J. Calderon
3:50.0,,,93-83,,Shooting foul by S. Ibaka (drawn by L. James)
3:50.0,,,93-84,1,L. James makes free throw 1 of 2
3:50.0,,,93-84,,A. Zizic enters the game for K. Love
3:50.0,,,93-85,1,L. James makes free throw 2 of 2
3:40.0,S. Ibaka misses 3-pt shot from 27 ft,,93-85,,
3:36.0,,,93-85,,Defensive rebound by J. Green
3:33.0,,,93-85,,Shooting foul by D. DeRozan (drawn by J. Green)
3:33.0,,,93-86,1,J. Green makes free throw 1 of 2
3:33.0,P. Siakam enters the game for S. Ibaka,,93-86,,
3:33.0,,,93-86,,J. Green misses free throw 2 of 2
3:30.0,Defensive rebound by K. Lowry,,93-86,,
3:17.0,Offensive charge foul by J. Poeltl (drawn by L. James),,93-86,,
3:17.0,Turnover by J. Poeltl (offensive foul),,93-86,,
3:17.0,,,93-86,,J. Smith enters the game for J. Green
3:03.0,,,93-88,2,L. James makes 2-pt shot at rim
2:46.0,J. Poeltl makes 2-pt shot from 7 ft (assist by F. VanVleet),2,95-88,,
2:31.0,,,95-88,,Offensive charge foul by J. Clarkson (drawn by K. Lowry)
2:31.0,,,95-88,,Turnover by J. Clarkson (offensive foul)
2:31.0,Toronto full timeout,,95-88,,
2:31.0,D. Wright enters the game for K. Lowry,,95-88,,
2:14.0,Turnover by D. DeRozan (lost ball; steal by G. Hill),,95-88,,
2:06.0,,,95-88,,Shooting foul by D. DeRozan (drawn by A. Zizic)
2:06.0,,,95-89,1,A. Zizic makes free throw 1 of 2
2:06.0,,,95-90,1,A. Zizic makes free throw 2 of 2
1:54.0,D. Wright misses 3-pt shot from 27 ft,,95-90,,
1:50.0,,,95-90,,Defensive rebound by G. Hill
1:45.0,,,95-92,2,G. Hill makes 2-pt shot from 8 ft
1:30.0,J. Poeltl makes 2-pt shot from 1 ft (assist by P. Siakam),2,97-92,,
1:14.0,,,97-92,,J. Clarkson misses 3-pt shot from 25 ft
1:11.0,Defensive rebound by D. Wright,,97-92,,
1:00.0,Shooting foul by G. Hill (drawn by D. DeRozan),,97-92,,
1:00.0,D. DeRozan makes free throw 1 of 2,1,98-92,,
1:00.0,,,98-92,,J. Calderon enters the game for G. Hill
1:00.0,D. DeRozan makes free throw 2 of 2,1,99-92,,
0:47.0,,,99-95,3,J. Calderon makes 3-pt shot from 25 ft (assist by L. James)
0:25.0,F. VanVleet misses 3-pt shot from 23 ft,,99-95,,
0:22.0,,,99-95,,Defensive rebound by J. Smith
0:19.0,,,99-98,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
0:01.0,D. DeRozan misses 2-pt shot from 17 ft,,99-98,,
0:00.0,Offensive rebound by J. Poeltl,,99-98,,
0:00.0,J. Poeltl misses 2-pt shot at rim,,99-98,,
0:00.0,Offensive rebound by Team,,99-98,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,P. Siakam misses 3-pt shot from 23 ft,,99-98,,
11:32.0,,,99-98,,Defensive rebound by J. Smith
11:19.0,,,99-98,,J. Smith misses 3-pt shot from 25 ft
11:16.0,Defensive rebound by F. VanVleet,,99-98,,
11:08.0,J. Poeltl makes 2-pt shot at rim (assist by P. Siakam),2,101-98,,
10:49.0,,,101-100,2,J. Green makes 2-pt shot from 17 ft
10:29.0,P. Siakam misses 2-pt shot from 5 ft (block by J. Smith),,101-100,,
10:25.0,,,101-100,,Defensive rebound by J. Smith
10:21.0,,,101-100,,J. Clarkson misses 2-pt shot from 9 ft
10:19.0,Defensive rebound by D. Wright,,101-100,,
10:06.0,N. Powell makes 2-pt shot from 1 ft (assist by P. Siakam),2,103-100,,
9:44.0,,,103-100,,Turnover by J. Green (lost ball; steal by F. VanVleet)
9:43.0,Turnover by N. Powell (out of bounds lost ball),,103-100,,
9:24.0,,,103-100,,J. Calderon misses 2-pt shot from 10 ft (block by D. Wright)
9:24.0,,,103-100,,Offensive rebound by Team
9:17.0,,,103-100,,J. Green misses 3-pt shot from 30 ft
9:17.0,,,103-100,,Offensive rebound by Team
9:17.0,,,103-100,,Turnover by Team (shot clock)
9:00.0,Shooting foul by J. Green (drawn by D. Wright),,103-100,,
9:00.0,D. Wright makes free throw 1 of 2,1,104-100,,
9:00.0,,,104-100,,L. James enters the game for J. Calderon
9:00.0,D. Wright makes free throw 2 of 2,1,105-100,,
8:42.0,,,105-102,2,J. Smith makes 2-pt shot from 20 ft
8:17.0,N. Powell makes 2-pt shot from 1 ft (assist by D. Wright),2,107-102,,
8:07.0,,,107-105,3,L. James makes 3-pt shot from 25 ft
7:47.0,,,107-105,,K. Love enters the game for A. Zizic
7:42.0,F. VanVleet makes 2-pt shot from 6 ft (assist by D. Wright),2,109-105,,
7:33.0,,,109-107,2,J. Smith makes 2-pt shot from 19 ft (assist by L. James)
7:21.0,,,109-107,,Personal foul by J. Clarkson (drawn by J. Poeltl)
7:21.0,,,109-107,,G. Hill enters the game for J. Clarkson
7:21.0,K. Lowry enters the game for N. Powell,,109-107,,
7:09.0,D. Wright makes 3-pt shot from 22 ft (assist by K. Lowry),3,112-107,,
6:48.0,,,112-110,3,J. Green makes 3-pt shot from 26 ft (assist by L. James)
6:26.0,F. VanVleet misses 3-pt shot from 28 ft,,112-110,,
6:21.0,,,112-110,,Defensive rebound by K. Love
6:01.0,,,112-112,2,L. James makes 2-pt shot from 1 ft
6:01.0,Toronto full timeout,,112-112,,
6:01.0,D. DeRozan enters the game for D. Wright,,112-112,,
5:47.0,K. Lowry makes 2-pt shot from 16 ft (assist by J. Poeltl),2,114-112,,
5:24.0,,,114-115,3,G. Hill makes 3-pt shot from 22 ft (assist by L. James)
5:11.0,J. Poeltl makes 2-pt shot at rim (assist by F. VanVleet),2,116-115,,
4:50.0,,,116-117,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
4:25.0,J. Poeltl makes 2-pt shot from 1 ft (assist by F. VanVleet),2,118-117,,
4:05.0,,,118-117,,Turnover by G. Hill (lost ball; steal by F. VanVleet)
3:50.0,F. VanVleet misses 3-pt shot from 23 ft,,118-117,,
3:46.0,,,118-117,,Defensive rebound by K. Love
3:38.0,,,118-119,2,L. James makes 2-pt shot from 1 ft
3:32.0,Toronto full timeout,,118-119,,
3:32.0,,,118-119,,Cleveland full timeout
3:26.0,Turnover by J. Poeltl (bad pass),,118-119,,
3:11.0,,,118-121,2,G. Hill makes 2-pt shot from 1 ft
2:56.0,D. DeRozan misses 2-pt shot from 2 ft (block by J. Green),,118-121,,
2:52.0,,,118-121,,Defensive rebound by K. Love
2:51.0,,,118-121,,Shooting foul by F. VanVleet (drawn by L. James)
2:51.0,,,118-122,1,L. James makes free throw 1 of 2
2:51.0,,,118-123,1,L. James makes free throw 2 of 2
2:44.0,Shooting foul by J. Green (drawn by D. DeRozan),,118-123,,
2:44.0,D. DeRozan makes free throw 1 of 2,1,119-123,,
2:44.0,S. Ibaka enters the game for J. Poeltl,,119-123,,
2:44.0,J. Valanciunas enters the game for P. Siakam,,119-123,,
2:44.0,D. DeRozan makes free throw 2 of 2,1,120-123,,
2:27.0,,,120-123,,Shooting foul by S. Ibaka (drawn by L. James)
2:27.0,,,120-123,,L. James misses free throw 1 of 3
2:27.0,,,120-123,,Offensive rebound by Team
2:27.0,,,120-124,1,L. James makes free throw 2 of 3
2:27.0,,,120-125,1,L. James makes free throw 3 of 3
2:05.0,S. Ibaka misses 3-pt shot from 29 ft,,120-125,,
2:01.0,,,120-125,,Defensive rebound by L. James
1:40.0,,,120-125,,J. Smith misses 2-pt shot from 18 ft
1:38.0,Defensive rebound by D. DeRozan,,120-125,,
1:25.0,Shooting foul by J. Green (drawn by K. Lowry),,120-125,,
1:25.0,K. Lowry makes free throw 1 of 2,1,121-125,,
1:25.0,P. Siakam enters the game for J. Valanciunas,,121-125,,
1:25.0,K. Lowry makes free throw 2 of 2,1,122-125,,
1:02.0,,,122-125,,L. James misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by S. Ibaka,,122-125,,
0:53.0,P. Siakam makes 2-pt shot from 1 ft (assist by D. DeRozan),2,124-125,,
0:38.0,Personal foul by F. VanVleet (drawn by G. Hill),,124-125,,
0:27.0,,,124-128,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
0:27.0,Toronto full timeout,,124-128,,
0:27.0,J. Valanciunas enters the game for P. Siakam,,124-128,,
0:22.0,,,124-128,,Personal foul by L. James (drawn by D. DeRozan)
0:22.0,D. DeRozan makes free throw 1 of 2,1,125-128,,
0:22.0,P. Siakam enters the game for J. Valanciunas,,125-128,,
0:22.0,D. DeRozan makes free throw 2 of 2,1,126-128,,
0:22.0,,,126-128,,Cleveland full timeout
0:22.0,,,126-128,,J. Clarkson enters the game for J. Smith
0:15.0,Personal foul by P. Siakam (drawn by K. Love),,126-128,,
0:15.0,,,126-128,,K. Love misses free throw 1 of 2
0:15.0,,,126-128,,Offensive rebound by Team
0:15.0,,,126-128,,J. Smith enters the game for J. Clarkson
0:15.0,J. Valanciunas enters the game for P. Siakam,,126-128,,
0:15.0,,,126-129,1,K. Love makes free throw 2 of 2
0:15.0,Toronto full timeout,,126-129,,
0:10.0,D. DeRozan makes 2-pt shot from 15 ft (assist by K. Lowry),2,128-129,,
0:07.0,Personal foul by K. Lowry (drawn by L. James),,128-129,,
0:07.0,,,128-130,1,L. James makes free throw 1 of 2
0:07.0,,,128-131,1,L. James makes free throw 2 of 2
0:07.0,,,128-131,,Personal foul by G. Hill (drawn by D. DeRozan)
