time,Denver,pts.away,score,pts.home,Chicago
8:44.0,,,50-33,2,J. Grant makes 2-pt shot from 12 ft (assist by B. Portis)
8:30.0,,,50-33,,Personal foul by A. Blakeney (drawn by N. Jokic)
8:17.0,T. Lyles misses 3-pt shot from 25 ft,,50-33,,
8:11.0,Offensive rebound by T. Craig,,50-33,,
8:09.0,T. Craig misses 2-pt shot from 3 ft (block by N. Vonleh),,50-33,,
8:09.0,,,50-33,,Defensive rebound by N. Vonleh
8:00.0,,,50-35,2,D. Nwaba makes 2-pt shot from 2 ft (assist by N. Vonleh)
7:54.0,Shooting foul by D. Nwaba (drawn by T. Craig),,50-35,,
7:54.0,T. Craig makes free throw 1 of 2,1,51-35,,
7:54.0,,,51-35,,D. Valentine enters the game for D. Nwaba
7:54.0,T. Craig misses free throw 2 of 2,,51-35,,
7:51.0,,,51-35,,Defensive rebound by B. Portis
7:41.0,W. Barton enters the game for N. Jokic,,51-35,,
7:41.0,M. Plumlee enters the game for J. Murray,,51-35,,
7:35.0,,,51-37,2,J. Grant makes 2-pt shot from 16 ft
7:20.0,W. Barton makes 2-pt shot from 22 ft,2,53-37,,
7:10.0,,,53-37,,J. Grant misses 2-pt shot from 11 ft
7:10.0,,,53-37,,Offensive rebound by B. Portis
7:04.0,,,53-37,,B. Portis misses 2-pt shot from 1 ft
7:02.0,Defensive rebound by T. Lyles,,53-37,,
6:56.0,,,53-37,,J. Holiday enters the game for J. Grant
6:56.0,,,53-37,,C. Payne enters the game for A. Blakeney
6:56.0,P. Millsap enters the game for T. Lyles,,53-37,,
6:56.0,W. Chandler enters the game for T. Craig,,53-37,,
6:48.0,D. Harris makes 3-pt shot from 25 ft,3,56-37,,
6:34.0,,,56-37,,Shooting foul by P. Millsap (drawn by B. Portis)
6:34.0,,,56-38,1,B. Portis makes free throw 1 of 2
6:34.0,,,56-38,,P. Zipser enters the game for N. Vonleh
6:34.0,,,56-39,1,B. Portis makes free throw 2 of 2
6:22.0,Turnover by D. Harris (lost ball; steal by C. Payne),,56-39,,
6:22.0,Personal foul by D. Harris (drawn by C. Payne),,56-39,,
6:22.0,,,56-39,,C. Felicio enters the game for B. Portis
6:07.0,,,56-39,,D. Valentine misses 2-pt shot from 6 ft
6:04.0,Defensive rebound by D. Harris,,56-39,,
5:57.0,,,56-39,,Personal foul by C. Payne (drawn by P. Millsap)
5:57.0,P. Millsap makes free throw 1 of 2,1,57-39,,
5:57.0,P. Millsap misses free throw 2 of 2,,57-39,,
5:53.0,Offensive rebound by W. Chandler,,57-39,,
5:52.0,W. Chandler makes 2-pt shot from 1 ft,2,59-39,,
5:52.0,,,59-39,,Chicago full timeout
5:43.0,,,59-39,,J. Holiday misses 3-pt shot from 25 ft
5:39.0,Defensive rebound by W. Barton,,59-39,,
5:27.0,D. Harris makes 2-pt shot from 1 ft (assist by W. Barton),2,61-39,,
5:27.0,Shooting foul by C. Payne (drawn by D. Harris),,61-39,,
5:27.0,,,61-39,,J. Grant enters the game for C. Payne
5:27.0,D. Harris makes free throw 1 of 1,1,62-39,,
5:11.0,,,62-39,,Turnover by J. Holiday (bad pass; steal by P. Millsap)
5:06.0,W. Barton makes 2-pt shot from 1 ft (assist by P. Millsap),2,64-39,,
4:58.0,,,64-39,,D. Valentine misses 3-pt shot from 25 ft
4:55.0,Defensive rebound by M. Plumlee,,64-39,,
4:48.0,Turnover by P. Millsap (bad pass; steal by D. Valentine),,64-39,,
4:46.0,,,64-39,,Shooting foul by W. Chandler (drawn by D. Valentine)
4:46.0,,,64-39,,D. Valentine misses free throw 1 of 2
4:46.0,,,64-39,,Offensive rebound by Team
4:46.0,N. Jokic enters the game for M. Plumlee,,64-39,,
4:46.0,J. Murray enters the game for D. Harris,,64-39,,
4:46.0,,,64-39,,D. Valentine misses free throw 2 of 2
4:43.0,Defensive rebound by N. Jokic,,64-39,,
4:27.0,Turnover by W. Chandler (bad pass; steal by J. Grant),,64-39,,
4:22.0,,,64-41,2,C. Felicio makes 2-pt shot at rim (assist by J. Grant)
4:10.0,Turnover by J. Murray (bad pass; steal by D. Valentine),,64-41,,
4:04.0,,,64-41,,J. Holiday misses 3-pt shot from 25 ft
4:01.0,Defensive rebound by P. Millsap,,64-41,,
3:50.0,Turnover by J. Murray (traveling),,64-41,,
3:40.0,,,64-41,,Turnover by D. Valentine (traveling)
3:35.0,Turnover by N. Jokic (bad pass; steal by D. Valentine),,64-41,,
3:30.0,,,64-41,,P. Zipser misses 3-pt shot from 23 ft
3:27.0,Defensive rebound by P. Millsap,,64-41,,
3:07.0,N. Jokic misses 2-pt shot from 11 ft,,64-41,,
3:07.0,Offensive rebound by Team,,64-41,,
3:07.0,,,64-41,,Loose ball foul by J. Holiday (drawn by W. Chandler)
3:07.0,W. Chandler makes free throw 1 of 2,1,65-41,,
3:07.0,W. Chandler makes free throw 2 of 2,1,66-41,,
2:55.0,,,66-44,3,D. Valentine makes 3-pt shot from 23 ft (assist by J. Grant)
2:44.0,W. Barton makes 2-pt shot from 1 ft,2,68-44,,
2:29.0,,,68-44,,P. Zipser misses 2-pt shot from 2 ft (block by P. Millsap)
2:29.0,,,68-44,,Offensive rebound by Team
2:26.0,,,68-44,,D. Valentine misses 3-pt shot from 22 ft
2:24.0,Defensive rebound by P. Millsap,,68-44,,
2:15.0,N. Jokic misses 2-pt shot from 15 ft,,68-44,,
2:12.0,,,68-44,,Defensive rebound by J. Holiday
2:06.0,,,68-44,,Turnover by J. Grant (bad pass; steal by P. Millsap)
2:00.0,N. Jokic makes 3-pt shot from 25 ft (assist by W. Barton),3,71-44,,
1:33.0,,,71-44,,Turnover by C. Felicio (lost ball; steal by P. Millsap)
