time,San Antonio,pts.away,score,pts.home,Brooklyn
7:54.0,L. Aldridge misses 3-pt shot from 25 ft,,9-10,,
7:50.0,,,9-10,,Defensive rebound by D. Carroll
7:37.0,,,9-12,2,T. Zeller makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
7:37.0,San Antonio full timeout,,9-12,,
7:37.0,,,9-12,,Q. Acy enters the game for R. Hollis-Jefferson
7:19.0,Turnover by L. Aldridge (bad pass; steal by S. Dinwiddie),,9-12,,
7:15.0,,,9-14,2,A. Crabbe makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
6:55.0,T. Parker makes 2-pt shot from 14 ft (assist by K. Anderson),2,11-14,,
6:38.0,,,11-16,2,D. Carroll makes 2-pt shot from 4 ft
6:26.0,T. Parker misses 2-pt shot from 13 ft,,11-16,,
6:25.0,Offensive rebound by L. Aldridge,,11-16,,
6:25.0,,,11-16,,Loose ball foul by Q. Acy (drawn by L. Aldridge)
6:25.0,B. Forbes enters the game for D. Green,,11-16,,
6:10.0,K. Anderson misses 2-pt shot from 6 ft,,11-16,,
6:07.0,,,11-16,,Defensive rebound by T. Zeller
5:53.0,,,11-19,3,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Carroll)
5:29.0,T. Parker makes 2-pt shot from 1 ft (assist by P. Gasol),2,13-19,,
5:29.0,,,13-19,,Shooting block foul by A. Crabbe (drawn by T. Parker)
5:29.0,,,13-19,,J. Harris enters the game for A. Crabbe
5:29.0,P. Mills enters the game for K. Anderson,,13-19,,
5:29.0,D. Bertans enters the game for P. Gasol,,13-19,,
5:29.0,T. Parker makes free throw 1 of 1,1,14-19,,
5:14.0,,,14-19,,T. Zeller misses 2-pt shot from 5 ft
5:12.0,Defensive rebound by L. Aldridge,,14-19,,
5:04.0,T. Parker misses 2-pt shot from 7 ft,,14-19,,
5:02.0,,,14-19,,Defensive rebound by S. Dinwiddie
4:57.0,Violation by T. Parker (kicked ball),,14-19,,
4:57.0,,,14-19,,J. Allen enters the game for T. Zeller
4:57.0,D. Murray enters the game for T. Parker,,14-19,,
4:50.0,,,14-21,2,J. Allen makes 2-pt shot at rim (assist by S. Dinwiddie)
4:33.0,Shooting foul by Q. Acy (drawn by L. Aldridge),,14-21,,
4:33.0,L. Aldridge makes free throw 1 of 2,1,15-21,,
4:33.0,,,15-21,,C. LeVert enters the game for S. Dinwiddie
4:33.0,L. Aldridge makes free throw 2 of 2,1,16-21,,
4:14.0,,,16-21,,D. Carroll misses 2-pt shot from 3 ft
4:13.0,Defensive rebound by Team,,16-21,,
3:56.0,P. Mills makes 3-pt shot from 23 ft (assist by L. Aldridge),3,19-21,,
3:41.0,,,19-21,,J. Harris misses 2-pt shot from 4 ft (block by L. Aldridge)
3:38.0,Defensive rebound by L. Aldridge,,19-21,,
3:34.0,P. Mills makes 3-pt shot from 24 ft,3,22-21,,
3:34.0,,,22-21,,Brooklyn full timeout
3:34.0,,,22-21,,A. Crabbe enters the game for D. Carroll
3:18.0,,,22-24,3,C. LeVert makes 3-pt shot from 25 ft (assist by A. Crabbe)
3:01.0,B. Forbes makes 2-pt shot from 6 ft (assist by D. Murray),2,24-24,,
2:50.0,,,24-24,,J. Allen misses 2-pt shot from 11 ft
2:48.0,Defensive rebound by D. Murray,,24-24,,
2:44.0,D. Bertans misses 3-pt shot from 26 ft,,24-24,,
2:39.0,,,24-24,,Defensive rebound by Q. Acy
2:31.0,,,24-24,,Q. Acy misses 3-pt shot from 24 ft
2:27.0,Defensive rebound by B. Forbes,,24-24,,
2:20.0,B. Forbes makes 2-pt shot from 17 ft (assist by L. Aldridge),2,26-24,,
2:04.0,Personal foul by B. Forbes (drawn by A. Crabbe),,26-24,,
2:04.0,P. Gasol enters the game for L. Aldridge,,26-24,,
2:02.0,Personal foul by D. Murray (drawn by C. LeVert),,26-24,,
1:51.0,,,26-24,,Turnover by C. LeVert (bad pass; steal by P. Mills)
1:44.0,D. Bertans makes 2-pt shot from 3 ft (assist by P. Mills),2,28-24,,
1:21.0,,,28-24,,C. LeVert misses 3-pt shot from 26 ft
1:19.0,Defensive rebound by Team,,28-24,,
1:19.0,,,28-24,,Loose ball foul by J. Allen (drawn by P. Gasol)
1:19.0,P. Gasol makes free throw 1 of 2,1,29-24,,
1:19.0,P. Gasol misses free throw 2 of 2,,29-24,,
1:17.0,,,29-24,,Defensive rebound by J. Allen
0:56.0,,,29-24,,J. Harris misses 3-pt shot from 25 ft
0:53.0,Defensive rebound by P. Gasol,,29-24,,
0:45.0,B. Forbes misses 2-pt shot from 13 ft,,29-24,,
0:42.0,,,29-24,,Defensive rebound by A. Crabbe
0:34.0,,,29-24,,Turnover by A. Crabbe (bad pass; steal by P. Mills)
0:14.0,P. Gasol misses 2-pt shot from 6 ft,,29-24,,
0:12.0,,,29-24,,Defensive rebound by J. Allen
0:10.0,,,29-26,2,J. Harris makes 2-pt shot from 1 ft (assist by A. Crabbe)
0:02.0,D. Murray makes 2-pt shot from 8 ft,2,31-26,,
0:01.0,,,31-26,,Turnover by J. Allen (bad pass; steal by D. Murray)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,31-26,,Q. Acy misses 3-pt shot from 24 ft
11:32.0,Defensive rebound by D. Murray,,31-26,,
11:20.0,P. Mills makes 3-pt shot from 26 ft (assist by P. Gasol),3,34-26,,
11:09.0,Personal foul by D. Bertans (drawn by J. Harris),,34-26,,
10:56.0,,,34-28,2,J. Harris makes 2-pt shot from 8 ft (assist by C. LeVert)
10:42.0,D. Murray misses 2-pt shot from 1 ft,,34-28,,
10:39.0,,,34-28,,Defensive rebound by J. Okafor
10:30.0,,,34-30,2,A. Crabbe makes 2-pt shot from 7 ft
10:16.0,B. Forbes misses 2-pt shot from 19 ft,,34-30,,
10:13.0,,,34-30,,Defensive rebound by Q. Acy
10:00.0,,,34-33,3,J. Harris makes 3-pt shot from 26 ft (assist by J. Okafor)
9:44.0,Shooting foul by J. Okafor (drawn by P. Gasol),,34-33,,
9:44.0,P. Gasol misses free throw 1 of 2,,34-33,,
9:44.0,Offensive rebound by Team,,34-33,,
9:44.0,T. Parker enters the game for D. Murray,,34-33,,
9:44.0,D. Green enters the game for P. Mills,,34-33,,
9:44.0,P. Gasol makes free throw 2 of 2,1,35-33,,
9:32.0,,,35-33,,C. LeVert misses 2-pt shot from 3 ft
9:30.0,Defensive rebound by T. Parker,,35-33,,
9:25.0,T. Parker misses 2-pt shot from 2 ft,,35-33,,
9:23.0,,,35-33,,Defensive rebound by C. LeVert
9:18.0,,,35-33,,J. Harris misses 3-pt shot from 22 ft
9:16.0,,,35-33,,Offensive rebound by Q. Acy
9:09.0,,,35-33,,C. LeVert misses 3-pt shot from 25 ft
9:06.0,Defensive rebound by P. Gasol,,35-33,,
8:50.0,B. Forbes misses 2-pt shot from 11 ft,,35-33,,
8:47.0,,,35-33,,Defensive rebound by A. Crabbe
8:39.0,,,35-33,,Turnover by Q. Acy (bad pass; steal by D. Green)
8:33.0,D. Green misses 3-pt shot from 25 ft,,35-33,,
8:30.0,,,35-33,,Defensive rebound by A. Crabbe
8:16.0,,,35-35,2,J. Harris makes 2-pt shot from 2 ft (assist by C. LeVert)
8:15.0,San Antonio full timeout,,35-35,,
8:15.0,,,35-35,,R. Hollis-Jefferson enters the game for Q. Acy
8:15.0,L. Aldridge enters the game for B. Forbes,,35-35,,
8:15.0,K. Anderson enters the game for D. Bertans,,35-35,,
8:06.0,T. Parker makes 2-pt shot from 4 ft (assist by P. Gasol),2,37-35,,
8:06.0,,,37-35,,Shooting block foul by J. Okafor (drawn by T. Parker)
8:06.0,T. Parker makes free throw 1 of 1,1,38-35,,
7:52.0,,,38-37,2,J. Okafor makes 2-pt shot from 6 ft
7:35.0,T. Parker misses 2-pt shot from 12 ft,,38-37,,
7:33.0,,,38-37,,Defensive rebound by A. Crabbe
7:27.0,,,38-37,,Turnover by R. Hollis-Jefferson (out of bounds lost ball)
7:27.0,,,38-37,,S. Dinwiddie enters the game for A. Crabbe
7:27.0,J. Lauvergne enters the game for P. Gasol,,38-37,,
7:03.0,D. Green misses 2-pt shot from 12 ft,,38-37,,
7:01.0,,,38-37,,Defensive rebound by J. Okafor
6:58.0,,,38-37,,J. Okafor misses 2-pt shot from 2 ft (block by K. Anderson)
6:58.0,Defensive rebound by Team,,38-37,,
6:41.0,L. Aldridge makes 2-pt shot from 11 ft,2,40-37,,
6:24.0,,,40-37,,J. Harris misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by L. Aldridge,,40-37,,
6:15.0,,,40-37,,Personal foul by C. LeVert (drawn by L. Aldridge)
6:15.0,,,40-37,,D. Carroll enters the game for J. Okafor
6:15.0,,,40-37,,J. Allen enters the game for C. LeVert
5:59.0,L. Aldridge misses 2-pt shot from 17 ft,,40-37,,
5:57.0,,,40-37,,Defensive rebound by Team
5:47.0,,,40-39,2,R. Hollis-Jefferson makes 2-pt shot at rim (assist by S. Dinwiddie)
5:34.0,Turnover by K. Anderson (traveling),,40-39,,
5:13.0,,,40-39,,R. Hollis-Jefferson misses 2-pt shot from 8 ft
5:10.0,Defensive rebound by J. Lauvergne,,40-39,,
5:00.0,J. Lauvergne misses 2-pt shot from 4 ft,,40-39,,
4:57.0,,,40-39,,Defensive rebound by R. Hollis-Jefferson
4:52.0,,,40-39,,D. Carroll misses 2-pt shot from 4 ft
4:49.0,,,40-39,,Offensive rebound by D. Carroll
4:44.0,,,40-39,,Shooting foul by D. Green (drawn by D. Carroll)
4:44.0,,,40-40,1,D. Carroll makes free throw 1 of 2
4:44.0,B. Forbes enters the game for K. Anderson,,40-40,,
4:44.0,,,40-41,1,D. Carroll makes free throw 2 of 2
4:34.0,,,40-41,,Def 3 sec tech foul by J. Allen
4:34.0,P. Mills enters the game for D. Green,,40-41,,
4:34.0,,,40-41,,C. LeVert enters the game for J. Harris
4:34.0,L. Aldridge makes technical free throw,1,41-41,,
4:23.0,P. Mills makes 3-pt shot from 21 ft (assist by J. Lauvergne),3,44-41,,
4:23.0,Shooting foul by C. LeVert (drawn by P. Mills),,44-41,,
4:23.0,P. Mills misses free throw 1 of 1,,44-41,,
4:20.0,,,44-41,,Defensive rebound by R. Hollis-Jefferson
4:11.0,,,44-41,,S. Dinwiddie misses 2-pt shot from 14 ft
4:09.0,Defensive rebound by J. Lauvergne,,44-41,,
3:47.0,J. Lauvergne misses 2-pt shot from 3 ft,,44-41,,
3:44.0,,,44-41,,Defensive rebound by D. Carroll
3:39.0,,,44-41,,Turnover by R. Hollis-Jefferson (lost ball; steal by P. Mills)
3:21.0,J. Lauvergne misses 3-pt shot from 22 ft,,44-41,,
3:18.0,,,44-41,,Defensive rebound by J. Allen
3:08.0,,,44-41,,Offensive foul by D. Carroll (drawn by P. Mills)
3:08.0,,,44-41,,Turnover by D. Carroll (offensive foul)
3:08.0,D. Murray enters the game for T. Parker,,44-41,,
2:53.0,B. Forbes misses 3-pt shot from 27 ft,,44-41,,
2:49.0,,,44-41,,Defensive rebound by J. Allen
2:43.0,,,44-44,3,C. LeVert makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson)
2:23.0,L. Aldridge makes 2-pt shot from 19 ft,2,46-44,,
2:22.0,,,46-44,,Brooklyn full timeout
2:22.0,D. Bertans enters the game for J. Lauvergne,,46-44,,
2:00.0,,,46-46,2,J. Allen makes 2-pt shot from 4 ft (assist by S. Dinwiddie)
1:41.0,P. Mills makes 3-pt shot from 26 ft (assist by D. Bertans),3,49-46,,
1:31.0,,,49-46,,Offensive foul by J. Allen (drawn by D. Murray)
1:31.0,,,49-46,,Turnover by J. Allen (offensive foul)
1:15.0,L. Aldridge misses 2-pt shot from 3 ft,,49-46,,
1:12.0,,,49-46,,Defensive rebound by J. Allen
1:03.0,,,49-46,,Turnover by R. Hollis-Jefferson (turnover)
0:49.0,L. Aldridge makes 2-pt shot from 1 ft,2,51-46,,
0:33.0,,,51-46,,C. LeVert misses 3-pt shot from 23 ft
0:30.0,Defensive rebound by P. Mills,,51-46,,
0:10.0,L. Aldridge misses 2-pt shot from 13 ft,,51-46,,
0:05.0,,,51-46,,Defensive rebound by D. Carroll
0:04.0,Personal foul by P. Mills (drawn by D. Carroll),,51-46,,
0:04.0,,,51-46,,J. Harris enters the game for R. Hollis-Jefferson
0:04.0,B. Paul enters the game for L. Aldridge,,51-46,,
0:04.0,D. Green enters the game for D. Bertans,,51-46,,
0:00.0,,,51-46,,S. Dinwiddie misses 3-pt shot from 30 ft
0:00.0,Defensive rebound by Team,,51-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,51-46,,D. Carroll misses 2-pt shot from 9 ft
11:34.0,Defensive rebound by P. Gasol,,51-46,,
11:24.0,P. Gasol misses 2-pt shot from 17 ft,,51-46,,
11:20.0,,,51-46,,Defensive rebound by D. Carroll
11:10.0,,,51-48,2,T. Zeller makes 2-pt shot from 3 ft
10:43.0,T. Parker misses 3-pt shot from 23 ft,,51-48,,
10:40.0,,,51-48,,Defensive rebound by A. Crabbe
10:29.0,,,51-48,,T. Zeller misses 2-pt shot from 4 ft
10:28.0,Defensive rebound by P. Gasol,,51-48,,
10:23.0,T. Parker misses 2-pt shot from 5 ft (block by R. Hollis-Jefferson),,51-48,,
10:20.0,,,51-48,,Defensive rebound by T. Zeller
10:17.0,,,51-48,,D. Carroll misses 2-pt shot from 6 ft
10:14.0,Defensive rebound by L. Aldridge,,51-48,,
10:06.0,L. Aldridge makes 2-pt shot from 5 ft (assist by P. Gasol),2,53-48,,
9:41.0,,,53-48,,A. Crabbe misses 2-pt shot from 4 ft
9:37.0,Defensive rebound by T. Parker,,53-48,,
9:23.0,Shooting foul by A. Crabbe (drawn by K. Anderson),,53-48,,
9:23.0,,,53-48,,Brooklyn full timeout
9:23.0,K. Anderson makes free throw 1 of 2,1,54-48,,
9:23.0,K. Anderson makes free throw 2 of 2,1,55-48,,
9:04.0,,,55-48,,S. Dinwiddie misses 3-pt shot from 30 ft
9:00.0,Defensive rebound by D. Green,,55-48,,
8:53.0,L. Aldridge makes 2-pt shot from 4 ft (assist by P. Gasol),2,57-48,,
8:33.0,,,57-50,2,R. Hollis-Jefferson makes 2-pt shot from 11 ft
8:23.0,,,57-50,,Personal foul by T. Zeller (drawn by P. Gasol)
8:11.0,L. Aldridge makes 2-pt shot from 1 ft,2,59-50,,
7:47.0,,,59-50,,R. Hollis-Jefferson misses 3-pt shot from 23 ft
7:44.0,Defensive rebound by P. Gasol,,59-50,,
7:31.0,P. Gasol makes 3-pt shot from 25 ft (assist by L. Aldridge),3,62-50,,
7:23.0,,,62-50,,A. Crabbe misses 2-pt shot from 15 ft
7:20.0,Defensive rebound by P. Gasol,,62-50,,
7:12.0,D. Green makes 3-pt shot from 23 ft (assist by K. Anderson),3,65-50,,
7:12.0,Shooting foul by A. Crabbe (drawn by D. Green),,65-50,,
7:12.0,,,65-50,,Brooklyn full timeout
7:12.0,,,65-50,,J. Harris enters the game for A. Crabbe
7:12.0,,,65-50,,J. Allen enters the game for T. Zeller
7:12.0,D. Green misses free throw 1 of 1,,65-50,,
7:12.0,,,65-50,,Defensive rebound by R. Hollis-Jefferson
7:12.0,,,65-50,,Turnover by R. Hollis-Jefferson (lost ball; steal by D. Green)
6:56.0,L. Aldridge makes 2-pt shot from 3 ft (assist by P. Gasol),2,67-50,,
6:29.0,Personal foul by T. Parker (drawn by S. Dinwiddie),,67-50,,
6:23.0,,,67-50,,J. Allen misses 2-pt shot from 4 ft
6:21.0,Defensive rebound by L. Aldridge,,67-50,,
6:14.0,T. Parker misses 2-pt shot from 18 ft,,67-50,,
6:13.0,,,67-50,,Defensive rebound by Team
6:13.0,Loose ball foul by L. Aldridge (drawn by J. Allen),,67-50,,
6:01.0,,,67-52,2,S. Dinwiddie makes 2-pt shot from 15 ft
5:47.0,T. Parker misses 3-pt shot from 22 ft,,67-52,,
5:44.0,,,67-52,,Defensive rebound by D. Carroll
5:36.0,,,67-52,,Shooting foul by L. Aldridge (drawn by R. Hollis-Jefferson)
5:36.0,,,67-53,1,R. Hollis-Jefferson makes free throw 1 of 2
5:36.0,P. Mills enters the game for K. Anderson,,67-53,,
5:36.0,B. Forbes enters the game for T. Parker,,67-53,,
5:36.0,D. Murray enters the game for D. Green,,67-53,,
5:36.0,,,67-53,,R. Hollis-Jefferson misses free throw 2 of 2
5:33.0,Defensive rebound by Team,,67-53,,
5:33.0,,,67-53,,Q. Acy enters the game for R. Hollis-Jefferson
5:26.0,,,67-56,3,Q. Acy makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
5:26.0,San Antonio full timeout,,67-56,,
5:26.0,D. Bertans enters the game for P. Gasol,,67-56,,
5:10.0,L. Aldridge misses 2-pt shot from 7 ft,,67-56,,
5:09.0,,,67-56,,Defensive rebound by Team
4:51.0,,,67-56,,S. Dinwiddie misses 2-pt shot from 13 ft
4:51.0,Defensive rebound by Team,,67-56,,
4:33.0,P. Mills misses 2-pt shot from 5 ft,,67-56,,
4:33.0,Offensive rebound by Team,,67-56,,
4:33.0,,,67-56,,Loose ball foul by S. Dinwiddie (drawn by L. Aldridge)
4:33.0,,,67-56,,C. LeVert enters the game for D. Carroll
4:26.0,Offensive foul by D. Murray (drawn by J. Harris),,67-56,,
4:26.0,Turnover by D. Murray (offensive foul),,67-56,,
4:13.0,,,67-56,,Q. Acy misses 3-pt shot from 24 ft
4:10.0,Defensive rebound by L. Aldridge,,67-56,,
4:00.0,L. Aldridge makes 2-pt shot at rim (assist by B. Forbes),2,69-56,,
3:42.0,,,69-56,,Q. Acy misses 3-pt shot from 22 ft
3:39.0,Defensive rebound by B. Forbes,,69-56,,
3:30.0,Turnover by P. Mills (bad pass),,69-56,,
3:21.0,,,69-56,,Offensive foul by Q. Acy (drawn by P. Mills)
3:21.0,,,69-56,,Turnover by Q. Acy (offensive foul)
3:10.0,P. Mills misses 3-pt shot from 26 ft,,69-56,,
3:08.0,,,69-56,,Defensive rebound by Q. Acy
3:02.0,,,69-56,,S. Dinwiddie misses 2-pt shot from 1 ft
2:56.0,,,69-56,,Offensive rebound by J. Allen
2:56.0,,,69-58,2,J. Allen makes 2-pt shot at rim
2:40.0,L. Aldridge makes 2-pt shot from 17 ft (assist by D. Bertans),2,71-58,,
2:14.0,,,71-60,2,C. LeVert makes 2-pt shot from 10 ft (assist by J. Allen)
1:53.0,Shooting foul by J. Harris (drawn by L. Aldridge),,71-60,,
1:53.0,L. Aldridge makes free throw 1 of 2,1,72-60,,
1:53.0,,,72-60,,A. Crabbe enters the game for S. Dinwiddie
1:53.0,L. Aldridge makes free throw 2 of 2,1,73-60,,
1:41.0,,,73-60,,J. Allen misses 2-pt shot from 3 ft (block by L. Aldridge)
1:37.0,Defensive rebound by D. Murray,,73-60,,
1:34.0,P. Mills makes 3-pt shot from 25 ft (assist by D. Murray),3,76-60,,
1:17.0,,,76-60,,C. LeVert misses 3-pt shot from 26 ft
1:14.0,Defensive rebound by D. Bertans,,76-60,,
1:02.0,L. Aldridge misses 2-pt shot from 4 ft,,76-60,,
1:00.0,,,76-60,,Defensive rebound by Q. Acy
1:00.0,Personal foul by D. Bertans (drawn by Q. Acy),,76-60,,
1:00.0,P. Gasol enters the game for L. Aldridge,,76-60,,
0:42.0,,,76-62,2,C. LeVert makes 2-pt shot from 1 ft
0:28.0,B. Forbes misses 2-pt shot from 15 ft,,76-62,,
0:25.0,,,76-62,,Defensive rebound by Q. Acy
0:04.0,Personal foul by D. Murray (drawn by C. LeVert),,76-62,,
0:04.0,,,76-63,1,C. LeVert makes free throw 1 of 2
0:04.0,,,76-63,,S. Dinwiddie enters the game for Q. Acy
0:04.0,,,76-63,,D. Carroll enters the game for A. Crabbe
0:04.0,,,76-64,1,C. LeVert makes free throw 2 of 2
0:00.0,B. Forbes misses 2-pt shot from 22 ft,,76-64,,
0:00.0,,,76-64,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,P. Mills makes 3-pt shot from 28 ft (assist by D. Murray),3,79-64,,
11:35.0,,,79-64,,Turnover by C. LeVert (lost ball; steal by D. Murray)
11:31.0,D. Murray misses 2-pt shot from 3 ft,,79-64,,
11:29.0,Offensive rebound by D. Murray,,79-64,,
11:27.0,D. Murray misses 2-pt shot from 1 ft,,79-64,,
11:27.0,,,79-64,,Defensive rebound by J. Okafor
11:12.0,,,79-64,,C. LeVert misses 2-pt shot from 3 ft
11:09.0,Defensive rebound by P. Gasol,,79-64,,
11:05.0,B. Forbes misses 3-pt shot from 25 ft,,79-64,,
10:58.0,Offensive rebound by D. Murray,,79-64,,
10:45.0,D. Murray misses 2-pt shot from 12 ft,,79-64,,
10:43.0,,,79-64,,Defensive rebound by C. LeVert
10:33.0,,,79-64,,C. LeVert misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by P. Gasol,,79-64,,
10:12.0,P. Mills misses 2-pt shot from 7 ft,,79-64,,
10:10.0,,,79-64,,Defensive rebound by J. Okafor
10:03.0,,,79-67,3,J. Harris makes 3-pt shot from 26 ft (assist by J. Okafor)
10:01.0,San Antonio full timeout,,79-67,,
10:01.0,,,79-67,,S. Dinwiddie enters the game for C. LeVert
10:01.0,,,79-67,,A. Crabbe enters the game for Q. Acy
10:01.0,T. Parker enters the game for D. Murray,,79-67,,
10:01.0,D. Green enters the game for B. Forbes,,79-67,,
9:47.0,Turnover by D. Bertans (out of bounds lost ball),,79-67,,
9:47.0,K. Anderson enters the game for D. Bertans,,79-67,,
9:32.0,Personal foul by D. Green (drawn by D. Carroll),,79-67,,
9:22.0,,,79-67,,S. Dinwiddie misses 3-pt shot from 25 ft
9:20.0,,,79-67,,Offensive rebound by Team
9:01.0,,,79-67,,D. Carroll misses 3-pt shot from 23 ft
8:58.0,Defensive rebound by P. Gasol,,79-67,,
8:57.0,Turnover by P. Gasol (bad pass; steal by J. Harris),,79-67,,
8:52.0,,,79-67,,D. Carroll misses 2-pt shot from 1 ft (block by D. Green)
8:52.0,,,79-67,,Offensive rebound by Team
8:52.0,L. Aldridge enters the game for P. Mills,,79-67,,
8:52.0,D. Bertans enters the game for P. Gasol,,79-67,,
8:46.0,,,79-70,3,J. Harris makes 3-pt shot from 26 ft (assist by S. Dinwiddie)
8:27.0,D. Bertans misses 3-pt shot from 27 ft,,79-70,,
8:24.0,,,79-70,,Defensive rebound by J. Harris
8:14.0,,,79-70,,J. Harris misses 3-pt shot from 26 ft
8:11.0,Defensive rebound by L. Aldridge,,79-70,,
8:00.0,D. Green makes 2-pt shot from 7 ft,2,81-70,,
7:46.0,,,81-73,3,A. Crabbe makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
7:20.0,L. Aldridge misses 2-pt shot from 14 ft,,81-73,,
7:18.0,,,81-73,,Defensive rebound by A. Crabbe
7:04.0,,,81-76,3,J. Harris makes 3-pt shot from 22 ft (assist by A. Crabbe)
6:40.0,Shooting foul by J. Okafor (drawn by L. Aldridge),,81-76,,
6:40.0,L. Aldridge makes free throw 1 of 2,1,82-76,,
6:40.0,L. Aldridge makes free throw 2 of 2,1,83-76,,
6:31.0,Personal foul by T. Parker (drawn by A. Crabbe),,83-76,,
6:31.0,P. Gasol enters the game for D. Bertans,,83-76,,
6:18.0,,,83-79,3,A. Crabbe makes 3-pt shot from 27 ft (assist by S. Dinwiddie)
5:55.0,L. Aldridge makes 2-pt shot from 11 ft,2,85-79,,
5:38.0,,,85-81,2,J. Okafor makes 2-pt shot from 11 ft (assist by S. Dinwiddie)
5:23.0,,,85-81,,Personal foul by J. Okafor (drawn by L. Aldridge)
5:15.0,L. Aldridge makes 2-pt shot from 10 ft (assist by P. Gasol),2,87-81,,
5:03.0,,,87-81,,S. Dinwiddie misses 2-pt shot from 7 ft
5:00.0,Defensive rebound by T. Parker,,87-81,,
5:00.0,Turnover by L. Aldridge (turnover),,87-81,,
4:48.0,,,87-81,,Brooklyn full timeout
4:48.0,,,87-81,,T. Zeller enters the game for J. Okafor
4:48.0,P. Mills enters the game for K. Anderson,,87-81,,
4:48.0,D. Murray enters the game for T. Parker,,87-81,,
4:30.0,,,87-81,,A. Crabbe misses 3-pt shot from 25 ft
4:27.0,Defensive rebound by P. Mills,,87-81,,
4:21.0,,,87-81,,Personal foul by S. Dinwiddie (drawn by P. Mills)
4:11.0,D. Green misses 2-pt shot from 5 ft,,87-81,,
4:06.0,Offensive rebound by P. Gasol,,87-81,,
4:06.0,P. Gasol makes 2-pt shot at rim,2,89-81,,
3:59.0,,,89-81,,S. Dinwiddie misses 2-pt shot from 6 ft
3:59.0,,,89-81,,Offensive rebound by Team
3:59.0,Loose ball foul by P. Gasol (drawn by S. Dinwiddie),,89-81,,
3:51.0,,,89-81,,Shooting foul by P. Mills (drawn by S. Dinwiddie)
3:51.0,,,89-82,1,S. Dinwiddie makes free throw 1 of 2
3:51.0,,,89-83,1,S. Dinwiddie makes free throw 2 of 2
3:34.0,L. Aldridge misses 2-pt shot from 11 ft,,89-83,,
3:32.0,,,89-83,,Defensive rebound by D. Carroll
