time,Dallas,pts.away,score,pts.home,Washington
6:21.0,,,17-12,2,M. Gortat makes 2-pt shot from 1 ft
6:03.0,H. Barnes makes 2-pt shot from 12 ft,2,19-12,,
5:51.0,,,19-14,2,B. Beal makes 2-pt shot from 17 ft (assist by J. Wall)
5:40.0,S. Mejri makes 2-pt shot from 2 ft (assist by D. Smith),2,21-14,,
5:23.0,,,21-14,,J. Wall misses 3-pt shot from 25 ft
5:20.0,Defensive rebound by W. Matthews,,21-14,,
5:18.0,D. Smith makes 2-pt shot from 1 ft (assist by W. Matthews),2,23-14,,
5:03.0,Def 3 sec tech foul by Y. Ferrell,,23-14,,
5:03.0,,,23-15,1,B. Beal makes technical free throw
5:03.0,,,23-15,,K. Oubre enters the game for M. Morris
5:03.0,D. Finney-Smith enters the game for D. Smith,,23-15,,
5:03.0,J. Barea enters the game for Y. Ferrell,,23-15,,
5:03.0,D. Harris enters the game for W. Matthews,,23-15,,
4:52.0,,,23-15,,K. Oubre misses 2-pt shot from 2 ft (block by H. Barnes)
4:49.0,Defensive rebound by H. Barnes,,23-15,,
4:41.0,H. Barnes misses 2-pt shot from 15 ft,,23-15,,
4:37.0,,,23-15,,Defensive rebound by K. Oubre
4:30.0,,,23-15,,Turnover by J. Wall (out of bounds lost ball)
4:12.0,D. Harris misses 2-pt shot from 8 ft,,23-15,,
4:09.0,,,23-15,,Defensive rebound by M. Gortat
4:07.0,,,23-15,,Shooting foul by D. Harris (drawn by J. Wall)
4:07.0,,,23-16,1,J. Wall makes free throw 1 of 2
4:07.0,,,23-17,1,J. Wall makes free throw 2 of 2
3:47.0,D. Harris misses 3-pt shot from 25 ft,,23-17,,
3:44.0,,,23-17,,Defensive rebound by J. Wall
3:39.0,,,23-20,3,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall)
3:37.0,Dallas full timeout,,23-20,,
3:37.0,,,23-20,,J. Meeks enters the game for O. Porter
3:25.0,S. Mejri misses 2-pt shot from 6 ft,,23-20,,
3:21.0,Offensive rebound by S. Mejri,,23-20,,
3:11.0,D. Finney-Smith makes 2-pt shot from 1 ft (assist by D. Harris),2,25-20,,
2:52.0,,,25-20,,B. Beal misses 2-pt shot from 13 ft (block by D. Finney-Smith)
2:50.0,Defensive rebound by S. Mejri,,25-20,,
2:44.0,Turnover by D. Finney-Smith (out of bounds lost ball),,25-20,,
2:34.0,,,25-22,2,J. Wall makes 2-pt shot from 15 ft
2:16.0,H. Barnes makes 3-pt shot from 24 ft (assist by J. Barea),3,28-22,,
1:58.0,,,28-22,,Shooting foul by S. Mejri (drawn by J. Wall)
1:58.0,,,28-23,1,J. Wall makes free throw 1 of 2
1:58.0,,,28-23,,T. Frazier enters the game for B. Beal
1:58.0,,,28-23,,I. Mahinmi enters the game for M. Gortat
1:58.0,D. Nowitzki enters the game for D. Finney-Smith,,28-23,,
1:58.0,W. Matthews enters the game for H. Barnes,,28-23,,
1:58.0,N. Noel enters the game for S. Mejri,,28-23,,
1:58.0,,,28-24,1,J. Wall makes free throw 2 of 2
1:46.0,J. Barea makes 3-pt shot from 26 ft (assist by D. Harris),3,31-24,,
1:29.0,,,31-26,2,J. Wall makes 2-pt shot from 19 ft (assist by J. Meeks)
1:14.0,J. Barea makes 3-pt shot from 26 ft,3,34-26,,
1:01.0,,,34-29,3,K. Oubre makes 3-pt shot from 25 ft (assist by J. Wall)
0:47.0,D. Nowitzki makes 2-pt shot from 15 ft (assist by J. Barea),2,36-29,,
0:35.0,,,36-32,3,K. Oubre makes 3-pt shot from 24 ft (assist by T. Frazier)
0:14.0,N. Noel misses 2-pt shot from 3 ft,,36-32,,
0:11.0,,,36-32,,Defensive rebound by I. Mahinmi
0:02.0,Personal foul by D. Harris (drawn by J. Wall),,36-32,,
0:02.0,,,36-33,1,J. Wall makes free throw 1 of 2
0:02.0,H. Barnes enters the game for N. Noel,,36-33,,
0:02.0,,,36-34,1,J. Wall makes free throw 2 of 2
0:01.0,Turnover by D. Harris (bad pass; steal by T. Frazier),,36-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,36-34,,K. Oubre misses 2-pt shot from 18 ft
11:45.0,Defensive rebound by N. Noel,,36-34,,
11:37.0,N. Noel makes 2-pt shot from 2 ft (assist by J. Barea),2,38-34,,
11:24.0,,,38-34,,J. Meeks misses 3-pt shot from 28 ft
11:21.0,Defensive rebound by W. Matthews,,38-34,,
11:07.0,,,38-34,,Personal foul by I. Mahinmi (drawn by N. Noel)
10:59.0,J. Barea misses 3-pt shot from 25 ft,,38-34,,
10:55.0,,,38-34,,Defensive rebound by K. Oubre
10:42.0,,,38-34,,J. Meeks misses 2-pt shot from 9 ft (block by N. Noel)
10:38.0,Defensive rebound by W. Matthews,,38-34,,
10:36.0,J. Barea makes 2-pt shot at rim (assist by W. Matthews),2,40-34,,
10:12.0,,,40-34,,Turnover by I. Mahinmi (lost ball; steal by N. Noel)
10:04.0,,,40-34,,Personal foul by T. Frazier (drawn by N. Noel)
10:04.0,D. Powell enters the game for D. Finney-Smith,,40-34,,
9:52.0,J. Barea makes 2-pt shot from 3 ft,2,42-34,,
9:35.0,,,42-34,,Turnover by T. Frazier (out of bounds lost ball)
9:25.0,D. Harris makes 2-pt shot from 7 ft (assist by J. Barea),2,44-34,,
9:25.0,Shooting foul by J. Meeks (drawn by D. Harris),,44-34,,
9:25.0,,,44-34,,Washington full timeout
9:25.0,D. Harris makes free throw 1 of 1,1,45-34,,
9:11.0,,,45-34,,J. Meeks misses 2-pt shot from 14 ft
9:09.0,Defensive rebound by N. Noel,,45-34,,
9:05.0,,,45-34,,Personal foul by J. Meeks (drawn by D. Harris)
8:56.0,D. Powell misses 3-pt shot from 26 ft,,45-34,,
8:53.0,,,45-34,,Defensive rebound by T. Frazier
8:46.0,,,45-34,,Shooting foul by D. Powell (drawn by M. Scott)
8:46.0,,,45-35,1,M. Scott makes free throw 1 of 2
8:46.0,D. Smith enters the game for J. Barea,,45-35,,
8:46.0,Y. Ferrell enters the game for D. Harris,,45-35,,
8:46.0,,,45-36,1,M. Scott makes free throw 2 of 2
8:24.0,W. Matthews misses 3-pt shot from 25 ft,,45-36,,
8:24.0,,,45-36,,Defensive rebound by Team
8:24.0,Loose ball foul by D. Powell (drawn by T. Frazier),,45-36,,
8:24.0,D. Nowitzki enters the game for N. Noel,,45-36,,
8:24.0,H. Barnes enters the game for D. Powell,,45-36,,
8:24.0,D. Finney-Smith enters the game for W. Matthews,,45-36,,
8:15.0,,,45-36,,J. Meeks misses 3-pt shot from 25 ft
8:10.0,,,45-36,,Offensive rebound by T. Frazier
8:01.0,,,45-36,,K. Oubre misses 3-pt shot from 26 ft
7:58.0,Defensive rebound by H. Barnes,,45-36,,
7:49.0,Shooting foul by T. Frazier (drawn by H. Barnes),,45-36,,
7:49.0,H. Barnes makes free throw 1 of 2,1,46-36,,
7:49.0,,,46-36,,B. Beal enters the game for T. Frazier
7:49.0,,,46-36,,J. Wall enters the game for J. Meeks
7:49.0,,,46-36,,M. Morris enters the game for I. Mahinmi
7:49.0,H. Barnes misses free throw 2 of 2,,46-36,,
7:47.0,,,46-36,,Defensive rebound by K. Oubre
7:33.0,,,46-38,2,B. Beal makes 2-pt shot from 11 ft (assist by J. Wall)
7:13.0,D. Nowitzki misses 2-pt shot from 17 ft,,46-38,,
7:10.0,,,46-38,,Defensive rebound by M. Scott
7:05.0,,,46-40,2,J. Wall makes 2-pt shot from 18 ft
6:49.0,D. Smith misses 2-pt shot from 15 ft,,46-40,,
6:44.0,Offensive rebound by D. Nowitzki,,46-40,,
6:43.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by Y. Ferrell),2,48-40,,
6:30.0,,,48-40,,Turnover by B. Beal (out of bounds lost ball)
6:10.0,D. Finney-Smith misses 3-pt shot from 23 ft,,48-40,,
6:06.0,,,48-40,,Defensive rebound by K. Oubre
5:59.0,,,48-40,,M. Scott misses 2-pt shot from 2 ft
5:51.0,Defensive rebound by D. Smith,,48-40,,
5:51.0,D. Smith misses 3-pt shot from 26 ft,,48-40,,
5:51.0,,,48-40,,Defensive rebound by M. Scott
5:46.0,,,48-40,,Shooting foul by D. Finney-Smith (drawn by J. Wall)
5:46.0,,,48-40,,J. Wall misses free throw 1 of 2
5:46.0,,,48-40,,Offensive rebound by Team
5:46.0,,,48-40,,O. Porter enters the game for K. Oubre
5:46.0,,,48-41,1,J. Wall makes free throw 2 of 2
5:28.0,Y. Ferrell makes 2-pt shot at rim (assist by D. Finney-Smith),2,50-41,,
5:16.0,,,50-43,2,J. Wall makes 2-pt shot from 7 ft
5:00.0,H. Barnes makes 2-pt shot from 6 ft (assist by D. Nowitzki),2,52-43,,
4:47.0,,,52-43,,Turnover by B. Beal (out of bounds lost ball)
4:42.0,D. Finney-Smith misses 3-pt shot from 26 ft,,52-43,,
4:36.0,Offensive rebound by H. Barnes,,52-43,,
4:36.0,H. Barnes misses 2-pt shot at rim,,52-43,,
4:34.0,,,52-43,,Defensive rebound by J. Wall
4:32.0,,,52-43,,J. Wall misses 2-pt shot from 2 ft
4:30.0,Defensive rebound by D. Finney-Smith,,52-43,,
4:28.0,Shooting foul by O. Porter (drawn by H. Barnes),,52-43,,
4:28.0,H. Barnes makes free throw 1 of 2,1,53-43,,
4:28.0,,,53-43,,M. Gortat enters the game for M. Scott
4:28.0,W. Matthews enters the game for D. Finney-Smith,,53-43,,
4:28.0,H. Barnes makes free throw 2 of 2,1,54-43,,
4:20.0,,,54-45,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
4:20.0,,,54-45,,Shooting foul by D. Nowitzki (drawn by M. Gortat)
4:20.0,,,54-45,,M. Gortat misses free throw 1 of 1
4:18.0,Defensive rebound by D. Nowitzki,,54-45,,
4:05.0,D. Smith misses 2-pt shot from 3 ft,,54-45,,
4:03.0,,,54-45,,Defensive rebound by M. Gortat
3:57.0,,,54-45,,M. Morris misses 3-pt shot from 25 ft
3:55.0,Defensive rebound by Y. Ferrell,,54-45,,
3:47.0,Y. Ferrell misses 2-pt shot from 4 ft,,54-45,,
3:46.0,,,54-45,,Defensive rebound by M. Gortat
3:34.0,,,54-45,,B. Beal misses 3-pt shot from 25 ft
3:32.0,Defensive rebound by W. Matthews,,54-45,,
3:28.0,Dallas full timeout,,54-45,,
3:28.0,S. Mejri enters the game for D. Nowitzki,,54-45,,
3:10.0,W. Matthews makes 2-pt shot from 17 ft,2,56-45,,
2:51.0,,,56-45,,M. Gortat misses 2-pt shot from 12 ft
2:49.0,Defensive rebound by S. Mejri,,56-45,,
2:36.0,Y. Ferrell makes 2-pt shot from 21 ft,2,58-45,,
2:20.0,,,58-47,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
1:56.0,H. Barnes makes 2-pt shot from 15 ft,2,60-47,,
1:38.0,,,60-49,2,B. Beal makes 2-pt shot from 5 ft (assist by J. Wall)
1:25.0,D. Smith misses 2-pt shot from 5 ft,,60-49,,
1:25.0,Offensive rebound by S. Mejri,,60-49,,
1:25.0,,,60-49,,Personal foul by J. Wall (drawn by S. Mejri)
1:25.0,S. Mejri makes free throw 1 of 2,1,61-49,,
1:25.0,S. Mejri makes free throw 2 of 2,1,62-49,,
1:19.0,,,62-49,,Turnover by J. Wall (bad pass; steal by W. Matthews)
0:59.0,Y. Ferrell misses 3-pt shot from 25 ft,,62-49,,
0:55.0,Offensive rebound by S. Mejri,,62-49,,
0:48.0,H. Barnes makes 2-pt shot from 5 ft (assist by D. Smith),2,64-49,,
0:39.0,,,64-49,,B. Beal misses 2-pt shot from 3 ft (block by S. Mejri)
0:38.0,,,64-49,,Offensive rebound by M. Gortat
0:37.0,,,64-51,2,M. Gortat makes 2-pt shot from 3 ft
0:18.0,D. Smith misses 3-pt shot from 25 ft,,64-51,,
0:14.0,,,64-51,,Defensive rebound by O. Porter
0:03.0,,,64-51,,Shooting foul by S. Mejri (drawn by J. Wall)
0:03.0,,,64-52,1,J. Wall makes free throw 1 of 2
0:03.0,,,64-53,1,J. Wall makes free throw 2 of 2
0:01.0,W. Matthews misses 3-pt shot from 36 ft,,64-53,,
0:01.0,Offensive rebound by Team,,64-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,64-53,,J. Wall misses 2-pt shot from 16 ft
11:46.0,Defensive rebound by D. Smith,,64-53,,
11:34.0,D. Smith makes 2-pt shot from 1 ft,2,66-53,,
11:11.0,,,66-56,3,M. Morris makes 3-pt shot from 24 ft (assist by J. Wall)
10:50.0,H. Barnes misses 2-pt shot from 13 ft,,66-56,,
10:48.0,,,66-56,,Defensive rebound by M. Gortat
10:37.0,,,66-59,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
10:19.0,D. Smith makes 3-pt shot from 25 ft (assist by W. Matthews),3,69-59,,
10:00.0,Personal foul by Y. Ferrell (drawn by O. Porter),,69-59,,
9:57.0,,,69-62,3,M. Morris makes 3-pt shot from 26 ft (assist by B. Beal)
9:34.0,D. Smith makes 2-pt shot from 2 ft,2,71-62,,
9:16.0,,,71-62,,Shooting foul by Y. Ferrell (drawn by B. Beal)
9:16.0,,,71-63,1,B. Beal makes free throw 1 of 2
9:16.0,,,71-63,,B. Beal misses free throw 2 of 2
9:14.0,Defensive rebound by D. Nowitzki,,71-63,,
9:04.0,D. Smith misses 2-pt shot at rim,,71-63,,
9:02.0,,,71-63,,Defensive rebound by O. Porter
8:50.0,Personal foul by Y. Ferrell (drawn by B. Beal),,71-63,,
8:50.0,D. Harris enters the game for Y. Ferrell,,71-63,,
8:39.0,,,71-65,2,J. Wall makes 2-pt shot from 1 ft
8:15.0,H. Barnes misses 2-pt shot from 17 ft,,71-65,,
8:13.0,,,71-65,,Defensive rebound by O. Porter
8:07.0,,,71-65,,J. Wall misses 2-pt shot from 16 ft
8:01.0,Defensive rebound by D. Smith,,71-65,,
7:58.0,D. Smith misses 3-pt shot from 25 ft,,71-65,,
7:53.0,Offensive rebound by H. Barnes,,71-65,,
7:51.0,W. Matthews makes 3-pt shot from 23 ft (assist by D. Smith),3,74-65,,
7:33.0,,,74-65,,O. Porter misses 2-pt shot from 15 ft
7:29.0,Defensive rebound by H. Barnes,,74-65,,
7:22.0,Jump ball: B. Beal vs. D. Smith (M. Morris gains possession),,,,Jump ball: B. Beal vs. D. Smith (M. Morris gains possession)
7:22.0,Turnover by D. Smith (turnover; steal by B. Beal),,74-65,,
7:17.0,,,74-65,,B. Beal misses 3-pt shot from 25 ft
7:14.0,Defensive rebound by H. Barnes,,74-65,,
7:10.0,,,74-65,,Personal foul by M. Morris (drawn by H. Barnes)
6:59.0,H. Barnes makes 2-pt shot from 1 ft (assist by W. Matthews),2,76-65,,
6:40.0,,,76-65,,Turnover by B. Beal (out of bounds lost ball)
6:40.0,,,76-65,,Washington full timeout
6:40.0,J. Barea enters the game for D. Smith,,76-65,,
6:24.0,D. Harris makes 2-pt shot from 18 ft,2,78-65,,
6:11.0,,,78-65,,Turnover by J. Wall (bad pass; steal by D. Harris)
6:08.0,Turnover by J. Barea (lost ball; steal by O. Porter),,78-65,,
6:03.0,,,78-67,2,O. Porter makes 2-pt shot from 1 ft (assist by M. Morris)
6:03.0,,,78-67,,Shooting foul by D. Nowitzki (drawn by O. Porter)
6:03.0,S. Mejri enters the game for D. Nowitzki,,78-67,,
6:03.0,,,78-68,1,O. Porter makes free throw 1 of 1
5:47.0,Turnover by H. Barnes (lost ball; steal by J. Wall),,78-68,,
5:34.0,,,78-68,,Turnover by B. Beal (lost ball; steal by H. Barnes)
5:27.0,D. Harris misses 3-pt shot from 25 ft,,78-68,,
5:24.0,,,78-68,,Defensive rebound by J. Wall
5:24.0,Personal foul by J. Barea (drawn by J. Wall),,78-68,,
5:24.0,,,78-68,,J. Wall misses free throw 1 of 2
5:24.0,,,78-68,,Offensive rebound by Team
5:24.0,D. Finney-Smith enters the game for W. Matthews,,78-68,,
5:24.0,,,78-69,1,J. Wall makes free throw 2 of 2
5:12.0,J. Barea misses 2-pt shot from 11 ft,,78-69,,
5:10.0,,,78-69,,Defensive rebound by O. Porter
5:01.0,,,78-69,,M. Morris misses 2-pt shot from 3 ft (block by S. Mejri)
4:57.0,Defensive rebound by J. Barea,,78-69,,
4:52.0,,,78-69,,Personal foul by O. Porter (drawn by S. Mejri)
4:41.0,H. Barnes makes 2-pt shot from 11 ft,2,80-69,,
4:21.0,,,80-69,,M. Morris misses 2-pt shot from 8 ft
4:17.0,Defensive rebound by D. Harris,,80-69,,
4:06.0,D. Finney-Smith makes 3-pt shot from 25 ft (assist by H. Barnes),3,83-69,,
3:48.0,,,83-72,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
3:20.0,D. Finney-Smith misses 2-pt shot from 16 ft,,83-72,,
3:16.0,Offensive rebound by J. Barea,,83-72,,
3:08.0,Dallas full timeout,,83-72,,
3:08.0,,,83-72,,K. Oubre enters the game for M. Morris
2:53.0,H. Barnes misses 2-pt shot from 2 ft,,83-72,,
2:53.0,Offensive rebound by Team,,83-72,,
2:53.0,Turnover by Team (shot clock),,83-72,,
2:43.0,,,83-72,,B. Beal misses 2-pt shot from 16 ft
2:40.0,Defensive rebound by H. Barnes,,83-72,,
2:24.0,Shooting foul by B. Beal (drawn by H. Barnes),,83-72,,
2:24.0,H. Barnes makes free throw 1 of 2,1,84-72,,
2:24.0,H. Barnes makes free throw 2 of 2,1,85-72,,
2:13.0,,,85-72,,Turnover by K. Oubre (traveling)
2:13.0,,,85-72,,T. Frazier enters the game for J. Wall
2:00.0,S. Mejri makes 2-pt shot from 2 ft (assist by J. Barea),2,87-72,,
1:50.0,Violation by S. Mejri (kicked ball),,87-72,,
1:50.0,,,87-72,,J. Smith enters the game for M. Gortat
1:50.0,W. Matthews enters the game for H. Barnes,,87-72,,
1:39.0,,,87-74,2,T. Frazier makes 2-pt shot from 2 ft (assist by B. Beal)
1:22.0,J. Barea misses 3-pt shot from 24 ft,,87-74,,
1:20.0,,,87-74,,Defensive rebound by T. Frazier
1:09.0,,,87-74,,K. Oubre misses 2-pt shot from 3 ft (block by S. Mejri)
1:02.0,Defensive rebound by D. Harris,,87-74,,
0:59.0,D. Finney-Smith misses 2-pt shot from 3 ft (block by O. Porter),,87-74,,
0:59.0,Offensive rebound by D. Harris,,87-74,,
0:55.0,W. Matthews makes 3-pt shot from 23 ft (assist by J. Barea),3,90-74,,
0:43.0,,,90-74,,Shooting foul by D. Harris (drawn by B. Beal)
0:43.0,,,90-75,1,B. Beal makes free throw 1 of 2
0:43.0,,,90-76,1,B. Beal makes free throw 2 of 2
0:32.0,D. Harris misses 3-pt shot from 27 ft,,90-76,,
0:28.0,,,90-76,,Defensive rebound by J. Smith
0:07.0,,,90-76,,K. Oubre misses 2-pt shot from 7 ft (block by S. Mejri)
0:03.0,Defensive rebound by D. Harris,,90-76,,
0:01.0,D. Harris misses 2-pt shot from 10 ft,,90-76,,
0:01.0,,,90-76,,Defensive rebound by T. Frazier
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,D. Harris misses 2-pt shot from 2 ft (block by J. Smith),,90-76,,
11:41.0,,,90-76,,Defensive rebound by T. Frazier
11:38.0,,,90-76,,Turnover by J. Meeks (traveling)
11:23.0,Turnover by W. Matthews (bad pass; steal by T. Frazier),,90-76,,
11:19.0,,,90-78,2,T. Frazier makes 2-pt shot from 2 ft
10:54.0,J. Barea misses 2-pt shot from 16 ft,,90-78,,
10:49.0,Offensive rebound by S. Mejri,,90-78,,
10:47.0,,,90-78,,Personal foul by J. Smith (drawn by S. Mejri)
10:47.0,H. Barnes enters the game for D. Finney-Smith,,90-78,,
10:47.0,D. Nowitzki enters the game for S. Mejri,,90-78,,
10:37.0,D. Nowitzki misses 3-pt shot from 26 ft,,90-78,,
10:34.0,,,90-78,,Defensive rebound by K. Oubre
10:29.0,,,90-81,3,J. Meeks makes 3-pt shot from 24 ft (assist by O. Porter)
10:28.0,Dallas full timeout,,90-81,,
10:28.0,D. Smith enters the game for J. Barea,,90-81,,
10:28.0,Y. Ferrell enters the game for D. Harris,,90-81,,
10:12.0,Offensive foul by D. Nowitzki (drawn by J. Smith),,90-81,,
10:12.0,Turnover by D. Nowitzki (offensive foul),,90-81,,
10:02.0,,,90-81,,K. Oubre misses 2-pt shot from 18 ft
9:58.0,Defensive rebound by D. Nowitzki,,90-81,,
9:42.0,D. Smith misses 2-pt shot from 20 ft,,90-81,,
9:38.0,,,90-81,,Defensive rebound by K. Oubre
9:33.0,,,90-81,,Shooting foul by H. Barnes (drawn by J. Meeks)
9:33.0,,,90-82,1,J. Meeks makes free throw 1 of 3
9:33.0,,,90-83,1,J. Meeks makes free throw 2 of 3
9:33.0,,,90-84,1,J. Meeks makes free throw 3 of 3
9:20.0,D. Smith misses 2-pt shot from 2 ft (block by J. Smith),,90-84,,
9:16.0,,,90-84,,Defensive rebound by T. Frazier
9:09.0,,,90-86,2,O. Porter makes 2-pt shot from 10 ft
9:09.0,,,90-86,,Shooting foul by W. Matthews (drawn by O. Porter)
9:09.0,,,90-87,1,O. Porter makes free throw 1 of 1
9:09.0,Technical foul by D. Nowitzki,,90-87,,
9:09.0,,,90-88,1,J. Meeks makes technical free throw
8:56.0,Turnover by H. Barnes (out of bounds lost ball),,90-88,,
8:45.0,,,90-88,,O. Porter misses 2-pt shot from 11 ft
8:43.0,Defensive rebound by H. Barnes,,90-88,,
8:31.0,Shooting foul by O. Porter (drawn by D. Smith),,90-88,,
8:31.0,D. Smith makes free throw 1 of 2,1,91-88,,
8:31.0,S. Mejri enters the game for D. Nowitzki,,91-88,,
8:31.0,D. Smith makes free throw 2 of 2,1,92-88,,
8:18.0,,,92-88,,J. Meeks misses 3-pt shot from 25 ft
8:15.0,Defensive rebound by D. Smith,,92-88,,
8:07.0,D. Smith misses 2-pt shot from 5 ft (block by K. Oubre),,92-88,,
8:02.0,,,92-88,,Defensive rebound by T. Frazier
8:00.0,Personal foul by D. Smith (drawn by T. Frazier),,92-88,,
7:56.0,,,92-88,,T. Frazier misses 2-pt shot from 22 ft
7:51.0,Defensive rebound by S. Mejri,,92-88,,
7:39.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Smith),3,95-88,,
7:37.0,,,95-88,,Washington full timeout
7:37.0,,,95-88,,J. Wall enters the game for T. Frazier
7:37.0,,,95-88,,B. Beal enters the game for O. Porter
7:25.0,,,95-90,2,J. Smith makes 2-pt shot at rim (assist by J. Wall)
7:09.0,Turnover by H. Barnes (turnover),,95-90,,
7:09.0,Personal foul by H. Barnes (drawn by K. Oubre),,95-90,,
6:57.0,,,95-90,,K. Oubre misses 3-pt shot from 26 ft
6:53.0,Defensive rebound by W. Matthews,,95-90,,
6:46.0,Turnover by D. Smith (traveling),,95-90,,
6:39.0,,,95-90,,B. Beal misses 3-pt shot from 28 ft
6:35.0,Defensive rebound by D. Smith,,95-90,,
6:29.0,Shooting foul by J. Wall (drawn by S. Mejri),,95-90,,
6:29.0,S. Mejri makes free throw 1 of 2,1,96-90,,
6:29.0,S. Mejri misses free throw 2 of 2,,96-90,,
6:27.0,,,96-90,,Defensive rebound by J. Smith
6:19.0,,,96-90,,Shooting foul by S. Mejri (drawn by J. Wall)
6:19.0,,,96-90,,J. Wall misses free throw 1 of 2
6:19.0,,,96-90,,Offensive rebound by Team
6:19.0,,,96-90,,O. Porter enters the game for J. Meeks
6:19.0,,,96-91,1,J. Wall makes free throw 2 of 2
6:09.0,W. Matthews misses 3-pt shot from 26 ft,,96-91,,
6:05.0,Offensive rebound by D. Smith,,96-91,,
6:05.0,D. Smith makes 2-pt shot from 1 ft,2,98-91,,
5:50.0,,,98-91,,B. Beal misses 2-pt shot from 12 ft
5:48.0,Defensive rebound by S. Mejri,,98-91,,
5:45.0,H. Barnes makes 2-pt shot from 17 ft (assist by D. Smith),2,100-91,,
5:43.0,,,100-91,,Washington full timeout
5:31.0,,,100-91,,J. Smith misses 2-pt shot from 13 ft (block by S. Mejri)
5:26.0,Defensive rebound by Y. Ferrell,,100-91,,
5:10.0,D. Smith misses 2-pt shot from 11 ft,,100-91,,
5:05.0,Offensive rebound by S. Mejri,,100-91,,
5:05.0,S. Mejri makes 2-pt shot at rim,2,102-91,,
4:54.0,,,102-91,,Turnover by J. Wall (bad pass; steal by W. Matthews)
4:51.0,W. Matthews misses 2-pt shot from 2 ft (block by J. Wall),,102-91,,
4:48.0,,,102-91,,Defensive rebound by B. Beal
4:44.0,,,102-91,,B. Beal misses 3-pt shot from 25 ft
4:40.0,Defensive rebound by W. Matthews,,102-91,,
