time,Detroit,pts.away,score,pts.home,LA Lakers
2:30.0,,,16-21,,K. Caldwell-Pope misses 2-pt shot from 20 ft
2:25.0,,,16-21,,Offensive rebound by K. Kuzma
2:23.0,,,16-21,,K. Kuzma misses 2-pt shot from 5 ft
2:21.0,,,16-21,,Offensive rebound by L. Ball
2:16.0,,,16-23,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by J. Randle)
2:04.0,I. Smith makes 2-pt shot from 1 ft (assist by H. Ellenson),2,18-23,,
1:56.0,,,18-23,,J. Clarkson enters the game for L. Ball
1:42.0,,,18-23,,Turnover by B. Ingram (step out of bounds)
1:32.0,,,18-23,,Personal foul by K. Caldwell-Pope (drawn by A. Bradley)
1:32.0,,,18-23,,J. Hart enters the game for K. Caldwell-Pope
1:23.0,A. Bradley makes 2-pt shot from 1 ft (assist by I. Smith),2,20-23,,
1:06.0,,,20-23,,Offensive charge foul by B. Ingram (drawn by T. Harris)
1:06.0,,,20-23,,Turnover by B. Ingram (offensive foul)
1:06.0,J. Leuer enters the game for A. Drummond,,20-23,,
0:52.0,H. Ellenson misses 2-pt shot from 11 ft,,20-23,,
0:48.0,,,20-23,,Defensive rebound by J. Randle
0:39.0,,,20-25,2,J. Randle makes 2-pt shot from 2 ft
0:28.0,A. Bradley misses 3-pt shot from 22 ft,,20-25,,
0:24.0,Offensive rebound by T. Harris,,20-25,,
0:20.0,T. Harris misses 2-pt shot from 2 ft,,20-25,,
0:18.0,Offensive rebound by A. Bradley,,20-25,,
0:15.0,A. Bradley misses 3-pt shot from 23 ft,,20-25,,
0:12.0,,,20-25,,Defensive rebound by B. Ingram
0:10.0,,,20-25,,Turnover by B. Ingram (turnover)
0:10.0,,,20-25,,C. Brewer enters the game for B. Ingram
0:01.0,A. Bradley misses 2-pt shot from 7 ft,,20-25,,
0:00.0,J. Leuer makes 2-pt shot at rim,2,22-25,,
0:00.0,Offensive rebound by J. Leuer,,22-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,22-27,2,J. Randle makes 2-pt shot from 1 ft (assist by K. Kuzma)
11:24.0,H. Ellenson misses 3-pt shot from 26 ft,,22-27,,
11:21.0,,,22-27,,Defensive rebound by J. Randle
11:14.0,,,22-29,2,J. Randle makes 2-pt shot from 3 ft
10:57.0,H. Ellenson misses 2-pt shot from 8 ft,,22-29,,
10:54.0,,,22-29,,Defensive rebound by J. Randle
10:51.0,,,22-31,2,K. Kuzma makes 2-pt shot from 1 ft (assist by C. Brewer)
10:45.0,Detroit full timeout,,22-31,,
10:37.0,,,22-31,,Personal foul by J. Randle (drawn by H. Ellenson)
10:29.0,Turnover by H. Ellenson (traveling),,22-31,,
10:14.0,,,22-31,,J. Randle misses 3-pt shot from 23 ft
10:11.0,Defensive rebound by I. Smith,,22-31,,
10:04.0,Turnover by L. Galloway (lost ball; steal by J. Randle),,22-31,,
9:56.0,,,22-33,2,J. Randle makes 2-pt shot at rim (assist by J. Hart)
9:36.0,I. Smith makes 2-pt shot from 5 ft (assist by J. Leuer),2,24-33,,
9:23.0,,,24-33,,J. Clarkson misses 2-pt shot from 1 ft (block by R. Bullock)
9:23.0,,,24-33,,Offensive rebound by Team
9:14.0,,,24-35,2,K. Kuzma makes 2-pt shot at rim
8:55.0,I. Smith misses 2-pt shot from 8 ft,,24-35,,
8:51.0,,,24-35,,Defensive rebound by J. Randle
8:49.0,,,24-38,3,K. Kuzma makes 3-pt shot from 24 ft (assist by J. Randle)
8:38.0,Detroit full timeout,,24-38,,
8:38.0,A. Drummond enters the game for H. Ellenson,,24-38,,
8:38.0,A. Tolliver enters the game for J. Leuer,,24-38,,
8:34.0,A. Tolliver makes 3-pt shot from 25 ft (assist by R. Bullock),3,27-38,,
8:15.0,,,27-38,,Offensive foul by J. Randle (drawn by I. Smith)
8:15.0,,,27-38,,Turnover by J. Randle (offensive foul)
8:03.0,A. Drummond makes 2-pt shot at rim,2,29-38,,
8:03.0,,,29-38,,LA Lakers full timeout
8:03.0,,,29-38,,A. Bogut enters the game for J. Randle
7:52.0,,,29-41,3,K. Kuzma makes 3-pt shot from 25 ft (assist by J. Clarkson)
7:32.0,I. Smith makes 2-pt shot from 19 ft,2,31-41,,
7:15.0,,,31-41,,J. Clarkson misses 2-pt shot from 3 ft
7:10.0,,,31-41,,Offensive rebound by A. Bogut
7:10.0,,,31-41,,A. Bogut misses 2-pt shot at rim
7:09.0,Defensive rebound by L. Galloway,,31-41,,
7:01.0,R. Bullock misses 3-pt shot from 22 ft,,31-41,,
6:57.0,,,31-41,,Defensive rebound by K. Kuzma
6:51.0,,,31-41,,K. Kuzma misses 2-pt shot from 3 ft
6:48.0,Defensive rebound by R. Bullock,,31-41,,
6:45.0,A. Tolliver misses 3-pt shot from 24 ft,,31-41,,
6:40.0,Offensive rebound by A. Drummond,,31-41,,
6:37.0,R. Bullock misses 3-pt shot from 22 ft,,31-41,,
6:33.0,,,31-41,,Defensive rebound by J. Hart
6:22.0,,,31-41,,J. Hart misses 2-pt shot from 18 ft
6:18.0,Defensive rebound by A. Drummond,,31-41,,
6:13.0,,,31-41,,Personal foul by A. Bogut (drawn by I. Smith)
6:13.0,,,31-41,,B. Ingram enters the game for K. Kuzma
6:13.0,,,31-41,,L. Nance enters the game for C. Brewer
6:13.0,R. Jackson enters the game for I. Smith,,31-41,,
6:11.0,Turnover by R. Bullock (bad pass; steal by B. Ingram),,31-41,,
6:04.0,,,31-43,2,J. Clarkson makes 2-pt shot from 2 ft (assist by B. Ingram)
5:42.0,,,31-43,,L. Ball enters the game for J. Hart
5:42.0,S. Johnson enters the game for R. Bullock,,31-43,,
5:39.0,A. Tolliver misses 3-pt shot from 25 ft,,31-43,,
5:36.0,,,31-43,,Defensive rebound by L. Ball
5:32.0,,,31-43,,L. Nance misses 2-pt shot from 1 ft
5:27.0,Defensive rebound by A. Drummond,,31-43,,
5:24.0,L. Galloway makes 3-pt shot from 27 ft (assist by A. Drummond),3,34-43,,
5:13.0,,,34-45,2,J. Clarkson makes 2-pt shot from 17 ft (assist by L. Nance)
4:58.0,,,34-45,,Personal foul by A. Bogut (drawn by A. Drummond)
4:58.0,,,34-45,,K. Caldwell-Pope enters the game for J. Clarkson
4:58.0,T. Harris enters the game for L. Galloway,,34-45,,
4:58.0,A. Bradley enters the game for A. Tolliver,,34-45,,
4:37.0,A. Bradley misses 2-pt shot from 21 ft,,34-45,,
4:36.0,,,34-45,,Defensive rebound by B. Ingram
4:32.0,,,34-47,2,B. Ingram makes 2-pt shot at rim
4:17.0,T. Harris makes 2-pt shot from 17 ft (assist by A. Drummond),2,36-47,,
4:04.0,,,36-47,,L. Ball misses 2-pt shot from 4 ft
4:03.0,,,36-47,,Offensive rebound by A. Bogut
3:48.0,,,36-47,,L. Ball misses 2-pt shot from 2 ft
3:44.0,Defensive rebound by R. Jackson,,36-47,,
3:41.0,R. Jackson makes 2-pt shot from 1 ft,2,38-47,,
3:32.0,Personal foul by A. Bradley (drawn by K. Caldwell-Pope),,38-47,,
3:32.0,,,38-47,,B. Lopez enters the game for A. Bogut
3:27.0,,,38-47,,K. Caldwell-Pope misses 2-pt shot from 15 ft
3:27.0,Defensive rebound by A. Drummond,,38-47,,
3:13.0,R. Jackson misses 2-pt shot from 3 ft,,38-47,,
3:10.0,,,38-47,,Defensive rebound by L. Nance
2:59.0,,,38-49,2,L. Ball makes 2-pt shot from 9 ft
2:47.0,T. Harris makes 2-pt shot from 12 ft (assist by R. Jackson),2,40-49,,
2:38.0,,,40-51,2,L. Nance makes 2-pt shot from 1 ft (assist by B. Lopez)
2:21.0,T. Harris misses 3-pt shot from 25 ft,,40-51,,
2:18.0,,,40-51,,Turnover by K. Caldwell-Pope (bad pass)
2:17.0,,,40-51,,Offensive rebound by K. Caldwell-Pope
2:06.0,Turnover by S. Johnson (bad pass; steal by K. Caldwell-Pope),,40-51,,
2:02.0,,,40-51,,Shooting foul by S. Johnson (drawn by L. Nance)
2:02.0,,,40-52,1,L. Nance makes free throw 1 of 2
2:02.0,,,40-53,1,L. Nance makes free throw 2 of 2
1:45.0,S. Johnson makes 3-pt shot from 24 ft (assist by T. Harris),3,43-53,,
1:21.0,,,43-53,,Turnover by B. Lopez (lost ball; steal by T. Harris)
1:18.0,Turnover by S. Johnson (lost ball; steal by L. Nance),,43-53,,
1:18.0,Loose ball foul by S. Johnson (drawn by L. Nance),,43-53,,
1:18.0,A. Tolliver enters the game for S. Johnson,,43-53,,
1:14.0,,,43-55,2,B. Ingram makes 2-pt shot from 15 ft
1:00.0,R. Jackson makes 2-pt shot from 1 ft,2,45-55,,
0:42.0,,,45-55,,L. Ball misses 3-pt shot from 25 ft
0:38.0,Defensive rebound by A. Drummond,,45-55,,
0:33.0,T. Harris misses 2-pt shot from 2 ft,,45-55,,
0:28.0,,,45-55,,Defensive rebound by L. Nance
0:26.0,,,45-55,,B. Ingram misses 2-pt shot from 17 ft
0:19.0,,,45-55,,Offensive rebound by L. Nance
0:00.0,,,45-58,3,B. Lopez makes 3-pt shot from 23 ft (assist by B. Ingram)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,45-60,2,B. Ingram makes 2-pt shot from 9 ft
11:28.0,A. Bradley misses 3-pt shot from 24 ft,,45-60,,
11:24.0,Offensive rebound by R. Jackson,,45-60,,
11:21.0,S. Johnson makes 3-pt shot from 24 ft (assist by R. Jackson),3,48-60,,
11:04.0,,,48-60,,Turnover by B. Ingram (bad pass; steal by A. Bradley)
10:59.0,A. Bradley makes 2-pt shot from 1 ft,2,50-60,,
10:39.0,,,50-60,,L. Nance misses 2-pt shot from 4 ft (block by T. Harris)
10:36.0,,,50-60,,Offensive rebound by L. Nance
10:35.0,,,50-60,,L. Nance misses 2-pt shot from 2 ft
10:35.0,Defensive rebound by S. Johnson,,50-60,,
10:30.0,T. Harris misses 3-pt shot from 25 ft,,50-60,,
10:30.0,,,50-60,,Defensive rebound by K. Caldwell-Pope
10:25.0,,,50-63,3,K. Caldwell-Pope makes 3-pt shot from 26 ft
10:13.0,R. Jackson misses 2-pt shot from 3 ft (block by L. Ball),,50-63,,
10:09.0,Offensive rebound by R. Jackson,,50-63,,
10:07.0,T. Harris misses 2-pt shot from 2 ft,,50-63,,
10:04.0,,,50-63,,Defensive rebound by L. Ball
10:00.0,,,50-65,2,L. Ball makes 2-pt shot from 1 ft
9:39.0,A. Bradley misses 2-pt shot from 1 ft (block by B. Lopez),,50-65,,
9:36.0,,,50-65,,Defensive rebound by L. Ball
9:34.0,,,50-65,,K. Caldwell-Pope misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by S. Johnson,,50-65,,
9:23.0,S. Johnson makes 3-pt shot from 26 ft (assist by R. Jackson),3,53-65,,
9:07.0,,,53-67,2,L. Ball makes 2-pt shot from 2 ft
8:51.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,55-67,,
8:24.0,,,55-67,,Shooting foul by A. Bradley (drawn by K. Caldwell-Pope)
8:24.0,,,55-68,1,K. Caldwell-Pope makes free throw 1 of 3
8:24.0,,,55-68,,K. Caldwell-Pope misses free throw 2 of 3
8:24.0,,,55-68,,Offensive rebound by Team
8:24.0,,,55-69,1,K. Caldwell-Pope makes free throw 3 of 3
8:13.0,T. Harris misses 2-pt shot from 1 ft (block by B. Lopez),,55-69,,
8:07.0,,,55-69,,Defensive rebound by L. Nance
8:04.0,,,55-69,,K. Caldwell-Pope misses 2-pt shot from 2 ft
8:00.0,Defensive rebound by A. Drummond,,55-69,,
7:43.0,A. Bradley misses 2-pt shot from 19 ft,,55-69,,
7:40.0,,,55-69,,Defensive rebound by L. Nance
7:31.0,,,55-69,,L. Ball misses 3-pt shot from 23 ft
7:27.0,Defensive rebound by R. Jackson,,55-69,,
7:22.0,Offensive charge foul by R. Jackson (drawn by K. Caldwell-Pope),,55-69,,
7:22.0,Turnover by R. Jackson (offensive foul),,55-69,,
7:13.0,Violation by A. Drummond (kicked ball),,55-69,,
7:05.0,,,55-69,,B. Ingram misses 2-pt shot from 5 ft (block by S. Johnson)
7:05.0,,,55-69,,Offensive rebound by Team
7:01.0,,,55-69,,L. Nance misses 2-pt shot from 16 ft
6:55.0,Defensive rebound by A. Drummond,,55-69,,
6:49.0,R. Jackson makes 2-pt shot from 8 ft,2,57-69,,
6:36.0,,,57-71,2,L. Nance makes 2-pt shot at rim (assist by B. Lopez)
6:23.0,T. Harris misses 3-pt shot from 24 ft,,57-71,,
6:19.0,,,57-71,,Defensive rebound by B. Ingram
6:14.0,,,57-71,,Turnover by B. Ingram (lost ball; steal by A. Drummond)
6:09.0,T. Harris misses 3-pt shot from 25 ft,,57-71,,
6:06.0,Offensive rebound by A. Bradley,,57-71,,
6:06.0,A. Bradley makes 2-pt shot at rim,2,59-71,,
6:06.0,,,59-71,,LA Lakers full timeout
5:55.0,,,59-73,2,L. Ball makes 2-pt shot at rim
5:40.0,T. Harris makes 3-pt shot from 22 ft (assist by R. Jackson),3,62-73,,
5:16.0,,,62-73,,B. Ingram misses 2-pt shot from 12 ft
5:10.0,Defensive rebound by T. Harris,,62-73,,
5:03.0,R. Jackson misses 3-pt shot from 25 ft,,62-73,,
4:59.0,,,62-73,,Defensive rebound by L. Nance
4:44.0,,,62-73,,K. Caldwell-Pope misses 3-pt shot from 23 ft
4:39.0,Defensive rebound by R. Jackson,,62-73,,
4:37.0,A. Bradley misses 2-pt shot from 1 ft (block by B. Ingram),,62-73,,
4:34.0,,,62-73,,Defensive rebound by L. Nance
4:31.0,,,62-73,,Turnover by K. Caldwell-Pope (lost ball; steal by R. Jackson)
4:26.0,R. Jackson misses 2-pt shot at rim,,62-73,,
4:22.0,,,62-73,,Defensive rebound by B. Lopez
4:20.0,,,62-75,2,B. Ingram makes 2-pt shot at rim (assist by K. Caldwell-Pope)
4:16.0,Detroit full timeout,,62-75,,
4:16.0,I. Smith enters the game for R. Jackson,,62-75,,
3:57.0,Turnover by A. Bradley (bad pass; steal by B. Ingram),,62-75,,
3:49.0,,,62-75,,B. Lopez misses 3-pt shot from 25 ft
3:46.0,Defensive rebound by S. Johnson,,62-75,,
3:30.0,A. Drummond makes 2-pt shot from 1 ft,2,64-75,,
3:13.0,,,64-75,,Shooting foul by T. Harris (drawn by L. Nance)
3:13.0,,,64-76,1,L. Nance makes free throw 1 of 2
3:13.0,,,64-76,,A. Bogut enters the game for B. Lopez
3:13.0,,,64-77,1,L. Nance makes free throw 2 of 2
2:51.0,A. Drummond misses 2-pt shot from 9 ft,,64-77,,
2:47.0,,,64-77,,Defensive rebound by A. Bogut
2:40.0,,,64-77,,L. Ball misses 2-pt shot from 10 ft
2:35.0,,,64-77,,Offensive rebound by A. Bogut
2:35.0,,,64-79,2,A. Bogut makes 2-pt shot at rim
2:23.0,T. Harris makes 2-pt shot from 16 ft (assist by I. Smith),2,66-79,,
2:19.0,Technical foul by T. Harris,,66-79,,
2:19.0,,,66-80,1,K. Caldwell-Pope makes technical free throw
2:19.0,,,66-80,,J. Clarkson enters the game for K. Caldwell-Pope
1:56.0,,,66-80,,L. Ball misses 2-pt shot from 16 ft
1:51.0,Defensive rebound by I. Smith,,66-80,,
1:46.0,I. Smith makes 2-pt shot from 1 ft (assist by T. Harris),2,68-80,,
1:26.0,,,68-82,2,L. Nance makes 2-pt shot from 12 ft (assist by L. Ball)
1:05.0,T. Harris makes 2-pt shot from 8 ft,2,70-82,,
0:44.0,,,70-84,2,A. Bogut makes 2-pt shot at rim (assist by L. Ball)
0:25.0,T. Harris makes 2-pt shot at rim (assist by A. Drummond),2,72-84,,
0:00.0,,,72-87,3,B. Ingram makes 3-pt shot from 25 ft (assist by A. Bogut)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,J. Leuer misses 2-pt shot from 7 ft,,72-87,,
11:43.0,,,72-87,,Defensive rebound by J. Randle
11:21.0,,,72-87,,J. Clarkson misses 2-pt shot from 18 ft
11:18.0,Defensive rebound by A. Bradley,,72-87,,
11:06.0,A. Bradley misses 2-pt shot from 20 ft,,72-87,,
11:03.0,,,72-87,,Defensive rebound by J. Clarkson
10:54.0,,,72-87,,J. Randle misses 2-pt shot from 2 ft
10:52.0,Defensive rebound by R. Bullock,,72-87,,
10:46.0,I. Smith makes 2-pt shot from 1 ft,2,74-87,,
10:24.0,,,74-87,,J. Hart misses 2-pt shot from 6 ft
10:20.0,Defensive rebound by J. Leuer,,74-87,,
10:17.0,I. Smith makes 2-pt shot at rim,2,76-87,,
9:53.0,,,76-87,,C. Brewer misses 3-pt shot from 23 ft
9:48.0,Defensive rebound by J. Leuer,,76-87,,
9:40.0,J. Leuer misses 2-pt shot from 8 ft,,76-87,,
9:35.0,,,76-87,,Defensive rebound by J. Randle
9:31.0,,,76-89,2,J. Clarkson makes 2-pt shot at rim
9:31.0,,,76-89,,Shooting foul by J. Leuer (drawn by J. Clarkson)
9:31.0,L. Galloway enters the game for A. Bradley,,76-89,,
9:31.0,,,76-90,1,J. Clarkson makes free throw 1 of 1
9:19.0,I. Smith misses 2-pt shot from 17 ft,,76-90,,
9:16.0,,,76-90,,Defensive rebound by K. Kuzma
9:09.0,,,76-90,,Turnover by J. Hart (bad pass; steal by R. Bullock)
9:04.0,A. Tolliver makes 3-pt shot from 23 ft (assist by I. Smith),3,79-90,,
9:02.0,,,79-90,,LA Lakers full timeout
8:45.0,,,79-90,,Shooting foul by A. Tolliver (drawn by J. Randle)
8:45.0,,,79-91,1,J. Randle makes free throw 1 of 2
8:45.0,,,79-92,1,J. Randle makes free throw 2 of 2
8:29.0,J. Leuer makes 2-pt shot from 7 ft (assist by L. Galloway),2,81-92,,
8:07.0,,,81-94,2,J. Randle makes 2-pt shot from 1 ft (assist by J. Clarkson)
7:50.0,,,81-94,,Personal foul by J. Clarkson (drawn by J. Leuer)
7:39.0,I. Smith misses 3-pt shot from 24 ft,,81-94,,
7:36.0,,,81-94,,Defensive rebound by J. Clarkson
7:27.0,,,81-97,3,K. Kuzma makes 3-pt shot from 25 ft (assist by J. Randle)
7:11.0,Turnover by J. Leuer (bad pass),,81-97,,
7:11.0,R. Jackson enters the game for L. Galloway,,81-97,,
7:00.0,,,81-97,,J. Clarkson misses 2-pt shot from 3 ft
6:57.0,Defensive rebound by J. Leuer,,81-97,,
6:45.0,R. Jackson makes 2-pt shot from 16 ft,2,83-97,,
6:34.0,,,83-99,2,J. Randle makes 2-pt shot at rim (assist by J. Clarkson)
6:34.0,,,83-99,,Shooting foul by J. Leuer (drawn by J. Randle)
6:34.0,,,83-99,,B. Ingram enters the game for C. Brewer
6:34.0,T. Harris enters the game for J. Leuer,,83-99,,
6:34.0,A. Drummond enters the game for A. Tolliver,,83-99,,
6:34.0,,,83-99,,J. Randle misses free throw 1 of 1
6:34.0,,,83-99,,Offensive rebound by Team
6:32.0,,,83-99,,Turnover by J. Randle (turnover)
6:25.0,R. Jackson makes 2-pt shot from 12 ft,2,85-99,,
6:25.0,Shooting foul by J. Hart (drawn by R. Jackson),,85-99,,
6:25.0,R. Jackson makes free throw 1 of 1,1,86-99,,
6:07.0,,,86-102,3,J. Clarkson makes 3-pt shot from 26 ft (assist by B. Ingram)
5:51.0,T. Harris misses 3-pt shot from 23 ft,,86-102,,
5:48.0,,,86-102,,Defensive rebound by J. Randle
5:44.0,,,86-102,,B. Ingram misses 2-pt shot from 19 ft
5:38.0,Defensive rebound by A. Drummond,,86-102,,
5:36.0,R. Jackson misses 3-pt shot from 24 ft,,86-102,,
5:36.0,,,86-102,,Defensive rebound by B. Ingram
5:14.0,,,86-105,3,J. Hart makes 3-pt shot from 25 ft (assist by J. Clarkson)
5:12.0,Detroit full timeout,,86-105,,
5:12.0,,,86-105,,K. Caldwell-Pope enters the game for J. Hart
5:12.0,A. Bradley enters the game for I. Smith,,86-105,,
4:59.0,R. Bullock misses 3-pt shot from 22 ft,,86-105,,
4:55.0,,,86-105,,Defensive rebound by K. Caldwell-Pope
4:37.0,,,86-108,3,K. Kuzma makes 3-pt shot from 25 ft (assist by B. Ingram)
4:11.0,T. Harris misses 2-pt shot from 10 ft,,86-108,,
4:11.0,Offensive rebound by Team,,86-108,,
4:11.0,Loose ball foul by A. Drummond (drawn by J. Randle),,86-108,,
4:11.0,Turnover by A. Drummond (turnover),,86-108,,
3:58.0,,,86-108,,Offensive charge foul by J. Randle (drawn by R. Jackson)
3:58.0,,,86-108,,Turnover by J. Randle (offensive foul)
3:42.0,A. Bradley makes 2-pt shot from 1 ft (assist by R. Bullock),2,88-108,,
3:23.0,,,88-108,,J. Clarkson misses 3-pt shot from 22 ft
3:18.0,,,88-108,,Offensive rebound by K. Kuzma
3:18.0,,,88-110,2,J. Randle makes 2-pt shot at rim (assist by K. Kuzma)
3:02.0,R. Jackson misses 2-pt shot from 15 ft,,88-110,,
3:02.0,Offensive rebound by Team,,88-110,,
3:02.0,,,88-110,,Loose ball foul by K. Kuzma (drawn by A. Drummond)
3:02.0,S. Johnson enters the game for A. Drummond,,88-110,,
3:02.0,H. Ellenson enters the game for R. Jackson,,88-110,,
3:02.0,E. Moreland enters the game for R. Bullock,,88-110,,
3:02.0,I. Smith enters the game for T. Harris,,88-110,,
2:42.0,S. Johnson misses 2-pt shot from 19 ft,,88-110,,
2:38.0,,,88-110,,Defensive rebound by J. Clarkson
2:22.0,,,88-110,,Shooting foul by S. Johnson (drawn by J. Randle)
2:22.0,,,88-111,1,J. Randle makes free throw 1 of 2
2:22.0,,,88-111,,C. Brewer enters the game for K. Kuzma
2:22.0,,,88-111,,I. Zubac enters the game for K. Caldwell-Pope
2:22.0,,,88-111,,T. Ennis enters the game for J. Clarkson
2:22.0,,,88-111,,J. Hart enters the game for B. Ingram
2:22.0,L. Galloway enters the game for A. Bradley,,88-111,,
2:22.0,,,88-111,,J. Randle misses free throw 2 of 2
2:19.0,Defensive rebound by E. Moreland,,88-111,,
2:01.0,S. Johnson misses 3-pt shot from 26 ft,,88-111,,
1:57.0,,,88-111,,Defensive rebound by J. Hart
1:39.0,,,88-111,,I. Zubac misses 2-pt shot from 2 ft
1:35.0,,,88-111,,Offensive rebound by I. Zubac
1:33.0,,,88-111,,T. Ennis misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by H. Ellenson,,88-111,,
1:33.0,,,88-111,,Loose ball foul by I. Zubac (drawn by H. Ellenson)
1:33.0,,,88-111,,K. Kuzma enters the game for J. Randle
