time,New Orleans,pts.away,score,pts.home,Atlanta
1:30.0,,,30-23,,Personal foul by T. Cavanaugh (drawn by D. Cousins)
1:30.0,D. Cousins makes free throw 1 of 2,1,31-23,,
1:30.0,D. Cousins makes free throw 2 of 2,1,32-23,,
1:17.0,,,32-23,,T. Waller-Prince misses 2-pt shot from 10 ft
1:15.0,Defensive rebound by D. Cousins,,32-23,,
1:00.0,D. Cunningham misses 3-pt shot from 24 ft,,32-23,,
0:56.0,,,32-23,,Defensive rebound by T. Waller-Prince
0:53.0,Personal foul by J. Nelson (drawn by T. Waller-Prince),,32-23,,
0:46.0,,,32-25,2,J. Collins makes 2-pt shot from 7 ft (assist by M. Belinelli)
0:26.0,D. Cunningham misses 2-pt shot from 7 ft,,32-25,,
0:23.0,,,32-25,,Defensive rebound by T. Cavanaugh
0:04.0,,,32-25,,T. Cavanaugh misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by J. Nelson,,32-25,,
0:00.0,J. Nelson misses 3-pt shot from 58 ft,,32-25,,
0:00.0,Offensive rebound by Team,,32-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,D. Cousins makes 2-pt shot from 12 ft,2,34-25,,
11:23.0,,,34-25,,T. Waller-Prince misses 3-pt shot from 24 ft
11:21.0,Defensive rebound by D. Cousins,,34-25,,
11:13.0,D. Miller misses 2-pt shot from 16 ft,,34-25,,
11:10.0,,,34-25,,Defensive rebound by J. Collins
11:00.0,,,34-25,,M. Delaney misses 2-pt shot from 2 ft (block by D. Cousins)
10:56.0,Defensive rebound by D. Cunningham,,34-25,,
10:52.0,J. Nelson misses 3-pt shot from 25 ft,,34-25,,
10:48.0,,,34-25,,Defensive rebound by T. Dorsey
10:41.0,,,34-25,,Turnover by T. Waller-Prince (out of bounds lost ball)
10:31.0,D. Cousins misses 2-pt shot from 17 ft,,34-25,,
10:29.0,Offensive rebound by Team,,34-25,,
10:20.0,Offensive foul by D. Miller (drawn by T. Waller-Prince),,34-25,,
10:20.0,Turnover by D. Miller (offensive foul),,34-25,,
10:20.0,,,34-25,,M. Plumlee enters the game for T. Cavanaugh
10:10.0,Personal foul by I. Clark (drawn by T. Dorsey),,34-25,,
9:59.0,,,34-25,,Shooting foul by D. Cousins (drawn by M. Delaney)
9:59.0,,,34-25,,M. Delaney misses free throw 1 of 2
9:59.0,,,34-25,,Offensive rebound by Team
9:59.0,,,34-25,,T. Cavanaugh enters the game for J. Collins
9:59.0,,,34-26,1,M. Delaney makes free throw 2 of 2
9:59.0,J. Holiday enters the game for I. Clark,,34-26,,
9:44.0,J. Nelson misses 3-pt shot from 22 ft,,34-26,,
9:41.0,,,34-26,,Defensive rebound by M. Plumlee
9:26.0,,,34-26,,Turnover by M. Delaney (bad pass; steal by D. Miller)
9:17.0,D. Miller makes 2-pt shot from 20 ft (assist by J. Nelson),2,36-26,,
9:02.0,,,36-26,,T. Cavanaugh misses 3-pt shot from 25 ft
8:58.0,Defensive rebound by J. Nelson,,36-26,,
8:56.0,D. Miller makes 3-pt shot from 24 ft (assist by J. Nelson),3,39-26,,
8:54.0,,,39-26,,Atlanta full timeout
8:54.0,,,39-26,,E. Ilyasova enters the game for T. Waller-Prince
8:54.0,,,39-26,,K. Bazemore enters the game for T. Cavanaugh
8:41.0,,,39-26,,T. Dorsey misses 3-pt shot from 25 ft
8:36.0,,,39-26,,Offensive rebound by M. Plumlee
8:30.0,,,39-26,,M. Delaney misses 3-pt shot from 25 ft
8:27.0,Defensive rebound by J. Nelson,,39-26,,
8:14.0,,,39-26,,Violation by K. Bazemore (kicked ball)
8:00.0,Turnover by Team (shot clock),,39-26,,
7:51.0,,,39-26,,Offensive foul by M. Plumlee (drawn by J. Nelson)
7:51.0,,,39-26,,Turnover by M. Plumlee (offensive foul)
7:41.0,D. Cousins misses 3-pt shot from 24 ft,,39-26,,
7:37.0,Offensive rebound by D. Cunningham,,39-26,,
7:25.0,J. Holiday misses 2-pt shot from 4 ft,,39-26,,
7:20.0,Offensive rebound by D. Cousins,,39-26,,
7:19.0,D. Cousins misses 2-pt shot from 2 ft,,39-26,,
7:19.0,,,39-26,,Defensive rebound by E. Ilyasova
7:17.0,,,39-26,,T. Dorsey misses 2-pt shot from 1 ft (block by D. Cunningham)
7:17.0,,,39-26,,Offensive rebound by Team
7:17.0,A. Davis enters the game for D. Cunningham,,39-26,,
7:11.0,Personal foul by D. Miller (drawn by M. Plumlee),,39-26,,
7:05.0,,,39-28,2,K. Bazemore makes 2-pt shot from 6 ft (assist by M. Delaney)
7:05.0,,,39-28,,Shooting foul by D. Cousins (drawn by K. Bazemore)
7:05.0,,,39-28,,D. Schroder enters the game for M. Delaney
7:05.0,,,39-29,1,K. Bazemore makes free throw 1 of 1
6:49.0,D. Miller makes 3-pt shot from 24 ft (assist by D. Cousins),3,42-29,,
6:29.0,,,42-31,2,K. Bazemore makes 2-pt shot from 12 ft
6:18.0,Shooting foul by E. Ilyasova (drawn by A. Davis),,42-31,,
6:18.0,A. Davis misses free throw 1 of 2,,42-31,,
6:18.0,Offensive rebound by Team,,42-31,,
6:18.0,A. Davis makes free throw 2 of 2,1,43-31,,
6:07.0,,,43-31,,T. Dorsey misses 3-pt shot from 25 ft
6:04.0,Defensive rebound by D. Cousins,,43-31,,
6:01.0,Offensive charge foul by D. Cousins (drawn by E. Ilyasova),,43-31,,
6:01.0,Turnover by D. Cousins (offensive foul),,43-31,,
6:01.0,,,43-31,,M. Belinelli enters the game for T. Dorsey
6:01.0,,,43-31,,J. Collins enters the game for M. Plumlee
6:01.0,D. Cunningham enters the game for D. Cousins,,43-31,,
6:01.0,E. Moore enters the game for J. Nelson,,43-31,,
5:47.0,,,43-31,,K. Bazemore misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by A. Davis,,43-31,,
5:31.0,,,43-31,,Personal foul by K. Bazemore (drawn by A. Davis)
5:18.0,J. Holiday makes 2-pt shot from 1 ft,2,45-31,,
5:08.0,,,45-31,,D. Schroder misses 3-pt shot from 25 ft
5:06.0,,,45-31,,Offensive rebound by Team
5:06.0,,,45-31,,D. Dedmon enters the game for E. Ilyasova
5:01.0,,,45-31,,K. Bazemore misses 3-pt shot from 23 ft
4:57.0,Defensive rebound by D. Cunningham,,45-31,,
4:45.0,J. Holiday misses 2-pt shot from 1 ft,,45-31,,
4:42.0,,,45-31,,Defensive rebound by J. Collins
4:38.0,,,45-33,2,J. Collins makes 2-pt shot from 1 ft (assist by K. Bazemore)
4:23.0,E. Moore makes 2-pt shot from 11 ft,2,47-33,,
4:08.0,,,47-33,,D. Schroder misses 2-pt shot from 7 ft (block by J. Holiday)
4:08.0,,,47-33,,Offensive rebound by Team
4:08.0,,,47-33,,T. Waller-Prince enters the game for K. Bazemore
4:04.0,,,47-35,2,J. Collins makes 2-pt shot from 1 ft (assist by D. Schroder)
3:48.0,J. Holiday makes 3-pt shot from 22 ft (assist by D. Miller),3,50-35,,
3:35.0,,,50-35,,T. Waller-Prince misses 3-pt shot from 25 ft
3:33.0,Defensive rebound by A. Davis,,50-35,,
3:26.0,D. Miller makes 2-pt shot from 13 ft (assist by A. Davis),2,52-35,,
3:13.0,,,52-35,,M. Belinelli misses 3-pt shot from 24 ft
3:08.0,Defensive rebound by D. Cunningham,,52-35,,
2:59.0,J. Holiday makes 2-pt shot from 13 ft (assist by A. Davis),2,54-35,,
2:57.0,,,54-35,,Atlanta full timeout
2:57.0,D. Cousins enters the game for D. Cunningham,,54-35,,
2:39.0,,,54-37,2,J. Collins makes 2-pt shot at rim (assist by M. Belinelli)
2:24.0,J. Holiday makes 2-pt shot from 7 ft (assist by D. Cousins),2,56-37,,
2:01.0,,,56-37,,M. Belinelli misses 3-pt shot from 23 ft (block by A. Davis)
2:01.0,,,56-37,,Offensive rebound by Team
1:58.0,Personal foul by D. Miller (drawn by J. Collins),,56-37,,
1:58.0,,,56-38,1,J. Collins makes free throw 1 of 2
1:58.0,I. Clark enters the game for D. Miller,,56-38,,
1:58.0,,,56-39,1,J. Collins makes free throw 2 of 2
1:36.0,D. Cousins makes 2-pt shot from 1 ft (assist by E. Moore),2,58-39,,
1:19.0,,,58-41,2,T. Waller-Prince makes 2-pt shot from 10 ft (assist by D. Schroder)
1:04.0,Turnover by I. Clark (bad pass; steal by D. Schroder),,58-41,,
1:01.0,,,58-41,,Shooting foul by J. Holiday (drawn by J. Collins)
1:01.0,,,58-42,1,J. Collins makes free throw 1 of 2
1:01.0,,,58-43,1,J. Collins makes free throw 2 of 2
0:46.0,,,58-43,,Personal foul by D. Dedmon (drawn by A. Davis)
0:36.0,J. Holiday makes 2-pt shot from 19 ft (assist by D. Cousins),2,60-43,,
0:22.0,,,60-43,,Shooting foul by I. Clark (drawn by D. Schroder)
0:22.0,,,60-44,1,D. Schroder makes free throw 1 of 2
0:22.0,,,60-45,1,D. Schroder makes free throw 2 of 2
0:01.0,A. Davis misses 2-pt shot from 13 ft,,60-45,,
0:01.0,Offensive rebound by Team,,60-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,D. Cousins misses 2-pt shot from 11 ft (block by M. Plumlee),,60-45,,
11:40.0,Offensive rebound by D. Cousins,,60-45,,
11:36.0,R. Rondo misses 2-pt shot from 19 ft,,60-45,,
11:36.0,Offensive rebound by Team,,60-45,,
11:36.0,Turnover by Team (shot clock),,60-45,,
11:23.0,,,60-47,2,D. Schroder makes 2-pt shot from 19 ft
11:12.0,Turnover by J. Holiday (traveling),,60-47,,
10:59.0,,,60-47,,K. Bazemore misses 2-pt shot from 3 ft
10:56.0,Defensive rebound by R. Rondo,,60-47,,
10:52.0,J. Holiday misses 3-pt shot from 24 ft,,60-47,,
10:52.0,Offensive rebound by D. Cousins,,60-47,,
10:45.0,D. Cousins misses 2-pt shot from 1 ft (block by T. Waller-Prince),,60-47,,
10:45.0,Offensive rebound by D. Cousins,,60-47,,
10:41.0,Offensive foul by D. Cousins (drawn by K. Bazemore),,60-47,,
10:41.0,Turnover by D. Cousins (offensive foul),,60-47,,
10:23.0,,,60-50,3,K. Bazemore makes 3-pt shot from 24 ft (assist by D. Schroder)
10:08.0,A. Davis misses 2-pt shot from 17 ft,,60-50,,
10:04.0,,,60-50,,Defensive rebound by M. Plumlee
9:58.0,,,60-50,,K. Bazemore misses 3-pt shot from 26 ft
9:56.0,Defensive rebound by E. Moore,,60-50,,
9:50.0,E. Moore misses 2-pt shot from 13 ft,,60-50,,
9:48.0,,,60-50,,Defensive rebound by E. Ilyasova
9:45.0,,,60-50,,Turnover by E. Ilyasova (out of bounds lost ball)
9:45.0,D. Cunningham enters the game for D. Cousins,,60-50,,
9:33.0,E. Moore misses 2-pt shot from 8 ft,,60-50,,
9:30.0,,,60-50,,Defensive rebound by M. Plumlee
9:21.0,,,60-50,,D. Schroder misses 3-pt shot from 25 ft
9:18.0,Defensive rebound by J. Holiday,,60-50,,
9:08.0,R. Rondo misses 2-pt shot from 2 ft,,60-50,,
9:05.0,,,60-50,,Defensive rebound by E. Ilyasova
8:55.0,,,60-50,,Offensive charge foul by E. Ilyasova (drawn by A. Davis)
8:55.0,,,60-50,,Turnover by E. Ilyasova (offensive foul)
8:41.0,,,60-50,,Personal foul by K. Bazemore (drawn by J. Holiday)
8:33.0,D. Cunningham makes 2-pt shot from 1 ft (assist by J. Holiday),2,62-50,,
8:20.0,Personal foul by E. Moore (drawn by T. Waller-Prince),,62-50,,
8:06.0,Personal foul by A. Davis (drawn by M. Plumlee),,62-50,,
8:00.0,,,62-50,,Turnover by K. Bazemore (bad pass; steal by A. Davis)
7:49.0,E. Moore makes 3-pt shot from 22 ft (assist by R. Rondo),3,65-50,,
7:33.0,,,65-52,2,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Schroder)
7:12.0,Shooting foul by M. Plumlee (drawn by A. Davis),,65-52,,
7:12.0,A. Davis makes free throw 1 of 2,1,66-52,,
7:12.0,,,66-52,,M. Belinelli enters the game for T. Waller-Prince
7:12.0,A. Davis makes free throw 2 of 2,1,67-52,,
7:05.0,,,67-52,,D. Schroder misses 3-pt shot from 25 ft
7:00.0,,,67-52,,Offensive rebound by M. Plumlee
6:44.0,,,67-54,2,E. Ilyasova makes 2-pt shot from 13 ft (assist by D. Schroder)
6:27.0,Offensive charge foul by R. Rondo (drawn by D. Schroder),,67-54,,
6:27.0,Turnover by R. Rondo (offensive foul),,67-54,,
6:27.0,,,67-54,,Atlanta full timeout
6:27.0,,,67-54,,D. Dedmon enters the game for M. Plumlee
6:17.0,,,67-54,,E. Ilyasova misses 2-pt shot from 15 ft
6:14.0,Defensive rebound by J. Holiday,,67-54,,
5:59.0,A. Davis misses 2-pt shot from 22 ft,,67-54,,
5:53.0,,,67-54,,Defensive rebound by K. Bazemore
5:48.0,,,67-56,2,E. Ilyasova makes 2-pt shot from 18 ft (assist by D. Dedmon)
5:30.0,D. Cunningham misses 3-pt shot from 23 ft,,67-56,,
5:28.0,,,67-56,,Defensive rebound by D. Dedmon
5:22.0,,,67-59,3,M. Belinelli makes 3-pt shot from 24 ft (assist by D. Schroder)
5:02.0,,,67-59,,Personal foul by D. Dedmon (drawn by A. Davis)
5:02.0,,,67-59,,M. Delaney enters the game for E. Ilyasova
5:02.0,,,67-59,,J. Collins enters the game for K. Bazemore
4:52.0,J. Holiday misses 2-pt shot from 12 ft,,67-59,,
4:49.0,,,67-59,,Defensive rebound by D. Dedmon
4:48.0,Personal foul by A. Davis (drawn by D. Dedmon),,67-59,,
4:48.0,I. Clark enters the game for R. Rondo,,67-59,,
4:48.0,D. Miller enters the game for E. Moore,,67-59,,
4:29.0,,,67-61,2,J. Collins makes 2-pt shot from 3 ft (assist by D. Dedmon)
4:13.0,Shooting foul by M. Delaney (drawn by J. Holiday),,67-61,,
4:13.0,J. Holiday misses free throw 1 of 2,,67-61,,
4:13.0,Offensive rebound by Team,,67-61,,
4:13.0,,,67-61,,Violation by J. Collins (lane)
4:13.0,J. Holiday makes free throw 2 of 2,1,68-61,,
4:01.0,,,68-61,,D. Schroder misses 3-pt shot from 24 ft
3:57.0,,,68-61,,Offensive rebound by M. Belinelli
3:55.0,,,68-63,2,D. Dedmon makes 2-pt shot from 19 ft (assist by M. Belinelli)
3:39.0,Turnover by D. Miller (bad pass; steal by M. Belinelli),,68-63,,
3:28.0,Personal foul by I. Clark (drawn by D. Schroder),,68-63,,
3:17.0,,,68-65,2,M. Delaney makes 2-pt shot from 21 ft (assist by D. Schroder)
2:56.0,D. Cunningham misses 3-pt shot from 23 ft,,68-65,,
2:53.0,,,68-65,,Defensive rebound by D. Dedmon
2:44.0,,,68-65,,D. Schroder misses 2-pt shot from 1 ft (block by A. Davis)
2:43.0,,,68-65,,Offensive rebound by Team
2:43.0,New Orleans full timeout,,68-65,,
2:43.0,,,68-65,,T. Waller-Prince enters the game for D. Schroder
2:43.0,D. Cousins enters the game for A. Davis,,68-65,,
2:31.0,,,68-67,2,D. Dedmon makes 2-pt shot from 21 ft (assist by M. Delaney)
2:14.0,I. Clark misses 3-pt shot from 24 ft,,68-67,,
2:11.0,,,68-67,,Defensive rebound by D. Dedmon
2:04.0,,,68-67,,Turnover by M. Delaney (bad pass; steal by I. Clark)
1:51.0,J. Holiday makes 2-pt shot from 5 ft,2,70-67,,
1:28.0,,,70-67,,D. Dedmon misses 3-pt shot from 25 ft
1:25.0,Defensive rebound by D. Miller,,70-67,,
1:16.0,J. Holiday misses 3-pt shot from 24 ft,,70-67,,
1:13.0,,,70-67,,Defensive rebound by M. Delaney
1:06.0,,,70-70,3,T. Waller-Prince makes 3-pt shot from 24 ft (assist by J. Collins)
0:49.0,D. Cousins misses 2-pt shot from 1 ft,,70-70,,
0:46.0,,,70-70,,Defensive rebound by J. Collins
0:41.0,Personal foul by J. Holiday (drawn by M. Delaney),,70-70,,
0:41.0,J. Nelson enters the game for J. Holiday,,70-70,,
0:41.0,,,70-71,1,M. Delaney makes free throw 1 of 2
0:41.0,,,70-71,,M. Delaney misses free throw 2 of 2
0:38.0,Defensive rebound by D. Cunningham,,70-71,,
0:21.0,Turnover by D. Cousins (traveling),,70-71,,
0:04.0,,,70-71,,D. Dedmon misses 3-pt shot from 24 ft
0:04.0,Defensive rebound by I. Clark,,70-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,70-73,2,J. Collins makes 2-pt shot from 1 ft (assist by M. Belinelli)
11:23.0,J. Nelson misses 2-pt shot from 23 ft,,70-73,,
11:23.0,,,70-73,,Defensive rebound by M. Belinelli
11:17.0,,,70-73,,M. Belinelli misses 3-pt shot from 24 ft
11:16.0,Defensive rebound by Team,,70-73,,
11:16.0,A. Davis enters the game for D. Cunningham,,70-73,,
11:01.0,I. Clark misses 2-pt shot from 12 ft,,70-73,,
10:58.0,Offensive rebound by Team,,70-73,,
10:54.0,,,70-73,,Personal foul by E. Ilyasova (drawn by D. Cousins)
10:35.0,Turnover by D. Cousins (turnover),,70-73,,
10:22.0,,,70-73,,Turnover by M. Delaney (bad pass; steal by D. Cousins)
10:08.0,A. Davis misses 2-pt shot from 6 ft,,70-73,,
10:04.0,,,70-73,,Defensive rebound by M. Delaney
9:57.0,,,70-76,3,M. Delaney makes 3-pt shot from 24 ft
9:41.0,I. Clark makes 2-pt shot from 17 ft (assist by J. Nelson),2,72-76,,
9:28.0,,,72-78,2,M. Belinelli makes 2-pt shot from 1 ft (assist by T. Waller-Prince)
9:01.0,D. Miller makes 3-pt shot from 24 ft (assist by D. Cousins),3,75-78,,
8:45.0,,,75-78,,M. Delaney misses 2-pt shot from 15 ft
8:42.0,Defensive rebound by D. Cousins,,75-78,,
8:34.0,D. Cousins makes 2-pt shot from 3 ft (assist by J. Nelson),2,77-78,,
8:34.0,Shooting foul by J. Collins (drawn by D. Cousins),,77-78,,
8:34.0,,,77-78,,K. Bazemore enters the game for M. Belinelli
8:34.0,,,77-78,,D. Dedmon enters the game for J. Collins
8:34.0,J. Holiday enters the game for J. Nelson,,77-78,,
8:34.0,D. Cousins misses free throw 1 of 1,,77-78,,
8:32.0,,,77-78,,Defensive rebound by D. Dedmon
8:09.0,,,77-78,,K. Bazemore misses 3-pt shot from 22 ft
8:09.0,,,77-78,,Offensive rebound by Team
8:09.0,,,77-78,,Turnover by Team (shot clock)
7:49.0,I. Clark makes 2-pt shot from 18 ft (assist by D. Cousins),2,79-78,,
7:30.0,,,79-78,,K. Bazemore misses 2-pt shot from 20 ft
7:30.0,Defensive rebound by Team,,79-78,,
7:30.0,,,79-78,,Loose ball foul by D. Dedmon (drawn by A. Davis)
7:30.0,,,79-78,,D. Schroder enters the game for M. Delaney
7:16.0,D. Miller makes 2-pt shot from 16 ft (assist by I. Clark),2,81-78,,
7:15.0,,,81-78,,Atlanta full timeout
7:03.0,,,81-78,,Offensive foul by D. Dedmon (drawn by A. Davis)
7:03.0,,,81-78,,Turnover by D. Dedmon (offensive foul)
6:47.0,Turnover by D. Cousins (bad pass; steal by D. Dedmon),,81-78,,
6:35.0,,,81-78,,T. Waller-Prince misses 3-pt shot from 24 ft
6:32.0,,,81-78,,Offensive rebound by D. Dedmon
6:24.0,,,81-78,,D. Schroder misses 2-pt shot from 18 ft
6:22.0,Defensive rebound by D. Cousins,,81-78,,
6:07.0,A. Davis misses 2-pt shot from 2 ft,,81-78,,
6:04.0,,,81-78,,Defensive rebound by D. Dedmon
5:59.0,,,81-81,3,E. Ilyasova makes 3-pt shot from 23 ft (assist by D. Schroder)
5:40.0,I. Clark misses 3-pt shot from 25 ft,,81-81,,
5:40.0,Offensive rebound by Team,,81-81,,
5:40.0,,,81-81,,Loose ball foul by D. Schroder (drawn by A. Davis)
5:40.0,,,81-81,,J. Collins enters the game for E. Ilyasova
5:34.0,I. Clark makes 3-pt shot from 25 ft (assist by D. Cousins),3,84-81,,
5:12.0,,,84-83,2,T. Waller-Prince makes 2-pt shot from 1 ft (assist by K. Bazemore)
5:00.0,D. Cousins misses 3-pt shot from 25 ft,,84-83,,
4:56.0,Offensive rebound by I. Clark,,84-83,,
4:48.0,D. Cousins makes 2-pt shot from 1 ft (assist by J. Holiday),2,86-83,,
4:48.0,Shooting foul by D. Dedmon (drawn by D. Cousins),,86-83,,
4:48.0,,,86-83,,E. Ilyasova enters the game for D. Dedmon
4:48.0,D. Cousins makes free throw 1 of 1,1,87-83,,
4:31.0,,,87-85,2,J. Collins makes 2-pt shot at rim (assist by K. Bazemore)
4:13.0,D. Cousins misses 2-pt shot from 22 ft,,87-85,,
4:10.0,,,87-85,,Defensive rebound by D. Schroder
3:58.0,,,87-85,,T. Waller-Prince misses 3-pt shot from 26 ft
3:55.0,Defensive rebound by J. Holiday,,87-85,,
3:49.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,89-85,,
3:31.0,,,89-85,,D. Schroder misses 2-pt shot at rim
3:27.0,Defensive rebound by A. Davis,,89-85,,
3:24.0,New Orleans full timeout,,89-85,,
3:08.0,I. Clark misses 3-pt shot from 24 ft,,89-85,,
