time,Miami,pts.away,score,pts.home,Portland
9:37.0,K. Olynyk makes free throw 2 of 2,1,30-37,,
9:14.0,,,30-37,,Shooting foul by K. Olynyk (drawn by Z. Collins)
9:14.0,,,30-38,1,Z. Collins makes free throw 1 of 2
9:14.0,B. Adebayo enters the game for K. Olynyk,,30-38,,
9:14.0,,,30-39,1,Z. Collins makes free throw 2 of 2
8:53.0,Turnover by B. Adebayo (lost ball; steal by E. Turner),,30-39,,
8:44.0,,,30-39,,C. McCollum misses 3-pt shot from 24 ft
8:39.0,Defensive rebound by B. Adebayo,,30-39,,
8:25.0,W. Ellington makes 3-pt shot from 24 ft (assist by B. Adebayo),3,33-39,,
8:13.0,Personal foul by W. Ellington (drawn by E. Turner),,33-39,,
8:05.0,,,33-39,,S. Napier misses 2-pt shot from 19 ft
8:02.0,Defensive rebound by J. Winslow,,33-39,,
7:57.0,W. Ellington misses 3-pt shot from 26 ft,,33-39,,
7:55.0,,,33-39,,Defensive rebound by E. Davis
7:46.0,,,33-39,,E. Turner misses 2-pt shot from 7 ft
7:43.0,,,33-39,,Offensive rebound by E. Turner
7:41.0,,,33-42,3,C. McCollum makes 3-pt shot from 24 ft (assist by E. Turner)
7:17.0,R. McGruder misses 2-pt shot from 9 ft,,33-42,,
7:15.0,,,33-42,,Defensive rebound by Z. Collins
7:04.0,,,33-45,3,Z. Collins makes 3-pt shot from 24 ft (assist by C. McCollum)
7:03.0,Miami full timeout,,33-45,,
7:03.0,G. Dragic enters the game for W. Ellington,,33-45,,
7:03.0,J. Richardson enters the game for R. McGruder,,33-45,,
6:41.0,G. Dragic misses 3-pt shot from 25 ft,,33-45,,
6:39.0,,,33-45,,Defensive rebound by E. Davis
6:27.0,Personal foul by T. Johnson (drawn by S. Napier),,33-45,,
6:27.0,K. Olynyk enters the game for T. Johnson,,33-45,,
6:15.0,,,33-45,,S. Napier misses 3-pt shot from 25 ft
6:14.0,Defensive rebound by K. Olynyk,,33-45,,
6:06.0,Shooting foul by E. Davis (drawn by B. Adebayo),,33-45,,
6:06.0,B. Adebayo makes free throw 1 of 2,1,34-45,,
6:06.0,,,34-45,,J. Nurkic enters the game for C. McCollum
6:06.0,,,34-45,,D. Lillard enters the game for E. Davis
6:06.0,,,34-45,,A. Aminu enters the game for Z. Collins
6:06.0,B. Adebayo makes free throw 2 of 2,1,35-45,,
5:50.0,,,35-47,2,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Lillard)
5:37.0,B. Adebayo misses 2-pt shot from 13 ft,,35-47,,
5:34.0,,,35-47,,Defensive rebound by A. Aminu
5:27.0,,,35-47,,D. Lillard misses 3-pt shot from 26 ft
5:24.0,Defensive rebound by J. Winslow,,35-47,,
5:19.0,G. Dragic misses 2-pt shot from 5 ft,,35-47,,
5:18.0,B. Adebayo misses 2-pt shot from 2 ft,,35-47,,
5:18.0,Offensive rebound by B. Adebayo,,35-47,,
5:18.0,Offensive rebound by B. Adebayo,,35-47,,
5:13.0,B. Adebayo misses 2-pt shot from 2 ft (block by J. Nurkic),,35-47,,
5:13.0,,,35-47,,Defensive rebound by S. Napier
4:57.0,,,35-49,2,J. Nurkic makes 2-pt shot from 5 ft (assist by E. Turner)
4:43.0,J. Richardson misses 2-pt shot from 16 ft,,35-49,,
4:39.0,,,35-49,,Defensive rebound by J. Nurkic
4:33.0,,,35-49,,Turnover by E. Turner (bad pass; steal by B. Adebayo)
4:33.0,,,35-49,,Loose ball foul by J. Nurkic (drawn by B. Adebayo)
4:33.0,J. Johnson enters the game for K. Olynyk,,35-49,,
4:21.0,B. Adebayo misses 2-pt shot from 1 ft (block by J. Nurkic),,35-49,,
4:19.0,,,35-49,,Defensive rebound by A. Aminu
4:15.0,,,35-49,,A. Aminu misses 3-pt shot from 23 ft
4:12.0,Defensive rebound by J. Winslow,,35-49,,
4:02.0,B. Adebayo misses 2-pt shot from 5 ft,,35-49,,
3:59.0,,,35-49,,Defensive rebound by S. Napier
3:39.0,,,35-49,,S. Napier misses 2-pt shot from 21 ft
3:37.0,Defensive rebound by G. Dragic,,35-49,,
3:20.0,J. Richardson misses 2-pt shot from 4 ft,,35-49,,
3:18.0,,,35-49,,Defensive rebound by A. Aminu
3:12.0,,,35-49,,S. Napier misses 3-pt shot from 24 ft
3:10.0,,,35-49,,Offensive rebound by J. Nurkic
3:09.0,,,35-49,,J. Nurkic misses 2-pt shot from 1 ft
3:09.0,Defensive rebound by B. Adebayo,,35-49,,
2:51.0,G. Dragic makes 2-pt shot from 15 ft,2,37-49,,
2:51.0,Shooting foul by E. Turner (drawn by G. Dragic),,37-49,,
2:51.0,,,37-49,,Portland full timeout
2:51.0,,,37-49,,M. Harkless enters the game for E. Turner
2:51.0,,,37-49,,C. McCollum enters the game for S. Napier
2:51.0,G. Dragic makes free throw 1 of 1,1,38-49,,
2:33.0,,,38-49,,C. McCollum misses 3-pt shot from 22 ft
2:29.0,Defensive rebound by J. Johnson,,38-49,,
2:26.0,G. Dragic makes 2-pt shot at rim (assist by J. Johnson),2,40-49,,
2:09.0,,,40-49,,A. Aminu misses 3-pt shot from 22 ft
2:06.0,Defensive rebound by J. Winslow,,40-49,,
2:01.0,G. Dragic makes 2-pt shot from 4 ft (assist by J. Winslow),2,42-49,,
1:45.0,,,42-49,,Shooting foul by J. Richardson (drawn by D. Lillard)
1:45.0,,,42-50,1,D. Lillard makes free throw 1 of 3
1:45.0,,,42-51,1,D. Lillard makes free throw 2 of 3
1:45.0,W. Ellington enters the game for J. Richardson,,42-51,,
1:45.0,,,42-52,1,D. Lillard makes free throw 3 of 3
1:27.0,J. Winslow misses 3-pt shot from 22 ft,,42-52,,
1:23.0,,,42-52,,Defensive rebound by J. Nurkic
1:16.0,,,42-54,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
1:01.0,W. Ellington makes 3-pt shot from 25 ft (assist by J. Johnson),3,45-54,,
0:48.0,,,45-57,3,D. Lillard makes 3-pt shot from 27 ft (assist by C. McCollum)
0:38.0,J. Johnson makes 2-pt shot from 20 ft (assist by J. Winslow),2,47-57,,
0:32.0,,,47-59,2,C. McCollum makes 2-pt shot from 1 ft
0:12.0,G. Dragic misses 3-pt shot from 25 ft,,47-59,,
0:09.0,,,47-59,,Defensive rebound by C. McCollum
0:00.0,,,47-59,,D. Lillard misses 3-pt shot from 24 ft
0:00.0,,,47-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Personal foul by J. Johnson (drawn by A. Aminu),,47-59,,
11:37.0,,,47-59,,Turnover by A. Aminu (step out of bounds)
11:21.0,T. Johnson makes 2-pt shot from 1 ft (assist by J. Johnson),2,49-59,,
10:58.0,,,49-59,,C. McCollum misses 2-pt shot from 23 ft
10:53.0,Defensive rebound by J. Richardson,,49-59,,
10:46.0,,,49-59,,Personal foul by A. Aminu (drawn by J. Richardson)
10:40.0,J. Johnson makes 2-pt shot at rim (assist by G. Dragic),2,51-59,,
10:40.0,Shooting foul by C. McCollum (drawn by J. Johnson),,51-59,,
10:40.0,J. Johnson misses free throw 1 of 1,,51-59,,
10:38.0,,,51-59,,Defensive rebound by J. Nurkic
10:30.0,,,51-61,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
10:19.0,G. Dragic makes 2-pt shot from 13 ft,2,53-61,,
10:00.0,,,53-61,,Shooting foul by B. Adebayo (drawn by J. Nurkic)
10:00.0,,,53-61,,J. Nurkic misses free throw 1 of 2
10:00.0,,,53-61,,Offensive rebound by Team
10:00.0,,,53-62,1,J. Nurkic makes free throw 2 of 2
9:46.0,T. Johnson misses 2-pt shot from 5 ft (block by J. Nurkic),,53-62,,
9:42.0,Offensive rebound by J. Richardson,,53-62,,
9:40.0,T. Johnson makes 3-pt shot from 22 ft (assist by J. Richardson),3,56-62,,
9:30.0,,,56-62,,Shooting foul by G. Dragic (drawn by M. Harkless)
9:30.0,,,56-63,1,M. Harkless makes free throw 1 of 2
9:30.0,,,56-63,,M. Harkless misses free throw 2 of 2
9:14.0,Defensive rebound by B. Adebayo,,56-63,,
9:13.0,B. Adebayo misses 2-pt shot from 3 ft,,56-63,,
9:09.0,Offensive rebound by B. Adebayo,,56-63,,
9:09.0,B. Adebayo misses 2-pt shot at rim,,56-63,,
9:08.0,Offensive rebound by B. Adebayo,,56-63,,
9:08.0,B. Adebayo misses 2-pt shot at rim,,56-63,,
9:08.0,,,56-63,,Defensive rebound by A. Aminu
9:07.0,Personal foul by J. Johnson (drawn by A. Aminu),,56-63,,
9:01.0,,,56-66,3,D. Lillard makes 3-pt shot from 26 ft (assist by C. McCollum)
8:49.0,Shooting foul by J. Nurkic (drawn by J. Johnson),,56-66,,
8:49.0,J. Johnson misses free throw 1 of 2,,56-66,,
8:49.0,Offensive rebound by Team,,56-66,,
8:49.0,J. Johnson makes free throw 2 of 2,1,57-66,,
8:39.0,,,57-69,3,D. Lillard makes 3-pt shot from 25 ft
8:27.0,Offensive foul by G. Dragic (drawn by D. Lillard),,57-69,,
8:27.0,Turnover by G. Dragic (offensive foul),,57-69,,
8:09.0,,,57-69,,D. Lillard misses 3-pt shot from 22 ft
8:06.0,Defensive rebound by J. Johnson,,57-69,,
8:01.0,Turnover by J. Johnson (lost ball; steal by C. McCollum),,57-69,,
7:40.0,,,57-71,2,J. Nurkic makes 2-pt shot from 4 ft (assist by D. Lillard)
7:38.0,Miami full timeout,,57-71,,
7:30.0,,,57-71,,Personal foul by C. McCollum (drawn by T. Johnson)
7:24.0,,,57-71,,Personal foul by C. McCollum (drawn by T. Johnson)
7:24.0,T. Johnson misses free throw 1 of 2,,57-71,,
7:24.0,Offensive rebound by Team,,57-71,,
7:24.0,T. Johnson makes free throw 2 of 2,1,58-71,,
7:09.0,,,58-71,,J. Nurkic misses 2-pt shot from 3 ft
7:08.0,,,58-71,,Offensive rebound by Team
6:58.0,,,58-73,2,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Lillard)
6:42.0,J. Richardson makes 2-pt shot from 1 ft (assist by B. Adebayo),2,60-73,,
6:32.0,,,60-73,,C. McCollum misses 2-pt shot from 2 ft
6:30.0,Defensive rebound by B. Adebayo,,60-73,,
6:24.0,G. Dragic makes 2-pt shot from 14 ft,2,62-73,,
6:03.0,Personal foul by B. Adebayo (drawn by D. Lillard),,62-73,,
6:03.0,,,62-74,1,D. Lillard makes free throw 1 of 2
6:03.0,,,62-75,1,D. Lillard makes free throw 2 of 2
5:52.0,G. Dragic makes 2-pt shot from 14 ft,2,64-75,,
5:29.0,,,64-75,,Shooting foul by J. Richardson (drawn by C. McCollum)
5:29.0,,,64-76,1,C. McCollum makes free throw 1 of 2
5:29.0,,,64-76,,E. Turner enters the game for M. Harkless
5:29.0,W. Ellington enters the game for J. Richardson,,64-76,,
5:29.0,,,64-77,1,C. McCollum makes free throw 2 of 2
5:15.0,T. Johnson makes 3-pt shot from 25 ft (assist by B. Adebayo),3,67-77,,
4:57.0,,,67-79,2,E. Turner makes 2-pt shot from 6 ft (assist by A. Aminu)
4:38.0,G. Dragic misses 2-pt shot from 10 ft,,67-79,,
4:37.0,Offensive rebound by Team,,67-79,,
4:37.0,,,67-79,,P. Connaughton enters the game for C. McCollum
4:33.0,T. Johnson misses 2-pt shot from 21 ft,,67-79,,
4:30.0,,,67-79,,Defensive rebound by J. Nurkic
4:18.0,,,67-79,,Shooting foul by W. Ellington (drawn by E. Turner)
4:18.0,,,67-80,1,E. Turner makes free throw 1 of 2
4:18.0,,,67-81,1,E. Turner makes free throw 2 of 2
4:11.0,T. Johnson misses 3-pt shot from 24 ft,,67-81,,
4:09.0,,,67-81,,Defensive rebound by A. Aminu
4:02.0,,,67-84,3,D. Lillard makes 3-pt shot from 28 ft
3:48.0,Offensive foul by B. Adebayo (drawn by D. Lillard),,67-84,,
3:48.0,Turnover by B. Adebayo (offensive foul),,67-84,,
3:48.0,K. Olynyk enters the game for B. Adebayo,,67-84,,
3:37.0,,,67-86,2,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Lillard)
3:37.0,Miami full timeout,,67-86,,
3:37.0,J. Winslow enters the game for T. Johnson,,67-86,,
3:37.0,R. McGruder enters the game for J. Johnson,,67-86,,
3:19.0,Turnover by W. Ellington (bad pass; steal by E. Turner),,67-86,,
3:15.0,,,67-86,,E. Turner misses 2-pt shot from 2 ft
3:14.0,Defensive rebound by J. Winslow,,67-86,,
3:03.0,J. Winslow makes 2-pt shot from 2 ft (assist by K. Olynyk),2,69-86,,
2:46.0,,,69-86,,A. Aminu misses 3-pt shot from 25 ft
2:43.0,Defensive rebound by R. McGruder,,69-86,,
2:30.0,K. Olynyk makes 3-pt shot from 24 ft,3,72-86,,
2:08.0,,,72-86,,A. Aminu misses 2-pt shot from 1 ft
2:05.0,,,72-86,,Offensive rebound by J. Nurkic
2:05.0,,,72-86,,J. Nurkic misses 2-pt shot at rim
2:04.0,Defensive rebound by J. Winslow,,72-86,,
1:56.0,W. Ellington misses 3-pt shot from 22 ft,,72-86,,
1:54.0,,,72-86,,Defensive rebound by D. Lillard
1:40.0,,,72-88,2,D. Lillard makes 2-pt shot from 1 ft
1:22.0,G. Dragic misses 2-pt shot from 1 ft,,72-88,,
1:19.0,,,72-88,,Defensive rebound by J. Nurkic
1:01.0,,,72-88,,D. Lillard misses 3-pt shot from 27 ft
0:59.0,,,72-88,,Offensive rebound by J. Nurkic
0:58.0,,,72-88,,J. Nurkic misses 2-pt shot from 1 ft
0:58.0,Defensive rebound by J. Winslow,,72-88,,
0:50.0,J. Winslow misses 2-pt shot from 1 ft,,72-88,,
0:49.0,,,72-88,,Defensive rebound by J. Nurkic
0:31.0,,,72-88,,Offensive foul by J. Nurkic (drawn by K. Olynyk)
0:31.0,,,72-88,,Turnover by J. Nurkic (offensive foul)
0:31.0,,,72-88,,E. Davis enters the game for A. Aminu
0:31.0,,,72-88,,Z. Collins enters the game for J. Nurkic
0:10.0,K. Olynyk misses 3-pt shot from 24 ft (block by Z. Collins),,72-88,,
0:07.0,,,72-88,,Defensive rebound by D. Lillard
0:01.0,,,72-88,,Turnover by D. Lillard (lost ball; steal by W. Ellington)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,,,72-88,,Violation by E. Davis (kicked ball)
11:41.0,W. Ellington misses 3-pt shot from 24 ft,,72-88,,
11:37.0,,,72-88,,Defensive rebound by E. Davis
11:25.0,,,72-88,,Z. Collins misses 2-pt shot from 1 ft (block by J. Winslow)
11:21.0,Defensive rebound by J. Winslow,,72-88,,
11:18.0,R. McGruder misses 3-pt shot from 22 ft,,72-88,,
11:13.0,,,72-88,,Defensive rebound by E. Davis
11:07.0,,,72-90,2,E. Davis makes 2-pt shot from 1 ft (assist by C. McCollum)
11:07.0,,,72-90,,Shooting foul by T. Johnson (drawn by E. Davis)
11:07.0,,,72-91,1,E. Davis makes free throw 1 of 1
10:57.0,K. Olynyk makes 2-pt shot from 17 ft (assist by J. Winslow),2,74-91,,
10:38.0,,,74-91,,Turnover by Z. Collins (traveling)
10:19.0,R. McGruder makes 2-pt shot at rim (assist by T. Johnson),2,76-91,,
9:53.0,,,76-91,,Turnover by C. McCollum (lost ball; steal by W. Ellington)
9:50.0,W. Ellington makes 2-pt shot from 1 ft,2,78-91,,
9:48.0,,,78-91,,Portland full timeout
9:33.0,,,78-93,2,S. Napier makes 2-pt shot from 20 ft (assist by C. McCollum)
9:12.0,J. Winslow makes 3-pt shot from 23 ft (assist by K. Olynyk),3,81-93,,
8:52.0,,,81-93,,Turnover by S. Napier (out of bounds lost ball)
8:43.0,J. Winslow makes 2-pt shot from 1 ft,2,83-93,,
8:18.0,,,83-93,,E. Turner misses 3-pt shot from 22 ft
8:14.0,Defensive rebound by K. Olynyk,,83-93,,
7:59.0,J. Winslow makes 2-pt shot from 1 ft (assist by K. Olynyk),2,85-93,,
7:42.0,,,85-93,,Turnover by E. Turner (lost ball; steal by K. Olynyk)
7:37.0,W. Ellington misses 2-pt shot at rim,,85-93,,
7:37.0,Offensive rebound by R. McGruder,,85-93,,
7:36.0,R. McGruder makes 2-pt shot at rim,2,87-93,,
7:35.0,,,87-93,,Portland full timeout
7:35.0,,,87-93,,A. Aminu enters the game for Z. Collins
7:35.0,,,87-93,,P. Connaughton enters the game for S. Napier
7:35.0,,,87-93,,D. Lillard enters the game for C. McCollum
7:12.0,,,87-93,,A. Aminu misses 2-pt shot from 7 ft
7:10.0,Defensive rebound by W. Ellington,,87-93,,
7:01.0,J. Winslow misses 2-pt shot from 6 ft,,87-93,,
6:58.0,,,87-93,,Defensive rebound by E. Turner
6:52.0,,,87-93,,Turnover by D. Lillard (bad pass; steal by R. McGruder)
6:47.0,W. Ellington misses 3-pt shot from 25 ft,,87-93,,
6:42.0,Offensive rebound by K. Olynyk,,87-93,,
6:38.0,T. Johnson makes 3-pt shot from 25 ft (assist by K. Olynyk),3,90-93,,
6:21.0,,,90-93,,D. Lillard misses 3-pt shot from 28 ft
6:17.0,Defensive rebound by K. Olynyk,,90-93,,
6:08.0,Turnover by K. Olynyk (traveling),,90-93,,
6:08.0,,,90-93,,J. Nurkic enters the game for E. Davis
5:56.0,,,90-96,3,D. Lillard makes 3-pt shot from 24 ft (assist by E. Turner)
5:36.0,K. Olynyk misses 3-pt shot from 25 ft,,90-96,,
5:32.0,,,90-96,,Defensive rebound by E. Turner
5:26.0,,,90-98,2,E. Turner makes 2-pt shot from 1 ft (assist by J. Nurkic)
5:26.0,Miami full timeout,,90-98,,
5:10.0,T. Johnson makes 2-pt shot from 14 ft (assist by R. McGruder),2,92-98,,
4:46.0,,,92-98,,A. Aminu misses 3-pt shot from 22 ft
4:43.0,Defensive rebound by R. McGruder,,92-98,,
4:29.0,W. Ellington misses 3-pt shot from 27 ft,,92-98,,
4:26.0,,,92-98,,Defensive rebound by D. Lillard
4:12.0,,,92-101,3,A. Aminu makes 3-pt shot from 22 ft
3:53.0,J. Winslow makes 3-pt shot from 24 ft (assist by K. Olynyk),3,95-101,,
3:27.0,,,95-104,3,D. Lillard makes 3-pt shot from 26 ft
