time,Philadelphia,pts.away,score,pts.home,Miami
3:57.0,,,24-18,,D. Wade enters the game for G. Dragic
3:57.0,,,24-18,,B. Adebayo enters the game for J. Johnson
3:39.0,,,24-18,,J. Winslow misses 3-pt shot from 22 ft
3:38.0,Defensive rebound by M. Belinelli,,24-18,,
3:19.0,M. Belinelli makes 3-pt shot from 28 ft,3,27-18,,
2:52.0,,,27-21,3,J. Winslow makes 3-pt shot from 22 ft (assist by D. Wade)
2:40.0,E. Ilyasova makes 3-pt shot from 26 ft (assist by J. Redick),3,30-21,,
2:25.0,,,30-21,,Turnover by J. Winslow (bad pass; steal by B. Simmons)
2:16.0,A. Johnson makes 2-pt shot from 1 ft (assist by J. Redick),2,32-21,,
2:08.0,,,32-21,,Miami full timeout
2:08.0,M. Fultz enters the game for A. Johnson,,32-21,,
2:08.0,J. Embiid enters the game for B. Simmons,,32-21,,
1:58.0,,,32-21,,Shooting foul by J. Embiid (drawn by D. Wade)
1:58.0,,,32-22,1,D. Wade makes free throw 1 of 2
1:58.0,,,32-23,1,D. Wade makes free throw 2 of 2
1:41.0,J. Redick misses 3-pt shot from 24 ft,,32-23,,
1:40.0,,,32-23,,Defensive rebound by J. Winslow
1:37.0,,,32-23,,Shooting foul by M. Fultz (drawn by J. Winslow)
1:37.0,,,32-24,1,J. Winslow makes free throw 1 of 2
1:37.0,,,32-25,1,J. Winslow makes free throw 2 of 2
1:37.0,Turnover by J. Embiid (step out of bounds),,32-25,,
1:34.0,,,32-25,,K. Olynyk misses 3-pt shot from 24 ft
1:32.0,Defensive rebound by M. Fultz,,32-25,,
1:25.0,J. Embiid misses 3-pt shot from 25 ft,,32-25,,
1:24.0,,,32-25,,Defensive rebound by J. Winslow
1:20.0,,,32-25,,Shooting foul by J. Redick (drawn by J. Winslow)
1:20.0,,,32-26,1,J. Winslow makes free throw 1 of 2
1:20.0,,,32-27,1,J. Winslow makes free throw 2 of 2
1:03.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by M. Fultz),2,34-27,,
0:53.0,,,34-30,3,J. Winslow makes 3-pt shot from 25 ft (assist by K. Olynyk)
0:42.0,,,34-30,,Personal foul by B. Adebayo (drawn by J. Embiid)
0:42.0,J. Embiid misses free throw 1 of 2,,34-30,,
0:42.0,Offensive rebound by Team,,34-30,,
0:42.0,R. Covington enters the game for J. Redick,,34-30,,
0:42.0,J. Embiid makes free throw 2 of 2,1,35-30,,
0:27.0,,,35-33,3,W. Ellington makes 3-pt shot from 23 ft (assist by D. Wade)
0:07.0,M. Belinelli makes 2-pt shot from 16 ft (assist by J. Embiid),2,37-33,,
0:00.0,,,37-33,,D. Wade misses 2-pt shot from 22 ft
0:00.0,,,37-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:32.0,,,37-33,,J. Winslow misses 2-pt shot from 19 ft
11:31.0,Defensive rebound by E. Ilyasova,,37-33,,
11:20.0,J. Embiid misses 2-pt shot from 2 ft (block by D. Wade),,37-33,,
11:19.0,Offensive rebound by Team,,37-33,,
11:16.0,J. Redick misses 2-pt shot from 19 ft,,37-33,,
11:13.0,,,37-33,,Defensive rebound by J. Winslow
11:04.0,,,37-33,,D. Wade misses 2-pt shot from 16 ft
11:03.0,Defensive rebound by J. Anderson,,37-33,,
10:56.0,,,37-33,,Personal foul by B. Adebayo (drawn by J. Embiid)
10:56.0,,,37-33,,H. Whiteside enters the game for B. Adebayo
10:51.0,,,37-33,,Violation by J. Winslow (kicked ball)
10:42.0,J. Anderson misses 3-pt shot from 25 ft,,37-33,,
10:41.0,,,37-33,,Defensive rebound by W. Ellington
10:27.0,,,37-33,,K. Olynyk misses 2-pt shot from 1 ft (block by E. Ilyasova)
10:26.0,Defensive rebound by E. Ilyasova,,37-33,,
10:05.0,E. Ilyasova misses 2-pt shot from 19 ft,,37-33,,
10:04.0,Offensive rebound by J. Embiid,,37-33,,
9:55.0,J. Embiid misses 2-pt shot from 9 ft,,37-33,,
9:54.0,,,37-33,,Defensive rebound by J. Winslow
9:47.0,,,37-33,,Shooting foul by M. Fultz (drawn by J. Winslow)
9:47.0,,,37-34,1,J. Winslow makes free throw 1 of 2
9:47.0,B. Simmons enters the game for M. Fultz,,37-34,,
9:47.0,,,37-35,1,J. Winslow makes free throw 2 of 2
9:36.0,J. Anderson makes 3-pt shot from 22 ft (assist by B. Simmons),3,40-35,,
9:18.0,,,40-35,,Shooting foul by E. Ilyasova (drawn by H. Whiteside)
9:18.0,,,40-35,,H. Whiteside misses free throw 1 of 2
9:18.0,,,40-35,,Offensive rebound by Team
9:18.0,,,40-36,1,H. Whiteside makes free throw 2 of 2
9:00.0,Turnover by B. Simmons (bad pass; steal by D. Wade),,40-36,,
8:57.0,,,40-36,,Shooting foul by J. Anderson (drawn by H. Whiteside)
8:57.0,,,40-37,1,H. Whiteside makes free throw 1 of 2
8:57.0,,,40-38,1,H. Whiteside makes free throw 2 of 2
8:45.0,B. Simmons makes 2-pt shot from 2 ft,2,42-38,,
8:28.0,,,42-38,,W. Ellington misses 3-pt shot from 25 ft
8:27.0,Defensive rebound by B. Simmons,,42-38,,
8:15.0,Shooting foul by H. Whiteside (drawn by J. Embiid),,42-38,,
8:15.0,J. Embiid misses free throw 1 of 2,,42-38,,
8:15.0,Offensive rebound by Team,,42-38,,
8:15.0,,,42-38,,B. Adebayo enters the game for H. Whiteside
8:15.0,J. Embiid makes free throw 2 of 2,1,43-38,,
7:58.0,,,43-38,,D. Wade misses 2-pt shot from 14 ft
7:57.0,,,43-38,,Offensive rebound by B. Adebayo
7:51.0,,,43-40,2,B. Adebayo makes 2-pt shot from 1 ft
7:51.0,Philadelphia full timeout,,43-40,,
7:51.0,,,43-40,,J. Johnson enters the game for W. Ellington
7:51.0,,,43-40,,G. Dragic enters the game for B. Adebayo
7:51.0,A. Johnson enters the game for J. Anderson,,43-40,,
7:51.0,D. Saric enters the game for J. Embiid,,43-40,,
7:51.0,R. Covington enters the game for E. Ilyasova,,43-40,,
7:33.0,J. Redick misses 3-pt shot from 25 ft,,43-40,,
7:32.0,,,43-40,,Defensive rebound by D. Wade
7:30.0,,,43-40,,Turnover by D. Wade (bad pass; steal by R. Covington)
7:25.0,Turnover by B. Simmons (bad pass; steal by J. Winslow),,43-40,,
7:22.0,,,43-42,2,G. Dragic makes 2-pt shot from 1 ft (assist by J. Winslow)
7:22.0,,,43-42,,Shooting foul by R. Covington (drawn by G. Dragic)
7:22.0,,,43-43,1,G. Dragic makes free throw 1 of 1
7:22.0,M. Belinelli enters the game for J. Redick,,43-43,,
7:10.0,M. Belinelli misses 3-pt shot from 25 ft,,43-43,,
7:05.0,,,43-43,,Defensive rebound by J. Johnson
7:01.0,,,43-46,3,J. Winslow makes 3-pt shot from 24 ft (assist by G. Dragic)
6:55.0,,,43-46,,Personal foul by J. Winslow (drawn by B. Simmons)
6:45.0,M. Belinelli makes 3-pt shot from 26 ft (assist by D. Saric),3,46-46,,
6:23.0,,,46-46,,Turnover by D. Wade (bad pass)
6:23.0,,,46-46,,J. Richardson enters the game for D. Wade
6:12.0,,,46-46,,Personal foul by G. Dragic (drawn by R. Covington)
5:58.0,B. Simmons makes 2-pt shot from 17 ft,2,48-46,,
5:42.0,,,48-46,,Shooting foul by B. Simmons (drawn by J. Johnson)
5:42.0,,,48-46,,J. Johnson misses free throw 1 of 2
5:42.0,,,48-46,,Offensive rebound by Team
5:42.0,,,48-47,1,J. Johnson makes free throw 2 of 2
5:34.0,Shooting foul by J. Johnson (drawn by B. Simmons),,48-47,,
5:34.0,B. Simmons makes free throw 1 of 2,1,49-47,,
5:34.0,B. Simmons makes free throw 2 of 2,1,50-47,,
5:20.0,,,50-49,2,G. Dragic makes 2-pt shot from 14 ft
5:08.0,,,50-49,,Violation by J. Johnson (kicked ball)
4:56.0,M. Belinelli misses 2-pt shot from 21 ft,,50-49,,
4:55.0,,,50-49,,Defensive rebound by J. Winslow
4:54.0,Personal foul by D. Saric (drawn by J. Winslow),,50-49,,
4:54.0,,,50-49,,J. Winslow misses free throw 1 of 2
4:54.0,,,50-49,,Offensive rebound by Team
4:54.0,,,50-50,1,J. Winslow makes free throw 2 of 2
4:35.0,B. Simmons misses 2-pt shot from 8 ft,,50-50,,
4:34.0,,,50-50,,Defensive rebound by J. Winslow
4:30.0,,,50-50,,Shooting foul by R. Covington (drawn by G. Dragic)
4:30.0,,,50-51,1,G. Dragic makes free throw 1 of 2
4:30.0,J. Redick enters the game for R. Covington,,50-51,,
4:30.0,,,50-52,1,G. Dragic makes free throw 2 of 2
4:22.0,,,50-52,,Personal foul by J. Winslow (drawn by D. Saric)
4:22.0,D. Saric makes free throw 1 of 2,1,51-52,,
4:22.0,D. Saric makes free throw 2 of 2,1,52-52,,
4:06.0,,,52-55,3,J. Winslow makes 3-pt shot from 23 ft (assist by G. Dragic)
3:57.0,D. Saric makes 2-pt shot from 12 ft,2,54-55,,
3:39.0,,,54-55,,J. Richardson misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by D. Saric,,54-55,,
3:30.0,D. Saric makes 3-pt shot from 24 ft (assist by B. Simmons),3,57-55,,
3:23.0,,,57-55,,Miami full timeout
3:23.0,,,57-55,,B. Adebayo enters the game for J. Johnson
3:23.0,J. Embiid enters the game for A. Johnson,,57-55,,
3:05.0,,,57-58,3,K. Olynyk makes 3-pt shot from 25 ft (assist by J. Winslow)
2:53.0,,,57-58,,Personal foul by G. Dragic (drawn by B. Simmons)
2:53.0,B. Simmons makes free throw 1 of 2,1,58-58,,
2:53.0,,,58-58,,D. Wade enters the game for G. Dragic
2:53.0,B. Simmons misses free throw 2 of 2,,58-58,,
2:50.0,,,58-58,,Defensive rebound by B. Adebayo
2:36.0,,,58-58,,Shooting foul by D. Saric (drawn by B. Adebayo)
2:36.0,,,58-58,,B. Adebayo misses free throw 1 of 2
2:36.0,,,58-58,,Offensive rebound by Team
2:36.0,,,58-58,,W. Ellington enters the game for J. Winslow
2:36.0,E. Ilyasova enters the game for D. Saric,,58-58,,
2:36.0,,,58-58,,B. Adebayo misses free throw 2 of 2
2:33.0,Defensive rebound by J. Embiid,,58-58,,
2:23.0,M. Belinelli misses 3-pt shot from 26 ft,,58-58,,
2:22.0,,,58-58,,Defensive rebound by D. Wade
1:58.0,,,58-58,,B. Adebayo misses 2-pt shot from 1 ft
1:57.0,Defensive rebound by E. Ilyasova,,58-58,,
1:52.0,J. Embiid misses 2-pt shot from 1 ft,,58-58,,
1:50.0,,,58-58,,Defensive rebound by B. Adebayo
1:41.0,,,58-61,3,J. Richardson makes 3-pt shot from 24 ft (assist by K. Olynyk)
1:29.0,J. Embiid makes 3-pt shot from 26 ft (assist by B. Simmons),3,61-61,,
0:59.0,,,61-61,,D. Wade misses 2-pt shot from 14 ft
0:58.0,,,61-61,,Offensive rebound by Team
0:57.0,Loose ball foul by E. Ilyasova (drawn by K. Olynyk),,61-61,,
0:57.0,,,61-62,1,K. Olynyk makes free throw 1 of 2
0:57.0,,,61-62,,K. Olynyk misses free throw 2 of 2
0:56.0,Defensive rebound by J. Embiid,,61-62,,
0:38.0,J. Embiid makes 2-pt shot from 2 ft,2,63-62,,
0:38.0,Shooting foul by K. Olynyk (drawn by J. Embiid),,63-62,,
0:38.0,J. Embiid misses free throw 1 of 1,,63-62,,
0:38.0,,,63-62,,Defensive rebound by B. Adebayo
0:23.0,,,63-62,,Turnover by D. Wade (bad pass; steal by J. Embiid)
0:16.0,Turnover by J. Embiid (bad pass; steal by J. Richardson),,63-62,,
0:02.0,,,63-64,2,B. Adebayo makes 2-pt shot from 9 ft (assist by D. Wade)
0:00.0,B. Simmons misses 3-pt shot from 34 ft,,63-64,,
0:00.0,Offensive rebound by Team,,63-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,63-67,3,G. Dragic makes 3-pt shot from 26 ft (assist by J. Johnson)
11:30.0,J. Redick makes 2-pt shot from 4 ft (assist by D. Saric),2,65-67,,
11:30.0,Shooting foul by T. Johnson (drawn by J. Redick),,65-67,,
11:30.0,J. Redick makes free throw 1 of 1,1,66-67,,
11:05.0,,,66-67,,G. Dragic misses 3-pt shot from 26 ft
11:04.0,Defensive rebound by D. Saric,,66-67,,
10:59.0,Turnover by J. Embiid (lost ball; steal by J. Johnson),,66-67,,
10:56.0,,,66-69,2,G. Dragic makes 2-pt shot from 12 ft
10:56.0,Philadelphia full timeout,,66-69,,
10:55.0,Turnover by B. Simmons (bad pass; steal by G. Dragic),,66-69,,
10:41.0,,,66-71,2,T. Johnson makes 2-pt shot from 20 ft (assist by G. Dragic)
10:29.0,,,66-71,,Personal foul by T. Johnson (drawn by J. Redick)
10:17.0,D. Saric makes 3-pt shot from 25 ft (assist by J. Redick),3,69-71,,
9:58.0,,,69-73,2,G. Dragic makes 2-pt shot from 17 ft
9:50.0,,,69-73,,Personal foul by J. Johnson (drawn by D. Saric)
9:36.0,Offensive charge foul by R. Covington (drawn by G. Dragic),,69-73,,
9:36.0,Turnover by R. Covington (offensive foul),,69-73,,
9:36.0,M. Belinelli enters the game for R. Covington,,69-73,,
9:14.0,,,69-73,,J. Johnson misses 3-pt shot from 24 ft
9:13.0,Defensive rebound by J. Embiid,,69-73,,
9:06.0,D. Saric misses 3-pt shot from 26 ft (block by J. Johnson),,69-73,,
9:03.0,Offensive rebound by D. Saric,,69-73,,
9:01.0,B. Simmons makes 2-pt shot at rim (assist by D. Saric),2,71-73,,
8:33.0,,,71-73,,Turnover by T. Johnson (bad pass; steal by B. Simmons)
8:27.0,Shooting foul by H. Whiteside (drawn by J. Embiid),,71-73,,
8:27.0,J. Embiid misses free throw 1 of 2,,71-73,,
8:27.0,Offensive rebound by Team,,71-73,,
8:27.0,,,71-73,,B. Adebayo enters the game for H. Whiteside
8:27.0,J. Embiid makes free throw 2 of 2,1,72-73,,
8:15.0,Personal foul by M. Belinelli,,72-73,,
8:05.0,,,72-76,3,J. Richardson makes 3-pt shot from 27 ft (assist by G. Dragic)
7:49.0,,,72-76,,Personal foul by J. Richardson (drawn by J. Embiid)
7:49.0,J. Embiid misses free throw 1 of 2,,72-76,,
7:49.0,Offensive rebound by Team,,72-76,,
7:49.0,J. Embiid makes free throw 2 of 2,1,73-76,,
7:27.0,,,73-78,2,G. Dragic makes 2-pt shot from 16 ft
7:12.0,M. Belinelli makes 2-pt shot from 16 ft (assist by J. Embiid),2,75-78,,
6:48.0,,,75-78,,J. Richardson misses 3-pt shot from 22 ft
6:46.0,Defensive rebound by B. Simmons,,75-78,,
6:29.0,J. Embiid makes 3-pt shot from 25 ft,3,78-78,,
6:05.0,,,78-78,,Turnover by J. Johnson (traveling)
6:05.0,A. Johnson enters the game for J. Embiid,,78-78,,
5:54.0,M. Belinelli misses 3-pt shot from 25 ft,,78-78,,
5:53.0,,,78-78,,Defensive rebound by Team
5:53.0,,,78-78,,K. Olynyk enters the game for B. Adebayo
5:33.0,,,78-80,2,J. Richardson makes 2-pt shot from 14 ft (assist by K. Olynyk)
5:11.0,D. Saric misses 2-pt shot from 7 ft (block by J. Johnson),,78-80,,
5:10.0,,,78-80,,Defensive rebound by J. Johnson
5:09.0,,,78-82,2,G. Dragic makes 2-pt shot from 1 ft (assist by J. Johnson)
5:09.0,,,78-82,,Shooting foul by M. Belinelli (drawn by G. Dragic)
5:09.0,J. Anderson enters the game for J. Redick,,78-82,,
5:09.0,,,78-82,,G. Dragic misses free throw 1 of 1
5:08.0,Defensive rebound by A. Johnson,,78-82,,
4:59.0,Shooting foul by J. Richardson (drawn by B. Simmons),,78-82,,
4:59.0,B. Simmons makes free throw 1 of 2,1,79-82,,
4:59.0,,,79-82,,D. Wade enters the game for G. Dragic
4:59.0,B. Simmons makes free throw 2 of 2,1,80-82,,
4:59.0,,,80-82,,Miami full timeout
4:50.0,,,80-82,,Turnover by K. Olynyk (lost ball; steal by B. Simmons)
4:40.0,D. Saric makes 3-pt shot from 25 ft (assist by M. Belinelli),3,83-82,,
4:21.0,,,83-82,,K. Olynyk misses 3-pt shot from 25 ft
4:20.0,Defensive rebound by J. Anderson,,83-82,,
4:12.0,D. Saric misses 2-pt shot from 5 ft,,83-82,,
4:12.0,Offensive rebound by A. Johnson,,83-82,,
4:10.0,A. Johnson makes 2-pt shot at rim,2,85-82,,
3:55.0,,,85-85,3,J. Johnson makes 3-pt shot from 23 ft (assist by D. Wade)
3:33.0,D. Saric misses 2-pt shot from 1 ft (block by K. Olynyk),,85-85,,
3:32.0,,,85-85,,Defensive rebound by J. Johnson
3:30.0,,,85-85,,Shooting foul by B. Simmons (drawn by J. Johnson)
3:30.0,,,85-85,,J. Johnson misses free throw 1 of 2
3:30.0,,,85-85,,Offensive rebound by Team
3:30.0,,,85-85,,J. Winslow enters the game for J. Richardson
3:30.0,E. Ilyasova enters the game for D. Saric,,85-85,,
3:30.0,T. McConnell enters the game for B. Simmons,,85-85,,
3:30.0,,,85-86,1,J. Johnson makes free throw 2 of 2
3:06.0,M. Belinelli makes 3-pt shot from 25 ft,3,88-86,,
3:01.0,,,88-86,,Turnover by D. Wade (bad pass; steal by T. McConnell)
2:56.0,Turnover by J. Anderson (lost ball; steal by K. Olynyk),,88-86,,
2:46.0,,,88-88,2,D. Wade makes 2-pt shot from 21 ft
2:35.0,T. McConnell makes 2-pt shot from 1 ft,2,90-88,,
2:18.0,,,90-88,,J. Winslow misses 2-pt shot from 2 ft
2:17.0,,,90-88,,Offensive rebound by J. Winslow
2:16.0,,,90-88,,J. Winslow misses 2-pt shot at rim
2:15.0,,,90-88,,Offensive rebound by J. Winslow
2:14.0,Personal foul by M. Belinelli (drawn by J. Winslow),,90-88,,
2:14.0,,,90-88,,W. Ellington enters the game for T. Johnson
2:14.0,J. Embiid enters the game for A. Johnson,,90-88,,
2:01.0,,,90-88,,D. Wade misses 3-pt shot from 25 ft
2:00.0,,,90-88,,Offensive rebound by J. Johnson
1:56.0,,,90-88,,K. Olynyk misses 3-pt shot from 24 ft
1:55.0,Defensive rebound by J. Anderson,,90-88,,
1:32.0,Turnover by Team (shot clock),,90-88,,
1:32.0,,,90-88,,B. Adebayo enters the game for J. Johnson
1:18.0,,,90-88,,J. Winslow misses 3-pt shot from 23 ft
1:17.0,Defensive rebound by J. Anderson,,90-88,,
1:04.0,M. Belinelli misses 2-pt shot from 18 ft,,90-88,,
1:02.0,,,90-88,,Defensive rebound by K. Olynyk
0:58.0,,,90-88,,Shooting foul by J. Anderson (drawn by K. Olynyk)
0:58.0,,,90-89,1,K. Olynyk makes free throw 1 of 2
0:58.0,,,90-90,1,K. Olynyk makes free throw 2 of 2
0:39.0,J. Anderson makes 3-pt shot from 25 ft (assist by M. Belinelli),3,93-90,,
0:25.0,,,93-92,2,D. Wade makes 2-pt shot from 8 ft
0:06.0,T. McConnell makes 2-pt shot from 1 ft,2,95-92,,
0:06.0,Shooting foul by W. Ellington (drawn by T. McConnell),,95-92,,
0:06.0,,,95-92,,J. Richardson enters the game for B. Adebayo
0:06.0,B. Simmons enters the game for J. Embiid,,95-92,,
0:06.0,T. McConnell makes free throw 1 of 1,1,96-92,,
0:01.0,,,96-92,,Shooting foul by T. McConnell (drawn by D. Wade)
0:01.0,,,96-93,1,D. Wade makes free throw 1 of 2
0:01.0,,,96-93,,B. Adebayo enters the game for J. Richardson
0:01.0,,,96-94,1,D. Wade makes free throw 2 of 2
0:00.0,T. McConnell misses 3-pt shot from 71 ft,,96-94,,
0:00.0,Offensive rebound by Team,,96-94,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,B. Simmons makes 2-pt shot from 2 ft (assist by J. Embiid),2,98-94,,
11:17.0,,,98-94,,D. Wade misses 2-pt shot from 16 ft
11:16.0,Defensive rebound by B. Simmons,,98-94,,
11:07.0,J. Embiid misses 2-pt shot from 2 ft (block by J. Winslow),,98-94,,
11:06.0,,,98-94,,Defensive rebound by B. Adebayo
10:58.0,,,98-94,,J. Winslow misses 2-pt shot from 9 ft (block by J. Embiid)
10:58.0,Defensive rebound by J. Embiid,,98-94,,
10:48.0,J. Redick makes 2-pt shot from 1 ft,2,100-94,,
10:29.0,,,100-94,,Shooting foul by B. Simmons (drawn by B. Adebayo)
10:29.0,,,100-94,,B. Adebayo misses free throw 1 of 2
10:29.0,,,100-94,,Offensive rebound by Team
10:29.0,,,100-95,1,B. Adebayo makes free throw 2 of 2
10:19.0,,,100-95,,Personal foul by J. Winslow (drawn by B. Simmons)
10:19.0,,,100-95,,H. Whiteside enters the game for B. Adebayo
10:10.0,E. Ilyasova makes 3-pt shot from 26 ft (assist by R. Covington),3,103-95,,
9:41.0,,,103-95,,J. Winslow misses 2-pt shot from 1 ft
9:40.0,Defensive rebound by B. Simmons,,103-95,,
9:38.0,R. Covington misses 2-pt shot from 1 ft,,103-95,,
9:37.0,,,103-95,,Defensive rebound by K. Olynyk
9:37.0,Personal foul by J. Embiid (drawn by K. Olynyk),,103-95,,
9:37.0,,,103-95,,J. Johnson enters the game for K. Olynyk
9:18.0,,,103-95,,Turnover by H. Whiteside (lost ball; steal by B. Simmons)
9:11.0,Shooting foul by J. Winslow (drawn by B. Simmons),,103-95,,
9:11.0,B. Simmons makes free throw 1 of 2,1,104-95,,
9:11.0,,,104-95,,G. Dragic enters the game for W. Ellington
9:11.0,,,104-95,,J. Richardson enters the game for J. Winslow
9:11.0,B. Simmons makes free throw 2 of 2,1,105-95,,
9:11.0,,,105-95,,Miami full timeout
9:11.0,M. Belinelli enters the game for J. Redick,,105-95,,
9:11.0,D. Saric enters the game for J. Embiid,,105-95,,
9:00.0,,,105-95,,Turnover by H. Whiteside (bad pass)
8:49.0,M. Belinelli misses 3-pt shot from 25 ft,,105-95,,
8:48.0,,,105-95,,Defensive rebound by J. Johnson
8:41.0,,,105-97,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
