time,Toronto,pts.away,score,pts.home,Cleveland
0:50.0,,,24-30,,Defensive rebound by Team
0:50.0,D. Wright enters the game for K. Lowry,,24-30,,
0:25.0,,,24-30,,K. Love misses 2-pt shot at rim
0:23.0,Defensive rebound by D. DeRozan,,24-30,,
0:05.0,,,24-30,,Personal foul by G. Hill (drawn by D. DeRozan)
0:05.0,,,24-30,,J. Clarkson enters the game for K. Love
0:05.0,,,24-30,,J. Green enters the game for G. Hill
0:05.0,C. Miles enters the game for P. Siakam,,24-30,,
0:02.0,D. DeRozan makes 2-pt shot from 1 ft (assist by J. Valanciunas),2,26-30,,
0:00.0,,,26-30,,J. Green misses 3-pt shot from 53 ft
0:00.0,,,26-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,P. Siakam makes 2-pt shot at rim (assist by J. Valanciunas),2,28-30,,
11:29.0,,,28-32,2,L. James makes 2-pt shot from 19 ft (assist by C. Osman)
11:07.0,D. DeRozan misses 2-pt shot from 2 ft,,28-32,,
11:05.0,,,28-32,,Defensive rebound by L. James
10:59.0,,,28-32,,C. Osman misses 3-pt shot from 23 ft
10:57.0,Defensive rebound by D. Wright,,28-32,,
10:42.0,J. Valanciunas makes 2-pt shot from 1 ft,2,30-32,,
10:24.0,,,30-34,2,J. Clarkson makes 2-pt shot from 9 ft (assist by T. Thompson)
10:11.0,D. Wright misses 2-pt shot from 1 ft,,30-34,,
10:11.0,,,30-34,,Defensive rebound by L. James
9:56.0,,,30-34,,J. Clarkson misses 2-pt shot from 6 ft
9:54.0,,,30-34,,Offensive rebound by T. Thompson
9:48.0,,,30-34,,J. Green misses 3-pt shot from 26 ft
9:48.0,,,30-34,,Offensive rebound by T. Thompson
9:41.0,,,30-36,2,C. Osman makes 2-pt shot from 1 ft (assist by T. Thompson)
9:16.0,J. Valanciunas makes 2-pt shot from 4 ft,2,32-36,,
9:03.0,,,32-36,,L. James misses 3-pt shot from 24 ft
9:03.0,Defensive rebound by F. VanVleet,,32-36,,
9:03.0,,,32-36,,Personal foul by C. Osman (drawn by F. VanVleet)
9:03.0,K. Lowry enters the game for D. DeRozan,,32-36,,
9:03.0,C. Miles enters the game for D. Wright,,32-36,,
8:54.0,J. Valanciunas makes 2-pt shot from 17 ft (assist by K. Lowry),2,34-36,,
8:39.0,,,34-36,,T. Thompson misses 2-pt shot from 1 ft (block by J. Valanciunas)
8:36.0,Defensive rebound by K. Lowry,,34-36,,
8:34.0,C. Miles makes 2-pt shot from 10 ft (assist by K. Lowry),2,36-36,,
8:16.0,,,36-36,,C. Osman misses 2-pt shot from 10 ft
8:14.0,Defensive rebound by K. Lowry,,36-36,,
8:00.0,J. Valanciunas makes 2-pt shot from 1 ft,2,38-36,,
8:00.0,,,38-36,,Cleveland full timeout
7:44.0,,,38-38,2,L. James makes 2-pt shot at rim
7:24.0,Shooting foul by T. Thompson (drawn by J. Valanciunas),,38-38,,
7:24.0,J. Valanciunas misses free throw 1 of 2,,38-38,,
7:24.0,Offensive rebound by Team,,38-38,,
7:24.0,,,38-38,,K. Korver enters the game for C. Osman
7:24.0,J. Valanciunas misses free throw 2 of 2,,38-38,,
7:20.0,,,38-38,,Defensive rebound by L. James
7:10.0,,,38-40,2,T. Thompson makes 2-pt shot from 11 ft (assist by K. Korver)
7:00.0,C. Miles makes 2-pt shot at rim,2,40-40,,
6:49.0,,,40-43,3,K. Korver makes 3-pt shot from 24 ft (assist by L. James)
6:37.0,C. Miles misses 2-pt shot from 6 ft,,40-43,,
6:35.0,,,40-43,,Defensive rebound by J. Green
6:30.0,,,40-43,,Shooting foul by F. VanVleet (drawn by T. Thompson)
6:30.0,,,40-43,,K. Love enters the game for T. Thompson
6:30.0,D. DeRozan enters the game for F. VanVleet,,40-43,,
6:30.0,S. Ibaka enters the game for J. Valanciunas,,40-43,,
6:24.0,,,40-45,2,K. Korver makes 2-pt shot at rim (assist by L. James)
6:07.0,C. Miles misses 3-pt shot from 28 ft,,40-45,,
6:05.0,,,40-45,,Defensive rebound by L. James
5:59.0,,,40-47,2,K. Love makes 2-pt shot at rim (assist by L. James)
5:52.0,Toronto full timeout,,40-47,,
5:52.0,,,40-47,,G. Hill enters the game for J. Clarkson
5:52.0,O. Anunoby enters the game for P. Siakam,,40-47,,
5:41.0,O. Anunoby misses 3-pt shot from 23 ft,,40-47,,
5:37.0,,,40-47,,Defensive rebound by K. Love
5:22.0,,,40-47,,K. Korver misses 2-pt shot from 19 ft
5:19.0,Defensive rebound by K. Lowry,,40-47,,
5:16.0,,,40-47,,Personal block foul by K. Love (drawn by D. DeRozan)
5:16.0,,,40-47,,J. Smith enters the game for J. Green
5:08.0,D. DeRozan misses 2-pt shot from 2 ft,,40-47,,
5:03.0,Offensive rebound by D. DeRozan,,40-47,,
5:03.0,D. DeRozan makes 2-pt shot at rim,2,42-47,,
4:49.0,Personal foul by D. DeRozan (drawn by G. Hill),,42-47,,
4:40.0,,,42-47,,Shooting foul by O. Anunoby (drawn by L. James)
4:40.0,,,42-48,1,L. James makes free throw 1 of 2
4:40.0,,,42-49,1,L. James makes free throw 2 of 2
4:19.0,Jump ball: L. James vs. S. Ibaka (G. Hill gains possession),,,,Jump ball: L. James vs. S. Ibaka (G. Hill gains possession)
4:19.0,Turnover by S. Ibaka (lost ball; steal by L. James),,42-49,,
4:04.0,Violation by O. Anunoby (kicked ball),,42-49,,
3:58.0,,,42-49,,Turnover by L. James (bad pass)
3:44.0,S. Ibaka makes 3-pt shot from 25 ft (assist by K. Lowry),3,45-49,,
3:24.0,,,45-51,2,G. Hill makes 2-pt shot from 2 ft
3:03.0,O. Anunoby makes 2-pt shot from 1 ft (assist by C. Miles),2,47-51,,
2:50.0,,,47-51,,G. Hill misses 2-pt shot from 18 ft
2:48.0,Defensive rebound by K. Lowry,,47-51,,
2:44.0,Offensive charge foul by S. Ibaka (drawn by L. James),,47-51,,
2:44.0,Turnover by S. Ibaka (offensive foul),,47-51,,
2:44.0,L. Nogueira enters the game for S. Ibaka,,47-51,,
2:32.0,,,47-51,,G. Hill misses 3-pt shot from 23 ft
2:30.0,Defensive rebound by D. DeRozan,,47-51,,
2:26.0,K. Lowry misses 3-pt shot from 27 ft,,47-51,,
2:22.0,,,47-51,,Defensive rebound by J. Smith
2:15.0,,,47-54,3,K. Korver makes 3-pt shot from 24 ft (assist by J. Smith)
2:00.0,D. DeRozan misses 2-pt shot from 9 ft,,47-54,,
1:58.0,,,47-54,,Defensive rebound by L. James
1:53.0,,,47-54,,Shooting foul by L. Nogueira (drawn by K. Love)
1:53.0,,,47-55,1,K. Love makes free throw 1 of 2
1:53.0,,,47-56,1,K. Love makes free throw 2 of 2
1:29.0,Turnover by C. Miles (bad pass; steal by K. Love),,47-56,,
1:19.0,,,47-58,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
1:06.0,Turnover by L. Nogueira (bad pass; steal by K. Korver),,47-58,,
0:59.0,,,47-61,3,J. Smith makes 3-pt shot from 22 ft (assist by G. Hill)
0:53.0,Toronto full timeout,,47-61,,
0:53.0,J. Valanciunas enters the game for C. Miles,,47-61,,
0:53.0,F. VanVleet enters the game for O. Anunoby,,47-61,,
0:53.0,P. Siakam enters the game for L. Nogueira,,47-61,,
0:40.0,F. VanVleet misses 3-pt shot from 26 ft,,47-61,,
0:37.0,,,47-61,,Defensive rebound by G. Hill
0:17.0,,,47-63,2,L. James makes 2-pt shot at rim
0:01.0,C. Miles enters the game for P. Siakam,,47-63,,
0:00.0,J. Valanciunas misses 2-pt shot from 3 ft,,47-63,,
0:00.0,Offensive rebound by Team,,47-63,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,Turnover by O. Anunoby (bad pass; steal by L. James),,47-63,,
11:34.0,,,47-63,,Turnover by L. James (lost ball; steal by C. Miles)
11:31.0,C. Miles misses 2-pt shot from 18 ft,,47-63,,
11:27.0,Offensive rebound by S. Ibaka,,47-63,,
11:26.0,S. Ibaka makes 2-pt shot at rim,2,49-63,,
11:11.0,,,49-65,2,L. James makes 2-pt shot from 7 ft
10:58.0,,,49-65,,Personal foul by G. Hill (drawn by K. Lowry)
10:48.0,D. DeRozan makes 2-pt shot from 7 ft,2,51-65,,
10:28.0,,,51-65,,L. James misses 3-pt shot from 24 ft
10:26.0,Defensive rebound by C. Miles,,51-65,,
10:19.0,C. Miles misses 2-pt shot from 7 ft,,51-65,,
10:16.0,Offensive rebound by C. Miles,,51-65,,
10:09.0,K. Lowry misses 2-pt shot from 11 ft,,51-65,,
10:06.0,,,51-65,,Defensive rebound by K. Korver
10:05.0,,,51-65,,Offensive foul by G. Hill (drawn by O. Anunoby)
10:05.0,,,51-65,,Turnover by G. Hill (offensive foul)
9:52.0,D. DeRozan misses 2-pt shot from 12 ft,,51-65,,
9:49.0,,,51-65,,Defensive rebound by K. Love
9:42.0,,,51-67,2,L. James makes 2-pt shot from 2 ft
9:27.0,S. Ibaka misses 3-pt shot from 27 ft,,51-67,,
9:24.0,,,51-67,,Defensive rebound by K. Love
9:12.0,,,51-69,2,L. James makes 2-pt shot from 1 ft (assist by G. Hill)
8:56.0,Turnover by D. DeRozan (bad pass; steal by J. Smith),,51-69,,
8:47.0,,,51-69,,K. Korver misses 3-pt shot from 25 ft
8:47.0,Defensive rebound by O. Anunoby,,51-69,,
8:43.0,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry),2,53-69,,
8:43.0,,,53-69,,Cleveland full timeout
8:34.0,Personal foul by D. DeRozan (drawn by J. Smith),,53-69,,
8:20.0,,,53-69,,Shooting foul by O. Anunoby (drawn by L. James)
8:20.0,,,53-70,1,L. James makes free throw 1 of 2
8:20.0,,,53-71,1,L. James makes free throw 2 of 2
8:03.0,S. Ibaka misses 2-pt shot from 17 ft,,53-71,,
8:01.0,,,53-71,,Defensive rebound by J. Smith
7:55.0,,,53-73,2,L. James makes 2-pt shot from 2 ft (assist by J. Smith)
7:43.0,C. Miles makes 2-pt shot from 13 ft,2,55-73,,
7:19.0,,,55-73,,L. James misses 2-pt shot from 19 ft
7:19.0,,,55-73,,Offensive rebound by Team
7:19.0,Loose ball foul by D. DeRozan (drawn by K. Love),,55-73,,
7:10.0,,,55-75,2,K. Love makes 2-pt shot from 2 ft (assist by L. James)
6:52.0,Shooting foul by K. Korver (drawn by C. Miles),,55-75,,
6:52.0,C. Miles misses free throw 1 of 3,,55-75,,
6:52.0,Offensive rebound by Team,,55-75,,
6:52.0,C. Miles makes free throw 2 of 3,1,56-75,,
6:52.0,C. Miles makes free throw 3 of 3,1,57-75,,
6:39.0,,,57-77,2,K. Love makes 2-pt shot from 1 ft (assist by K. Korver)
6:24.0,S. Ibaka makes 2-pt shot from 16 ft (assist by K. Lowry),2,59-77,,
6:09.0,,,59-80,3,K. Love makes 3-pt shot from 25 ft (assist by G. Hill)
6:02.0,Turnover by O. Anunoby (bad pass; steal by J. Smith),,59-80,,
5:48.0,,,59-82,2,G. Hill makes 2-pt shot from 1 ft (assist by L. James)
5:48.0,Toronto full timeout,,59-82,,
5:48.0,J. Valanciunas enters the game for O. Anunoby,,59-82,,
5:48.0,P. Siakam enters the game for S. Ibaka,,59-82,,
5:29.0,J. Valanciunas makes 2-pt shot from 10 ft (assist by K. Lowry),2,61-82,,
5:10.0,,,61-85,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
4:58.0,C. Miles makes 2-pt shot from 14 ft,2,63-85,,
4:58.0,Shooting foul by K. Love (drawn by C. Miles),,63-85,,
4:58.0,C. Miles makes free throw 1 of 1,1,64-85,,
4:50.0,Personal foul by P. Siakam (drawn by L. James),,64-85,,
4:44.0,Personal foul by C. Miles (drawn by L. James),,64-85,,
4:44.0,,,64-85,,L. James misses free throw 1 of 2
4:44.0,,,64-85,,Offensive rebound by Team
4:44.0,,,64-86,1,L. James makes free throw 2 of 2
4:35.0,,,64-86,,Personal foul by K. Korver (drawn by C. Miles)
4:28.0,K. Lowry misses 3-pt shot from 25 ft,,64-86,,
4:25.0,,,64-86,,Defensive rebound by L. James
4:18.0,,,64-86,,Offensive foul by K. Love (drawn by K. Lowry)
4:18.0,,,64-86,,Turnover by K. Love (offensive foul)
4:05.0,J. Valanciunas misses 2-pt shot from 2 ft (block by L. James),,64-86,,
4:05.0,Offensive rebound by Team,,64-86,,
4:05.0,,,64-86,,Loose ball foul by L. James (drawn by J. Valanciunas)
4:05.0,J. Valanciunas makes free throw 1 of 2,1,65-86,,
4:05.0,J. Valanciunas makes free throw 2 of 2,1,66-86,,
3:54.0,,,66-86,,Shooting foul by J. Valanciunas (drawn by L. James)
3:54.0,,,66-86,,L. James misses free throw 1 of 2
3:54.0,,,66-86,,Offensive rebound by Team
3:54.0,,,66-86,,L. James misses free throw 2 of 2
3:51.0,Defensive rebound by J. Valanciunas,,66-86,,
3:41.0,Offensive foul by J. Valanciunas (drawn by L. James),,66-86,,
3:41.0,Turnover by J. Valanciunas (offensive foul),,66-86,,
3:32.0,Personal foul by K. Lowry (drawn by G. Hill),,66-86,,
3:32.0,,,66-87,1,G. Hill makes free throw 1 of 2
3:32.0,,,66-88,1,G. Hill makes free throw 2 of 2
3:18.0,J. Valanciunas makes 2-pt shot from 11 ft (assist by D. DeRozan),2,68-88,,
3:00.0,,,68-91,3,K. Korver makes 3-pt shot from 22 ft (assist by G. Hill)
2:43.0,J. Valanciunas misses 2-pt shot from 8 ft,,68-91,,
2:43.0,Offensive rebound by C. Miles,,68-91,,
2:43.0,C. Miles misses 2-pt shot at rim,,68-91,,
2:43.0,Offensive rebound by J. Valanciunas,,68-91,,
2:43.0,Shooting foul by K. Korver (drawn by J. Valanciunas),,68-91,,
2:43.0,J. Valanciunas makes free throw 1 of 2,1,69-91,,
2:43.0,,,69-91,,C. Osman enters the game for K. Korver
2:43.0,F. VanVleet enters the game for K. Lowry,,69-91,,
2:43.0,J. Valanciunas makes free throw 2 of 2,1,70-91,,
2:32.0,,,70-91,,G. Hill misses 2-pt shot at rim (block by J. Valanciunas)
2:32.0,,,70-91,,Offensive rebound by Team
2:22.0,,,70-91,,K. Love misses 3-pt shot from 26 ft
2:18.0,,,70-91,,Offensive rebound by C. Osman
2:12.0,Personal foul by C. Miles (drawn by K. Love),,70-91,,
2:12.0,,,70-92,1,K. Love makes free throw 1 of 2
2:12.0,D. Wright enters the game for C. Miles,,70-92,,
2:12.0,,,70-93,1,K. Love makes free throw 2 of 2
1:57.0,F. VanVleet misses 2-pt shot from 2 ft,,70-93,,
1:54.0,Offensive rebound by J. Valanciunas,,70-93,,
1:52.0,J. Valanciunas misses 2-pt shot from 1 ft,,70-93,,
1:48.0,,,70-93,,Defensive rebound by K. Love
1:32.0,,,70-95,2,L. James makes 2-pt shot from 9 ft
1:16.0,J. Valanciunas misses 2-pt shot from 10 ft,,70-95,,
1:14.0,,,70-95,,Defensive rebound by K. Love
1:01.0,,,70-97,2,L. James makes 2-pt shot from 8 ft
0:51.0,D. Wright makes 2-pt shot at rim,2,72-97,,
0:46.0,,,72-97,,Cleveland full timeout
0:46.0,,,72-97,,J. Clarkson enters the game for G. Hill
0:46.0,,,72-97,,T. Thompson enters the game for J. Smith
0:46.0,,,72-97,,J. Green enters the game for L. James
0:36.0,,,72-97,,Turnover by J. Clarkson (palming)
0:25.0,Turnover by F. VanVleet (lost ball; steal by J. Clarkson),,72-97,,
0:23.0,,,72-99,2,J. Clarkson makes 2-pt shot from 1 ft
0:23.0,Technical foul by D. DeRozan (drawn by J. Clarkson),,72-99,,
0:23.0,,,72-100,1,J. Clarkson makes flagrant free throw 1 of 1
0:23.0,N. Powell enters the game for D. DeRozan,,72-100,,
0:00.0,,,72-100,,J. Clarkson misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by J. Valanciunas,,72-100,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,72-100,,J. Clarkson misses 2-pt shot from 17 ft
11:36.0,,,72-100,,Offensive rebound by Team
11:36.0,,,72-100,,Turnover by Team (shot clock)
11:21.0,N. Powell misses 3-pt shot from 24 ft,,72-100,,
11:16.0,,,72-100,,Defensive rebound by L. James
11:11.0,,,72-100,,L. James misses 2-pt shot from 19 ft
11:08.0,Defensive rebound by J. Poeltl,,72-100,,
11:02.0,,,72-100,,Personal foul by J. Clarkson (drawn by P. Siakam)
10:56.0,D. Wright makes 2-pt shot from 11 ft,2,74-100,,
10:32.0,,,74-103,3,J. Green makes 3-pt shot from 26 ft (assist by L. James)
10:13.0,D. Wright misses 3-pt shot from 24 ft,,74-103,,
10:10.0,,,74-103,,Defensive rebound by J. Green
10:05.0,,,74-103,,L. James misses 3-pt shot from 24 ft
10:01.0,Defensive rebound by N. Powell,,74-103,,
9:55.0,N. Powell makes 2-pt shot at rim,2,76-103,,
9:42.0,,,76-103,,Turnover by J. Clarkson (lost ball; steal by D. Wright)
9:37.0,P. Siakam misses 2-pt shot from 1 ft,,76-103,,
9:37.0,,,76-103,,Defensive rebound by Team
9:26.0,,,76-105,2,T. Thompson makes 2-pt shot from 1 ft (assist by J. Clarkson)
9:26.0,,,76-105,,Shooting foul by J. Poeltl (drawn by T. Thompson)
9:26.0,,,76-106,1,T. Thompson makes free throw 1 of 1
9:16.0,Shooting foul by L. James (drawn by D. Wright),,76-106,,
9:16.0,D. Wright makes free throw 1 of 2,1,77-106,,
9:16.0,D. Wright makes free throw 2 of 2,1,78-106,,
8:51.0,,,78-108,2,L. James makes 2-pt shot from 20 ft
8:41.0,D. Wright makes 2-pt shot from 1 ft,2,80-108,,
8:23.0,Personal foul by D. Wright (drawn by T. Thompson),,80-108,,
8:18.0,,,80-108,,Turnover by J. Clarkson (bad pass)
8:04.0,N. Powell misses 2-pt shot from 2 ft,,80-108,,
8:00.0,,,80-108,,Defensive rebound by J. Green
7:53.0,,,80-110,2,L. James makes 2-pt shot from 23 ft
7:42.0,F. VanVleet misses 3-pt shot from 26 ft,,80-110,,
7:39.0,,,80-110,,Defensive rebound by C. Osman
7:38.0,,,80-110,,Cleveland full timeout
7:38.0,,,80-110,,J. Calderon enters the game for L. James
7:38.0,L. Brown enters the game for F. VanVleet,,80-110,,
7:29.0,,,80-110,,Turnover by J. Clarkson (palming)
7:08.0,P. Siakam makes 2-pt shot from 1 ft (assist by D. Wright),2,82-110,,
7:08.0,Shooting foul by J. Green (drawn by P. Siakam),,82-110,,
7:08.0,P. Siakam makes free throw 1 of 1,1,83-110,,
6:49.0,,,83-110,,J. Green misses 3-pt shot from 25 ft
6:46.0,Defensive rebound by L. Brown,,83-110,,
6:33.0,N. Powell makes 2-pt shot from 2 ft (assist by P. Siakam),2,85-110,,
6:16.0,,,85-112,2,J. Green makes 2-pt shot from 14 ft (assist by J. Clarkson)
6:00.0,P. Siakam makes 2-pt shot from 6 ft,2,87-112,,
5:49.0,,,87-112,,J. Clarkson misses 2-pt shot from 14 ft
5:46.0,Defensive rebound by L. Brown,,87-112,,
5:40.0,,,87-112,,Personal block foul by C. Osman (drawn by N. Powell)
5:40.0,,,87-112,,L. Nance enters the game for T. Thompson
5:36.0,Shooting foul by J. Clarkson (drawn by L. Brown),,87-112,,
5:36.0,L. Brown misses free throw 1 of 2,,87-112,,
5:36.0,Offensive rebound by Team,,87-112,,
5:36.0,L. Brown makes free throw 2 of 2,1,88-112,,
5:18.0,,,88-115,3,J. Green makes 3-pt shot from 26 ft (assist by J. Calderon)
5:06.0,Shooting foul by J. Calderon (drawn by P. Siakam),,88-115,,
5:06.0,P. Siakam makes free throw 1 of 2,1,89-115,,
5:06.0,P. Siakam makes free throw 2 of 2,1,90-115,,
4:47.0,,,90-115,,C. Osman misses 3-pt shot from 26 ft
4:46.0,Defensive rebound by Team,,90-115,,
4:34.0,N. Powell misses 2-pt shot from 2 ft (block by L. Nance),,90-115,,
4:30.0,,,90-115,,Defensive rebound by J. Clarkson
4:30.0,,,90-115,,J. Clarkson misses 2-pt shot at rim (block by J. Poeltl)
4:30.0,,,90-115,,Offensive rebound by Team
4:18.0,,,90-115,,J. Green misses 3-pt shot from 28 ft
4:13.0,,,90-115,,Offensive rebound by J. Clarkson
3:58.0,,,90-118,3,C. Osman makes 3-pt shot from 23 ft (assist by J. Green)
3:41.0,J. Poeltl misses 2-pt shot from 2 ft,,90-118,,
3:38.0,,,90-118,,Defensive rebound by J. Green
3:29.0,,,90-118,,Shooting foul by N. Powell (drawn by J. Calderon)
3:29.0,,,90-119,1,J. Calderon makes free throw 1 of 2
3:29.0,,,90-119,,A. Zizic enters the game for J. Green
3:29.0,,,90-120,1,J. Calderon makes free throw 2 of 2
3:06.0,D. Wright makes 2-pt shot from 1 ft,2,92-120,,
2:41.0,,,92-120,,J. Clarkson misses 2-pt shot from 17 ft
2:39.0,Defensive rebound by L. Brown,,92-120,,
2:27.0,D. Wright misses 2-pt shot from 7 ft (block by L. Nance),,92-120,,
2:23.0,,,92-120,,Defensive rebound by J. Clarkson
2:20.0,,,92-122,2,L. Nance makes 2-pt shot from 1 ft (assist by C. Osman)
2:05.0,J. Poeltl misses 2-pt shot from 6 ft,,92-122,,
2:00.0,Offensive rebound by J. Poeltl,,92-122,,
2:00.0,J. Poeltl misses 2-pt shot at rim,,92-122,,
2:00.0,,,92-122,,Defensive rebound by A. Zizic
1:44.0,,,92-122,,A. Zizic misses 2-pt shot from 2 ft
1:42.0,,,92-122,,Offensive rebound by L. Nance
1:42.0,,,92-124,2,L. Nance makes 2-pt shot at rim
1:36.0,,,92-124,,Personal foul by L. Nance (drawn by N. Powell)
1:36.0,Toronto full timeout,,92-124,,
1:36.0,N. Powell makes free throw 1 of 2,1,93-124,,
1:36.0,N. Powell misses free throw 2 of 2,,93-124,,
1:34.0,,,93-124,,Defensive rebound by L. Nance
1:16.0,,,93-124,,A. Zizic misses 2-pt shot from 7 ft
1:13.0,Defensive rebound by D. Wright,,93-124,,
1:00.0,Turnover by J. Poeltl (bad pass; steal by J. Clarkson),,93-124,,
0:58.0,,,93-126,2,L. Nance makes 2-pt shot from 1 ft
