time,Cleveland,pts.away,score,pts.home,Golden State
4:07.0,J. Clarkson enters the game for G. Hill,,24-22,,
4:07.0,,,24-23,1,K. Durant makes free throw 2 of 2
3:49.0,J. Green misses 3-pt shot from 22 ft,,24-23,,
3:45.0,,,24-23,,Defensive rebound by K. Durant
3:42.0,,,24-23,,K. Durant misses 3-pt shot from 26 ft
3:40.0,Defensive rebound by Team,,24-23,,
3:32.0,J. Clarkson misses 2-pt shot from 20 ft,,24-23,,
3:31.0,,,24-23,,Defensive rebound by J. Bell
3:17.0,,,24-25,2,S. Curry makes 2-pt shot from 12 ft
3:04.0,K. Love makes 2-pt shot from 1 ft (assist by L. James),2,26-25,,
2:53.0,,,26-27,2,J. Bell makes 2-pt shot from 1 ft (assist by S. Curry)
2:43.0,,,26-27,,Personal foul by D. Green (drawn by J. Smith)
2:43.0,J. Smith makes free throw 1 of 2,1,27-27,,
2:43.0,,,27-27,,S. Livingston enters the game for S. Curry
2:43.0,J. Smith makes free throw 2 of 2,1,28-27,,
2:25.0,,,28-27,,Turnover by K. Durant (lost ball; steal by J. Green)
2:11.0,J. Green misses 2-pt shot from 18 ft,,28-27,,
2:07.0,,,28-27,,Defensive rebound by S. Livingston
2:03.0,,,28-27,,N. Young misses 3-pt shot from 29 ft
1:57.0,Defensive rebound by K. Love,,28-27,,
1:46.0,J. Clarkson misses 3-pt shot from 24 ft,,28-27,,
1:43.0,,,28-27,,Defensive rebound by K. Durant
1:27.0,,,28-29,2,S. Livingston makes 2-pt shot from 2 ft (assist by J. Bell)
1:00.0,J. Clarkson makes 2-pt shot from 12 ft (assist by L. James),2,30-29,,
0:45.0,,,30-29,,K. Durant misses 2-pt shot from 7 ft (block by J. Clarkson)
0:45.0,Defensive rebound by J. Clarkson,,30-29,,
0:38.0,J. Clarkson misses 2-pt shot from 4 ft,,30-29,,
0:37.0,Offensive rebound by J. Smith,,30-29,,
0:18.0,Turnover by J. Clarkson (lost ball; steal by S. Livingston),,30-29,,
0:02.0,,,30-29,,K. Durant misses 3-pt shot from 28 ft
0:00.0,Defensive rebound by J. Smith,,30-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,30-29,,K. Thompson misses 3-pt shot from 28 ft
11:46.0,Defensive rebound by L. Nance,,30-29,,
11:41.0,L. James makes 2-pt shot from 1 ft,2,32-29,,
11:22.0,,,32-29,,Shooting foul by K. Korver (drawn by P. McCaw)
11:22.0,,,32-30,1,P. McCaw makes free throw 1 of 2
11:22.0,,,32-31,1,P. McCaw makes free throw 2 of 2
11:11.0,Turnover by L. James (bad pass; steal by P. McCaw),,32-31,,
11:04.0,,,32-31,,S. Curry misses 3-pt shot from 26 ft
11:03.0,Defensive rebound by L. James,,32-31,,
10:50.0,,,32-31,,Def 3 sec tech foul by S. Livingston
10:50.0,K. Korver misses technical free throw,,32-31,,
10:50.0,Offensive rebound by Team,,32-31,,
10:37.0,L. Nance makes 2-pt shot from 2 ft,2,34-31,,
10:27.0,,,34-31,,Turnover by D. West (bad pass; steal by L. Nance)
10:13.0,L. James makes 2-pt shot from 21 ft,2,36-31,,
9:51.0,,,36-33,2,D. West makes 2-pt shot from 3 ft (assist by S. Livingston)
9:32.0,K. Korver misses 3-pt shot from 26 ft,,36-33,,
9:31.0,,,36-33,,Defensive rebound by S. Curry
9:22.0,,,36-33,,S. Curry misses 2-pt shot from 20 ft
9:21.0,Defensive rebound by L. Nance,,36-33,,
9:00.0,L. James misses 2-pt shot from 15 ft,,36-33,,
8:59.0,Offensive rebound by L. Nance,,36-33,,
8:59.0,L. Nance makes 2-pt shot at rim,2,38-33,,
8:51.0,,,38-35,2,S. Livingston makes 2-pt shot from 13 ft (assist by D. West)
8:28.0,,,38-35,,K. Durant enters the game for S. Curry
8:28.0,,,38-35,,D. Green enters the game for P. McCaw
8:25.0,L. Nance makes 2-pt shot from 1 ft (assist by L. James),2,40-35,,
8:09.0,,,40-35,,K. Durant misses 3-pt shot from 28 ft
8:08.0,Defensive rebound by L. Nance,,40-35,,
7:55.0,L. James makes 2-pt shot from 1 ft,2,42-35,,
7:48.0,,,42-35,,Golden State full timeout
7:48.0,,,42-35,,J. Bell enters the game for D. West
7:48.0,,,42-35,,S. Curry enters the game for S. Livingston
7:42.0,,,42-35,,K. Durant misses 2-pt shot from 17 ft
7:41.0,Defensive rebound by J. Green,,42-35,,
7:22.0,L. James makes 2-pt shot from 9 ft (assist by K. Korver),2,44-35,,
7:05.0,,,44-38,3,K. Thompson makes 3-pt shot from 25 ft (assist by K. Durant)
6:41.0,J. Clarkson misses 3-pt shot from 26 ft,,44-38,,
6:40.0,Offensive rebound by L. Nance,,44-38,,
6:40.0,L. Nance misses 2-pt shot at rim,,44-38,,
6:39.0,Offensive rebound by L. Nance,,44-38,,
6:32.0,J. Clarkson misses 3-pt shot from 25 ft,,44-38,,
6:31.0,,,44-38,,Defensive rebound by K. Durant
6:28.0,,,44-40,2,S. Curry makes 2-pt shot from 2 ft (assist by K. Durant)
6:25.0,Cleveland full timeout,,44-40,,
6:25.0,K. Love enters the game for J. Clarkson,,44-40,,
6:25.0,G. Hill enters the game for L. James,,44-40,,
6:09.0,G. Hill makes 3-pt shot from 23 ft (assist by J. Green),3,47-40,,
6:03.0,,,47-40,,Turnover by D. Green (bad pass; steal by G. Hill)
5:54.0,L. Nance makes 2-pt shot from 2 ft (assist by J. Green),2,49-40,,
5:36.0,,,49-40,,K. Thompson misses 2-pt shot from 18 ft
5:32.0,Defensive rebound by K. Love,,49-40,,
5:19.0,K. Love makes 2-pt shot from 15 ft,2,51-40,,
5:01.0,,,51-43,3,K. Thompson makes 3-pt shot from 27 ft (assist by K. Durant)
4:45.0,K. Love misses 2-pt shot from 18 ft,,51-43,,
4:42.0,,,51-43,,Defensive rebound by D. Green
4:28.0,,,51-45,2,S. Curry makes 2-pt shot from 6 ft
4:07.0,Turnover by K. Love (lost ball; steal by D. Green),,51-45,,
4:00.0,,,51-45,,K. Thompson misses 2-pt shot from 12 ft
3:59.0,Defensive rebound by K. Love,,51-45,,
3:40.0,K. Love misses 2-pt shot from 23 ft,,51-45,,
3:37.0,,,51-45,,Defensive rebound by K. Thompson
3:29.0,,,51-45,,S. Curry misses 3-pt shot from 25 ft
3:24.0,Defensive rebound by K. Korver,,51-45,,
3:07.0,,,51-45,,Personal foul by D. Green (drawn by K. Love)
3:07.0,,,51-45,,K. Looney enters the game for J. Bell
3:07.0,L. James enters the game for K. Korver,,51-45,,
3:07.0,J. Smith enters the game for J. Green,,51-45,,
2:52.0,Turnover by Team (shot clock),,51-45,,
2:35.0,,,51-45,,K. Durant misses 2-pt shot from 15 ft
2:34.0,Defensive rebound by L. Nance,,51-45,,
2:23.0,Turnover by J. Smith (bad pass; steal by S. Curry),,51-45,,
2:20.0,,,51-45,,N. Young enters the game for K. Looney
2:20.0,T. Thompson enters the game for L. Nance,,51-45,,
2:18.0,,,51-48,3,K. Durant makes 3-pt shot from 25 ft (assist by S. Curry)
2:03.0,L. James misses 2-pt shot from 3 ft,,51-48,,
2:01.0,Offensive rebound by T. Thompson,,51-48,,
1:58.0,T. Thompson misses 2-pt shot from 2 ft,,51-48,,
1:57.0,Offensive rebound by L. James,,51-48,,
1:57.0,L. James makes 2-pt shot at rim,2,53-48,,
1:50.0,,,53-50,2,D. Green makes 2-pt shot from 2 ft (assist by S. Curry)
1:50.0,,,53-50,,Shooting foul by G. Hill (drawn by D. Green)
1:50.0,J. Green enters the game for G. Hill,,53-50,,
1:50.0,,,53-51,1,D. Green makes free throw 1 of 1
1:29.0,Turnover by T. Thompson (lost ball; steal by K. Durant),,53-51,,
1:23.0,,,53-53,2,K. Durant makes 2-pt shot from 2 ft (assist by S. Curry)
1:04.0,Shooting foul by D. Green (drawn by L. James),,53-53,,
1:04.0,,,53-53,,J. McGee enters the game for D. Green
1:04.0,,,53-53,,Technical foul by D. Green
1:04.0,K. Love makes technical free throw,1,54-53,,
1:04.0,L. James makes free throw 1 of 2,1,55-53,,
1:04.0,L. James makes free throw 2 of 2,1,56-53,,
0:55.0,,,56-53,,S. Curry misses 3-pt shot from 25 ft
0:54.0,Defensive rebound by J. Smith,,56-53,,
0:50.0,J. Smith misses 3-pt shot from 26 ft,,56-53,,
0:49.0,,,56-53,,Defensive rebound by S. Curry
0:32.0,,,56-53,,N. Young misses 3-pt shot from 23 ft
0:30.0,Defensive rebound by T. Thompson,,56-53,,
0:07.0,J. Green misses 3-pt shot from 22 ft,,56-53,,
0:06.0,,,56-53,,Defensive rebound by K. Durant
0:00.0,,,56-56,3,S. Curry makes 3-pt shot from 37 ft (assist by K. Durant)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,56-58,2,K. Durant makes 2-pt shot from 12 ft
11:30.0,J. Smith misses 3-pt shot from 28 ft,,56-58,,
11:26.0,Offensive rebound by K. Love,,56-58,,
11:06.0,T. Thompson misses 2-pt shot from 3 ft (block by J. McGee),,56-58,,
11:06.0,,,56-58,,Defensive rebound by D. Green
10:57.0,,,56-60,2,D. Green makes 2-pt shot from 1 ft
10:49.0,G. Hill makes 3-pt shot from 26 ft,3,59-60,,
10:36.0,,,59-62,2,J. McGee makes 2-pt shot from 1 ft (assist by D. Green)
10:20.0,G. Hill misses 3-pt shot from 27 ft,,59-62,,
10:18.0,,,59-62,,Defensive rebound by D. Green
10:12.0,,,59-64,2,J. McGee makes 2-pt shot from 1 ft (assist by D. Green)
9:43.0,K. Love misses 3-pt shot from 23 ft,,59-64,,
9:42.0,,,59-64,,Defensive rebound by K. Durant
9:37.0,,,59-64,,K. Thompson misses 3-pt shot from 24 ft
9:36.0,Defensive rebound by T. Thompson,,59-64,,
9:18.0,,,59-64,,Personal foul by K. Thompson (drawn by K. Love)
9:07.0,J. Smith misses 2-pt shot from 9 ft,,59-64,,
9:04.0,,,59-64,,Defensive rebound by S. Curry
9:02.0,,,59-66,2,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry)
9:02.0,Cleveland full timeout,,59-66,,
8:45.0,K. Love misses 3-pt shot from 25 ft,,59-66,,
8:44.0,Offensive rebound by T. Thompson,,59-66,,
8:39.0,T. Thompson misses 2-pt shot from 3 ft (block by K. Durant),,59-66,,
8:36.0,,,59-66,,Defensive rebound by K. Durant
8:32.0,,,59-66,,Turnover by S. Curry (bad pass)
8:12.0,T. Thompson makes 2-pt shot from 6 ft (assist by L. James),2,61-66,,
7:48.0,,,61-66,,J. McGee misses 2-pt shot at rim
7:46.0,Defensive rebound by G. Hill,,61-66,,
7:38.0,G. Hill misses 3-pt shot from 23 ft,,61-66,,
7:34.0,,,61-66,,Defensive rebound by J. McGee
7:17.0,,,61-66,,K. Thompson misses 2-pt shot from 10 ft
7:16.0,,,61-66,,Offensive rebound by Team
7:16.0,Loose ball foul by T. Thompson (drawn by D. Green),,61-66,,
7:11.0,,,61-68,2,K. Durant makes 2-pt shot from 9 ft (assist by D. Green)
6:47.0,Shooting foul by S. Curry (drawn by L. James),,61-68,,
6:47.0,L. James makes free throw 1 of 2,1,62-68,,
6:47.0,,,62-68,,K. Looney enters the game for J. McGee
6:47.0,L. James makes free throw 2 of 2,1,63-68,,
6:35.0,,,63-68,,K. Durant misses 2-pt shot from 12 ft
6:34.0,Defensive rebound by K. Love,,63-68,,
6:24.0,L. James makes 2-pt shot from 23 ft,2,65-68,,
6:11.0,Personal foul by G. Hill (drawn by D. Green),,65-68,,
6:03.0,,,65-68,,K. Durant misses 2-pt shot from 1 ft
6:02.0,Defensive rebound by Team,,65-68,,
5:42.0,Turnover by L. James (lost ball; steal by D. Green),,65-68,,
5:33.0,,,65-68,,D. Green misses 2-pt shot from 3 ft
5:32.0,Defensive rebound by K. Love,,65-68,,
5:27.0,L. James makes 3-pt shot from 27 ft,3,68-68,,
5:26.0,,,68-68,,Golden State full timeout
5:09.0,,,68-68,,K. Durant misses 2-pt shot from 12 ft
5:08.0,,,68-68,,Offensive rebound by K. Looney
5:08.0,,,68-70,2,K. Looney makes 2-pt shot at rim
4:48.0,K. Love misses 3-pt shot from 25 ft,,68-70,,
4:47.0,Offensive rebound by Team,,68-70,,
4:47.0,,,68-70,,Loose ball foul by K. Looney (drawn by T. Thompson)
4:47.0,J. Green enters the game for G. Hill,,68-70,,
4:36.0,L. James misses 2-pt shot from 11 ft (block by K. Durant),,68-70,,
4:35.0,Offensive rebound by L. James,,68-70,,
4:32.0,L. James makes 2-pt shot from 10 ft,2,70-70,,
4:22.0,,,70-70,,K. Thompson misses 3-pt shot from 27 ft
4:20.0,Defensive rebound by K. Love,,70-70,,
4:16.0,L. James makes 3-pt shot from 32 ft,3,73-70,,
4:03.0,,,73-73,3,S. Curry makes 3-pt shot from 27 ft
3:46.0,L. James misses 2-pt shot from 6 ft,,73-73,,
3:44.0,,,73-73,,Defensive rebound by D. Green
3:40.0,,,73-73,,S. Curry misses 3-pt shot from 26 ft
3:36.0,Defensive rebound by K. Love,,73-73,,
3:32.0,L. James misses 3-pt shot from 26 ft,,73-73,,
3:32.0,Offensive rebound by Team,,73-73,,
3:32.0,,,73-73,,Loose ball foul by K. Looney (drawn by T. Thompson)
3:32.0,L. Nance enters the game for T. Thompson,,73-73,,
3:14.0,L. James misses 2-pt shot from 11 ft,,73-73,,
3:13.0,Offensive rebound by L. Nance,,73-73,,
3:13.0,L. Nance misses 2-pt shot at rim (block by K. Durant),,73-73,,
3:12.0,,,73-73,,Defensive rebound by K. Durant
3:08.0,,,73-73,,Shooting foul by L. Nance (drawn by K. Durant)
3:08.0,,,73-74,1,K. Durant makes free throw 1 of 2
3:08.0,,,73-74,,S. Livingston enters the game for S. Curry
3:08.0,,,73-75,1,K. Durant makes free throw 2 of 2
2:59.0,K. Love makes 2-pt shot from 9 ft (assist by J. Green),2,75-75,,
2:39.0,,,75-77,2,K. Durant makes 2-pt shot from 9 ft
2:21.0,Turnover by J. Green (bad pass; steal by D. Green),,75-77,,
2:06.0,,,75-77,,D. Green misses 3-pt shot from 25 ft
2:05.0,Defensive rebound by L. James,,75-77,,
1:59.0,L. James misses 2-pt shot from 5 ft,,75-77,,
1:58.0,,,75-77,,Defensive rebound by D. Green
1:46.0,,,75-80,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
1:22.0,L. James misses 3-pt shot from 27 ft,,75-80,,
1:21.0,,,75-80,,Defensive rebound by D. Green
1:15.0,,,75-82,2,K. Looney makes 2-pt shot at rim (assist by S. Livingston)
1:15.0,Cleveland full timeout,,75-82,,
1:15.0,,,75-82,,J. Bell enters the game for K. Thompson
1:15.0,,,75-82,,N. Young enters the game for D. Green
1:15.0,K. Korver enters the game for J. Smith,,75-82,,
1:15.0,J. Clarkson enters the game for L. James,,75-82,,
0:56.0,K. Love makes 2-pt shot from 8 ft,2,77-82,,
0:46.0,,,77-84,2,K. Durant makes 2-pt shot from 1 ft (assist by J. Bell)
0:34.0,Shooting foul by K. Durant (drawn by L. Nance),,77-84,,
0:34.0,L. Nance misses free throw 1 of 2,,77-84,,
0:34.0,Offensive rebound by Team,,77-84,,
0:34.0,J. Smith enters the game for K. Love,,77-84,,
0:34.0,L. Nance makes free throw 2 of 2,1,78-84,,
0:23.0,,,78-84,,N. Young misses 2-pt shot from 18 ft
0:22.0,Defensive rebound by L. Nance,,78-84,,
0:03.0,J. Clarkson misses 2-pt shot from 12 ft,,78-84,,
0:01.0,,,78-84,,Defensive rebound by J. Bell
0:00.0,,,78-84,,J. Bell misses 3-pt shot from 62 ft
0:00.0,,,78-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,J. Green misses 3-pt shot from 27 ft,,78-84,,
11:40.0,,,78-84,,Defensive rebound by K. Looney
11:25.0,,,78-84,,S. Curry misses 2-pt shot from 8 ft
11:24.0,,,78-84,,Offensive rebound by K. Looney
11:18.0,,,78-84,,S. Curry misses 3-pt shot from 23 ft
11:17.0,Defensive rebound by J. Clarkson,,78-84,,
11:08.0,J. Clarkson misses 2-pt shot at rim (block by D. Green),,78-84,,
11:08.0,Offensive rebound by Team,,78-84,,
11:08.0,L. James enters the game for J. Smith,,78-84,,
11:00.0,K. Korver misses 3-pt shot from 23 ft (block by D. Green),,78-84,,
10:59.0,,,78-84,,Defensive rebound by K. Thompson
10:55.0,,,78-84,,Turnover by K. Thompson (bad pass; steal by J. Clarkson)
10:51.0,J. Green makes 2-pt shot from 1 ft (assist by L. James),2,80-84,,
10:26.0,,,80-84,,S. Curry misses 2-pt shot from 19 ft
10:25.0,Defensive rebound by L. James,,80-84,,
10:23.0,,,80-84,,Personal foul by K. Looney (drawn by L. Nance)
10:18.0,Shooting foul by S. Livingston (drawn by L. Nance),,80-84,,
10:18.0,L. Nance misses free throw 1 of 2,,80-84,,
10:18.0,Offensive rebound by Team,,80-84,,
10:18.0,L. Nance misses free throw 2 of 2,,80-84,,
10:16.0,,,80-84,,Defensive rebound by D. Green
10:07.0,,,80-86,2,K. Thompson makes 2-pt shot from 12 ft (assist by S. Curry)
9:48.0,L. James makes 2-pt shot from 3 ft (assist by J. Green),2,82-86,,
9:32.0,,,82-86,,Shooting foul by K. Korver (drawn by K. Thompson)
9:32.0,,,82-87,1,K. Thompson makes free throw 1 of 3
9:32.0,,,82-88,1,K. Thompson makes free throw 2 of 3
9:32.0,,,82-89,1,K. Thompson makes free throw 3 of 3
9:21.0,J. Green makes 3-pt shot from 25 ft (assist by L. James),3,85-89,,
9:03.0,,,85-89,,D. Green misses 3-pt shot from 27 ft
9:02.0,Defensive rebound by K. Korver,,85-89,,
8:54.0,K. Korver makes 3-pt shot from 27 ft (assist by L. James),3,88-89,,
8:52.0,,,88-89,,Golden State full timeout
8:52.0,,,88-89,,K. Durant enters the game for S. Livingston
8:40.0,Personal foul by L. Nance (drawn by D. Green),,88-89,,
8:34.0,,,88-89,,K. Durant misses 3-pt shot from 24 ft
8:33.0,,,88-89,,Offensive rebound by D. Green
8:23.0,,,88-91,2,K. Looney makes 2-pt shot at rim (assist by K. Thompson)
8:01.0,J. Clarkson makes 2-pt shot from 8 ft,2,90-91,,
7:52.0,,,90-91,,K. Durant misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by L. Nance,,90-91,,
7:31.0,L. James makes 2-pt shot from 2 ft,2,92-91,,
7:18.0,,,92-91,,S. Curry misses 3-pt shot from 27 ft
7:12.0,Defensive rebound by L. Nance,,92-91,,
6:54.0,J. Green misses 3-pt shot from 22 ft,,92-91,,
6:53.0,,,92-91,,Defensive rebound by K. Durant
6:43.0,,,92-91,,Shooting foul by L. James (drawn by K. Durant)
6:43.0,,,92-92,1,K. Durant makes free throw 1 of 2
6:43.0,J. Smith enters the game for K. Korver,,92-92,,
6:43.0,,,92-92,,K. Durant misses free throw 2 of 2
6:42.0,,,92-92,,Offensive rebound by K. Looney
6:42.0,,,92-94,2,K. Looney makes 2-pt shot at rim
6:17.0,L. James misses 3-pt shot from 26 ft,,92-94,,
6:16.0,Offensive rebound by J. Clarkson,,92-94,,
5:54.0,Turnover by L. James (lost ball; steal by K. Looney),,92-94,,
5:51.0,Personal foul by J. Clarkson (drawn by K. Durant),,92-94,,
5:51.0,G. Hill enters the game for L. Nance,,92-94,,
5:51.0,K. Love enters the game for J. Clarkson,,92-94,,
5:44.0,,,92-94,,Turnover by S. Curry (bad pass)
5:37.0,K. Love misses 3-pt shot from 26 ft,,92-94,,
5:36.0,Offensive rebound by L. James,,92-94,,
5:30.0,J. Smith misses 3-pt shot from 28 ft,,92-94,,
5:29.0,Offensive rebound by K. Love,,92-94,,
5:29.0,K. Love makes 2-pt shot at rim,2,94-94,,
5:06.0,,,94-97,3,D. Green makes 3-pt shot from 27 ft (assist by K. Durant)
4:48.0,Turnover by L. James (bad pass),,94-97,,
4:39.0,,,94-100,3,S. Curry makes 3-pt shot from 25 ft
4:37.0,Cleveland full timeout,,94-100,,
4:14.0,J. Smith misses 2-pt shot from 21 ft,,94-100,,
4:13.0,,,94-100,,Defensive rebound by S. Curry
3:52.0,,,94-100,,K. Looney misses 2-pt shot from 2 ft
3:51.0,Defensive rebound by Team,,94-100,,
3:37.0,L. James makes 2-pt shot from 2 ft,2,96-100,,
3:13.0,,,96-100,,K. Durant misses 3-pt shot from 24 ft
3:11.0,,,96-100,,Offensive rebound by Team
3:11.0,,,96-100,,Turnover by Team (shot clock)
2:54.0,L. James makes 2-pt shot from 1 ft,2,98-100,,
2:35.0,,,98-102,2,S. Curry makes 2-pt shot from 1 ft
2:12.0,J. Smith misses 3-pt shot from 25 ft,,98-102,,
2:10.0,G. Hill misses 2-pt shot at rim,,98-102,,
2:10.0,Offensive rebound by G. Hill,,98-102,,
2:08.0,Offensive rebound by J. Green,,98-102,,
2:04.0,K. Love makes 3-pt shot from 27 ft (assist by J. Green),3,101-102,,
1:46.0,,,101-102,,S. Curry misses 2-pt shot from 13 ft
1:41.0,Defensive rebound by L. James,,101-102,,
1:25.0,J. Green misses 3-pt shot from 23 ft,,101-102,,
1:23.0,,,101-102,,Defensive rebound by K. Durant
1:09.0,,,101-102,,K. Durant misses 2-pt shot from 19 ft
1:08.0,Defensive rebound by K. Love,,101-102,,
0:50.0,L. James makes 2-pt shot from 2 ft,2,103-102,,
0:50.0,Shooting foul by K. Looney (drawn by L. James),,103-102,,
0:50.0,T. Thompson enters the game for K. Love,,103-102,,
0:50.0,,,103-102,,Golden State full timeout
0:50.0,,,103-102,,N. Young enters the game for K. Looney
0:50.0,L. James makes free throw 1 of 1,1,104-102,,
0:36.0,,,104-102,,Shooting foul by L. James (drawn by K. Durant)
0:36.0,,,104-103,1,K. Durant makes free throw 1 of 2
0:36.0,K. Love enters the game for G. Hill,,104-103,,
0:36.0,K. Korver enters the game for J. Green,,104-103,,
0:36.0,,,104-104,1,K. Durant makes free throw 2 of 2
0:36.0,G. Hill enters the game for T. Thompson,,104-104,,
0:36.0,Cleveland full timeout,,104-104,,
0:36.0,,,104-104,,K. Looney enters the game for N. Young
0:32.0,L. James makes 2-pt shot from 4 ft,2,106-104,,
0:23.0,,,106-106,2,S. Curry makes 2-pt shot from 2 ft
0:23.0,,,106-106,,Shooting foul by K. Love (drawn by S. Curry)
0:23.0,,,106-107,1,S. Curry makes free throw 1 of 1
0:04.0,,,106-107,,Personal foul by K. Thompson (drawn by G. Hill)
0:04.0,G. Hill makes free throw 1 of 1,1,107-107,,
0:04.0,G. Hill misses free throw 2 of 2,,107-107,,
0:04.0,Offensive rebound by J. Smith,,107-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:36.0,K. Love misses 3-pt shot from 27 ft,,107-107,,
4:35.0,,,107-107,,Defensive rebound by D. Green
4:14.0,Personal foul by J. Green (drawn by D. Green),,107-107,,
4:06.0,,,107-107,,Shooting foul by G. Hill (drawn by K. Durant)
4:06.0,,,107-108,1,K. Durant makes free throw 1 of 2
4:06.0,,,107-109,1,K. Durant makes free throw 2 of 2
3:51.0,G. Hill misses 2-pt shot from 3 ft,,107-109,,
3:50.0,,,107-109,,Defensive rebound by D. Green
3:45.0,,,107-112,3,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green)
3:21.0,K. Love misses 2-pt shot from 4 ft,,107-112,,
3:20.0,,,107-112,,Defensive rebound by K. Thompson
