time,Golden State,pts.away,score,pts.home,Toronto
9:23.0,K. Thompson makes 2-pt shot from 13 ft (assist by S. Curry),2,87-60,,
9:06.0,,,87-62,2,S. Ibaka makes 2-pt shot from 13 ft (assist by D. DeRozan)
8:55.0,Turnover by K. Durant (bad pass; steal by D. Wright),,87-62,,
8:51.0,,,87-64,2,O. Anunoby makes 2-pt shot from 1 ft (assist by D. Wright)
8:25.0,Z. Pachulia misses 2-pt shot from 6 ft,,87-64,,
8:22.0,,,87-64,,Defensive rebound by J. Valanciunas
8:06.0,,,87-64,,Shooting foul by Z. Pachulia (drawn by J. Valanciunas)
8:06.0,,,87-65,1,J. Valanciunas makes free throw 1 of 2
8:06.0,,,87-66,1,J. Valanciunas makes free throw 2 of 2
7:56.0,Offensive foul by Z. Pachulia (drawn by D. Wright),,87-66,,
7:56.0,Turnover by Z. Pachulia (offensive foul),,87-66,,
7:40.0,,,87-68,2,D. DeRozan makes 2-pt shot from 22 ft (assist by O. Anunoby)
7:39.0,Golden State full timeout,,87-68,,
7:39.0,K. Looney enters the game for Z. Pachulia,,87-68,,
7:22.0,K. Durant misses 2-pt shot from 21 ft,,87-68,,
7:19.0,,,87-68,,Defensive rebound by S. Ibaka
7:07.0,,,87-68,,Shooting foul by K. Thompson (drawn by D. DeRozan)
7:07.0,,,87-69,1,D. DeRozan makes free throw 1 of 2
7:07.0,,,87-70,1,D. DeRozan makes free throw 2 of 2
6:58.0,D. Green makes 2-pt shot from 4 ft,2,89-70,,
6:34.0,,,89-70,,S. Ibaka misses 2-pt shot from 14 ft
6:32.0,,,89-70,,Offensive rebound by Team
6:24.0,,,89-72,2,O. Anunoby makes 2-pt shot at rim (assist by J. Valanciunas)
6:09.0,S. Curry makes 3-pt shot from 25 ft (assist by K. Durant),3,92-72,,
5:48.0,,,92-74,2,S. Ibaka makes 2-pt shot from 8 ft
5:42.0,D. Green misses 3-pt shot from 24 ft,,92-74,,
5:39.0,,,92-74,,Defensive rebound by J. Valanciunas
5:28.0,Personal foul by K. Thompson (drawn by J. Valanciunas),,92-74,,
5:28.0,,,92-75,1,J. Valanciunas makes free throw 1 of 2
5:28.0,P. McCaw enters the game for D. Green,,92-75,,
5:28.0,,,92-76,1,J. Valanciunas makes free throw 2 of 2
5:22.0,,,92-76,,Personal foul by D. DeRozan (drawn by K. Thompson)
5:05.0,K. Durant misses 2-pt shot from 15 ft,,92-76,,
5:02.0,,,92-76,,Defensive rebound by S. Ibaka
4:56.0,,,92-78,2,D. DeRozan makes 2-pt shot from 1 ft
4:56.0,,,92-78,,Shooting foul by S. Curry (drawn by D. DeRozan)
4:56.0,,,92-78,,D. DeRozan misses free throw 1 of 1
4:53.0,,,92-78,,Offensive rebound by J. Valanciunas
4:53.0,,,92-78,,Turnover by J. Valanciunas (bad pass)
4:38.0,K. Durant misses 2-pt shot from 10 ft,,92-78,,
4:35.0,,,92-78,,Defensive rebound by S. Ibaka
4:22.0,,,92-78,,J. Valanciunas misses 2-pt shot from 3 ft
4:20.0,Defensive rebound by K. Thompson,,92-78,,
4:14.0,S. Curry misses 3-pt shot from 23 ft,,92-78,,
4:13.0,,,92-78,,Defensive rebound by J. Valanciunas
4:08.0,,,92-78,,Shooting foul by P. McCaw (drawn by D. Wright)
4:08.0,,,92-79,1,D. Wright makes free throw 1 of 2
4:08.0,,,92-80,1,D. Wright makes free throw 2 of 2
4:08.0,N. Young enters the game for K. Thompson,,92-80,,
3:54.0,P. McCaw misses 2-pt shot from 3 ft,,92-80,,
3:52.0,,,92-80,,Defensive rebound by J. Valanciunas
3:42.0,,,92-80,,Shooting foul by N. Young (drawn by D. DeRozan)
3:42.0,,,92-81,1,D. DeRozan makes free throw 1 of 2
3:42.0,D. Green enters the game for K. Looney,,92-81,,
3:42.0,,,92-81,,D. DeRozan misses free throw 2 of 2
3:40.0,,,92-81,,Offensive rebound by J. Valanciunas
3:40.0,,,92-81,,Shooting foul by D. Green (drawn by J. Valanciunas)
3:40.0,,,92-82,1,J. Valanciunas makes free throw 1 of 2
3:40.0,,,92-83,1,J. Valanciunas makes free throw 2 of 2
3:33.0,,,92-83,,Shooting block foul by O. Anunoby (drawn by S. Curry)
3:33.0,S. Curry makes free throw 1 of 2,1,93-83,,
3:33.0,S. Curry makes free throw 2 of 2,1,94-83,,
3:16.0,,,94-85,2,J. Valanciunas makes 2-pt shot at rim
3:08.0,K. Durant makes 3-pt shot from 24 ft,3,97-85,,
2:51.0,,,97-87,2,D. DeRozan makes 2-pt shot from 2 ft
2:35.0,K. Durant makes 3-pt shot from 25 ft,3,100-87,,
2:19.0,,,100-87,,J. Valanciunas misses 2-pt shot from 11 ft
2:16.0,Defensive rebound by S. Curry,,100-87,,
2:03.0,K. Durant misses 3-pt shot from 26 ft,,100-87,,
2:01.0,,,100-87,,Defensive rebound by J. Valanciunas
1:50.0,,,100-87,,S. Ibaka misses 3-pt shot from 25 ft
1:48.0,,,100-87,,Offensive rebound by O. Anunoby
1:46.0,,,100-87,,D. DeRozan misses 2-pt shot from 22 ft
1:46.0,Defensive rebound by S. Curry,,100-87,,
1:37.0,Shooting foul by O. Anunoby (drawn by S. Curry),,100-87,,
1:37.0,,,100-87,,Toronto full timeout
1:37.0,,,100-87,,P. Siakam enters the game for O. Anunoby
1:37.0,,,100-87,,C. Miles enters the game for S. Ibaka
1:37.0,,,100-87,,F. VanVleet enters the game for D. Wright
1:37.0,S. Curry makes free throw 1 of 2,1,101-87,,
1:37.0,S. Curry makes free throw 2 of 2,1,102-87,,
1:19.0,,,102-89,2,P. Siakam makes 2-pt shot from 2 ft (assist by J. Valanciunas)
0:59.0,P. McCaw makes 2-pt shot from 5 ft (assist by S. Curry),2,104-89,,
0:44.0,,,104-89,,J. Valanciunas misses 2-pt shot from 20 ft
0:42.0,Defensive rebound by S. Curry,,104-89,,
0:39.0,Shooting foul by C. Miles (drawn by P. McCaw),,104-89,,
0:39.0,P. McCaw makes free throw 1 of 2,1,105-89,,
0:39.0,P. McCaw makes free throw 2 of 2,1,106-89,,
0:33.0,,,106-89,,C. Miles misses 3-pt shot from 25 ft
0:30.0,,,106-89,,Offensive rebound by P. Siakam
0:09.0,,,106-89,,D. DeRozan misses 2-pt shot from 17 ft
0:05.0,Defensive rebound by S. Curry,,106-89,,
0:05.0,,,106-89,,Personal foul by P. Siakam (drawn by S. Curry)
0:05.0,S. Curry makes free throw 1 of 2,1,107-89,,
0:05.0,S. Curry makes free throw 2 of 2,1,108-89,,
0:00.0,,,108-89,,F. VanVleet misses 2-pt shot from 3 ft
0:00.0,,,108-89,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,108-92,3,F. VanVleet makes 3-pt shot from 25 ft (assist by C. Miles)
11:18.0,Turnover by D. West (bad pass; steal by F. VanVleet),,108-92,,
11:13.0,,,108-92,,F. VanVleet misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by D. West,,108-92,,
10:49.0,K. Thompson misses 2-pt shot from 8 ft,,108-92,,
10:45.0,Offensive rebound by P. McCaw,,108-92,,
10:44.0,P. McCaw makes 2-pt shot from 8 ft,2,110-92,,
10:31.0,,,110-95,3,C. Miles makes 3-pt shot from 26 ft (assist by N. Powell)
10:11.0,D. West misses 2-pt shot from 6 ft,,110-95,,
10:09.0,,,110-95,,Defensive rebound by J. Poeltl
9:48.0,,,110-95,,N. Powell misses 2-pt shot from 10 ft
9:48.0,,,110-95,,Offensive rebound by J. Poeltl
9:44.0,,,110-97,2,J. Poeltl makes 2-pt shot from 3 ft
9:23.0,D. West makes 2-pt shot from 10 ft,2,112-97,,
9:06.0,,,112-97,,Offensive foul by J. Poeltl (drawn by S. Livingston)
9:06.0,,,112-97,,Turnover by J. Poeltl (offensive foul)
9:06.0,K. Looney enters the game for D. Green,,112-97,,
8:45.0,S. Livingston misses 2-pt shot from 14 ft,,112-97,,
8:42.0,Offensive rebound by K. Looney,,112-97,,
8:33.0,Shooting foul by C. Miles (drawn by D. West),,112-97,,
8:33.0,D. West misses free throw 1 of 2,,112-97,,
8:33.0,Offensive rebound by Team,,112-97,,
8:33.0,D. West makes free throw 2 of 2,1,113-97,,
8:16.0,,,113-99,2,F. VanVleet makes 2-pt shot from 1 ft (assist by J. Poeltl)
8:01.0,D. West misses 2-pt shot from 7 ft,,113-99,,
7:59.0,,,113-99,,Defensive rebound by J. Poeltl
7:53.0,,,113-101,2,J. Poeltl makes 2-pt shot from 1 ft (assist by F. VanVleet)
7:52.0,Golden State full timeout,,113-101,,
7:52.0,K. Durant enters the game for S. Livingston,,113-101,,
7:52.0,S. Curry enters the game for K. Looney,,113-101,,
7:32.0,D. West misses 2-pt shot from 8 ft,,113-101,,
7:26.0,,,113-101,,Defensive rebound by F. VanVleet
7:21.0,,,113-101,,C. Miles misses 2-pt shot from 7 ft (block by K. Durant)
7:19.0,,,113-101,,Offensive rebound by P. Siakam
7:12.0,,,113-103,2,N. Powell makes 2-pt shot from 2 ft
7:00.0,D. West misses 2-pt shot from 1 ft,,113-103,,
7:00.0,,,113-103,,Defensive rebound by F. VanVleet
6:55.0,,,113-105,2,P. Siakam makes 2-pt shot at rim (assist by F. VanVleet)
6:41.0,K. Durant misses 3-pt shot from 25 ft,,113-105,,
6:38.0,,,113-105,,Defensive rebound by C. Miles
6:33.0,,,113-108,3,C. Miles makes 3-pt shot from 25 ft (assist by F. VanVleet)
6:32.0,Golden State full timeout,,113-108,,
6:32.0,D. Green enters the game for P. McCaw,,113-108,,
6:32.0,K. Looney enters the game for D. West,,113-108,,
6:32.0,,,113-109,1,C. Miles makes technical free throw
6:17.0,,,113-109,,Personal foul by F. VanVleet (drawn by S. Curry)
6:17.0,,,113-109,,D. DeRozan enters the game for N. Powell
6:02.0,Turnover by Team (shot clock),,113-109,,
5:55.0,,,113-109,,J. Poeltl misses 2-pt shot from 2 ft
5:54.0,,,113-109,,Offensive rebound by P. Siakam
5:53.0,,,113-111,2,P. Siakam makes 2-pt shot at rim
5:36.0,K. Looney misses 2-pt shot from 2 ft,,113-111,,
5:34.0,,,113-111,,Defensive rebound by F. VanVleet
5:17.0,,,113-111,,D. DeRozan misses 2-pt shot from 14 ft
5:14.0,Defensive rebound by K. Durant,,113-111,,
5:11.0,S. Curry makes 2-pt shot from 2 ft (assist by K. Durant),2,115-111,,
4:55.0,,,115-111,,Turnover by F. VanVleet (traveling)
4:32.0,D. Green misses 3-pt shot from 24 ft,,115-111,,
4:27.0,,,115-111,,Defensive rebound by F. VanVleet
4:17.0,,,115-111,,Shooting foul by K. Durant (drawn by J. Poeltl)
4:17.0,,,115-111,,J. Poeltl misses free throw 1 of 2
4:17.0,,,115-111,,Offensive rebound by Team
4:17.0,,,115-112,1,J. Poeltl makes free throw 2 of 2
4:05.0,Shooting foul by C. Miles (drawn by K. Looney),,115-112,,
4:05.0,K. Looney makes free throw 1 of 2,1,116-112,,
4:05.0,K. Looney misses free throw 2 of 2,,116-112,,
4:05.0,,,116-112,,Defensive rebound by D. DeRozan
4:03.0,,,116-112,,Turnover by D. DeRozan (step out of bounds)
3:58.0,D. Green misses 2-pt shot from 9 ft,,116-112,,
3:57.0,,,116-112,,Defensive rebound by F. VanVleet
3:54.0,,,116-115,3,F. VanVleet makes 3-pt shot from 25 ft (assist by P. Siakam)
3:35.0,S. Curry makes 3-pt shot from 24 ft,3,119-115,,
3:16.0,,,119-115,,D. DeRozan misses 3-pt shot from 25 ft
3:15.0,Defensive rebound by K. Thompson,,119-115,,
3:11.0,,,119-115,,Personal foul by D. DeRozan (drawn by D. Green)
3:11.0,,,119-115,,Toronto full timeout
3:11.0,D. West enters the game for K. Looney,,119-115,,
3:08.0,Turnover by D. West (bad pass),,119-115,,
2:54.0,Personal foul by K. Durant (drawn by P. Siakam),,119-115,,
