time,San Antonio,pts.away,score,pts.home,New Orleans
6:14.0,,,17-4,2,D. Cousins makes 2-pt shot at rim (assist by J. Holiday)
5:58.0,Turnover by P. Mills (bad pass; steal by R. Rondo),,17-4,,
5:52.0,,,17-6,2,R. Rondo makes 2-pt shot from 2 ft
5:41.0,K. Anderson misses 2-pt shot from 2 ft (block by D. Cousins),,17-6,,
5:36.0,,,17-6,,Defensive rebound by E. Moore
5:26.0,,,17-6,,R. Rondo misses 3-pt shot from 25 ft
5:25.0,Defensive rebound by Team,,17-6,,
5:25.0,M. Ginobili enters the game for K. Anderson,,17-6,,
5:25.0,R. Gay enters the game for D. Green,,17-6,,
5:13.0,L. Aldridge makes 2-pt shot from 13 ft,2,19-6,,
4:52.0,,,19-6,,A. Davis misses 2-pt shot from 9 ft
4:46.0,Defensive rebound by P. Gasol,,19-6,,
4:44.0,,,19-6,,Personal foul by R. Rondo (drawn by P. Mills)
4:44.0,,,19-6,,J. Nelson enters the game for R. Rondo
4:44.0,,,19-6,,D. Miller enters the game for E. Moore
4:44.0,J. Lauvergne enters the game for P. Gasol,,19-6,,
4:33.0,Turnover by L. Aldridge (traveling),,19-6,,
4:33.0,D. Murray enters the game for P. Mills,,19-6,,
4:21.0,,,19-8,2,D. Cousins makes 2-pt shot from 4 ft
4:21.0,,,19-8,,Shooting foul by J. Lauvergne (drawn by D. Cousins)
4:21.0,,,19-9,1,D. Cousins makes free throw 1 of 1
4:03.0,R. Gay misses 2-pt shot from 14 ft,,19-9,,
4:03.0,Offensive rebound by Team,,19-9,,
4:03.0,,,19-9,,Loose ball foul by J. Nelson (drawn by J. Lauvergne)
3:47.0,R. Gay makes 3-pt shot from 23 ft (assist by M. Ginobili),3,22-9,,
3:43.0,,,22-9,,Turnover by J. Nelson (turnover)
3:39.0,J. Lauvergne misses 2-pt shot from 3 ft,,22-9,,
3:38.0,Offensive rebound by Team,,22-9,,
3:24.0,R. Gay misses 2-pt shot from 15 ft,,22-9,,
3:18.0,Offensive rebound by J. Lauvergne,,22-9,,
3:11.0,J. Lauvergne misses 2-pt shot from 2 ft,,22-9,,
3:05.0,,,22-9,,Defensive rebound by A. Davis
3:03.0,,,22-12,3,D. Miller makes 3-pt shot from 23 ft (assist by A. Davis)
2:52.0,Turnover by R. Gay (bad pass),,22-12,,
2:52.0,,,22-12,,D. Cunningham enters the game for A. Davis
2:36.0,,,22-15,3,D. Miller makes 3-pt shot from 22 ft (assist by D. Cousins)
2:19.0,M. Ginobili misses 2-pt shot from 13 ft,,22-15,,
2:16.0,,,22-15,,Defensive rebound by D. Cousins
2:16.0,,,22-15,,Offensive charge foul by D. Cousins (drawn by M. Ginobili)
2:16.0,,,22-15,,Turnover by D. Cousins (offensive foul)
2:16.0,D. Bertans enters the game for L. Aldridge,,22-15,,
2:16.0,P. Gasol enters the game for J. Lauvergne,,22-15,,
1:55.0,R. Gay misses 2-pt shot from 19 ft,,22-15,,
1:51.0,,,22-15,,Defensive rebound by D. Cousins
1:35.0,,,22-15,,Shooting foul by D. Murray (drawn by D. Cunningham)
1:35.0,,,22-16,1,D. Cunningham makes free throw 1 of 2
1:35.0,,,22-16,,T. Allen enters the game for J. Holiday
1:35.0,,,22-17,1,D. Cunningham makes free throw 2 of 2
1:18.0,D. Murray makes 2-pt shot from 19 ft (assist by P. Gasol),2,24-17,,
1:04.0,,,24-17,,D. Miller misses 3-pt shot from 25 ft
0:59.0,Defensive rebound by R. Gay,,24-17,,
0:51.0,Shooting foul by T. Allen (drawn by D. Bertans),,24-17,,
0:51.0,D. Bertans makes free throw 1 of 3,1,25-17,,
0:51.0,D. Bertans makes free throw 2 of 3,1,26-17,,
0:51.0,D. Bertans makes free throw 3 of 3,1,27-17,,
0:37.0,,,27-19,2,D. Cousins makes 2-pt shot from 20 ft
0:27.0,,,27-19,,Personal foul by D. Cousins (drawn by D. Murray)
0:27.0,D. Murray makes free throw 1 of 2,1,28-19,,
0:27.0,,,28-19,,A. Davis enters the game for D. Cousins
0:27.0,K. Anderson enters the game for R. Gay,,28-19,,
0:27.0,B. Paul enters the game for D. Bertans,,28-19,,
0:27.0,D. Murray makes free throw 2 of 2,1,29-19,,
0:04.0,,,29-19,,J. Nelson misses 2-pt shot from 11 ft (block by K. Anderson)
0:04.0,Defensive rebound by K. Anderson,,29-19,,
0:00.0,M. Ginobili misses 3-pt shot from 24 ft,,29-19,,
0:00.0,Offensive rebound by Team,,29-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,29-19,,D. Cunningham misses 3-pt shot from 23 ft
11:37.0,Defensive rebound by M. Ginobili,,29-19,,
11:27.0,L. Aldridge makes 2-pt shot from 2 ft (assist by M. Ginobili),2,31-19,,
11:27.0,Shooting foul by D. Miller (drawn by L. Aldridge),,31-19,,
11:27.0,L. Aldridge makes free throw 1 of 1,1,32-19,,
11:08.0,,,32-21,2,A. Davis makes 2-pt shot from 1 ft (assist by J. Nelson)
10:53.0,Turnover by M. Ginobili (bad pass; steal by T. Allen),,32-21,,
10:48.0,,,32-21,,Turnover by T. Allen (bad pass; steal by D. Murray)
10:39.0,D. Bertans misses 3-pt shot from 22 ft,,32-21,,
10:34.0,Offensive rebound by L. Aldridge,,32-21,,
10:32.0,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Murray),2,34-21,,
10:16.0,,,34-23,2,D. Cunningham makes 2-pt shot at rim (assist by D. Miller)
10:02.0,D. Murray misses 2-pt shot from 2 ft,,34-23,,
10:01.0,,,34-23,,Defensive rebound by Team
10:01.0,P. Mills enters the game for D. Murray,,34-23,,
10:01.0,D. Green enters the game for M. Ginobili,,34-23,,
10:01.0,K. Anderson enters the game for R. Gay,,34-23,,
9:47.0,P. Mills misses 3-pt shot from 26 ft,,34-23,,
9:45.0,,,34-23,,Defensive rebound by Team
9:37.0,,,34-23,,Shooting foul by L. Aldridge (drawn by A. Davis)
9:37.0,,,34-24,1,A. Davis makes free throw 1 of 2
9:37.0,,,34-25,1,A. Davis makes free throw 2 of 2
9:28.0,L. Aldridge misses 3-pt shot from 24 ft,,34-25,,
9:24.0,,,34-25,,Defensive rebound by D. Miller
9:15.0,,,34-25,,A. Davis misses 2-pt shot from 20 ft
9:11.0,Defensive rebound by D. Bertans,,34-25,,
9:02.0,L. Aldridge misses 2-pt shot from 14 ft,,34-25,,
8:54.0,,,34-25,,Defensive rebound by A. Davis
8:48.0,,,34-28,3,D. Miller makes 3-pt shot from 24 ft (assist by J. Nelson)
8:46.0,San Antonio full timeout,,34-28,,
8:26.0,L. Aldridge makes 2-pt shot from 14 ft,2,36-28,,
8:05.0,,,36-28,,J. Nelson misses 2-pt shot from 22 ft
8:01.0,Defensive rebound by P. Mills,,36-28,,
7:56.0,K. Anderson misses 2-pt shot from 11 ft,,36-28,,
7:47.0,,,36-28,,Defensive rebound by D. Cunningham
7:45.0,,,36-28,,A. Davis misses 2-pt shot from 13 ft
7:41.0,Defensive rebound by P. Mills,,36-28,,
7:31.0,Turnover by L. Aldridge (traveling),,36-28,,
7:31.0,,,36-28,,D. Cousins enters the game for D. Cunningham
7:19.0,,,36-28,,Turnover by A. Davis (lost ball; steal by P. Mills)
7:13.0,Turnover by K. Anderson (bad pass; steal by D. Miller),,36-28,,
7:13.0,Personal foul by D. Bertans (drawn by A. Davis),,36-28,,
7:13.0,P. Gasol enters the game for D. Bertans,,36-28,,
7:13.0,,,36-28,,J. Holiday enters the game for J. Nelson
7:13.0,,,36-28,,R. Rondo enters the game for T. Allen
7:01.0,,,36-28,,Shooting foul by P. Gasol (drawn by D. Cousins)
7:01.0,,,36-29,1,D. Cousins makes free throw 1 of 2
7:01.0,,,36-29,,D. Cousins misses free throw 2 of 2
6:58.0,Defensive rebound by P. Gasol,,36-29,,
6:48.0,P. Gasol misses 3-pt shot from 25 ft,,36-29,,
6:44.0,,,36-29,,Defensive rebound by R. Rondo
6:36.0,,,36-29,,D. Cousins misses 3-pt shot from 25 ft
6:35.0,,,36-29,,Offensive rebound by Team
6:35.0,Loose ball foul by P. Gasol (drawn by A. Davis),,36-29,,
6:22.0,,,36-31,2,D. Cousins makes 2-pt shot from 18 ft
6:20.0,San Antonio full timeout,,36-31,,
5:56.0,D. Green misses 3-pt shot from 25 ft,,36-31,,
5:55.0,,,36-31,,Defensive rebound by Team
5:39.0,,,36-31,,Turnover by D. Cousins (traveling)
5:22.0,P. Gasol makes 2-pt shot from 4 ft,2,38-31,,
5:16.0,,,38-31,,Turnover by J. Holiday (bad pass; steal by P. Mills)
5:12.0,P. Mills misses 3-pt shot from 25 ft,,38-31,,
5:09.0,,,38-31,,Defensive rebound by A. Davis
5:03.0,,,38-31,,D. Cousins misses 3-pt shot from 25 ft
5:03.0,,,38-31,,Offensive rebound by Team
5:03.0,M. Ginobili enters the game for P. Mills,,38-31,,
5:03.0,D. Murray enters the game for D. Green,,38-31,,
5:03.0,,,38-31,,E. Moore enters the game for D. Miller
4:53.0,,,38-33,2,R. Rondo makes 2-pt shot from 1 ft
4:43.0,M. Ginobili misses 3-pt shot from 25 ft,,38-33,,
4:39.0,,,38-33,,Defensive rebound by E. Moore
4:31.0,,,38-33,,Turnover by J. Holiday (lost ball; steal by K. Anderson)
4:26.0,P. Gasol misses 2-pt shot from 12 ft,,38-33,,
4:11.0,,,38-33,,Defensive rebound by A. Davis
4:04.0,,,38-33,,J. Holiday misses 3-pt shot from 25 ft
4:00.0,,,38-33,,Offensive rebound by R. Rondo
3:52.0,,,38-35,2,A. Davis makes 2-pt shot from 9 ft (assist by R. Rondo)
3:32.0,K. Anderson makes 2-pt shot from 20 ft (assist by D. Murray),2,40-35,,
3:20.0,Personal foul by D. Murray (drawn by D. Cousins),,40-35,,
3:20.0,,,40-36,1,D. Cousins makes free throw 1 of 2
3:20.0,R. Gay enters the game for L. Aldridge,,40-36,,
3:20.0,,,40-37,1,D. Cousins makes free throw 2 of 2
3:07.0,Turnover by M. Ginobili (lost ball; steal by D. Cousins),,40-37,,
3:01.0,,,40-39,2,A. Davis makes 2-pt shot from 2 ft
2:50.0,D. Murray misses 2-pt shot from 19 ft,,40-39,,
2:47.0,,,40-39,,Defensive rebound by D. Cousins
2:36.0,,,40-39,,D. Cousins misses 2-pt shot from 2 ft
2:36.0,Defensive rebound by M. Ginobili,,40-39,,
2:30.0,Offensive charge foul by P. Gasol (drawn by R. Rondo),,40-39,,
2:30.0,Turnover by P. Gasol (offensive foul),,40-39,,
2:30.0,J. Lauvergne enters the game for P. Gasol,,40-39,,
2:15.0,,,40-39,,R. Rondo misses 3-pt shot from 22 ft
2:12.0,,,40-39,,Offensive rebound by R. Rondo
2:09.0,,,40-41,2,J. Holiday makes 2-pt shot from 1 ft (assist by R. Rondo)
1:54.0,,,40-41,,Personal foul by A. Davis (drawn by R. Gay)
1:37.0,K. Anderson misses 2-pt shot from 22 ft,,40-41,,
1:37.0,,,40-41,,Defensive rebound by Team
1:20.0,,,40-41,,A. Davis misses 2-pt shot from 9 ft
1:20.0,,,40-41,,Offensive rebound by D. Cousins
1:20.0,,,40-43,2,D. Cousins makes 2-pt shot at rim
1:20.0,,,40-43,,Shooting foul by K. Anderson (drawn by D. Cousins)
1:20.0,,,40-44,1,D. Cousins makes free throw 1 of 1
1:04.0,Turnover by M. Ginobili (out of bounds lost ball),,40-44,,
0:58.0,,,40-46,2,A. Davis makes 2-pt shot from 7 ft (assist by E. Moore)
0:37.0,Shooting foul by E. Moore (drawn by K. Anderson),,40-46,,
0:37.0,K. Anderson makes free throw 1 of 2,1,41-46,,
0:37.0,,,41-46,,D. Miller enters the game for D. Cousins
0:37.0,K. Anderson makes free throw 2 of 2,1,42-46,,
0:30.0,,,42-48,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
0:06.0,Turnover by Team (shot clock),,42-48,,
0:01.0,,,42-50,2,J. Holiday makes 2-pt shot from 16 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:59.0,Personal foul by D. Green (drawn by J. Holiday),,42-50,,
11:39.0,,,42-50,,R. Rondo misses 2-pt shot from 12 ft
11:33.0,Defensive rebound by D. Green,,42-50,,
11:28.0,L. Aldridge misses 2-pt shot from 16 ft,,42-50,,
11:24.0,,,42-50,,Defensive rebound by D. Cousins
11:15.0,,,42-50,,A. Davis misses 2-pt shot from 14 ft
11:09.0,Defensive rebound by P. Gasol,,42-50,,
11:02.0,D. Green misses 2-pt shot from 18 ft,,42-50,,
10:59.0,,,42-50,,Defensive rebound by J. Holiday
10:50.0,,,42-50,,D. Cousins misses 3-pt shot from 26 ft
10:45.0,Defensive rebound by L. Aldridge,,42-50,,
10:38.0,P. Mills misses 2-pt shot from 18 ft,,42-50,,
10:33.0,,,42-50,,Defensive rebound by R. Rondo
10:27.0,,,42-50,,E. Moore misses 3-pt shot from 24 ft
10:23.0,Defensive rebound by L. Aldridge,,42-50,,
10:09.0,K. Anderson makes 2-pt shot from 2 ft (assist by P. Mills),2,44-50,,
9:51.0,,,44-53,3,D. Cousins makes 3-pt shot from 25 ft (assist by E. Moore)
9:33.0,P. Gasol makes 3-pt shot from 25 ft (assist by D. Green),3,47-53,,
9:21.0,,,47-53,,D. Cousins misses 2-pt shot from 2 ft (block by P. Gasol)
9:15.0,Defensive rebound by K. Anderson,,47-53,,
9:12.0,K. Anderson misses 2-pt shot from 14 ft,,47-53,,
9:12.0,Offensive rebound by L. Aldridge,,47-53,,
9:02.0,L. Aldridge misses 2-pt shot from 8 ft,,47-53,,
8:58.0,,,47-53,,Defensive rebound by D. Cousins
8:49.0,,,47-55,2,A. Davis makes 2-pt shot from 3 ft (assist by E. Moore)
8:26.0,D. Green misses 3-pt shot from 22 ft,,47-55,,
8:22.0,,,47-55,,Defensive rebound by R. Rondo
8:16.0,,,47-55,,D. Cousins misses 3-pt shot from 25 ft
8:12.0,Defensive rebound by P. Gasol,,47-55,,
7:51.0,D. Green misses 3-pt shot from 24 ft,,47-55,,
7:47.0,,,47-55,,Defensive rebound by D. Cousins
7:44.0,Personal foul by K. Anderson (drawn by E. Moore),,47-55,,
7:38.0,,,47-55,,Shooting foul by L. Aldridge (drawn by A. Davis)
7:38.0,,,47-56,1,A. Davis makes free throw 1 of 2
7:38.0,,,47-57,1,A. Davis makes free throw 2 of 2
7:25.0,K. Anderson makes 2-pt shot from 2 ft (assist by P. Mills),2,49-57,,
7:04.0,,,49-59,2,E. Moore makes 2-pt shot from 15 ft
6:51.0,P. Gasol makes 2-pt shot from 15 ft (assist by D. Green),2,51-59,,
6:42.0,,,51-59,,Turnover by R. Rondo (bad pass; steal by P. Gasol)
6:39.0,Turnover by K. Anderson (bad pass),,51-59,,
6:39.0,,,51-59,,New Orleans full timeout
6:39.0,R. Gay enters the game for K. Anderson,,51-59,,
6:39.0,B. Forbes enters the game for D. Green,,51-59,,
6:31.0,,,51-59,,Shooting foul by L. Aldridge (drawn by J. Holiday)
6:31.0,,,51-60,1,J. Holiday makes free throw 1 of 2
6:31.0,J. Lauvergne enters the game for L. Aldridge,,51-60,,
6:31.0,,,51-61,1,J. Holiday makes free throw 2 of 2
6:19.0,P. Mills misses 2-pt shot from 19 ft,,51-61,,
6:11.0,Offensive rebound by J. Lauvergne,,51-61,,
6:11.0,J. Lauvergne makes 2-pt shot at rim,2,53-61,,
6:00.0,,,53-63,2,R. Rondo makes 2-pt shot from 1 ft (assist by D. Cousins)
5:47.0,Offensive foul by R. Gay (drawn by R. Rondo),,53-63,,
5:47.0,Turnover by R. Gay (offensive foul),,53-63,,
5:28.0,,,53-65,2,E. Moore makes 2-pt shot from 9 ft
5:11.0,P. Gasol misses 2-pt shot from 16 ft,,53-65,,
5:07.0,,,53-65,,Defensive rebound by D. Cousins
4:56.0,,,53-67,2,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo)
4:39.0,Turnover by B. Forbes (lost ball; steal by E. Moore),,53-67,,
4:30.0,,,53-67,,Turnover by D. Cousins (bad pass; steal by R. Gay)
4:30.0,P. Mills misses 3-pt shot from 26 ft,,53-67,,
4:30.0,,,53-67,,Defensive rebound by D. Cousins
4:27.0,,,53-67,,E. Moore misses 3-pt shot from 26 ft
4:25.0,,,53-67,,Offensive rebound by E. Moore
4:24.0,,,53-67,,E. Moore misses 2-pt shot from 3 ft
4:23.0,,,53-67,,Offensive rebound by D. Cousins
4:22.0,,,53-69,2,D. Cousins makes 2-pt shot at rim
3:58.0,J. Lauvergne misses 2-pt shot from 1 ft,,53-69,,
3:56.0,Offensive rebound by P. Gasol,,53-69,,
3:56.0,,,53-69,,Personal foul by A. Davis (drawn by P. Gasol)
3:56.0,,,53-69,,J. Nelson enters the game for D. Cousins
3:56.0,,,53-69,,D. Miller enters the game for R. Rondo
3:56.0,,,53-69,,D. Cunningham enters the game for E. Moore
3:56.0,D. Murray enters the game for P. Mills,,53-69,,
3:56.0,D. Bertans enters the game for P. Gasol,,53-69,,
3:52.0,,,53-69,,Personal foul by J. Holiday (drawn by B. Forbes)
3:47.0,R. Gay misses 3-pt shot from 23 ft,,53-69,,
3:46.0,Offensive rebound by J. Lauvergne,,53-69,,
3:45.0,J. Lauvergne misses 2-pt shot from 1 ft,,53-69,,
3:44.0,,,53-69,,Defensive rebound by A. Davis
3:32.0,,,53-71,2,A. Davis makes 2-pt shot from 1 ft (assist by D. Cunningham)
3:32.0,,,53-71,,Shooting foul by D. Murray (drawn by A. Davis)
3:32.0,,,53-72,1,A. Davis makes free throw 1 of 1
3:14.0,Turnover by D. Bertans (bad pass; steal by A. Davis),,53-72,,
3:09.0,,,53-75,3,D. Miller makes 3-pt shot from 23 ft (assist by A. Davis)
3:07.0,San Antonio full timeout,,53-75,,
3:07.0,P. Gasol enters the game for B. Forbes,,53-75,,
3:07.0,P. Mills enters the game for R. Gay,,53-75,,
3:07.0,D. Green enters the game for J. Lauvergne,,53-75,,
3:07.0,L. Aldridge enters the game for D. Murray,,53-75,,
3:07.0,K. Anderson enters the game for D. Bertans,,53-75,,
2:48.0,P. Gasol makes 2-pt shot from 1 ft (assist by K. Anderson),2,55-75,,
2:31.0,,,55-77,2,J. Holiday makes 2-pt shot from 1 ft (assist by A. Davis)
2:15.0,D. Green misses 2-pt shot from 21 ft,,55-77,,
2:10.0,,,55-77,,Defensive rebound by D. Cunningham
2:03.0,,,55-80,3,J. Holiday makes 3-pt shot from 25 ft (assist by D. Miller)
1:54.0,Shooting foul by D. Miller (drawn by K. Anderson),,55-80,,
1:54.0,K. Anderson makes free throw 1 of 2,1,56-80,,
1:54.0,,,56-80,,T. Allen enters the game for J. Holiday
1:54.0,B. Forbes enters the game for D. Green,,56-80,,
1:54.0,K. Anderson makes free throw 2 of 2,1,57-80,,
1:30.0,,,57-80,,D. Miller misses 3-pt shot from 27 ft
1:30.0,,,57-80,,Offensive rebound by Team
1:30.0,,,57-80,,Turnover by Team (shot clock)
1:06.0,K. Anderson misses 2-pt shot from 19 ft,,57-80,,
1:03.0,,,57-80,,Defensive rebound by D. Miller
0:59.0,,,57-82,2,A. Davis makes 2-pt shot at rim (assist by T. Allen)
0:47.0,P. Mills misses 3-pt shot from 24 ft,,57-82,,
0:43.0,,,57-82,,Defensive rebound by A. Davis
0:35.0,,,57-85,3,J. Nelson makes 3-pt shot from 25 ft
0:17.0,B. Forbes misses 2-pt shot from 15 ft,,57-85,,
0:14.0,,,57-85,,Defensive rebound by A. Davis
0:13.0,,,57-87,2,T. Allen makes 2-pt shot at rim (assist by A. Davis)
0:02.0,L. Aldridge makes 2-pt shot from 1 ft (assist by K. Anderson),2,59-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,D. Murray misses 2-pt shot from 3 ft (block by D. Cousins),,59-87,,
11:51.0,Offensive rebound by Team,,59-87,,
11:42.0,B. Paul misses 3-pt shot from 25 ft,,59-87,,
11:37.0,,,59-87,,Defensive rebound by D. Cunningham
11:18.0,,,59-87,,D. Cousins misses 2-pt shot from 2 ft
11:14.0,Defensive rebound by D. Murray,,59-87,,
11:11.0,Offensive foul by D. Murray (drawn by T. Allen),,59-87,,
11:11.0,Turnover by D. Murray (offensive foul),,59-87,,
10:52.0,,,59-89,2,T. Allen makes 2-pt shot from 1 ft (assist by D. Cousins)
10:38.0,R. Gay makes 2-pt shot from 12 ft,2,61-89,,
10:15.0,,,61-89,,Turnover by D. Cousins (lost ball; steal by D. Murray)
10:12.0,,,61-89,,Personal foul by T. Allen (drawn by D. Murray)
10:04.0,,,61-89,,Personal foul by D. Cunningham (drawn by R. Gay)
9:50.0,R. Gay misses 2-pt shot from 7 ft,,61-89,,
9:47.0,,,61-89,,Defensive rebound by D. Cousins
9:28.0,,,61-89,,Turnover by D. Cousins (traveling)
9:11.0,B. Forbes misses 3-pt shot from 24 ft,,61-89,,
9:06.0,,,61-89,,Defensive rebound by D. Miller
8:53.0,,,61-89,,Turnover by D. Cousins (lost ball; steal by B. Paul)
8:53.0,,,61-89,,Technical foul by D. Cousins
8:53.0,R. Gay makes technical free throw,1,62-89,,
8:41.0,D. Murray makes 2-pt shot from 1 ft,2,64-89,,
8:32.0,,,64-89,,D. Cousins misses 3-pt shot from 27 ft
8:28.0,Defensive rebound by J. Lauvergne,,64-89,,
8:18.0,Turnover by D. Murray (bad pass; steal by J. Nelson),,64-89,,
8:10.0,,,64-89,,Shooting foul by R. Gay (drawn by D. Cousins)
8:10.0,,,64-89,,D. Cousins misses free throw 1 of 2
8:10.0,,,64-89,,Offensive rebound by Team
8:10.0,,,64-90,1,D. Cousins makes free throw 2 of 2
7:53.0,R. Gay makes 2-pt shot from 15 ft (assist by D. Murray),2,66-90,,
7:40.0,,,66-92,2,D. Cousins makes 2-pt shot from 1 ft
7:40.0,,,66-92,,Shooting foul by J. Lauvergne (drawn by D. Cousins)
7:40.0,,,66-93,1,D. Cousins makes free throw 1 of 1
7:26.0,R. Gay makes 2-pt shot from 9 ft,2,68-93,,
7:12.0,,,68-93,,T. Allen misses 2-pt shot at rim
7:07.0,Defensive rebound by R. Gay,,68-93,,
7:03.0,D. Murray makes 2-pt shot from 9 ft,2,70-93,,
6:57.0,,,70-93,,New Orleans full timeout
6:57.0,,,70-93,,A. Davis enters the game for T. Allen
6:57.0,,,70-93,,J. Holiday enters the game for D. Cousins
6:44.0,,,70-93,,Shooting foul by J. Lauvergne (drawn by A. Davis)
6:44.0,,,70-94,1,A. Davis makes free throw 1 of 2
6:44.0,,,70-95,1,A. Davis makes free throw 2 of 2
6:35.0,B. Forbes misses 3-pt shot from 25 ft,,70-95,,
6:30.0,,,70-95,,Defensive rebound by A. Davis
6:22.0,Personal foul by B. Forbes (drawn by J. Holiday),,70-95,,
6:13.0,Personal foul by B. Forbes (drawn by J. Holiday),,70-95,,
6:13.0,,,70-96,1,J. Holiday makes free throw 1 of 2
6:13.0,,,70-97,1,J. Holiday makes free throw 2 of 2
6:02.0,B. Forbes makes 3-pt shot from 24 ft (assist by B. Paul),3,73-97,,
5:47.0,Personal foul by B. Forbes (drawn by D. Cunningham),,73-97,,
5:47.0,,,73-98,1,D. Cunningham makes free throw 1 of 2
5:47.0,Violation by D. Murray (lane),,73-98,,
5:47.0,,,73-98,,I. Clark enters the game for J. Nelson
5:47.0,D. Bertans enters the game for J. Lauvergne,,73-98,,
5:47.0,,,73-99,1,D. Cunningham makes free throw 2 of 2
5:47.0,Violation by D. Murray (lane),,73-99,,
5:32.0,R. Gay misses 2-pt shot from 22 ft,,73-99,,
5:28.0,,,73-99,,Defensive rebound by A. Davis
5:20.0,,,73-101,2,A. Davis makes 2-pt shot from 5 ft
5:09.0,,,73-101,,Personal take foul by A. Davis (drawn by D. Murray)
5:09.0,,,73-101,,E. Moore enters the game for J. Holiday
5:09.0,,,73-101,,C. Diallo enters the game for A. Davis
5:03.0,B. Paul makes 2-pt shot from 2 ft (assist by R. Gay),2,75-101,,
5:03.0,Shooting foul by D. Miller (drawn by B. Paul),,75-101,,
5:03.0,B. Paul misses free throw 1 of 1,,75-101,,
4:55.0,,,75-101,,Defensive rebound by C. Diallo
4:44.0,,,75-103,2,E. Moore makes 2-pt shot from 16 ft
4:31.0,D. Murray misses 2-pt shot from 19 ft,,75-103,,
4:27.0,,,75-103,,Defensive rebound by I. Clark
