time,San Antonio,pts.away,score,pts.home,Sacramento
7:52.0,,,3-9,3,B. Hield makes 3-pt shot from 25 ft (assist by D. Fox)
7:26.0,P. Gasol misses 2-pt shot from 9 ft,,3-9,,
7:24.0,,,3-9,,Defensive rebound by Z. Randolph
7:20.0,,,3-9,,Turnover by B. Hield (lost ball; steal by K. Anderson)
7:09.0,P. Gasol misses 2-pt shot from 22 ft,,3-9,,
7:07.0,,,3-9,,Defensive rebound by Z. Randolph
7:02.0,,,3-9,,D. Fox misses 3-pt shot from 24 ft
6:58.0,Defensive rebound by L. Aldridge,,3-9,,
6:48.0,L. Aldridge makes 2-pt shot from 21 ft (assist by K. Anderson),2,5-9,,
6:32.0,,,5-11,2,Z. Randolph makes 2-pt shot from 6 ft (assist by D. Fox)
6:32.0,San Antonio full timeout,,5-11,,
6:32.0,B. Paul enters the game for K. Anderson,,5-11,,
6:32.0,D. Murray enters the game for P. Gasol,,5-11,,
6:32.0,D. Bertans enters the game for T. Parker,,5-11,,
6:15.0,L. Aldridge makes 2-pt shot from 13 ft,2,7-11,,
5:52.0,,,7-11,,B. Hield misses 3-pt shot from 25 ft
5:52.0,,,7-11,,Offensive rebound by Team
5:35.0,,,7-13,2,W. Cauley-Stein makes 2-pt shot from 1 ft
5:18.0,L. Aldridge makes 2-pt shot from 14 ft,2,9-13,,
4:59.0,,,9-15,2,W. Cauley-Stein makes 2-pt shot from 9 ft (assist by D. Fox)
4:48.0,L. Aldridge misses 3-pt shot from 24 ft,,9-15,,
4:46.0,,,9-15,,Defensive rebound by W. Cauley-Stein
4:39.0,,,9-15,,S. Labissiere enters the game for M. Richardson
4:39.0,,,9-15,,B. Bogdanovic enters the game for Z. Randolph
4:39.0,P. Mills enters the game for B. Forbes,,9-15,,
4:35.0,,,9-15,,W. Cauley-Stein misses 2-pt shot from 21 ft
4:32.0,Defensive rebound by D. Murray,,9-15,,
4:19.0,D. Bertans makes 2-pt shot from 21 ft (assist by B. Paul),2,11-15,,
4:01.0,,,11-17,2,W. Cauley-Stein makes 2-pt shot from 2 ft
3:35.0,L. Aldridge misses 3-pt shot from 23 ft,,11-17,,
3:32.0,,,11-17,,Defensive rebound by S. Labissiere
3:25.0,,,11-17,,Shooting foul by L. Aldridge (drawn by W. Cauley-Stein)
3:25.0,,,11-18,1,W. Cauley-Stein makes free throw 1 of 2
3:25.0,P. Gasol enters the game for L. Aldridge,,11-18,,
3:25.0,,,11-19,1,W. Cauley-Stein makes free throw 2 of 2
3:15.0,,,11-19,,K. Koufos enters the game for W. Cauley-Stein
3:11.0,D. Murray makes 2-pt shot from 1 ft (assist by P. Mills),2,13-19,,
2:46.0,,,13-19,,K. Koufos misses 2-pt shot from 7 ft
2:46.0,Defensive rebound by Team,,13-19,,
2:46.0,,,13-19,,Sacramento full timeout
2:46.0,,,13-19,,G. Temple enters the game for D. Fox
2:45.0,Turnover by D. Murray (out of bounds lost ball),,13-19,,
2:26.0,,,13-19,,B. Hield misses 3-pt shot from 24 ft
2:20.0,,,13-19,,Offensive rebound by S. Labissiere
2:19.0,,,13-19,,Turnover by S. Labissiere (bad pass; steal by P. Gasol)
2:17.0,,,13-19,,Violation by K. Koufos (kicked ball)
2:17.0,,,13-19,,V. Carter enters the game for B. Hield
2:10.0,D. Murray makes 2-pt shot from 2 ft,2,15-19,,
1:52.0,,,15-21,2,G. Temple makes 2-pt shot from 20 ft (assist by S. Labissiere)
1:37.0,B. Paul makes 3-pt shot from 22 ft (assist by P. Mills),3,18-21,,
1:27.0,,,18-21,,G. Temple misses 2-pt shot from 2 ft
1:25.0,Defensive rebound by P. Gasol,,18-21,,
1:15.0,D. Bertans makes 3-pt shot from 24 ft (assist by D. Murray),3,21-21,,
0:58.0,,,21-23,2,B. Bogdanovic makes 2-pt shot from 9 ft
0:42.0,P. Gasol misses 2-pt shot from 11 ft,,21-23,,
0:39.0,,,21-23,,Defensive rebound by G. Temple
0:30.0,,,21-23,,B. Bogdanovic misses 2-pt shot from 3 ft
0:30.0,,,21-23,,Offensive rebound by S. Labissiere
0:30.0,,,21-25,2,S. Labissiere makes 2-pt shot from 2 ft
0:08.0,B. Paul misses 2-pt shot from 1 ft,,21-25,,
0:04.0,,,21-25,,Defensive rebound by G. Temple
0:03.0,Personal foul by P. Mills (drawn by G. Temple),,21-25,,
0:00.0,,,21-25,,V. Carter misses 3-pt shot from 25 ft
0:00.0,,,21-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,21-25,,Shooting foul by P. Gasol (drawn by V. Carter)
11:40.0,,,21-25,,V. Carter misses free throw 1 of 2
11:40.0,,,21-25,,Offensive rebound by Team
11:40.0,,,21-26,1,V. Carter makes free throw 2 of 2
11:17.0,M. Costello misses 2-pt shot from 3 ft,,21-26,,
11:15.0,Offensive rebound by P. Gasol,,21-26,,
11:15.0,P. Gasol misses 2-pt shot from 3 ft (block by K. Koufos),,21-26,,
11:11.0,Offensive rebound by P. Gasol,,21-26,,
11:10.0,P. Gasol makes 2-pt shot from 1 ft,2,23-26,,
11:03.0,,,23-28,2,K. Koufos makes 2-pt shot from 8 ft
10:37.0,T. Parker misses 2-pt shot from 17 ft,,23-28,,
10:33.0,,,23-28,,Defensive rebound by K. Koufos
10:26.0,,,23-28,,Turnover by V. Carter (bad pass)
10:05.0,P. Mills makes 3-pt shot from 25 ft (assist by P. Gasol),3,26-28,,
9:47.0,,,26-28,,K. Koufos misses 2-pt shot from 9 ft
9:46.0,Defensive rebound by Team,,26-28,,
9:46.0,,,26-28,,Loose ball foul by K. Koufos (drawn by M. Costello)
9:46.0,L. Aldridge enters the game for P. Mills,,26-28,,
9:46.0,B. Forbes enters the game for P. Gasol,,26-28,,
9:30.0,Turnover by K. Anderson (bad pass),,26-28,,
9:12.0,,,26-30,2,B. Bogdanovic makes 2-pt shot from 11 ft
9:11.0,San Antonio full timeout,,26-30,,
8:52.0,L. Aldridge makes 2-pt shot from 8 ft,2,28-30,,
8:37.0,,,28-33,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by V. Carter)
8:21.0,L. Aldridge makes 2-pt shot from 10 ft,2,30-33,,
8:09.0,,,30-35,2,G. Temple makes 2-pt shot from 20 ft
7:46.0,B. Forbes makes 2-pt shot from 16 ft (assist by T. Parker),2,32-35,,
7:32.0,,,32-35,,G. Temple misses 2-pt shot from 1 ft
7:32.0,,,32-35,,Offensive rebound by K. Koufos
7:32.0,,,32-35,,Shooting foul by M. Costello (drawn by K. Koufos)
7:32.0,,,32-36,1,K. Koufos makes free throw 1 of 2
7:32.0,D. Bertans enters the game for M. Costello,,32-36,,
7:32.0,,,32-37,1,K. Koufos makes free throw 2 of 2
7:11.0,L. Aldridge misses 2-pt shot from 13 ft,,32-37,,
7:07.0,,,32-37,,Defensive rebound by V. Carter
6:55.0,,,32-37,,Shooting foul by L. Aldridge (drawn by B. Bogdanovic)
6:55.0,,,32-38,1,B. Bogdanovic makes free throw 1 of 2
6:55.0,,,32-39,1,B. Bogdanovic makes free throw 2 of 2
6:43.0,Turnover by T. Parker (bad pass; steal by V. Carter),,32-39,,
6:31.0,,,32-39,,S. Labissiere misses 2-pt shot from 9 ft
6:27.0,Defensive rebound by L. Aldridge,,32-39,,
6:18.0,B. Forbes misses 3-pt shot from 25 ft,,32-39,,
6:15.0,,,32-39,,Defensive rebound by B. Bogdanovic
5:56.0,,,32-39,,G. Temple misses 3-pt shot from 25 ft
5:53.0,Defensive rebound by L. Aldridge,,32-39,,
5:45.0,,,32-39,,Personal foul by K. Koufos (drawn by L. Aldridge)
5:45.0,,,32-39,,W. Cauley-Stein enters the game for S. Labissiere
5:45.0,,,32-39,,Z. Randolph enters the game for K. Koufos
5:45.0,B. Paul enters the game for K. Anderson,,32-39,,
5:45.0,P. Mills enters the game for B. Forbes,,32-39,,
5:33.0,L. Aldridge misses 2-pt shot from 14 ft,,32-39,,
5:31.0,,,32-39,,Defensive rebound by B. Bogdanovic
5:21.0,,,32-39,,V. Carter misses 2-pt shot from 3 ft
5:18.0,Defensive rebound by L. Aldridge,,32-39,,
5:13.0,D. Bertans misses 3-pt shot from 24 ft,,32-39,,
5:10.0,,,32-39,,Defensive rebound by W. Cauley-Stein
5:07.0,,,32-39,,Sacramento full timeout
5:07.0,D. Murray enters the game for T. Parker,,32-39,,
5:07.0,,,32-39,,D. Fox enters the game for G. Temple
4:58.0,,,32-39,,B. Bogdanovic misses 2-pt shot from 20 ft
4:55.0,Defensive rebound by B. Paul,,32-39,,
4:44.0,D. Bertans makes 2-pt shot from 1 ft (assist by D. Murray),2,34-39,,
4:35.0,,,34-39,,Shooting foul by B. Paul (drawn by W. Cauley-Stein)
4:35.0,,,34-40,1,W. Cauley-Stein makes free throw 1 of 2
4:35.0,,,34-41,1,W. Cauley-Stein makes free throw 2 of 2
4:22.0,P. Mills misses 2-pt shot from 2 ft,,34-41,,
4:20.0,Offensive rebound by L. Aldridge,,34-41,,
4:19.0,L. Aldridge misses 2-pt shot from 2 ft,,34-41,,
4:19.0,,,34-41,,Defensive rebound by Z. Randolph
4:04.0,,,34-41,,V. Carter misses 3-pt shot from 27 ft
3:59.0,Defensive rebound by D. Murray,,34-41,,
3:56.0,D. Murray misses 2-pt shot from 2 ft,,34-41,,
3:54.0,,,34-41,,Defensive rebound by W. Cauley-Stein
3:42.0,,,34-41,,Turnover by Z. Randolph (bad pass; steal by D. Murray)
3:42.0,Turnover by D. Murray (bad pass),,34-41,,
3:42.0,,,34-41,,B. Hield enters the game for V. Carter
3:32.0,,,34-41,,Z. Randolph misses 2-pt shot from 20 ft
3:30.0,Defensive rebound by D. Murray,,34-41,,
3:20.0,P. Mills makes 2-pt shot from 1 ft (assist by D. Murray),2,36-41,,
3:08.0,,,36-41,,D. Fox misses 2-pt shot from 6 ft (block by D. Murray)
3:03.0,,,36-41,,Offensive rebound by D. Fox
3:00.0,,,36-44,3,Z. Randolph makes 3-pt shot from 25 ft (assist by D. Fox)
2:54.0,Turnover by B. Paul (out of bounds lost ball),,36-44,,
2:42.0,,,36-46,2,D. Fox makes 2-pt shot from 2 ft
2:37.0,Turnover by L. Aldridge (bad pass; steal by B. Hield),,36-46,,
2:34.0,,,36-49,3,B. Hield makes 3-pt shot from 25 ft
2:22.0,D. Murray makes 2-pt shot from 2 ft,2,38-49,,
2:06.0,,,38-52,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by D. Fox)
1:41.0,P. Mills misses 3-pt shot from 22 ft,,38-52,,
1:39.0,Offensive rebound by D. Murray,,38-52,,
1:31.0,P. Mills makes 2-pt shot from 1 ft (assist by D. Murray),2,40-52,,
1:13.0,,,40-52,,Z. Randolph misses 2-pt shot from 9 ft (block by L. Aldridge)
1:09.0,,,40-52,,Offensive rebound by Z. Randolph
1:09.0,,,40-52,,Z. Randolph misses 2-pt shot from 11 ft
1:07.0,Defensive rebound by L. Aldridge,,40-52,,
1:01.0,D. Bertans makes 2-pt shot from 1 ft (assist by D. Murray),2,42-52,,
0:51.0,,,42-54,2,Z. Randolph makes 2-pt shot from 5 ft (assist by D. Fox)
0:43.0,Shooting foul by B. Bogdanovic (drawn by D. Murray),,42-54,,
0:43.0,D. Murray makes free throw 1 of 2,1,43-54,,
0:43.0,,,43-54,,G. Temple enters the game for B. Bogdanovic
0:43.0,P. Gasol enters the game for B. Paul,,43-54,,
0:43.0,B. Forbes enters the game for L. Aldridge,,43-54,,
0:43.0,D. Murray misses free throw 2 of 2,,43-54,,
0:42.0,,,43-54,,Defensive rebound by G. Temple
0:30.0,,,43-54,,D. Fox misses 3-pt shot from 24 ft
0:27.0,,,43-54,,Offensive rebound by W. Cauley-Stein
0:27.0,,,43-56,2,W. Cauley-Stein makes 2-pt shot from 3 ft
0:06.0,D. Bertans makes 3-pt shot from 26 ft (assist by P. Mills),3,46-56,,
0:01.0,,,46-56,,Turnover by G. Temple (turnover)
0:01.0,San Antonio full timeout,,46-56,,
0:01.0,,,46-56,,B. Bogdanovic enters the game for Z. Randolph
0:01.0,K. Anderson enters the game for D. Murray,,46-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,46-56,,Turnover by B. Hield (bad pass; steal by T. Parker)
11:38.0,L. Aldridge misses 2-pt shot from 20 ft,,46-56,,
11:36.0,Offensive rebound by Team,,46-56,,
11:28.0,Turnover by K. Anderson (lost ball; steal by M. Richardson),,46-56,,
11:24.0,,,46-56,,Shooting foul by K. Anderson (drawn by M. Richardson)
11:24.0,,,46-56,,M. Richardson misses free throw 1 of 2
11:24.0,,,46-56,,Offensive rebound by Team
11:24.0,,,46-57,1,M. Richardson makes free throw 2 of 2
11:07.0,B. Forbes misses 2-pt shot from 14 ft,,46-57,,
11:03.0,,,46-57,,Defensive rebound by D. Fox
11:00.0,,,46-59,2,D. Fox makes 2-pt shot from 1 ft
10:40.0,P. Gasol misses 3-pt shot from 25 ft,,46-59,,
10:37.0,,,46-59,,Defensive rebound by B. Hield
10:26.0,,,46-59,,Offensive charge foul by Z. Randolph (drawn by K. Anderson)
10:26.0,,,46-59,,Turnover by Z. Randolph (offensive foul)
10:08.0,T. Parker misses 3-pt shot from 22 ft,,46-59,,
10:03.0,,,46-59,,Defensive rebound by B. Hield
9:53.0,,,46-59,,Turnover by B. Hield (lost ball; steal by B. Forbes)
9:46.0,L. Aldridge makes 2-pt shot from 2 ft,2,48-59,,
9:41.0,Personal foul by B. Forbes (drawn by D. Fox),,48-59,,
9:33.0,,,48-59,,Z. Randolph misses 2-pt shot from 14 ft
9:28.0,Defensive rebound by L. Aldridge,,48-59,,
9:20.0,B. Forbes makes 2-pt shot from 15 ft,2,50-59,,
9:06.0,,,50-61,2,D. Fox makes 2-pt shot from 16 ft
8:51.0,B. Forbes misses 2-pt shot from 9 ft,,50-61,,
8:51.0,Offensive rebound by L. Aldridge,,50-61,,
8:51.0,L. Aldridge makes 2-pt shot at rim,2,52-61,,
8:51.0,Shooting foul by Z. Randolph (drawn by L. Aldridge),,52-61,,
8:51.0,L. Aldridge makes free throw 1 of 1,1,53-61,,
8:41.0,,,53-63,2,W. Cauley-Stein makes 2-pt shot from 16 ft (assist by D. Fox)
8:18.0,B. Forbes misses 2-pt shot from 13 ft,,53-63,,
8:14.0,,,53-63,,Defensive rebound by W. Cauley-Stein
8:00.0,,,53-63,,Turnover by W. Cauley-Stein (lost ball; steal by K. Anderson)
7:56.0,T. Parker misses 2-pt shot from 2 ft,,53-63,,
7:51.0,Offensive rebound by L. Aldridge,,53-63,,
7:51.0,L. Aldridge makes 2-pt shot at rim,2,55-63,,
7:41.0,,,55-63,,Z. Randolph misses 2-pt shot from 7 ft
7:41.0,Defensive rebound by L. Aldridge,,55-63,,
7:34.0,San Antonio full timeout,,55-63,,
7:34.0,,,55-63,,B. Bogdanovic enters the game for B. Hield
7:34.0,,,55-63,,G. Temple enters the game for M. Richardson
7:34.0,D. Bertans enters the game for P. Gasol,,55-63,,
7:22.0,L. Aldridge makes 2-pt shot from 15 ft,2,57-63,,
7:01.0,,,57-63,,Turnover by W. Cauley-Stein (lost ball; steal by K. Anderson)
6:52.0,D. Bertans misses 2-pt shot from 16 ft,,57-63,,
6:48.0,,,57-63,,Defensive rebound by Z. Randolph
6:42.0,,,57-63,,Z. Randolph misses 3-pt shot from 25 ft
6:39.0,Defensive rebound by B. Forbes,,57-63,,
6:27.0,L. Aldridge makes 2-pt shot from 16 ft,2,59-63,,
6:19.0,,,59-63,,D. Fox misses 2-pt shot from 1 ft
6:16.0,Defensive rebound by K. Anderson,,59-63,,
6:10.0,B. Forbes misses 3-pt shot from 25 ft,,59-63,,
6:07.0,,,59-63,,Defensive rebound by B. Bogdanovic
5:56.0,,,59-66,3,G. Temple makes 3-pt shot from 22 ft (assist by B. Bogdanovic)
5:36.0,T. Parker makes 2-pt shot from 1 ft,2,61-66,,
5:19.0,,,61-66,,B. Bogdanovic misses 2-pt shot from 16 ft
5:19.0,,,61-66,,Offensive rebound by Team
5:19.0,Loose ball foul by K. Anderson (drawn by Z. Randolph),,61-66,,
5:19.0,P. Gasol enters the game for T. Parker,,61-66,,
5:19.0,P. Mills enters the game for B. Forbes,,61-66,,
5:19.0,D. Murray enters the game for L. Aldridge,,61-66,,
5:19.0,D. White enters the game for K. Anderson,,61-66,,
5:06.0,,,61-66,,W. Cauley-Stein misses 2-pt shot from 5 ft (block by D. Bertans)
5:01.0,Defensive rebound by P. Gasol,,61-66,,
4:59.0,D. Bertans makes 2-pt shot from 2 ft (assist by D. White),2,63-66,,
4:46.0,,,63-66,,Z. Randolph misses 2-pt shot from 19 ft
4:43.0,Defensive rebound by D. White,,63-66,,
4:31.0,P. Mills misses 3-pt shot from 24 ft,,63-66,,
4:28.0,,,63-66,,Defensive rebound by Z. Randolph
4:21.0,,,63-69,3,D. Fox makes 3-pt shot from 25 ft
4:04.0,Turnover by P. Mills (bad pass; steal by Z. Randolph),,63-69,,
4:00.0,,,63-69,,G. Temple misses 2-pt shot from 1 ft
3:58.0,Defensive rebound by P. Gasol,,63-69,,
3:55.0,,,63-69,,S. Labissiere enters the game for Z. Randolph
3:46.0,Turnover by D. Murray (bad pass; steal by S. Labissiere),,63-69,,
3:46.0,Personal foul by P. Mills (drawn by S. Labissiere),,63-69,,
3:40.0,,,63-69,,Shooting foul by P. Gasol (drawn by W. Cauley-Stein)
3:40.0,,,63-70,1,W. Cauley-Stein makes free throw 1 of 2
3:40.0,,,63-70,,W. Cauley-Stein misses free throw 2 of 2
3:31.0,Defensive rebound by D. Murray,,63-70,,
3:28.0,D. Bertans makes 2-pt shot from 7 ft (assist by P. Mills),2,65-70,,
3:28.0,Shooting foul by S. Labissiere (drawn by D. Bertans),,65-70,,
3:28.0,D. Bertans misses free throw 1 of 1,,65-70,,
3:25.0,,,65-70,,Defensive rebound by S. Labissiere
3:12.0,,,65-70,,Turnover by D. Fox (bad pass; steal by D. Murray)
3:08.0,P. Mills makes 2-pt shot from 1 ft (assist by D. Bertans),2,67-70,,
3:01.0,,,67-70,,Sacramento full timeout
2:55.0,,,67-70,,Offensive foul by W. Cauley-Stein (drawn by D. Bertans)
2:55.0,,,67-70,,Turnover by W. Cauley-Stein (offensive foul)
2:44.0,D. Bertans makes 3-pt shot from 26 ft (assist by D. Murray),3,70-70,,
2:16.0,,,70-72,2,G. Temple makes 2-pt shot from 21 ft (assist by D. Fox)
2:00.0,P. Mills makes 3-pt shot from 24 ft (assist by D. Bertans),3,73-72,,
1:46.0,,,73-72,,W. Cauley-Stein misses 2-pt shot from 16 ft
1:43.0,Defensive rebound by D. Murray,,73-72,,
1:31.0,D. Bertans misses 3-pt shot from 27 ft,,73-72,,
1:28.0,,,73-72,,Defensive rebound by Team
1:28.0,,,73-72,,B. Hield enters the game for W. Cauley-Stein
1:28.0,,,73-72,,K. Koufos enters the game for D. Fox
1:13.0,,,73-74,2,G. Temple makes 2-pt shot from 21 ft
0:54.0,P. Mills misses 2-pt shot from 20 ft,,73-74,,
0:51.0,,,73-74,,Defensive rebound by B. Bogdanovic
0:43.0,,,73-76,2,K. Koufos makes 2-pt shot from 7 ft (assist by B. Bogdanovic)
0:29.0,D. Murray misses 2-pt shot from 8 ft,,73-76,,
0:26.0,Offensive rebound by Team,,73-76,,
0:05.0,D. Murray misses 2-pt shot from 3 ft,,73-76,,
0:01.0,Offensive rebound by P. Gasol,,73-76,,
0:01.0,P. Gasol misses 2-pt shot at rim,,73-76,,
0:01.0,,,73-76,,Defensive rebound by G. Temple
0:00.0,,,73-76,,B. Hield misses 3-pt shot from 26 ft
0:00.0,,,73-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,L. Aldridge misses 2-pt shot from 7 ft,,73-76,,
11:35.0,,,73-76,,Defensive rebound by S. Labissiere
11:12.0,,,73-79,3,G. Temple makes 3-pt shot from 24 ft
11:01.0,P. Mills misses 3-pt shot from 25 ft,,73-79,,
10:57.0,,,73-79,,Defensive rebound by S. Labissiere
10:52.0,,,73-79,,Offensive foul by K. Koufos (drawn by D. Murray)
10:52.0,,,73-79,,Turnover by K. Koufos (offensive foul)
10:52.0,B. Forbes enters the game for D. White,,73-79,,
10:52.0,T. Parker enters the game for D. Murray,,73-79,,
10:37.0,L. Aldridge makes 2-pt shot from 9 ft,2,75-79,,
10:22.0,,,75-81,2,S. Labissiere makes 2-pt shot from 7 ft (assist by B. Bogdanovic)
10:11.0,B. Forbes makes 3-pt shot from 26 ft (assist by P. Gasol),3,78-81,,
9:52.0,,,78-83,2,B. Bogdanovic makes 2-pt shot from 3 ft (assist by S. Labissiere)
9:41.0,K. Anderson enters the game for P. Mills,,78-83,,
9:35.0,Shooting foul by K. Koufos (drawn by L. Aldridge),,78-83,,
9:35.0,L. Aldridge makes free throw 1 of 2,1,79-83,,
9:35.0,D. Bertans enters the game for P. Gasol,,79-83,,
9:35.0,L. Aldridge makes free throw 2 of 2,1,80-83,,
9:18.0,,,80-83,,B. Hield misses 3-pt shot from 22 ft
9:13.0,Defensive rebound by K. Anderson,,80-83,,
9:09.0,D. Bertans misses 3-pt shot from 23 ft,,80-83,,
9:05.0,,,80-83,,Defensive rebound by B. Bogdanovic
8:59.0,,,80-83,,Turnover by G. Temple (bad pass; steal by K. Anderson)
8:46.0,B. Forbes misses 2-pt shot from 16 ft,,80-83,,
8:42.0,,,80-83,,Defensive rebound by B. Hield
8:25.0,,,80-85,2,B. Bogdanovic makes 2-pt shot from 10 ft
8:24.0,San Antonio full timeout,,80-85,,
8:06.0,T. Parker makes 2-pt shot from 1 ft (assist by L. Aldridge),2,82-85,,
7:46.0,,,82-85,,B. Hield misses 3-pt shot from 23 ft
7:43.0,Defensive rebound by K. Anderson,,82-85,,
7:36.0,T. Parker misses 2-pt shot from 1 ft,,82-85,,
7:33.0,,,82-85,,Defensive rebound by S. Labissiere
7:17.0,,,82-87,2,S. Labissiere makes 2-pt shot from 6 ft (assist by B. Bogdanovic)
7:06.0,Turnover by T. Parker (bad pass; steal by K. Koufos),,82-87,,
7:01.0,,,82-89,2,G. Temple makes 2-pt shot at rim
6:53.0,San Antonio full timeout,,82-89,,
6:53.0,P. Mills enters the game for T. Parker,,82-89,,
6:41.0,B. Forbes makes 2-pt shot from 6 ft,2,84-89,,
6:19.0,,,84-89,,B. Bogdanovic misses 2-pt shot from 5 ft (block by D. Bertans)
6:19.0,,,84-89,,Offensive rebound by S. Labissiere
5:59.0,,,84-91,2,B. Hield makes 2-pt shot from 17 ft
5:43.0,D. Bertans makes 3-pt shot from 26 ft (assist by P. Mills),3,87-91,,
5:16.0,,,87-91,,B. Hield misses 2-pt shot from 18 ft
5:16.0,,,87-91,,Offensive rebound by Team
5:16.0,,,87-91,,D. Fox enters the game for B. Bogdanovic
5:16.0,,,87-91,,Sacramento full timeout
5:16.0,,,87-91,,W. Cauley-Stein enters the game for S. Labissiere
5:01.0,,,87-91,,B. Hield misses 2-pt shot from 14 ft
4:57.0,Defensive rebound by K. Anderson,,87-91,,
4:51.0,B. Forbes makes 3-pt shot from 23 ft (assist by D. Bertans),3,90-91,,
4:38.0,,,90-93,2,K. Koufos makes 2-pt shot from 11 ft (assist by D. Fox)
4:23.0,,,90-93,,Personal foul by K. Koufos (drawn by P. Mills)
4:18.0,P. Mills misses 2-pt shot from 22 ft,,90-93,,
4:14.0,,,90-93,,Defensive rebound by G. Temple
4:09.0,,,90-95,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by B. Hield)
3:48.0,Shooting foul by W. Cauley-Stein (drawn by K. Anderson),,90-95,,
3:48.0,K. Anderson misses free throw 1 of 2,,90-95,,
3:48.0,Offensive rebound by Team,,90-95,,
3:48.0,K. Anderson makes free throw 2 of 2,1,91-95,,
3:48.0,,,91-95,,Z. Randolph enters the game for K. Koufos
3:31.0,,,91-95,,G. Temple misses 2-pt shot from 3 ft
3:28.0,Defensive rebound by K. Anderson,,91-95,,
3:22.0,D. Bertans makes 3-pt shot from 25 ft (assist by B. Forbes),3,94-95,,
3:06.0,,,94-95,,Sacramento full timeout
3:06.0,,,94-95,,B. Bogdanovic enters the game for B. Hield
3:00.0,,,94-95,,Turnover by B. Bogdanovic (lost ball; steal by K. Anderson)
2:42.0,D. Bertans makes 3-pt shot from 25 ft (assist by K. Anderson),3,97-95,,
2:27.0,,,97-95,,Shooting foul by D. Bertans (drawn by W. Cauley-Stein)
2:27.0,,,97-96,1,W. Cauley-Stein makes free throw 1 of 2
2:27.0,,,97-96,,W. Cauley-Stein misses free throw 2 of 2
2:24.0,Defensive rebound by K. Anderson,,97-96,,
2:12.0,P. Mills misses 3-pt shot from 25 ft,,97-96,,
2:04.0,Offensive rebound by L. Aldridge,,97-96,,
2:04.0,L. Aldridge makes 2-pt shot at rim,2,99-96,,
2:01.0,,,99-96,,Turnover by D. Fox (out of bounds lost ball)
1:48.0,L. Aldridge makes 2-pt shot from 7 ft,2,101-96,,
1:48.0,Shooting foul by Z. Randolph (drawn by L. Aldridge),,101-96,,
1:48.0,L. Aldridge makes free throw 1 of 1,1,102-96,,
1:34.0,,,102-98,2,Z. Randolph makes 2-pt shot from 2 ft (assist by D. Fox)
1:34.0,Violation by D. Bertans (def goaltending),,102-98,,
1:22.0,,,102-98,,Personal foul by B. Bogdanovic (drawn by L. Aldridge)
