time,Portland,pts.away,score,pts.home,Sacramento
11:44.0,Defensive rebound by E. Turner,,33-31,,
11:28.0,Turnover by C. McCollum (bad pass),,33-31,,
11:15.0,,,33-31,,Turnover by B. Hield (bad pass; steal by S. Napier)
11:07.0,E. Turner misses 2-pt shot from 10 ft,,33-31,,
11:01.0,,,33-31,,Defensive rebound by B. Bogdanovic
10:47.0,,,33-33,2,K. Koufos makes 2-pt shot from 10 ft (assist by B. Bogdanovic)
10:25.0,C. McCollum misses 2-pt shot from 10 ft,,33-33,,
10:23.0,,,33-33,,Defensive rebound by V. Carter
10:20.0,,,33-33,,G. Temple misses 2-pt shot from 19 ft
10:20.0,Defensive rebound by E. Turner,,33-33,,
10:11.0,Shooting foul by V. Carter (drawn by E. Turner),,33-33,,
10:11.0,E. Turner misses free throw 1 of 2,,33-33,,
10:11.0,Offensive rebound by Team,,33-33,,
10:11.0,,,33-33,,Z. Randolph enters the game for B. Bogdanovic
10:11.0,E. Turner makes free throw 2 of 2,1,34-33,,
9:57.0,,,34-33,,B. Hield misses 2-pt shot from 18 ft
9:53.0,Defensive rebound by E. Davis,,34-33,,
9:46.0,E. Davis misses 2-pt shot from 2 ft,,34-33,,
9:42.0,,,34-33,,Defensive rebound by Z. Randolph
9:35.0,,,34-33,,K. Koufos misses 2-pt shot from 3 ft (block by E. Turner)
9:34.0,,,34-33,,Offensive rebound by Team
9:26.0,,,34-35,2,K. Koufos makes 2-pt shot from 9 ft (assist by G. Temple)
9:09.0,C. McCollum misses 3-pt shot from 24 ft,,34-35,,
9:07.0,,,34-35,,Defensive rebound by K. Koufos
8:59.0,Personal foul by Z. Collins (drawn by K. Koufos),,34-35,,
8:59.0,,,34-35,,D. Fox enters the game for V. Carter
8:55.0,Violation by C. McCollum (kicked ball),,34-35,,
8:47.0,,,34-35,,G. Temple misses 2-pt shot from 10 ft
8:45.0,Defensive rebound by E. Davis,,34-35,,
8:38.0,C. McCollum makes 2-pt shot from 1 ft (assist by S. Napier),2,36-35,,
8:16.0,,,36-37,2,K. Koufos makes 2-pt shot from 7 ft
8:01.0,S. Napier makes 3-pt shot from 26 ft (assist by C. McCollum),3,39-37,,
7:47.0,,,39-37,,Turnover by D. Fox (lost ball; steal by S. Napier)
7:47.0,,,39-37,,Personal foul by K. Koufos (drawn by E. Turner)
7:34.0,E. Davis makes 2-pt shot at rim (assist by Z. Collins),2,41-37,,
7:11.0,,,41-39,2,K. Koufos makes 2-pt shot from 5 ft (assist by Z. Randolph)
6:45.0,Z. Collins misses 3-pt shot from 24 ft,,41-39,,
6:43.0,,,41-39,,Defensive rebound by Z. Randolph
6:28.0,,,41-39,,Turnover by G. Temple (lost ball; steal by C. McCollum)
6:25.0,,,41-39,,Sacramento full timeout
6:25.0,M. Harkless enters the game for E. Turner,,41-39,,
6:09.0,,,41-39,,Personal foul by B. Hield (drawn by Z. Collins)
6:03.0,C. McCollum misses 3-pt shot from 25 ft,,41-39,,
5:59.0,,,41-39,,Defensive rebound by K. Koufos
5:43.0,,,41-39,,Z. Randolph misses 2-pt shot from 2 ft
5:40.0,Defensive rebound by Z. Collins,,41-39,,
5:30.0,Z. Collins misses 3-pt shot from 25 ft,,41-39,,
5:29.0,Offensive rebound by S. Napier,,41-39,,
5:29.0,Turnover by S. Napier (bad pass),,41-39,,
5:29.0,D. Lillard enters the game for C. McCollum,,41-39,,
5:18.0,,,41-39,,Shooting foul by D. Lillard (drawn by D. Fox)
5:18.0,,,41-40,1,D. Fox makes free throw 1 of 2
5:18.0,J. Nurkic enters the game for E. Davis,,41-40,,
5:18.0,A. Aminu enters the game for Z. Collins,,41-40,,
5:18.0,,,41-41,1,D. Fox makes free throw 2 of 2
4:56.0,S. Napier makes 3-pt shot from 23 ft (assist by D. Lillard),3,44-41,,
4:41.0,,,44-41,,B. Hield misses 3-pt shot from 27 ft
4:39.0,,,44-41,,Offensive rebound by D. Fox
4:37.0,,,44-43,2,D. Fox makes 2-pt shot from 2 ft
4:27.0,D. Lillard makes 3-pt shot from 25 ft,3,47-43,,
4:06.0,,,47-45,2,K. Koufos makes 2-pt shot from 15 ft (assist by D. Fox)
3:52.0,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard),2,49-45,,
3:36.0,,,49-45,,B. Hield misses 3-pt shot from 25 ft
3:32.0,,,49-45,,Offensive rebound by K. Koufos
3:21.0,,,49-45,,G. Temple misses 2-pt shot from 21 ft
3:20.0,,,49-45,,Offensive rebound by Team
3:20.0,,,49-45,,W. Cauley-Stein enters the game for K. Koufos
3:09.0,,,49-47,2,Z. Randolph makes 2-pt shot from 2 ft
2:45.0,M. Harkless misses 3-pt shot from 23 ft,,49-47,,
2:41.0,,,49-47,,Defensive rebound by G. Temple
2:32.0,,,49-47,,B. Hield misses 3-pt shot from 25 ft
2:25.0,Defensive rebound by A. Aminu,,49-47,,
2:24.0,Shooting foul by Z. Randolph (drawn by D. Lillard),,49-47,,
2:24.0,Portland full timeout,,49-47,,
2:24.0,,,49-47,,B. Bogdanovic enters the game for B. Hield
2:24.0,C. McCollum enters the game for S. Napier,,49-47,,
2:24.0,D. Lillard makes free throw 1 of 2,1,50-47,,
2:24.0,D. Lillard makes free throw 2 of 2,1,51-47,,
2:24.0,,,51-47,,J. Jackson enters the game for G. Temple
2:12.0,,,51-49,2,W. Cauley-Stein makes 2-pt shot from 19 ft (assist by D. Fox)
1:53.0,D. Lillard makes 3-pt shot from 26 ft,3,54-49,,
1:45.0,,,54-49,,Shooting foul by J. Nurkic (drawn by D. Fox)
1:45.0,,,54-50,1,D. Fox makes free throw 1 of 2
1:45.0,,,54-50,,V. Carter enters the game for Z. Randolph
1:45.0,,,54-50,,D. Fox misses free throw 2 of 2
1:40.0,Defensive rebound by C. McCollum,,54-50,,
1:34.0,D. Lillard makes 2-pt shot from 2 ft,2,56-50,,
1:20.0,,,56-50,,Turnover by V. Carter (bad pass; steal by D. Lillard)
1:20.0,,,56-50,,Personal foul by V. Carter (drawn by D. Lillard)
1:20.0,D. Lillard makes free throw 1 of 2,1,57-50,,
1:20.0,D. Lillard makes free throw 2 of 2,1,58-50,,
1:10.0,,,58-50,,V. Carter misses 2-pt shot from 2 ft
1:08.0,,,58-50,,Offensive rebound by Team
0:55.0,,,58-52,2,J. Jackson makes 2-pt shot from 20 ft (assist by W. Cauley-Stein)
0:34.0,M. Harkless makes 2-pt shot from 1 ft (assist by D. Lillard),2,60-52,,
0:24.0,,,60-52,,B. Bogdanovic misses 2-pt shot from 16 ft
0:21.0,Defensive rebound by A. Aminu,,60-52,,
0:01.0,D. Lillard makes 2-pt shot from 17 ft,2,62-52,,
0:00.0,,,62-52,,D. Fox misses 3-pt shot from 50 ft
0:00.0,,,62-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,62-55,3,Z. Randolph makes 3-pt shot from 25 ft (assist by D. Fox)
11:27.0,D. Lillard makes 3-pt shot from 24 ft (assist by C. McCollum),3,65-55,,
11:14.0,,,65-57,2,J. Jackson makes 2-pt shot from 14 ft (assist by B. Bogdanovic)
10:57.0,D. Lillard misses 3-pt shot from 27 ft,,65-57,,
10:54.0,,,65-57,,Defensive rebound by W. Cauley-Stein
10:43.0,,,65-57,,W. Cauley-Stein misses 2-pt shot from 6 ft
10:40.0,Defensive rebound by J. Nurkic,,65-57,,
10:33.0,D. Lillard makes 2-pt shot from 2 ft,2,67-57,,
10:16.0,,,67-59,2,W. Cauley-Stein makes 2-pt shot from 12 ft (assist by D. Fox)
9:54.0,Turnover by D. Lillard (bad pass; steal by B. Bogdanovic),,67-59,,
9:54.0,Personal foul by C. McCollum (drawn by B. Bogdanovic),,67-59,,
9:41.0,,,67-59,,J. Jackson misses 2-pt shot from 1 ft
9:38.0,Defensive rebound by A. Aminu,,67-59,,
9:32.0,C. McCollum makes 2-pt shot from 10 ft,2,69-59,,
9:21.0,,,69-59,,Offensive foul by W. Cauley-Stein (drawn by D. Lillard)
9:21.0,,,69-59,,Turnover by W. Cauley-Stein (offensive foul)
9:03.0,C. McCollum makes 2-pt shot from 12 ft,2,71-59,,
8:59.0,,,71-59,,Sacramento full timeout
8:48.0,,,71-61,2,Z. Randolph makes 2-pt shot from 3 ft
8:48.0,,,71-61,,Shooting foul by A. Aminu (drawn by Z. Randolph)
8:48.0,,,71-62,1,Z. Randolph makes free throw 1 of 1
8:31.0,D. Lillard misses 2-pt shot from 21 ft,,71-62,,
8:25.0,Offensive rebound by A. Aminu,,71-62,,
8:18.0,D. Lillard misses 2-pt shot from 2 ft,,71-62,,
8:14.0,,,71-62,,Defensive rebound by J. Jackson
8:11.0,,,71-62,,Shooting foul by J. Nurkic (drawn by D. Fox)
8:11.0,,,71-63,1,D. Fox makes free throw 1 of 2
8:11.0,,,71-64,1,D. Fox makes free throw 2 of 2
7:55.0,Turnover by D. Lillard (bad pass),,71-64,,
7:43.0,,,71-64,,Turnover by D. Fox (lost ball; steal by D. Lillard)
7:43.0,,,71-64,,Personal foul by Z. Randolph (drawn by A. Aminu)
7:32.0,D. Lillard makes 2-pt shot from 2 ft,2,73-64,,
7:13.0,Jump ball: D. Fox vs. A. Aminu (D. Lillard gains possession),,,,Jump ball: D. Fox vs. A. Aminu (D. Lillard gains possession)
7:13.0,,,73-64,,Turnover by D. Fox (turnover; steal by A. Aminu)
7:11.0,M. Harkless misses 2-pt shot from 1 ft,,73-64,,
7:09.0,,,73-64,,Defensive rebound by Z. Randolph
7:05.0,,,73-64,,J. Jackson misses 3-pt shot from 23 ft
7:03.0,Defensive rebound by Team,,73-64,,
6:50.0,D. Lillard misses 3-pt shot from 26 ft,,73-64,,
6:47.0,,,73-64,,Defensive rebound by Z. Randolph
6:37.0,,,73-64,,Shooting foul by A. Aminu (drawn by W. Cauley-Stein)
6:37.0,,,73-64,,W. Cauley-Stein misses free throw 1 of 2
6:37.0,,,73-64,,Offensive rebound by Team
6:37.0,E. Davis enters the game for J. Nurkic,,73-64,,
6:37.0,,,73-65,1,W. Cauley-Stein makes free throw 2 of 2
6:22.0,C. McCollum misses 2-pt shot from 1 ft (block by W. Cauley-Stein),,73-65,,
6:21.0,Offensive rebound by M. Harkless,,73-65,,
6:20.0,M. Harkless makes 2-pt shot at rim,2,75-65,,
6:08.0,,,75-67,2,W. Cauley-Stein makes 2-pt shot from 15 ft (assist by D. Fox)
5:54.0,D. Lillard misses 2-pt shot from 10 ft (block by W. Cauley-Stein),,75-67,,
5:54.0,,,75-67,,Defensive rebound by D. Fox
5:49.0,,,75-69,2,D. Fox makes 2-pt shot from 2 ft
5:49.0,,,75-69,,Shooting foul by A. Aminu (drawn by D. Fox)
5:49.0,,,75-69,,G. Temple enters the game for B. Bogdanovic
5:49.0,,,75-70,1,D. Fox makes free throw 1 of 1
5:34.0,,,75-70,,Personal foul by W. Cauley-Stein (drawn by A. Aminu)
5:31.0,,,75-70,,Personal foul by D. Fox (drawn by C. McCollum)
5:31.0,E. Turner enters the game for C. McCollum,,75-70,,
5:31.0,P. Connaughton enters the game for M. Harkless,,75-70,,
5:31.0,C. McCollum enters the game for P. Connaughton,,75-70,,
5:20.0,A. Aminu misses 3-pt shot from 25 ft,,75-70,,
5:19.0,Offensive rebound by Team,,75-70,,
5:19.0,,,75-70,,Loose ball foul by Z. Randolph (drawn by E. Davis)
5:10.0,A. Aminu misses 3-pt shot from 25 ft,,75-70,,
5:06.0,Offensive rebound by E. Davis,,75-70,,
5:05.0,D. Lillard misses 3-pt shot from 25 ft,,75-70,,
5:04.0,Offensive rebound by Team,,75-70,,
5:04.0,Loose ball foul by E. Davis (drawn by Z. Randolph),,75-70,,
5:04.0,Turnover by E. Davis (turnover),,75-70,,
5:04.0,,,75-71,1,Z. Randolph makes free throw 1 of 2
5:04.0,,,75-72,1,Z. Randolph makes free throw 2 of 2
4:46.0,C. McCollum misses 2-pt shot from 8 ft,,75-72,,
4:43.0,,,75-72,,Defensive rebound by D. Fox
4:34.0,,,75-72,,Z. Randolph misses 2-pt shot from 8 ft
4:28.0,,,75-72,,Offensive rebound by W. Cauley-Stein
4:28.0,,,75-72,,W. Cauley-Stein misses 2-pt shot at rim
4:26.0,,,75-72,,Offensive rebound by Z. Randolph
4:25.0,,,75-74,2,Z. Randolph makes 2-pt shot from 2 ft
4:13.0,D. Lillard makes 2-pt shot from 2 ft,2,77-74,,
4:04.0,,,77-74,,Turnover by D. Fox (lost ball; steal by D. Lillard)
3:57.0,C. McCollum makes 2-pt shot from 1 ft (assist by D. Lillard),2,79-74,,
3:34.0,,,79-74,,Z. Randolph misses 2-pt shot from 6 ft
3:31.0,Defensive rebound by E. Davis,,79-74,,
3:21.0,A. Aminu misses 3-pt shot from 25 ft,,79-74,,
3:17.0,,,79-74,,Defensive rebound by J. Jackson
3:07.0,,,79-74,,W. Cauley-Stein misses 2-pt shot from 9 ft
3:04.0,Defensive rebound by A. Aminu,,79-74,,
2:52.0,D. Lillard makes 2-pt shot from 2 ft,2,81-74,,
2:46.0,,,81-74,,Sacramento full timeout
2:46.0,,,81-74,,B. Bogdanovic enters the game for J. Jackson
2:46.0,,,81-74,,V. Carter enters the game for Z. Randolph
2:46.0,Z. Collins enters the game for A. Aminu,,81-74,,
2:46.0,P. Connaughton enters the game for C. McCollum,,81-74,,
2:30.0,,,81-74,,D. Fox misses 3-pt shot from 22 ft
2:27.0,Defensive rebound by E. Davis,,81-74,,
2:23.0,Shooting foul by G. Temple (drawn by D. Lillard),,81-74,,
2:23.0,D. Lillard makes free throw 1 of 3,1,82-74,,
2:23.0,D. Lillard makes free throw 2 of 3,1,83-74,,
2:23.0,D. Lillard makes free throw 3 of 3,1,84-74,,
2:07.0,,,84-74,,G. Temple misses 3-pt shot from 25 ft
2:02.0,Defensive rebound by D. Lillard,,84-74,,
1:59.0,D. Lillard makes 3-pt shot from 25 ft,3,87-74,,
1:30.0,,,87-74,,G. Temple misses 3-pt shot from 24 ft
1:29.0,Defensive rebound by E. Davis,,87-74,,
1:15.0,D. Lillard makes 2-pt shot from 3 ft,2,89-74,,
0:57.0,,,89-74,,D. Fox misses 2-pt shot from 17 ft
0:54.0,Defensive rebound by E. Turner,,89-74,,
0:35.0,D. Lillard makes 3-pt shot from 26 ft,3,92-74,,
0:11.0,,,92-74,,B. Bogdanovic misses 2-pt shot from 10 ft
0:08.0,Defensive rebound by E. Davis,,92-74,,
0:01.0,D. Lillard misses 3-pt shot from 30 ft,,92-74,,
0:01.0,Offensive rebound by Team,,92-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Shooting foul by V. Carter (drawn by Z. Collins),,92-74,,
11:47.0,Z. Collins makes free throw 1 of 2,1,93-74,,
11:47.0,Z. Collins makes free throw 2 of 2,1,94-74,,
11:26.0,,,94-74,,B. Hield misses 2-pt shot from 10 ft
11:23.0,Defensive rebound by E. Davis,,94-74,,
11:12.0,E. Turner misses 2-pt shot from 11 ft,,94-74,,
11:08.0,,,94-74,,Defensive rebound by V. Carter
11:06.0,Personal foul by E. Turner (drawn by G. Temple),,94-74,,
10:59.0,,,94-76,2,V. Carter makes 2-pt shot from 18 ft (assist by K. Koufos)
10:43.0,E. Davis makes 2-pt shot from 1 ft (assist by P. Connaughton),2,96-76,,
10:43.0,Shooting foul by B. Hield (drawn by E. Davis),,96-76,,
10:43.0,E. Davis makes free throw 1 of 1,1,97-76,,
10:31.0,,,97-76,,B. Bogdanovic misses 2-pt shot from 9 ft
10:27.0,Defensive rebound by E. Davis,,97-76,,
10:18.0,E. Turner misses 2-pt shot from 3 ft,,97-76,,
10:18.0,Offensive rebound by Team,,97-76,,
10:18.0,Loose ball foul by E. Davis (drawn by G. Temple),,97-76,,
10:18.0,Turnover by E. Davis (turnover),,97-76,,
10:01.0,,,97-76,,V. Carter misses 3-pt shot from 25 ft
10:01.0,Defensive rebound by S. Napier,,97-76,,
9:51.0,P. Connaughton makes 2-pt shot from 1 ft,2,99-76,,
9:40.0,Personal foul by P. Connaughton (drawn by K. Koufos),,99-76,,
9:30.0,,,99-76,,K. Koufos misses 2-pt shot from 8 ft
9:28.0,Defensive rebound by E. Davis,,99-76,,
9:15.0,P. Connaughton misses 2-pt shot from 20 ft,,99-76,,
9:15.0,,,99-76,,Defensive rebound by B. Hield
9:15.0,Loose ball foul by Z. Collins (drawn by B. Hield),,99-76,,
9:00.0,,,99-76,,B. Bogdanovic misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by E. Davis,,99-76,,
8:39.0,Turnover by S. Napier (bad pass; steal by V. Carter),,99-76,,
8:27.0,,,99-79,3,B. Hield makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
8:02.0,P. Connaughton misses 3-pt shot from 24 ft,,99-79,,
7:58.0,,,99-79,,Defensive rebound by G. Temple
7:50.0,,,99-82,3,B. Hield makes 3-pt shot from 24 ft (assist by V. Carter)
7:49.0,Portland full timeout,,99-82,,
7:49.0,C. McCollum enters the game for E. Turner,,99-82,,
7:49.0,M. Harkless enters the game for P. Connaughton,,99-82,,
7:49.0,J. Nurkic enters the game for E. Davis,,99-82,,
7:31.0,Z. Collins misses 2-pt shot from 11 ft,,99-82,,
7:26.0,,,99-82,,Defensive rebound by B. Hield
7:14.0,,,99-82,,Offensive foul by B. Hield (drawn by S. Napier)
7:14.0,,,99-82,,Turnover by B. Hield (offensive foul)
6:57.0,Turnover by M. Harkless (lost ball; steal by B. Hield),,99-82,,
6:48.0,,,99-85,3,B. Hield makes 3-pt shot from 22 ft (assist by G. Temple)
6:26.0,S. Napier makes 2-pt shot from 22 ft,2,101-85,,
6:17.0,,,101-88,3,G. Temple makes 3-pt shot from 25 ft (assist by B. Hield)
6:04.0,M. Harkless makes 2-pt shot from 1 ft (assist by J. Nurkic),2,103-88,,
6:04.0,Shooting foul by B. Bogdanovic (drawn by M. Harkless),,103-88,,
6:04.0,M. Harkless makes free throw 1 of 1,1,104-88,,
5:52.0,,,104-91,3,B. Hield makes 3-pt shot from 25 ft (assist by K. Koufos)
5:36.0,M. Harkless makes 3-pt shot from 23 ft (assist by S. Napier),3,107-91,,
5:19.0,,,107-91,,V. Carter misses 3-pt shot from 25 ft
5:15.0,,,107-91,,Offensive rebound by G. Temple
5:15.0,,,107-91,,G. Temple misses 2-pt shot from 10 ft
5:12.0,Defensive rebound by M. Harkless,,107-91,,
4:53.0,J. Nurkic misses 2-pt shot from 4 ft,,107-91,,
4:49.0,Offensive rebound by M. Harkless,,107-91,,
4:49.0,M. Harkless misses 2-pt shot at rim,,107-91,,
4:48.0,,,107-91,,Defensive rebound by V. Carter
4:46.0,,,107-94,3,B. Hield makes 3-pt shot from 26 ft
4:25.0,C. McCollum misses 2-pt shot from 19 ft,,107-94,,
4:22.0,,,107-94,,Defensive rebound by G. Temple
4:11.0,,,107-94,,B. Hield misses 2-pt shot from 16 ft
4:07.0,Defensive rebound by J. Nurkic,,107-94,,
3:51.0,S. Napier makes 3-pt shot from 24 ft (assist by J. Nurkic),3,110-94,,
3:44.0,,,110-94,,Sacramento full timeout
3:44.0,,,110-94,,W. Cauley-Stein enters the game for B. Bogdanovic
3:44.0,,,110-94,,D. Fox enters the game for G. Temple
3:44.0,,,110-94,,J. Jackson enters the game for K. Koufos
3:35.0,,,110-94,,V. Carter misses 3-pt shot from 22 ft
3:32.0,Defensive rebound by S. Napier,,110-94,,
3:20.0,Z. Collins misses 3-pt shot from 23 ft,,110-94,,
3:15.0,,,110-94,,Defensive rebound by W. Cauley-Stein
3:11.0,,,110-94,,D. Fox misses 2-pt shot from 2 ft (block by C. McCollum)
3:11.0,,,110-94,,Offensive rebound by D. Fox
3:11.0,,,110-94,,D. Fox misses 2-pt shot from 2 ft
3:07.0,Defensive rebound by Z. Collins,,110-94,,
