time,Boston,pts.away,score,pts.home,Dallas
5:34.0,Personal foul by M. Morris (drawn by H. Barnes),,19-11,,
5:34.0,,,19-11,,D. Powell enters the game for D. Smith
5:34.0,,,19-11,,J. Barea enters the game for M. Kleber
5:34.0,,,19-11,,D. Harris enters the game for Y. Ferrell
5:34.0,M. Smart enters the game for J. Tatum,,19-11,,
5:34.0,A. Baynes enters the game for M. Morris,,19-11,,
5:27.0,,,19-14,3,W. Matthews makes 3-pt shot from 22 ft (assist by J. Barea)
5:08.0,Turnover by J. Brown (lost ball; steal by W. Matthews),,19-14,,
5:01.0,,,19-14,,H. Barnes misses 2-pt shot from 14 ft
4:57.0,Defensive rebound by A. Horford,,19-14,,
4:46.0,J. Brown makes 3-pt shot from 26 ft (assist by M. Smart),3,22-14,,
4:23.0,,,22-16,2,H. Barnes makes 2-pt shot from 5 ft
4:11.0,K. Irving makes 3-pt shot from 25 ft,3,25-16,,
4:09.0,,,25-16,,Dallas full timeout
3:58.0,Personal foul by J. Brown (drawn by D. Harris),,25-16,,
3:50.0,,,25-16,,H. Barnes misses 2-pt shot from 2 ft (block by A. Horford)
3:50.0,Defensive rebound by A. Horford,,25-16,,
3:36.0,J. Brown makes 2-pt shot from 1 ft (assist by M. Smart),2,27-16,,
3:25.0,,,27-16,,D. Powell misses 2-pt shot from 11 ft
3:25.0,Defensive rebound by A. Horford,,27-16,,
3:14.0,K. Irving makes 3-pt shot from 23 ft (assist by M. Smart),3,30-16,,
2:57.0,,,30-18,2,H. Barnes makes 2-pt shot from 16 ft (assist by J. Barea)
2:40.0,Shooting foul by D. Powell (drawn by K. Irving),,30-18,,
2:40.0,K. Irving makes free throw 1 of 2,1,31-18,,
2:40.0,,,31-18,,D. Nowitzki enters the game for W. Matthews
2:40.0,,,31-18,,Y. Ferrell enters the game for H. Barnes
2:40.0,D. Theis enters the game for A. Horford,,31-18,,
2:40.0,S. Ojeleye enters the game for A. Baynes,,31-18,,
2:40.0,K. Irving makes free throw 2 of 2,1,32-18,,
2:29.0,,,32-20,2,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea)
2:13.0,M. Smart misses 3-pt shot from 25 ft,,32-20,,
2:08.0,,,32-20,,Defensive rebound by D. Nowitzki
2:00.0,,,32-20,,J. Barea misses 2-pt shot from 5 ft
1:58.0,Defensive rebound by M. Smart,,32-20,,
1:48.0,M. Smart misses 3-pt shot from 26 ft,,32-20,,
1:44.0,,,32-20,,Defensive rebound by D. Nowitzki
1:28.0,,,32-20,,Turnover by D. Harris (bad pass; steal by M. Smart)
1:23.0,J. Brown makes 2-pt shot from 1 ft (assist by M. Smart),2,34-20,,
0:57.0,,,34-22,2,J. Barea makes 2-pt shot from 2 ft
0:42.0,M. Smart misses 3-pt shot from 26 ft,,34-22,,
0:38.0,,,34-22,,Defensive rebound by D. Nowitzki
0:33.0,,,34-22,,D. Harris misses 3-pt shot from 22 ft
0:30.0,Defensive rebound by S. Ojeleye,,34-22,,
0:27.0,Turnover by J. Brown (lost ball; steal by D. Harris),,34-22,,
0:05.0,,,34-22,,D. Powell misses 2-pt shot from 1 ft
0:05.0,Defensive rebound by D. Theis,,34-22,,
0:05.0,,,34-22,,Personal foul by D. Harris (drawn by D. Theis)
0:05.0,,,34-22,,W. Matthews enters the game for J. Barea
0:05.0,,,34-22,,D. Smith enters the game for D. Nowitzki
0:05.0,T. Rozier enters the game for S. Ojeleye,,34-22,,
0:04.0,Turnover by J. Brown (bad pass; steal by W. Matthews),,34-22,,
0:02.0,,,34-22,,Y. Ferrell misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by D. Theis,,34-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Personal foul by J. Tatum (drawn by D. Harris),,34-22,,
11:48.0,Personal foul by S. Ojeleye (drawn by D. Nowitzki),,34-22,,
11:35.0,,,34-22,,J. Barea misses 3-pt shot from 27 ft
11:31.0,Defensive rebound by T. Rozier,,34-22,,
11:24.0,,,34-22,,Violation by D. Powell (kicked ball)
11:16.0,Shooting foul by D. Harris (drawn by J. Tatum),,34-22,,
11:16.0,J. Tatum misses free throw 1 of 2,,34-22,,
11:16.0,Offensive rebound by Team,,34-22,,
11:16.0,J. Tatum makes free throw 2 of 2,1,35-22,,
11:07.0,Personal foul by S. Ojeleye (drawn by D. Nowitzki),,35-22,,
10:57.0,,,35-22,,D. Harris misses 2-pt shot from 12 ft
10:53.0,Defensive rebound by D. Theis,,35-22,,
10:46.0,M. Smart makes 2-pt shot from 9 ft,2,37-22,,
10:36.0,,,37-22,,J. Barea misses 3-pt shot from 24 ft
10:36.0,Defensive rebound by J. Tatum,,37-22,,
10:27.0,M. Smart misses 3-pt shot from 24 ft,,37-22,,
10:24.0,,,37-22,,Defensive rebound by D. Nowitzki
10:17.0,,,37-22,,Turnover by Y. Ferrell (out of bounds lost ball)
10:17.0,,,37-22,,W. Matthews enters the game for D. Harris
10:12.0,,,37-22,,Personal take foul by Y. Ferrell (drawn by T. Rozier)
10:12.0,,,37-22,,D. Smith enters the game for Y. Ferrell
10:08.0,Offensive foul by M. Smart (drawn by J. Barea),,37-22,,
10:08.0,Turnover by M. Smart (offensive foul),,37-22,,
9:56.0,,,37-22,,D. Nowitzki misses 2-pt shot from 15 ft
9:53.0,Defensive rebound by J. Tatum,,37-22,,
9:44.0,M. Smart misses 2-pt shot from 16 ft,,37-22,,
9:40.0,,,37-22,,Defensive rebound by D. Powell
9:33.0,,,37-25,3,J. Barea makes 3-pt shot from 24 ft
9:14.0,J. Tatum makes 2-pt shot from 18 ft,2,39-25,,
8:51.0,,,39-27,2,D. Nowitzki makes 2-pt shot from 2 ft (assist by J. Barea)
8:41.0,T. Rozier misses 2-pt shot from 15 ft,,39-27,,
8:41.0,,,39-27,,Defensive rebound by W. Matthews
8:23.0,,,39-30,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Nowitzki)
8:21.0,Boston full timeout,,39-30,,
8:21.0,,,39-30,,H. Barnes enters the game for D. Nowitzki
8:21.0,M. Morris enters the game for S. Ojeleye,,39-30,,
8:21.0,A. Baynes enters the game for D. Theis,,39-30,,
8:06.0,M. Smart misses 3-pt shot from 26 ft,,39-30,,
8:03.0,,,39-30,,Defensive rebound by H. Barnes
7:50.0,,,39-30,,S. Mejri enters the game for D. Powell
7:41.0,,,39-30,,D. Smith misses 3-pt shot from 25 ft
7:39.0,Defensive rebound by J. Tatum,,39-30,,
7:20.0,T. Rozier misses 3-pt shot from 25 ft,,39-30,,
7:18.0,,,39-30,,Defensive rebound by Team
7:18.0,,,39-30,,Y. Ferrell enters the game for J. Barea
7:07.0,,,39-30,,Y. Ferrell misses 2-pt shot from 16 ft
7:03.0,Defensive rebound by M. Morris,,39-30,,
6:57.0,M. Morris misses 2-pt shot from 6 ft,,39-30,,
6:57.0,Offensive rebound by A. Baynes,,39-30,,
6:57.0,A. Baynes misses 2-pt shot at rim,,39-30,,
6:57.0,,,39-30,,Defensive rebound by Team
6:57.0,Loose ball foul by A. Baynes (drawn by S. Mejri),,39-30,,
6:57.0,A. Nader enters the game for M. Smart,,39-30,,
6:44.0,,,39-30,,S. Mejri misses 2-pt shot from 18 ft
6:40.0,Defensive rebound by J. Tatum,,39-30,,
6:22.0,J. Tatum misses 2-pt shot from 3 ft,,39-30,,
6:20.0,,,39-30,,Defensive rebound by Team
6:07.0,,,39-30,,W. Matthews misses 3-pt shot from 27 ft
6:03.0,Defensive rebound by M. Morris,,39-30,,
5:51.0,M. Morris misses 2-pt shot from 19 ft,,39-30,,
5:49.0,,,39-30,,Defensive rebound by D. Smith
5:42.0,Shooting block foul by A. Nader (drawn by Y. Ferrell),,39-30,,
5:42.0,,,39-31,1,Y. Ferrell makes free throw 1 of 2
5:42.0,A. Horford enters the game for J. Tatum,,39-31,,
5:42.0,,,39-32,1,Y. Ferrell makes free throw 2 of 2
5:21.0,T. Rozier makes 3-pt shot from 23 ft (assist by M. Morris),3,42-32,,
5:01.0,,,42-34,2,H. Barnes makes 2-pt shot from 17 ft (assist by W. Matthews)
4:40.0,A. Nader misses 3-pt shot from 26 ft,,42-34,,
4:36.0,,,42-34,,Defensive rebound by H. Barnes
4:31.0,,,42-34,,H. Barnes misses 3-pt shot from 24 ft
4:28.0,Defensive rebound by M. Morris,,42-34,,
4:23.0,M. Morris misses 3-pt shot from 25 ft,,42-34,,
4:23.0,,,42-34,,Defensive rebound by Team
4:23.0,Loose ball foul by A. Baynes (drawn by S. Mejri),,42-34,,
4:23.0,,,42-35,1,S. Mejri makes free throw 1 of 2
4:23.0,K. Irving enters the game for T. Rozier,,42-35,,
4:23.0,,,42-35,,S. Mejri misses free throw 2 of 2
4:21.0,Defensive rebound by A. Baynes,,42-35,,
4:02.0,Turnover by A. Nader (out of bounds lost ball),,42-35,,
3:43.0,,,42-35,,D. Smith misses 2-pt shot from 2 ft
3:39.0,,,42-35,,Offensive rebound by S. Mejri
3:39.0,,,42-37,2,S. Mejri makes 2-pt shot at rim
3:26.0,K. Irving makes 2-pt shot from 11 ft (assist by A. Horford),2,44-37,,
3:13.0,,,44-40,3,H. Barnes makes 3-pt shot from 24 ft (assist by D. Smith)
3:11.0,Boston full timeout,,44-40,,
3:11.0,J. Brown enters the game for A. Nader,,44-40,,
3:11.0,M. Smart enters the game for A. Baynes,,44-40,,
3:03.0,,,44-40,,Shooting block foul by W. Matthews (drawn by J. Brown)
3:03.0,J. Brown misses free throw 1 of 2,,44-40,,
3:03.0,Offensive rebound by Team,,44-40,,
3:03.0,J. Brown misses free throw 2 of 2,,44-40,,
3:01.0,,,44-40,,Defensive rebound by S. Mejri
2:51.0,,,44-43,3,W. Matthews makes 3-pt shot from 25 ft (assist by H. Barnes)
2:35.0,,,44-43,,Personal block foul by S. Mejri (drawn by K. Irving)
2:35.0,J. Tatum enters the game for M. Morris,,44-43,,
2:28.0,Turnover by M. Smart (bad pass),,44-43,,
2:23.0,,,44-43,,D. Smith misses 2-pt shot from 19 ft
2:21.0,Defensive rebound by J. Brown,,44-43,,
2:21.0,,,44-43,,Personal foul by S. Mejri (drawn by J. Brown)
2:21.0,J. Brown makes free throw 1 of 2,1,45-43,,
2:21.0,J. Brown misses free throw 2 of 2,,45-43,,
2:19.0,,,45-43,,Defensive rebound by S. Mejri
2:11.0,,,45-43,,Turnover by S. Mejri (step out of bounds)
1:58.0,A. Horford makes 3-pt shot from 25 ft (assist by K. Irving),3,48-43,,
1:41.0,,,48-45,2,Y. Ferrell makes 2-pt shot from 21 ft (assist by W. Matthews)
1:28.0,J. Tatum misses 3-pt shot from 23 ft,,48-45,,
1:24.0,Offensive rebound by K. Irving,,48-45,,
1:19.0,Offensive charge foul by M. Smart (drawn by S. Mejri),,48-45,,
1:19.0,Turnover by M. Smart (offensive foul),,48-45,,
1:19.0,,,48-45,,D. Nowitzki enters the game for S. Mejri
1:00.0,,,48-47,2,D. Smith makes 2-pt shot from 1 ft
0:46.0,K. Irving makes 2-pt shot from 8 ft (assist by A. Horford),2,50-47,,
0:34.0,,,50-47,,D. Smith misses 3-pt shot from 26 ft
0:30.0,Defensive rebound by A. Horford,,50-47,,
0:27.0,K. Irving makes 3-pt shot from 27 ft,3,53-47,,
0:06.0,,,53-49,2,H. Barnes makes 2-pt shot from 6 ft
0:00.0,K. Irving misses 2-pt shot from 12 ft,,53-49,,
0:00.0,Offensive rebound by Team,,53-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,53-49,,H. Barnes misses 2-pt shot from 8 ft
11:40.0,Defensive rebound by J. Brown,,53-49,,
11:27.0,Turnover by A. Horford (bad pass; steal by D. Smith),,53-49,,
11:27.0,Personal take foul by K. Irving (drawn by D. Smith),,53-49,,
11:13.0,,,53-51,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by H. Barnes)
11:10.0,Boston full timeout,,53-51,,
10:50.0,A. Horford misses 2-pt shot from 3 ft,,53-51,,
10:50.0,,,53-51,,Defensive rebound by W. Matthews
10:38.0,,,53-53,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by W. Matthews)
10:20.0,Turnover by K. Irving (bad pass; steal by W. Matthews),,53-53,,
10:16.0,,,53-53,,D. Smith misses 2-pt shot from 1 ft (block by A. Horford)
10:15.0,Defensive rebound by Team,,53-53,,
10:15.0,,,53-53,,Loose ball foul by M. Kleber (drawn by K. Irving)
10:02.0,Turnover by A. Horford (bad pass; steal by W. Matthews),,53-53,,
9:53.0,,,53-53,,Turnover by W. Matthews (bad pass; steal by J. Tatum)
9:53.0,,,53-53,,Personal take foul by D. Nowitzki (drawn by J. Tatum)
9:38.0,K. Irving misses 2-pt shot from 13 ft,,53-53,,
9:33.0,,,53-53,,Defensive rebound by H. Barnes
9:24.0,,,53-55,2,H. Barnes makes 2-pt shot from 2 ft
9:24.0,,,53-55,,Shooting foul by M. Morris (drawn by H. Barnes)
9:24.0,,,53-56,1,H. Barnes makes free throw 1 of 1
9:10.0,J. Brown misses 3-pt shot from 23 ft,,53-56,,
9:07.0,,,53-56,,Defensive rebound by M. Kleber
8:54.0,,,53-58,2,W. Matthews makes 2-pt shot from 12 ft
8:46.0,,,53-58,,Shooting block foul by D. Smith (drawn by K. Irving)
8:46.0,,,53-58,,Technical foul by W. Matthews
8:46.0,K. Irving makes technical free throw,1,54-58,,
8:46.0,K. Irving makes free throw 2 of 2,1,55-58,,
8:46.0,K. Irving makes free throw 1 of 2,1,56-58,,
8:22.0,,,56-60,2,H. Barnes makes 2-pt shot from 18 ft (assist by D. Smith)
8:07.0,M. Morris misses 2-pt shot from 17 ft,,56-60,,
8:05.0,,,56-60,,Defensive rebound by D. Smith
7:59.0,,,56-60,,D. Smith misses 2-pt shot from 1 ft
7:55.0,Defensive rebound by M. Morris,,56-60,,
7:52.0,,,56-60,,Shooting block foul by M. Kleber (drawn by J. Brown)
7:52.0,J. Brown makes free throw 1 of 2,1,57-60,,
7:52.0,J. Brown makes free throw 2 of 2,1,58-60,,
7:32.0,,,58-60,,D. Smith misses 3-pt shot from 25 ft
7:27.0,,,58-60,,Offensive rebound by M. Kleber
7:22.0,Personal foul by J. Brown (drawn by D. Nowitzki),,58-60,,
7:16.0,,,58-63,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Smith)
7:09.0,Turnover by K. Irving (bad pass),,58-63,,
6:53.0,,,58-63,,D. Smith misses 2-pt shot from 4 ft (block by M. Morris)
6:52.0,,,58-63,,Y. Ferrell enters the game for D. Nowitzki
6:52.0,Defensive rebound by M. Morris,,58-63,,
6:49.0,Jump ball: D. Smith vs. M. Morris (A. Horford gains possession),,,,Jump ball: D. Smith vs. M. Morris (A. Horford gains possession)
6:42.0,M. Morris misses 2-pt shot from 1 ft,,58-63,,
6:40.0,,,58-63,,Defensive rebound by H. Barnes
6:32.0,,,58-65,2,H. Barnes makes 2-pt shot from 5 ft
6:20.0,M. Morris makes 3-pt shot from 25 ft (assist by A. Horford),3,61-65,,
5:55.0,,,61-65,,H. Barnes misses 2-pt shot from 13 ft
5:55.0,,,61-65,,Offensive rebound by M. Kleber
5:49.0,,,61-65,,W. Matthews misses 3-pt shot from 27 ft
5:49.0,Defensive rebound by M. Morris,,61-65,,
5:41.0,Turnover by J. Tatum (traveling),,61-65,,
5:41.0,,,61-65,,D. Powell enters the game for D. Smith
5:41.0,A. Baynes enters the game for A. Horford,,61-65,,
5:28.0,,,61-65,,Shooting foul by K. Irving (drawn by H. Barnes)
5:28.0,,,61-66,1,H. Barnes makes free throw 1 of 2
5:28.0,,,61-66,,D. Harris enters the game for W. Matthews
5:28.0,S. Ojeleye enters the game for M. Morris,,61-66,,
5:28.0,,,61-67,1,H. Barnes makes free throw 2 of 2
5:28.0,M. Smart enters the game for J. Brown,,61-67,,
5:09.0,K. Irving makes 2-pt shot from 1 ft (assist by M. Smart),2,63-67,,
4:51.0,,,63-67,,Y. Ferrell misses 3-pt shot from 25 ft
4:48.0,Defensive rebound by S. Ojeleye,,63-67,,
4:41.0,K. Irving misses 2-pt shot from 9 ft,,63-67,,
4:38.0,,,63-67,,Defensive rebound by Team
4:24.0,Personal foul by K. Irving,,63-67,,
4:24.0,,,63-68,1,H. Barnes makes free throw 1 of 2
4:24.0,,,63-69,1,H. Barnes makes free throw 2 of 2
4:24.0,Technical foul by K. Irving,,63-69,,
4:24.0,,,63-70,1,H. Barnes makes technical free throw
4:17.0,,,63-70,,Personal foul by D. Harris (drawn by M. Smart)
4:17.0,M. Smart makes free throw 1 of 2,1,64-70,,
4:17.0,M. Smart makes free throw 2 of 2,1,65-70,,
4:06.0,,,65-70,,Turnover by D. Harris (bad pass)
3:52.0,M. Smart misses 3-pt shot from 25 ft,,65-70,,
3:48.0,,,65-70,,Defensive rebound by M. Kleber
3:34.0,,,65-70,,M. Kleber misses 3-pt shot from 22 ft
3:34.0,Defensive rebound by A. Baynes,,65-70,,
3:18.0,Shooting foul by D. Powell (drawn by M. Smart),,65-70,,
3:18.0,,,65-70,,Dallas full timeout
3:18.0,,,65-70,,D. Nowitzki enters the game for H. Barnes
3:18.0,,,65-70,,J. Barea enters the game for M. Kleber
3:18.0,T. Rozier enters the game for K. Irving,,65-70,,
3:18.0,A. Horford enters the game for A. Baynes,,65-70,,
3:18.0,M. Smart makes free throw 1 of 2,1,66-70,,
3:18.0,M. Smart makes free throw 2 of 2,1,67-70,,
3:00.0,,,67-70,,D. Harris misses 2-pt shot from 2 ft
2:56.0,Defensive rebound by T. Rozier,,67-70,,
2:36.0,A. Horford misses 2-pt shot from 6 ft,,67-70,,
2:34.0,,,67-70,,Defensive rebound by D. Nowitzki
2:28.0,,,67-70,,D. Harris misses 2-pt shot from 2 ft
2:24.0,,,67-70,,Offensive rebound by D. Powell
2:24.0,,,67-72,2,D. Powell makes 2-pt shot at rim
2:08.0,J. Tatum makes 2-pt shot from 1 ft (assist by A. Horford),2,69-72,,
1:43.0,,,69-74,2,D. Nowitzki makes 2-pt shot from 2 ft
1:34.0,T. Rozier misses 3-pt shot from 25 ft,,69-74,,
1:34.0,,,69-74,,Defensive rebound by D. Nowitzki
1:21.0,,,69-74,,Turnover by J. Barea (bad pass; steal by M. Smart)
1:15.0,J. Brown enters the game for J. Tatum,,69-74,,
1:13.0,Offensive foul by T. Rozier (drawn by Y. Ferrell),,69-74,,
1:13.0,Turnover by T. Rozier (offensive foul),,69-74,,
0:51.0,,,69-77,3,J. Barea makes 3-pt shot from 27 ft (assist by D. Harris)
0:32.0,M. Smart misses 3-pt shot from 25 ft,,69-77,,
0:29.0,,,69-77,,Defensive rebound by D. Nowitzki
0:08.0,,,69-77,,D. Harris misses 2-pt shot from 18 ft
0:04.0,Defensive rebound by S. Ojeleye,,69-77,,
0:00.0,J. Brown misses 2-pt shot from 12 ft,,69-77,,
0:00.0,Offensive rebound by Team,,69-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,M. Smart makes 3-pt shot from 25 ft (assist by A. Horford),3,72-77,,
11:24.0,Personal foul by S. Larkin (drawn by J. Barea),,72-77,,
11:17.0,,,72-77,,D. Nowitzki misses 3-pt shot from 25 ft
11:13.0,,,72-77,,Offensive rebound by D. Powell
10:59.0,,,72-79,2,D. Nowitzki makes 2-pt shot from 12 ft
10:46.0,Turnover by T. Rozier (step out of bounds),,72-79,,
10:24.0,,,72-79,,W. Matthews misses 3-pt shot from 29 ft
10:19.0,Defensive rebound by J. Brown,,72-79,,
10:06.0,A. Horford misses 2-pt shot from 18 ft,,72-79,,
10:03.0,,,72-79,,Defensive rebound by W. Matthews
9:55.0,,,72-81,2,J. Barea makes 2-pt shot from 1 ft
9:42.0,S. Larkin misses 3-pt shot from 23 ft,,72-81,,
9:39.0,,,72-81,,Defensive rebound by D. Nowitzki
9:26.0,,,72-81,,J. Barea misses 3-pt shot from 26 ft
9:22.0,,,72-81,,Offensive rebound by D. Powell
9:19.0,,,72-83,2,Y. Ferrell makes 2-pt shot from 2 ft
9:19.0,Boston full timeout,,72-83,,
9:19.0,,,72-83,,H. Barnes enters the game for D. Nowitzki
9:19.0,K. Irving enters the game for T. Rozier,,72-83,,
9:19.0,M. Morris enters the game for S. Larkin,,72-83,,
9:05.0,M. Smart misses 3-pt shot from 23 ft,,72-83,,
9:01.0,,,72-83,,Defensive rebound by J. Barea
8:42.0,,,72-83,,W. Matthews misses 2-pt shot from 14 ft
8:38.0,Defensive rebound by A. Horford,,72-83,,
8:30.0,J. Brown makes 2-pt shot from 2 ft (assist by K. Irving),2,74-83,,
8:19.0,Personal foul by M. Smart (drawn by J. Barea),,74-83,,
8:19.0,A. Baynes enters the game for A. Horford,,74-83,,
8:13.0,,,74-83,,Shooting foul by M. Smart (drawn by J. Barea)
8:13.0,,,74-84,1,J. Barea makes free throw 1 of 3
8:13.0,,,74-85,1,J. Barea makes free throw 2 of 3
8:13.0,,,74-85,,J. Barea misses free throw 3 of 3
8:11.0,Defensive rebound by J. Brown,,74-85,,
8:00.0,K. Irving misses 3-pt shot from 25 ft,,74-85,,
7:56.0,,,74-85,,Defensive rebound by J. Barea
7:47.0,,,74-87,2,D. Powell makes 2-pt shot from 1 ft (assist by Y. Ferrell)
7:38.0,M. Morris misses 3-pt shot from 26 ft,,74-87,,
7:35.0,,,74-87,,Defensive rebound by H. Barnes
7:18.0,,,74-87,,W. Matthews misses 3-pt shot from 25 ft
7:14.0,Defensive rebound by Team,,74-87,,
7:02.0,J. Brown makes 3-pt shot from 24 ft (assist by M. Smart),3,77-87,,
6:45.0,Personal block foul by A. Baynes (drawn by D. Powell),,77-87,,
6:45.0,J. Tatum enters the game for M. Smart,,77-87,,
6:37.0,,,77-87,,Turnover by J. Barea (lost ball; steal by J. Brown)
6:37.0,,,77-87,,Personal foul by W. Matthews (drawn by J. Brown)
6:37.0,,,77-87,,Dallas full timeout
6:37.0,,,77-87,,D. Smith enters the game for J. Barea
6:29.0,Shooting foul by Y. Ferrell (drawn by K. Irving),,77-87,,
6:29.0,K. Irving makes free throw 1 of 2,1,78-87,,
6:29.0,K. Irving makes free throw 2 of 2,1,79-87,,
6:04.0,Jump ball: W. Matthews vs. A. Baynes (J. Brown gains possession),,,,Jump ball: W. Matthews vs. A. Baynes (J. Brown gains possession)
6:04.0,,,79-87,,Turnover by W. Matthews (turnover; steal by A. Baynes)
5:54.0,Turnover by M. Morris (out of bounds lost ball),,79-87,,
5:44.0,,,79-87,,H. Barnes misses 3-pt shot from 26 ft
5:41.0,Defensive rebound by A. Baynes,,79-87,,
5:35.0,Turnover by K. Irving (lost ball; steal by Y. Ferrell),,79-87,,
5:22.0,Personal block foul by A. Baynes (drawn by H. Barnes),,79-87,,
5:22.0,,,79-88,1,H. Barnes makes free throw 1 of 2
5:22.0,M. Smart enters the game for J. Brown,,79-88,,
5:22.0,A. Horford enters the game for A. Baynes,,79-88,,
5:22.0,,,79-89,1,H. Barnes makes free throw 2 of 2
4:59.0,K. Irving misses 2-pt shot from 10 ft (block by D. Smith),,79-89,,
4:58.0,Offensive rebound by M. Morris,,79-89,,
4:58.0,M. Morris makes 2-pt shot at rim,2,81-89,,
4:58.0,Shooting foul by W. Matthews (drawn by M. Morris),,81-89,,
4:58.0,M. Morris makes free throw 1 of 1,1,82-89,,
4:37.0,,,82-89,,H. Barnes misses 2-pt shot from 5 ft
4:35.0,Defensive rebound by K. Irving,,82-89,,
4:32.0,J. Tatum makes 2-pt shot at rim (assist by K. Irving),2,84-89,,
4:31.0,,,84-89,,Dallas full timeout
4:30.0,,,84-89,,D. Nowitzki enters the game for D. Powell
4:12.0,,,84-89,,Turnover by H. Barnes (lost ball; steal by M. Morris)
4:05.0,J. Tatum makes 2-pt shot from 1 ft (assist by M. Smart),2,86-89,,
3:43.0,,,86-91,2,W. Matthews makes 2-pt shot from 1 ft (assist by D. Nowitzki)
3:43.0,,,86-91,,Shooting foul by M. Morris (drawn by W. Matthews)
3:43.0,,,86-91,,J. Barea enters the game for D. Smith
3:43.0,,,86-92,1,W. Matthews makes free throw 1 of 1
3:23.0,M. Smart misses 2-pt shot at rim (block by H. Barnes),,86-92,,
3:21.0,,,86-92,,Defensive rebound by D. Nowitzki
3:15.0,,,86-92,,H. Barnes misses 3-pt shot from 25 ft
3:15.0,Defensive rebound by A. Horford,,86-92,,
