time,Miami,pts.away,score,pts.home,Indiana
3:31.0,,,28-19,,A. Jefferson misses 2-pt shot from 1 ft (block by H. Whiteside)
3:29.0,Defensive rebound by H. Whiteside,,28-19,,
3:24.0,H. Whiteside misses 2-pt shot from 7 ft,,28-19,,
3:20.0,,,28-19,,Defensive rebound by J. Young
3:05.0,,,28-21,2,T. Young makes 2-pt shot at rim
2:56.0,Miami full timeout,,28-21,,
2:56.0,,,28-21,,L. Stephenson enters the game for T. Young
2:56.0,,,28-21,,T. Leaf enters the game for J. Young
2:56.0,K. Olynyk enters the game for D. Jones,,28-21,,
2:56.0,T. Johnson enters the game for G. Dragic,,28-21,,
2:56.0,J. Richardson enters the game for H. Whiteside,,28-21,,
2:47.0,W. Ellington misses 3-pt shot from 27 ft,,28-21,,
2:44.0,,,28-21,,Defensive rebound by L. Stephenson
2:24.0,,,28-21,,Shooting foul by W. Ellington (drawn by C. Joseph)
2:24.0,,,28-22,1,C. Joseph makes free throw 1 of 2
2:24.0,,,28-22,,C. Joseph misses free throw 2 of 2
2:20.0,Defensive rebound by B. Adebayo,,28-22,,
2:08.0,Shooting foul by V. Oladipo (drawn by B. Adebayo),,28-22,,
2:08.0,B. Adebayo makes free throw 1 of 2,1,29-22,,
2:08.0,B. Adebayo makes free throw 2 of 2,1,30-22,,
1:55.0,,,30-22,,A. Jefferson misses 2-pt shot from 13 ft
1:52.0,Defensive rebound by W. Ellington,,30-22,,
1:38.0,T. Johnson makes 3-pt shot from 26 ft (assist by B. Adebayo),3,33-22,,
1:23.0,,,33-22,,T. Leaf misses 3-pt shot from 26 ft
1:21.0,Defensive rebound by T. Johnson,,33-22,,
1:08.0,K. Olynyk makes 2-pt shot from 7 ft,2,35-22,,
0:51.0,,,35-24,2,V. Oladipo makes 2-pt shot at rim
0:40.0,B. Adebayo makes 2-pt shot from 16 ft (assist by J. Richardson),2,37-24,,
0:29.0,,,37-24,,C. Joseph misses 3-pt shot from 26 ft
0:25.0,,,37-24,,Offensive rebound by V. Oladipo
0:25.0,,,37-26,2,V. Oladipo makes 2-pt shot from 1 ft
0:06.0,,,37-26,,Personal foul by V. Oladipo (drawn by J. Richardson)
0:06.0,J. Richardson makes free throw 1 of 2,1,38-26,,
0:06.0,,,38-26,,J. Young enters the game for V. Oladipo
0:06.0,J. Richardson misses free throw 2 of 2,,38-26,,
0:05.0,,,38-26,,Defensive rebound by L. Stephenson
0:00.0,,,38-26,,J. Young misses 2-pt shot from 12 ft
0:00.0,,,38-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,,,38-26,,L. Stephenson misses 2-pt shot from 18 ft
11:49.0,,,38-26,,Offensive rebound by T. Leaf
11:48.0,,,38-28,2,T. Leaf makes 2-pt shot from 3 ft
11:22.0,B. Adebayo misses 2-pt shot from 13 ft,,38-28,,
11:18.0,,,38-28,,Defensive rebound by L. Stephenson
11:08.0,,,38-30,2,D. Sabonis makes 2-pt shot from 14 ft (assist by L. Stephenson)
11:08.0,,,38-30,,Loose ball foul by L. Stephenson (drawn by J. Richardson)
10:54.0,B. Adebayo makes 2-pt shot at rim (assist by T. Johnson),2,40-30,,
10:41.0,,,40-30,,Shooting foul by T. Johnson (drawn by J. Young)
10:41.0,,,40-30,,J. Young misses free throw 1 of 2
10:41.0,,,40-30,,Offensive rebound by Team
10:41.0,,,40-30,,J. Young misses free throw 2 of 2
10:41.0,Defensive rebound by Team,,40-30,,
10:32.0,Offensive foul by K. Olynyk (drawn by C. Joseph),,40-30,,
10:32.0,Turnover by K. Olynyk (offensive foul),,40-30,,
10:22.0,,,40-30,,L. Stephenson misses 3-pt shot from 27 ft
10:20.0,Defensive rebound by T. Johnson,,40-30,,
10:09.0,B. Adebayo makes 2-pt shot from 5 ft,2,42-30,,
9:58.0,,,42-32,2,L. Stephenson makes 2-pt shot from 2 ft
9:38.0,Turnover by K. Olynyk (lost ball; steal by J. Young),,42-32,,
9:34.0,,,42-34,2,J. Young makes 2-pt shot from 1 ft
9:17.0,T. Johnson misses 3-pt shot from 28 ft,,42-34,,
9:13.0,,,42-34,,Defensive rebound by C. Joseph
9:00.0,,,42-34,,C. Joseph misses 2-pt shot from 19 ft
8:57.0,Defensive rebound by W. Ellington,,42-34,,
8:49.0,W. Ellington misses 3-pt shot from 25 ft,,42-34,,
8:48.0,,,42-34,,Defensive rebound by C. Joseph
8:41.0,,,42-36,2,D. Sabonis makes 2-pt shot at rim (assist by L. Stephenson)
8:34.0,Miami full timeout,,42-36,,
8:34.0,,,42-36,,B. Bogdanovic enters the game for J. Young
8:34.0,,,42-36,,T. Young enters the game for T. Leaf
8:34.0,H. Whiteside enters the game for T. Johnson,,42-36,,
8:34.0,G. Dragic enters the game for K. Olynyk,,42-36,,
8:29.0,,,42-36,,Personal foul by C. Joseph (drawn by G. Dragic)
8:22.0,H. Whiteside makes 2-pt shot from 12 ft (assist by G. Dragic),2,44-36,,
8:03.0,,,44-36,,D. Sabonis misses 2-pt shot at rim
8:02.0,Defensive rebound by H. Whiteside,,44-36,,
8:02.0,,,44-36,,Personal foul by L. Stephenson (drawn by H. Whiteside)
7:53.0,Offensive foul by H. Whiteside (drawn by C. Joseph),,44-36,,
7:53.0,Turnover by H. Whiteside (offensive foul),,44-36,,
7:44.0,,,44-36,,D. Sabonis misses 2-pt shot from 1 ft (block by H. Whiteside)
7:40.0,Defensive rebound by W. Ellington,,44-36,,
7:35.0,,,44-36,,Personal foul by B. Bogdanovic (drawn by J. Richardson)
7:35.0,T. Johnson enters the game for J. Richardson,,44-36,,
7:20.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,46-36,,
7:06.0,,,46-36,,D. Sabonis misses 2-pt shot from 5 ft
7:01.0,,,46-36,,Offensive rebound by T. Young
7:01.0,,,46-36,,V. Oladipo enters the game for L. Stephenson
6:54.0,,,46-36,,B. Bogdanovic misses 2-pt shot from 18 ft
6:50.0,Defensive rebound by T. Johnson,,46-36,,
6:38.0,W. Ellington misses 3-pt shot from 22 ft,,46-36,,
6:35.0,Offensive rebound by H. Whiteside,,46-36,,
6:35.0,H. Whiteside makes 2-pt shot from 2 ft,2,48-36,,
6:23.0,,,48-36,,Turnover by C. Joseph (bad pass; steal by T. Johnson)
6:20.0,T. Johnson makes 2-pt shot from 1 ft,2,50-36,,
6:19.0,,,50-36,,Indiana full timeout
6:11.0,,,50-36,,V. Oladipo misses 2-pt shot from 19 ft
6:07.0,Defensive rebound by H. Whiteside,,50-36,,
6:07.0,Offensive charge foul by G. Dragic (drawn by D. Sabonis),,50-36,,
6:07.0,Turnover by G. Dragic (offensive foul),,50-36,,
6:07.0,,,50-36,,D. Collison enters the game for C. Joseph
5:57.0,,,50-36,,B. Bogdanovic misses 3-pt shot from 27 ft
5:53.0,Defensive rebound by H. Whiteside,,50-36,,
5:38.0,Turnover by G. Dragic (lost ball; steal by D. Collison),,50-36,,
5:37.0,,,50-36,,Shooting foul by T. Johnson (drawn by V. Oladipo)
5:37.0,,,50-37,1,V. Oladipo makes free throw 1 of 2
5:37.0,,,50-37,,V. Oladipo misses free throw 2 of 2
5:35.0,Defensive rebound by H. Whiteside,,50-37,,
5:25.0,,,50-37,,Violation by V. Oladipo (kicked ball)
5:24.0,Turnover by T. Johnson (lost ball; steal by V. Oladipo),,50-37,,
5:23.0,,,50-37,,Turnover by V. Oladipo (out of bounds lost ball)
5:14.0,W. Ellington misses 3-pt shot from 28 ft,,50-37,,
5:11.0,,,50-37,,Defensive rebound by T. Young
5:07.0,,,50-37,,Offensive foul by D. Sabonis (drawn by G. Dragic)
5:07.0,,,50-37,,Turnover by D. Sabonis (offensive foul)
5:07.0,W. Ellington makes technical free throw,1,51-37,,
4:57.0,Shooting foul by D. Sabonis (drawn by G. Dragic),,51-37,,
4:57.0,G. Dragic makes free throw 1 of 2,1,52-37,,
4:57.0,J. Richardson enters the game for W. Ellington,,52-37,,
4:57.0,G. Dragic makes free throw 2 of 2,1,53-37,,
4:42.0,,,53-39,2,D. Sabonis makes 2-pt shot from 8 ft
4:16.0,T. Johnson misses 3-pt shot from 28 ft,,53-39,,
4:13.0,Offensive rebound by G. Dragic,,53-39,,
4:00.0,G. Dragic misses 2-pt shot from 13 ft,,53-39,,
3:58.0,,,53-39,,Defensive rebound by V. Oladipo
3:55.0,,,53-39,,Shooting foul by G. Dragic (drawn by B. Bogdanovic)
3:55.0,,,53-40,1,B. Bogdanovic makes free throw 1 of 2
3:55.0,W. Ellington enters the game for G. Dragic,,53-40,,
3:55.0,,,53-41,1,B. Bogdanovic makes free throw 2 of 2
3:33.0,W. Ellington misses 3-pt shot from 26 ft,,53-41,,
3:30.0,,,53-41,,Defensive rebound by D. Sabonis
3:22.0,,,53-41,,D. Sabonis misses 2-pt shot at rim
3:19.0,Defensive rebound by H. Whiteside,,53-41,,
3:07.0,B. Adebayo misses 2-pt shot from 9 ft,,53-41,,
3:05.0,,,53-41,,Defensive rebound by T. Young
2:55.0,,,53-41,,Turnover by V. Oladipo (bad pass; steal by B. Adebayo)
2:33.0,Turnover by H. Whiteside (traveling),,53-41,,
2:33.0,,,53-41,,L. Stephenson enters the game for D. Sabonis
2:33.0,,,53-41,,A. Jefferson enters the game for B. Bogdanovic
2:21.0,,,53-41,,V. Oladipo misses 2-pt shot at rim
2:20.0,,,53-41,,Offensive rebound by T. Young
2:15.0,,,53-41,,V. Oladipo misses 3-pt shot from 23 ft
2:13.0,Defensive rebound by Team,,53-41,,
2:00.0,B. Adebayo misses 2-pt shot at rim,,53-41,,
1:58.0,,,53-41,,Defensive rebound by V. Oladipo
1:47.0,,,53-41,,T. Young misses 2-pt shot from 5 ft (block by W. Ellington)
1:47.0,Defensive rebound by Team,,53-41,,
1:47.0,K. Olynyk enters the game for H. Whiteside,,53-41,,
1:29.0,J. Richardson makes 3-pt shot from 25 ft (assist by B. Adebayo),3,56-41,,
1:12.0,,,56-43,2,A. Jefferson makes 2-pt shot from 4 ft (assist by D. Collison)
1:01.0,,,56-43,,Personal foul by T. Young (drawn by B. Adebayo)
1:01.0,B. Adebayo makes free throw 1 of 2,1,57-43,,
1:01.0,,,57-43,,C. Joseph enters the game for V. Oladipo
1:01.0,B. Adebayo makes free throw 2 of 2,1,58-43,,
0:38.0,,,58-43,,C. Joseph misses 3-pt shot from 23 ft
0:35.0,,,58-43,,Offensive rebound by T. Young
0:34.0,,,58-45,2,T. Young makes 2-pt shot from 1 ft
0:16.0,J. Richardson misses 2-pt shot from 19 ft,,58-45,,
0:14.0,,,58-45,,Defensive rebound by L. Stephenson
0:10.0,,,58-47,2,T. Young makes 2-pt shot at rim (assist by L. Stephenson)
0:02.0,T. Johnson misses 2-pt shot from 15 ft (block by A. Jefferson),,58-47,,
0:02.0,,,58-47,,Defensive rebound by L. Stephenson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,58-47,,Turnover by V. Oladipo (bad pass; steal by K. Olynyk)
11:25.0,K. Olynyk misses 2-pt shot from 12 ft (block by T. Young),,58-47,,
11:24.0,,,58-47,,Defensive rebound by V. Oladipo
11:19.0,,,58-49,2,D. Collison makes 2-pt shot from 1 ft (assist by V. Oladipo)
11:01.0,H. Whiteside misses 2-pt shot from 1 ft (block by D. Collison),,58-49,,
10:59.0,,,58-49,,Defensive rebound by T. Young
10:45.0,,,58-49,,Turnover by D. Sabonis (bad pass)
10:33.0,H. Whiteside makes 2-pt shot from 15 ft (assist by G. Dragic),2,60-49,,
10:25.0,,,60-49,,D. Collison misses 2-pt shot from 1 ft
10:23.0,Defensive rebound by H. Whiteside,,60-49,,
10:06.0,G. Dragic misses 2-pt shot from 17 ft,,60-49,,
10:02.0,,,60-49,,Defensive rebound by V. Oladipo
9:59.0,,,60-49,,Offensive foul by D. Sabonis (drawn by D. Jones)
9:59.0,,,60-49,,Turnover by D. Sabonis (offensive foul)
9:42.0,G. Dragic makes 3-pt shot from 26 ft (assist by J. Richardson),3,63-49,,
9:27.0,,,63-51,2,B. Bogdanovic makes 2-pt shot at rim
9:06.0,D. Jones misses 3-pt shot from 23 ft,,63-51,,
9:03.0,,,63-51,,Defensive rebound by T. Young
8:59.0,,,63-51,,B. Bogdanovic misses 3-pt shot from 27 ft
8:56.0,Defensive rebound by H. Whiteside,,63-51,,
8:43.0,Offensive charge foul by D. Jones (drawn by T. Young),,63-51,,
8:43.0,Turnover by D. Jones (offensive foul),,63-51,,
8:34.0,Personal block foul by H. Whiteside (drawn by T. Young),,63-51,,
8:23.0,,,63-51,,B. Bogdanovic misses 3-pt shot from 23 ft
8:19.0,Defensive rebound by G. Dragic,,63-51,,
8:09.0,Turnover by G. Dragic (bad pass; steal by T. Young),,63-51,,
8:06.0,,,63-51,,Shooting foul by D. Jones (drawn by B. Bogdanovic)
8:06.0,,,63-51,,B. Bogdanovic misses free throw 1 of 2
8:06.0,,,63-51,,Offensive rebound by Team
8:06.0,,,63-52,1,B. Bogdanovic makes free throw 2 of 2
7:56.0,K. Olynyk makes 2-pt shot at rim (assist by G. Dragic),2,65-52,,
7:39.0,,,65-52,,D. Sabonis misses 2-pt shot from 20 ft
7:37.0,Defensive rebound by J. Richardson,,65-52,,
7:26.0,K. Olynyk misses 3-pt shot from 27 ft,,65-52,,
7:23.0,,,65-52,,Defensive rebound by V. Oladipo
7:17.0,,,65-54,2,V. Oladipo makes 2-pt shot from 1 ft
7:17.0,,,65-54,,Shooting foul by H. Whiteside (drawn by V. Oladipo)
7:17.0,B. Adebayo enters the game for H. Whiteside,,65-54,,
7:17.0,,,65-55,1,V. Oladipo makes free throw 1 of 1
7:05.0,G. Dragic misses 3-pt shot from 28 ft,,65-55,,
7:02.0,,,65-55,,Defensive rebound by B. Bogdanovic
6:48.0,,,65-55,,V. Oladipo misses 2-pt shot from 1 ft
6:47.0,,,65-55,,Offensive rebound by D. Sabonis
6:47.0,,,65-57,2,D. Sabonis makes 2-pt shot at rim
6:30.0,Offensive foul by K. Olynyk (drawn by V. Oladipo),,65-57,,
6:30.0,Turnover by K. Olynyk (offensive foul),,65-57,,
6:30.0,,,65-57,,Indiana full timeout
6:30.0,W. Ellington enters the game for J. Richardson,,65-57,,
6:19.0,,,65-57,,Offensive charge foul by D. Sabonis (drawn by K. Olynyk)
6:19.0,,,65-57,,Turnover by D. Sabonis (offensive foul)
6:19.0,,,65-57,,A. Jefferson enters the game for D. Sabonis
5:56.0,G. Dragic misses 3-pt shot from 26 ft,,65-57,,
5:53.0,,,65-57,,Defensive rebound by A. Jefferson
5:41.0,,,65-59,2,B. Bogdanovic makes 2-pt shot from 1 ft
5:27.0,K. Olynyk misses 3-pt shot from 26 ft,,65-59,,
5:24.0,,,65-59,,Defensive rebound by A. Jefferson
5:14.0,,,65-61,2,V. Oladipo makes 2-pt shot at rim
5:01.0,Turnover by G. Dragic (lost ball; steal by D. Collison),,65-61,,
4:58.0,,,65-63,2,T. Young makes 2-pt shot from 1 ft (assist by D. Collison)
4:46.0,Miami full timeout,,65-63,,
4:46.0,T. Johnson enters the game for D. Jones,,65-63,,
4:40.0,G. Dragic makes 2-pt shot from 2 ft (assist by B. Adebayo),2,67-63,,
4:17.0,,,67-63,,V. Oladipo misses 3-pt shot from 28 ft
4:13.0,,,67-63,,Offensive rebound by T. Young
4:13.0,,,67-65,2,T. Young makes 2-pt shot from 1 ft
3:58.0,W. Ellington makes 3-pt shot from 26 ft (assist by G. Dragic),3,70-65,,
3:39.0,,,70-67,2,B. Bogdanovic makes 2-pt shot from 10 ft
3:17.0,G. Dragic misses 2-pt shot from 18 ft,,70-67,,
3:14.0,Offensive rebound by K. Olynyk,,70-67,,
3:14.0,K. Olynyk misses 2-pt shot at rim,,70-67,,
3:13.0,,,70-67,,Defensive rebound by T. Young
3:03.0,,,70-69,2,A. Jefferson makes 2-pt shot from 6 ft (assist by T. Young)
2:45.0,Shooting foul by A. Jefferson (drawn by B. Adebayo),,70-69,,
2:45.0,B. Adebayo misses free throw 1 of 2,,70-69,,
2:45.0,Offensive rebound by Team,,70-69,,
2:45.0,,,70-69,,C. Joseph enters the game for B. Bogdanovic
2:45.0,J. Richardson enters the game for G. Dragic,,70-69,,
2:45.0,B. Adebayo makes free throw 2 of 2,1,71-69,,
2:37.0,,,71-69,,Offensive foul by A. Jefferson (drawn by B. Adebayo)
2:37.0,,,71-69,,Turnover by A. Jefferson (offensive foul)
2:23.0,W. Ellington makes 3-pt shot from 28 ft (assist by J. Richardson),3,74-69,,
2:13.0,,,74-69,,Shooting foul by K. Olynyk (drawn by D. Collison)
2:13.0,,,74-70,1,D. Collison makes free throw 1 of 2
2:13.0,,,74-70,,L. Stephenson enters the game for V. Oladipo
2:13.0,,,74-71,1,D. Collison makes free throw 2 of 2
1:53.0,K. Olynyk makes 3-pt shot from 23 ft (assist by T. Johnson),3,77-71,,
1:33.0,,,77-73,2,T. Young makes 2-pt shot from 3 ft
1:33.0,Violation by B. Adebayo (def goaltending),,77-73,,
1:33.0,,,77-73,,Shooting foul by K. Olynyk (drawn by T. Young)
1:33.0,,,77-73,,T. Young misses free throw 1 of 1
1:28.0,Defensive rebound by K. Olynyk,,77-73,,
1:14.0,J. Richardson makes 2-pt shot from 19 ft,2,79-73,,
0:57.0,,,79-76,3,L. Stephenson makes 3-pt shot from 26 ft (assist by C. Joseph)
0:44.0,W. Ellington makes 3-pt shot from 27 ft (assist by B. Adebayo),3,82-76,,
0:35.0,,,82-76,,L. Stephenson misses 3-pt shot from 26 ft
0:32.0,Defensive rebound by W. Ellington,,82-76,,
0:14.0,Shooting foul by A. Jefferson (drawn by B. Adebayo),,82-76,,
0:14.0,B. Adebayo makes free throw 1 of 2,1,83-76,,
0:14.0,D. Jones enters the game for K. Olynyk,,83-76,,
0:14.0,,,83-76,,T. Leaf enters the game for T. Young
0:14.0,B. Adebayo makes free throw 2 of 2,1,84-76,,
0:02.0,,,84-78,2,D. Collison makes 2-pt shot from 22 ft
0:00.0,B. Adebayo misses 3-pt shot from 55 ft,,84-78,,
0:00.0,Offensive rebound by Team,,84-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,W. Ellington misses 2-pt shot from 20 ft,,84-78,,
11:41.0,,,84-78,,Defensive rebound by L. Stephenson
11:36.0,,,84-80,2,L. Stephenson makes 2-pt shot at rim
11:13.0,T. Johnson makes 2-pt shot at rim (assist by B. Adebayo),2,86-80,,
10:53.0,,,86-80,,C. Joseph misses 2-pt shot from 17 ft
10:50.0,Defensive rebound by T. Johnson,,86-80,,
10:44.0,Offensive foul by B. Adebayo (drawn by D. Collison),,86-80,,
10:44.0,Turnover by B. Adebayo (offensive foul),,86-80,,
10:33.0,,,86-80,,Turnover by T. Leaf (lost ball; steal by J. Richardson)
10:29.0,T. Johnson makes 2-pt shot from 2 ft (assist by D. Jones),2,88-80,,
10:09.0,,,88-80,,A. Jefferson misses 2-pt shot from 20 ft
10:07.0,Defensive rebound by Team,,88-80,,
10:07.0,,,88-80,,V. Oladipo enters the game for D. Collison
10:07.0,,,88-80,,B. Bogdanovic enters the game for T. Leaf
9:57.0,B. Adebayo makes 2-pt shot from 1 ft,2,90-80,,
9:57.0,Shooting foul by L. Stephenson (drawn by B. Adebayo),,90-80,,
9:57.0,,,90-80,,D. Sabonis enters the game for A. Jefferson
9:57.0,B. Adebayo misses free throw 1 of 1,,90-80,,
9:57.0,,,90-80,,Defensive rebound by B. Bogdanovic
9:37.0,,,90-82,2,L. Stephenson makes 2-pt shot from 7 ft
9:15.0,J. Richardson misses 3-pt shot from 24 ft,,90-82,,
9:13.0,,,90-82,,Defensive rebound by D. Sabonis
9:07.0,,,90-82,,Shooting foul by B. Adebayo (drawn by D. Sabonis)
9:07.0,,,90-83,1,D. Sabonis makes free throw 1 of 2
9:07.0,,,90-83,,D. Sabonis misses free throw 2 of 2
9:05.0,Defensive rebound by B. Adebayo,,90-83,,
8:50.0,W. Ellington misses 2-pt shot from 1 ft,,90-83,,
8:46.0,Offensive rebound by J. Richardson,,90-83,,
8:44.0,D. Jones makes 2-pt shot from 8 ft,2,92-83,,
8:32.0,Personal foul by J. Richardson (drawn by V. Oladipo),,92-83,,
8:27.0,Personal foul by J. Richardson (drawn by V. Oladipo),,92-83,,
8:22.0,,,92-85,2,D. Sabonis makes 2-pt shot from 1 ft (assist by V. Oladipo)
7:55.0,B. Adebayo misses 2-pt shot from 17 ft,,92-85,,
7:52.0,,,92-85,,Defensive rebound by B. Bogdanovic
7:46.0,Shooting block foul by T. Johnson (drawn by L. Stephenson),,92-85,,
7:46.0,,,92-86,1,L. Stephenson makes free throw 1 of 2
7:46.0,H. Whiteside enters the game for W. Ellington,,92-86,,
7:46.0,G. Dragic enters the game for D. Jones,,92-86,,
7:46.0,,,92-87,1,L. Stephenson makes free throw 2 of 2
7:23.0,Turnover by J. Richardson (bad pass; steal by V. Oladipo),,92-87,,
7:19.0,,,92-89,2,V. Oladipo makes 2-pt shot at rim
7:19.0,Miami full timeout,,92-89,,
7:03.0,T. Johnson makes 3-pt shot from 27 ft (assist by G. Dragic),3,95-89,,
6:40.0,,,95-91,2,V. Oladipo makes 2-pt shot from 2 ft
6:16.0,G. Dragic makes 2-pt shot from 18 ft,2,97-91,,
5:56.0,,,97-93,2,B. Bogdanovic makes 2-pt shot from 1 ft
5:42.0,Turnover by T. Johnson (lost ball; steal by V. Oladipo),,97-93,,
5:39.0,,,97-95,2,C. Joseph makes 2-pt shot from 1 ft (assist by L. Stephenson)
5:39.0,Away from play foul by G. Dragic (drawn by L. Stephenson),,97-95,,
5:39.0,,,97-95,,L. Stephenson misses free throw 1 of 1
5:36.0,Defensive rebound by H. Whiteside,,97-95,,
5:18.0,T. Johnson misses 3-pt shot from 29 ft,,97-95,,
5:15.0,,,97-95,,Defensive rebound by B. Bogdanovic
5:09.0,,,97-97,2,L. Stephenson makes 2-pt shot from 13 ft
4:47.0,,,97-97,,Personal foul by V. Oladipo (drawn by T. Johnson)
4:47.0,W. Ellington enters the game for B. Adebayo,,97-97,,
4:35.0,Turnover by J. Richardson (traveling),,97-97,,
4:35.0,,,97-97,,Indiana full timeout
4:25.0,,,97-97,,B. Bogdanovic misses 3-pt shot from 23 ft
4:22.0,Defensive rebound by W. Ellington,,97-97,,
4:08.0,T. Johnson makes 3-pt shot from 24 ft (assist by W. Ellington),3,100-97,,
3:52.0,,,100-97,,D. Sabonis misses 2-pt shot from 2 ft
3:49.0,,,100-97,,Offensive rebound by C. Joseph
3:49.0,,,100-99,2,C. Joseph makes 2-pt shot at rim
3:28.0,W. Ellington makes 2-pt shot from 21 ft,2,102-99,,
3:28.0,,,102-99,,Indiana full timeout
3:23.0,,,102-99,,Shooting foul by J. Richardson (drawn by V. Oladipo)
3:23.0,,,102-100,1,V. Oladipo makes free throw 1 of 2
3:23.0,,,102-101,1,V. Oladipo makes free throw 2 of 2
