time,Sacramento,pts.away,score,pts.home,Philadelphia
0:28.0,,,28-27,,Offensive rebound by D. Saric
0:06.0,,,28-27,,Turnover by T. McConnell (bad pass; steal by K. Koufos)
0:02.0,F. Mason makes 2-pt shot from 1 ft (assist by K. Koufos),2,30-27,,
0:02.0,,,30-27,,Turnover by R. Covington (bad pass; steal by B. Hield)
0:00.0,B. Hield misses 3-pt shot from 28 ft,,30-27,,
0:00.0,Offensive rebound by Team,,30-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,S. Labissiere makes 2-pt shot from 10 ft,2,32-27,,
11:14.0,,,32-27,,T. Luwawu-Cabarrot misses 2-pt shot from 5 ft
11:08.0,,,32-27,,Offensive rebound by A. Johnson
11:08.0,,,32-29,2,A. Johnson makes 2-pt shot at rim
11:08.0,Turnover by K. Koufos (step out of bounds),,32-29,,
10:53.0,Personal foul by S. Labissiere (drawn by D. Saric),,32-29,,
10:47.0,Personal foul by S. Labissiere (drawn by D. Saric),,32-29,,
10:40.0,,,32-29,,J. Redick misses 2-pt shot from 19 ft
10:38.0,,,32-29,,Offensive rebound by Team
10:29.0,,,32-31,2,T. McConnell makes 2-pt shot from 6 ft
10:20.0,S. Labissiere misses 2-pt shot from 18 ft,,32-31,,
10:16.0,,,32-31,,Defensive rebound by T. Luwawu-Cabarrot
10:11.0,,,32-31,,J. Redick misses 3-pt shot from 25 ft
10:08.0,,,32-31,,Offensive rebound by D. Saric
10:07.0,,,32-31,,D. Saric misses 2-pt shot from 6 ft (block by S. Labissiere)
10:07.0,Defensive rebound by K. Koufos,,32-31,,
9:53.0,Sacramento full timeout,,32-31,,
9:43.0,F. Mason makes 2-pt shot from 20 ft (assist by S. Labissiere),2,34-31,,
9:24.0,,,34-34,3,T. Luwawu-Cabarrot makes 3-pt shot from 26 ft (assist by D. Saric)
9:06.0,J. Jackson misses 2-pt shot from 13 ft,,34-34,,
9:04.0,,,34-34,,Defensive rebound by A. Johnson
8:53.0,,,34-34,,Shooting foul by K. Koufos (drawn by A. Johnson)
8:53.0,,,34-34,,A. Johnson misses free throw 1 of 2
8:53.0,,,34-34,,Offensive rebound by Team
8:53.0,W. Cauley-Stein enters the game for S. Labissiere,,34-34,,
8:53.0,,,34-35,1,A. Johnson makes free throw 2 of 2
8:39.0,B. Hield makes 2-pt shot from 21 ft,2,36-35,,
8:22.0,,,36-37,2,T. McConnell makes 2-pt shot from 1 ft
8:13.0,W. Cauley-Stein misses 2-pt shot at rim,,36-37,,
8:09.0,,,36-37,,Defensive rebound by D. Saric
8:06.0,,,36-37,,T. Luwawu-Cabarrot misses 3-pt shot from 22 ft
8:02.0,Defensive rebound by B. Hield,,36-37,,
7:57.0,B. Hield misses 2-pt shot from 20 ft,,36-37,,
7:54.0,,,36-37,,Defensive rebound by A. Johnson
7:43.0,,,36-39,2,J. Redick makes 2-pt shot from 20 ft
7:24.0,B. Hield makes 2-pt shot from 20 ft (assist by K. Koufos),2,38-39,,
6:56.0,,,38-41,2,D. Saric makes 2-pt shot from 19 ft
6:38.0,W. Cauley-Stein misses 2-pt shot from 10 ft,,38-41,,
6:36.0,,,38-41,,Defensive rebound by D. Saric
6:33.0,,,38-41,,J. Redick misses 2-pt shot at rim (block by F. Mason)
6:33.0,Defensive rebound by J. Jackson,,38-41,,
6:27.0,B. Hield makes 3-pt shot from 25 ft (assist by J. Jackson),3,41-41,,
6:11.0,,,41-41,,Shooting foul by B. Hield (drawn by T. McConnell)
6:11.0,,,41-42,1,T. McConnell makes free throw 1 of 2
6:11.0,,,41-42,,R. Holmes enters the game for A. Johnson
6:11.0,,,41-42,,B. Simmons enters the game for T. Luwawu-Cabarrot
6:11.0,,,41-42,,R. Covington enters the game for J. Redick
6:11.0,G. Temple enters the game for J. Jackson,,41-42,,
6:11.0,,,41-42,,T. McConnell misses free throw 2 of 2
6:09.0,Defensive rebound by W. Cauley-Stein,,41-42,,
5:51.0,,,41-42,,Violation by D. Saric (kicked ball)
5:51.0,,,41-42,,T. Booker enters the game for D. Saric
5:43.0,K. Koufos makes 2-pt shot from 1 ft (assist by B. Hield),2,43-42,,
5:35.0,,,43-44,2,R. Holmes makes 2-pt shot from 9 ft (assist by B. Simmons)
5:25.0,F. Mason makes 3-pt shot from 26 ft,3,46-44,,
4:58.0,,,46-44,,R. Covington misses 2-pt shot from 18 ft
4:55.0,Defensive rebound by G. Temple,,46-44,,
4:49.0,B. Hield misses 3-pt shot from 25 ft (block by R. Covington),,46-44,,
4:48.0,Offensive rebound by Team,,46-44,,
4:48.0,,,46-44,,J. Redick enters the game for T. McConnell
4:48.0,Z. Randolph enters the game for B. Hield,,46-44,,
4:48.0,B. Bogdanovic enters the game for K. Koufos,,46-44,,
4:35.0,Turnover by Z. Randolph (bad pass; steal by B. Simmons),,46-44,,
4:35.0,Personal foul by F. Mason (drawn by B. Simmons),,46-44,,
4:35.0,,,46-45,1,B. Simmons makes free throw 1 of 2
4:35.0,D. Fox enters the game for F. Mason,,46-45,,
4:35.0,,,46-46,1,B. Simmons makes free throw 2 of 2
4:17.0,W. Cauley-Stein misses 2-pt shot from 3 ft,,46-46,,
4:15.0,,,46-46,,Defensive rebound by T. Booker
4:01.0,Personal foul by D. Fox (drawn by T. Booker),,46-46,,
4:01.0,,,46-46,,T. Booker misses free throw 1 of 2
4:01.0,,,46-46,,Offensive rebound by Team
4:01.0,,,46-46,,T. Booker misses free throw 2 of 2
3:59.0,Defensive rebound by Team,,46-46,,
3:53.0,Turnover by D. Fox (lost ball; steal by B. Simmons),,46-46,,
3:48.0,,,46-48,2,R. Covington makes 2-pt shot at rim (assist by B. Simmons)
3:27.0,G. Temple misses 2-pt shot from 21 ft,,46-48,,
3:25.0,Offensive rebound by Team,,46-48,,
3:25.0,V. Carter enters the game for W. Cauley-Stein,,46-48,,
3:12.0,Turnover by Z. Randolph (bad pass; steal by T. Booker),,46-48,,
3:12.0,Personal foul by V. Carter (drawn by R. Covington),,46-48,,
3:12.0,,,46-49,1,R. Covington makes free throw 1 of 2
3:12.0,,,46-50,1,R. Covington makes free throw 2 of 2
2:54.0,V. Carter misses 3-pt shot from 26 ft,,46-50,,
2:51.0,,,46-50,,Defensive rebound by J. Redick
2:48.0,,,46-50,,R. Covington misses 3-pt shot from 26 ft
2:45.0,Defensive rebound by G. Temple,,46-50,,
2:41.0,D. Fox misses 2-pt shot from 21 ft,,46-50,,
2:41.0,,,46-50,,Defensive rebound by R. Holmes
2:25.0,,,46-50,,R. Covington misses 3-pt shot from 27 ft
2:22.0,Defensive rebound by G. Temple,,46-50,,
2:14.0,Z. Randolph misses 2-pt shot from 8 ft,,46-50,,
2:12.0,,,46-50,,Defensive rebound by R. Covington
2:05.0,,,46-50,,R. Covington misses 3-pt shot from 26 ft
2:00.0,,,46-50,,Offensive rebound by B. Simmons
1:58.0,,,46-50,,J. Redick misses 3-pt shot from 24 ft
1:58.0,,,46-50,,Offensive rebound by T. Booker
1:45.0,,,46-50,,R. Holmes misses 2-pt shot from 21 ft
1:42.0,Defensive rebound by D. Fox,,46-50,,
1:38.0,,,46-50,,Personal foul by R. Holmes (drawn by Z. Randolph)
1:38.0,,,46-50,,Philadelphia full timeout
1:38.0,,,46-50,,D. Saric enters the game for T. Booker
1:29.0,B. Bogdanovic misses 3-pt shot from 27 ft,,46-50,,
1:27.0,,,46-50,,Defensive rebound by B. Simmons
1:24.0,,,46-53,3,J. Redick makes 3-pt shot from 24 ft (assist by R. Covington)
1:11.0,,,46-53,,Personal foul by J. Redick (drawn by G. Temple)
1:11.0,G. Temple misses free throw 1 of 2,,46-53,,
1:11.0,Offensive rebound by Team,,46-53,,
1:11.0,G. Temple misses free throw 2 of 2,,46-53,,
1:09.0,,,46-53,,Defensive rebound by B. Simmons
1:00.0,,,46-53,,Offensive foul by R. Covington (drawn by V. Carter)
1:00.0,,,46-53,,Turnover by R. Covington (offensive foul)
0:48.0,Z. Randolph makes 2-pt shot from 5 ft (assist by G. Temple),2,48-53,,
0:42.0,Personal foul by G. Temple (drawn by B. Simmons),,48-53,,
0:42.0,,,48-53,,B. Simmons misses free throw 1 of 2
0:42.0,,,48-53,,Offensive rebound by Team
0:42.0,,,48-53,,J. Bayless enters the game for R. Covington
0:42.0,,,48-54,1,B. Simmons makes free throw 2 of 2
0:39.0,,,48-54,,Personal foul by B. Simmons (drawn by D. Fox)
0:39.0,D. Fox misses free throw 1 of 2,,48-54,,
0:39.0,Offensive rebound by Team,,48-54,,
0:39.0,D. Fox misses free throw 2 of 2,,48-54,,
0:37.0,,,48-54,,Defensive rebound by B. Simmons
0:31.0,,,48-57,3,J. Redick makes 3-pt shot from 27 ft (assist by B. Simmons)
0:10.0,V. Carter misses 3-pt shot from 23 ft,,48-57,,
0:07.0,,,48-57,,Defensive rebound by R. Holmes
0:03.0,,,48-57,,Turnover by B. Simmons (bad pass)
0:00.0,D. Fox misses 2-pt shot from 15 ft,,48-57,,
0:00.0,Offensive rebound by Team,,48-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Turnover by B. Bogdanovic (bad pass; steal by B. Simmons),,48-57,,
11:43.0,,,48-57,,D. Saric misses 3-pt shot from 27 ft
11:41.0,Defensive rebound by B. Bogdanovic,,48-57,,
11:31.0,Offensive foul by Z. Randolph (drawn by A. Johnson),,48-57,,
11:31.0,Turnover by Z. Randolph (offensive foul),,48-57,,
11:12.0,,,48-57,,Turnover by D. Saric (traveling)
11:02.0,Turnover by W. Cauley-Stein (bad pass; steal by D. Saric),,48-57,,
10:53.0,,,48-59,2,D. Saric makes 2-pt shot from 4 ft (assist by B. Simmons)
10:40.0,Shooting foul by B. Simmons (drawn by W. Cauley-Stein),,48-59,,
10:40.0,W. Cauley-Stein makes free throw 1 of 2,1,49-59,,
10:40.0,W. Cauley-Stein misses free throw 2 of 2,,49-59,,
10:38.0,,,49-59,,Defensive rebound by B. Simmons
10:30.0,,,49-59,,Turnover by A. Johnson (bad pass; steal by W. Cauley-Stein)
10:21.0,W. Cauley-Stein misses 2-pt shot from 19 ft,,49-59,,
10:17.0,,,49-59,,Defensive rebound by B. Simmons
10:12.0,,,49-59,,R. Covington misses 3-pt shot from 26 ft
10:08.0,,,49-59,,Offensive rebound by A. Johnson
10:06.0,,,49-61,2,A. Johnson makes 2-pt shot from 4 ft
9:45.0,B. Bogdanovic misses 2-pt shot from 4 ft (block by R. Covington),,49-61,,
9:41.0,,,49-61,,Defensive rebound by J. Redick
9:39.0,,,49-61,,Shooting foul by J. Jackson (drawn by D. Saric)
9:39.0,,,49-62,1,D. Saric makes free throw 1 of 2
9:39.0,,,49-63,1,D. Saric makes free throw 2 of 2
9:20.0,Turnover by B. Bogdanovic (out of bounds lost ball),,49-63,,
9:07.0,,,49-65,2,A. Johnson makes 2-pt shot from 2 ft (assist by J. Redick)
9:06.0,Sacramento full timeout,,49-65,,
9:06.0,F. Mason enters the game for B. Bogdanovic,,49-65,,
8:53.0,Z. Randolph misses 2-pt shot from 2 ft (block by A. Johnson),,49-65,,
8:53.0,Offensive rebound by Team,,49-65,,
8:45.0,W. Cauley-Stein misses 2-pt shot from 15 ft,,49-65,,
8:43.0,,,49-65,,Defensive rebound by R. Covington
8:24.0,,,49-65,,A. Johnson misses 2-pt shot from 4 ft (block by Z. Randolph)
8:23.0,,,49-65,,Offensive rebound by A. Johnson
8:20.0,,,49-65,,R. Covington misses 3-pt shot from 23 ft
8:17.0,Defensive rebound by W. Cauley-Stein,,49-65,,
7:59.0,J. Jackson makes 3-pt shot from 23 ft (assist by G. Temple),3,52-65,,
7:46.0,,,52-65,,Turnover by J. Redick (bad pass; steal by W. Cauley-Stein)
7:39.0,J. Jackson misses 3-pt shot from 23 ft,,52-65,,
7:35.0,,,52-65,,Defensive rebound by B. Simmons
7:23.0,,,52-65,,D. Saric misses 3-pt shot from 26 ft
7:18.0,Defensive rebound by J. Jackson,,52-65,,
7:07.0,Z. Randolph makes 2-pt shot from 2 ft (assist by J. Jackson),2,54-65,,
7:07.0,,,54-65,,Philadelphia full timeout
7:07.0,,,54-65,,J. Bayless enters the game for D. Saric
7:07.0,,,54-65,,T. Luwawu-Cabarrot enters the game for J. Redick
7:07.0,,,54-65,,T. Booker enters the game for R. Covington
7:07.0,M. Richardson enters the game for W. Cauley-Stein,,54-65,,
6:56.0,Personal foul by G. Temple (drawn by B. Simmons),,54-65,,
6:56.0,,,54-65,,R. Holmes enters the game for A. Johnson
6:41.0,,,54-67,2,T. Booker makes 2-pt shot from 11 ft
6:13.0,Z. Randolph makes 2-pt shot from 9 ft (assist by G. Temple),2,56-67,,
5:56.0,,,56-69,2,J. Bayless makes 2-pt shot from 6 ft (assist by B. Simmons)
5:35.0,F. Mason misses 2-pt shot from 13 ft,,56-69,,
5:32.0,,,56-69,,Defensive rebound by T. Booker
5:17.0,,,56-69,,J. Bayless misses 2-pt shot from 4 ft (block by F. Mason)
5:17.0,Defensive rebound by Team,,56-69,,
5:00.0,Z. Randolph misses 2-pt shot from 2 ft (block by R. Holmes),,56-69,,
4:59.0,Offensive rebound by Z. Randolph,,56-69,,
4:58.0,Z. Randolph makes 2-pt shot from 2 ft,2,58-69,,
4:58.0,Shooting foul by T. Booker (drawn by Z. Randolph),,58-69,,
4:58.0,Z. Randolph misses free throw 1 of 1,,58-69,,
4:55.0,Offensive rebound by G. Temple,,58-69,,
4:53.0,M. Richardson misses 3-pt shot from 26 ft,,58-69,,
4:48.0,,,58-69,,Defensive rebound by T. Booker
4:34.0,,,58-69,,J. Bayless misses 2-pt shot from 16 ft
4:32.0,Defensive rebound by Z. Randolph,,58-69,,
4:14.0,F. Mason makes 2-pt shot from 1 ft,2,60-69,,
3:58.0,,,60-71,2,B. Simmons makes 2-pt shot at rim (assist by R. Holmes)
3:42.0,,,60-71,,T. McConnell enters the game for T. Luwawu-Cabarrot
3:42.0,,,60-71,,R. Covington enters the game for B. Simmons
3:42.0,B. Hield enters the game for G. Temple,,60-71,,
3:39.0,B. Hield misses 2-pt shot from 3 ft (block by R. Holmes),,60-71,,
3:36.0,Offensive rebound by B. Hield,,60-71,,
3:32.0,Z. Randolph makes 2-pt shot from 11 ft,2,62-71,,
3:19.0,,,62-71,,Turnover by R. Holmes (out of bounds lost ball)
3:05.0,Z. Randolph makes 2-pt shot from 2 ft (assist by F. Mason),2,64-71,,
2:51.0,,,64-73,2,R. Covington makes 2-pt shot from 1 ft (assist by T. Booker)
2:42.0,F. Mason makes 2-pt shot from 1 ft,2,66-73,,
2:35.0,,,66-73,,Turnover by R. Covington (lost ball; steal by B. Hield)
2:27.0,F. Mason makes 3-pt shot from 22 ft,3,69-73,,
2:27.0,,,69-73,,Philadelphia full timeout
2:27.0,W. Cauley-Stein enters the game for Z. Randolph,,69-73,,
2:27.0,,,69-73,,D. Saric enters the game for T. Booker
2:11.0,,,69-75,2,T. McConnell makes 2-pt shot from 5 ft (assist by R. Holmes)
1:57.0,B. Hield makes 2-pt shot from 2 ft,2,71-75,,
1:39.0,,,71-75,,R. Covington misses 3-pt shot from 25 ft
1:36.0,Defensive rebound by B. Hield,,71-75,,
1:27.0,F. Mason misses 2-pt shot from 18 ft,,71-75,,
1:22.0,,,71-75,,Defensive rebound by R. Holmes
1:10.0,,,71-75,,Turnover by T. McConnell (bad pass; steal by B. Hield)
1:06.0,Turnover by B. Hield (lost ball; steal by R. Covington),,71-75,,
0:51.0,,,71-75,,R. Covington misses 3-pt shot from 26 ft
0:48.0,,,71-75,,Offensive rebound by D. Saric
0:46.0,,,71-75,,J. Bayless misses 3-pt shot from 25 ft
0:46.0,Defensive rebound by B. Hield,,71-75,,
0:24.0,B. Hield misses 3-pt shot from 24 ft,,71-75,,
0:21.0,,,71-75,,Defensive rebound by R. Holmes
0:14.0,,,71-78,3,J. Bayless makes 3-pt shot from 25 ft (assist by T. McConnell)
0:03.0,,,71-78,,Personal foul by T. McConnell (drawn by F. Mason)
0:03.0,,,71-78,,T. Luwawu-Cabarrot enters the game for D. Saric
0:01.0,J. Jackson misses 3-pt shot from 26 ft,,71-78,,
0:01.0,Offensive rebound by Team,,71-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,71-78,,J. Bayless misses 3-pt shot from 26 ft
11:40.0,,,71-78,,Offensive rebound by J. Bayless
11:35.0,,,71-78,,J. Bayless misses 3-pt shot from 26 ft
11:32.0,,,71-78,,Offensive rebound by A. Johnson
11:30.0,,,71-78,,Turnover by A. Johnson (lost ball; steal by F. Mason)
11:18.0,B. Hield makes 2-pt shot from 12 ft,2,73-78,,
11:02.0,,,73-78,,Turnover by J. Bayless (bad pass; steal by J. Jackson)
10:57.0,M. Richardson makes 2-pt shot from 2 ft (assist by B. Hield),2,75-78,,
10:57.0,Shooting foul by D. Saric (drawn by M. Richardson),,75-78,,
10:57.0,M. Richardson makes free throw 1 of 1,1,76-78,,
10:35.0,,,76-78,,A. Johnson misses 2-pt shot from 4 ft (block by W. Cauley-Stein)
10:35.0,,,76-78,,Offensive rebound by Team
10:35.0,V. Carter enters the game for J. Jackson,,76-78,,
10:35.0,G. Temple enters the game for F. Mason,,76-78,,
10:32.0,,,76-78,,Turnover by Team (shot clock)
10:32.0,,,76-78,,B. Simmons enters the game for T. Luwawu-Cabarrot
10:15.0,B. Hield misses 3-pt shot from 25 ft,,76-78,,
10:11.0,,,76-78,,Defensive rebound by A. Johnson
10:02.0,,,76-78,,T. McConnell misses 2-pt shot from 6 ft
10:01.0,Defensive rebound by M. Richardson,,76-78,,
9:59.0,Jump ball: D. Saric vs. M. Richardson,,,,Jump ball: D. Saric vs. M. Richardson
9:48.0,B. Hield makes 3-pt shot from 25 ft (assist by M. Richardson),3,79-78,,
9:35.0,,,79-78,,Turnover by D. Saric (lost ball; steal by V. Carter)
9:18.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by V. Carter),2,81-78,,
9:18.0,Shooting foul by A. Johnson (drawn by W. Cauley-Stein),,81-78,,
9:18.0,,,81-78,,Technical foul by T. McConnell
9:18.0,B. Hield makes technical free throw,1,82-78,,
9:18.0,,,82-78,,R. Covington enters the game for J. Bayless
9:18.0,W. Cauley-Stein misses free throw 1 of 1,,82-78,,
9:18.0,,,82-78,,Defensive rebound by D. Saric
9:06.0,Personal foul by M. Richardson (drawn by B. Simmons),,82-78,,
8:51.0,,,82-78,,Turnover by B. Simmons (lost ball; steal by V. Carter)
8:40.0,G. Temple misses 3-pt shot from 25 ft,,82-78,,
8:38.0,Offensive rebound by W. Cauley-Stein,,82-78,,
8:38.0,Sacramento full timeout,,82-78,,
8:38.0,,,82-78,,J. Bayless enters the game for T. McConnell
8:38.0,,,82-78,,R. Holmes enters the game for A. Johnson
8:25.0,B. Hield misses 3-pt shot from 24 ft,,82-78,,
8:23.0,,,82-78,,Defensive rebound by B. Simmons
8:14.0,,,82-78,,D. Saric misses 2-pt shot from 4 ft
8:11.0,Defensive rebound by M. Richardson,,82-78,,
8:07.0,B. Hield misses 2-pt shot from 2 ft,,82-78,,
8:03.0,Offensive rebound by M. Richardson,,82-78,,
8:03.0,M. Richardson misses 2-pt shot at rim,,82-78,,
8:01.0,,,82-78,,Defensive rebound by B. Simmons
7:59.0,,,82-78,,R. Covington misses 3-pt shot from 26 ft
7:59.0,Defensive rebound by W. Cauley-Stein,,82-78,,
7:41.0,Shooting foul by R. Holmes (drawn by W. Cauley-Stein),,82-78,,
7:41.0,W. Cauley-Stein makes free throw 1 of 2,1,83-78,,
7:41.0,,,83-78,,T. Luwawu-Cabarrot enters the game for D. Saric
7:41.0,W. Cauley-Stein makes free throw 2 of 2,1,84-78,,
7:29.0,,,84-80,2,R. Covington makes 2-pt shot from 6 ft
7:29.0,,,84-80,,Shooting foul by W. Cauley-Stein (drawn by R. Covington)
7:29.0,,,84-81,1,R. Covington makes free throw 1 of 1
7:07.0,V. Carter misses 3-pt shot from 25 ft,,84-81,,
7:03.0,,,84-81,,Defensive rebound by T. Luwawu-Cabarrot
6:52.0,,,84-81,,R. Covington misses 2-pt shot from 20 ft
6:49.0,Defensive rebound by V. Carter,,84-81,,
