time,Brooklyn,pts.away,score,pts.home,Miami
4:24.0,S. Dinwiddie makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson),3,14-22,,
4:04.0,,,14-25,3,K. Olynyk makes 3-pt shot from 25 ft (assist by J. Johnson)
3:51.0,J. Harris makes 2-pt shot from 1 ft (assist by C. LeVert),2,16-25,,
3:51.0,,,16-25,,Violation by K. Olynyk (def goaltending)
3:36.0,,,16-27,2,K. Olynyk makes 2-pt shot at rim (assist by G. Dragic)
3:19.0,R. Hollis-Jefferson misses 2-pt shot from 13 ft,,16-27,,
3:18.0,,,16-27,,Defensive rebound by K. Olynyk
3:08.0,,,16-27,,G. Dragic misses 2-pt shot from 2 ft
3:07.0,Defensive rebound by R. Hollis-Jefferson,,16-27,,
3:01.0,,,16-27,,Violation by J. Johnson (kicked ball)
3:01.0,,,16-27,,J. Richardson enters the game for G. Dragic
3:01.0,,,16-27,,J. Winslow enters the game for T. Johnson
3:01.0,,,16-27,,D. Wade enters the game for J. Johnson
3:01.0,D. Carroll enters the game for R. Hollis-Jefferson,,16-27,,
2:50.0,S. Dinwiddie misses 2-pt shot from 6 ft,,16-27,,
2:49.0,,,16-27,,Defensive rebound by K. Olynyk
2:42.0,,,16-30,3,D. Wade makes 3-pt shot from 25 ft (assist by K. Olynyk)
2:19.0,C. LeVert makes 2-pt shot from 3 ft,2,18-30,,
2:04.0,Personal foul by D. Cunningham (drawn by J. Richardson),,18-30,,
1:55.0,,,18-30,,K. Olynyk misses 2-pt shot from 7 ft
1:52.0,Defensive rebound by D. Carroll,,18-30,,
1:43.0,D. Cunningham misses 3-pt shot from 23 ft,,18-30,,
1:40.0,,,18-30,,Defensive rebound by W. Ellington
1:31.0,,,18-32,2,J. Winslow makes 2-pt shot from 1 ft (assist by D. Wade)
1:22.0,J. Harris misses 2-pt shot from 1 ft (block by D. Wade),,18-32,,
1:21.0,Offensive rebound by C. LeVert,,18-32,,
1:20.0,Shooting foul by K. Olynyk (drawn by C. LeVert),,18-32,,
1:20.0,C. LeVert makes free throw 1 of 2,1,19-32,,
1:20.0,C. LeVert makes free throw 2 of 2,1,20-32,,
1:07.0,Personal foul by J. Harris (drawn by K. Olynyk),,20-32,,
1:03.0,,,20-32,,Turnover by K. Olynyk (bad pass; steal by C. LeVert)
1:01.0,Shooting foul by D. Wade (drawn by C. LeVert),,20-32,,
1:01.0,C. LeVert makes free throw 1 of 2,1,21-32,,
1:01.0,C. LeVert makes free throw 2 of 2,1,22-32,,
0:50.0,,,22-32,,J. Winslow misses 2-pt shot from 1 ft
0:49.0,Defensive rebound by C. LeVert,,22-32,,
0:41.0,Turnover by C. LeVert (bad pass),,22-32,,
0:31.0,,,22-32,,W. Ellington misses 3-pt shot from 25 ft
0:30.0,,,22-32,,Offensive rebound by K. Olynyk
0:24.0,,,22-32,,J. Winslow misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by D. Cunningham,,22-32,,
0:06.0,S. Dinwiddie misses 3-pt shot from 26 ft,,22-32,,
0:04.0,,,22-32,,Defensive rebound by K. Olynyk
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Allen makes 2-pt shot from 1 ft (assist by C. LeVert),2,24-32,,
11:32.0,,,24-32,,Turnover by D. Wade (bad pass)
11:14.0,Shooting foul by W. Ellington (drawn by J. Allen),,24-32,,
11:14.0,J. Allen makes free throw 1 of 2,1,25-32,,
11:14.0,J. Allen makes free throw 2 of 2,1,26-32,,
10:49.0,,,26-32,,W. Ellington misses 2-pt shot at rim
10:48.0,Defensive rebound by C. LeVert,,26-32,,
10:38.0,Turnover by J. Allen (lost ball; steal by J. Richardson),,26-32,,
10:32.0,,,26-34,2,J. Winslow makes 2-pt shot from 1 ft (assist by J. Richardson)
10:09.0,D. Carroll misses 3-pt shot from 23 ft,,26-34,,
10:08.0,,,26-34,,Defensive rebound by K. Olynyk
9:56.0,Jump ball: D. Wade vs. C. LeVert (J. Harris gains possession),,,,Jump ball: D. Wade vs. C. LeVert (J. Harris gains possession)
9:56.0,,,26-34,,Turnover by D. Wade (turnover; steal by C. LeVert)
9:56.0,Turnover by J. Harris (step out of bounds),,26-34,,
9:51.0,,,26-37,3,J. Winslow makes 3-pt shot from 23 ft (assist by J. Richardson)
9:31.0,D. Carroll misses 2-pt shot from 1 ft,,26-37,,
9:30.0,,,26-37,,Defensive rebound by D. Wade
9:17.0,,,26-37,,J. Richardson misses 3-pt shot from 26 ft
9:16.0,Defensive rebound by C. LeVert,,26-37,,
8:54.0,D. Carroll misses 2-pt shot from 5 ft,,26-37,,
8:53.0,Offensive rebound by J. Harris,,26-37,,
8:45.0,C. LeVert misses 2-pt shot from 5 ft,,26-37,,
8:44.0,,,26-37,,Defensive rebound by J. Winslow
8:38.0,,,26-37,,Turnover by W. Ellington (bad pass; steal by J. Allen)
8:35.0,Shooting foul by W. Ellington (drawn by J. Harris),,26-37,,
8:35.0,J. Harris makes free throw 1 of 2,1,27-37,,
8:35.0,R. Hollis-Jefferson enters the game for S. Dinwiddie,,27-37,,
8:35.0,A. Crabbe enters the game for D. Carroll,,27-37,,
8:35.0,J. Harris makes free throw 2 of 2,1,28-37,,
8:21.0,,,28-37,,D. Wade misses 2-pt shot from 18 ft
8:20.0,Defensive rebound by C. LeVert,,28-37,,
8:08.0,J. Allen makes 2-pt shot at rim (assist by J. Harris),2,30-37,,
7:51.0,,,30-39,2,K. Olynyk makes 2-pt shot from 1 ft
7:34.0,J. Allen misses 2-pt shot from 4 ft,,30-39,,
7:33.0,,,30-39,,Defensive rebound by K. Olynyk
7:24.0,,,30-39,,J. Richardson misses 2-pt shot from 16 ft
7:23.0,Defensive rebound by R. Hollis-Jefferson,,30-39,,
7:13.0,C. LeVert makes 2-pt shot from 1 ft,2,32-39,,
7:13.0,Shooting foul by D. Wade (drawn by C. LeVert),,32-39,,
7:13.0,,,32-39,,H. Whiteside enters the game for W. Ellington
7:13.0,,,32-39,,G. Dragic enters the game for D. Wade
7:13.0,,,32-39,,T. Johnson enters the game for K. Olynyk
7:13.0,C. LeVert makes free throw 1 of 1,1,33-39,,
6:57.0,,,33-41,2,H. Whiteside makes 2-pt shot from 6 ft (assist by T. Johnson)
6:36.0,J. Allen misses 2-pt shot from 9 ft (block by H. Whiteside),,33-41,,
6:35.0,Offensive rebound by Team,,33-41,,
6:35.0,,,33-41,,Miami full timeout
6:35.0,,,33-41,,J. Johnson enters the game for J. Richardson
6:35.0,S. Dinwiddie enters the game for C. LeVert,,33-41,,
6:32.0,R. Hollis-Jefferson misses 2-pt shot from 11 ft (block by J. Johnson),,33-41,,
6:31.0,Offensive rebound by Team,,33-41,,
6:30.0,Turnover by Team (shot clock),,33-41,,
6:12.0,,,33-41,,H. Whiteside misses 2-pt shot from 12 ft
6:11.0,Defensive rebound by A. Crabbe,,33-41,,
6:04.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,35-41,,
5:47.0,,,35-41,,J. Winslow misses 2-pt shot from 5 ft
5:46.0,Defensive rebound by R. Hollis-Jefferson,,35-41,,
5:31.0,J. Allen makes 2-pt shot at rim (assist by S. Dinwiddie),2,37-41,,
5:14.0,,,37-41,,Turnover by J. Johnson (bad pass; steal by J. Harris)
5:00.0,Offensive foul by J. Allen (drawn by G. Dragic),,37-41,,
5:00.0,Turnover by J. Allen (offensive foul),,37-41,,
5:00.0,D. Carroll enters the game for J. Harris,,37-41,,
4:49.0,,,37-43,2,G. Dragic makes 2-pt shot from 14 ft
4:40.0,,,37-43,,W. Ellington enters the game for J. Winslow
4:40.0,Q. Acy enters the game for J. Allen,,37-43,,
4:40.0,Turnover by A. Crabbe (out of bounds lost ball),,37-43,,
4:31.0,,,37-43,,Turnover by G. Dragic (bad pass; steal by R. Hollis-Jefferson)
4:25.0,Q. Acy makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,40-43,,
4:04.0,,,40-45,2,J. Johnson makes 2-pt shot from 15 ft
3:49.0,,,40-45,,Personal foul by J. Johnson (drawn by R. Hollis-Jefferson)
3:49.0,,,40-45,,J. Winslow enters the game for J. Johnson
3:44.0,Shooting foul by W. Ellington (drawn by A. Crabbe),,40-45,,
3:44.0,A. Crabbe makes free throw 1 of 3,1,41-45,,
3:44.0,A. Crabbe makes free throw 2 of 3,1,42-45,,
3:44.0,,,42-45,,D. Wade enters the game for W. Ellington
3:44.0,C. LeVert enters the game for S. Dinwiddie,,42-45,,
3:44.0,A. Crabbe makes free throw 3 of 3,1,43-45,,
3:38.0,Personal foul by C. LeVert (drawn by H. Whiteside),,43-45,,
3:30.0,,,43-45,,G. Dragic misses 2-pt shot from 16 ft
3:29.0,Defensive rebound by R. Hollis-Jefferson,,43-45,,
3:11.0,Turnover by D. Carroll (step out of bounds),,43-45,,
2:57.0,,,43-47,2,G. Dragic makes 2-pt shot from 11 ft
2:46.0,A. Crabbe misses 3-pt shot from 26 ft,,43-47,,
2:43.0,,,43-47,,Defensive rebound by H. Whiteside
2:38.0,,,43-47,,Turnover by T. Johnson (bad pass; steal by A. Crabbe)
2:35.0,Offensive charge foul by C. LeVert (drawn by G. Dragic),,43-47,,
2:35.0,Turnover by C. LeVert (offensive foul),,43-47,,
2:35.0,Brooklyn full timeout,,43-47,,
2:35.0,S. Dinwiddie enters the game for D. Carroll,,43-47,,
2:25.0,,,43-47,,D. Wade misses 2-pt shot from 17 ft
2:22.0,Defensive rebound by Q. Acy,,43-47,,
2:12.0,Q. Acy makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,46-47,,
1:56.0,,,46-47,,Shooting foul by Q. Acy (drawn by H. Whiteside)
1:56.0,,,46-48,1,H. Whiteside makes free throw 1 of 2
1:56.0,,,46-49,1,H. Whiteside makes free throw 2 of 2
1:44.0,R. Hollis-Jefferson misses 3-pt shot from 23 ft,,46-49,,
1:43.0,,,46-49,,Defensive rebound by D. Wade
1:34.0,,,46-51,2,D. Wade makes 2-pt shot from 8 ft
1:24.0,C. LeVert misses 3-pt shot from 25 ft,,46-51,,
1:23.0,,,46-51,,Defensive rebound by T. Johnson
1:20.0,,,46-51,,H. Whiteside misses 2-pt shot from 2 ft (block by A. Crabbe)
1:19.0,,,46-51,,Offensive rebound by Team
1:04.0,,,46-53,2,H. Whiteside makes 2-pt shot from 3 ft
0:48.0,Shooting foul by J. Winslow (drawn by Q. Acy),,46-53,,
0:48.0,Q. Acy makes free throw 1 of 2,1,47-53,,
0:48.0,Q. Acy makes free throw 2 of 2,1,48-53,,
0:26.0,,,48-53,,D. Wade misses 2-pt shot from 12 ft
0:25.0,,,48-53,,Offensive rebound by J. Winslow
0:02.0,,,48-55,2,H. Whiteside makes 2-pt shot from 1 ft (assist by D. Wade)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:32.0,S. Dinwiddie makes 2-pt shot from 6 ft,2,50-55,,
11:15.0,,,50-55,,G. Dragic misses 2-pt shot from 7 ft
11:14.0,,,50-55,,Offensive rebound by H. Whiteside
11:12.0,,,50-57,2,H. Whiteside makes 2-pt shot at rim
10:59.0,A. Crabbe misses 3-pt shot from 25 ft,,50-57,,
10:58.0,,,50-57,,Defensive rebound by J. Johnson
10:57.0,Personal foul by D. Carroll (drawn by J. Richardson),,50-57,,
10:47.0,,,50-57,,J. Richardson misses 2-pt shot from 1 ft
10:46.0,Defensive rebound by R. Hollis-Jefferson,,50-57,,
10:39.0,D. Carroll misses 2-pt shot from 2 ft,,50-57,,
10:38.0,Offensive rebound by J. Allen,,50-57,,
10:36.0,J. Allen misses 2-pt shot from 2 ft,,50-57,,
10:35.0,,,50-57,,Defensive rebound by H. Whiteside
10:29.0,,,50-57,,J. Richardson misses 3-pt shot from 24 ft
10:26.0,Defensive rebound by S. Dinwiddie,,50-57,,
10:23.0,Turnover by R. Hollis-Jefferson (traveling),,50-57,,
10:15.0,,,50-57,,Turnover by G. Dragic (bad pass; steal by S. Dinwiddie)
10:10.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,52-57,,
9:57.0,,,52-57,,Offensive charge foul by H. Whiteside (drawn by J. Allen)
9:57.0,,,52-57,,Turnover by H. Whiteside (offensive foul)
9:50.0,,,52-57,,Personal foul by G. Dragic (drawn by A. Crabbe)
9:42.0,J. Allen makes 2-pt shot at rim (assist by S. Dinwiddie),2,54-57,,
9:27.0,,,54-59,2,J. Johnson makes 2-pt shot from 7 ft
9:16.0,A. Crabbe makes 2-pt shot from 1 ft (assist by J. Allen),2,56-59,,
9:00.0,,,56-59,,J. Johnson misses 2-pt shot from 9 ft
8:59.0,,,56-59,,Offensive rebound by G. Dragic
8:54.0,Personal foul by S. Dinwiddie (drawn by G. Dragic),,56-59,,
8:50.0,Personal foul by D. Carroll (drawn by J. Richardson),,56-59,,
8:43.0,,,56-59,,Turnover by J. Richardson (lost ball; steal by R. Hollis-Jefferson)
8:39.0,Turnover by R. Hollis-Jefferson (lost ball; steal by J. Richardson),,56-59,,
8:31.0,Personal foul by S. Dinwiddie (drawn by J. Richardson),,56-59,,
8:31.0,,,56-59,,Technical foul by J. Richardson
8:31.0,A. Crabbe misses technical free throw,,56-59,,
8:31.0,,,56-59,,Defensive rebound by Team
8:24.0,,,56-59,,Turnover by G. Dragic (out of bounds lost ball)
8:03.0,R. Hollis-Jefferson makes 3-pt shot from 23 ft (assist by S. Dinwiddie),3,59-59,,
7:43.0,,,59-59,,J. Richardson misses 3-pt shot from 23 ft
7:42.0,Defensive rebound by R. Hollis-Jefferson,,59-59,,
7:35.0,D. Carroll misses 3-pt shot from 25 ft,,59-59,,
7:34.0,,,59-59,,Defensive rebound by H. Whiteside
7:24.0,,,59-59,,Shooting foul by J. Allen (drawn by H. Whiteside)
7:24.0,,,59-60,1,H. Whiteside makes free throw 1 of 2
7:24.0,,,59-61,1,H. Whiteside makes free throw 2 of 2
7:11.0,S. Dinwiddie makes 3-pt shot from 25 ft,3,62-61,,
6:52.0,,,62-61,,G. Dragic misses 2-pt shot from 14 ft
6:49.0,Defensive rebound by J. Allen,,62-61,,
6:47.0,D. Carroll makes 2-pt shot at rim (assist by S. Dinwiddie),2,64-61,,
6:46.0,,,64-61,,Miami full timeout
6:38.0,Personal foul by A. Crabbe (drawn by T. Johnson),,64-61,,
6:38.0,,,64-62,1,T. Johnson makes free throw 1 of 2
6:38.0,C. LeVert enters the game for D. Carroll,,64-62,,
6:38.0,,,64-63,1,T. Johnson makes free throw 2 of 2
6:22.0,Turnover by S. Dinwiddie (bad pass; steal by H. Whiteside),,64-63,,
6:09.0,,,64-65,2,J. Richardson makes 2-pt shot from 2 ft
5:45.0,S. Dinwiddie misses 3-pt shot from 26 ft,,64-65,,
5:44.0,,,64-65,,Defensive rebound by J. Richardson
5:38.0,,,64-65,,Offensive foul by H. Whiteside (drawn by S. Dinwiddie)
5:38.0,,,64-65,,Turnover by H. Whiteside (offensive foul)
5:38.0,D. Cunningham enters the game for J. Allen,,64-65,,
5:13.0,R. Hollis-Jefferson misses 2-pt shot from 17 ft,,64-65,,
5:12.0,,,64-65,,Defensive rebound by H. Whiteside
5:05.0,,,64-67,2,G. Dragic makes 2-pt shot from 1 ft
4:54.0,Shooting foul by J. Johnson (drawn by R. Hollis-Jefferson),,64-67,,
4:54.0,R. Hollis-Jefferson makes free throw 1 of 2,1,65-67,,
4:54.0,,,65-67,,W. Ellington enters the game for J. Richardson
4:54.0,J. Harris enters the game for A. Crabbe,,65-67,,
4:54.0,R. Hollis-Jefferson makes free throw 2 of 2,1,66-67,,
4:40.0,,,66-69,2,T. Johnson makes 2-pt shot from 22 ft (assist by J. Johnson)
4:33.0,J. Harris misses 3-pt shot from 25 ft,,66-69,,
4:33.0,,,66-69,,Defensive rebound by G. Dragic
4:22.0,,,66-69,,G. Dragic misses 2-pt shot from 18 ft
4:21.0,Defensive rebound by D. Cunningham,,66-69,,
4:13.0,D. Cunningham misses 3-pt shot from 25 ft,,66-69,,
4:09.0,,,66-69,,Defensive rebound by T. Johnson
3:58.0,,,66-69,,T. Johnson misses 3-pt shot from 25 ft
3:57.0,Defensive rebound by J. Harris,,66-69,,
3:55.0,,,66-69,,Personal foul by T. Johnson (drawn by R. Hollis-Jefferson)
3:55.0,,,66-69,,K. Olynyk enters the game for H. Whiteside
3:47.0,D. Cunningham makes 2-pt shot from 1 ft (assist by C. LeVert),2,68-69,,
3:25.0,,,68-69,,Turnover by K. Olynyk (bad pass; steal by S. Dinwiddie)
3:20.0,C. LeVert makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,70-69,,
2:54.0,,,70-71,2,G. Dragic makes 2-pt shot from 6 ft
2:33.0,Shooting foul by G. Dragic (drawn by S. Dinwiddie),,70-71,,
2:33.0,Brooklyn full timeout,,70-71,,
2:33.0,,,70-71,,D. Wade enters the game for T. Johnson
2:33.0,,,70-71,,J. Winslow enters the game for J. Johnson
2:33.0,Q. Acy enters the game for R. Hollis-Jefferson,,70-71,,
2:33.0,S. Dinwiddie misses free throw 1 of 2,,70-71,,
2:33.0,Offensive rebound by Team,,70-71,,
2:33.0,S. Dinwiddie makes free throw 2 of 2,1,71-71,,
2:10.0,,,71-71,,K. Olynyk misses 2-pt shot from 22 ft
2:09.0,Defensive rebound by C. LeVert,,71-71,,
1:49.0,S. Dinwiddie makes 3-pt shot from 25 ft,3,74-71,,
1:34.0,Personal foul by C. LeVert (drawn by K. Olynyk),,74-71,,
1:34.0,,,74-71,,K. Olynyk misses free throw 1 of 2
1:34.0,,,74-71,,Offensive rebound by Team
1:34.0,,,74-71,,J. Richardson enters the game for G. Dragic
1:34.0,D. Carroll enters the game for S. Dinwiddie,,74-71,,
1:34.0,,,74-72,1,K. Olynyk makes free throw 2 of 2
1:12.0,J. Harris misses 3-pt shot from 23 ft,,74-72,,
1:11.0,,,74-72,,Defensive rebound by K. Olynyk
1:02.0,,,74-72,,W. Ellington misses 3-pt shot from 25 ft
1:01.0,Defensive rebound by D. Cunningham,,74-72,,
0:50.0,J. Harris makes 3-pt shot from 25 ft (assist by C. LeVert),3,77-72,,
0:32.0,,,77-74,2,K. Olynyk makes 2-pt shot at rim
0:14.0,Q. Acy makes 3-pt shot from 23 ft (assist by C. LeVert),3,80-74,,
0:00.0,,,80-76,2,K. Olynyk makes 2-pt shot from 1 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,80-76,,D. Wade misses 2-pt shot from 5 ft
11:44.0,Defensive rebound by C. LeVert,,80-76,,
11:39.0,D. Cunningham makes 2-pt shot from 1 ft (assist by C. LeVert),2,82-76,,
11:30.0,Away from play foul by D. Carroll (drawn by K. Olynyk),,82-76,,
11:20.0,,,82-76,,D. Wade misses 2-pt shot from 7 ft
11:19.0,,,82-76,,Offensive rebound by K. Olynyk
11:18.0,,,82-76,,Shooting foul by Q. Acy (drawn by K. Olynyk)
11:18.0,,,82-76,,K. Olynyk misses free throw 1 of 2
11:18.0,,,82-76,,Offensive rebound by Team
11:18.0,,,82-77,1,K. Olynyk makes free throw 2 of 2
11:01.0,D. Carroll misses 3-pt shot from 24 ft,,82-77,,
11:00.0,,,82-77,,Defensive rebound by J. Winslow
10:51.0,,,82-79,2,J. Winslow makes 2-pt shot from 4 ft
10:34.0,Q. Acy misses 3-pt shot from 23 ft,,82-79,,
10:33.0,Offensive rebound by D. Carroll,,82-79,,
10:29.0,C. LeVert misses 3-pt shot from 25 ft,,82-79,,
10:28.0,Offensive rebound by Team,,82-79,,
10:12.0,D. Cunningham makes 3-pt shot from 23 ft (assist by C. LeVert),3,85-79,,
9:56.0,,,85-79,,K. Olynyk misses 2-pt shot from 4 ft (block by D. Cunningham)
9:55.0,Defensive rebound by C. LeVert,,85-79,,
9:50.0,J. Harris misses 2-pt shot from 1 ft (block by J. Winslow),,85-79,,
9:49.0,Offensive rebound by C. LeVert,,85-79,,
9:48.0,C. LeVert makes 2-pt shot at rim,2,87-79,,
9:47.0,,,87-79,,Miami full timeout
9:47.0,,,87-79,,J. Johnson enters the game for K. Olynyk
9:34.0,,,87-81,2,J. Richardson makes 2-pt shot from 1 ft (assist by D. Wade)
9:10.0,C. LeVert makes 2-pt shot from 3 ft,2,89-81,,
8:52.0,,,89-81,,D. Wade misses 2-pt shot from 5 ft
8:51.0,,,89-81,,Offensive rebound by D. Wade
8:50.0,,,89-83,2,D. Wade makes 2-pt shot from 1 ft
8:36.0,J. Harris misses 3-pt shot from 24 ft,,89-83,,
8:35.0,,,89-83,,Defensive rebound by J. Richardson
8:27.0,,,89-85,2,J. Johnson makes 2-pt shot from 2 ft (assist by J. Richardson)
8:27.0,,,89-85,,Shooting foul by C. LeVert (drawn by J. Johnson)
8:27.0,S. Dinwiddie enters the game for C. LeVert,,89-85,,
8:27.0,,,89-85,,J. Johnson misses free throw 1 of 1
8:27.0,Defensive rebound by D. Cunningham,,89-85,,
8:06.0,D. Cunningham makes 2-pt shot at rim (assist by D. Carroll),2,91-85,,
7:52.0,,,91-85,,Turnover by J. Johnson (bad pass)
7:38.0,J. Harris makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,93-85,,
7:21.0,,,93-85,,D. Wade misses 2-pt shot from 1 ft
7:21.0,Defensive rebound by Q. Acy,,93-85,,
7:21.0,,,93-85,,Technical foul by D. Wade
7:21.0,J. Harris makes technical free throw,1,94-85,,
7:21.0,,,94-85,,G. Dragic enters the game for W. Ellington
7:21.0,R. Hollis-Jefferson enters the game for D. Cunningham,,94-85,,
7:01.0,R. Hollis-Jefferson misses 2-pt shot from 10 ft (block by J. Johnson),,94-85,,
7:00.0,,,94-85,,Defensive rebound by J. Richardson
6:54.0,,,94-85,,G. Dragic misses 3-pt shot from 25 ft
6:53.0,,,94-85,,Offensive rebound by J. Johnson
6:52.0,,,94-87,2,J. Johnson makes 2-pt shot from 7 ft
6:52.0,,,94-87,,Shooting foul by R. Hollis-Jefferson (drawn by J. Johnson)
6:52.0,,,94-88,1,J. Johnson makes free throw 1 of 1
6:36.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft,,94-88,,
6:35.0,,,94-88,,Defensive rebound by D. Wade
