time,Indiana,pts.away,score,pts.home,Atlanta
8:48.0,J. Young misses 2-pt shot from 19 ft,,31-35,,
8:45.0,,,31-35,,Defensive rebound by T. Waller-Prince
8:40.0,,,31-37,2,T. Waller-Prince makes 2-pt shot from 1 ft
8:33.0,Indiana full timeout,,31-37,,
8:33.0,,,31-37,,D. Dedmon enters the game for T. Dorsey
8:33.0,C. Joseph enters the game for J. Young,,31-37,,
8:33.0,T. Young enters the game for D. Sabonis,,31-37,,
8:26.0,V. Oladipo misses 2-pt shot from 17 ft,,31-37,,
8:25.0,Offensive rebound by T. Young,,31-37,,
8:25.0,T. Young misses 2-pt shot at rim,,31-37,,
8:25.0,Offensive rebound by Team,,31-37,,
8:23.0,C. Joseph misses 2-pt shot from 15 ft,,31-37,,
8:19.0,,,31-37,,Defensive rebound by D. Dedmon
8:12.0,,,31-39,2,J. Collins makes 2-pt shot from 1 ft (assist by D. Schroder)
7:47.0,V. Oladipo makes 3-pt shot from 24 ft (assist by T. Young),3,34-39,,
7:32.0,,,34-39,,K. Bazemore misses 3-pt shot from 24 ft
7:29.0,Defensive rebound by L. Stephenson,,34-39,,
7:23.0,T. Young misses 3-pt shot from 24 ft,,34-39,,
7:19.0,,,34-39,,Defensive rebound by T. Waller-Prince
7:09.0,,,34-39,,J. Collins misses 2-pt shot from 2 ft
7:05.0,Defensive rebound by M. Turner,,34-39,,
7:01.0,Turnover by C. Joseph (step out of bounds),,34-39,,
6:46.0,,,34-39,,D. Schroder misses 2-pt shot from 7 ft
6:41.0,,,34-39,,Offensive rebound by J. Collins
6:40.0,,,34-39,,Turnover by D. Dedmon (bad pass; steal by L. Stephenson)
6:28.0,Shooting foul by J. Collins (drawn by M. Turner),,34-39,,
6:28.0,M. Turner makes free throw 1 of 2,1,35-39,,
6:28.0,M. Turner makes free throw 2 of 2,1,36-39,,
6:16.0,Violation by V. Oladipo (kicked ball),,36-39,,
6:06.0,,,36-41,2,D. Dedmon makes 2-pt shot from 10 ft
6:06.0,,,36-41,,Shooting foul by T. Young (drawn by D. Dedmon)
6:06.0,,,36-41,,D. Dedmon misses free throw 1 of 1
6:01.0,Defensive rebound by M. Turner,,36-41,,
5:56.0,V. Oladipo misses 3-pt shot from 25 ft,,36-41,,
5:53.0,,,36-41,,Defensive rebound by D. Dedmon
5:38.0,,,36-44,3,D. Dedmon makes 3-pt shot from 25 ft (assist by K. Bazemore)
5:16.0,L. Stephenson makes 2-pt shot from 1 ft,2,38-44,,
5:01.0,,,38-44,,J. Collins misses 2-pt shot from 5 ft (block by T. Young)
4:58.0,Defensive rebound by T. Young,,38-44,,
4:54.0,L. Stephenson makes 2-pt shot from 2 ft,2,40-44,,
4:54.0,Shooting foul by J. Collins (drawn by L. Stephenson),,40-44,,
4:54.0,,,40-44,,M. Delaney enters the game for J. Collins
4:54.0,,,40-44,,M. Muscala enters the game for K. Bazemore
4:54.0,L. Stephenson makes free throw 1 of 1,1,41-44,,
4:34.0,,,41-44,,Turnover by T. Waller-Prince (turnover)
4:34.0,,,41-44,,Loose ball foul by D. Dedmon (drawn by L. Stephenson)
4:34.0,L. Stephenson misses free throw 1 of 2,,41-44,,
4:34.0,Offensive rebound by Team,,41-44,,
4:34.0,,,41-44,,Atlanta full timeout
4:34.0,L. Stephenson makes free throw 2 of 2,1,42-44,,
4:21.0,,,42-44,,Turnover by D. Schroder (bad pass)
4:11.0,V. Oladipo misses 2-pt shot from 2 ft,,42-44,,
4:08.0,,,42-44,,Defensive rebound by D. Dedmon
4:07.0,,,42-44,,Turnover by D. Dedmon (bad pass; steal by V. Oladipo)
3:57.0,L. Stephenson misses 2-pt shot from 1 ft (block by D. Dedmon),,42-44,,
3:53.0,,,42-44,,Defensive rebound by M. Delaney
3:49.0,,,42-44,,M. Muscala misses 3-pt shot from 22 ft
3:44.0,,,42-44,,Offensive rebound by D. Dedmon
3:42.0,,,42-44,,Turnover by D. Dedmon (lost ball; steal by V. Oladipo)
3:34.0,T. Young makes 2-pt shot from 1 ft (assist by L. Stephenson),2,44-44,,
3:17.0,,,44-44,,M. Muscala misses 3-pt shot from 25 ft
3:14.0,Defensive rebound by L. Stephenson,,44-44,,
3:12.0,Turnover by L. Stephenson (lost ball; steal by D. Schroder),,44-44,,
2:51.0,,,44-44,,M. Muscala misses 3-pt shot from 23 ft
2:48.0,Defensive rebound by M. Turner,,44-44,,
2:44.0,V. Oladipo makes 2-pt shot from 14 ft (assist by C. Joseph),2,46-44,,
2:23.0,,,46-44,,D. Schroder misses 2-pt shot from 1 ft
2:19.0,,,46-44,,Offensive rebound by M. Muscala
2:19.0,,,46-46,2,M. Muscala makes 2-pt shot at rim
2:06.0,L. Stephenson makes 2-pt shot from 1 ft (assist by M. Turner),2,48-46,,
1:49.0,Personal foul by L. Stephenson (drawn by T. Waller-Prince),,48-46,,
1:49.0,,,48-46,,M. Plumlee enters the game for T. Waller-Prince
1:49.0,,,48-46,,J. Morris enters the game for D. Dedmon
1:49.0,B. Bogdanovic enters the game for L. Stephenson,,48-46,,
1:49.0,D. Sabonis enters the game for M. Turner,,48-46,,
1:49.0,,,48-46,,I. Taylor enters the game for D. Schroder
1:41.0,,,48-46,,M. Delaney misses 2-pt shot from 9 ft (block by V. Oladipo)
1:38.0,,,48-46,,Offensive rebound by M. Muscala
1:37.0,,,48-48,2,M. Muscala makes 2-pt shot from 1 ft
1:20.0,Turnover by V. Oladipo (turnover),,48-48,,
1:20.0,Loose ball foul by V. Oladipo (drawn by M. Delaney),,48-48,,
1:20.0,,,48-49,1,M. Delaney makes free throw 1 of 2
1:20.0,,,48-50,1,M. Delaney makes free throw 2 of 2
1:09.0,V. Oladipo misses 3-pt shot from 25 ft,,48-50,,
1:05.0,,,48-50,,Defensive rebound by M. Plumlee
0:55.0,,,48-52,2,M. Muscala makes 2-pt shot from 3 ft (assist by M. Delaney)
0:55.0,,,48-52,,Shooting foul by D. Sabonis (drawn by M. Muscala)
0:55.0,,,48-53,1,M. Muscala makes free throw 1 of 1
0:41.0,B. Bogdanovic makes 2-pt shot from 14 ft,2,50-53,,
0:32.0,,,50-53,,M. Muscala misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by V. Oladipo,,50-53,,
0:12.0,V. Oladipo misses 2-pt shot from 3 ft (block by M. Plumlee),,50-53,,
0:11.0,,,50-53,,Defensive rebound by Team
0:11.0,Loose ball foul by V. Oladipo (drawn by M. Delaney),,50-53,,
0:11.0,,,50-54,1,M. Delaney makes free throw 1 of 2
0:11.0,,,50-55,1,M. Delaney makes free throw 2 of 2
0:02.0,C. Joseph misses 2-pt shot from 20 ft,,50-55,,
0:02.0,,,50-55,,Defensive rebound by M. Muscala
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Turnover by C. Joseph (bad pass; steal by D. Schroder),,50-55,,
11:37.0,,,50-57,2,J. Collins makes 2-pt shot from 1 ft (assist by K. Bazemore)
11:19.0,Turnover by C. Joseph (bad pass; steal by D. Dedmon),,50-57,,
11:11.0,,,50-59,2,K. Bazemore makes 2-pt shot from 2 ft (assist by D. Schroder)
10:56.0,Turnover by B. Bogdanovic (bad pass; steal by T. Waller-Prince),,50-59,,
10:49.0,,,50-59,,T. Waller-Prince misses 3-pt shot from 25 ft
10:47.0,,,50-59,,Offensive rebound by J. Collins
10:47.0,,,50-61,2,J. Collins makes 2-pt shot at rim
10:47.0,Indiana full timeout,,50-61,,
10:34.0,Turnover by B. Bogdanovic (bad pass; steal by K. Bazemore),,50-61,,
10:34.0,,,50-61,,Turnover by K. Bazemore (bad pass)
10:24.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by J. Collins),,50-61,,
10:20.0,Offensive rebound by T. Young,,50-61,,
10:19.0,T. Young misses 2-pt shot from 2 ft (block by D. Dedmon),,50-61,,
10:19.0,Offensive rebound by M. Turner,,50-61,,
10:11.0,C. Joseph misses 2-pt shot from 9 ft,,50-61,,
10:07.0,,,50-61,,Defensive rebound by D. Schroder
9:59.0,,,50-61,,Turnover by D. Schroder (bad pass; steal by M. Turner)
9:53.0,V. Oladipo misses 2-pt shot from 14 ft (block by J. Collins),,50-61,,
9:51.0,,,50-61,,Defensive rebound by Team
9:33.0,,,50-63,2,K. Bazemore makes 2-pt shot from 17 ft (assist by D. Dedmon)
9:07.0,T. Young misses 2-pt shot from 2 ft (block by T. Waller-Prince),,50-63,,
9:02.0,,,50-63,,Defensive rebound by T. Waller-Prince
8:55.0,,,50-65,2,D. Dedmon makes 2-pt shot from 13 ft (assist by T. Waller-Prince)
8:42.0,Offensive foul by M. Turner (drawn by T. Waller-Prince),,50-65,,
8:42.0,Turnover by M. Turner (offensive foul),,50-65,,
8:42.0,J. Young enters the game for C. Joseph,,50-65,,
8:21.0,,,50-65,,T. Waller-Prince misses 3-pt shot from 24 ft
8:17.0,,,50-65,,Offensive rebound by K. Bazemore
8:13.0,,,50-65,,K. Bazemore misses 3-pt shot from 22 ft
8:11.0,Defensive rebound by B. Bogdanovic,,50-65,,
8:05.0,V. Oladipo makes 2-pt shot from 12 ft,2,52-65,,
7:47.0,,,52-65,,T. Waller-Prince misses 2-pt shot from 21 ft
7:44.0,Defensive rebound by J. Young,,52-65,,
7:32.0,J. Young misses 3-pt shot from 23 ft,,52-65,,
7:27.0,Offensive rebound by M. Turner,,52-65,,
7:26.0,B. Bogdanovic misses 3-pt shot from 25 ft,,52-65,,
7:23.0,,,52-65,,Defensive rebound by D. Dedmon
7:19.0,,,52-65,,Shooting foul by M. Turner (drawn by D. Schroder)
7:19.0,,,52-66,1,D. Schroder makes free throw 1 of 2
7:19.0,D. Sabonis enters the game for M. Turner,,52-66,,
7:19.0,,,52-67,1,D. Schroder makes free throw 2 of 2
7:07.0,V. Oladipo makes 2-pt shot from 19 ft,2,54-67,,
6:46.0,,,54-67,,D. Schroder misses 3-pt shot from 25 ft
6:44.0,Defensive rebound by D. Sabonis,,54-67,,
6:37.0,Shooting foul by D. Dedmon (drawn by D. Sabonis),,54-67,,
6:37.0,D. Sabonis makes free throw 1 of 2,1,55-67,,
6:37.0,D. Sabonis makes free throw 2 of 2,1,56-67,,
6:24.0,,,56-69,2,K. Bazemore makes 2-pt shot from 1 ft (assist by J. Collins)
6:07.0,T. Young makes 2-pt shot at rim (assist by V. Oladipo),2,58-69,,
5:58.0,,,58-71,2,J. Collins makes 2-pt shot from 1 ft (assist by T. Waller-Prince)
5:42.0,T. Young misses 2-pt shot from 6 ft,,58-71,,
5:40.0,,,58-71,,Defensive rebound by D. Dedmon
5:37.0,,,58-71,,K. Bazemore misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by T. Young,,58-71,,
5:23.0,V. Oladipo misses 2-pt shot from 15 ft,,58-71,,
5:19.0,,,58-71,,Defensive rebound by J. Collins
5:11.0,,,58-71,,Atlanta full timeout
5:11.0,,,58-71,,M. Muscala enters the game for D. Dedmon
5:11.0,,,58-71,,T. Dorsey enters the game for K. Bazemore
5:11.0,L. Stephenson enters the game for B. Bogdanovic,,58-71,,
5:02.0,,,58-71,,Turnover by D. Schroder (lost ball; steal by J. Young)
4:57.0,Turnover by J. Young (bad pass; steal by M. Muscala),,58-71,,
4:51.0,,,58-74,3,D. Schroder makes 3-pt shot from 25 ft
4:31.0,Turnover by L. Stephenson (bad pass; steal by D. Schroder),,58-74,,
4:26.0,,,58-76,2,M. Muscala makes 2-pt shot from 1 ft (assist by D. Schroder)
4:06.0,Turnover by D. Sabonis (lost ball; steal by D. Schroder),,58-76,,
4:02.0,,,58-79,3,T. Dorsey makes 3-pt shot from 24 ft (assist by D. Schroder)
3:46.0,V. Oladipo misses 3-pt shot from 25 ft,,58-79,,
3:42.0,,,58-79,,Defensive rebound by T. Waller-Prince
3:33.0,,,58-79,,T. Dorsey misses 3-pt shot from 23 ft
3:30.0,Defensive rebound by D. Sabonis,,58-79,,
3:12.0,D. Sabonis makes 2-pt shot from 19 ft (assist by V. Oladipo),2,60-79,,
2:54.0,,,60-79,,M. Muscala misses 2-pt shot from 8 ft
2:54.0,Defensive rebound by Team,,60-79,,
2:54.0,,,60-79,,Loose ball foul by J. Collins (drawn by D. Sabonis)
2:54.0,,,60-79,,M. Plumlee enters the game for T. Waller-Prince
2:54.0,,,60-79,,J. Morris enters the game for D. Schroder
2:54.0,,,60-79,,I. Taylor enters the game for J. Collins
2:54.0,G. Robinson enters the game for V. Oladipo,,60-79,,
2:54.0,B. Bogdanovic enters the game for T. Young,,60-79,,
2:44.0,,,60-79,,Personal foul by I. Taylor (drawn by J. Young)
2:34.0,J. Young misses 2-pt shot from 19 ft,,60-79,,
2:30.0,,,60-79,,Defensive rebound by M. Muscala
2:21.0,,,60-79,,J. Morris misses 2-pt shot from 1 ft (block by B. Bogdanovic)
2:18.0,Defensive rebound by D. Sabonis,,60-79,,
2:04.0,G. Robinson misses 2-pt shot from 18 ft,,60-79,,
2:01.0,,,60-79,,Defensive rebound by T. Dorsey
1:55.0,,,60-79,,J. Morris misses 3-pt shot from 22 ft
1:48.0,,,60-79,,Offensive rebound by M. Muscala
1:48.0,,,60-81,2,M. Muscala makes 2-pt shot at rim
1:34.0,,,60-81,,Personal foul by I. Taylor (drawn by J. Young)
1:28.0,J. Young misses 2-pt shot from 2 ft (block by I. Taylor),,60-81,,
1:24.0,Offensive rebound by Team,,60-81,,
1:24.0,,,60-81,,Loose ball foul by M. Muscala (drawn by D. Sabonis)
1:24.0,D. Sabonis misses free throw 1 of 2,,60-81,,
1:24.0,Offensive rebound by Team,,60-81,,
1:24.0,D. Sabonis misses free throw 2 of 2,,60-81,,
1:20.0,Offensive rebound by D. Sabonis,,60-81,,
1:19.0,G. Robinson misses 3-pt shot from 24 ft,,60-81,,
1:15.0,,,60-81,,Defensive rebound by T. Dorsey
1:06.0,,,60-83,2,M. Plumlee makes 2-pt shot from 1 ft (assist by I. Taylor)
0:57.0,D. Sabonis makes 2-pt shot from 5 ft,2,62-83,,
0:43.0,,,62-85,2,I. Taylor makes 2-pt shot from 1 ft
0:25.0,L. Stephenson misses 2-pt shot from 2 ft (block by M. Muscala),,62-85,,
0:25.0,Offensive rebound by Team,,62-85,,
0:25.0,,,62-85,,M. Delaney enters the game for M. Muscala
0:15.0,B. Bogdanovic makes 2-pt shot from 21 ft,2,64-85,,
0:15.0,Shooting foul by I. Taylor (drawn by B. Bogdanovic),,64-85,,
0:15.0,B. Bogdanovic makes free throw 1 of 1,1,65-85,,
0:05.0,Violation by D. Sabonis (kicked ball),,65-85,,
0:02.0,,,65-85,,M. Delaney misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by D. Sabonis,,65-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Technical foul by J. Young (drawn by I. Taylor),,65-85,,
11:50.0,,,65-86,1,I. Taylor makes free throw 1 of 1
11:38.0,,,65-86,,M. Muscala misses 2-pt shot from 1 ft
11:36.0,,,65-86,,Offensive rebound by M. Plumlee
11:36.0,,,65-86,,M. Plumlee misses 2-pt shot at rim
11:35.0,Defensive rebound by L. Stephenson,,65-86,,
11:34.0,Turnover by L. Stephenson (out of bounds lost ball),,65-86,,
11:34.0,,,65-87,1,M. Muscala makes technical free throw
11:27.0,,,65-87,,Turnover by M. Plumlee (traveling)
11:16.0,Turnover by J. Young (turnover),,65-87,,
11:05.0,,,65-87,,J. Morris misses 3-pt shot from 22 ft
11:04.0,,,65-87,,Offensive rebound by M. Muscala
11:04.0,Personal foul by B. Bogdanovic (drawn by M. Muscala),,65-87,,
11:04.0,C. Joseph enters the game for J. Young,,65-87,,
10:59.0,,,65-87,,Offensive foul by T. Dorsey (drawn by D. Sabonis)
10:59.0,,,65-87,,Turnover by T. Dorsey (offensive foul)
10:49.0,L. Stephenson misses 2-pt shot from 18 ft,,65-87,,
10:45.0,,,65-87,,Defensive rebound by J. Morris
10:40.0,,,65-87,,J. Morris misses 2-pt shot at rim
10:36.0,Defensive rebound by G. Robinson,,65-87,,
10:32.0,L. Stephenson makes 3-pt shot from 25 ft (assist by B. Bogdanovic),3,68-87,,
10:15.0,,,68-87,,Turnover by J. Morris (bad pass; steal by G. Robinson)
10:12.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by G. Robinson),3,71-87,,
10:11.0,,,71-87,,Atlanta full timeout
10:11.0,,,71-87,,J. Collins enters the game for M. Plumlee
10:11.0,V. Oladipo enters the game for G. Robinson,,71-87,,
9:54.0,,,71-87,,T. Dorsey misses 3-pt shot from 22 ft
9:50.0,,,71-87,,Offensive rebound by T. Dorsey
9:47.0,,,71-87,,Turnover by T. Dorsey (bad pass; steal by V. Oladipo)
9:41.0,L. Stephenson makes 2-pt shot from 1 ft,2,73-87,,
9:27.0,,,73-87,,I. Taylor misses 2-pt shot from 12 ft
9:24.0,Defensive rebound by D. Sabonis,,73-87,,
9:18.0,Turnover by L. Stephenson (bad pass; steal by I. Taylor),,73-87,,
9:15.0,,,73-87,,Shooting foul by C. Joseph (drawn by I. Taylor)
9:15.0,,,73-88,1,I. Taylor makes free throw 1 of 2
9:15.0,,,73-88,,K. Bazemore enters the game for J. Morris
9:15.0,,,73-89,1,I. Taylor makes free throw 2 of 2
9:04.0,L. Stephenson misses 2-pt shot from 17 ft,,73-89,,
9:01.0,,,73-89,,Defensive rebound by T. Dorsey
8:46.0,,,73-92,3,I. Taylor makes 3-pt shot from 24 ft (assist by K. Bazemore)
8:28.0,V. Oladipo makes 2-pt shot from 1 ft,2,75-92,,
8:12.0,,,75-92,,Shooting foul by C. Joseph (drawn by I. Taylor)
