time,San Antonio,pts.away,score,pts.home,Milwaukee
0:40.0,R. Gay makes 2-pt shot from 1 ft,2,15-26,,
0:37.0,,,15-26,,Shooting foul by B. Forbes (drawn by J. Parker)
0:37.0,,,15-27,1,J. Parker makes free throw 1 of 2
0:37.0,,,15-27,,J. Parker misses free throw 2 of 2
0:34.0,Defensive rebound by R. Gay,,15-27,,
0:25.0,R. Gay misses 2-pt shot from 14 ft,,15-27,,
0:22.0,,,15-27,,Defensive rebound by T. Maker
0:01.0,,,15-27,,K. Middleton misses 2-pt shot from 18 ft
0:01.0,Defensive rebound by P. Gasol,,15-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,15-27,,Turnover by T. Maker (bad pass; steal by R. Gay)
11:24.0,R. Gay makes 2-pt shot at rim (assist by M. Ginobili),2,17-27,,
11:05.0,,,17-27,,T. Snell misses 2-pt shot from 9 ft
11:02.0,Defensive rebound by R. Gay,,17-27,,
10:53.0,M. Ginobili misses 2-pt shot from 7 ft,,17-27,,
10:49.0,,,17-27,,Defensive rebound by B. Jennings
10:46.0,,,17-29,2,B. Jennings makes 2-pt shot from 13 ft
10:32.0,Turnover by M. Ginobili (bad pass),,17-29,,
10:16.0,,,17-29,,J. Parker misses 2-pt shot from 2 ft
10:14.0,Defensive rebound by T. Parker,,17-29,,
10:06.0,P. Gasol makes 2-pt shot at rim (assist by M. Ginobili),2,19-29,,
9:51.0,,,19-29,,J. Parker misses 3-pt shot from 26 ft
9:48.0,Defensive rebound by Team,,19-29,,
9:48.0,D. Green enters the game for T. Parker,,19-29,,
9:48.0,P. Mills enters the game for B. Forbes,,19-29,,
9:48.0,D. Murray enters the game for M. Ginobili,,19-29,,
9:27.0,Shooting foul by G. Antetokounmpo (drawn by D. Green),,19-29,,
9:27.0,D. Green makes free throw 1 of 2,1,20-29,,
9:27.0,D. Green makes free throw 2 of 2,1,21-29,,
9:15.0,,,21-31,2,G. Antetokounmpo makes 2-pt shot at rim (assist by B. Jennings)
9:15.0,,,21-31,,Shooting foul by P. Gasol (drawn by G. Antetokounmpo)
9:15.0,L. Aldridge enters the game for P. Gasol,,21-31,,
9:15.0,,,21-32,1,G. Antetokounmpo makes free throw 1 of 1
8:59.0,R. Gay misses 2-pt shot from 11 ft (block by J. Parker),,21-32,,
8:55.0,,,21-32,,Defensive rebound by J. Parker
8:46.0,,,21-32,,T. Maker misses 2-pt shot from 1 ft
8:45.0,,,21-32,,Offensive rebound by G. Antetokounmpo
8:45.0,Personal foul by D. Green (drawn by G. Antetokounmpo),,21-32,,
8:45.0,,,21-32,,S. Muhammad enters the game for T. Snell
8:45.0,K. Anderson enters the game for R. Gay,,21-32,,
8:38.0,,,21-32,,B. Jennings misses 3-pt shot from 23 ft
8:35.0,Defensive rebound by D. Green,,21-32,,
8:18.0,D. Murray makes 2-pt shot from 1 ft,2,23-32,,
7:56.0,,,23-32,,T. Maker misses 3-pt shot from 23 ft
7:53.0,Defensive rebound by D. Murray,,23-32,,
7:37.0,L. Aldridge makes 2-pt shot from 1 ft (assist by D. Green),2,25-32,,
7:37.0,,,25-32,,Milwaukee full timeout
7:37.0,,,25-32,,K. Middleton enters the game for J. Parker
7:23.0,,,25-32,,S. Muhammad misses 3-pt shot from 25 ft
7:21.0,Defensive rebound by K. Anderson,,25-32,,
7:03.0,D. Green makes 3-pt shot from 27 ft (assist by L. Aldridge),3,28-32,,
6:41.0,,,28-32,,G. Antetokounmpo misses 3-pt shot from 23 ft
6:41.0,Defensive rebound by Team,,28-32,,
6:41.0,,,28-32,,J. Terry enters the game for B. Jennings
6:27.0,L. Aldridge makes 2-pt shot from 3 ft,2,30-32,,
6:11.0,,,30-32,,S. Muhammad misses 3-pt shot from 26 ft
6:09.0,Defensive rebound by D. Murray,,30-32,,
6:00.0,K. Anderson makes 2-pt shot from 11 ft (assist by D. Murray),2,32-32,,
5:53.0,,,32-32,,Milwaukee full timeout
5:53.0,,,32-32,,J. Henson enters the game for T. Maker
5:40.0,,,32-34,2,K. Middleton makes 2-pt shot from 18 ft (assist by J. Henson)
5:19.0,L. Aldridge misses 2-pt shot from 8 ft,,32-34,,
5:16.0,,,32-34,,Defensive rebound by K. Middleton
5:12.0,,,32-34,,E. Bledsoe enters the game for S. Muhammad
5:12.0,P. Mills makes technical free throw,1,33-34,,
5:04.0,,,33-34,,Shooting foul by L. Aldridge (drawn by E. Bledsoe)
5:04.0,,,33-35,1,E. Bledsoe makes free throw 1 of 2
5:04.0,,,33-35,,E. Bledsoe misses free throw 2 of 2
5:01.0,Defensive rebound by D. Murray,,33-35,,
4:50.0,D. Murray makes 2-pt shot from 14 ft,2,35-35,,
4:32.0,,,35-35,,J. Terry misses 3-pt shot from 23 ft
4:30.0,Defensive rebound by D. Green,,35-35,,
4:14.0,K. Anderson makes 2-pt shot at rim (assist by D. Green),2,37-35,,
4:07.0,Personal foul by D. Murray (drawn by E. Bledsoe),,37-35,,
3:52.0,,,37-35,,Turnover by G. Antetokounmpo (offensive goaltending)
3:40.0,,,37-35,,Personal foul by J. Terry (drawn by D. Murray)
3:34.0,Turnover by K. Anderson (bad pass),,37-35,,
3:20.0,,,37-37,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by J. Terry)
3:20.0,San Antonio full timeout,,37-37,,
3:20.0,M. Ginobili enters the game for D. Green,,37-37,,
3:02.0,Shooting foul by G. Antetokounmpo (drawn by L. Aldridge),,37-37,,
3:02.0,L. Aldridge makes free throw 1 of 2,1,38-37,,
3:02.0,T. Parker enters the game for K. Anderson,,38-37,,
3:02.0,R. Gay enters the game for D. Murray,,38-37,,
3:02.0,L. Aldridge makes free throw 2 of 2,1,39-37,,
2:47.0,,,39-37,,G. Antetokounmpo misses 2-pt shot from 15 ft
2:45.0,Defensive rebound by L. Aldridge,,39-37,,
2:34.0,L. Aldridge makes 2-pt shot at rim,2,41-37,,
2:22.0,,,41-40,3,J. Terry makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
1:59.0,R. Gay misses 2-pt shot from 2 ft (block by J. Henson),,41-40,,
1:56.0,Offensive rebound by L. Aldridge,,41-40,,
1:56.0,L. Aldridge misses 2-pt shot from 4 ft,,41-40,,
1:53.0,Offensive rebound by R. Gay,,41-40,,
1:52.0,R. Gay makes 2-pt shot from 1 ft,2,43-40,,
1:47.0,,,43-40,,Shooting foul by L. Aldridge (drawn by G. Antetokounmpo)
1:47.0,,,43-41,1,G. Antetokounmpo makes free throw 1 of 2
1:47.0,,,43-41,,G. Antetokounmpo misses free throw 2 of 2
1:44.0,Defensive rebound by R. Gay,,43-41,,
1:27.0,L. Aldridge misses 2-pt shot from 2 ft,,43-41,,
1:27.0,Offensive rebound by L. Aldridge,,43-41,,
1:27.0,Shooting foul by J. Henson (drawn by L. Aldridge),,43-41,,
1:27.0,L. Aldridge makes free throw 1 of 2,1,44-41,,
1:27.0,B. Forbes enters the game for P. Mills,,44-41,,
1:27.0,L. Aldridge makes free throw 2 of 2,1,45-41,,
1:11.0,,,45-43,2,E. Bledsoe makes 2-pt shot from 10 ft (assist by J. Terry)
0:51.0,R. Gay misses 2-pt shot from 2 ft,,45-43,,
0:48.0,,,45-43,,Defensive rebound by E. Bledsoe
0:45.0,,,45-45,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by E. Bledsoe)
0:27.0,T. Parker misses 2-pt shot from 3 ft (block by J. Henson),,45-45,,
0:24.0,,,45-45,,Defensive rebound by K. Middleton
0:21.0,,,45-45,,J. Terry misses 3-pt shot from 25 ft
0:20.0,,,45-45,,Offensive rebound by Team
0:20.0,Loose ball foul by R. Gay (drawn by G. Antetokounmpo),,45-45,,
0:20.0,,,45-46,1,G. Antetokounmpo makes free throw 1 of 2
0:20.0,P. Mills enters the game for T. Parker,,45-46,,
0:20.0,,,45-47,1,G. Antetokounmpo makes free throw 2 of 2
0:03.0,M. Ginobili misses 2-pt shot from 2 ft,,45-47,,
0:03.0,Offensive rebound by L. Aldridge,,45-47,,
0:03.0,L. Aldridge makes 2-pt shot from 1 ft,2,47-47,,
0:00.0,,,47-47,,E. Bledsoe misses 3-pt shot from 41 ft
0:00.0,,,47-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,47-47,,Turnover by E. Bledsoe (bad pass; steal by D. Murray)
11:48.0,San Antonio full timeout,,47-47,,
11:41.0,L. Aldridge makes 2-pt shot from 11 ft,2,49-47,,
11:29.0,,,49-50,3,K. Middleton makes 3-pt shot from 27 ft (assist by J. Henson)
11:17.0,,,49-50,,Personal foul by J. Henson (drawn by L. Aldridge)
11:10.0,Turnover by P. Mills (bad pass; steal by E. Bledsoe),,49-50,,
10:57.0,,,49-53,3,E. Bledsoe makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
10:32.0,Turnover by D. Green (bad pass; steal by G. Antetokounmpo),,49-53,,
10:20.0,,,49-55,2,G. Antetokounmpo makes 2-pt shot at rim
10:13.0,Turnover by K. Anderson (bad pass; steal by J. Terry),,49-55,,
10:09.0,,,49-55,,J. Terry misses 2-pt shot from 2 ft (block by D. Green)
10:09.0,Defensive rebound by Team,,49-55,,
9:54.0,D. Murray misses 2-pt shot from 10 ft,,49-55,,
9:51.0,,,49-55,,Defensive rebound by G. Antetokounmpo
9:48.0,,,49-55,,Turnover by G. Antetokounmpo (bad pass; steal by D. Murray)
9:43.0,D. Green misses 3-pt shot from 23 ft,,49-55,,
9:42.0,,,49-55,,Defensive rebound by Team
9:42.0,Loose ball foul by L. Aldridge (drawn by G. Antetokounmpo),,49-55,,
9:35.0,,,49-57,2,E. Bledsoe makes 2-pt shot from 1 ft
9:35.0,,,49-57,,Shooting foul by D. Murray (drawn by E. Bledsoe)
9:35.0,,,49-57,,J. Parker enters the game for J. Terry
9:35.0,M. Ginobili enters the game for D. Murray,,49-57,,
9:35.0,T. Parker enters the game for D. Green,,49-57,,
9:35.0,,,49-58,1,E. Bledsoe makes free throw 1 of 1
9:11.0,L. Aldridge makes 2-pt shot from 8 ft,2,51-58,,
9:06.0,Personal foul by T. Parker (drawn by K. Middleton),,51-58,,
8:57.0,,,51-58,,K. Middleton misses 3-pt shot from 27 ft
8:54.0,,,51-58,,Offensive rebound by J. Henson
8:52.0,,,51-60,2,J. Parker makes 2-pt shot from 1 ft (assist by J. Henson)
8:38.0,T. Parker makes 2-pt shot from 13 ft (assist by P. Mills),2,53-60,,
8:23.0,,,53-60,,J. Henson misses 2-pt shot from 4 ft (block by L. Aldridge)
8:19.0,Defensive rebound by T. Parker,,53-60,,
8:16.0,L. Aldridge makes 2-pt shot from 1 ft (assist by M. Ginobili),2,55-60,,
8:00.0,,,55-62,2,J. Henson makes 2-pt shot from 2 ft (assist by J. Parker)
7:35.0,K. Anderson misses 2-pt shot from 2 ft (block by J. Parker),,55-62,,
7:35.0,Offensive rebound by K. Anderson,,55-62,,
7:35.0,K. Anderson misses 2-pt shot from 2 ft,,55-62,,
7:35.0,Offensive rebound by L. Aldridge,,55-62,,
7:35.0,Shooting foul by K. Middleton (drawn by L. Aldridge),,55-62,,
7:35.0,L. Aldridge misses free throw 1 of 2,,55-62,,
7:35.0,Offensive rebound by Team,,55-62,,
7:35.0,L. Aldridge makes free throw 2 of 2,1,56-62,,
7:23.0,,,56-64,2,K. Middleton makes 2-pt shot from 7 ft (assist by E. Bledsoe)
6:55.0,P. Mills misses 2-pt shot from 6 ft,,56-64,,
6:53.0,,,56-64,,Defensive rebound by G. Antetokounmpo
6:35.0,,,56-67,3,K. Middleton makes 3-pt shot from 24 ft (assist by J. Parker)
6:16.0,T. Parker misses 2-pt shot from 16 ft,,56-67,,
6:13.0,,,56-67,,Defensive rebound by J. Parker
6:08.0,,,56-67,,G. Antetokounmpo misses 2-pt shot from 3 ft
6:00.0,,,56-67,,Offensive rebound by J. Henson
6:00.0,,,56-69,2,J. Henson makes 2-pt shot at rim
5:55.0,Shooting foul by J. Parker (drawn by L. Aldridge),,56-69,,
5:55.0,L. Aldridge misses free throw 1 of 2,,56-69,,
5:55.0,Offensive rebound by Team,,56-69,,
5:55.0,,,56-69,,J. Terry enters the game for G. Antetokounmpo
5:55.0,B. Forbes enters the game for K. Anderson,,56-69,,
5:55.0,R. Gay enters the game for P. Mills,,56-69,,
5:55.0,L. Aldridge makes free throw 2 of 2,1,57-69,,
5:33.0,,,57-71,2,J. Henson makes 2-pt shot at rim (assist by E. Bledsoe)
5:23.0,,,57-71,,Violation by J. Henson (kicked ball)
5:23.0,,,57-71,,T. Maker enters the game for K. Middleton
5:23.0,,,57-71,,S. Muhammad enters the game for J. Henson
5:23.0,P. Gasol enters the game for L. Aldridge,,57-71,,
5:11.0,M. Ginobili misses 2-pt shot from 10 ft,,57-71,,
5:10.0,Offensive rebound by P. Gasol,,57-71,,
5:08.0,P. Gasol makes 2-pt shot from 3 ft,2,59-71,,
4:54.0,,,59-73,2,E. Bledsoe makes 2-pt shot from 9 ft
4:38.0,B. Forbes misses 2-pt shot at rim,,59-73,,
4:38.0,Offensive rebound by P. Gasol,,59-73,,
4:35.0,P. Gasol misses 2-pt shot at rim,,59-73,,
4:34.0,Offensive rebound by P. Gasol,,59-73,,
4:34.0,P. Gasol makes 2-pt shot at rim,2,61-73,,
4:30.0,,,61-75,2,E. Bledsoe makes 2-pt shot from 1 ft
4:30.0,,,61-75,,Shooting foul by B. Forbes (drawn by E. Bledsoe)
4:30.0,,,61-76,1,E. Bledsoe makes free throw 1 of 1
4:07.0,P. Gasol makes 2-pt shot from 1 ft,2,63-76,,
3:38.0,,,63-76,,E. Bledsoe misses 2-pt shot from 18 ft
3:35.0,Defensive rebound by M. Ginobili,,63-76,,
3:28.0,T. Parker misses 2-pt shot from 16 ft,,63-76,,
3:26.0,Offensive rebound by P. Gasol,,63-76,,
3:21.0,M. Ginobili misses 3-pt shot from 25 ft,,63-76,,
3:17.0,,,63-76,,Defensive rebound by S. Muhammad
3:15.0,,,63-76,,Shooting foul by M. Ginobili (drawn by T. Maker)
3:15.0,,,63-76,,T. Maker misses free throw 1 of 2
3:15.0,,,63-76,,Offensive rebound by Team
3:15.0,,,63-76,,B. Jennings enters the game for E. Bledsoe
3:15.0,D. Green enters the game for M. Ginobili,,63-76,,
3:15.0,,,63-77,1,T. Maker makes free throw 2 of 2
2:57.0,R. Gay misses 2-pt shot from 8 ft,,63-77,,
2:54.0,Offensive rebound by R. Gay,,63-77,,
2:51.0,P. Gasol misses 2-pt shot from 1 ft,,63-77,,
2:47.0,Offensive rebound by P. Gasol,,63-77,,
2:45.0,P. Gasol makes 2-pt shot at rim,2,65-77,,
2:45.0,,,65-77,,Milwaukee full timeout
2:45.0,D. Murray enters the game for T. Parker,,65-77,,
2:28.0,,,65-77,,T. Maker misses 2-pt shot from 11 ft
2:28.0,,,65-77,,Offensive rebound by Team
2:24.0,,,65-77,,S. Muhammad misses 3-pt shot from 23 ft
2:21.0,Defensive rebound by R. Gay,,65-77,,
2:07.0,B. Forbes misses 3-pt shot from 26 ft,,65-77,,
2:06.0,Offensive rebound by Team,,65-77,,
2:06.0,,,65-77,,Loose ball foul by T. Maker (drawn by P. Gasol)
2:06.0,,,65-77,,T. Zeller enters the game for T. Maker
1:54.0,R. Gay makes 2-pt shot from 13 ft,2,67-77,,
1:37.0,,,67-79,2,S. Muhammad makes 2-pt shot from 8 ft (assist by B. Jennings)
1:24.0,P. Gasol makes 2-pt shot from 14 ft (assist by B. Forbes),2,69-79,,
1:17.0,,,69-79,,B. Jennings misses 2-pt shot from 16 ft
1:11.0,,,69-79,,Offensive rebound by S. Muhammad
1:11.0,,,69-81,2,S. Muhammad makes 2-pt shot at rim
1:02.0,P. Gasol makes 2-pt shot from 1 ft (assist by D. Murray),2,71-81,,
1:02.0,Shooting foul by J. Parker (drawn by P. Gasol),,71-81,,
1:02.0,,,71-81,,G. Antetokounmpo enters the game for J. Parker
1:02.0,P. Gasol makes free throw 1 of 1,1,72-81,,
0:48.0,,,72-81,,S. Muhammad misses 2-pt shot from 3 ft
0:48.0,,,72-81,,Offensive rebound by S. Muhammad
0:47.0,,,72-83,2,S. Muhammad makes 2-pt shot from 3 ft
0:36.0,P. Gasol misses 3-pt shot from 26 ft,,72-83,,
0:33.0,,,72-83,,Defensive rebound by B. Jennings
0:17.0,,,72-83,,Shooting foul by D. Green (drawn by S. Muhammad)
0:17.0,,,72-84,1,S. Muhammad makes free throw 1 of 2
0:17.0,,,72-85,1,S. Muhammad makes free throw 2 of 2
0:05.0,D. Green makes 3-pt shot from 26 ft (assist by B. Forbes),3,75-85,,
0:00.0,,,75-88,3,B. Jennings makes 3-pt shot from 26 ft (assist by S. Muhammad)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,D. Murray misses 2-pt shot from 13 ft,,75-88,,
11:35.0,,,75-88,,Defensive rebound by S. Muhammad
11:13.0,,,75-88,,B. Jennings misses 3-pt shot from 25 ft
11:11.0,Defensive rebound by P. Gasol,,75-88,,
11:07.0,P. Gasol makes 2-pt shot at rim (assist by D. Murray),2,77-88,,
11:07.0,Shooting foul by B. Jennings (drawn by P. Gasol),,77-88,,
11:07.0,P. Gasol misses free throw 1 of 1,,77-88,,
11:07.0,,,77-88,,Defensive rebound by G. Antetokounmpo
10:40.0,,,77-88,,B. Jennings misses 3-pt shot from 27 ft
10:36.0,Defensive rebound by D. Murray,,77-88,,
10:33.0,,,77-88,,Personal foul by T. Zeller (drawn by P. Gasol)
10:33.0,,,77-88,,K. Middleton enters the game for S. Muhammad
10:26.0,R. Gay misses 3-pt shot from 22 ft,,77-88,,
10:22.0,,,77-88,,Defensive rebound by K. Middleton
10:11.0,,,77-91,3,G. Antetokounmpo makes 3-pt shot from 24 ft (assist by T. Zeller)
9:57.0,,,77-91,,Personal foul by T. Zeller (drawn by P. Gasol)
9:57.0,,,77-91,,T. Snell enters the game for J. Terry
9:57.0,D. Bertans enters the game for R. Gay,,77-91,,
9:41.0,D. Green makes 2-pt shot from 4 ft,2,79-91,,
9:27.0,,,79-91,,K. Middleton misses 2-pt shot from 7 ft
9:22.0,,,79-91,,Offensive rebound by G. Antetokounmpo
9:19.0,,,79-91,,G. Antetokounmpo misses 2-pt shot from 8 ft
9:16.0,Defensive rebound by P. Gasol,,79-91,,
9:05.0,P. Gasol misses 2-pt shot from 15 ft,,79-91,,
9:02.0,,,79-91,,Defensive rebound by G. Antetokounmpo
8:47.0,,,79-91,,T. Zeller misses 2-pt shot from 5 ft
8:45.0,Defensive rebound by D. Bertans,,79-91,,
8:42.0,Shooting foul by T. Snell (drawn by D. Murray),,79-91,,
8:42.0,D. Murray makes free throw 1 of 2,1,80-91,,
8:42.0,,,80-91,,E. Bledsoe enters the game for B. Jennings
8:42.0,P. Mills enters the game for B. Forbes,,80-91,,
8:42.0,D. Murray makes free throw 2 of 2,1,81-91,,
8:35.0,,,81-93,2,K. Middleton makes 2-pt shot from 16 ft
8:35.0,,,81-93,,Shooting foul by P. Mills (drawn by K. Middleton)
8:35.0,,,81-93,,J. Henson enters the game for T. Zeller
8:35.0,K. Anderson enters the game for D. Bertans,,81-93,,
8:35.0,,,81-94,1,K. Middleton makes free throw 1 of 1
8:19.0,Turnover by P. Gasol (out of bounds lost ball),,81-94,,
8:02.0,,,81-96,2,K. Middleton makes 2-pt shot from 12 ft
8:02.0,San Antonio full timeout,,81-96,,
8:02.0,L. Aldridge enters the game for D. Green,,81-96,,
7:52.0,,,81-96,,Personal foul by G. Antetokounmpo (drawn by L. Aldridge)
7:52.0,L. Aldridge makes free throw 1 of 2,1,82-96,,
7:52.0,,,82-96,,J. Parker enters the game for G. Antetokounmpo
7:52.0,L. Aldridge makes free throw 2 of 2,1,83-96,,
7:29.0,,,83-96,,J. Henson misses 2-pt shot from 18 ft
7:26.0,Defensive rebound by K. Anderson,,83-96,,
7:20.0,L. Aldridge makes 2-pt shot from 2 ft (assist by P. Gasol),2,85-96,,
6:57.0,,,85-96,,K. Middleton misses 2-pt shot from 15 ft
6:57.0,Defensive rebound by P. Gasol,,85-96,,
6:38.0,L. Aldridge makes 2-pt shot from 1 ft,2,87-96,,
6:38.0,,,87-96,,Milwaukee full timeout
6:38.0,,,87-96,,J. Terry enters the game for T. Snell
6:38.0,,,87-96,,G. Antetokounmpo enters the game for J. Parker
6:29.0,,,87-96,,Shooting foul by D. Murray (drawn by E. Bledsoe)
6:29.0,,,87-97,1,E. Bledsoe makes free throw 1 of 2
6:29.0,,,87-97,,E. Bledsoe misses free throw 2 of 2
6:24.0,Defensive rebound by L. Aldridge,,87-97,,
6:10.0,L. Aldridge misses 2-pt shot from 3 ft,,87-97,,
6:08.0,,,87-97,,Defensive rebound by E. Bledsoe
6:05.0,,,87-97,,E. Bledsoe misses 2-pt shot from 2 ft
6:02.0,Defensive rebound by K. Anderson,,87-97,,
5:48.0,L. Aldridge misses 2-pt shot from 9 ft (block by J. Henson),,87-97,,
5:48.0,,,87-97,,Defensive rebound by Team
5:35.0,,,87-99,2,J. Henson makes 2-pt shot from 8 ft (assist by E. Bledsoe)
5:13.0,P. Gasol misses 2-pt shot from 11 ft,,87-99,,
5:12.0,,,87-99,,Defensive rebound by J. Henson
5:12.0,,,87-99,,Turnover by J. Henson (bad pass)
5:00.0,L. Aldridge makes 2-pt shot from 6 ft,2,89-99,,
