time,Toronto,pts.away,score,pts.home,LA Lakers
0:57.0,C. Miles makes free throw 1 of 2,1,17-24,,
0:39.0,D. Wright misses 3-pt shot from 25 ft,,17-24,,
0:37.0,,,17-24,,Defensive rebound by J. Clarkson
0:35.0,,,17-24,,J. Clarkson misses 2-pt shot from 13 ft
0:35.0,,,17-24,,Offensive rebound by K. Kuzma
0:32.0,,,17-26,2,K. Kuzma makes 2-pt shot at rim
0:30.0,Turnover by F. VanVleet (out of bounds lost ball),,17-26,,
0:14.0,,,17-26,,Turnover by J. Clarkson (traveling)
0:00.0,F. VanVleet makes 2-pt shot from 1 ft,2,19-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,C. Miles misses 3-pt shot from 24 ft,,19-26,,
11:36.0,,,19-26,,Defensive rebound by J. Hart
11:32.0,,,19-28,2,J. Hart makes 2-pt shot at rim
11:15.0,D. Wright misses 3-pt shot from 24 ft,,19-28,,
11:11.0,,,19-28,,Defensive rebound by J. Randle
11:08.0,,,19-31,3,J. Clarkson makes 3-pt shot from 24 ft (assist by J. Randle)
11:00.0,Toronto full timeout,,19-31,,
10:48.0,D. Wright makes 2-pt shot from 1 ft (assist by F. VanVleet),2,21-31,,
10:26.0,,,21-31,,J. Clarkson misses 3-pt shot from 26 ft
10:22.0,,,21-31,,Offensive rebound by C. Brewer
10:20.0,,,21-31,,C. Brewer misses 2-pt shot from 2 ft (block by C. Miles)
10:20.0,Defensive rebound by D. Wright,,21-31,,
10:13.0,C. Miles misses 2-pt shot from 4 ft (block by J. Hart),,21-31,,
10:13.0,,,21-31,,Defensive rebound by J. Randle
10:03.0,,,21-31,,Shooting foul by J. Poeltl (drawn by J. Randle)
10:03.0,,,21-32,1,J. Randle makes free throw 1 of 2
10:03.0,,,21-32,,J. Randle misses free throw 2 of 2
9:59.0,Defensive rebound by O. Anunoby,,21-32,,
9:51.0,Offensive foul by F. VanVleet (drawn by C. Brewer),,21-32,,
9:51.0,Turnover by F. VanVleet (offensive foul),,21-32,,
9:41.0,,,21-32,,Turnover by J. Clarkson (lost ball; steal by J. Poeltl)
9:41.0,,,21-32,,Loose ball foul by J. Clarkson (drawn by O. Anunoby)
9:24.0,F. VanVleet misses 2-pt shot from 3 ft,,21-32,,
9:22.0,,,21-32,,Defensive rebound by J. Randle
9:19.0,,,21-32,,Turnover by J. Randle (lost ball; steal by C. Miles)
9:15.0,J. Poeltl makes 2-pt shot at rim (assist by F. VanVleet),2,23-32,,
9:15.0,Shooting foul by J. Hart (drawn by J. Poeltl),,23-32,,
9:15.0,,,23-32,,LA Lakers full timeout
9:15.0,,,23-32,,L. Ball enters the game for J. Clarkson
9:15.0,K. Lowry enters the game for D. Wright,,23-32,,
9:15.0,J. Poeltl makes free throw 1 of 1,1,24-32,,
8:57.0,,,24-32,,Turnover by L. Ball (bad pass)
8:43.0,F. VanVleet misses 2-pt shot from 2 ft,,24-32,,
8:40.0,,,24-32,,Defensive rebound by K. Kuzma
8:34.0,,,24-34,2,J. Hart makes 2-pt shot from 1 ft (assist by K. Kuzma)
8:18.0,J. Poeltl makes 2-pt shot from 2 ft (assist by K. Lowry),2,26-34,,
8:18.0,,,26-34,,Violation by J. Randle (def goaltending)
8:03.0,,,26-36,2,K. Kuzma makes 2-pt shot from 21 ft (assist by L. Ball)
7:49.0,Turnover by K. Lowry (bad pass; steal by L. Ball),,26-36,,
7:47.0,,,26-36,,Shooting foul by C. Miles (drawn by C. Brewer)
7:47.0,,,26-37,1,C. Brewer makes free throw 1 of 2
7:47.0,,,26-37,,K. Caldwell-Pope enters the game for J. Hart
7:47.0,P. Siakam enters the game for C. Miles,,26-37,,
7:47.0,S. Ibaka enters the game for O. Anunoby,,26-37,,
7:47.0,D. DeRozan enters the game for J. Poeltl,,26-37,,
7:47.0,,,26-38,1,C. Brewer makes free throw 2 of 2
7:30.0,P. Siakam makes 2-pt shot from 1 ft (assist by K. Lowry),2,28-38,,
7:14.0,Personal foul by P. Siakam (drawn by J. Randle),,28-38,,
7:14.0,,,28-38,,B. Ingram enters the game for C. Brewer
7:03.0,,,28-38,,L. Ball misses 3-pt shot from 25 ft
6:59.0,,,28-38,,Offensive rebound by K. Kuzma
6:52.0,,,28-40,2,B. Ingram makes 2-pt shot from 1 ft
6:37.0,K. Lowry misses 3-pt shot from 25 ft,,28-40,,
6:34.0,,,28-40,,Defensive rebound by K. Kuzma
6:15.0,,,28-42,2,J. Randle makes 2-pt shot from 1 ft
5:48.0,F. VanVleet misses 2-pt shot from 12 ft,,28-42,,
5:45.0,,,28-42,,Defensive rebound by K. Kuzma
5:42.0,,,28-44,2,K. Kuzma makes 2-pt shot from 1 ft
5:29.0,Toronto full timeout,,28-44,,
5:29.0,,,28-44,,B. Lopez enters the game for K. Kuzma
5:29.0,,,28-44,,L. Nance enters the game for J. Randle
5:29.0,N. Powell enters the game for F. VanVleet,,28-44,,
5:18.0,D. DeRozan makes 2-pt shot from 12 ft,2,30-44,,
5:06.0,Personal foul by S. Ibaka (drawn by B. Lopez),,30-44,,
4:57.0,,,30-44,,K. Caldwell-Pope misses 2-pt shot from 16 ft
4:55.0,Defensive rebound by K. Lowry,,30-44,,
4:50.0,N. Powell misses 2-pt shot from 3 ft,,30-44,,
4:48.0,Offensive rebound by N. Powell,,30-44,,
4:48.0,,,30-44,,Loose ball foul by L. Nance (drawn by N. Powell)
4:39.0,D. DeRozan misses 2-pt shot from 5 ft,,30-44,,
4:37.0,Offensive rebound by D. DeRozan,,30-44,,
4:32.0,,,30-44,,Personal foul by L. Nance (drawn by K. Lowry)
4:16.0,D. DeRozan misses 3-pt shot from 23 ft,,30-44,,
4:16.0,,,30-44,,Defensive rebound by Team
4:16.0,Loose ball foul by P. Siakam (drawn by L. Nance),,30-44,,
4:16.0,,,30-44,,L. Nance misses free throw 1 of 2
4:16.0,,,30-44,,Offensive rebound by Team
4:16.0,O. Anunoby enters the game for P. Siakam,,30-44,,
4:16.0,,,30-45,1,L. Nance makes free throw 2 of 2
4:02.0,D. DeRozan misses 2-pt shot from 1 ft (block by B. Lopez),,30-45,,
3:59.0,,,30-45,,Defensive rebound by L. Nance
3:56.0,,,30-47,2,B. Ingram makes 2-pt shot from 1 ft (assist by L. Ball)
3:43.0,K. Lowry makes 3-pt shot from 24 ft,3,33-47,,
3:24.0,,,33-47,,Turnover by B. Lopez (bad pass; steal by N. Powell)
3:21.0,N. Powell misses 2-pt shot from 2 ft,,33-47,,
3:15.0,Offensive rebound by S. Ibaka,,33-47,,
3:15.0,S. Ibaka makes 2-pt shot at rim,2,35-47,,
3:13.0,,,35-47,,Turnover by L. Ball (out of bounds lost ball)
3:13.0,,,35-47,,K. Kuzma enters the game for L. Nance
2:53.0,N. Powell makes 2-pt shot from 2 ft (assist by O. Anunoby),2,37-47,,
2:53.0,Shooting foul by B. Ingram (drawn by N. Powell),,37-47,,
2:53.0,N. Powell makes free throw 1 of 1,1,38-47,,
2:46.0,,,38-47,,Turnover by L. Ball (bad pass; steal by K. Lowry)
2:23.0,K. Lowry misses 2-pt shot from 3 ft (block by B. Lopez),,38-47,,
2:23.0,Offensive rebound by Team,,38-47,,
2:22.0,Turnover by Team (shot clock),,38-47,,
2:17.0,,,38-47,,Shooting foul by O. Anunoby (drawn by B. Lopez)
2:17.0,,,38-47,,B. Lopez misses free throw 1 of 2
2:17.0,,,38-47,,Offensive rebound by Team
2:17.0,,,38-48,1,B. Lopez makes free throw 2 of 2
1:59.0,D. DeRozan makes 2-pt shot from 17 ft (assist by K. Lowry),2,40-48,,
1:37.0,,,40-48,,B. Ingram misses 2-pt shot from 1 ft
1:35.0,Defensive rebound by K. Lowry,,40-48,,
1:32.0,,,40-48,,Personal block foul by K. Caldwell-Pope (drawn by D. DeRozan)
1:32.0,D. DeRozan makes free throw 1 of 2,1,41-48,,
1:32.0,D. DeRozan makes free throw 2 of 2,1,42-48,,
1:14.0,,,42-48,,B. Lopez misses 2-pt shot from 3 ft
1:11.0,,,42-48,,Offensive rebound by B. Lopez
1:11.0,,,42-50,2,B. Lopez makes 2-pt shot at rim
0:53.0,S. Ibaka misses 2-pt shot from 17 ft,,42-50,,
0:50.0,,,42-50,,Defensive rebound by B. Lopez
0:48.0,,,42-50,,Shooting foul by N. Powell (drawn by B. Ingram)
0:48.0,,,42-50,,B. Ingram misses free throw 1 of 2
0:48.0,,,42-50,,Offensive rebound by Team
0:48.0,,,42-51,1,B. Ingram makes free throw 2 of 2
0:37.0,O. Anunoby makes 2-pt shot from 1 ft (assist by K. Lowry),2,44-51,,
0:37.0,,,44-51,,Shooting block foul by K. Caldwell-Pope (drawn by O. Anunoby)
0:37.0,O. Anunoby makes free throw 1 of 1,1,45-51,,
0:17.0,,,45-51,,K. Kuzma misses 3-pt shot from 24 ft
0:15.0,Defensive rebound by Team,,45-51,,
0:03.0,K. Lowry misses 3-pt shot from 27 ft,,45-51,,
0:03.0,,,45-51,,Defensive rebound by L. Ball
0:00.0,,,45-51,,Turnover by L. Ball (bad pass; steal by D. DeRozan)
0:00.0,D. DeRozan misses 3-pt shot from 35 ft,,45-51,,
0:00.0,Offensive rebound by Team,,45-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Offensive charge foul by N. Powell (drawn by L. Nance),,45-51,,
11:42.0,Turnover by N. Powell (offensive foul),,45-51,,
11:34.0,,,45-51,,Turnover by B. Ingram (bad pass; steal by P. Siakam)
11:26.0,S. Ibaka makes 2-pt shot from 1 ft (assist by D. DeRozan),2,47-51,,
11:22.0,,,47-51,,K. Kuzma enters the game for L. Nance
11:09.0,,,47-51,,Turnover by K. Kuzma (bad pass; steal by D. DeRozan)
10:59.0,N. Powell misses 3-pt shot from 25 ft,,47-51,,
10:55.0,,,47-51,,Defensive rebound by L. Ball
10:40.0,,,47-51,,Shooting foul by K. Lowry (drawn by B. Ingram)
10:40.0,,,47-52,1,B. Ingram makes free throw 1 of 2
10:40.0,,,47-53,1,B. Ingram makes free throw 2 of 2
10:18.0,Turnover by N. Powell (lost ball; steal by B. Lopez),,47-53,,
10:18.0,Personal foul by N. Powell (drawn by B. Lopez),,47-53,,
10:04.0,,,47-53,,K. Caldwell-Pope misses 2-pt shot from 13 ft
10:00.0,Defensive rebound by S. Ibaka,,47-53,,
9:52.0,K. Lowry misses 2-pt shot from 1 ft,,47-53,,
9:50.0,,,47-53,,Defensive rebound by L. Ball
9:48.0,,,47-53,,Turnover by B. Ingram (bad pass; steal by P. Siakam)
9:42.0,N. Powell misses 2-pt shot from 2 ft,,47-53,,
9:37.0,,,47-53,,Defensive rebound by B. Ingram
9:35.0,,,47-53,,K. Kuzma misses 2-pt shot from 2 ft
9:31.0,Defensive rebound by K. Lowry,,47-53,,
9:23.0,K. Lowry makes 2-pt shot from 1 ft (assist by P. Siakam),2,49-53,,
8:59.0,,,49-53,,K. Kuzma misses 2-pt shot from 4 ft
8:56.0,Defensive rebound by K. Lowry,,49-53,,
8:53.0,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry),2,51-53,,
8:53.0,Shooting foul by B. Lopez (drawn by D. DeRozan),,51-53,,
8:53.0,,,51-53,,LA Lakers full timeout
8:53.0,D. DeRozan makes free throw 1 of 1,1,52-53,,
8:40.0,,,52-56,3,L. Ball makes 3-pt shot from 25 ft (assist by B. Lopez)
8:24.0,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan),3,55-56,,
8:11.0,,,55-56,,Turnover by K. Kuzma (traveling)
8:05.0,D. DeRozan makes 2-pt shot from 14 ft,2,57-56,,
7:52.0,Personal foul by S. Ibaka (drawn by B. Lopez),,57-56,,
7:52.0,,,57-56,,L. Nance enters the game for K. Kuzma
7:42.0,,,57-58,2,B. Lopez makes 2-pt shot at rim
7:23.0,K. Lowry misses 2-pt shot from 2 ft,,57-58,,
7:21.0,,,57-58,,Defensive rebound by B. Lopez
7:15.0,,,57-58,,B. Ingram misses 3-pt shot from 22 ft
7:10.0,Defensive rebound by D. DeRozan,,57-58,,
7:04.0,D. DeRozan misses 2-pt shot from 20 ft,,57-58,,
7:02.0,,,57-58,,Defensive rebound by K. Caldwell-Pope
7:02.0,Personal take foul by D. DeRozan (drawn by K. Caldwell-Pope),,57-58,,
6:43.0,,,57-58,,B. Lopez misses 2-pt shot from 2 ft
6:43.0,Defensive rebound by Team,,57-58,,
6:25.0,N. Powell misses 3-pt shot from 24 ft,,57-58,,
6:21.0,,,57-58,,Defensive rebound by L. Nance
6:09.0,,,57-58,,B. Lopez misses 2-pt shot from 3 ft
6:06.0,Defensive rebound by S. Ibaka,,57-58,,
5:59.0,P. Siakam makes 2-pt shot at rim (assist by K. Lowry),2,59-58,,
5:43.0,,,59-58,,L. Ball misses 2-pt shot from 7 ft
5:39.0,,,59-58,,Offensive rebound by B. Ingram
5:39.0,,,59-58,,B. Ingram misses 2-pt shot at rim
5:38.0,Defensive rebound by S. Ibaka,,59-58,,
5:32.0,,,59-58,,Personal foul by K. Caldwell-Pope (drawn by D. DeRozan)
5:32.0,,,59-58,,K. Kuzma enters the game for B. Lopez
5:22.0,D. DeRozan misses 2-pt shot from 15 ft,,59-58,,
5:17.0,,,59-58,,Defensive rebound by K. Kuzma
5:08.0,,,59-58,,K. Caldwell-Pope misses 3-pt shot from 23 ft
5:05.0,Defensive rebound by S. Ibaka,,59-58,,
5:01.0,P. Siakam makes 2-pt shot at rim (assist by K. Lowry),2,61-58,,
5:01.0,,,61-58,,LA Lakers full timeout
5:01.0,,,61-58,,J. Randle enters the game for K. Caldwell-Pope
5:01.0,,,61-58,,J. Clarkson enters the game for L. Ball
5:01.0,,,61-58,,C. Brewer enters the game for L. Nance
5:01.0,,,61-58,,J. Hart enters the game for B. Ingram
5:01.0,J. Poeltl enters the game for N. Powell,,61-58,,
5:01.0,C. Miles enters the game for P. Siakam,,61-58,,
4:50.0,,,61-60,2,J. Clarkson makes 2-pt shot from 21 ft
4:33.0,S. Ibaka makes 2-pt shot from 1 ft (assist by D. DeRozan),2,63-60,,
4:17.0,,,63-60,,Shooting foul by J. Poeltl (drawn by J. Randle)
4:17.0,,,63-61,1,J. Randle makes free throw 1 of 2
4:17.0,,,63-62,1,J. Randle makes free throw 2 of 2
4:05.0,Turnover by D. DeRozan (lost ball; steal by J. Randle),,63-62,,
3:53.0,,,63-62,,Shooting foul by C. Miles (drawn by J. Clarkson)
3:53.0,,,63-63,1,J. Clarkson makes free throw 1 of 2
3:53.0,,,63-64,1,J. Clarkson makes free throw 2 of 2
3:28.0,K. Lowry misses 2-pt shot from 1 ft,,63-64,,
3:25.0,Offensive rebound by J. Poeltl,,63-64,,
3:25.0,J. Poeltl misses 2-pt shot at rim,,63-64,,
3:25.0,Offensive rebound by S. Ibaka,,63-64,,
3:23.0,S. Ibaka makes 2-pt shot at rim,2,65-64,,
3:20.0,,,65-66,2,J. Hart makes 2-pt shot at rim
3:11.0,C. Miles misses 3-pt shot from 23 ft,,65-66,,
3:11.0,,,65-66,,Defensive rebound by K. Kuzma
3:02.0,,,65-66,,Offensive charge foul by K. Kuzma (drawn by C. Miles)
3:02.0,,,65-66,,Turnover by K. Kuzma (offensive foul)
2:40.0,K. Lowry misses 2-pt shot from 20 ft,,65-66,,
2:37.0,Offensive rebound by Team,,65-66,,
2:37.0,D. Wright enters the game for K. Lowry,,65-66,,
2:32.0,D. DeRozan makes 2-pt shot from 15 ft,2,67-66,,
2:11.0,,,67-66,,J. Clarkson misses 3-pt shot from 27 ft
2:09.0,Defensive rebound by J. Poeltl,,67-66,,
1:59.0,C. Miles makes 3-pt shot from 23 ft (assist by D. Wright),3,70-66,,
1:34.0,,,70-66,,Turnover by K. Kuzma (traveling)
1:34.0,,,70-66,,T. Ennis enters the game for J. Clarkson
1:34.0,O. Anunoby enters the game for S. Ibaka,,70-66,,
1:22.0,D. DeRozan misses 2-pt shot from 17 ft,,70-66,,
1:17.0,,,70-66,,Defensive rebound by T. Ennis
1:11.0,,,70-69,3,K. Kuzma makes 3-pt shot from 25 ft (assist by C. Brewer)
1:00.0,Turnover by D. DeRozan (out of bounds lost ball),,70-69,,
0:45.0,,,70-71,2,J. Randle makes 2-pt shot at rim (assist by T. Ennis)
0:37.0,D. DeRozan makes 2-pt shot from 1 ft,2,72-71,,
0:23.0,,,72-71,,K. Kuzma misses 3-pt shot from 24 ft
0:21.0,Defensive rebound by Team,,72-71,,
0:06.0,,,72-71,,Personal foul by C. Brewer (drawn by D. DeRozan)
0:03.0,C. Miles misses 3-pt shot from 31 ft,,72-71,,
0:00.0,,,72-71,,Defensive rebound by T. Ennis
0:00.0,,,72-71,,T. Ennis misses 3-pt shot from 53 ft
0:00.0,,,72-71,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,72-73,2,K. Kuzma makes 2-pt shot from 4 ft (assist by C. Brewer)
11:25.0,Turnover by D. Wright (bad pass; steal by J. Hart),,72-73,,
11:21.0,,,72-75,2,J. Randle makes 2-pt shot from 1 ft (assist by C. Brewer)
11:21.0,,,72-75,,Shooting foul by F. VanVleet (drawn by J. Randle)
11:21.0,,,72-76,1,J. Randle makes free throw 1 of 1
11:02.0,J. Poeltl makes 2-pt shot from 1 ft (assist by F. VanVleet),2,74-76,,
10:53.0,,,74-76,,T. Ennis misses 2-pt shot from 2 ft (block by J. Poeltl)
10:48.0,Defensive rebound by J. Poeltl,,74-76,,
10:40.0,C. Miles makes 2-pt shot from 1 ft (assist by J. Poeltl),2,76-76,,
10:28.0,Personal foul by F. VanVleet (drawn by J. Randle),,76-76,,
10:15.0,,,76-76,,J. Randle misses 3-pt shot from 26 ft
10:11.0,Defensive rebound by C. Miles,,76-76,,
10:03.0,O. Anunoby misses 2-pt shot from 3 ft (block by J. Randle),,76-76,,
9:59.0,,,76-76,,Defensive rebound by J. Hart
9:59.0,,,76-76,,Turnover by T. Ennis (bad pass; steal by F. VanVleet)
9:59.0,Shooting foul by J. Randle (drawn by O. Anunoby),,76-76,,
9:59.0,O. Anunoby makes free throw 1 of 2,1,77-76,,
9:59.0,O. Anunoby misses free throw 2 of 2,,77-76,,
9:57.0,,,77-76,,Defensive rebound by K. Kuzma
9:46.0,,,77-76,,Shooting foul by J. Poeltl (drawn by C. Brewer)
9:46.0,,,77-76,,C. Brewer misses free throw 1 of 2
9:46.0,,,77-76,,Offensive rebound by Team
9:46.0,,,77-77,1,C. Brewer makes free throw 2 of 2
9:32.0,F. VanVleet misses 3-pt shot from 25 ft,,77-77,,
9:28.0,Offensive rebound by J. Poeltl,,77-77,,
9:27.0,C. Miles misses 3-pt shot from 25 ft,,77-77,,
9:25.0,,,77-77,,Defensive rebound by J. Hart
9:25.0,Personal foul by C. Miles (drawn by J. Hart),,77-77,,
9:11.0,,,77-77,,T. Ennis misses 2-pt shot from 2 ft
9:09.0,Defensive rebound by J. Poeltl,,77-77,,
8:57.0,O. Anunoby misses 2-pt shot from 15 ft,,77-77,,
8:53.0,,,77-77,,Defensive rebound by J. Randle
8:47.0,,,77-79,2,K. Kuzma makes 2-pt shot from 11 ft (assist by J. Randle)
8:34.0,,,77-79,,L. Ball enters the game for T. Ennis
8:34.0,,,77-79,,LA Lakers full timeout
8:34.0,K. Lowry enters the game for D. Wright,,77-79,,
8:31.0,Turnover by J. Poeltl (lost ball; steal by J. Hart),,77-79,,
8:14.0,Jump ball: J. Randle vs. F. VanVleet (L. Ball gains possession),,,,Jump ball: J. Randle vs. F. VanVleet (L. Ball gains possession)
8:09.0,,,77-79,,K. Kuzma misses 3-pt shot from 25 ft
8:05.0,,,77-79,,Offensive rebound by L. Ball
7:50.0,,,77-79,,J. Randle misses 2-pt shot from 2 ft (block by J. Poeltl)
7:47.0,Defensive rebound by K. Lowry,,77-79,,
7:45.0,C. Miles makes 3-pt shot from 26 ft (assist by K. Lowry),3,80-79,,
7:29.0,,,80-81,2,J. Randle makes 2-pt shot from 1 ft (assist by L. Ball)
7:11.0,O. Anunoby misses 3-pt shot from 24 ft,,80-81,,
7:08.0,,,80-81,,Defensive rebound by J. Hart
6:56.0,,,80-83,2,J. Hart makes 2-pt shot from 17 ft
6:38.0,O. Anunoby makes 3-pt shot from 23 ft (assist by F. VanVleet),3,83-83,,
6:26.0,,,83-83,,L. Nance enters the game for K. Kuzma
6:26.0,,,83-83,,K. Caldwell-Pope enters the game for J. Hart
6:26.0,,,83-83,,B. Lopez enters the game for J. Randle
6:26.0,S. Ibaka enters the game for O. Anunoby,,83-83,,
6:26.0,D. DeRozan enters the game for F. VanVleet,,83-83,,
6:26.0,P. Siakam enters the game for J. Poeltl,,83-83,,
6:25.0,,,83-83,,Offensive foul by B. Lopez (drawn by S. Ibaka)
6:25.0,,,83-83,,Turnover by B. Lopez (offensive foul)
6:10.0,D. DeRozan makes 2-pt shot from 18 ft,2,85-83,,
5:51.0,,,85-83,,L. Ball misses 2-pt shot from 19 ft
5:47.0,Defensive rebound by D. DeRozan,,85-83,,
5:41.0,D. DeRozan makes 2-pt shot from 15 ft,2,87-83,,
5:27.0,,,87-83,,B. Lopez misses 2-pt shot from 2 ft (block by C. Miles)
