time,Chicago,pts.away,score,pts.home,Minnesota
5:11.0,,,12-19,,Shooting foul by D. Nwaba (drawn by A. Wiggins)
5:11.0,,,12-20,1,A. Wiggins makes free throw 1 of 1
4:49.0,L. Markkanen misses 2-pt shot from 14 ft,,12-20,,
4:46.0,,,12-20,,Defensive rebound by N. Bjelica
4:37.0,,,12-20,,Turnover by K. Towns (bad pass; steal by K. Dunn)
4:33.0,K. Dunn misses 2-pt shot at rim,,12-20,,
4:31.0,Offensive rebound by D. Nwaba,,12-20,,
4:30.0,D. Nwaba makes 2-pt shot from 1 ft,2,14-20,,
4:20.0,,,14-22,2,T. Gibson makes 2-pt shot at rim (assist by N. Bjelica)
3:57.0,Turnover by L. Markkanen (out of bounds lost ball),,14-22,,
3:57.0,,,14-22,,G. Dieng enters the game for K. Towns
3:57.0,D. Valentine enters the game for D. Nwaba,,14-22,,
3:39.0,,,14-25,3,A. Wiggins makes 3-pt shot from 24 ft (assist by T. Gibson)
3:18.0,C. Felicio makes 2-pt shot from 1 ft (assist by Z. LaVine),2,16-25,,
3:11.0,Personal foul by C. Felicio (drawn by J. Teague),,16-25,,
3:11.0,,,16-25,,J. Crawford enters the game for N. Bjelica
3:11.0,B. Portis enters the game for K. Dunn,,16-25,,
3:11.0,C. Payne enters the game for C. Felicio,,16-25,,
3:07.0,,,16-27,2,J. Teague makes 2-pt shot from 1 ft
2:52.0,L. Markkanen misses 2-pt shot from 21 ft,,16-27,,
2:50.0,,,16-27,,Defensive rebound by T. Gibson
2:34.0,,,16-27,,A. Wiggins misses 3-pt shot from 25 ft
2:32.0,Defensive rebound by Team,,16-27,,
2:32.0,,,16-27,,Minnesota full timeout
2:32.0,,,16-27,,T. Jones enters the game for J. Teague
2:32.0,D. Nwaba enters the game for Z. LaVine,,16-27,,
2:32.0,N. Vonleh enters the game for L. Markkanen,,16-27,,
2:20.0,D. Valentine makes 3-pt shot from 25 ft (assist by B. Portis),3,19-27,,
2:00.0,,,19-27,,G. Dieng misses 3-pt shot from 23 ft
1:58.0,Defensive rebound by N. Vonleh,,19-27,,
1:46.0,B. Portis misses 2-pt shot from 21 ft,,19-27,,
1:43.0,,,19-27,,Defensive rebound by G. Dieng
1:36.0,,,19-29,2,T. Gibson makes 2-pt shot from 2 ft (assist by T. Jones)
1:36.0,,,19-29,,Shooting foul by B. Portis (drawn by T. Gibson)
1:36.0,,,19-29,,T. Gibson misses free throw 1 of 1
1:34.0,Defensive rebound by B. Portis,,19-29,,
1:25.0,D. Valentine misses 2-pt shot from 12 ft,,19-29,,
1:21.0,,,19-29,,Defensive rebound by T. Jones
1:19.0,,,19-31,2,A. Wiggins makes 2-pt shot at rim (assist by T. Jones)
1:19.0,,,19-31,,Shooting foul by D. Valentine (drawn by A. Wiggins)
1:19.0,,,19-31,,A. Wiggins misses free throw 1 of 1
1:17.0,Defensive rebound by D. Nwaba,,19-31,,
1:05.0,N. Vonleh makes 3-pt shot from 26 ft (assist by D. Valentine),3,22-31,,
0:48.0,,,22-31,,T. Gibson misses 2-pt shot from 2 ft
0:46.0,Defensive rebound by N. Vonleh,,22-31,,
0:42.0,Turnover by D. Nwaba (bad pass; steal by T. Jones),,22-31,,
0:39.0,,,22-31,,Turnover by G. Dieng (bad pass)
0:39.0,,,22-31,,K. Towns enters the game for T. Gibson
0:25.0,B. Portis makes 2-pt shot from 7 ft,2,24-31,,
0:03.0,,,24-31,,A. Wiggins misses 2-pt shot from 18 ft
0:01.0,Defensive rebound by N. Vonleh,,24-31,,
0:00.0,D. Valentine misses 3-pt shot from 58 ft,,24-31,,
0:00.0,Offensive rebound by Team,,24-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,B. Portis makes 2-pt shot from 16 ft (assist by D. Valentine),2,26-31,,
11:18.0,,,26-33,2,N. Bjelica makes 2-pt shot from 9 ft
11:06.0,Turnover by B. Portis (bad pass),,26-33,,
10:52.0,,,26-33,,N. Bjelica misses 3-pt shot from 25 ft
10:50.0,Defensive rebound by Team,,26-33,,
10:50.0,,,26-33,,Loose ball foul by K. Towns (drawn by N. Vonleh)
10:32.0,D. Nwaba misses 2-pt shot from 1 ft,,26-33,,
10:29.0,,,26-33,,Defensive rebound by G. Dieng
10:23.0,,,26-35,2,J. Crawford makes 2-pt shot from 20 ft
10:14.0,Shooting foul by N. Bjelica (drawn by D. Nwaba),,26-35,,
10:14.0,D. Nwaba makes free throw 1 of 2,1,27-35,,
10:14.0,D. Nwaba makes free throw 2 of 2,1,28-35,,
10:00.0,,,28-37,2,K. Towns makes 2-pt shot from 14 ft (assist by N. Bjelica)
9:48.0,C. Payne misses 3-pt shot from 25 ft,,28-37,,
9:48.0,Offensive rebound by N. Vonleh,,28-37,,
9:45.0,C. Payne makes 2-pt shot at rim (assist by N. Vonleh),2,30-37,,
9:34.0,,,30-37,,K. Towns misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by D. Nwaba,,30-37,,
9:23.0,N. Vonleh makes 3-pt shot from 25 ft (assist by D. Valentine),3,33-37,,
9:01.0,,,33-40,3,J. Crawford makes 3-pt shot from 25 ft (assist by N. Bjelica)
8:48.0,B. Portis misses 3-pt shot from 25 ft,,33-40,,
8:44.0,,,33-40,,Defensive rebound by G. Dieng
8:40.0,,,33-40,,J. Crawford misses 3-pt shot from 24 ft
8:37.0,Defensive rebound by B. Portis,,33-40,,
8:32.0,D. Valentine misses 3-pt shot from 25 ft,,33-40,,
8:28.0,,,33-40,,Defensive rebound by G. Dieng
8:11.0,,,33-42,2,G. Dieng makes 2-pt shot from 18 ft (assist by T. Jones)
8:07.0,Chicago full timeout,,33-42,,
8:07.0,C. Felicio enters the game for C. Payne,,33-42,,
8:07.0,Z. LaVine enters the game for N. Vonleh,,33-42,,
8:07.0,K. Dunn enters the game for D. Valentine,,33-42,,
7:55.0,K. Dunn makes 3-pt shot from 23 ft (assist by Z. LaVine),3,36-42,,
7:41.0,,,36-42,,J. Teague enters the game for T. Jones
7:41.0,L. Markkanen enters the game for B. Portis,,36-42,,
7:33.0,,,36-42,,K. Towns misses 3-pt shot from 23 ft
7:29.0,,,36-42,,Offensive rebound by G. Dieng
7:26.0,,,36-42,,K. Towns misses 2-pt shot from 20 ft
7:24.0,Defensive rebound by Z. LaVine,,36-42,,
7:17.0,D. Nwaba makes 2-pt shot from 1 ft (assist by Z. LaVine),2,38-42,,
7:06.0,,,38-42,,Shooting foul by K. Dunn (drawn by J. Teague)
7:06.0,,,38-42,,J. Teague misses free throw 1 of 2
7:06.0,,,38-42,,Offensive rebound by Team
7:06.0,,,38-42,,T. Gibson enters the game for K. Towns
7:06.0,,,38-43,1,J. Teague makes free throw 2 of 2
6:54.0,C. Felicio makes 2-pt shot at rim (assist by Z. LaVine),2,40-43,,
6:34.0,,,40-43,,G. Dieng misses 2-pt shot from 14 ft
6:31.0,Defensive rebound by K. Dunn,,40-43,,
6:24.0,K. Dunn makes 2-pt shot from 21 ft,2,42-43,,
6:10.0,,,42-45,2,J. Teague makes 2-pt shot from 7 ft
6:03.0,Z. LaVine makes 2-pt shot at rim (assist by K. Dunn),2,44-45,,
5:47.0,,,44-47,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Crawford)
5:28.0,Z. LaVine makes 2-pt shot from 4 ft,2,46-47,,
5:12.0,,,46-47,,N. Bjelica misses 3-pt shot from 23 ft
5:09.0,Defensive rebound by D. Nwaba,,46-47,,
5:06.0,D. Nwaba makes 2-pt shot from 2 ft,2,48-47,,
4:58.0,,,48-47,,Minnesota full timeout
4:58.0,,,48-47,,A. Wiggins enters the game for G. Dieng
4:58.0,,,48-47,,K. Towns enters the game for J. Crawford
4:38.0,,,48-47,,J. Teague misses 2-pt shot from 1 ft (block by C. Felicio)
4:38.0,,,48-47,,Offensive rebound by Team
4:38.0,,,48-47,,Turnover by Team (shot clock)
4:15.0,Z. LaVine misses 3-pt shot from 28 ft,,48-47,,
4:12.0,,,48-47,,Defensive rebound by K. Towns
3:57.0,,,48-47,,J. Teague misses 2-pt shot from 6 ft
3:53.0,,,48-47,,Offensive rebound by T. Gibson
3:53.0,,,48-49,2,T. Gibson makes 2-pt shot at rim
3:46.0,Z. LaVine makes 2-pt shot from 3 ft,2,50-49,,
3:21.0,,,50-51,2,J. Teague makes 2-pt shot from 3 ft (assist by T. Gibson)
3:12.0,K. Dunn misses 3-pt shot from 25 ft,,50-51,,
3:10.0,,,50-51,,Defensive rebound by T. Gibson
3:00.0,,,50-51,,Turnover by K. Towns (traveling)
3:00.0,C. Payne enters the game for D. Nwaba,,50-51,,
3:00.0,D. Valentine enters the game for K. Dunn,,50-51,,
2:43.0,C. Payne misses 2-pt shot from 22 ft,,50-51,,
2:40.0,,,50-51,,Defensive rebound by K. Towns
2:34.0,,,50-51,,J. Teague misses 3-pt shot from 24 ft
2:32.0,Defensive rebound by Z. LaVine,,50-51,,
2:28.0,,,50-51,,Personal foul by A. Wiggins (drawn by Z. LaVine)
2:28.0,B. Portis enters the game for C. Felicio,,50-51,,
2:22.0,Shooting foul by N. Bjelica (drawn by B. Portis),,50-51,,
2:22.0,B. Portis makes free throw 1 of 2,1,51-51,,
2:22.0,,,51-51,,J. Crawford enters the game for N. Bjelica
2:22.0,B. Portis makes free throw 2 of 2,1,52-51,,
2:15.0,,,52-54,3,A. Wiggins makes 3-pt shot from 25 ft
2:05.0,Z. LaVine makes 2-pt shot from 2 ft (assist by C. Payne),2,54-54,,
2:05.0,Shooting foul by T. Gibson (drawn by Z. LaVine),,54-54,,
2:05.0,Z. LaVine makes free throw 1 of 1,1,55-54,,
2:00.0,Personal block foul by Z. LaVine (drawn by A. Wiggins),,55-54,,
1:53.0,,,55-54,,Shooting foul by C. Payne (drawn by J. Teague)
1:53.0,,,55-55,1,J. Teague makes free throw 1 of 2
1:53.0,,,55-56,1,J. Teague makes free throw 2 of 2
1:38.0,L. Markkanen misses 3-pt shot from 23 ft,,55-56,,
1:36.0,,,55-56,,Defensive rebound by A. Wiggins
1:28.0,,,55-56,,Turnover by A. Wiggins (lost ball; steal by L. Markkanen)
1:23.0,B. Portis makes 2-pt shot from 2 ft (assist by Z. LaVine),2,57-56,,
1:08.0,,,57-58,2,A. Wiggins makes 2-pt shot from 1 ft
0:58.0,B. Portis makes 3-pt shot from 25 ft (assist by C. Payne),3,60-58,,
0:50.0,,,60-60,2,K. Towns makes 2-pt shot from 4 ft (assist by J. Teague)
0:44.0,Z. LaVine misses 3-pt shot from 26 ft,,60-60,,
0:41.0,,,60-60,,Defensive rebound by K. Towns
0:34.0,,,60-60,,K. Towns misses 3-pt shot from 25 ft
0:30.0,Defensive rebound by C. Payne,,60-60,,
0:14.0,C. Payne makes 2-pt shot at rim,2,62-60,,
0:01.0,,,62-60,,J. Crawford misses 2-pt shot from 18 ft
0:01.0,Defensive rebound by B. Portis,,62-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,L. Markkanen misses 3-pt shot from 22 ft,,62-60,,
11:37.0,,,62-60,,Defensive rebound by A. Wiggins
11:26.0,,,62-60,,K. Towns misses 3-pt shot from 22 ft
11:22.0,,,62-60,,Offensive rebound by T. Gibson
11:22.0,,,62-60,,T. Gibson misses 2-pt shot from 1 ft (block by K. Dunn)
11:19.0,Defensive rebound by Z. LaVine,,62-60,,
11:16.0,C. Felicio misses 2-pt shot from 1 ft,,62-60,,
11:14.0,,,62-60,,Defensive rebound by N. Bjelica
11:09.0,,,62-60,,Turnover by K. Towns (bad pass)
10:43.0,Z. LaVine misses 2-pt shot from 15 ft,,62-60,,
10:41.0,,,62-60,,Defensive rebound by K. Towns
10:37.0,,,62-60,,K. Towns misses 2-pt shot from 3 ft (block by L. Markkanen)
10:36.0,,,62-60,,Offensive rebound by T. Gibson
10:36.0,,,62-60,,Shooting foul by D. Nwaba (drawn by T. Gibson)
10:36.0,,,62-61,1,T. Gibson makes free throw 1 of 2
10:36.0,,,62-61,,T. Gibson misses free throw 2 of 2
10:33.0,Defensive rebound by L. Markkanen,,62-61,,
10:20.0,D. Nwaba makes 2-pt shot from 6 ft,2,64-61,,
10:07.0,,,64-61,,N. Bjelica misses 3-pt shot from 22 ft
10:04.0,Defensive rebound by K. Dunn,,64-61,,
10:01.0,L. Markkanen makes 2-pt shot from 1 ft (assist by K. Dunn),2,66-61,,
9:51.0,,,66-61,,A. Wiggins misses 3-pt shot from 25 ft
9:51.0,Defensive rebound by Team,,66-61,,
9:38.0,Z. LaVine misses 2-pt shot from 6 ft,,66-61,,
9:35.0,,,66-61,,Defensive rebound by N. Bjelica
9:27.0,,,66-63,2,J. Teague makes 2-pt shot from 1 ft
8:57.0,L. Markkanen misses 2-pt shot at rim,,66-63,,
8:55.0,,,66-63,,Defensive rebound by J. Teague
8:48.0,,,66-66,3,J. Teague makes 3-pt shot from 25 ft
8:27.0,Z. LaVine misses 2-pt shot from 5 ft,,66-66,,
8:25.0,,,66-66,,Defensive rebound by N. Bjelica
8:20.0,,,66-66,,J. Teague misses 2-pt shot from 4 ft (block by K. Dunn)
8:16.0,Defensive rebound by L. Markkanen,,66-66,,
8:15.0,D. Nwaba makes 2-pt shot at rim,2,68-66,,
8:15.0,,,68-66,,Technical foul by J. Teague
8:15.0,Z. LaVine makes technical free throw,1,69-66,,
8:03.0,,,69-66,,Shooting foul by K. Dunn (drawn by T. Gibson)
8:03.0,,,69-67,1,T. Gibson makes free throw 1 of 2
8:03.0,,,69-68,1,T. Gibson makes free throw 2 of 2
7:50.0,K. Dunn misses 2-pt shot at rim,,69-68,,
7:48.0,,,69-68,,Defensive rebound by K. Towns
7:42.0,,,69-68,,Turnover by A. Wiggins (lost ball; steal by Z. LaVine)
7:39.0,Shooting foul by J. Teague (drawn by D. Nwaba),,69-68,,
7:39.0,D. Nwaba misses free throw 1 of 2,,69-68,,
7:39.0,Offensive rebound by Team,,69-68,,
7:39.0,D. Nwaba misses free throw 2 of 2,,69-68,,
7:35.0,Offensive rebound by D. Nwaba,,69-68,,
7:28.0,C. Felicio makes 2-pt shot at rim (assist by Z. LaVine),2,71-68,,
7:19.0,,,71-68,,N. Bjelica misses 2-pt shot from 2 ft (block by C. Felicio)
7:14.0,Defensive rebound by Z. LaVine,,71-68,,
7:02.0,Turnover by D. Nwaba (bad pass; steal by T. Gibson),,71-68,,
6:54.0,,,71-68,,A. Wiggins misses 2-pt shot from 2 ft
6:50.0,,,71-68,,Offensive rebound by K. Towns
6:50.0,,,71-70,2,K. Towns makes 2-pt shot at rim
6:44.0,Turnover by K. Dunn (traveling),,71-70,,
6:44.0,,,71-70,,Minnesota full timeout
6:32.0,,,71-70,,K. Towns misses 3-pt shot from 23 ft
6:30.0,Defensive rebound by D. Nwaba,,71-70,,
6:24.0,Z. LaVine misses 2-pt shot from 1 ft (block by K. Towns),,71-70,,
6:21.0,,,71-70,,Defensive rebound by J. Teague
6:18.0,,,71-72,2,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Teague)
5:52.0,Turnover by Team (shot clock),,71-72,,
5:37.0,,,71-74,2,K. Towns makes 2-pt shot from 1 ft (assist by T. Gibson)
5:10.0,Shooting foul by N. Bjelica (drawn by L. Markkanen),,71-74,,
5:10.0,L. Markkanen misses free throw 1 of 2,,71-74,,
5:10.0,Offensive rebound by Team,,71-74,,
5:10.0,B. Portis enters the game for C. Felicio,,71-74,,
5:10.0,D. Valentine enters the game for D. Nwaba,,71-74,,
5:10.0,L. Markkanen makes free throw 2 of 2,1,72-74,,
4:55.0,,,72-76,2,K. Towns makes 2-pt shot from 23 ft
4:33.0,B. Portis misses 2-pt shot from 17 ft,,72-76,,
4:31.0,,,72-76,,Defensive rebound by K. Towns
4:26.0,,,72-76,,Turnover by N. Bjelica (out of bounds lost ball)
4:14.0,Shooting foul by K. Towns (drawn by Z. LaVine),,72-76,,
4:14.0,Z. LaVine makes free throw 1 of 2,1,73-76,,
4:14.0,Z. LaVine makes free throw 2 of 2,1,74-76,,
4:01.0,,,74-76,,N. Bjelica misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by L. Markkanen,,74-76,,
3:50.0,B. Portis makes 2-pt shot from 1 ft,2,76-76,,
3:50.0,,,76-76,,Minnesota full timeout
3:50.0,,,76-76,,G. Dieng enters the game for K. Towns
3:50.0,D. Nwaba enters the game for Z. LaVine,,76-76,,
3:39.0,,,76-76,,J. Teague misses 3-pt shot from 25 ft
3:35.0,Defensive rebound by L. Markkanen,,76-76,,
3:12.0,Turnover by D. Valentine (bad pass; steal by A. Wiggins),,76-76,,
2:57.0,Violation by D. Nwaba (kicked ball),,76-76,,
2:57.0,,,76-76,,J. Crawford enters the game for N. Bjelica
2:57.0,C. Payne enters the game for K. Dunn,,76-76,,
2:52.0,,,76-78,2,J. Teague makes 2-pt shot from 8 ft
2:52.0,,,76-78,,Shooting foul by D. Valentine (drawn by J. Teague)
2:52.0,,,76-79,1,J. Teague makes free throw 1 of 1
2:38.0,Turnover by L. Markkanen (out of bounds lost ball),,76-79,,
2:30.0,Personal block foul by D. Valentine (drawn by J. Teague),,76-79,,
2:30.0,N. Vonleh enters the game for L. Markkanen,,76-79,,
2:16.0,,,76-81,2,A. Wiggins makes 2-pt shot from 19 ft
2:15.0,Chicago full timeout,,76-81,,
1:59.0,N. Vonleh makes 2-pt shot from 7 ft,2,78-81,,
1:40.0,,,78-81,,A. Wiggins misses 2-pt shot from 6 ft
1:40.0,Defensive rebound by B. Portis,,78-81,,
1:28.0,C. Payne misses 2-pt shot from 5 ft (block by G. Dieng),,78-81,,
1:28.0,Offensive rebound by Team,,78-81,,
1:26.0,D. Valentine makes 2-pt shot from 20 ft (assist by C. Payne),2,80-81,,
1:16.0,Personal foul by C. Payne (drawn by J. Teague),,80-81,,
1:16.0,,,80-82,1,J. Teague makes free throw 1 of 2
1:16.0,,,80-83,1,J. Teague makes free throw 2 of 2
1:07.0,B. Portis misses 2-pt shot from 18 ft,,80-83,,
1:07.0,,,80-83,,Defensive rebound by J. Teague
0:47.0,,,80-83,,Turnover by J. Crawford (lost ball; steal by N. Vonleh)
0:43.0,D. Valentine misses 2-pt shot from 2 ft (block by A. Wiggins),,80-83,,
0:43.0,Offensive rebound by Team,,80-83,,
0:39.0,B. Portis makes 2-pt shot from 18 ft (assist by D. Valentine),2,82-83,,
0:30.0,,,82-86,3,J. Crawford makes 3-pt shot from 22 ft (assist by A. Wiggins)
0:11.0,N. Vonleh misses 3-pt shot from 22 ft,,82-86,,
0:07.0,,,82-86,,Defensive rebound by G. Dieng
0:02.0,,,82-86,,J. Crawford misses 3-pt shot from 36 ft
0:02.0,Defensive rebound by D. Valentine,,82-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,82-86,,G. Dieng misses 2-pt shot from 16 ft
11:39.0,,,82-86,,Offensive rebound by K. Towns
11:37.0,,,82-89,3,J. Crawford makes 3-pt shot from 24 ft (assist by K. Towns)
11:17.0,C. Payne misses 3-pt shot from 27 ft,,82-89,,
11:16.0,,,82-89,,Defensive rebound by G. Dieng
11:06.0,,,82-91,2,N. Bjelica makes 2-pt shot at rim (assist by K. Towns)
10:49.0,B. Portis misses 2-pt shot from 7 ft,,82-91,,
10:47.0,,,82-91,,Defensive rebound by K. Towns
10:37.0,,,82-91,,K. Towns misses 2-pt shot from 3 ft (block by C. Payne)
10:37.0,,,82-91,,Offensive rebound by N. Bjelica
10:32.0,,,82-91,,T. Jones misses 3-pt shot from 25 ft
10:32.0,Defensive rebound by N. Vonleh,,82-91,,
10:23.0,C. Payne makes 2-pt shot from 15 ft,2,84-91,,
10:06.0,,,84-91,,Shooting foul by B. Portis (drawn by K. Towns)
10:06.0,,,84-92,1,K. Towns makes free throw 1 of 2
10:06.0,,,84-93,1,K. Towns makes free throw 2 of 2
9:44.0,B. Portis misses 3-pt shot from 23 ft,,84-93,,
9:41.0,,,84-93,,Defensive rebound by N. Bjelica
9:26.0,,,84-96,3,J. Crawford makes 3-pt shot from 22 ft
9:24.0,Chicago full timeout,,84-96,,
9:24.0,C. Felicio enters the game for C. Payne,,84-96,,
9:24.0,K. Dunn enters the game for N. Vonleh,,84-96,,
9:13.0,D. Nwaba misses 2-pt shot from 1 ft,,84-96,,
9:11.0,,,84-96,,Defensive rebound by G. Dieng
9:01.0,,,84-98,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Crawford)
8:39.0,B. Portis misses 2-pt shot from 20 ft,,84-98,,
8:38.0,Offensive rebound by Team,,84-98,,
8:38.0,Z. LaVine enters the game for D. Nwaba,,84-98,,
8:37.0,Turnover by Z. LaVine (step out of bounds),,84-98,,
8:19.0,,,84-98,,Shooting foul by B. Portis (drawn by N. Bjelica)
8:19.0,,,84-98,,N. Bjelica misses free throw 1 of 2
8:19.0,,,84-98,,Offensive rebound by Team
8:19.0,,,84-99,1,N. Bjelica makes free throw 2 of 2
8:14.0,Shooting foul by T. Jones (drawn by K. Dunn),,84-99,,
8:14.0,K. Dunn makes free throw 1 of 2,1,85-99,,
8:14.0,K. Dunn misses free throw 2 of 2,,85-99,,
8:12.0,,,85-99,,Defensive rebound by K. Towns
7:59.0,,,85-102,3,J. Crawford makes 3-pt shot from 26 ft
7:57.0,Chicago full timeout,,85-102,,
7:57.0,L. Markkanen enters the game for B. Portis,,85-102,,
7:45.0,Z. LaVine misses 2-pt shot from 11 ft,,85-102,,
7:42.0,,,85-102,,Defensive rebound by G. Dieng
7:25.0,,,85-102,,J. Crawford misses 2-pt shot from 6 ft (block by K. Dunn)
7:21.0,Turnover by Z. LaVine (lost ball; steal by T. Jones),,85-102,,
7:21.0,Offensive rebound by C. Felicio,,85-102,,
7:18.0,,,85-104,2,T. Jones makes 2-pt shot from 1 ft
7:01.0,D. Valentine makes 2-pt shot from 18 ft,2,87-104,,
6:48.0,Personal foul by K. Dunn (drawn by T. Jones),,87-104,,
6:48.0,,,87-104,,A. Wiggins enters the game for G. Dieng
6:48.0,,,87-104,,T. Gibson enters the game for N. Bjelica
6:48.0,,,87-104,,J. Teague enters the game for T. Jones
6:45.0,,,87-104,,Shooting foul by K. Dunn (drawn by K. Towns)
6:45.0,,,87-105,1,K. Towns makes free throw 1 of 2
6:45.0,,,87-106,1,K. Towns makes free throw 2 of 2
6:31.0,C. Felicio makes 2-pt shot from 1 ft (assist by Z. LaVine),2,89-106,,
6:15.0,,,89-106,,T. Gibson misses 2-pt shot from 1 ft (block by Z. LaVine)
6:15.0,,,89-106,,Offensive rebound by T. Gibson
6:10.0,,,89-108,2,T. Gibson makes 2-pt shot from 1 ft
5:53.0,Z. LaVine misses 3-pt shot from 25 ft,,89-108,,
5:51.0,,,89-108,,Defensive rebound by K. Towns
5:46.0,Personal foul by L. Markkanen (drawn by T. Gibson),,89-108,,
5:46.0,,,89-109,1,T. Gibson makes free throw 1 of 2
5:46.0,,,89-110,1,T. Gibson makes free throw 2 of 2
5:35.0,Turnover by K. Dunn (lost ball; steal by J. Teague),,89-110,,
5:30.0,,,89-110,,Turnover by J. Teague (lost ball; steal by K. Dunn)
5:26.0,C. Felicio makes 2-pt shot from 5 ft,2,91-110,,
5:06.0,,,91-112,2,K. Towns makes 2-pt shot from 5 ft (assist by J. Teague)
4:56.0,K. Dunn misses 2-pt shot from 8 ft,,91-112,,
4:56.0,Offensive rebound by Team,,91-112,,
