time,Sacramento,pts.away,score,pts.home,LA Lakers
8:35.0,,,6-15,3,B. Ingram makes 3-pt shot from 23 ft (assist by L. Ball)
8:28.0,Sacramento full timeout,,6-15,,
8:13.0,M. Richardson misses 2-pt shot from 1 ft,,6-15,,
8:08.0,,,6-15,,Defensive rebound by B. Lopez
8:06.0,,,6-17,2,B. Ingram makes 2-pt shot from 1 ft
7:45.0,W. Cauley-Stein misses 2-pt shot from 7 ft,,6-17,,
7:42.0,,,6-17,,Defensive rebound by B. Lopez
7:38.0,,,6-20,3,B. Ingram makes 3-pt shot from 22 ft (assist by L. Ball)
7:10.0,W. Cauley-Stein misses 2-pt shot from 5 ft,,6-20,,
7:07.0,,,6-20,,Defensive rebound by B. Lopez
7:01.0,,,6-22,2,J. Randle makes 2-pt shot from 1 ft (assist by B. Ingram)
6:57.0,Sacramento full timeout,,6-22,,
6:57.0,B. Bogdanovic enters the game for M. Richardson,,6-22,,
6:57.0,G. Temple enters the game for B. Hield,,6-22,,
6:48.0,Shooting foul by B. Ingram (drawn by W. Cauley-Stein),,6-22,,
6:48.0,W. Cauley-Stein misses free throw 1 of 2,,6-22,,
6:48.0,Offensive rebound by Team,,6-22,,
6:48.0,W. Cauley-Stein misses free throw 2 of 2,,6-22,,
6:45.0,,,6-22,,Defensive rebound by J. Randle
6:36.0,,,6-22,,L. Ball misses 2-pt shot from 1 ft
6:33.0,Defensive rebound by Z. Randolph,,6-22,,
6:26.0,G. Temple misses 3-pt shot from 23 ft,,6-22,,
6:21.0,,,6-22,,Defensive rebound by L. Ball
6:17.0,,,6-22,,K. Caldwell-Pope misses 3-pt shot from 25 ft
6:14.0,Defensive rebound by Z. Randolph,,6-22,,
5:58.0,Turnover by D. Fox (step out of bounds),,6-22,,
5:47.0,,,6-24,2,K. Caldwell-Pope makes 2-pt shot from 1 ft
5:40.0,,,6-24,,Personal foul by B. Ingram (drawn by G. Temple)
5:40.0,,,6-24,,T. Ennis enters the game for L. Ball
5:40.0,,,6-24,,C. Brewer enters the game for B. Ingram
5:33.0,Z. Randolph misses 2-pt shot from 6 ft,,6-24,,
5:28.0,Offensive rebound by Z. Randolph,,6-24,,
5:28.0,Z. Randolph misses 2-pt shot at rim,,6-24,,
5:28.0,Offensive rebound by Z. Randolph,,6-24,,
5:24.0,Z. Randolph misses 2-pt shot at rim,,6-24,,
5:23.0,Offensive rebound by Z. Randolph,,6-24,,
5:21.0,Z. Randolph makes 2-pt shot from 1 ft,2,8-24,,
5:05.0,,,8-26,2,J. Randle makes 2-pt shot from 11 ft
4:49.0,D. Fox makes 3-pt shot from 24 ft (assist by B. Bogdanovic),3,11-26,,
4:37.0,,,11-26,,J. Randle misses 2-pt shot from 6 ft
4:34.0,Defensive rebound by W. Cauley-Stein,,11-26,,
4:30.0,,,11-26,,L. Nance enters the game for B. Lopez
4:30.0,,,11-26,,K. Kuzma enters the game for J. Randle
4:18.0,W. Cauley-Stein makes 2-pt shot from 8 ft,2,13-26,,
3:56.0,,,13-26,,K. Caldwell-Pope misses 3-pt shot from 26 ft
3:53.0,Defensive rebound by Z. Randolph,,13-26,,
3:44.0,W. Cauley-Stein makes 2-pt shot from 10 ft,2,15-26,,
3:42.0,,,15-26,,LA Lakers full timeout
3:42.0,,,15-26,,J. Clarkson enters the game for K. Caldwell-Pope
3:42.0,K. Koufos enters the game for W. Cauley-Stein,,15-26,,
3:42.0,S. Labissiere enters the game for Z. Randolph,,15-26,,
3:19.0,,,15-29,3,K. Kuzma makes 3-pt shot from 24 ft (assist by L. Nance)
3:02.0,B. Bogdanovic misses 3-pt shot from 25 ft,,15-29,,
2:58.0,,,15-29,,Defensive rebound by J. Clarkson
2:51.0,,,15-29,,L. Nance misses 2-pt shot from 5 ft
2:48.0,Defensive rebound by S. Labissiere,,15-29,,
2:48.0,D. Fox makes 2-pt shot from 1 ft,2,17-29,,
2:48.0,Shooting foul by T. Ennis (drawn by D. Fox),,17-29,,
2:48.0,D. Fox misses free throw 1 of 1,,17-29,,
2:45.0,,,17-29,,Defensive rebound by K. Kuzma
2:38.0,,,17-29,,T. Ennis misses 2-pt shot at rim (block by D. Fox)
2:35.0,Defensive rebound by K. Koufos,,17-29,,
2:34.0,Offensive charge foul by G. Temple (drawn by C. Brewer),,17-29,,
2:34.0,Turnover by G. Temple (offensive foul),,17-29,,
2:34.0,V. Carter enters the game for D. Fox,,17-29,,
2:20.0,,,17-29,,Offensive foul by L. Nance (drawn by G. Temple)
2:20.0,,,17-29,,Turnover by L. Nance (offensive foul)
2:09.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by K. Koufos),2,19-29,,
2:09.0,Shooting foul by J. Clarkson (drawn by B. Bogdanovic),,19-29,,
2:09.0,B. Bogdanovic makes free throw 1 of 1,1,20-29,,
1:56.0,Personal foul by B. Bogdanovic (drawn by T. Ennis),,20-29,,
1:53.0,,,20-29,,Turnover by J. Clarkson (lost ball; steal by G. Temple)
1:32.0,B. Bogdanovic misses 2-pt shot from 21 ft,,20-29,,
1:30.0,,,20-29,,Defensive rebound by C. Brewer
1:30.0,,,20-29,,Turnover by K. Kuzma (step out of bounds)
1:09.0,G. Temple misses 2-pt shot from 19 ft,,20-29,,
1:08.0,Offensive rebound by Team,,20-29,,
1:08.0,,,20-29,,Loose ball foul by J. Clarkson (drawn by S. Labissiere)
1:08.0,S. Labissiere makes free throw 1 of 2,1,21-29,,
1:08.0,S. Labissiere makes free throw 2 of 2,1,22-29,,
0:54.0,,,22-31,2,J. Clarkson makes 2-pt shot from 12 ft
0:35.0,G. Temple misses 2-pt shot from 12 ft,,22-31,,
0:34.0,Offensive rebound by S. Labissiere,,22-31,,
0:34.0,S. Labissiere makes 2-pt shot at rim,2,24-31,,
0:34.0,Shooting foul by K. Kuzma (drawn by S. Labissiere),,24-31,,
0:34.0,S. Labissiere makes free throw 1 of 1,1,25-31,,
0:20.0,,,25-31,,T. Ennis misses 2-pt shot from 2 ft
0:15.0,Defensive rebound by K. Koufos,,25-31,,
0:02.0,B. Bogdanovic makes 2-pt shot from 6 ft,2,27-31,,
0:00.0,,,27-31,,C. Brewer misses 3-pt shot from 49 ft
0:00.0,,,27-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,B. Bogdanovic makes 2-pt shot from 11 ft,2,29-31,,
11:21.0,,,29-31,,J. Hart misses 3-pt shot from 23 ft
11:17.0,Defensive rebound by K. Koufos,,29-31,,
11:09.0,S. Labissiere misses 3-pt shot from 25 ft,,29-31,,
11:06.0,,,29-31,,Defensive rebound by L. Ball
11:00.0,,,29-31,,Turnover by K. Kuzma (step out of bounds)
10:46.0,B. Bogdanovic makes 2-pt shot from 18 ft,2,31-31,,
10:33.0,,,31-31,,L. Ball misses 2-pt shot from 5 ft
10:29.0,Defensive rebound by K. Koufos,,31-31,,
10:21.0,Turnover by G. Temple (bad pass; steal by L. Nance),,31-31,,
10:06.0,,,31-31,,K. Kuzma misses 2-pt shot from 17 ft
10:02.0,Defensive rebound by K. Koufos,,31-31,,
9:49.0,B. Bogdanovic misses 2-pt shot from 11 ft,,31-31,,
9:47.0,,,31-31,,Defensive rebound by L. Ball
9:43.0,,,31-31,,L. Ball misses 3-pt shot from 25 ft
9:37.0,,,31-31,,Offensive rebound by L. Nance
9:36.0,,,31-33,2,J. Clarkson makes 2-pt shot from 1 ft (assist by J. Hart)
9:26.0,,,31-33,,Personal foul by J. Clarkson (drawn by G. Temple)
9:26.0,,,31-33,,B. Ingram enters the game for J. Clarkson
9:10.0,,,31-33,,Def 3 sec tech foul by L. Nance
9:10.0,B. Bogdanovic makes technical free throw,1,32-33,,
9:10.0,Sacramento full timeout,,32-33,,
9:02.0,V. Carter misses 2-pt shot from 1 ft,,32-33,,
8:59.0,,,32-33,,Defensive rebound by L. Nance
8:57.0,,,32-33,,Shooting foul by S. Labissiere (drawn by B. Ingram)
8:57.0,,,32-34,1,B. Ingram makes free throw 1 of 2
8:57.0,,,32-34,,B. Ingram misses free throw 2 of 2
8:55.0,Defensive rebound by K. Koufos,,32-34,,
8:38.0,K. Koufos makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,34-34,,
8:38.0,Shooting foul by J. Hart (drawn by K. Koufos),,34-34,,
8:38.0,K. Koufos misses free throw 1 of 1,,34-34,,
8:34.0,,,34-34,,Defensive rebound by L. Nance
8:26.0,,,34-34,,Shooting foul by K. Koufos (drawn by L. Nance)
8:26.0,,,34-35,1,L. Nance makes free throw 1 of 2
8:26.0,,,34-35,,L. Nance misses free throw 2 of 2
8:23.0,Defensive rebound by K. Koufos,,34-35,,
8:11.0,V. Carter misses 3-pt shot from 25 ft,,34-35,,
8:06.0,,,34-35,,Defensive rebound by B. Ingram
8:02.0,,,34-35,,L. Nance misses 2-pt shot from 2 ft (block by V. Carter)
8:02.0,,,34-35,,Offensive rebound by L. Nance
8:02.0,Personal foul by S. Labissiere (drawn by L. Nance),,34-35,,
8:02.0,,,34-35,,B. Lopez enters the game for K. Kuzma
8:02.0,,,34-35,,J. Randle enters the game for L. Nance
7:56.0,,,34-35,,Turnover by B. Ingram (lost ball; steal by B. Bogdanovic)
7:51.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,36-35,,
7:33.0,,,36-35,,B. Lopez misses 3-pt shot from 26 ft (block by V. Carter)
7:28.0,Defensive rebound by K. Koufos,,36-35,,
7:24.0,Turnover by K. Koufos (lost ball; steal by L. Ball),,36-35,,
7:18.0,,,36-37,2,J. Randle makes 2-pt shot from 1 ft (assist by L. Ball)
7:01.0,B. Bogdanovic misses 2-pt shot from 21 ft,,36-37,,
6:57.0,,,36-37,,Defensive rebound by J. Hart
6:55.0,Personal foul by K. Koufos (drawn by J. Randle),,36-37,,
6:55.0,,,36-37,,K. Caldwell-Pope enters the game for J. Hart
6:55.0,D. Fox enters the game for B. Bogdanovic,,36-37,,
6:53.0,,,36-37,,Turnover by B. Ingram (bad pass; steal by K. Koufos)
6:42.0,D. Fox misses 3-pt shot from 26 ft,,36-37,,
6:38.0,,,36-37,,Defensive rebound by J. Randle
6:30.0,,,36-37,,L. Ball misses 3-pt shot from 22 ft
6:26.0,,,36-37,,Offensive rebound by J. Randle
6:26.0,,,36-37,,J. Randle misses 2-pt shot from 1 ft
6:25.0,,,36-37,,Offensive rebound by J. Randle
6:25.0,Z. Randolph enters the game for S. Labissiere,,36-37,,
6:18.0,,,36-37,,B. Ingram misses 2-pt shot from 14 ft (block by V. Carter)
6:15.0,Defensive rebound by Z. Randolph,,36-37,,
6:04.0,D. Fox misses 2-pt shot from 10 ft,,36-37,,
5:58.0,Offensive rebound by V. Carter,,36-37,,
5:51.0,Turnover by K. Koufos (lost ball; steal by L. Ball),,36-37,,
5:46.0,,,36-37,,J. Randle misses 2-pt shot from 1 ft
5:45.0,,,36-37,,Offensive rebound by Team
5:45.0,,,36-37,,LA Lakers full timeout
5:45.0,B. Hield enters the game for G. Temple,,36-37,,
5:45.0,W. Cauley-Stein enters the game for K. Koufos,,36-37,,
5:33.0,,,36-37,,L. Ball misses 3-pt shot from 25 ft
5:31.0,Defensive rebound by W. Cauley-Stein,,36-37,,
5:12.0,W. Cauley-Stein misses 2-pt shot from 17 ft,,36-37,,
5:08.0,,,36-37,,Defensive rebound by K. Caldwell-Pope
5:00.0,,,36-37,,Turnover by L. Ball (bad pass; steal by V. Carter)
4:50.0,Turnover by W. Cauley-Stein (bad pass; steal by L. Ball),,36-37,,
4:48.0,,,36-39,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by L. Ball)
4:48.0,,,36-39,,Shooting foul by D. Fox (drawn by K. Caldwell-Pope)
4:48.0,,,36-40,1,K. Caldwell-Pope makes free throw 1 of 1
4:37.0,Turnover by Z. Randolph (bad pass; steal by K. Caldwell-Pope),,36-40,,
4:35.0,,,36-40,,Shooting foul by W. Cauley-Stein (drawn by K. Caldwell-Pope)
4:35.0,,,36-41,1,K. Caldwell-Pope makes free throw 1 of 2
4:35.0,,,36-42,1,K. Caldwell-Pope makes free throw 2 of 2
4:22.0,Shooting foul by B. Ingram (drawn by V. Carter),,36-42,,
4:22.0,V. Carter makes free throw 1 of 2,1,37-42,,
4:22.0,V. Carter makes free throw 2 of 2,1,38-42,,
4:05.0,,,38-42,,K. Caldwell-Pope misses 2-pt shot from 20 ft
4:01.0,Defensive rebound by V. Carter,,38-42,,
3:59.0,V. Carter misses 2-pt shot from 1 ft,,38-42,,
3:58.0,Offensive rebound by Team,,38-42,,
3:58.0,,,38-42,,J. Hart enters the game for B. Ingram
3:56.0,Jump ball: J. Randle vs. Z. Randolph,,,,Jump ball: J. Randle vs. Z. Randolph
3:44.0,D. Fox makes 2-pt shot from 1 ft,2,40-42,,
3:24.0,,,40-42,,Turnover by J. Randle (bad pass; steal by V. Carter)
3:13.0,Z. Randolph misses 2-pt shot from 15 ft,,40-42,,
3:07.0,,,40-42,,Defensive rebound by L. Ball
3:04.0,,,40-45,3,L. Ball makes 3-pt shot from 25 ft (assist by J. Randle)
2:48.0,D. Fox misses 2-pt shot from 12 ft,,40-45,,
2:44.0,,,40-45,,Defensive rebound by J. Hart
2:30.0,,,40-45,,Turnover by K. Caldwell-Pope (traveling)
2:17.0,W. Cauley-Stein makes 2-pt shot from 17 ft,2,42-45,,
2:01.0,,,42-47,2,J. Randle makes 2-pt shot from 4 ft (assist by L. Ball)
1:49.0,Shooting foul by B. Lopez (drawn by Z. Randolph),,42-47,,
1:49.0,Z. Randolph makes free throw 1 of 2,1,43-47,,
1:49.0,Z. Randolph makes free throw 2 of 2,1,44-47,,
1:33.0,,,44-47,,J. Randle misses 2-pt shot from 1 ft
1:29.0,Defensive rebound by V. Carter,,44-47,,
1:25.0,Turnover by B. Hield (bad pass; steal by J. Randle),,44-47,,
1:21.0,,,44-47,,Turnover by J. Randle (lost ball; steal by D. Fox)
1:14.0,V. Carter misses 3-pt shot from 25 ft,,44-47,,
1:10.0,,,44-47,,Defensive rebound by K. Caldwell-Pope
0:56.0,,,44-50,3,B. Lopez makes 3-pt shot from 25 ft (assist by J. Hart)
0:43.0,,,44-50,,Def 3 sec tech foul by J. Randle
0:43.0,,,44-50,,Technical foul by J. Randle
0:43.0,B. Hield makes technical free throw,1,45-50,,
0:43.0,,,45-50,,K. Kuzma enters the game for J. Randle
0:43.0,B. Hield makes technical free throw,1,46-50,,
0:35.0,B. Hield makes 3-pt shot from 26 ft (assist by D. Fox),3,49-50,,
0:29.0,,,49-53,3,B. Lopez makes 3-pt shot from 26 ft (assist by L. Ball)
0:07.0,D. Fox misses 2-pt shot from 3 ft (block by K. Kuzma),,49-53,,
0:07.0,Offensive rebound by Team,,49-53,,
0:04.0,B. Hield makes 3-pt shot from 22 ft (assist by W. Cauley-Stein),3,52-53,,
0:01.0,,,52-53,,K. Kuzma misses 3-pt shot from 29 ft
0:01.0,,,52-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,Shooting foul by B. Lopez (drawn by W. Cauley-Stein),,52-53,,
11:38.0,W. Cauley-Stein misses free throw 1 of 2,,52-53,,
11:38.0,Offensive rebound by Team,,52-53,,
11:38.0,W. Cauley-Stein makes free throw 2 of 2,1,53-53,,
11:18.0,,,53-53,,Shooting foul by Z. Randolph (drawn by B. Lopez)
11:18.0,,,53-54,1,B. Lopez makes free throw 1 of 2
11:18.0,,,53-54,,B. Lopez misses free throw 2 of 2
11:16.0,Defensive rebound by Z. Randolph,,53-54,,
11:04.0,B. Bogdanovic makes 2-pt shot from 8 ft (assist by W. Cauley-Stein),2,55-54,,
10:49.0,,,55-54,,B. Ingram misses 3-pt shot from 26 ft
10:45.0,Defensive rebound by W. Cauley-Stein,,55-54,,
10:38.0,Z. Randolph misses 2-pt shot from 17 ft,,55-54,,
10:36.0,,,55-54,,Defensive rebound by B. Ingram
10:35.0,,,55-54,,Offensive charge foul by B. Ingram (drawn by G. Temple)
10:35.0,,,55-54,,Turnover by B. Ingram (offensive foul)
10:35.0,V. Carter enters the game for B. Bogdanovic,,55-54,,
10:22.0,G. Temple makes 3-pt shot from 25 ft (assist by D. Fox),3,58-54,,
10:05.0,,,58-54,,K. Caldwell-Pope misses 3-pt shot from 25 ft
10:02.0,Defensive rebound by D. Fox,,58-54,,
9:49.0,D. Fox makes 3-pt shot from 24 ft,3,61-54,,
9:33.0,,,61-56,2,J. Randle makes 2-pt shot from 3 ft (assist by B. Ingram)
9:33.0,,,61-56,,Shooting foul by V. Carter (drawn by J. Randle)
9:33.0,,,61-56,,J. Randle misses free throw 1 of 1
9:30.0,,,61-56,,Offensive rebound by J. Randle
9:22.0,,,61-56,,B. Ingram misses 2-pt shot from 2 ft
9:19.0,Defensive rebound by Z. Randolph,,61-56,,
9:15.0,V. Carter makes 3-pt shot from 26 ft (assist by D. Fox),3,64-56,,
9:15.0,,,64-56,,LA Lakers full timeout
9:15.0,,,64-56,,J. Hart enters the game for B. Ingram
8:58.0,,,64-59,3,B. Lopez makes 3-pt shot from 26 ft (assist by J. Randle)
8:44.0,G. Temple misses 2-pt shot from 1 ft,,64-59,,
8:42.0,,,64-59,,Defensive rebound by J. Randle
8:37.0,,,64-62,3,B. Lopez makes 3-pt shot from 25 ft (assist by J. Randle)
8:20.0,D. Fox misses 2-pt shot from 4 ft (block by L. Ball),,64-62,,
8:18.0,,,64-62,,Defensive rebound by J. Randle
8:14.0,,,64-65,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by J. Randle)
8:01.0,,,64-65,,Personal foul by J. Randle (drawn by Z. Randolph)
7:52.0,W. Cauley-Stein misses 2-pt shot from 9 ft,,64-65,,
7:48.0,Offensive rebound by Z. Randolph,,64-65,,
7:46.0,Z. Randolph makes 2-pt shot from 1 ft,2,66-65,,
7:27.0,,,66-65,,Turnover by J. Randle (lost ball; steal by V. Carter)
7:12.0,Z. Randolph misses 2-pt shot from 1 ft,,66-65,,
7:09.0,,,66-65,,Defensive rebound by J. Randle
7:05.0,,,66-68,3,B. Lopez makes 3-pt shot from 26 ft (assist by J. Randle)
6:43.0,Z. Randolph misses 2-pt shot from 5 ft,,66-68,,
6:41.0,,,66-68,,Defensive rebound by K. Caldwell-Pope
6:38.0,,,66-68,,B. Lopez misses 3-pt shot from 30 ft
6:38.0,,,66-68,,Offensive rebound by L. Ball
6:35.0,,,66-70,2,L. Ball makes 2-pt shot at rim
6:35.0,Sacramento full timeout,,66-70,,
6:35.0,B. Bogdanovic enters the game for G. Temple,,66-70,,
6:22.0,V. Carter makes 2-pt shot at rim (assist by W. Cauley-Stein),2,68-70,,
6:10.0,,,68-70,,Offensive foul by B. Lopez (drawn by V. Carter)
6:10.0,,,68-70,,Turnover by B. Lopez (offensive foul)
5:53.0,Z. Randolph misses 3-pt shot from 22 ft,,68-70,,
5:50.0,,,68-70,,Defensive rebound by L. Ball
5:40.0,Violation by W. Cauley-Stein (kicked ball),,68-70,,
5:34.0,Personal foul by V. Carter (drawn by J. Randle),,68-70,,
5:21.0,,,68-70,,L. Ball misses 3-pt shot from 41 ft
5:17.0,Defensive rebound by B. Bogdanovic,,68-70,,
5:11.0,Shooting foul by B. Lopez (drawn by Z. Randolph),,68-70,,
5:11.0,Z. Randolph makes free throw 1 of 2,1,69-70,,
5:11.0,,,69-70,,L. Nance enters the game for B. Lopez
5:11.0,Z. Randolph misses free throw 2 of 2,,69-70,,
5:08.0,,,69-70,,Defensive rebound by L. Nance
4:58.0,,,69-72,2,L. Nance makes 2-pt shot from 2 ft (assist by L. Ball)
4:40.0,Offensive charge foul by Z. Randolph (drawn by J. Randle),,69-72,,
4:40.0,Turnover by Z. Randolph (offensive foul),,69-72,,
4:21.0,,,69-72,,Shooting foul by V. Carter (drawn by J. Randle)
4:21.0,,,69-73,1,J. Randle makes free throw 1 of 2
4:21.0,S. Labissiere enters the game for Z. Randolph,,69-73,,
4:21.0,,,69-74,1,J. Randle makes free throw 2 of 2
3:58.0,S. Labissiere misses 2-pt shot from 13 ft,,69-74,,
3:54.0,,,69-74,,Defensive rebound by L. Ball
3:52.0,,,69-76,2,J. Randle makes 2-pt shot from 2 ft (assist by L. Ball)
3:39.0,V. Carter misses 3-pt shot from 25 ft,,69-76,,
3:34.0,,,69-76,,Defensive rebound by L. Nance
3:25.0,,,69-78,2,L. Nance makes 2-pt shot from 3 ft (assist by K. Caldwell-Pope)
3:04.0,W. Cauley-Stein misses 2-pt shot from 17 ft,,69-78,,
3:01.0,,,69-78,,Defensive rebound by J. Randle
2:53.0,,,69-80,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by J. Randle)
2:53.0,Sacramento full timeout,,69-80,,
2:53.0,,,69-80,,J. Clarkson enters the game for L. Ball
2:53.0,,,69-80,,K. Kuzma enters the game for J. Randle
2:53.0,B. Hield enters the game for W. Cauley-Stein,,69-80,,
2:53.0,G. Temple enters the game for D. Fox,,69-80,,
2:53.0,K. Koufos enters the game for V. Carter,,69-80,,
2:34.0,G. Temple misses 2-pt shot from 8 ft,,69-80,,
2:29.0,,,69-80,,Defensive rebound by J. Hart
2:21.0,,,69-82,2,L. Nance makes 2-pt shot from 1 ft (assist by K. Kuzma)
2:00.0,Turnover by K. Koufos (bad pass; steal by K. Kuzma),,69-82,,
1:56.0,,,69-82,,K. Caldwell-Pope misses 3-pt shot from 25 ft
1:50.0,Defensive rebound by B. Hield,,69-82,,
1:32.0,K. Koufos makes 2-pt shot from 5 ft (assist by B. Hield),2,71-82,,
1:21.0,Personal foul by B. Bogdanovic (drawn by K. Caldwell-Pope),,71-82,,
1:21.0,,,71-82,,K. Caldwell-Pope misses free throw 1 of 2
1:21.0,,,71-82,,Offensive rebound by Team
1:21.0,,,71-83,1,K. Caldwell-Pope makes free throw 2 of 2
1:03.0,Turnover by S. Labissiere (lost ball; steal by K. Kuzma),,71-83,,
1:02.0,Personal foul by S. Labissiere (drawn by L. Nance),,71-83,,
1:02.0,,,71-84,1,L. Nance makes free throw 1 of 2
1:02.0,,,71-84,,T. Ennis enters the game for K. Caldwell-Pope
1:02.0,,,71-84,,L. Nance misses free throw 2 of 2
0:59.0,Defensive rebound by S. Labissiere,,71-84,,
0:53.0,Shooting foul by J. Clarkson (drawn by S. Labissiere),,71-84,,
0:53.0,S. Labissiere misses free throw 1 of 2,,71-84,,
0:53.0,Offensive rebound by Team,,71-84,,
0:53.0,S. Labissiere makes free throw 2 of 2,1,72-84,,
0:41.0,,,72-84,,Turnover by J. Clarkson (bad pass; steal by K. Koufos)
0:28.0,B. Hield misses 3-pt shot from 24 ft,,72-84,,
0:23.0,Offensive rebound by K. Koufos,,72-84,,
0:21.0,Shooting foul by K. Kuzma (drawn by B. Bogdanovic),,72-84,,
0:21.0,B. Bogdanovic makes free throw 1 of 2,1,73-84,,
0:21.0,B. Bogdanovic makes free throw 2 of 2,1,74-84,,
0:02.0,,,74-84,,J. Clarkson misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by K. Koufos,,74-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,74-86,2,K. Kuzma makes 2-pt shot from 1 ft (assist by J. Hart)
11:19.0,B. Hield makes 2-pt shot from 19 ft (assist by K. Koufos),2,76-86,,
11:06.0,,,76-86,,J. Clarkson misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by K. Koufos,,76-86,,
10:56.0,,,76-86,,Personal foul by L. Nance (drawn by K. Koufos)
10:47.0,B. Hield misses 2-pt shot from 18 ft,,76-86,,
10:44.0,,,76-86,,Defensive rebound by Team
10:26.0,,,76-86,,K. Kuzma misses 3-pt shot from 22 ft
10:20.0,,,76-86,,Offensive rebound by T. Ennis
10:19.0,,,76-86,,Turnover by J. Hart (out of bounds lost ball)
10:09.0,B. Hield misses 2-pt shot from 10 ft,,76-86,,
10:02.0,Offensive rebound by K. Koufos,,76-86,,
10:02.0,K. Koufos misses 2-pt shot at rim,,76-86,,
10:01.0,,,76-86,,Defensive rebound by L. Nance
9:55.0,,,76-86,,T. Ennis misses 2-pt shot from 3 ft
9:52.0,Defensive rebound by K. Koufos,,76-86,,
9:37.0,B. Bogdanovic makes 2-pt shot from 8 ft (assist by B. Hield),2,78-86,,
9:25.0,,,78-86,,Offensive foul by L. Nance (drawn by G. Temple)
9:25.0,,,78-86,,Turnover by L. Nance (offensive foul)
9:16.0,B. Hield makes 3-pt shot from 25 ft (assist by B. Bogdanovic),3,81-86,,
9:15.0,,,81-86,,LA Lakers full timeout
9:15.0,,,81-86,,L. Ball enters the game for J. Hart
9:15.0,,,81-86,,B. Ingram enters the game for T. Ennis
9:00.0,,,81-88,2,K. Kuzma makes 2-pt shot from 4 ft (assist by J. Clarkson)
8:43.0,B. Bogdanovic misses 3-pt shot from 25 ft,,81-88,,
8:35.0,Offensive rebound by K. Koufos,,81-88,,
8:35.0,K. Koufos misses 2-pt shot at rim,,81-88,,
8:33.0,,,81-88,,Defensive rebound by L. Nance
8:28.0,,,81-88,,K. Kuzma misses 3-pt shot from 26 ft
8:22.0,,,81-88,,Offensive rebound by L. Ball
8:11.0,,,81-90,2,B. Ingram makes 2-pt shot at rim (assist by L. Ball)
7:55.0,B. Hield misses 2-pt shot from 18 ft,,81-90,,
7:50.0,,,81-90,,Defensive rebound by B. Ingram
