time,Portland,pts.away,score,pts.home,Boston
7:28.0,,,11-5,,Offensive rebound by Team
7:28.0,,,11-5,,S. Ojeleye enters the game for A. Baynes
7:20.0,,,11-5,,J. Brown misses 2-pt shot from 21 ft
7:17.0,,,11-5,,Offensive rebound by S. Ojeleye
7:13.0,,,11-7,2,A. Horford makes 2-pt shot from 13 ft (assist by J. Tatum)
6:56.0,J. Nurkic misses 2-pt shot from 20 ft,,11-7,,
6:54.0,,,11-7,,Defensive rebound by T. Rozier
6:48.0,,,11-7,,S. Ojeleye misses 3-pt shot from 22 ft
6:44.0,Defensive rebound by J. Nurkic,,11-7,,
6:36.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard),2,13-7,,
6:36.0,,,13-7,,Boston full timeout
6:18.0,Personal foul by C. McCollum (drawn by T. Rozier),,13-7,,
6:11.0,,,13-7,,S. Ojeleye misses 3-pt shot from 26 ft
6:04.0,Defensive rebound by J. Nurkic,,13-7,,
5:58.0,J. Nurkic makes 2-pt shot from 5 ft,2,15-7,,
5:46.0,,,15-7,,T. Rozier misses 2-pt shot from 8 ft
5:43.0,Defensive rebound by D. Lillard,,15-7,,
5:40.0,,,15-7,,Personal foul by T. Rozier (drawn by D. Lillard)
5:40.0,,,15-7,,A. Nader enters the game for J. Tatum
5:40.0,,,15-7,,D. Theis enters the game for T. Rozier
5:28.0,C. McCollum misses 3-pt shot from 28 ft,,15-7,,
5:25.0,,,15-7,,Defensive rebound by A. Nader
5:20.0,,,15-7,,J. Brown misses 2-pt shot from 3 ft (block by E. Turner)
5:17.0,Defensive rebound by E. Turner,,15-7,,
5:12.0,C. McCollum misses 2-pt shot from 15 ft,,15-7,,
5:09.0,Offensive rebound by A. Aminu,,15-7,,
5:07.0,A. Aminu misses 2-pt shot from 2 ft,,15-7,,
5:07.0,,,15-7,,Defensive rebound by J. Brown
4:47.0,,,15-10,3,J. Brown makes 3-pt shot from 26 ft (assist by D. Theis)
4:29.0,Turnover by D. Lillard (bad pass; steal by J. Brown),,15-10,,
4:26.0,,,15-10,,Turnover by A. Horford (bad pass)
4:26.0,P. Connaughton enters the game for C. McCollum,,15-10,,
4:26.0,E. Davis enters the game for A. Aminu,,15-10,,
4:26.0,Z. Collins enters the game for J. Nurkic,,15-10,,
4:08.0,E. Turner misses 2-pt shot from 14 ft,,15-10,,
4:04.0,,,15-10,,Defensive rebound by A. Nader
3:44.0,,,15-10,,A. Horford misses 2-pt shot from 9 ft
3:40.0,Defensive rebound by Z. Collins,,15-10,,
3:31.0,D. Lillard misses 3-pt shot from 31 ft,,15-10,,
3:29.0,,,15-10,,Defensive rebound by A. Nader
3:21.0,,,15-10,,A. Nader misses 3-pt shot from 27 ft
3:17.0,Defensive rebound by Z. Collins,,15-10,,
3:10.0,D. Lillard makes 3-pt shot from 29 ft,3,18-10,,
3:10.0,Shooting foul by J. Brown (drawn by D. Lillard),,18-10,,
3:10.0,M. Harkless enters the game for E. Turner,,18-10,,
3:10.0,D. Lillard makes free throw 1 of 1,1,19-10,,
2:53.0,,,19-10,,Turnover by A. Horford (bad pass; steal by M. Harkless)
2:47.0,D. Lillard misses 2-pt shot from 4 ft (block by S. Ojeleye),,19-10,,
2:47.0,Offensive rebound by Team,,19-10,,
2:47.0,Portland full timeout,,19-10,,
2:35.0,E. Davis misses 2-pt shot from 9 ft (block by A. Horford),,19-10,,
2:33.0,,,19-10,,Defensive rebound by J. Brown
2:27.0,,,19-10,,S. Ojeleye misses 3-pt shot from 24 ft
2:25.0,Defensive rebound by E. Davis,,19-10,,
2:18.0,Shooting foul by A. Horford (drawn by P. Connaughton),,19-10,,
2:18.0,P. Connaughton makes free throw 1 of 2,1,20-10,,
2:18.0,P. Connaughton makes free throw 2 of 2,1,21-10,,
2:05.0,,,21-10,,A. Nader misses 2-pt shot from 3 ft (block by Z. Collins)
2:05.0,,,21-10,,Offensive rebound by Team
2:05.0,,,21-10,,J. Tatum enters the game for A. Nader
2:05.0,,,21-10,,G. Yabusele enters the game for S. Ojeleye
2:05.0,,,21-10,,T. Rozier enters the game for A. Horford
1:53.0,,,21-13,3,J. Tatum makes 3-pt shot from 26 ft (assist by T. Rozier)
1:34.0,M. Harkless makes 3-pt shot from 26 ft (assist by D. Lillard),3,24-13,,
1:19.0,,,24-15,2,D. Theis makes 2-pt shot from 8 ft (assist by T. Rozier)
0:56.0,Turnover by P. Connaughton (bad pass; steal by G. Yabusele),,24-15,,
0:49.0,,,24-15,,Shooting foul by Z. Collins (drawn by G. Yabusele)
0:49.0,,,24-16,1,G. Yabusele makes free throw 1 of 3
0:49.0,,,24-16,,G. Yabusele misses free throw 2 of 3
0:49.0,,,24-16,,Offensive rebound by Team
0:49.0,,,24-16,,K. Allen enters the game for J. Brown
0:49.0,C. McCollum enters the game for Z. Collins,,24-16,,
0:49.0,,,24-16,,G. Yabusele misses free throw 3 of 3
0:48.0,,,24-16,,Offensive rebound by D. Theis
0:37.0,,,24-16,,T. Rozier misses 2-pt shot from 20 ft
0:34.0,Defensive rebound by D. Lillard,,24-16,,
0:30.0,D. Lillard misses 3-pt shot from 26 ft,,24-16,,
0:28.0,,,24-16,,Defensive rebound by Team
0:28.0,,,24-16,,J. Brown enters the game for K. Allen
0:09.0,,,24-19,3,J. Tatum makes 3-pt shot from 26 ft (assist by J. Brown)
0:02.0,E. Davis makes 2-pt shot at rim (assist by C. McCollum),2,26-19,,
0:01.0,,,26-19,,J. Brown misses 3-pt shot from 67 ft
0:01.0,,,26-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,26-19,,Shooting foul by E. Davis (drawn by D. Theis)
11:45.0,,,26-20,1,D. Theis makes free throw 1 of 2
11:45.0,,,26-21,1,D. Theis makes free throw 2 of 2
11:25.0,P. Connaughton misses 3-pt shot from 31 ft,,26-21,,
11:22.0,,,26-21,,Defensive rebound by A. Nader
11:06.0,,,26-21,,A. Nader misses 3-pt shot from 26 ft
11:04.0,Defensive rebound by E. Davis,,26-21,,
10:56.0,C. McCollum makes 2-pt shot from 8 ft,2,28-21,,
10:34.0,,,28-21,,J. Tatum misses 2-pt shot from 16 ft
10:31.0,Defensive rebound by E. Davis,,28-21,,
10:17.0,Turnover by P. Connaughton (out of bounds lost ball),,28-21,,
10:03.0,,,28-21,,G. Yabusele misses 3-pt shot from 25 ft
10:01.0,Defensive rebound by M. Harkless,,28-21,,
9:51.0,E. Davis makes 2-pt shot from 1 ft (assist by C. McCollum),2,30-21,,
9:34.0,,,30-21,,Shooting foul by P. Connaughton (drawn by A. Nader)
9:34.0,,,30-21,,A. Nader misses free throw 1 of 2
9:34.0,,,30-21,,Offensive rebound by Team
9:34.0,,,30-22,1,A. Nader makes free throw 2 of 2
9:20.0,C. McCollum makes 2-pt shot from 7 ft,2,32-22,,
9:08.0,Personal foul by M. Harkless (drawn by J. Tatum),,32-22,,
9:04.0,,,32-22,,D. Theis misses 2-pt shot from 20 ft
9:00.0,Defensive rebound by E. Davis,,32-22,,
8:49.0,Shooting foul by A. Nader (drawn by E. Davis),,32-22,,
8:49.0,E. Davis makes free throw 1 of 2,1,33-22,,
8:49.0,E. Davis misses free throw 2 of 2,,33-22,,
8:48.0,,,33-22,,Defensive rebound by D. Theis
8:32.0,,,33-25,3,A. Nader makes 3-pt shot from 25 ft
8:14.0,C. McCollum makes 3-pt shot from 22 ft (assist by Z. Collins),3,36-25,,
7:52.0,,,36-28,3,T. Rozier makes 3-pt shot from 27 ft (assist by G. Yabusele)
7:35.0,C. McCollum misses 2-pt shot from 5 ft,,36-28,,
7:32.0,Offensive rebound by E. Davis,,36-28,,
7:30.0,M. Harkless makes 3-pt shot from 26 ft (assist by E. Davis),3,39-28,,
7:08.0,,,39-31,3,A. Nader makes 3-pt shot from 26 ft (assist by T. Rozier)
6:50.0,P. Connaughton misses 3-pt shot from 25 ft,,39-31,,
6:50.0,,,39-31,,Defensive rebound by T. Rozier
6:41.0,,,39-34,3,G. Yabusele makes 3-pt shot from 25 ft (assist by T. Rozier)
6:30.0,Portland full timeout,,39-34,,
6:30.0,,,39-34,,J. Brown enters the game for J. Tatum
6:30.0,,,39-34,,S. Ojeleye enters the game for T. Rozier
6:30.0,,,39-34,,A. Horford enters the game for D. Theis
6:30.0,,,39-34,,A. Baynes enters the game for G. Yabusele
6:30.0,E. Turner enters the game for P. Connaughton,,39-34,,
6:30.0,J. Nurkic enters the game for E. Davis,,39-34,,
6:30.0,A. Aminu enters the game for Z. Collins,,39-34,,
6:18.0,M. Harkless misses 2-pt shot from 2 ft (block by A. Baynes),,39-34,,
6:15.0,,,39-34,,Defensive rebound by A. Baynes
6:04.0,,,39-34,,A. Nader misses 3-pt shot from 26 ft
6:01.0,Defensive rebound by E. Turner,,39-34,,
5:45.0,Turnover by C. McCollum (bad pass),,39-34,,
5:45.0,D. Lillard enters the game for C. McCollum,,39-34,,
5:35.0,,,39-36,2,A. Horford makes 2-pt shot from 2 ft
5:14.0,A. Aminu misses 3-pt shot from 24 ft,,39-36,,
5:11.0,,,39-36,,Defensive rebound by A. Baynes
5:00.0,,,39-36,,J. Brown misses 2-pt shot from 3 ft
4:58.0,Defensive rebound by J. Nurkic,,39-36,,
4:45.0,M. Harkless makes 3-pt shot from 25 ft (assist by A. Aminu),3,42-36,,
4:29.0,,,42-38,2,A. Horford makes 2-pt shot from 9 ft
4:10.0,,,42-38,,Personal foul by A. Nader (drawn by D. Lillard)
4:04.0,D. Lillard misses 3-pt shot from 28 ft,,42-38,,
4:00.0,Offensive rebound by J. Nurkic,,42-38,,
3:50.0,D. Lillard misses 3-pt shot from 25 ft,,42-38,,
3:48.0,Offensive rebound by Team,,42-38,,
3:42.0,A. Aminu makes 3-pt shot from 23 ft (assist by J. Nurkic),3,45-38,,
3:24.0,,,45-38,,S. Ojeleye misses 3-pt shot from 24 ft
3:21.0,Defensive rebound by A. Aminu,,45-38,,
3:11.0,A. Aminu misses 3-pt shot from 26 ft,,45-38,,
3:09.0,,,45-38,,Defensive rebound by A. Horford
3:09.0,,,45-38,,Boston full timeout
3:09.0,,,45-38,,T. Rozier enters the game for A. Nader
3:09.0,,,45-38,,J. Tatum enters the game for S. Ojeleye
2:49.0,,,45-38,,T. Rozier misses 2-pt shot from 19 ft
2:47.0,Defensive rebound by M. Harkless,,45-38,,
2:31.0,M. Harkless makes 3-pt shot from 23 ft (assist by D. Lillard),3,48-38,,
2:07.0,,,48-38,,Turnover by A. Baynes (lost ball; steal by J. Nurkic)
1:56.0,J. Nurkic makes 2-pt shot from 2 ft,2,50-38,,
1:37.0,,,50-38,,J. Brown misses 3-pt shot from 26 ft
1:32.0,Defensive rebound by D. Lillard,,50-38,,
1:30.0,M. Harkless makes 2-pt shot from 2 ft (assist by D. Lillard),2,52-38,,
1:15.0,,,52-38,,Offensive foul by A. Horford (drawn by D. Lillard)
1:15.0,,,52-38,,Turnover by A. Horford (offensive foul)
1:15.0,,,52-38,,S. Ojeleye enters the game for A. Baynes
1:00.0,D. Lillard misses 3-pt shot from 25 ft,,52-38,,
0:57.0,,,52-38,,Defensive rebound by S. Ojeleye
0:53.0,,,52-38,,Turnover by T. Rozier (traveling)
0:53.0,C. McCollum enters the game for A. Aminu,,52-38,,
0:33.0,J. Nurkic misses 2-pt shot from 1 ft,,52-38,,
0:31.0,Offensive rebound by M. Harkless,,52-38,,
0:31.0,M. Harkless misses 2-pt shot at rim,,52-38,,
0:29.0,,,52-38,,Defensive rebound by S. Ojeleye
0:26.0,,,52-38,,Turnover by J. Brown (traveling)
0:03.0,C. McCollum makes 2-pt shot from 3 ft,2,54-38,,
0:00.0,,,54-38,,T. Rozier misses 3-pt shot from 56 ft
0:00.0,,,54-38,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,54-38,,T. Rozier misses 2-pt shot from 3 ft (block by J. Nurkic)
11:47.0,,,54-38,,Offensive rebound by A. Horford
11:46.0,,,54-38,,Shooting foul by J. Nurkic (drawn by A. Horford)
11:46.0,,,54-39,1,A. Horford makes free throw 1 of 2
11:46.0,,,54-40,1,A. Horford makes free throw 2 of 2
11:33.0,,,54-40,,Def 3 sec tech foul by A. Horford
11:33.0,D. Lillard makes technical free throw,1,55-40,,
11:30.0,C. McCollum misses 2-pt shot from 16 ft,,55-40,,
11:29.0,,,55-40,,Defensive rebound by A. Baynes
11:12.0,,,55-40,,J. Tatum misses 2-pt shot from 1 ft (block by J. Nurkic)
11:12.0,Defensive rebound by J. Nurkic,,55-40,,
11:01.0,E. Turner misses 2-pt shot from 12 ft,,55-40,,
10:58.0,,,55-40,,Defensive rebound by A. Baynes
10:46.0,,,55-42,2,A. Horford makes 2-pt shot from 9 ft
10:25.0,J. Nurkic misses 2-pt shot from 2 ft,,55-42,,
10:23.0,,,55-42,,Defensive rebound by A. Horford
10:12.0,,,55-42,,A. Horford misses 2-pt shot from 9 ft
10:12.0,Defensive rebound by A. Aminu,,55-42,,
9:45.0,A. Aminu makes 2-pt shot from 1 ft,2,57-42,,
9:30.0,,,57-42,,J. Tatum misses 3-pt shot from 25 ft
9:27.0,Defensive rebound by J. Nurkic,,57-42,,
9:09.0,D. Lillard misses 2-pt shot from 3 ft,,57-42,,
9:06.0,,,57-42,,Defensive rebound by J. Brown
9:01.0,,,57-42,,J. Brown misses 2-pt shot from 3 ft (block by A. Aminu)
8:59.0,,,57-42,,Offensive rebound by A. Baynes
8:58.0,,,57-44,2,A. Baynes makes 2-pt shot at rim
8:43.0,C. McCollum misses 2-pt shot from 21 ft,,57-44,,
8:39.0,,,57-44,,Defensive rebound by A. Horford
8:31.0,,,57-46,2,A. Baynes makes 2-pt shot from 12 ft (assist by J. Brown)
8:09.0,J. Nurkic misses 2-pt shot from 3 ft,,57-46,,
8:08.0,,,57-46,,Defensive rebound by A. Horford
7:58.0,,,57-48,2,J. Brown makes 2-pt shot from 11 ft
7:57.0,Portland full timeout,,57-48,,
7:46.0,A. Aminu makes 3-pt shot from 26 ft (assist by D. Lillard),3,60-48,,
7:29.0,,,60-51,3,J. Brown makes 3-pt shot from 25 ft (assist by J. Tatum)
7:13.0,Shooting foul by J. Tatum (drawn by D. Lillard),,60-51,,
7:13.0,D. Lillard misses free throw 1 of 2,,60-51,,
7:13.0,Offensive rebound by Team,,60-51,,
7:13.0,D. Lillard makes free throw 2 of 2,1,61-51,,
6:52.0,,,61-51,,J. Brown misses 3-pt shot from 23 ft
6:47.0,Defensive rebound by D. Lillard,,61-51,,
6:42.0,D. Lillard misses 3-pt shot from 25 ft,,61-51,,
6:38.0,,,61-51,,Defensive rebound by A. Horford
6:26.0,,,61-54,3,A. Horford makes 3-pt shot from 25 ft (assist by J. Tatum)
6:06.0,A. Aminu misses 3-pt shot from 27 ft,,61-54,,
6:04.0,,,61-54,,Defensive rebound by T. Rozier
6:01.0,,,61-54,,Shooting foul by A. Aminu (drawn by A. Horford)
6:01.0,,,61-55,1,A. Horford makes free throw 1 of 2
6:01.0,,,61-55,,S. Ojeleye enters the game for J. Tatum
6:01.0,,,61-56,1,A. Horford makes free throw 2 of 2
5:54.0,,,61-56,,Personal foul by J. Brown (drawn by C. McCollum)
5:46.0,D. Lillard misses 2-pt shot from 8 ft,,61-56,,
5:42.0,,,61-56,,Defensive rebound by S. Ojeleye
5:35.0,,,61-58,2,A. Baynes makes 2-pt shot from 13 ft (assist by J. Brown)
5:19.0,J. Nurkic misses 2-pt shot from 16 ft,,61-58,,
5:16.0,,,61-58,,Defensive rebound by A. Horford
5:03.0,,,61-60,2,T. Rozier makes 2-pt shot from 19 ft (assist by A. Horford)
4:44.0,C. McCollum misses 3-pt shot from 23 ft,,61-60,,
4:42.0,,,61-60,,Defensive rebound by S. Ojeleye
4:36.0,,,61-60,,T. Rozier misses 2-pt shot from 8 ft
4:31.0,Defensive rebound by C. McCollum,,61-60,,
4:23.0,C. McCollum makes 2-pt shot from 1 ft,2,63-60,,
4:08.0,,,63-60,,Shooting foul by J. Nurkic (drawn by A. Baynes)
4:08.0,,,63-61,1,A. Baynes makes free throw 1 of 2
4:08.0,,,63-61,,D. Theis enters the game for A. Horford
4:08.0,P. Connaughton enters the game for E. Turner,,63-61,,
4:08.0,M. Harkless enters the game for C. McCollum,,63-61,,
4:08.0,,,63-62,1,A. Baynes makes free throw 2 of 2
3:54.0,D. Lillard makes 2-pt shot from 20 ft (assist by J. Nurkic),2,65-62,,
3:31.0,,,65-64,2,T. Rozier makes 2-pt shot from 17 ft (assist by D. Theis)
3:14.0,M. Harkless misses 2-pt shot from 4 ft,,65-64,,
3:13.0,Offensive rebound by M. Harkless,,65-64,,
3:13.0,E. Davis enters the game for A. Aminu,,65-64,,
3:13.0,Z. Collins enters the game for J. Nurkic,,65-64,,
3:12.0,M. Harkless misses 2-pt shot from 5 ft (block by D. Theis),,65-64,,
3:11.0,Offensive rebound by Team,,65-64,,
3:11.0,,,65-64,,Personal foul by S. Ojeleye (drawn by D. Lillard)
3:11.0,,,65-64,,J. Tatum enters the game for J. Brown
3:07.0,D. Lillard misses 3-pt shot from 25 ft,,65-64,,
3:03.0,,,65-64,,Defensive rebound by A. Baynes
2:53.0,,,65-64,,T. Rozier misses 3-pt shot from 26 ft
2:50.0,Defensive rebound by M. Harkless,,65-64,,
2:45.0,D. Lillard makes 2-pt shot from 2 ft,2,67-64,,
2:45.0,Shooting foul by D. Theis (drawn by D. Lillard),,67-64,,
2:45.0,,,67-64,,Boston full timeout
2:45.0,,,67-64,,A. Nader enters the game for A. Baynes
2:45.0,D. Lillard makes free throw 1 of 1,1,68-64,,
2:36.0,Personal foul by P. Connaughton (drawn by A. Nader),,68-64,,
2:31.0,,,68-67,3,S. Ojeleye makes 3-pt shot from 27 ft (assist by T. Rozier)
2:13.0,E. Davis misses 2-pt shot from 3 ft,,68-67,,
2:11.0,,,68-67,,Defensive rebound by D. Theis
2:07.0,,,68-67,,T. Rozier misses 2-pt shot from 7 ft
2:05.0,,,68-67,,Offensive rebound by D. Theis
2:05.0,Personal foul by M. Harkless (drawn by D. Theis),,68-67,,
2:05.0,,,68-67,,D. Theis misses free throw 1 of 2
2:05.0,,,68-67,,Offensive rebound by Team
2:05.0,,,68-67,,D. Theis misses free throw 2 of 2
2:05.0,Defensive rebound by M. Harkless,,68-67,,
1:53.0,Turnover by D. Lillard (bad pass; steal by S. Ojeleye),,68-67,,
1:43.0,,,68-67,,Offensive foul by J. Tatum (drawn by P. Connaughton)
1:43.0,,,68-67,,Turnover by J. Tatum (offensive foul)
1:25.0,M. Harkless makes 3-pt shot from 26 ft (assist by P. Connaughton),3,71-67,,
1:20.0,,,71-67,,Turnover by D. Theis (bad pass; steal by E. Davis)
1:19.0,Shooting foul by D. Theis (drawn by D. Lillard),,71-67,,
1:19.0,D. Lillard makes free throw 1 of 2,1,72-67,,
1:19.0,D. Lillard makes free throw 2 of 2,1,73-67,,
1:07.0,,,73-67,,Shooting foul by M. Harkless (drawn by J. Tatum)
1:07.0,,,73-68,1,J. Tatum makes free throw 1 of 2
1:07.0,,,73-69,1,J. Tatum makes free throw 2 of 2
0:48.0,P. Connaughton misses 2-pt shot from 3 ft,,73-69,,
0:45.0,,,73-69,,Defensive rebound by T. Rozier
0:35.0,,,73-69,,J. Tatum misses 3-pt shot from 27 ft
0:31.0,,,73-69,,Offensive rebound by D. Theis
0:13.0,,,73-69,,A. Nader misses 2-pt shot from 3 ft (block by Z. Collins)
0:12.0,Defensive rebound by Team,,73-69,,
0:12.0,C. McCollum enters the game for Z. Collins,,73-69,,
0:01.0,D. Lillard misses 2-pt shot from 8 ft,,73-69,,
0:01.0,,,73-69,,Defensive rebound by A. Nader
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,C. McCollum makes 2-pt shot from 17 ft,2,75-69,,
11:14.0,,,75-71,2,A. Horford makes 2-pt shot from 1 ft (assist by A. Nader)
10:49.0,C. McCollum misses 2-pt shot from 14 ft,,75-71,,
10:47.0,,,75-71,,Defensive rebound by A. Horford
10:33.0,,,75-73,2,D. Theis makes 2-pt shot from 1 ft (assist by A. Horford)
10:13.0,A. Aminu misses 2-pt shot from 2 ft,,75-73,,
10:13.0,Offensive rebound by Team,,75-73,,
10:11.0,C. McCollum misses 3-pt shot from 22 ft,,75-73,,
10:08.0,,,75-73,,Defensive rebound by D. Theis
9:56.0,,,75-73,,A. Horford misses 2-pt shot from 10 ft
9:54.0,Defensive rebound by A. Aminu,,75-73,,
9:44.0,C. McCollum misses 2-pt shot from 2 ft (block by A. Horford),,75-73,,
9:41.0,,,75-73,,Defensive rebound by J. Tatum
9:27.0,,,75-73,,A. Nader misses 3-pt shot from 24 ft
9:23.0,,,75-73,,Offensive rebound by D. Theis
9:16.0,,,75-75,2,J. Tatum makes 2-pt shot from 12 ft
8:53.0,A. Aminu misses 3-pt shot from 28 ft,,75-75,,
8:46.0,Offensive rebound by P. Connaughton,,75-75,,
8:45.0,C. McCollum makes 3-pt shot from 27 ft (assist by E. Davis),3,78-75,,
8:23.0,,,78-75,,Turnover by J. Tatum (out of bounds lost ball)
8:09.0,P. Connaughton misses 2-pt shot from 2 ft,,78-75,,
8:08.0,Offensive rebound by E. Davis,,78-75,,
8:08.0,E. Davis makes 2-pt shot at rim,2,80-75,,
7:49.0,,,80-75,,D. Theis misses 2-pt shot from 13 ft
7:46.0,Defensive rebound by M. Harkless,,80-75,,
7:38.0,C. McCollum misses 2-pt shot from 18 ft,,80-75,,
7:35.0,,,80-75,,Defensive rebound by D. Theis
7:28.0,,,80-75,,Turnover by J. Tatum (bad pass; steal by E. Davis)
7:24.0,,,80-75,,Personal foul by D. Theis (drawn by C. McCollum)
7:24.0,,,80-75,,T. Rozier enters the game for D. Theis
7:24.0,,,80-75,,A. Baynes enters the game for A. Nader
7:24.0,D. Lillard enters the game for P. Connaughton,,80-75,,
7:18.0,Shooting foul by A. Baynes (drawn by C. McCollum),,80-75,,
7:18.0,C. McCollum makes free throw 1 of 2,1,81-75,,
7:18.0,,,81-75,,J. Brown enters the game for J. Tatum
7:18.0,J. Nurkic enters the game for E. Davis,,81-75,,
7:18.0,C. McCollum misses free throw 2 of 2,,81-75,,
7:18.0,,,81-75,,Defensive rebound by A. Baynes
7:02.0,,,81-75,,T. Rozier misses 3-pt shot from 25 ft
7:00.0,,,81-75,,Offensive rebound by T. Rozier
6:58.0,,,81-77,2,T. Rozier makes 2-pt shot from 7 ft
6:41.0,M. Harkless misses 2-pt shot from 3 ft,,81-77,,
6:41.0,Offensive rebound by M. Harkless,,81-77,,
6:39.0,M. Harkless makes 2-pt shot from 1 ft,2,83-77,,
6:28.0,,,83-77,,Offensive foul by A. Baynes (drawn by D. Lillard)
6:28.0,,,83-77,,Turnover by A. Baynes (offensive foul)
6:28.0,,,83-77,,Boston full timeout
6:14.0,C. McCollum misses 2-pt shot from 1 ft,,83-77,,
6:14.0,Offensive rebound by C. McCollum,,83-77,,
6:14.0,C. McCollum misses 2-pt shot from 1 ft,,83-77,,
6:14.0,,,83-77,,Defensive rebound by J. Brown
6:14.0,Personal foul by J. Nurkic (drawn by A. Baynes),,83-77,,
5:55.0,,,83-79,2,J. Brown makes 2-pt shot from 1 ft
5:37.0,J. Nurkic makes 2-pt shot from 1 ft (assist by C. McCollum),2,85-79,,
5:26.0,Personal foul by J. Nurkic (drawn by T. Rozier),,85-79,,
5:26.0,,,85-79,,J. Tatum enters the game for A. Baynes
5:17.0,,,85-79,,T. Rozier misses 3-pt shot from 26 ft
5:17.0,Defensive rebound by J. Nurkic,,85-79,,
5:04.0,D. Lillard misses 2-pt shot from 19 ft,,85-79,,
5:00.0,,,85-79,,Defensive rebound by J. Brown
4:57.0,Personal foul by A. Aminu (drawn by J. Brown),,85-79,,
4:42.0,,,85-79,,S. Ojeleye misses 3-pt shot from 25 ft
4:38.0,Defensive rebound by J. Nurkic,,85-79,,
4:24.0,J. Nurkic misses 2-pt shot from 2 ft,,85-79,,
4:22.0,,,85-79,,Defensive rebound by A. Horford
4:18.0,,,85-82,3,S. Ojeleye makes 3-pt shot from 23 ft (assist by A. Horford)
3:53.0,C. McCollum misses 2-pt shot from 18 ft,,85-82,,
3:51.0,,,85-82,,Defensive rebound by J. Tatum
3:35.0,,,85-85,3,J. Tatum makes 3-pt shot from 22 ft (assist by A. Horford)
3:34.0,Portland full timeout,,85-85,,
3:14.0,A. Aminu misses 3-pt shot from 27 ft,,85-85,,
3:09.0,,,85-85,,Defensive rebound by T. Rozier
2:56.0,,,85-88,3,A. Horford makes 3-pt shot from 26 ft (assist by J. Tatum)
2:37.0,Offensive charge foul by J. Nurkic (drawn by S. Ojeleye),,85-88,,
2:37.0,Turnover by J. Nurkic (offensive foul),,85-88,,
2:25.0,,,85-88,,T. Rozier misses 2-pt shot from 11 ft
2:20.0,Defensive rebound by A. Aminu,,85-88,,
2:15.0,Offensive foul by J. Nurkic (drawn by T. Rozier),,85-88,,
2:15.0,Turnover by J. Nurkic (offensive foul),,85-88,,
2:15.0,E. Davis enters the game for J. Nurkic,,85-88,,
2:02.0,,,85-90,2,J. Tatum makes 2-pt shot from 15 ft (assist by S. Ojeleye)
