time,Houston,pts.away,score,pts.home,Minnesota
4:24.0,,,14-23,,Violation by K. Towns (def goaltending)
4:24.0,Shooting foul by T. Gibson (drawn by J. Harden),,14-23,,
4:24.0,J. Harden misses free throw 1 of 1,,14-23,,
4:22.0,Offensive rebound by N. Hilario,,14-23,,
4:14.0,J. Harden misses 3-pt shot from 25 ft,,14-23,,
4:10.0,,,14-23,,Defensive rebound by J. Butler
3:56.0,,,14-25,2,T. Gibson makes 2-pt shot from 1 ft
3:50.0,R. Anderson misses 3-pt shot from 24 ft,,14-25,,
3:50.0,,,14-25,,Defensive rebound by J. Butler
3:40.0,,,14-25,,Shooting foul by R. Anderson (drawn by J. Butler)
3:40.0,,,14-26,1,J. Butler makes free throw 1 of 2
3:40.0,,,14-26,,G. Dieng enters the game for K. Towns
3:40.0,,,14-27,1,J. Butler makes free throw 2 of 2
3:23.0,N. Hilario misses 2-pt shot from 14 ft,,14-27,,
3:19.0,Offensive rebound by R. Anderson,,14-27,,
3:18.0,G. Green makes 3-pt shot from 24 ft (assist by R. Anderson),3,17-27,,
3:02.0,,,17-27,,Turnover by G. Dieng (bad pass)
2:52.0,N. Hilario makes 2-pt shot at rim (assist by J. Harden),2,19-27,,
2:45.0,,,19-27,,Minnesota full timeout
2:45.0,C. Paul enters the game for J. Harden,,19-27,,
2:32.0,,,19-29,2,J. Teague makes 2-pt shot from 8 ft
2:15.0,E. Gordon misses 3-pt shot from 24 ft,,19-29,,
2:12.0,,,19-29,,Defensive rebound by T. Gibson
1:59.0,,,19-29,,J. Crawford misses 3-pt shot from 25 ft
1:59.0,Defensive rebound by Team,,19-29,,
1:59.0,,,19-29,,A. Wiggins enters the game for J. Butler
1:59.0,,,19-29,,N. Bjelica enters the game for T. Gibson
1:41.0,Shooting foul by G. Dieng (drawn by R. Anderson),,19-29,,
1:41.0,R. Anderson misses free throw 1 of 2,,19-29,,
1:41.0,Offensive rebound by Team,,19-29,,
1:41.0,R. Anderson makes free throw 2 of 2,1,20-29,,
1:21.0,,,20-31,2,J. Teague makes 2-pt shot from 1 ft
0:57.0,R. Anderson makes 3-pt shot from 25 ft (assist by E. Gordon),3,23-31,,
0:41.0,,,23-31,,J. Teague misses 2-pt shot from 6 ft
0:38.0,Defensive rebound by C. Paul,,23-31,,
0:35.0,Turnover by C. Paul (bad pass),,23-31,,
0:27.0,,,23-31,,J. Crawford misses 2-pt shot from 10 ft
0:25.0,Defensive rebound by Team,,23-31,,
0:04.0,C. Paul misses 3-pt shot from 26 ft,,23-31,,
0:00.0,,,23-31,,Defensive rebound by G. Dieng
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,23-31,,J. Crawford misses 2-pt shot from 20 ft
11:39.0,Defensive rebound by C. Paul,,23-31,,
11:34.0,Turnover by C. Paul (bad pass; steal by J. Crawford),,23-31,,
11:30.0,,,23-31,,Turnover by J. Crawford (bad pass; steal by C. Paul)
11:19.0,R. Anderson misses 2-pt shot from 7 ft,,23-31,,
11:15.0,,,23-31,,Defensive rebound by G. Dieng
11:05.0,,,23-31,,A. Wiggins misses 2-pt shot from 19 ft (block by C. Paul)
11:05.0,Defensive rebound by Team,,23-31,,
11:01.0,G. Green makes 3-pt shot from 26 ft (assist by C. Paul),3,26-31,,
10:40.0,,,26-31,,A. Wiggins misses 2-pt shot from 8 ft
10:37.0,,,26-31,,G. Dieng misses 2-pt shot at rim
10:37.0,,,26-31,,Offensive rebound by G. Dieng
10:37.0,,,26-31,,Offensive rebound by G. Dieng
10:36.0,,,26-31,,Turnover by J. Crawford (bad pass)
10:24.0,N. Hilario makes 2-pt shot from 1 ft,2,28-31,,
9:57.0,,,28-31,,J. Crawford misses 3-pt shot from 24 ft
9:54.0,Defensive rebound by R. Anderson,,28-31,,
9:37.0,E. Gordon misses 3-pt shot from 25 ft,,28-31,,
9:32.0,,,28-31,,Defensive rebound by T. Jones
9:28.0,,,28-31,,T. Jones misses 2-pt shot from 2 ft
9:27.0,,,28-31,,Offensive rebound by Team
9:27.0,,,28-31,,K. Towns enters the game for G. Dieng
9:27.0,L. Mbah a Moute enters the game for E. Gordon,,28-31,,
9:25.0,,,28-34,3,N. Bjelica makes 3-pt shot from 26 ft (assist by T. Jones)
9:23.0,,,28-34,,Technical foul by J. Crawford
9:23.0,C. Paul makes technical free throw,1,29-34,,
9:11.0,N. Hilario misses 2-pt shot from 6 ft (block by K. Towns),,29-34,,
9:08.0,Offensive rebound by C. Paul,,29-34,,
9:06.0,N. Hilario misses 2-pt shot from 1 ft,,29-34,,
9:06.0,Offensive rebound by N. Hilario,,29-34,,
9:05.0,N. Hilario makes 2-pt shot from 1 ft,2,31-34,,
9:05.0,Shooting foul by N. Bjelica (drawn by N. Hilario),,31-34,,
9:05.0,N. Hilario makes free throw 1 of 1,1,32-34,,
8:41.0,,,32-34,,J. Crawford misses 3-pt shot from 23 ft
8:37.0,Defensive rebound by R. Anderson,,32-34,,
8:32.0,G. Green misses 3-pt shot from 23 ft,,32-34,,
8:29.0,,,32-34,,Defensive rebound by K. Towns
8:23.0,Personal foul by G. Green (drawn by A. Wiggins),,32-34,,
8:23.0,,,32-34,,J. Butler enters the game for J. Crawford
8:23.0,P. Tucker enters the game for G. Green,,32-34,,
8:23.0,J. Harden enters the game for R. Anderson,,32-34,,
8:23.0,C. Capela enters the game for N. Hilario,,32-34,,
8:08.0,,,32-34,,T. Jones misses 3-pt shot from 24 ft
8:03.0,Defensive rebound by C. Capela,,32-34,,
7:55.0,Shooting foul by K. Towns (drawn by C. Capela),,32-34,,
7:55.0,C. Capela misses free throw 1 of 2,,32-34,,
7:55.0,Offensive rebound by Team,,32-34,,
7:55.0,C. Capela makes free throw 2 of 2,1,33-34,,
7:36.0,,,33-34,,A. Wiggins misses 3-pt shot from 24 ft
7:34.0,Defensive rebound by C. Capela,,33-34,,
7:27.0,P. Tucker misses 3-pt shot from 23 ft,,33-34,,
7:23.0,,,33-34,,Defensive rebound by K. Towns
7:16.0,,,33-34,,T. Jones misses 3-pt shot from 22 ft
7:14.0,Defensive rebound by C. Capela,,33-34,,
7:05.0,C. Paul makes 2-pt shot from 11 ft,2,35-34,,
6:42.0,,,35-34,,K. Towns misses 3-pt shot from 24 ft
6:39.0,Defensive rebound by C. Paul,,35-34,,
6:29.0,,,35-34,,Personal foul by J. Butler (drawn by J. Harden)
6:29.0,,,35-34,,Minnesota full timeout
6:29.0,,,35-34,,J. Teague enters the game for T. Jones
6:29.0,,,35-34,,T. Gibson enters the game for N. Bjelica
6:29.0,E. Gordon enters the game for C. Paul,,35-34,,
6:24.0,J. Harden misses 2-pt shot from 8 ft,,35-34,,
6:21.0,Offensive rebound by C. Capela,,35-34,,
6:20.0,C. Capela makes 2-pt shot from 1 ft,2,37-34,,
6:00.0,,,37-34,,K. Towns misses 2-pt shot from 7 ft
6:00.0,Defensive rebound by C. Capela,,37-34,,
5:48.0,J. Harden makes 3-pt shot from 25 ft,3,40-34,,
5:41.0,Personal foul by J. Harden (drawn by T. Gibson),,40-34,,
5:29.0,,,40-36,2,T. Gibson makes 2-pt shot from 5 ft (assist by J. Teague)
5:15.0,Shooting foul by J. Teague (drawn by E. Gordon),,40-36,,
5:15.0,E. Gordon makes free throw 1 of 2,1,41-36,,
5:15.0,E. Gordon makes free throw 2 of 2,1,42-36,,
5:12.0,Personal block foul by E. Gordon (drawn by J. Teague),,42-36,,
4:54.0,,,42-36,,J. Butler misses 2-pt shot from 13 ft
4:51.0,Defensive rebound by C. Capela,,42-36,,
4:37.0,E. Gordon makes 3-pt shot from 27 ft (assist by L. Mbah a Moute),3,45-36,,
4:22.0,,,45-39,3,K. Towns makes 3-pt shot from 25 ft (assist by J. Teague)
4:07.0,L. Mbah a Moute misses 3-pt shot from 27 ft,,45-39,,
4:04.0,,,45-39,,Defensive rebound by J. Butler
3:49.0,,,45-41,2,J. Teague makes 2-pt shot from 1 ft
3:46.0,Houston full timeout,,45-41,,
3:46.0,C. Paul enters the game for L. Mbah a Moute,,45-41,,
3:34.0,J. Harden makes 2-pt shot from 1 ft,2,47-41,,
3:14.0,,,47-41,,J. Butler misses 2-pt shot from 1 ft
3:08.0,Defensive rebound by P. Tucker,,47-41,,
3:03.0,E. Gordon misses 3-pt shot from 25 ft,,47-41,,
2:59.0,,,47-41,,Defensive rebound by A. Wiggins
2:38.0,,,47-41,,Shooting foul by J. Harden (drawn by J. Teague)
2:38.0,,,47-42,1,J. Teague makes free throw 1 of 2
2:38.0,,,47-43,1,J. Teague makes free throw 2 of 2
2:24.0,J. Harden misses 3-pt shot from 25 ft,,47-43,,
2:20.0,,,47-43,,Defensive rebound by Team
2:14.0,,,47-45,2,J. Teague makes 2-pt shot from 1 ft
2:06.0,P. Tucker makes 3-pt shot from 23 ft (assist by J. Harden),3,50-45,,
1:52.0,,,50-47,2,K. Towns makes 2-pt shot from 6 ft (assist by J. Butler)
1:52.0,,,50-47,,Shooting foul by C. Capela (drawn by K. Towns)
1:52.0,,,50-48,1,K. Towns makes free throw 1 of 1
1:37.0,Shooting foul by A. Wiggins (drawn by C. Capela),,50-48,,
1:37.0,C. Capela makes free throw 1 of 2,1,51-48,,
1:37.0,C. Capela makes free throw 2 of 2,1,52-48,,
1:23.0,,,52-48,,J. Butler misses 3-pt shot from 24 ft
1:20.0,Defensive rebound by C. Capela,,52-48,,
1:06.0,C. Paul misses 3-pt shot from 27 ft,,52-48,,
1:03.0,,,52-48,,Defensive rebound by J. Butler
0:57.0,,,52-50,2,K. Towns makes 2-pt shot from 2 ft (assist by J. Teague)
0:45.0,E. Gordon misses 3-pt shot from 26 ft,,52-50,,
0:42.0,Offensive rebound by Team,,52-50,,
0:34.0,C. Capela makes 2-pt shot at rim (assist by C. Paul),2,54-50,,
0:13.0,,,54-50,,J. Teague misses 2-pt shot from 13 ft
0:11.0,,,54-50,,Offensive rebound by K. Towns
0:08.0,,,54-50,,K. Towns misses 2-pt shot from 5 ft (block by C. Capela)
0:08.0,,,54-50,,Offensive rebound by Team
0:00.0,,,54-50,,A. Wiggins misses 3-pt shot from 23 ft
0:00.0,,,54-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,54-50,,K. Towns misses 2-pt shot from 18 ft
11:39.0,Defensive rebound by L. Mbah a Moute,,54-50,,
11:24.0,Shooting foul by K. Towns (drawn by P. Tucker),,54-50,,
11:24.0,P. Tucker misses free throw 1 of 2,,54-50,,
11:24.0,Offensive rebound by Team,,54-50,,
11:24.0,P. Tucker makes free throw 2 of 2,1,55-50,,
11:09.0,,,55-50,,J. Butler misses 2-pt shot from 14 ft
11:05.0,Defensive rebound by C. Capela,,55-50,,
11:00.0,J. Harden misses 3-pt shot from 25 ft,,55-50,,
10:57.0,,,55-50,,Defensive rebound by J. Teague
10:54.0,Violation by C. Paul (kicked ball),,55-50,,
10:36.0,,,55-50,,A. Wiggins misses 2-pt shot from 9 ft
10:35.0,,,55-50,,Offensive rebound by K. Towns
10:35.0,,,55-50,,Shooting foul by P. Tucker (drawn by K. Towns)
10:35.0,,,55-51,1,K. Towns makes free throw 1 of 2
10:35.0,,,55-52,1,K. Towns makes free throw 2 of 2
10:27.0,,,55-52,,Personal foul by K. Towns (drawn by C. Capela)
10:22.0,J. Harden makes 3-pt shot from 24 ft (assist by C. Capela),3,58-52,,
10:03.0,,,58-54,2,J. Teague makes 2-pt shot from 6 ft
9:51.0,Shooting foul by T. Gibson (drawn by J. Harden),,58-54,,
9:51.0,J. Harden makes free throw 1 of 2,1,59-54,,
9:51.0,J. Harden makes free throw 2 of 2,1,60-54,,
9:40.0,,,60-54,,Shooting foul by L. Mbah a Moute (drawn by A. Wiggins)
9:40.0,,,60-55,1,A. Wiggins makes free throw 1 of 2
9:40.0,,,60-56,1,A. Wiggins makes free throw 2 of 2
9:25.0,Jump ball: J. Teague vs. C. Paul (P. Tucker gains possession),,,,Jump ball: J. Teague vs. C. Paul (P. Tucker gains possession)
9:16.0,J. Harden makes 3-pt shot from 28 ft (assist by L. Mbah a Moute),3,63-56,,
9:04.0,Def 3 sec tech foul by P. Tucker,,63-56,,
9:04.0,,,63-57,1,J. Butler makes technical free throw
8:59.0,,,63-57,,J. Butler misses 3-pt shot from 27 ft
8:56.0,Defensive rebound by L. Mbah a Moute,,63-57,,
8:45.0,C. Paul misses 3-pt shot from 25 ft,,63-57,,
8:40.0,,,63-57,,Defensive rebound by K. Towns
8:23.0,,,63-57,,A. Wiggins misses 2-pt shot from 3 ft (block by L. Mbah a Moute)
8:21.0,Defensive rebound by J. Harden,,63-57,,
8:21.0,C. Paul makes 2-pt shot from 1 ft (assist by J. Harden),2,65-57,,
8:21.0,,,65-57,,Minnesota full timeout
8:08.0,Personal foul by P. Tucker (drawn by J. Teague),,65-57,,
7:58.0,,,65-57,,T. Gibson misses 2-pt shot from 17 ft
7:54.0,Defensive rebound by C. Capela,,65-57,,
7:46.0,C. Capela misses 2-pt shot from 3 ft (block by K. Towns),,65-57,,
7:46.0,,,65-57,,Defensive rebound by Team
7:46.0,Loose ball foul by C. Capela (drawn by K. Towns),,65-57,,
7:33.0,,,65-57,,A. Wiggins misses 3-pt shot from 24 ft
7:30.0,,,65-57,,Offensive rebound by T. Gibson
7:27.0,,,65-57,,A. Wiggins misses 2-pt shot from 5 ft
7:27.0,,,65-57,,Offensive rebound by A. Wiggins
7:10.0,,,65-57,,J. Butler misses 2-pt shot from 3 ft
7:07.0,Defensive rebound by J. Harden,,65-57,,
7:03.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by J. Harden),2,67-57,,
6:50.0,,,67-59,2,K. Towns makes 2-pt shot at rim (assist by J. Butler)
6:28.0,C. Paul misses 2-pt shot from 15 ft,,67-59,,
6:26.0,,,67-59,,Defensive rebound by A. Wiggins
6:16.0,,,67-61,2,J. Teague makes 2-pt shot from 10 ft
6:15.0,Houston full timeout,,67-61,,
6:15.0,E. Gordon enters the game for C. Paul,,67-61,,
6:15.0,R. Anderson enters the game for P. Tucker,,67-61,,
6:15.0,N. Hilario enters the game for C. Capela,,67-61,,
6:03.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,70-61,,
5:39.0,,,70-63,2,J. Butler makes 2-pt shot from 8 ft
5:23.0,Offensive foul by N. Hilario (drawn by A. Wiggins),,70-63,,
5:23.0,Turnover by N. Hilario (offensive foul),,70-63,,
5:06.0,,,70-63,,T. Gibson misses 2-pt shot from 6 ft
5:03.0,Defensive rebound by L. Mbah a Moute,,70-63,,
4:55.0,J. Harden misses 2-pt shot from 2 ft (block by K. Towns),,70-63,,
4:52.0,,,70-63,,Defensive rebound by J. Teague
4:46.0,Shooting block foul by N. Hilario (drawn by A. Wiggins),,70-63,,
4:46.0,,,70-64,1,A. Wiggins makes free throw 1 of 2
4:46.0,G. Green enters the game for L. Mbah a Moute,,70-64,,
4:46.0,,,70-64,,A. Wiggins misses free throw 2 of 2
4:44.0,Defensive rebound by J. Harden,,70-64,,
4:24.0,J. Harden misses 3-pt shot from 26 ft,,70-64,,
4:23.0,,,70-64,,Defensive rebound by Team
4:23.0,,,70-64,,J. Crawford enters the game for A. Wiggins
4:08.0,,,70-64,,Shooting foul by N. Hilario (drawn by K. Towns)
4:08.0,,,70-65,1,K. Towns makes free throw 1 of 2
4:08.0,,,70-66,1,K. Towns makes free throw 2 of 2
3:57.0,Shooting foul by K. Towns (drawn by N. Hilario),,70-66,,
3:57.0,N. Hilario misses free throw 1 of 2,,70-66,,
3:57.0,Offensive rebound by Team,,70-66,,
3:57.0,,,70-66,,G. Dieng enters the game for K. Towns
3:57.0,N. Hilario makes free throw 2 of 2,1,71-66,,
3:38.0,,,71-68,2,J. Butler makes 2-pt shot from 1 ft (assist by G. Dieng)
3:27.0,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden),3,74-68,,
3:10.0,,,74-68,,Offensive foul by G. Dieng (drawn by J. Harden)
3:10.0,,,74-68,,Turnover by G. Dieng (offensive foul)
2:53.0,J. Harden makes 2-pt shot from 20 ft,2,76-68,,
2:32.0,,,76-70,2,J. Crawford makes 2-pt shot from 16 ft
2:21.0,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden),3,79-70,,
2:07.0,,,79-72,2,J. Teague makes 2-pt shot from 8 ft
2:07.0,,,79-72,,Shooting foul by G. Green (drawn by J. Teague)
2:07.0,,,79-73,1,J. Teague makes free throw 1 of 1
1:57.0,N. Hilario misses 2-pt shot from 1 ft,,79-73,,
1:56.0,,,79-73,,Defensive rebound by Team
1:45.0,,,79-76,3,J. Crawford makes 3-pt shot from 27 ft (assist by G. Dieng)
1:43.0,Houston full timeout,,79-76,,
1:43.0,C. Paul enters the game for J. Harden,,79-76,,
1:24.0,R. Anderson misses 3-pt shot from 25 ft,,79-76,,
1:21.0,Offensive rebound by R. Anderson,,79-76,,
1:20.0,R. Anderson makes 2-pt shot from 1 ft,2,81-76,,
1:00.0,,,81-78,2,J. Crawford makes 2-pt shot from 1 ft
0:54.0,G. Green misses 3-pt shot from 23 ft,,81-78,,
0:51.0,,,81-78,,Defensive rebound by J. Butler
0:44.0,,,81-78,,J. Crawford misses 3-pt shot from 28 ft
0:42.0,Defensive rebound by Team,,81-78,,
0:42.0,,,81-78,,Loose ball foul by G. Dieng (drawn by E. Gordon)
0:42.0,E. Gordon makes free throw 1 of 2,1,82-78,,
0:42.0,,,82-78,,A. Wiggins enters the game for J. Butler
0:42.0,,,82-78,,N. Bjelica enters the game for T. Gibson
0:42.0,P. Tucker enters the game for N. Hilario,,82-78,,
0:42.0,E. Gordon makes free throw 2 of 2,1,83-78,,
0:21.0,,,83-80,2,J. Teague makes 2-pt shot from 2 ft
0:01.0,,,83-80,,Personal foul by G. Dieng (drawn by C. Paul)
0:01.0,C. Paul makes free throw 1 of 2,1,84-80,,
0:01.0,C. Paul misses free throw 2 of 2,,84-80,,
0:00.0,,,84-80,,Defensive rebound by J. Crawford
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,C. Capela makes 2-pt shot from 1 ft (assist by C. Paul),2,86-80,,
11:27.0,,,86-80,,Turnover by J. Teague (traveling)
11:14.0,E. Gordon misses 3-pt shot from 23 ft,,86-80,,
11:09.0,Offensive rebound by C. Capela,,86-80,,
11:08.0,G. Green misses 3-pt shot from 25 ft,,86-80,,
11:07.0,,,86-80,,Defensive rebound by G. Dieng
10:47.0,,,86-82,2,J. Crawford makes 2-pt shot from 21 ft
10:32.0,R. Anderson makes 3-pt shot from 25 ft (assist by C. Paul),3,89-82,,
10:11.0,,,89-82,,Turnover by G. Dieng (bad pass)
10:11.0,,,89-82,,K. Towns enters the game for G. Dieng
10:11.0,L. Mbah a Moute enters the game for G. Green,,89-82,,
9:59.0,R. Anderson makes 3-pt shot from 25 ft (assist by C. Paul),3,92-82,,
9:48.0,,,92-82,,Minnesota full timeout
9:48.0,,,92-82,,T. Jones enters the game for J. Teague
9:35.0,Personal foul by E. Gordon (drawn by J. Crawford),,92-82,,
9:24.0,,,92-82,,J. Crawford misses 2-pt shot from 4 ft
9:22.0,,,92-82,,Offensive rebound by K. Towns
9:21.0,,,92-84,2,K. Towns makes 2-pt shot from 1 ft
9:06.0,E. Gordon misses 2-pt shot from 2 ft,,92-84,,
9:06.0,,,92-84,,Defensive rebound by K. Towns
8:58.0,,,92-87,3,K. Towns makes 3-pt shot from 25 ft (assist by T. Jones)
8:40.0,C. Paul makes 3-pt shot from 24 ft,3,95-87,,
8:24.0,,,95-89,2,J. Crawford makes 2-pt shot from 22 ft
8:02.0,C. Paul misses 3-pt shot from 24 ft,,95-89,,
8:00.0,,,95-89,,Defensive rebound by T. Jones
7:54.0,,,95-91,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Crawford)
7:54.0,Houston full timeout,,95-91,,
7:54.0,,,95-91,,J. Butler enters the game for N. Bjelica
7:54.0,P. Tucker enters the game for E. Gordon,,95-91,,
7:54.0,J. Harden enters the game for C. Capela,,95-91,,
7:40.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,98-91,,
7:25.0,,,98-91,,Turnover by A. Wiggins (step out of bounds)
7:14.0,R. Anderson makes 3-pt shot from 28 ft (assist by J. Harden),3,101-91,,
6:53.0,,,101-91,,A. Wiggins misses 3-pt shot from 24 ft
6:50.0,Defensive rebound by C. Paul,,101-91,,
6:36.0,R. Anderson misses 3-pt shot from 28 ft,,101-91,,
6:32.0,Offensive rebound by C. Paul,,101-91,,
6:30.0,P. Tucker makes 3-pt shot from 22 ft (assist by C. Paul),3,104-91,,
6:08.0,,,104-91,,J. Butler misses 3-pt shot from 26 ft
6:04.0,Defensive rebound by J. Harden,,104-91,,
5:47.0,J. Harden makes 3-pt shot from 26 ft,3,107-91,,
5:46.0,,,107-91,,Minnesota full timeout
5:46.0,,,107-91,,J. Teague enters the game for T. Jones
5:46.0,,,107-91,,T. Gibson enters the game for J. Crawford
5:46.0,E. Gordon enters the game for C. Paul,,107-91,,
5:29.0,,,107-91,,J. Butler misses 2-pt shot from 13 ft
5:25.0,Defensive rebound by L. Mbah a Moute,,107-91,,
5:06.0,J. Harden misses 2-pt shot from 19 ft,,107-91,,
5:03.0,,,107-91,,Defensive rebound by T. Gibson
4:56.0,,,107-93,2,K. Towns makes 2-pt shot from 8 ft (assist by J. Teague)
4:45.0,E. Gordon misses 3-pt shot from 25 ft,,107-93,,
4:42.0,,,107-93,,Defensive rebound by K. Towns
4:26.0,,,107-93,,Shooting foul by E. Gordon (drawn by J. Butler)
4:26.0,,,107-94,1,J. Butler makes free throw 1 of 2
4:26.0,,,107-95,1,J. Butler makes free throw 2 of 2
4:17.0,J. Harden makes 2-pt shot from 1 ft,2,109-95,,
4:17.0,Shooting foul by K. Towns (drawn by J. Harden),,109-95,,
4:17.0,J. Harden makes free throw 1 of 1,1,110-95,,
4:05.0,,,110-97,2,A. Wiggins makes 2-pt shot from 18 ft (assist by J. Butler)
3:48.0,Shooting foul by J. Teague (drawn by J. Harden),,110-97,,
3:48.0,J. Harden makes free throw 1 of 3,1,111-97,,
3:48.0,J. Harden makes free throw 2 of 3,1,112-97,,
3:48.0,J. Harden makes free throw 3 of 3,1,113-97,,
3:28.0,,,113-99,2,K. Towns makes 2-pt shot from 7 ft (assist by J. Butler)
3:04.0,J. Harden makes 3-pt shot from 26 ft,3,116-99,,
2:51.0,,,116-101,2,A. Wiggins makes 2-pt shot from 17 ft (assist by J. Teague)
2:32.0,R. Anderson misses 3-pt shot from 25 ft,,116-101,,
2:29.0,,,116-101,,Defensive rebound by T. Gibson
2:16.0,,,116-101,,Shooting foul by L. Mbah a Moute (drawn by K. Towns)
2:16.0,,,116-102,1,K. Towns makes free throw 1 of 2
2:16.0,C. Paul enters the game for R. Anderson,,116-102,,
