time,Portland,pts.away,score,pts.home,Oklahoma City
7:52.0,,,42-29,2,R. Felton makes 2-pt shot from 1 ft
7:52.0,Portland full timeout,,42-29,,
7:52.0,,,42-29,,S. Adams enters the game for T. Ferguson
7:52.0,,,42-29,,R. Westbrook enters the game for P. Patterson
7:28.0,E. Davis makes 2-pt shot from 1 ft (assist by S. Napier),2,44-29,,
7:03.0,,,44-31,2,S. Adams makes 2-pt shot from 4 ft
6:44.0,Z. Collins misses 3-pt shot from 22 ft,,44-31,,
6:40.0,,,44-31,,Defensive rebound by A. Abrines
6:35.0,,,44-34,3,J. Grant makes 3-pt shot from 23 ft (assist by S. Adams)
6:15.0,Turnover by E. Davis (lost ball; steal by R. Westbrook),,44-34,,
6:10.0,,,44-36,2,R. Felton makes 2-pt shot from 2 ft
5:56.0,,,44-36,,Personal foul by R. Westbrook (drawn by E. Turner)
5:56.0,J. Nurkic enters the game for E. Turner,,44-36,,
5:56.0,A. Aminu enters the game for C. McCollum,,44-36,,
5:56.0,M. Harkless enters the game for E. Davis,,44-36,,
5:56.0,D. Lillard enters the game for Z. Collins,,44-36,,
5:53.0,D. Lillard misses 3-pt shot from 24 ft,,44-36,,
5:50.0,,,44-36,,Defensive rebound by R. Westbrook
5:43.0,,,44-38,2,R. Westbrook makes 2-pt shot from 11 ft
5:21.0,J. Nurkic misses 2-pt shot from 5 ft (block by S. Adams),,44-38,,
5:19.0,,,44-38,,Defensive rebound by R. Westbrook
5:14.0,,,44-38,,C. Anthony enters the game for R. Felton
5:14.0,,,44-38,,P. George enters the game for A. Abrines
5:14.0,,,44-38,,C. Brewer enters the game for J. Grant
5:10.0,,,44-38,,R. Westbrook misses 3-pt shot from 26 ft
5:08.0,Defensive rebound by S. Napier,,44-38,,
5:08.0,Turnover by S. Napier (step out of bounds),,44-38,,
5:05.0,,,44-41,3,C. Brewer makes 3-pt shot from 22 ft (assist by C. Anthony)
4:43.0,J. Nurkic misses 2-pt shot from 3 ft (block by C. Anthony),,44-41,,
4:41.0,,,44-41,,Defensive rebound by C. Anthony
4:34.0,,,44-41,,Shooting foul by A. Aminu (drawn by P. George)
4:34.0,,,44-42,1,P. George makes free throw 1 of 2
4:34.0,,,44-43,1,P. George makes free throw 2 of 2
4:19.0,Turnover by D. Lillard (lost ball; steal by R. Westbrook),,44-43,,
4:15.0,,,44-43,,R. Westbrook misses 2-pt shot from 1 ft
4:10.0,Defensive rebound by A. Aminu,,44-43,,
4:07.0,D. Lillard misses 3-pt shot from 24 ft,,44-43,,
4:00.0,Offensive rebound by J. Nurkic,,44-43,,
3:59.0,A. Aminu misses 2-pt shot from 17 ft,,44-43,,
3:58.0,,,44-43,,Defensive rebound by Team
3:47.0,,,44-45,2,S. Adams makes 2-pt shot from 9 ft (assist by P. George)
3:46.0,Portland full timeout,,44-45,,
3:46.0,C. McCollum enters the game for S. Napier,,44-45,,
3:35.0,A. Aminu misses 3-pt shot from 25 ft,,44-45,,
3:32.0,Offensive rebound by C. McCollum,,44-45,,
3:32.0,,,44-45,,Personal foul by P. George (drawn by C. McCollum)
3:19.0,M. Harkless makes 2-pt shot at rim (assist by C. McCollum),2,46-45,,
2:55.0,,,46-45,,C. Anthony misses 3-pt shot from 26 ft
2:51.0,Defensive rebound by J. Nurkic,,46-45,,
2:40.0,M. Harkless misses 3-pt shot from 23 ft,,46-45,,
2:40.0,,,46-45,,Defensive rebound by Team
2:40.0,Loose ball foul by J. Nurkic (drawn by R. Westbrook),,46-45,,
2:27.0,,,46-45,,C. Brewer misses 3-pt shot from 22 ft
2:23.0,Defensive rebound by M. Harkless,,46-45,,
2:13.0,C. McCollum makes 3-pt shot from 22 ft (assist by D. Lillard),3,49-45,,
1:54.0,,,49-47,2,P. George makes 2-pt shot from 15 ft
1:28.0,J. Nurkic makes 2-pt shot from 1 ft (assist by A. Aminu),2,51-47,,
1:10.0,,,51-47,,Turnover by C. Brewer (lost ball; steal by C. McCollum)
1:06.0,C. McCollum makes 2-pt shot at rim,2,53-47,,
1:06.0,,,53-47,,Shooting block foul by P. George (drawn by C. McCollum)
1:06.0,C. McCollum makes free throw 1 of 1,1,54-47,,
0:52.0,,,54-49,2,S. Adams makes 2-pt shot from 13 ft (assist by R. Westbrook)
0:33.0,,,54-49,,Shooting block foul by C. Brewer (drawn by D. Lillard)
0:33.0,D. Lillard makes free throw 1 of 2,1,55-49,,
0:33.0,E. Davis enters the game for J. Nurkic,,55-49,,
0:33.0,D. Lillard makes free throw 2 of 2,1,56-49,,
0:29.0,,,56-49,,R. Westbrook misses 2-pt shot from 1 ft
0:27.0,Defensive rebound by M. Harkless,,56-49,,
0:21.0,,,56-49,,Personal foul by S. Adams (drawn by A. Aminu)
0:21.0,A. Aminu misses free throw 1 of 2,,56-49,,
0:21.0,Offensive rebound by Team,,56-49,,
0:21.0,A. Aminu makes free throw 2 of 2,1,57-49,,
0:05.0,Personal foul by D. Lillard (drawn by C. Anthony),,57-49,,
0:05.0,P. Connaughton enters the game for C. McCollum,,57-49,,
0:03.0,,,57-52,3,R. Westbrook makes 3-pt shot from 25 ft (assist by P. George)
0:00.0,E. Davis misses 3-pt shot from 53 ft,,57-52,,
0:00.0,Offensive rebound by Team,,57-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,57-52,,Shooting foul by M. Harkless (drawn by P. George)
11:48.0,,,57-53,1,P. George makes free throw 1 of 2
11:48.0,,,57-54,1,P. George makes free throw 2 of 2
11:29.0,J. Nurkic makes 2-pt shot from 5 ft,2,59-54,,
11:16.0,,,59-54,,S. Adams misses 2-pt shot from 2 ft (block by J. Nurkic)
11:13.0,Defensive rebound by C. McCollum,,59-54,,
11:12.0,,,59-54,,Personal foul by C. Anthony (drawn by D. Lillard)
10:58.0,C. McCollum misses 2-pt shot from 4 ft,,59-54,,
10:56.0,Offensive rebound by J. Nurkic,,59-54,,
10:55.0,J. Nurkic makes 2-pt shot from 1 ft,2,61-54,,
10:40.0,,,61-54,,Turnover by S. Adams (bad pass)
10:25.0,M. Harkless misses 3-pt shot from 23 ft,,61-54,,
10:23.0,,,61-54,,Defensive rebound by C. Anthony
10:09.0,Personal foul by J. Nurkic (drawn by S. Adams),,61-54,,
10:09.0,,,61-54,,Oklahoma City full timeout
10:04.0,,,61-57,3,C. Brewer makes 3-pt shot from 23 ft (assist by R. Westbrook)
9:45.0,D. Lillard misses 3-pt shot from 28 ft,,61-57,,
9:42.0,Offensive rebound by D. Lillard,,61-57,,
9:39.0,C. McCollum misses 3-pt shot from 24 ft,,61-57,,
9:36.0,Offensive rebound by D. Lillard,,61-57,,
9:21.0,C. McCollum makes 2-pt shot at rim,2,63-57,,
9:11.0,,,63-59,2,S. Adams makes 2-pt shot from 8 ft (assist by R. Westbrook)
8:48.0,Turnover by A. Aminu (lost ball; steal by R. Westbrook),,63-59,,
8:46.0,,,63-61,2,R. Westbrook makes 2-pt shot at rim
8:23.0,A. Aminu misses 3-pt shot from 25 ft,,63-61,,
8:21.0,,,63-61,,Defensive rebound by Team
8:10.0,,,63-61,,R. Westbrook misses 2-pt shot from 13 ft
8:07.0,Defensive rebound by D. Lillard,,63-61,,
8:02.0,,,63-61,,Personal foul by R. Westbrook (drawn by D. Lillard)
7:58.0,,,63-61,,Personal foul by C. Anthony (drawn by C. McCollum)
7:51.0,C. McCollum makes 2-pt shot from 8 ft,2,65-61,,
7:44.0,,,65-61,,Shooting foul by M. Harkless (drawn by R. Westbrook)
7:44.0,,,65-62,1,R. Westbrook makes free throw 1 of 2
7:44.0,,,65-62,,R. Westbrook misses free throw 2 of 2
7:44.0,Defensive rebound by Team,,65-62,,
7:44.0,,,65-62,,Violation by R. Westbrook (lane)
7:36.0,D. Lillard misses 3-pt shot from 26 ft,,65-62,,
7:33.0,,,65-62,,Defensive rebound by C. Brewer
7:26.0,,,65-62,,C. Brewer misses 2-pt shot from 1 ft (block by M. Harkless)
7:26.0,Defensive rebound by Team,,65-62,,
7:02.0,Turnover by Team (shot clock),,65-62,,
6:54.0,,,65-62,,P. George misses 3-pt shot from 24 ft (block by M. Harkless)
6:49.0,Defensive rebound by J. Nurkic,,65-62,,
6:44.0,C. McCollum misses 2-pt shot from 17 ft,,65-62,,
6:37.0,Offensive rebound by A. Aminu,,65-62,,
6:37.0,A. Aminu makes 2-pt shot at rim,2,67-62,,
6:22.0,,,67-62,,P. George misses 2-pt shot from 5 ft
6:22.0,,,67-62,,Offensive rebound by C. Anthony
6:19.0,,,67-62,,C. Anthony misses 2-pt shot at rim
6:18.0,,,67-62,,Offensive rebound by S. Adams
6:15.0,,,67-64,2,C. Anthony makes 2-pt shot at rim (assist by R. Westbrook)
6:01.0,,,67-64,,Personal foul by R. Westbrook (drawn by M. Harkless)
6:01.0,,,67-64,,Oklahoma City full timeout
5:56.0,,,67-64,,Personal foul by C. Brewer (drawn by D. Lillard)
5:56.0,D. Lillard makes free throw 1 of 2,1,68-64,,
5:56.0,D. Lillard makes free throw 2 of 2,1,69-64,,
5:43.0,,,69-66,2,R. Westbrook makes 2-pt shot from 1 ft
5:18.0,M. Harkless makes 2-pt shot from 16 ft,2,71-66,,
5:09.0,,,71-66,,C. Anthony misses 2-pt shot from 21 ft
5:07.0,,,71-66,,Offensive rebound by S. Adams
5:07.0,,,71-66,,S. Adams misses 2-pt shot at rim
5:06.0,,,71-66,,Offensive rebound by S. Adams
5:05.0,,,71-68,2,S. Adams makes 2-pt shot at rim
4:45.0,C. McCollum makes 2-pt shot from 10 ft,2,73-68,,
4:31.0,,,73-68,,S. Adams misses 2-pt shot from 4 ft
4:20.0,,,73-68,,Offensive rebound by R. Westbrook
4:17.0,,,73-70,2,R. Westbrook makes 2-pt shot at rim
4:17.0,,,73-70,,T. Ferguson enters the game for C. Brewer
4:17.0,E. Turner enters the game for C. McCollum,,73-70,,
4:17.0,P. Connaughton enters the game for M. Harkless,,73-70,,
4:02.0,J. Nurkic misses 2-pt shot from 3 ft (block by S. Adams),,73-70,,
4:00.0,Offensive rebound by A. Aminu,,73-70,,
4:00.0,Turnover by P. Connaughton (step out of bounds),,73-70,,
3:47.0,Personal foul by P. Connaughton (drawn by R. Westbrook),,73-70,,
3:47.0,E. Davis enters the game for J. Nurkic,,73-70,,
3:43.0,,,73-70,,Offensive foul by R. Westbrook (drawn by D. Lillard)
3:43.0,,,73-70,,Turnover by R. Westbrook (offensive foul)
3:20.0,P. Connaughton misses 3-pt shot from 25 ft,,73-70,,
3:18.0,Offensive rebound by D. Lillard,,73-70,,
3:18.0,Loose ball foul by E. Davis (drawn by T. Ferguson),,73-70,,
3:18.0,Turnover by E. Davis (turnover),,73-70,,
3:18.0,,,73-70,,J. Grant enters the game for R. Westbrook
3:18.0,,,73-70,,R. Felton enters the game for C. Anthony
3:18.0,,,73-71,1,T. Ferguson makes free throw 1 of 2
3:18.0,,,73-72,1,T. Ferguson makes free throw 2 of 2
3:01.0,D. Lillard misses 2-pt shot from 3 ft (block by J. Grant),,73-72,,
2:55.0,,,73-72,,Defensive rebound by J. Grant
2:53.0,,,73-72,,P. George misses 3-pt shot from 24 ft
2:48.0,Defensive rebound by E. Turner,,73-72,,
2:44.0,Turnover by E. Turner (lost ball; steal by P. George),,73-72,,
2:34.0,,,73-74,2,P. George makes 2-pt shot from 16 ft (assist by R. Felton)
2:15.0,,,73-74,,Personal foul by S. Adams (drawn by D. Lillard)
2:15.0,D. Lillard makes free throw 1 of 2,1,74-74,,
2:15.0,Z. Collins enters the game for A. Aminu,,74-74,,
2:15.0,D. Lillard makes free throw 2 of 2,1,75-74,,
2:04.0,,,75-74,,R. Felton misses 3-pt shot from 25 ft
2:01.0,,,75-74,,Offensive rebound by J. Grant
2:01.0,,,75-74,,Shooting foul by P. Connaughton (drawn by J. Grant)
2:01.0,,,75-75,1,J. Grant makes free throw 1 of 2
2:01.0,,,75-75,,P. Patterson enters the game for S. Adams
2:01.0,,,75-76,1,J. Grant makes free throw 2 of 2
1:53.0,Turnover by E. Turner (lost ball; steal by R. Felton),,75-76,,
1:53.0,,,75-78,2,R. Felton makes 2-pt shot from 1 ft
1:44.0,D. Lillard makes 2-pt shot from 2 ft,2,77-78,,
1:22.0,,,77-78,,Turnover by R. Felton (lost ball; steal by D. Lillard)
1:17.0,D. Lillard misses 2-pt shot from 1 ft,,77-78,,
1:14.0,Offensive rebound by D. Lillard,,77-78,,
1:14.0,D. Lillard makes 2-pt shot at rim,2,79-78,,
0:51.0,,,79-78,,Shooting foul by E. Davis (drawn by J. Grant)
0:51.0,,,79-79,1,J. Grant makes free throw 1 of 2
0:51.0,M. Harkless enters the game for E. Turner,,79-79,,
0:51.0,C. McCollum enters the game for Z. Collins,,79-79,,
0:51.0,,,79-80,1,J. Grant makes free throw 2 of 2
0:29.0,D. Lillard misses 2-pt shot from 18 ft,,79-80,,
0:27.0,,,79-80,,Defensive rebound by P. Patterson
0:04.0,,,79-80,,P. George misses 3-pt shot from 25 ft
0:04.0,,,79-80,,Offensive rebound by Team
0:04.0,,,79-80,,Turnover by Team (shot clock)
0:00.0,M. Harkless makes 3-pt shot from 26 ft (assist by D. Lillard),3,82-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Turnover by C. McCollum (lost ball; steal by T. Ferguson),,82-80,,
11:47.0,Personal take foul by S. Napier (drawn by T. Ferguson),,82-80,,
11:24.0,Jump ball: J. Grant vs. S. Napier (P. George gains possession),,,,Jump ball: J. Grant vs. S. Napier (P. George gains possession)
11:22.0,,,82-80,,Shooting foul by M. Harkless (drawn by P. George)
11:22.0,,,82-81,1,P. George makes free throw 1 of 2
11:22.0,,,82-82,1,P. George makes free throw 2 of 2
11:03.0,C. McCollum makes 3-pt shot from 26 ft,3,85-82,,
10:47.0,,,85-82,,Shooting foul by E. Davis (drawn by P. George)
10:47.0,,,85-83,1,P. George makes free throw 1 of 2
10:47.0,,,85-84,1,P. George makes free throw 2 of 2
10:30.0,C. McCollum makes 2-pt shot from 22 ft,2,87-84,,
10:02.0,,,87-84,,J. Grant misses 2-pt shot at rim
10:00.0,Defensive rebound by E. Davis,,87-84,,
9:52.0,S. Napier misses 3-pt shot from 26 ft,,87-84,,
9:47.0,,,87-84,,Defensive rebound by P. George
9:39.0,,,87-86,2,P. George makes 2-pt shot at rim
9:15.0,C. McCollum misses 2-pt shot from 11 ft,,87-86,,
9:13.0,,,87-86,,Defensive rebound by Team
9:13.0,,,87-86,,A. Abrines enters the game for P. George
9:13.0,,,87-86,,R. Westbrook enters the game for T. Ferguson
8:59.0,,,87-89,3,P. Patterson makes 3-pt shot from 23 ft (assist by A. Abrines)
8:34.0,P. Connaughton misses 3-pt shot from 22 ft,,87-89,,
8:30.0,Offensive rebound by P. Connaughton,,87-89,,
8:30.0,Portland full timeout,,87-89,,
8:30.0,D. Lillard enters the game for P. Connaughton,,87-89,,
8:30.0,A. Aminu enters the game for S. Napier,,87-89,,
8:18.0,,,87-89,,Personal foul by A. Abrines (drawn by D. Lillard)
8:06.0,C. McCollum makes 2-pt shot from 13 ft,2,89-89,,
7:48.0,,,89-91,2,R. Westbrook makes 2-pt shot from 21 ft
7:33.0,M. Harkless makes 2-pt shot from 1 ft (assist by E. Davis),2,91-91,,
7:17.0,,,91-91,,Shooting foul by E. Davis (drawn by J. Grant)
7:17.0,,,91-92,1,J. Grant makes free throw 1 of 2
7:17.0,,,91-92,,S. Adams enters the game for P. Patterson
7:17.0,J. Nurkic enters the game for E. Davis,,91-92,,
7:17.0,,,91-93,1,J. Grant makes free throw 2 of 2
6:59.0,J. Nurkic misses 2-pt shot from 5 ft,,91-93,,
6:58.0,,,91-93,,Defensive rebound by A. Abrines
6:50.0,,,91-93,,Turnover by R. Westbrook (bad pass; steal by A. Aminu)
6:44.0,C. McCollum makes 2-pt shot from 8 ft,2,93-93,,
6:25.0,Personal foul by M. Harkless (drawn by R. Westbrook),,93-93,,
6:25.0,,,93-94,1,R. Westbrook makes free throw 1 of 2
6:25.0,,,93-94,,C. Brewer enters the game for R. Felton
6:25.0,,,93-94,,C. Anthony enters the game for J. Grant
6:25.0,,,93-95,1,R. Westbrook makes free throw 2 of 2
6:13.0,C. McCollum makes 3-pt shot from 25 ft (assist by J. Nurkic),3,96-95,,
6:13.0,Shooting foul by C. Brewer (drawn by C. McCollum),,96-95,,
6:13.0,C. McCollum misses free throw 1 of 1,,96-95,,
6:13.0,,,96-95,,Defensive rebound by R. Westbrook
6:04.0,,,96-95,,Turnover by R. Westbrook (bad pass; steal by A. Aminu)
6:00.0,M. Harkless misses 2-pt shot at rim,,96-95,,
5:56.0,Offensive rebound by D. Lillard,,96-95,,
5:55.0,D. Lillard misses 2-pt shot from 9 ft,,96-95,,
5:54.0,,,96-95,,Defensive rebound by C. Anthony
5:46.0,,,96-98,3,A. Abrines makes 3-pt shot from 26 ft (assist by R. Westbrook)
5:26.0,A. Aminu misses 3-pt shot from 24 ft,,96-98,,
5:24.0,,,96-98,,Defensive rebound by R. Westbrook
5:22.0,Personal foul by C. McCollum (drawn by R. Westbrook),,96-98,,
5:22.0,,,96-99,1,R. Westbrook makes free throw 1 of 2
5:22.0,,,96-99,,R. Westbrook misses free throw 2 of 2
5:20.0,Defensive rebound by M. Harkless,,96-99,,
5:06.0,J. Nurkic makes 2-pt shot from 1 ft (assist by C. McCollum),2,98-99,,
5:04.0,,,98-99,,Oklahoma City full timeout
5:04.0,,,98-99,,P. George enters the game for A. Abrines
4:53.0,,,98-99,,C. Anthony misses 3-pt shot from 24 ft
4:48.0,,,98-99,,Offensive rebound by S. Adams
4:44.0,,,98-99,,R. Westbrook misses 2-pt shot at rim
4:42.0,,,98-99,,Offensive rebound by S. Adams
4:41.0,,,98-99,,S. Adams misses 2-pt shot from 1 ft
4:39.0,Defensive rebound by J. Nurkic,,98-99,,
4:25.0,D. Lillard misses 2-pt shot from 2 ft (block by P. George),,98-99,,
4:23.0,,,98-99,,Defensive rebound by C. Brewer
4:13.0,,,98-101,2,R. Westbrook makes 2-pt shot from 17 ft
3:56.0,C. McCollum misses 2-pt shot from 6 ft,,98-101,,
3:54.0,,,98-101,,Defensive rebound by R. Westbrook
3:51.0,,,98-101,,R. Westbrook misses 2-pt shot at rim
3:48.0,,,98-101,,Offensive rebound by S. Adams
3:47.0,,,98-101,,C. Anthony misses 3-pt shot from 25 ft
3:47.0,,,98-101,,Offensive rebound by C. Anthony
3:42.0,,,98-101,,C. Anthony misses 3-pt shot from 24 ft
3:38.0,Defensive rebound by J. Nurkic,,98-101,,
3:35.0,Portland full timeout,,98-101,,
3:26.0,A. Aminu misses 3-pt shot from 25 ft,,98-101,,
