time,Dallas,pts.away,score,pts.home,Atlanta
3:29.0,Offensive rebound by M. Kleber,,18-19,,
3:25.0,Y. Ferrell misses 3-pt shot from 24 ft,,18-19,,
3:22.0,,,18-19,,Defensive rebound by T. Waller-Prince
3:04.0,,,18-19,,Offensive charge foul by T. Waller-Prince (drawn by S. Mejri)
3:04.0,,,18-19,,Turnover by T. Waller-Prince (offensive foul)
3:04.0,,,18-19,,I. Taylor enters the game for T. Waller-Prince
3:04.0,,,18-19,,M. Delaney enters the game for D. Schroder
3:04.0,J. Barea enters the game for Y. Ferrell,,18-19,,
3:04.0,D. Harris enters the game for W. Matthews,,18-19,,
2:50.0,Turnover by D. Harris (bad pass),,18-19,,
2:50.0,,,18-19,,T. Cavanaugh enters the game for E. Ilyasova
2:41.0,,,18-21,2,J. Collins makes 2-pt shot from 1 ft (assist by M. Delaney)
2:17.0,D. Harris misses 3-pt shot from 25 ft,,18-21,,
2:14.0,Offensive rebound by M. Kleber,,18-21,,
2:11.0,M. Kleber makes 2-pt shot from 1 ft (assist by J. Barea),2,20-21,,
1:51.0,,,20-21,,T. Cavanaugh misses 3-pt shot from 23 ft
1:48.0,Defensive rebound by D. Harris,,20-21,,
1:36.0,J. Barea misses 3-pt shot from 22 ft,,20-21,,
1:33.0,,,20-21,,Defensive rebound by J. Collins
1:22.0,,,20-23,2,J. Collins makes 2-pt shot from 3 ft (assist by I. Taylor)
1:05.0,D. Harris makes 3-pt shot from 25 ft (assist by J. Barea),3,23-23,,
0:49.0,,,23-23,,T. Cavanaugh misses 3-pt shot from 24 ft
0:46.0,Defensive rebound by H. Barnes,,23-23,,
0:35.0,,,23-23,,Personal foul by I. Taylor (drawn by S. Mejri)
0:35.0,D. Powell enters the game for H. Barnes,,23-23,,
0:35.0,Y. Ferrell enters the game for M. Kleber,,23-23,,
0:35.0,D. Nowitzki enters the game for S. Mejri,,23-23,,
0:33.0,,,23-23,,Personal block foul by M. Delaney (drawn by D. Harris)
0:33.0,D. Harris makes free throw 1 of 2,1,24-23,,
0:33.0,M. Kleber enters the game for D. Nowitzki,,24-23,,
0:33.0,D. Harris makes free throw 2 of 2,1,25-23,,
0:22.0,,,25-25,2,T. Cavanaugh makes 2-pt shot at rim (assist by I. Taylor)
0:02.0,M. Kleber misses 3-pt shot from 23 ft,,25-25,,
0:02.0,,,25-25,,Defensive rebound by M. Belinelli
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,J. Barea misses 2-pt shot from 10 ft,,25-25,,
11:36.0,,,25-25,,Defensive rebound by J. Collins
11:33.0,,,25-27,2,I. Taylor makes 2-pt shot at rim (assist by M. Delaney)
11:23.0,D. Nowitzki misses 2-pt shot from 19 ft,,25-27,,
11:20.0,,,25-27,,Defensive rebound by M. Delaney
11:08.0,,,25-29,2,M. Delaney makes 2-pt shot from 19 ft (assist by J. Collins)
10:51.0,Turnover by J. Barea (bad pass; steal by M. Belinelli),,25-29,,
10:42.0,,,25-29,,M. Delaney misses 3-pt shot from 24 ft
10:39.0,Defensive rebound by D. Nowitzki,,25-29,,
10:29.0,J. Barea makes 2-pt shot from 12 ft,2,27-29,,
10:10.0,,,27-29,,M. Delaney misses 2-pt shot from 16 ft
10:08.0,Defensive rebound by Y. Ferrell,,27-29,,
10:01.0,Y. Ferrell misses 2-pt shot from 8 ft,,27-29,,
10:00.0,Offensive rebound by Team,,27-29,,
10:00.0,,,27-29,,K. Bazemore enters the game for M. Belinelli
9:54.0,D. Harris misses 2-pt shot from 1 ft,,27-29,,
9:51.0,,,27-29,,Defensive rebound by T. Cavanaugh
9:38.0,,,27-31,2,T. Cavanaugh makes 2-pt shot from 1 ft (assist by I. Taylor)
9:17.0,,,27-31,,Def 3 sec tech foul by I. Taylor
9:17.0,D. Nowitzki makes technical free throw,1,28-31,,
9:09.0,Y. Ferrell makes 2-pt shot from 18 ft (assist by D. Nowitzki),2,30-31,,
8:56.0,,,30-33,2,J. Collins makes 2-pt shot from 1 ft (assist by K. Bazemore)
8:56.0,,,30-33,,Shooting foul by Y. Ferrell (drawn by J. Collins)
8:56.0,,,30-33,,E. Ilyasova enters the game for T. Cavanaugh
8:56.0,,,30-33,,J. Collins misses free throw 1 of 1
8:54.0,Defensive rebound by D. Nowitzki,,30-33,,
8:41.0,Y. Ferrell misses 3-pt shot from 25 ft,,30-33,,
8:37.0,,,30-33,,Defensive rebound by K. Bazemore
8:27.0,,,30-33,,Turnover by K. Bazemore (out of bounds lost ball)
8:27.0,,,30-33,,M. Plumlee enters the game for J. Collins
8:13.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by J. Barea),2,32-33,,
8:01.0,,,32-33,,K. Bazemore misses 2-pt shot from 12 ft
7:57.0,Defensive rebound by D. Nowitzki,,32-33,,
7:47.0,D. Harris makes 3-pt shot from 23 ft (assist by J. Barea),3,35-33,,
7:45.0,,,35-33,,Atlanta full timeout
7:45.0,,,35-33,,D. Schroder enters the game for I. Taylor
7:27.0,,,35-33,,D. Schroder misses 2-pt shot from 17 ft
7:22.0,,,35-33,,Offensive rebound by M. Plumlee
7:10.0,,,35-35,2,M. Plumlee makes 2-pt shot from 2 ft (assist by D. Schroder)
6:53.0,Turnover by J. Barea (bad pass; steal by D. Schroder),,35-35,,
6:49.0,,,35-35,,Shooting foul by Y. Ferrell (drawn by E. Ilyasova)
6:49.0,,,35-36,1,E. Ilyasova makes free throw 1 of 2
6:49.0,,,35-36,,T. Waller-Prince enters the game for M. Delaney
6:49.0,W. Matthews enters the game for Y. Ferrell,,35-36,,
6:49.0,,,35-37,1,E. Ilyasova makes free throw 2 of 2
6:49.0,D. Smith enters the game for D. Harris,,35-37,,
6:36.0,W. Matthews makes 2-pt shot from 1 ft (assist by D. Nowitzki),2,37-37,,
6:20.0,,,37-39,2,D. Schroder makes 2-pt shot from 1 ft
6:03.0,Shooting foul by D. Schroder (drawn by D. Smith),,37-39,,
6:03.0,D. Smith misses free throw 1 of 2,,37-39,,
6:03.0,Offensive rebound by Team,,37-39,,
6:03.0,D. Smith makes free throw 2 of 2,1,38-39,,
5:57.0,,,38-39,,D. Schroder misses 3-pt shot from 24 ft
5:53.0,Defensive rebound by J. Barea,,38-39,,
5:44.0,J. Barea misses 2-pt shot at rim (block by E. Ilyasova),,38-39,,
5:44.0,Offensive rebound by Team,,38-39,,
5:44.0,H. Barnes enters the game for D. Nowitzki,,38-39,,
5:44.0,Turnover by D. Powell (step out of bounds),,38-39,,
5:34.0,,,38-39,,Turnover by M. Plumlee (turnover)
5:17.0,,,38-39,,Personal foul by E. Ilyasova (drawn by H. Barnes)
5:02.0,Turnover by W. Matthews (bad pass; steal by K. Bazemore),,38-39,,
4:57.0,,,38-39,,Turnover by E. Ilyasova (bad pass; steal by D. Powell)
4:51.0,D. Powell makes 2-pt shot at rim (assist by J. Barea),2,40-39,,
4:33.0,,,40-39,,Turnover by E. Ilyasova (bad pass; steal by J. Barea)
4:18.0,D. Powell makes 2-pt shot from 1 ft (assist by D. Smith),2,42-39,,
4:17.0,,,42-39,,Atlanta full timeout
4:17.0,,,42-39,,M. Belinelli enters the game for M. Plumlee
4:17.0,,,42-39,,J. Collins enters the game for K. Bazemore
4:03.0,,,42-41,2,D. Schroder makes 2-pt shot from 1 ft
3:50.0,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea),2,44-41,,
3:31.0,,,44-41,,J. Collins misses 2-pt shot from 1 ft
3:28.0,Defensive rebound by D. Powell,,44-41,,
3:10.0,Shooting foul by T. Waller-Prince (drawn by D. Powell),,44-41,,
3:10.0,D. Powell makes free throw 1 of 2,1,45-41,,
3:10.0,,,45-41,,T. Cavanaugh enters the game for E. Ilyasova
3:10.0,,,45-41,,M. Delaney enters the game for T. Waller-Prince
3:10.0,Y. Ferrell enters the game for J. Barea,,45-41,,
3:10.0,D. Powell makes free throw 2 of 2,1,46-41,,
2:52.0,,,46-41,,Shooting foul by D. Smith (drawn by M. Delaney)
2:52.0,,,46-42,1,M. Delaney makes free throw 1 of 2
2:52.0,,,46-43,1,M. Delaney makes free throw 2 of 2
2:39.0,D. Smith makes 2-pt shot at rim (assist by D. Powell),2,48-43,,
2:24.0,,,48-43,,J. Collins misses 2-pt shot from 2 ft
2:22.0,,,48-43,,Offensive rebound by J. Collins
2:21.0,,,48-43,,J. Collins misses 2-pt shot from 2 ft (block by D. Powell)
2:21.0,Defensive rebound by Team,,48-43,,
2:10.0,H. Barnes misses 3-pt shot from 24 ft,,48-43,,
2:07.0,Offensive rebound by D. Powell,,48-43,,
1:59.0,D. Smith misses 3-pt shot from 25 ft,,48-43,,
1:53.0,,,48-43,,Defensive rebound by M. Delaney
1:49.0,,,48-46,3,T. Cavanaugh makes 3-pt shot from 22 ft (assist by M. Delaney)
1:47.0,Dallas full timeout,,48-46,,
1:28.0,H. Barnes makes 2-pt shot from 14 ft,2,50-46,,
1:06.0,,,50-46,,D. Schroder misses 3-pt shot from 25 ft
1:06.0,,,50-46,,Offensive rebound by Team
1:06.0,Loose ball foul by H. Barnes (drawn by J. Collins),,50-46,,
1:06.0,M. Kleber enters the game for D. Powell,,50-46,,
0:49.0,,,50-46,,M. Belinelli misses 3-pt shot from 28 ft
0:46.0,Defensive rebound by D. Smith,,50-46,,
0:31.0,H. Barnes misses 2-pt shot from 10 ft,,50-46,,
0:27.0,,,50-46,,Defensive rebound by T. Cavanaugh
0:13.0,,,50-48,2,J. Collins makes 2-pt shot from 1 ft (assist by D. Schroder)
0:00.0,H. Barnes makes 2-pt shot from 5 ft,2,52-48,,
0:00.0,Shooting foul by T. Cavanaugh (drawn by H. Barnes),,52-48,,
0:00.0,H. Barnes makes free throw 1 of 1,1,53-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,D. Smith misses 2-pt shot from 1 ft,,53-48,,
11:40.0,,,53-48,,Defensive rebound by E. Ilyasova
11:38.0,,,53-50,2,D. Schroder makes 2-pt shot from 1 ft
11:21.0,H. Barnes misses 3-pt shot from 24 ft,,53-50,,
11:21.0,,,53-50,,Defensive rebound by D. Schroder
11:06.0,,,53-52,2,D. Schroder makes 2-pt shot from 19 ft (assist by M. Plumlee)
10:48.0,H. Barnes makes 2-pt shot from 1 ft (assist by W. Matthews),2,55-52,,
10:34.0,,,55-55,3,D. Schroder makes 3-pt shot from 25 ft
10:08.0,H. Barnes misses 2-pt shot from 2 ft,,55-55,,
10:06.0,,,55-55,,Defensive rebound by E. Ilyasova
9:57.0,,,55-57,2,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Schroder)
9:57.0,Dallas full timeout,,55-57,,
9:38.0,H. Barnes makes 2-pt shot from 7 ft,2,57-57,,
9:22.0,,,57-59,2,K. Bazemore makes 2-pt shot from 1 ft
9:09.0,D. Smith misses 3-pt shot from 24 ft,,57-59,,
9:07.0,,,57-59,,Defensive rebound by E. Ilyasova
9:01.0,,,57-59,,D. Schroder misses 2-pt shot from 13 ft
8:58.0,Defensive rebound by H. Barnes,,57-59,,
8:52.0,D. Nowitzki misses 3-pt shot from 25 ft,,57-59,,
8:49.0,,,57-59,,Defensive rebound by K. Bazemore
8:40.0,,,57-62,3,K. Bazemore makes 3-pt shot from 24 ft (assist by T. Waller-Prince)
8:19.0,H. Barnes misses 2-pt shot from 11 ft,,57-62,,
8:15.0,,,57-62,,Defensive rebound by T. Waller-Prince
8:13.0,,,57-62,,Turnover by T. Waller-Prince (out of bounds lost ball)
8:13.0,Y. Ferrell enters the game for D. Smith,,57-62,,
7:55.0,W. Matthews makes 2-pt shot from 9 ft,2,59-62,,
7:55.0,,,59-62,,Violation by M. Plumlee (def goaltending)
7:43.0,,,59-62,,Shooting foul by W. Matthews (drawn by K. Bazemore)
7:43.0,,,59-63,1,K. Bazemore makes free throw 1 of 2
7:43.0,S. Mejri enters the game for D. Nowitzki,,59-63,,
7:43.0,,,59-64,1,K. Bazemore makes free throw 2 of 2
7:28.0,W. Matthews makes 3-pt shot from 25 ft (assist by H. Barnes),3,62-64,,
7:08.0,,,62-66,2,D. Schroder makes 2-pt shot from 21 ft
6:54.0,,,62-66,,Violation by D. Schroder (kicked ball)
6:44.0,M. Kleber misses 2-pt shot from 22 ft,,62-66,,
6:41.0,,,62-66,,Defensive rebound by T. Waller-Prince
6:39.0,,,62-66,,Shooting foul by Y. Ferrell (drawn by D. Schroder)
6:39.0,,,62-67,1,D. Schroder makes free throw 1 of 2
6:39.0,,,62-67,,M. Delaney enters the game for T. Waller-Prince
6:39.0,,,62-68,1,D. Schroder makes free throw 2 of 2
6:30.0,W. Matthews misses 3-pt shot from 25 ft,,62-68,,
6:26.0,,,62-68,,Defensive rebound by K. Bazemore
6:19.0,,,62-68,,K. Bazemore misses 2-pt shot from 7 ft
6:15.0,,,62-68,,Offensive rebound by M. Plumlee
6:06.0,,,62-68,,E. Ilyasova misses 3-pt shot from 24 ft
6:03.0,Defensive rebound by W. Matthews,,62-68,,
5:51.0,Turnover by W. Matthews (bad pass),,62-68,,
5:51.0,,,62-68,,T. Waller-Prince enters the game for K. Bazemore
5:43.0,Personal foul by S. Mejri (drawn by M. Plumlee),,62-68,,
5:43.0,,,62-68,,J. Collins enters the game for M. Plumlee
5:43.0,D. Harris enters the game for Y. Ferrell,,62-68,,
5:43.0,J. Barea enters the game for M. Kleber,,62-68,,
5:34.0,,,62-70,2,J. Collins makes 2-pt shot from 2 ft (assist by D. Schroder)
5:12.0,S. Mejri makes 2-pt shot from 1 ft (assist by J. Barea),2,64-70,,
4:53.0,,,64-70,,Shooting foul by S. Mejri (drawn by J. Collins)
4:53.0,Technical foul by S. Mejri,,64-70,,
4:53.0,,,64-71,1,D. Schroder makes technical free throw
4:53.0,,,64-72,1,J. Collins makes free throw 1 of 2
4:53.0,,,64-72,,J. Collins misses free throw 2 of 2
4:50.0,Defensive rebound by S. Mejri,,64-72,,
4:40.0,,,64-72,,Def 3 sec tech foul by J. Collins
4:40.0,H. Barnes makes technical free throw,1,65-72,,
4:25.0,Turnover by Team (shot clock),,65-72,,
4:15.0,,,65-75,3,T. Waller-Prince makes 3-pt shot from 22 ft (assist by E. Ilyasova)
4:00.0,H. Barnes makes 2-pt shot from 4 ft,2,67-75,,
3:43.0,,,67-75,,M. Delaney misses 3-pt shot from 24 ft
3:40.0,Defensive rebound by W. Matthews,,67-75,,
3:36.0,J. Barea makes 3-pt shot from 24 ft (assist by W. Matthews),3,70-75,,
3:15.0,,,70-75,,Turnover by D. Schroder (lost ball; steal by W. Matthews)
3:12.0,Turnover by W. Matthews (bad pass; steal by T. Waller-Prince),,70-75,,
3:08.0,,,70-77,2,T. Waller-Prince makes 2-pt shot from 5 ft
2:59.0,,,70-77,,Personal foul by E. Ilyasova (drawn by D. Harris)
2:59.0,,,70-77,,Atlanta full timeout
2:59.0,,,70-77,,I. Taylor enters the game for E. Ilyasova
2:59.0,,,70-77,,T. Cavanaugh enters the game for D. Schroder
2:59.0,D. Powell enters the game for W. Matthews,,70-77,,
2:59.0,Y. Ferrell enters the game for H. Barnes,,70-77,,
2:59.0,D. Nowitzki enters the game for S. Mejri,,70-77,,
2:52.0,D. Harris makes 2-pt shot from 3 ft (assist by D. Powell),2,72-77,,
2:37.0,,,72-77,,Turnover by T. Waller-Prince (out of bounds lost ball)
2:37.0,,,72-77,,M. Belinelli enters the game for T. Waller-Prince
2:23.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by J. Barea),2,74-77,,
2:08.0,,,74-77,,Shooting foul by Y. Ferrell (drawn by I. Taylor)
2:08.0,,,74-77,,I. Taylor misses free throw 1 of 2
2:08.0,,,74-77,,Offensive rebound by Team
2:08.0,D. Smith enters the game for Y. Ferrell,,74-77,,
2:08.0,,,74-77,,I. Taylor misses free throw 2 of 2
2:06.0,,,74-77,,Offensive rebound by T. Cavanaugh
2:00.0,,,74-79,2,M. Belinelli makes 2-pt shot from 20 ft (assist by J. Collins)
1:45.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by J. Barea),3,77-79,,
1:28.0,,,77-79,,Turnover by I. Taylor (bad pass; steal by J. Barea)
1:24.0,D. Harris misses 2-pt shot from 2 ft,,77-79,,
1:21.0,,,77-79,,Defensive rebound by J. Collins
1:11.0,,,77-79,,Turnover by M. Delaney (bad pass; steal by J. Barea)
1:05.0,,,77-79,,Personal foul by M. Belinelli (drawn by J. Barea)
1:01.0,J. Barea misses 3-pt shot from 25 ft,,77-79,,
0:57.0,,,77-79,,Defensive rebound by T. Cavanaugh
0:38.0,,,77-79,,M. Belinelli misses 2-pt shot from 5 ft
0:34.0,Defensive rebound by J. Barea,,77-79,,
0:30.0,D. Harris misses 3-pt shot from 22 ft,,77-79,,
0:27.0,,,77-79,,Defensive rebound by T. Cavanaugh
0:10.0,,,77-79,,Turnover by M. Belinelli (lost ball; steal by D. Harris)
0:06.0,D. Smith makes 2-pt shot from 1 ft (assist by D. Harris),2,79-79,,
0:06.0,Shooting foul by M. Delaney (drawn by D. Smith),,79-79,,
0:06.0,M. Kleber enters the game for D. Nowitzki,,79-79,,
0:06.0,D. Smith makes free throw 1 of 1,1,80-79,,
0:00.0,,,80-79,,I. Taylor misses 2-pt shot from 14 ft
0:00.0,,,80-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,80-82,3,E. Ilyasova makes 3-pt shot from 23 ft (assist by M. Delaney)
11:27.0,D. Nowitzki makes 2-pt shot from 21 ft (assist by D. Harris),2,82-82,,
11:11.0,,,82-82,,E. Ilyasova misses 2-pt shot from 7 ft
11:08.0,Defensive rebound by D. Powell,,82-82,,
10:59.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by J. Barea),3,85-82,,
10:32.0,,,85-85,3,M. Delaney makes 3-pt shot from 25 ft
10:19.0,J. Barea makes 2-pt shot from 1 ft,2,87-85,,
10:19.0,Shooting foul by T. Cavanaugh (drawn by J. Barea),,87-85,,
10:19.0,,,87-85,,D. Schroder enters the game for M. Belinelli
10:19.0,,,87-85,,K. Bazemore enters the game for I. Taylor
10:19.0,J. Barea makes free throw 1 of 1,1,88-85,,
10:09.0,,,88-85,,K. Bazemore misses 3-pt shot from 24 ft
10:05.0,,,88-85,,Offensive rebound by E. Ilyasova
9:58.0,,,88-85,,Turnover by D. Schroder (lost ball; steal by D. Smith)
9:39.0,J. Barea makes 2-pt shot from 2 ft,2,90-85,,
9:25.0,,,90-88,3,D. Schroder makes 3-pt shot from 24 ft
9:11.0,Offensive foul by D. Nowitzki (drawn by D. Schroder),,90-88,,
9:11.0,Turnover by D. Nowitzki (offensive foul),,90-88,,
9:11.0,,,90-88,,M. Plumlee enters the game for T. Cavanaugh
8:58.0,,,90-90,2,D. Schroder makes 2-pt shot from 20 ft (assist by K. Bazemore)
8:43.0,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea),2,92-90,,
8:24.0,,,92-90,,K. Bazemore misses 3-pt shot from 25 ft
8:22.0,,,92-90,,Offensive rebound by Team
8:22.0,H. Barnes enters the game for D. Smith,,92-90,,
8:22.0,Y. Ferrell enters the game for D. Nowitzki,,92-90,,
8:21.0,,,92-90,,Shooting foul by D. Harris (drawn by K. Bazemore)
8:21.0,,,92-91,1,K. Bazemore makes free throw 1 of 2
8:21.0,W. Matthews enters the game for D. Harris,,92-91,,
8:21.0,,,92-92,1,K. Bazemore makes free throw 2 of 2
7:57.0,H. Barnes misses 3-pt shot from 22 ft,,92-92,,
7:45.0,Offensive rebound by D. Powell,,92-92,,
7:45.0,D. Powell makes 2-pt shot at rim,2,94-92,,
7:38.0,,,94-92,,Shooting foul by D. Powell (drawn by K. Bazemore)
7:38.0,,,94-93,1,K. Bazemore makes free throw 1 of 2
7:38.0,,,94-93,,T. Waller-Prince enters the game for M. Delaney
7:38.0,,,94-94,1,K. Bazemore makes free throw 2 of 2
7:19.0,W. Matthews misses 3-pt shot from 25 ft,,94-94,,
7:16.0,,,94-94,,Defensive rebound by E. Ilyasova
7:05.0,,,94-94,,D. Schroder misses 2-pt shot from 4 ft
7:02.0,,,94-94,,Offensive rebound by M. Plumlee
6:43.0,,,94-94,,T. Waller-Prince misses 3-pt shot from 25 ft
6:40.0,Defensive rebound by Y. Ferrell,,94-94,,
6:32.0,J. Barea makes 2-pt shot from 17 ft,2,96-94,,
6:30.0,,,96-94,,Atlanta full timeout
6:16.0,,,96-96,2,M. Plumlee makes 2-pt shot at rim (assist by E. Ilyasova)
5:50.0,H. Barnes makes 2-pt shot from 12 ft (assist by W. Matthews),2,98-96,,
5:30.0,,,98-98,2,D. Schroder makes 2-pt shot from 10 ft
5:07.0,H. Barnes misses 2-pt shot from 1 ft (block by K. Bazemore),,98-98,,
5:07.0,Offensive rebound by Team,,98-98,,
5:07.0,,,98-98,,M. Delaney enters the game for K. Bazemore
5:05.0,H. Barnes makes 2-pt shot from 2 ft (assist by J. Barea),2,100-98,,
4:51.0,,,100-98,,D. Schroder misses 2-pt shot from 8 ft
4:49.0,Defensive rebound by Y. Ferrell,,100-98,,
4:43.0,,,100-98,,Personal foul by E. Ilyasova (drawn by Y. Ferrell)
4:43.0,,,100-98,,K. Bazemore enters the game for E. Ilyasova
4:41.0,Offensive charge foul by D. Powell (drawn by D. Schroder),,100-98,,
4:41.0,Turnover by D. Powell (offensive foul),,100-98,,
4:41.0,D. Smith enters the game for J. Barea,,100-98,,
4:27.0,,,100-101,3,D. Schroder makes 3-pt shot from 25 ft (assist by M. Delaney)
4:25.0,Dallas full timeout,,100-101,,
4:25.0,D. Nowitzki enters the game for D. Powell,,100-101,,
4:25.0,J. Barea enters the game for D. Smith,,100-101,,
4:25.0,,,100-101,,E. Ilyasova enters the game for M. Plumlee
4:09.0,H. Barnes makes 2-pt shot from 4 ft (assist by D. Nowitzki),2,102-101,,
3:51.0,,,102-103,2,D. Schroder makes 2-pt shot from 1 ft
3:26.0,W. Matthews misses 3-pt shot from 26 ft,,102-103,,
3:23.0,,,102-103,,Defensive rebound by D. Schroder
3:04.0,,,102-105,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by K. Bazemore)
3:04.0,Dallas full timeout,,102-105,,
2:50.0,,,102-105,,Personal foul by K. Bazemore (drawn by D. Nowitzki)
2:41.0,,,102-105,,Personal foul by K. Bazemore (drawn by H. Barnes)
2:28.0,J. Barea makes 3-pt shot from 25 ft (assist by H. Barnes),3,105-105,,
2:07.0,,,105-107,2,E. Ilyasova makes 2-pt shot from 4 ft (assist by K. Bazemore)
1:46.0,H. Barnes misses 3-pt shot from 25 ft,,105-107,,
1:43.0,Offensive rebound by Y. Ferrell,,105-107,,
1:42.0,J. Barea misses 3-pt shot from 26 ft,,105-107,,
