time,New Orleans,pts.away,score,pts.home,Boston
7:34.0,,,11-9,2,J. Brown makes 2-pt shot at rim (assist by K. Irving)
7:20.0,D. Cousins makes 2-pt shot from 1 ft (assist by R. Rondo),2,13-9,,
6:57.0,,,13-11,2,A. Baynes makes 2-pt shot from 14 ft (assist by J. Brown)
6:41.0,E. Moore misses 2-pt shot from 22 ft,,13-11,,
6:39.0,,,13-11,,Defensive rebound by M. Smart
6:22.0,,,13-13,2,M. Smart makes 2-pt shot from 2 ft
6:07.0,Turnover by A. Davis (traveling),,13-13,,
5:56.0,,,13-13,,A. Horford misses 2-pt shot from 18 ft
5:53.0,Defensive rebound by A. Davis,,13-13,,
5:42.0,A. Davis makes 2-pt shot from 9 ft (assist by D. Cousins),2,15-13,,
5:31.0,,,15-13,,M. Smart misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by E. Moore,,15-13,,
5:26.0,J. Holiday misses 2-pt shot from 1 ft,,15-13,,
5:24.0,,,15-13,,Defensive rebound by K. Irving
5:19.0,,,15-13,,M. Smart misses 3-pt shot from 22 ft
5:17.0,,,15-13,,Offensive rebound by Team
5:17.0,,,15-13,,M. Morris enters the game for A. Horford
5:17.0,,,15-13,,D. Theis enters the game for A. Baynes
5:17.0,D. Miller enters the game for J. Holiday,,15-13,,
5:14.0,,,15-16,3,M. Smart makes 3-pt shot from 22 ft (assist by J. Brown)
4:58.0,A. Davis makes 2-pt shot from 2 ft (assist by D. Cousins),2,17-16,,
4:58.0,Shooting foul by M. Morris (drawn by A. Davis),,17-16,,
4:58.0,A. Davis makes free throw 1 of 1,1,18-16,,
4:40.0,,,18-16,,J. Brown misses 2-pt shot from 3 ft (block by R. Rondo)
4:38.0,Defensive rebound by D. Cousins,,18-16,,
4:38.0,,,18-16,,Violation by M. Smart (kicked ball)
4:38.0,,,18-16,,T. Rozier enters the game for J. Brown
4:21.0,D. Miller misses 3-pt shot from 26 ft,,18-16,,
4:18.0,Offensive rebound by A. Davis,,18-16,,
4:16.0,A. Davis makes 2-pt shot from 6 ft,2,20-16,,
4:08.0,,,20-16,,Shooting foul by E. Moore (drawn by K. Irving)
4:08.0,,,20-17,1,K. Irving makes free throw 1 of 3
4:08.0,,,20-18,1,K. Irving makes free throw 2 of 3
4:08.0,D. Cunningham enters the game for D. Cousins,,20-18,,
4:08.0,,,20-19,1,K. Irving makes free throw 3 of 3
4:02.0,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo),2,22-19,,
3:49.0,,,22-19,,D. Theis misses 3-pt shot from 24 ft
3:48.0,,,22-19,,Offensive rebound by Team
3:46.0,,,22-19,,K. Irving misses 2-pt shot from 12 ft
3:42.0,,,22-19,,Offensive rebound by M. Morris
3:38.0,,,22-21,2,T. Rozier makes 2-pt shot from 1 ft
3:25.0,,,22-21,,Personal foul by M. Smart (drawn by A. Davis)
3:25.0,A. Davis makes free throw 1 of 2,1,23-21,,
3:25.0,A. Davis makes free throw 2 of 2,1,24-21,,
3:11.0,,,24-21,,M. Morris misses 2-pt shot from 12 ft
3:08.0,Defensive rebound by D. Miller,,24-21,,
3:02.0,A. Davis misses 3-pt shot from 28 ft,,24-21,,
2:58.0,,,24-21,,Defensive rebound by M. Morris
2:51.0,Personal foul by D. Miller (drawn by M. Morris),,24-21,,
2:51.0,New Orleans full timeout,,24-21,,
2:51.0,,,24-21,,J. Tatum enters the game for K. Irving
2:51.0,I. Clark enters the game for R. Rondo,,24-21,,
2:51.0,J. Holiday enters the game for E. Moore,,24-21,,
2:47.0,,,24-21,,T. Rozier misses 3-pt shot from 25 ft
2:46.0,Defensive rebound by Team,,24-21,,
2:31.0,A. Davis makes 2-pt shot from 17 ft,2,26-21,,
2:15.0,,,26-23,2,D. Theis makes 2-pt shot at rim (assist by M. Smart)
2:08.0,I. Clark makes 2-pt shot from 1 ft (assist by J. Holiday),2,28-23,,
2:00.0,,,28-23,,M. Smart misses 3-pt shot from 25 ft
2:00.0,Defensive rebound by A. Davis,,28-23,,
1:50.0,J. Holiday misses 2-pt shot from 15 ft,,28-23,,
1:46.0,Offensive rebound by A. Davis,,28-23,,
1:42.0,I. Clark misses 3-pt shot from 23 ft,,28-23,,
1:42.0,,,28-23,,Defensive rebound by M. Smart
1:35.0,,,28-25,2,M. Morris makes 2-pt shot from 1 ft (assist by M. Smart)
1:22.0,Shooting foul by D. Theis (drawn by A. Davis),,28-25,,
1:22.0,A. Davis makes free throw 1 of 2,1,29-25,,
1:22.0,A. Davis makes free throw 2 of 2,1,30-25,,
1:05.0,,,30-25,,M. Morris misses 2-pt shot from 12 ft
1:02.0,Defensive rebound by A. Davis,,30-25,,
0:57.0,A. Davis misses 2-pt shot from 21 ft,,30-25,,
0:55.0,,,30-25,,Defensive rebound by M. Morris
0:51.0,,,30-25,,J. Tatum misses 2-pt shot from 12 ft
0:47.0,Defensive rebound by A. Davis,,30-25,,
0:38.0,Jump ball: T. Rozier vs. A. Davis,,,,Jump ball: T. Rozier vs. A. Davis
0:38.0,D. Cousins enters the game for A. Davis,,30-25,,
0:32.0,J. Holiday misses 3-pt shot from 27 ft,,30-25,,
0:30.0,,,30-25,,Defensive rebound by J. Tatum
0:13.0,,,30-25,,T. Rozier misses 3-pt shot from 28 ft
0:10.0,Defensive rebound by J. Holiday,,30-25,,
0:04.0,J. Holiday makes 2-pt shot from 1 ft,2,32-25,,
0:01.0,,,32-25,,M. Smart misses 2-pt shot from 2 ft
0:01.0,,,32-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,32-25,,A. Horford misses 2-pt shot from 3 ft
11:40.0,Defensive rebound by D. Cousins,,32-25,,
11:34.0,D. Miller misses 3-pt shot from 26 ft,,32-25,,
11:32.0,,,32-25,,Defensive rebound by T. Rozier
11:24.0,,,32-25,,T. Rozier misses 3-pt shot from 24 ft
11:21.0,Defensive rebound by D. Cousins,,32-25,,
11:09.0,Turnover by D. Cousins (bad pass; steal by T. Rozier),,32-25,,
11:08.0,Personal foul by D. Miller (drawn by T. Rozier),,32-25,,
10:51.0,,,32-27,2,T. Rozier makes 2-pt shot from 8 ft (assist by A. Horford)
10:35.0,I. Clark makes 2-pt shot from 1 ft (assist by J. Holiday),2,34-27,,
10:21.0,,,34-30,3,T. Rozier makes 3-pt shot from 22 ft (assist by M. Morris)
10:10.0,,,34-30,,Personal foul by T. Rozier (drawn by D. Cousins)
9:55.0,J. Holiday misses 2-pt shot from 10 ft,,34-30,,
9:52.0,,,34-30,,Defensive rebound by A. Horford
9:46.0,,,34-30,,S. Larkin misses 3-pt shot from 25 ft
9:42.0,Defensive rebound by J. Holiday,,34-30,,
9:25.0,D. Cousins misses 3-pt shot from 26 ft,,34-30,,
9:22.0,,,34-30,,Defensive rebound by S. Larkin
9:09.0,,,34-30,,A. Horford misses 2-pt shot from 4 ft
9:07.0,Defensive rebound by D. Cunningham,,34-30,,
8:56.0,,,34-30,,Personal foul by T. Rozier (drawn by J. Holiday)
8:47.0,Turnover by J. Holiday (traveling),,34-30,,
8:33.0,,,34-30,,Shooting foul by D. Miller (drawn by J. Tatum)
8:33.0,,,34-31,1,J. Tatum makes free throw 1 of 2
8:33.0,E. Moore enters the game for D. Miller,,34-31,,
8:33.0,,,34-32,1,J. Tatum makes free throw 2 of 2
8:17.0,I. Clark makes 3-pt shot from 26 ft (assist by E. Moore),3,37-32,,
7:52.0,,,37-35,3,A. Horford makes 3-pt shot from 22 ft (assist by T. Rozier)
7:39.0,D. Cousins misses 3-pt shot from 27 ft,,37-35,,
7:35.0,,,37-35,,Defensive rebound by M. Morris
7:29.0,,,37-37,2,J. Tatum makes 2-pt shot from 14 ft
7:21.0,J. Holiday misses 2-pt shot from 3 ft (block by J. Tatum),,37-37,,
7:21.0,Offensive rebound by Team,,37-37,,
7:21.0,,,37-37,,K. Irving enters the game for M. Morris
7:21.0,A. Davis enters the game for D. Cousins,,37-37,,
7:18.0,A. Davis makes 2-pt shot from 13 ft (assist by E. Moore),2,39-37,,
6:56.0,Personal foul by I. Clark (drawn by K. Irving),,39-37,,
6:56.0,,,39-37,,Boston full timeout
6:56.0,,,39-37,,J. Brown enters the game for S. Larkin
6:56.0,D. Cousins enters the game for I. Clark,,39-37,,
6:56.0,R. Rondo enters the game for D. Cunningham,,39-37,,
6:52.0,,,39-37,,Turnover by J. Tatum (discontinued dribble)
6:29.0,E. Moore makes 2-pt shot from 2 ft (assist by D. Cousins),2,41-37,,
6:13.0,,,41-37,,J. Brown misses 3-pt shot from 25 ft
6:11.0,Defensive rebound by D. Cousins,,41-37,,
6:01.0,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo),2,43-37,,
5:40.0,,,43-37,,T. Rozier misses 3-pt shot from 24 ft
5:37.0,Defensive rebound by A. Davis,,43-37,,
5:28.0,R. Rondo misses 2-pt shot from 3 ft,,43-37,,
5:27.0,Offensive rebound by D. Cousins,,43-37,,
5:27.0,D. Cousins misses 2-pt shot at rim,,43-37,,
5:26.0,,,43-37,,Defensive rebound by J. Brown
5:19.0,,,43-37,,J. Tatum misses 3-pt shot from 22 ft
5:15.0,,,43-37,,Offensive rebound by A. Horford
5:13.0,,,43-40,3,J. Tatum makes 3-pt shot from 22 ft (assist by J. Brown)
5:03.0,A. Davis misses 3-pt shot from 26 ft,,43-40,,
5:03.0,,,43-40,,Defensive rebound by K. Irving
4:54.0,,,43-40,,J. Brown misses 3-pt shot from 23 ft
4:54.0,Defensive rebound by D. Cousins,,43-40,,
4:37.0,A. Davis misses 2-pt shot from 2 ft (block by A. Horford),,43-40,,
4:34.0,,,43-40,,Defensive rebound by K. Irving
4:32.0,,,43-40,,J. Brown misses 2-pt shot from 1 ft
4:32.0,Defensive rebound by Team,,43-40,,
4:32.0,,,43-40,,Loose ball foul by A. Horford (drawn by D. Cousins)
4:32.0,,,43-40,,M. Smart enters the game for J. Tatum
4:32.0,,,43-40,,S. Ojeleye enters the game for T. Rozier
4:32.0,I. Clark enters the game for J. Holiday,,43-40,,
4:21.0,D. Cousins misses 2-pt shot from 3 ft,,43-40,,
4:20.0,Offensive rebound by D. Cousins,,43-40,,
4:20.0,D. Cousins misses 2-pt shot from 3 ft,,43-40,,
4:20.0,,,43-40,,Defensive rebound by A. Horford
4:11.0,,,43-40,,K. Irving misses 3-pt shot from 27 ft
4:11.0,Defensive rebound by R. Rondo,,43-40,,
4:05.0,,,43-40,,Personal foul by S. Ojeleye (drawn by A. Davis)
3:59.0,I. Clark makes 2-pt shot from 8 ft (assist by A. Davis),2,45-40,,
3:45.0,,,45-40,,K. Irving misses 2-pt shot from 2 ft
3:44.0,Defensive rebound by D. Cousins,,45-40,,
3:40.0,I. Clark misses 3-pt shot from 22 ft,,45-40,,
3:39.0,Offensive rebound by Team,,45-40,,
3:39.0,,,45-40,,Loose ball foul by A. Horford (drawn by A. Davis)
3:39.0,A. Davis makes free throw 1 of 2,1,46-40,,
3:39.0,,,46-40,,A. Baynes enters the game for J. Brown
3:39.0,,,46-40,,M. Morris enters the game for A. Horford
3:39.0,A. Davis makes free throw 2 of 2,1,47-40,,
3:28.0,,,47-40,,Turnover by K. Irving (lost ball; steal by R. Rondo)
3:23.0,R. Rondo makes 3-pt shot from 25 ft (assist by E. Moore),3,50-40,,
3:04.0,,,50-42,2,M. Morris makes 2-pt shot from 1 ft (assist by M. Smart)
3:04.0,,,50-42,,Shooting foul by D. Cousins (drawn by M. Morris)
3:04.0,,,50-43,1,M. Morris makes free throw 1 of 1
2:51.0,A. Davis misses 2-pt shot from 7 ft,,50-43,,
2:48.0,,,50-43,,Defensive rebound by M. Smart
2:43.0,,,50-43,,M. Morris misses 2-pt shot from 2 ft
2:41.0,Defensive rebound by E. Moore,,50-43,,
2:37.0,E. Moore misses 3-pt shot from 26 ft,,50-43,,
2:35.0,,,50-43,,Defensive rebound by Team
2:35.0,New Orleans full timeout,,50-43,,
2:25.0,,,50-46,3,M. Morris makes 3-pt shot from 23 ft (assist by M. Smart)
2:13.0,Turnover by D. Cousins (lost ball; steal by M. Smart),,50-46,,
2:09.0,,,50-46,,Turnover by M. Smart (bad pass; steal by E. Moore)
2:01.0,Shooting foul by A. Baynes (drawn by D. Cousins),,50-46,,
2:01.0,D. Cousins makes free throw 1 of 2,1,51-46,,
2:01.0,D. Cousins makes free throw 2 of 2,1,52-46,,
1:47.0,,,52-48,2,M. Morris makes 2-pt shot from 12 ft
1:34.0,,,52-48,,Personal foul by S. Ojeleye (drawn by A. Davis)
1:34.0,A. Davis makes free throw 1 of 2,1,53-48,,
1:34.0,,,53-48,,J. Tatum enters the game for S. Ojeleye
1:34.0,D. Cunningham enters the game for D. Cousins,,53-48,,
1:34.0,A. Davis makes free throw 2 of 2,1,54-48,,
1:22.0,,,54-48,,M. Morris misses 3-pt shot from 25 ft
1:20.0,Defensive rebound by I. Clark,,54-48,,
1:12.0,E. Moore makes 2-pt shot at rim (assist by R. Rondo),2,56-48,,
1:00.0,,,56-48,,K. Irving misses 2-pt shot from 4 ft (block by R. Rondo)
0:57.0,,,56-48,,Offensive rebound by M. Morris
0:57.0,,,56-48,,M. Morris misses 2-pt shot from 2 ft (block by D. Cunningham)
0:57.0,Defensive rebound by A. Davis,,56-48,,
0:42.0,A. Davis misses 2-pt shot from 5 ft (block by M. Smart),,56-48,,
0:41.0,Offensive rebound by Team,,56-48,,
0:39.0,A. Davis makes 2-pt shot from 13 ft (assist by R. Rondo),2,58-48,,
0:32.0,,,58-48,,M. Smart misses 2-pt shot from 12 ft
0:28.0,Defensive rebound by D. Cunningham,,58-48,,
0:09.0,A. Davis misses 2-pt shot from 13 ft,,58-48,,
0:06.0,,,58-48,,Defensive rebound by M. Morris
0:00.0,,,58-48,,J. Tatum misses 3-pt shot from 23 ft
0:00.0,,,58-48,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,58-48,,A. Baynes misses 2-pt shot from 10 ft
11:43.0,Defensive rebound by A. Davis,,58-48,,
11:32.0,J. Holiday makes 2-pt shot from 15 ft (assist by A. Davis),2,60-48,,
11:22.0,,,60-51,3,K. Irving makes 3-pt shot from 27 ft (assist by A. Baynes)
11:01.0,R. Rondo makes 2-pt shot from 14 ft,2,62-51,,
10:48.0,,,62-51,,A. Horford misses 3-pt shot from 26 ft
10:48.0,,,62-51,,Offensive rebound by A. Baynes
10:40.0,,,62-53,2,A. Horford makes 2-pt shot from 4 ft
10:24.0,Turnover by R. Rondo (bad pass; steal by K. Irving),,62-53,,
10:16.0,,,62-53,,Turnover by J. Tatum (lost ball; steal by J. Holiday)
10:11.0,A. Davis makes 2-pt shot from 6 ft (assist by J. Holiday),2,64-53,,
9:54.0,,,64-55,2,K. Irving makes 2-pt shot from 1 ft (assist by A. Horford)
9:32.0,A. Davis misses 3-pt shot from 26 ft,,64-55,,
9:29.0,,,64-55,,Defensive rebound by K. Irving
9:21.0,,,64-58,3,A. Horford makes 3-pt shot from 24 ft (assist by J. Tatum)
9:19.0,New Orleans full timeout,,64-58,,
9:07.0,J. Holiday misses 3-pt shot from 25 ft,,64-58,,
9:03.0,,,64-58,,Defensive rebound by J. Tatum
8:52.0,,,64-58,,J. Brown misses 3-pt shot from 22 ft
8:49.0,Defensive rebound by D. Cousins,,64-58,,
8:42.0,D. Cousins misses 3-pt shot from 28 ft,,64-58,,
8:38.0,,,64-58,,Defensive rebound by A. Horford
8:33.0,,,64-61,3,K. Irving makes 3-pt shot from 26 ft
8:19.0,A. Davis misses 2-pt shot from 19 ft,,64-61,,
8:16.0,,,64-61,,Defensive rebound by K. Irving
8:08.0,,,64-64,3,J. Brown makes 3-pt shot from 22 ft (assist by J. Tatum)
7:41.0,R. Rondo misses 3-pt shot from 24 ft,,64-64,,
7:38.0,,,64-64,,Defensive rebound by J. Tatum
7:34.0,,,64-64,,Turnover by J. Brown (bad pass; steal by E. Moore)
7:28.0,Turnover by R. Rondo (bad pass; steal by A. Horford),,64-64,,
7:22.0,Jump ball: J. Tatum vs. D. Cousins (J. Holiday gains possession),,,,Jump ball: J. Tatum vs. D. Cousins (J. Holiday gains possession)
7:22.0,,,64-64,,Turnover by J. Tatum (turnover; steal by D. Cousins)
7:18.0,E. Moore misses 2-pt shot from 19 ft,,64-64,,
7:17.0,Offensive rebound by A. Davis,,64-64,,
7:17.0,A. Davis makes 2-pt shot from 2 ft,2,66-64,,
7:17.0,,,66-64,,Away from play foul by A. Baynes (drawn by D. Cousins)
7:17.0,D. Cousins makes free throw 1 of 1,1,67-64,,
7:04.0,,,67-67,3,K. Irving makes 3-pt shot from 23 ft (assist by A. Horford)
6:50.0,A. Davis makes 2-pt shot from 18 ft (assist by E. Moore),2,69-67,,
6:31.0,,,69-70,3,J. Tatum makes 3-pt shot from 27 ft (assist by A. Horford)
6:24.0,J. Holiday makes 3-pt shot from 27 ft (assist by R. Rondo),3,72-70,,
6:12.0,,,72-73,3,K. Irving makes 3-pt shot from 26 ft
5:52.0,E. Moore misses 3-pt shot from 24 ft,,72-73,,
5:49.0,,,72-73,,Defensive rebound by J. Brown
5:44.0,,,72-75,2,J. Brown makes 2-pt shot from 1 ft
5:44.0,,,72-75,,Shooting foul by D. Cousins (drawn by J. Brown)
5:44.0,,,72-75,,J. Brown misses free throw 1 of 1
5:44.0,,,72-75,,Offensive rebound by A. Baynes
5:35.0,,,72-75,,A. Baynes misses 2-pt shot from 1 ft (block by A. Davis)
5:31.0,Defensive rebound by E. Moore,,72-75,,
5:25.0,J. Holiday makes 2-pt shot from 1 ft (assist by R. Rondo),2,74-75,,
5:01.0,Personal foul by D. Cousins (drawn by J. Tatum),,74-75,,
5:01.0,,,74-75,,M. Smart enters the game for J. Brown
4:54.0,,,74-75,,Offensive foul by K. Irving (drawn by A. Davis)
4:54.0,,,74-75,,Turnover by K. Irving (offensive foul)
4:54.0,D. Miller enters the game for R. Rondo,,74-75,,
4:39.0,A. Davis makes 2-pt shot from 17 ft (assist by D. Cousins),2,76-75,,
4:24.0,,,76-75,,A. Baynes misses 2-pt shot from 8 ft
4:21.0,Defensive rebound by D. Cousins,,76-75,,
4:08.0,A. Davis misses 2-pt shot from 18 ft,,76-75,,
4:05.0,,,76-75,,Defensive rebound by J. Tatum
3:47.0,,,76-75,,K. Irving misses 3-pt shot from 28 ft
3:43.0,Defensive rebound by D. Cousins,,76-75,,
3:27.0,E. Moore misses 2-pt shot from 3 ft,,76-75,,
3:23.0,Offensive rebound by A. Davis,,76-75,,
3:23.0,A. Davis misses 2-pt shot at rim,,76-75,,
3:21.0,Offensive rebound by A. Davis,,76-75,,
3:21.0,A. Davis misses 2-pt shot at rim,,76-75,,
3:20.0,Offensive rebound by A. Davis,,76-75,,
3:20.0,A. Davis makes 2-pt shot at rim,2,78-75,,
3:14.0,,,78-75,,Boston full timeout
3:14.0,,,78-75,,T. Rozier enters the game for J. Tatum
3:14.0,,,78-75,,M. Morris enters the game for A. Baynes
3:14.0,D. Cunningham enters the game for D. Cousins,,78-75,,
3:07.0,,,78-75,,Shooting foul by A. Davis (drawn by K. Irving)
3:07.0,,,78-76,1,K. Irving makes free throw 1 of 2
3:07.0,,,78-77,1,K. Irving makes free throw 2 of 2
2:54.0,A. Davis misses 2-pt shot from 6 ft,,78-77,,
2:50.0,Offensive rebound by D. Cunningham,,78-77,,
2:48.0,J. Holiday makes 3-pt shot from 25 ft (assist by D. Cunningham),3,81-77,,
2:32.0,,,81-77,,M. Smart misses 2-pt shot from 7 ft
2:31.0,,,81-77,,Offensive rebound by K. Irving
2:31.0,,,81-77,,K. Irving misses 2-pt shot from 1 ft
2:30.0,Defensive rebound by J. Holiday,,81-77,,
2:27.0,,,81-77,,Personal foul by M. Smart (drawn by J. Holiday)
2:27.0,I. Clark enters the game for E. Moore,,81-77,,
2:14.0,J. Holiday misses 2-pt shot from 21 ft,,81-77,,
2:12.0,,,81-77,,Defensive rebound by T. Rozier
1:48.0,,,81-77,,K. Irving misses 2-pt shot from 2 ft
1:46.0,,,81-77,,Offensive rebound by M. Smart
1:45.0,,,81-77,,M. Morris misses 3-pt shot from 27 ft
1:45.0,,,81-77,,Offensive rebound by A. Horford
1:39.0,,,81-80,3,M. Smart makes 3-pt shot from 23 ft (assist by A. Horford)
1:29.0,A. Davis makes 2-pt shot from 19 ft (assist by J. Holiday),2,83-80,,
1:12.0,,,83-80,,K. Irving misses 2-pt shot from 19 ft
1:12.0,Defensive rebound by I. Clark,,83-80,,
1:04.0,I. Clark makes 2-pt shot from 4 ft,2,85-80,,
0:45.0,,,85-80,,M. Smart misses 3-pt shot from 26 ft
0:45.0,Defensive rebound by D. Cunningham,,85-80,,
0:24.0,J. Holiday makes 2-pt shot at rim,2,87-80,,
0:01.0,,,87-80,,T. Rozier misses 2-pt shot from 19 ft
0:00.0,,,87-80,,Offensive rebound by Team
0:00.0,,,87-80,,Turnover by Team (shot clock)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,D. Cousins misses 2-pt shot from 9 ft,,87-80,,
11:33.0,,,87-80,,Defensive rebound by T. Rozier
11:18.0,,,87-80,,Turnover by M. Morris (traveling)
11:05.0,D. Cousins misses 2-pt shot from 18 ft,,87-80,,
11:04.0,,,87-80,,Defensive rebound by M. Smart
11:01.0,,,87-80,,Turnover by D. Theis (out of bounds lost ball)
10:47.0,D. Miller makes 3-pt shot from 25 ft (assist by R. Rondo),3,90-80,,
10:24.0,,,90-83,3,M. Smart makes 3-pt shot from 26 ft (assist by J. Brown)
10:05.0,D. Miller misses 3-pt shot from 25 ft,,90-83,,
10:02.0,,,90-83,,Defensive rebound by T. Rozier
9:58.0,,,90-83,,T. Rozier misses 3-pt shot from 27 ft
9:56.0,Defensive rebound by R. Rondo,,90-83,,
9:52.0,Turnover by D. Cousins (traveling),,90-83,,
9:34.0,,,90-83,,J. Brown misses 3-pt shot from 27 ft
9:28.0,Defensive rebound by R. Rondo,,90-83,,
9:14.0,D. Miller misses 3-pt shot from 24 ft,,90-83,,
9:09.0,Offensive rebound by D. Cunningham,,90-83,,
9:05.0,Turnover by D. Miller (step out of bounds),,90-83,,
8:50.0,,,90-83,,Shooting foul by R. Rondo (drawn by M. Smart)
8:50.0,,,90-84,1,M. Smart makes free throw 1 of 3
8:50.0,,,90-85,1,M. Smart makes free throw 2 of 3
8:50.0,A. Davis enters the game for D. Cunningham,,90-85,,
8:50.0,,,90-86,1,M. Smart makes free throw 3 of 3
8:30.0,Turnover by D. Miller (lost ball; steal by J. Brown),,90-86,,
8:26.0,,,90-86,,T. Rozier misses 2-pt shot from 1 ft
8:23.0,Defensive rebound by D. Cousins,,90-86,,
8:22.0,,,90-86,,Personal foul by D. Theis (drawn by R. Rondo)
8:04.0,I. Clark makes 2-pt shot from 23 ft (assist by D. Cousins),2,92-86,,
7:47.0,,,92-86,,Shooting foul by A. Davis (drawn by D. Theis)
7:47.0,,,92-87,1,D. Theis makes free throw 1 of 2
7:47.0,,,92-88,1,D. Theis makes free throw 2 of 2
7:34.0,A. Davis misses 2-pt shot from 19 ft,,92-88,,
7:30.0,,,92-88,,Defensive rebound by T. Rozier
7:25.0,,,92-88,,T. Rozier misses 3-pt shot from 26 ft
7:21.0,Defensive rebound by D. Miller,,92-88,,
7:15.0,R. Rondo misses 2-pt shot from 4 ft,,92-88,,
7:14.0,Offensive rebound by A. Davis,,92-88,,
7:14.0,Shooting foul by M. Morris (drawn by A. Davis),,92-88,,
7:14.0,A. Davis makes free throw 1 of 2,1,93-88,,
7:14.0,,,93-88,,K. Irving enters the game for M. Smart
7:14.0,J. Holiday enters the game for D. Miller,,93-88,,
7:14.0,A. Davis misses free throw 2 of 2,,93-88,,
7:14.0,,,93-88,,Defensive rebound by M. Morris
7:01.0,,,93-91,3,J. Brown makes 3-pt shot from 24 ft (assist by M. Morris)
6:40.0,D. Cousins makes 2-pt shot from 2 ft,2,95-91,,
6:25.0,,,95-93,2,M. Morris makes 2-pt shot from 17 ft (assist by T. Rozier)
6:04.0,A. Davis misses 2-pt shot from 11 ft,,95-93,,
6:02.0,,,95-93,,Defensive rebound by J. Brown
5:52.0,,,95-93,,M. Morris misses 2-pt shot from 14 ft
5:45.0,,,95-93,,Offensive rebound by D. Theis
5:44.0,,,95-95,2,J. Brown makes 2-pt shot from 2 ft (assist by D. Theis)
5:26.0,Turnover by D. Cousins (lost ball; steal by D. Theis),,95-95,,
