time,LA Lakers,pts.away,score,pts.home,Chicago
5:09.0,,,19-13,,D. Nwaba enters the game for J. Holiday
5:09.0,J. Clarkson enters the game for T. Ennis,,19-13,,
5:09.0,B. Ingram misses free throw 2 of 2,,19-13,,
5:09.0,,,19-13,,Defensive rebound by D. Nwaba
4:44.0,,,19-13,,Turnover by Team (shot clock)
4:35.0,J. Randle makes 2-pt shot from 3 ft (assist by K. Caldwell-Pope),2,21-13,,
4:24.0,,,21-13,,Turnover by R. Lopez (traveling)
4:15.0,B. Lopez makes 3-pt shot from 26 ft (assist by J. Clarkson),3,24-13,,
3:59.0,Personal foul by J. Clarkson (drawn by D. Nwaba),,24-13,,
3:59.0,,,24-13,,D. Nwaba misses free throw 1 of 2
3:59.0,,,24-13,,Offensive rebound by Team
3:59.0,,,24-13,,N. Mirotic enters the game for L. Markkanen
3:59.0,,,24-13,,D. Nwaba misses free throw 2 of 2
3:56.0,Defensive rebound by J. Randle,,24-13,,
3:33.0,J. Randle misses 3-pt shot from 25 ft,,24-13,,
3:29.0,Offensive rebound by B. Ingram,,24-13,,
3:25.0,B. Ingram misses 2-pt shot from 2 ft,,24-13,,
3:25.0,Offensive rebound by J. Randle,,24-13,,
3:25.0,J. Randle makes 2-pt shot from 1 ft,2,26-13,,
3:25.0,Shooting foul by D. Nwaba (drawn by J. Randle),,26-13,,
3:25.0,J. Randle makes free throw 1 of 1,1,27-13,,
3:15.0,,,27-13,,D. Valentine misses 2-pt shot from 6 ft (block by B. Lopez)
3:15.0,Defensive rebound by J. Clarkson,,27-13,,
3:13.0,J. Clarkson makes 2-pt shot from 1 ft,2,29-13,,
3:13.0,Shooting foul by J. Grant (drawn by J. Clarkson),,29-13,,
3:13.0,J. Clarkson makes free throw 1 of 1,1,30-13,,
2:55.0,,,30-15,2,D. Valentine makes 2-pt shot from 8 ft
2:51.0,LA Lakers full timeout,,30-15,,
2:51.0,K. Kuzma enters the game for B. Ingram,,30-15,,
2:51.0,A. Caruso enters the game for J. Randle,,30-15,,
2:33.0,K. Caldwell-Pope misses 3-pt shot from 22 ft,,30-15,,
2:29.0,,,30-15,,Defensive rebound by D. Nwaba
2:18.0,,,30-17,2,N. Mirotic makes 2-pt shot from 5 ft (assist by R. Lopez)
2:02.0,B. Lopez misses 2-pt shot from 11 ft,,30-17,,
2:00.0,Offensive rebound by B. Lopez,,30-17,,
1:59.0,B. Lopez misses 2-pt shot from 9 ft,,30-17,,
1:59.0,Offensive rebound by B. Lopez,,30-17,,
1:58.0,Shooting foul by D. Valentine (drawn by B. Lopez),,30-17,,
1:58.0,B. Lopez makes free throw 1 of 2,1,31-17,,
1:58.0,,,31-17,,R. Arcidiacono enters the game for J. Grant
1:58.0,B. Lopez makes free throw 2 of 2,1,32-17,,
1:40.0,,,32-17,,N. Mirotic misses 3-pt shot from 25 ft
1:37.0,Defensive rebound by K. Caldwell-Pope,,32-17,,
1:29.0,B. Lopez misses 2-pt shot from 13 ft,,32-17,,
1:29.0,,,32-17,,Defensive rebound by Team
1:17.0,,,32-17,,B. Portis enters the game for R. Lopez
1:17.0,L. Nance enters the game for K. Caldwell-Pope,,32-17,,
1:17.0,J. Hart enters the game for B. Lopez,,32-17,,
1:14.0,,,32-17,,D. Valentine misses 2-pt shot from 2 ft
1:14.0,,,32-17,,Offensive rebound by Team
1:10.0,,,32-17,,N. Mirotic misses 3-pt shot from 26 ft
1:10.0,,,32-17,,Offensive rebound by D. Nwaba
1:05.0,,,32-17,,N. Mirotic misses 2-pt shot from 2 ft
1:05.0,,,32-17,,Offensive rebound by Team
0:55.0,,,32-20,3,B. Portis makes 3-pt shot from 24 ft (assist by D. Valentine)
0:45.0,J. Clarkson misses 3-pt shot from 25 ft,,32-20,,
0:41.0,,,32-20,,Defensive rebound by D. Valentine
0:33.0,,,32-22,2,D. Valentine makes 2-pt shot from 1 ft
0:13.0,J. Clarkson misses 2-pt shot from 5 ft,,32-22,,
0:13.0,,,32-22,,Defensive rebound by N. Mirotic
0:08.0,,,32-25,3,D. Valentine makes 3-pt shot from 26 ft (assist by N. Mirotic)
0:00.0,J. Clarkson misses 3-pt shot from 27 ft,,32-25,,
0:00.0,Offensive rebound by Team,,32-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,32-25,,B. Portis misses 3-pt shot from 25 ft
11:48.0,Defensive rebound by A. Caruso,,32-25,,
11:35.0,K. Kuzma makes 2-pt shot from 15 ft (assist by J. Clarkson),2,34-25,,
11:17.0,,,34-25,,Shooting foul by K. Kuzma (drawn by B. Portis)
11:17.0,,,34-26,1,B. Portis makes free throw 1 of 2
11:17.0,,,34-27,1,B. Portis makes free throw 2 of 2
10:59.0,A. Caruso makes 2-pt shot from 2 ft (assist by K. Kuzma),2,36-27,,
10:42.0,,,36-27,,B. Portis misses 2-pt shot from 10 ft
10:39.0,Defensive rebound by J. Hart,,36-27,,
10:35.0,K. Kuzma misses 3-pt shot from 25 ft,,36-27,,
10:32.0,,,36-27,,Defensive rebound by R. Arcidiacono
10:23.0,,,36-27,,N. Mirotic misses 2-pt shot from 1 ft
10:21.0,Defensive rebound by L. Nance,,36-27,,
10:19.0,,,36-27,,Technical foul by N. Mirotic
10:19.0,J. Clarkson makes technical free throw,1,37-27,,
10:19.0,,,37-27,,Z. LaVine enters the game for R. Arcidiacono
10:11.0,L. Nance misses 2-pt shot from 2 ft,,37-27,,
10:07.0,,,37-27,,Defensive rebound by B. Portis
9:56.0,,,37-29,2,B. Portis makes 2-pt shot from 2 ft
9:41.0,A. Caruso makes 2-pt shot from 1 ft,2,39-29,,
9:36.0,,,39-31,2,D. Nwaba makes 2-pt shot from 1 ft
9:20.0,L. Nance misses 3-pt shot from 22 ft,,39-31,,
9:20.0,,,39-31,,Defensive rebound by D. Valentine
9:09.0,,,39-31,,N. Mirotic misses 3-pt shot from 25 ft
9:06.0,Defensive rebound by L. Nance,,39-31,,
8:57.0,J. Clarkson makes 2-pt shot from 20 ft (assist by L. Nance),2,41-31,,
8:46.0,,,41-31,,Chicago full timeout
8:46.0,,,41-31,,L. Markkanen enters the game for N. Mirotic
8:46.0,,,41-31,,J. Holiday enters the game for D. Nwaba
8:29.0,,,41-31,,Z. LaVine misses 3-pt shot from 24 ft
8:27.0,Defensive rebound by A. Caruso,,41-31,,
8:14.0,J. Clarkson misses 3-pt shot from 26 ft,,41-31,,
8:11.0,,,41-31,,Defensive rebound by D. Valentine
8:05.0,,,41-31,,B. Portis misses 2-pt shot from 20 ft
7:57.0,,,41-31,,Offensive rebound by L. Markkanen
7:57.0,,,41-31,,L. Markkanen misses 2-pt shot at rim
7:55.0,Defensive rebound by J. Hart,,41-31,,
7:53.0,J. Clarkson makes 2-pt shot from 2 ft,2,43-31,,
7:41.0,,,43-31,,D. Valentine misses 3-pt shot from 23 ft
7:41.0,,,43-31,,Offensive rebound by B. Portis
7:34.0,,,43-33,2,B. Portis makes 2-pt shot from 3 ft
7:25.0,K. Kuzma makes 2-pt shot from 12 ft (assist by J. Clarkson),2,45-33,,
7:11.0,,,45-36,3,B. Portis makes 3-pt shot from 24 ft (assist by Z. LaVine)
6:49.0,K. Kuzma makes 2-pt shot from 7 ft (assist by J. Clarkson),2,47-36,,
6:28.0,,,47-39,3,D. Valentine makes 3-pt shot from 24 ft (assist by B. Portis)
6:27.0,LA Lakers full timeout,,47-39,,
6:27.0,B. Ingram enters the game for J. Clarkson,,47-39,,
6:13.0,K. Kuzma misses 2-pt shot from 20 ft,,47-39,,
6:09.0,,,47-39,,Defensive rebound by B. Portis
5:55.0,,,47-39,,B. Portis misses 2-pt shot from 17 ft
5:51.0,Defensive rebound by K. Kuzma,,47-39,,
5:42.0,B. Ingram makes 2-pt shot from 16 ft,2,49-39,,
5:19.0,,,49-39,,Turnover by D. Valentine (bad pass; steal by A. Caruso)
5:14.0,J. Hart makes 3-pt shot from 25 ft (assist by B. Ingram),3,52-39,,
5:12.0,,,52-39,,Chicago full timeout
5:12.0,,,52-39,,J. Grant enters the game for D. Valentine
5:12.0,J. Randle enters the game for A. Caruso,,52-39,,
5:12.0,K. Caldwell-Pope enters the game for L. Nance,,52-39,,
4:59.0,,,52-42,3,J. Holiday makes 3-pt shot from 24 ft (assist by J. Grant)
4:46.0,,,52-42,,Personal foul by J. Grant (drawn by B. Ingram)
4:36.0,B. Ingram makes 2-pt shot from 23 ft (assist by J. Randle),2,54-42,,
4:23.0,,,54-45,3,L. Markkanen makes 3-pt shot from 24 ft (assist by J. Grant)
3:58.0,Offensive foul by B. Ingram (drawn by Z. LaVine),,54-45,,
3:58.0,Turnover by B. Ingram (offensive foul),,54-45,,
3:44.0,,,54-48,3,L. Markkanen makes 3-pt shot from 25 ft (assist by J. Grant)
3:22.0,K. Kuzma misses 2-pt shot from 8 ft,,54-48,,
3:20.0,,,54-48,,Defensive rebound by L. Markkanen
3:07.0,,,54-48,,Z. LaVine misses 2-pt shot at rim
3:06.0,,,54-48,,Offensive rebound by B. Portis
3:00.0,,,54-50,2,B. Portis makes 2-pt shot from 5 ft (assist by J. Grant)
3:00.0,LA Lakers full timeout,,54-50,,
3:00.0,,,54-50,,D. Nwaba enters the game for Z. LaVine
3:00.0,J. Clarkson enters the game for J. Hart,,54-50,,
2:47.0,K. Kuzma makes 3-pt shot from 24 ft (assist by B. Ingram),3,57-50,,
2:31.0,,,57-52,2,J. Grant makes 2-pt shot from 1 ft
2:31.0,,,57-52,,Shooting foul by K. Caldwell-Pope (drawn by J. Grant)
2:31.0,,,57-53,1,J. Grant makes free throw 1 of 1
2:21.0,Turnover by B. Ingram (lost ball; steal by J. Holiday),,57-53,,
2:19.0,,,57-55,2,D. Nwaba makes 2-pt shot at rim (assist by J. Holiday)
1:55.0,,,57-55,,Personal foul by D. Nwaba (drawn by J. Clarkson)
1:44.0,J. Randle makes 2-pt shot from 8 ft,2,59-55,,
1:23.0,,,59-55,,J. Grant misses 2-pt shot from 15 ft
1:20.0,Defensive rebound by B. Ingram,,59-55,,
1:17.0,,,59-55,,Personal foul by B. Portis (drawn by J. Randle)
1:17.0,J. Randle misses free throw 1 of 2,,59-55,,
1:17.0,Offensive rebound by Team,,59-55,,
1:17.0,,,59-55,,N. Mirotic enters the game for B. Portis
1:17.0,J. Randle makes free throw 2 of 2,1,60-55,,
0:59.0,,,60-55,,J. Holiday misses 3-pt shot from 23 ft
0:55.0,Defensive rebound by J. Randle,,60-55,,
0:48.0,K. Kuzma misses 3-pt shot from 25 ft,,60-55,,
0:47.0,Offensive rebound by B. Ingram,,60-55,,
0:46.0,B. Ingram makes 2-pt shot from 1 ft,2,62-55,,
0:35.0,,,62-55,,Shooting foul by K. Caldwell-Pope (drawn by J. Grant)
0:35.0,,,62-56,1,J. Grant makes free throw 1 of 2
0:35.0,,,62-57,1,J. Grant makes free throw 2 of 2
0:29.0,J. Clarkson misses 2-pt shot from 1 ft (block by L. Markkanen),,62-57,,
0:25.0,Offensive rebound by J. Randle,,62-57,,
0:16.0,J. Randle misses 2-pt shot from 4 ft,,62-57,,
0:14.0,,,62-57,,Defensive rebound by L. Markkanen
0:01.0,,,62-57,,J. Holiday misses 3-pt shot from 24 ft
0:01.0,,,62-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,62-59,2,Z. LaVine makes 2-pt shot from 20 ft
11:24.0,B. Lopez makes 2-pt shot from 10 ft,2,64-59,,
11:04.0,,,64-62,3,Z. LaVine makes 3-pt shot from 25 ft
10:48.0,B. Lopez makes 2-pt shot at rim (assist by J. Randle),2,66-62,,
10:28.0,,,66-62,,Z. LaVine misses 3-pt shot from 25 ft
10:24.0,,,66-62,,Offensive rebound by J. Grant
10:14.0,,,66-64,2,R. Lopez makes 2-pt shot at rim (assist by J. Grant)
9:58.0,B. Lopez misses 3-pt shot from 24 ft,,66-64,,
9:55.0,,,66-64,,Defensive rebound by Z. LaVine
9:42.0,,,66-64,,Z. LaVine misses 3-pt shot from 23 ft
9:41.0,Defensive rebound by Team,,66-64,,
9:30.0,B. Ingram misses 3-pt shot from 24 ft,,66-64,,
9:27.0,,,66-64,,Defensive rebound by L. Markkanen
9:19.0,,,66-64,,L. Markkanen misses 3-pt shot from 26 ft
9:16.0,Defensive rebound by B. Lopez,,66-64,,
9:06.0,T. Ennis misses 3-pt shot from 25 ft,,66-64,,
9:03.0,,,66-64,,Defensive rebound by L. Markkanen
8:53.0,,,66-64,,Z. LaVine misses 2-pt shot from 10 ft
8:51.0,Defensive rebound by T. Ennis,,66-64,,
8:47.0,T. Ennis makes 2-pt shot from 1 ft,2,68-64,,
8:29.0,,,68-64,,J. Holiday misses 2-pt shot from 1 ft
8:27.0,Defensive rebound by T. Ennis,,68-64,,
8:22.0,T. Ennis misses 2-pt shot from 1 ft (block by L. Markkanen),,68-64,,
8:19.0,,,68-64,,Defensive rebound by L. Markkanen
8:13.0,,,68-64,,Offensive foul by R. Lopez (drawn by T. Ennis)
8:13.0,,,68-64,,Turnover by R. Lopez (offensive foul)
8:03.0,T. Ennis misses 2-pt shot from 2 ft (block by R. Lopez),,68-64,,
8:00.0,,,68-64,,Defensive rebound by L. Markkanen
7:59.0,,,68-64,,Shooting foul by K. Caldwell-Pope (drawn by L. Markkanen)
7:59.0,,,68-65,1,L. Markkanen makes free throw 1 of 2
7:59.0,,,68-66,1,L. Markkanen makes free throw 2 of 2
7:49.0,Offensive charge foul by B. Ingram (drawn by J. Holiday),,68-66,,
7:49.0,Turnover by B. Ingram (offensive foul),,68-66,,
7:35.0,,,68-66,,Z. LaVine misses 3-pt shot from 22 ft
7:30.0,Defensive rebound by T. Ennis,,68-66,,
7:28.0,K. Caldwell-Pope misses 2-pt shot from 10 ft,,68-66,,
7:28.0,,,68-66,,Defensive rebound by Team
7:20.0,Personal foul by J. Randle (drawn by L. Markkanen),,68-66,,
7:03.0,,,68-68,2,R. Lopez makes 2-pt shot from 19 ft
6:41.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,68-68,,
6:37.0,Offensive rebound by B. Lopez,,68-68,,
6:35.0,B. Lopez makes 2-pt shot from 4 ft,2,70-68,,
6:24.0,,,70-68,,Turnover by J. Holiday (traveling)
6:24.0,,,70-68,,Chicago full timeout
6:09.0,Offensive foul by B. Lopez (drawn by R. Lopez),,70-68,,
6:09.0,Turnover by B. Lopez (offensive foul),,70-68,,
5:54.0,Personal foul by B. Lopez (drawn by R. Lopez),,70-68,,
5:45.0,,,70-68,,R. Lopez misses 2-pt shot from 8 ft
5:45.0,Defensive rebound by Team,,70-68,,
5:32.0,,,70-68,,Personal foul by L. Markkanen (drawn by J. Randle)
5:32.0,,,70-68,,D. Valentine enters the game for Z. LaVine
5:19.0,B. Ingram misses 3-pt shot from 24 ft,,70-68,,
5:17.0,,,70-68,,Defensive rebound by Team
5:17.0,Loose ball foul by J. Randle (drawn by L. Markkanen),,70-68,,
5:08.0,,,70-68,,Turnover by L. Markkanen (traveling)
5:08.0,K. Kuzma enters the game for J. Randle,,70-68,,
4:54.0,T. Ennis misses 2-pt shot from 8 ft,,70-68,,
4:49.0,Offensive rebound by K. Caldwell-Pope,,70-68,,
4:48.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,70-68,,
4:46.0,,,70-68,,Defensive rebound by J. Holiday
4:42.0,,,70-68,,Turnover by J. Holiday (lost ball; steal by T. Ennis)
4:36.0,T. Ennis makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope),2,72-68,,
4:25.0,,,72-68,,Turnover by D. Valentine (traveling)
4:25.0,A. Caruso enters the game for K. Caldwell-Pope,,72-68,,
4:25.0,J. Clarkson enters the game for T. Ennis,,72-68,,
4:07.0,B. Lopez makes 2-pt shot from 6 ft,2,74-68,,
3:54.0,,,74-68,,J. Holiday misses 2-pt shot from 15 ft
3:54.0,Defensive rebound by B. Ingram,,74-68,,
3:47.0,J. Clarkson makes 3-pt shot from 25 ft (assist by A. Caruso),3,77-68,,
3:23.0,,,77-68,,J. Grant misses 2-pt shot from 2 ft
3:21.0,Defensive rebound by A. Caruso,,77-68,,
3:20.0,B. Ingram makes 2-pt shot from 1 ft (assist by A. Caruso),2,79-68,,
3:20.0,Shooting foul by J. Holiday (drawn by B. Ingram),,79-68,,
3:20.0,,,79-68,,N. Mirotic enters the game for J. Holiday
3:20.0,,,79-68,,D. Nwaba enters the game for R. Lopez
3:20.0,B. Ingram misses free throw 1 of 1,,79-68,,
3:16.0,,,79-68,,Defensive rebound by L. Markkanen
3:07.0,Personal foul by B. Lopez (drawn by N. Mirotic),,79-68,,
3:07.0,,,79-69,1,N. Mirotic makes free throw 1 of 2
3:07.0,L. Nance enters the game for B. Lopez,,79-69,,
3:07.0,,,79-70,1,N. Mirotic makes free throw 2 of 2
2:49.0,A. Caruso misses 2-pt shot from 5 ft (block by N. Mirotic),,79-70,,
2:46.0,,,79-70,,Defensive rebound by D. Valentine
2:42.0,,,79-70,,D. Valentine misses 3-pt shot from 26 ft
2:42.0,Defensive rebound by B. Ingram,,79-70,,
2:32.0,Turnover by A. Caruso (traveling),,79-70,,
2:32.0,LA Lakers full timeout,,79-70,,
2:32.0,,,79-70,,B. Portis enters the game for L. Markkanen
2:15.0,,,79-72,2,D. Nwaba makes 2-pt shot at rim (assist by N. Mirotic)
1:57.0,K. Kuzma misses 3-pt shot from 25 ft,,79-72,,
1:54.0,,,79-72,,Defensive rebound by B. Portis
1:38.0,,,79-72,,N. Mirotic misses 2-pt shot from 8 ft
1:35.0,Defensive rebound by L. Nance,,79-72,,
1:23.0,K. Kuzma misses 3-pt shot from 25 ft,,79-72,,
1:19.0,,,79-72,,Defensive rebound by N. Mirotic
1:15.0,,,79-72,,Turnover by D. Nwaba (bad pass; steal by K. Kuzma)
1:10.0,,,79-72,,Personal foul by D. Valentine (drawn by K. Kuzma)
1:10.0,,,79-72,,Z. LaVine enters the game for J. Grant
1:03.0,B. Ingram makes 2-pt shot from 1 ft (assist by K. Kuzma),2,81-72,,
0:52.0,,,81-72,,Z. LaVine misses 2-pt shot from 2 ft
0:50.0,Defensive rebound by B. Ingram,,81-72,,
0:49.0,J. Clarkson makes 2-pt shot from 1 ft (assist by B. Ingram),2,83-72,,
0:32.0,,,83-72,,Turnover by Z. LaVine (out of bounds lost ball)
0:32.0,J. Hart enters the game for B. Ingram,,83-72,,
0:12.0,,,83-72,,Personal foul by Z. LaVine (drawn by A. Caruso)
0:12.0,A. Caruso makes free throw 1 of 2,1,84-72,,
0:12.0,A. Caruso misses free throw 2 of 2,,84-72,,
0:10.0,,,84-72,,Defensive rebound by D. Valentine
0:00.0,,,84-72,,Z. LaVine misses 2-pt shot from 1 ft
0:00.0,,,84-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,J. Clarkson misses 3-pt shot from 24 ft,,84-72,,
11:40.0,,,84-72,,Defensive rebound by D. Valentine
11:30.0,,,84-74,2,D. Nwaba makes 2-pt shot from 5 ft
11:13.0,J. Clarkson makes 2-pt shot from 12 ft (assist by A. Caruso),2,86-74,,
10:58.0,,,86-74,,Z. LaVine misses 2-pt shot from 17 ft
10:55.0,,,86-74,,Offensive rebound by D. Nwaba
10:52.0,,,86-74,,D. Nwaba misses 2-pt shot from 7 ft
10:52.0,,,86-74,,Offensive rebound by B. Portis
10:48.0,,,86-74,,B. Portis misses 2-pt shot at rim
10:45.0,,,86-74,,Offensive rebound by B. Portis
10:45.0,,,86-76,2,B. Portis makes 2-pt shot at rim
10:38.0,A. Caruso makes 2-pt shot from 1 ft,2,88-76,,
10:38.0,Shooting foul by D. Nwaba (drawn by A. Caruso),,88-76,,
10:38.0,A. Caruso makes free throw 1 of 1,1,89-76,,
10:27.0,Personal foul by A. Caruso (drawn by B. Portis),,89-76,,
10:27.0,,,89-76,,J. Holiday enters the game for Z. LaVine
10:21.0,,,89-79,3,N. Mirotic makes 3-pt shot from 26 ft (assist by D. Valentine)
10:02.0,K. Kuzma misses 2-pt shot from 14 ft,,89-79,,
10:00.0,,,89-79,,Defensive rebound by D. Nwaba
9:54.0,,,89-82,3,N. Mirotic makes 3-pt shot from 25 ft (assist by D. Nwaba)
9:54.0,LA Lakers full timeout,,89-82,,
9:36.0,L. Nance misses 2-pt shot from 1 ft,,89-82,,
9:33.0,,,89-82,,Defensive rebound by N. Mirotic
9:06.0,Jump ball: B. Portis vs. A. Caruso (D. Valentine gains possession),,,,Jump ball: B. Portis vs. A. Caruso (D. Valentine gains possession)
9:04.0,,,89-85,3,D. Valentine makes 3-pt shot from 25 ft
8:57.0,Offensive foul by L. Nance (drawn by D. Nwaba),,89-85,,
8:57.0,Turnover by L. Nance (offensive foul),,89-85,,
8:53.0,,,89-85,,D. Valentine misses 2-pt shot from 16 ft
8:47.0,Defensive rebound by L. Nance,,89-85,,
8:26.0,J. Clarkson misses 2-pt shot from 3 ft,,89-85,,
8:24.0,,,89-85,,Defensive rebound by D. Valentine
8:10.0,,,89-85,,Turnover by B. Portis (lost ball; steal by L. Nance)
8:06.0,L. Nance misses 2-pt shot from 1 ft (block by D. Valentine),,89-85,,
8:06.0,,,89-85,,Defensive rebound by Team
7:47.0,,,89-85,,J. Holiday misses 2-pt shot from 12 ft
7:43.0,Defensive rebound by J. Hart,,89-85,,
7:41.0,,,89-85,,Personal foul by D. Nwaba (drawn by J. Clarkson)
7:35.0,Turnover by A. Caruso (bad pass),,89-85,,
7:21.0,,,89-85,,D. Nwaba misses 2-pt shot from 5 ft (block by K. Kuzma)
7:18.0,Defensive rebound by A. Caruso,,89-85,,
7:18.0,Shooting foul by D. Valentine (drawn by J. Hart),,89-85,,
7:18.0,J. Hart misses free throw 1 of 2,,89-85,,
7:18.0,Offensive rebound by Team,,89-85,,
7:18.0,,,89-85,,J. Grant enters the game for D. Nwaba
7:18.0,J. Hart makes free throw 2 of 2,1,90-85,,
6:58.0,,,90-85,,B. Portis misses 2-pt shot from 22 ft
6:54.0,,,90-85,,Offensive rebound by D. Valentine
6:42.0,,,90-85,,J. Holiday misses 2-pt shot from 3 ft
6:33.0,,,90-85,,Offensive rebound by J. Holiday
6:33.0,,,90-87,2,J. Holiday makes 2-pt shot at rim
6:20.0,Turnover by K. Kuzma (bad pass; steal by J. Grant),,90-87,,
6:18.0,,,90-87,,Shooting foul by A. Caruso (drawn by J. Holiday)
6:18.0,,,90-88,1,J. Holiday makes free throw 1 of 2
