time,Dallas,pts.away,score,pts.home,Miami
10:43.0,,,25-34,,Offensive rebound by B. Adebayo
10:43.0,,,25-36,2,B. Adebayo makes 2-pt shot at rim
10:35.0,D. Nowitzki misses 3-pt shot from 26 ft,,25-36,,
10:31.0,,,25-36,,Defensive rebound by B. Adebayo
10:20.0,,,25-36,,W. Ellington misses 2-pt shot from 16 ft
10:17.0,Defensive rebound by J. Barea,,25-36,,
10:11.0,J. Barea misses 2-pt shot from 17 ft,,25-36,,
10:08.0,,,25-36,,Defensive rebound by U. Haslem
10:06.0,K. Collinsworth enters the game for D. Harris,,25-36,,
9:55.0,,,25-38,2,J. Richardson makes 2-pt shot from 14 ft (assist by U. Haslem)
9:27.0,D. Smith makes 3-pt shot from 26 ft (assist by K. Collinsworth),3,28-38,,
8:59.0,,,28-40,2,D. Walton makes 2-pt shot from 23 ft
8:45.0,D. Nowitzki misses 3-pt shot from 25 ft,,28-40,,
8:45.0,,,28-40,,Defensive rebound by B. Adebayo
8:34.0,,,28-40,,W. Ellington misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by D. Powell,,28-40,,
8:22.0,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea),2,30-40,,
8:05.0,,,30-40,,J. Richardson misses 2-pt shot from 1 ft (block by D. Powell)
8:01.0,Defensive rebound by J. Barea,,30-40,,
8:00.0,D. Powell makes 2-pt shot from 1 ft (assist by K. Collinsworth),2,32-40,,
7:39.0,,,32-43,3,J. Richardson makes 3-pt shot from 25 ft (assist by D. Walton)
7:26.0,Turnover by D. Nowitzki (traveling),,32-43,,
7:09.0,,,32-43,,B. Adebayo misses 2-pt shot from 1 ft
7:07.0,Defensive rebound by J. Barea,,32-43,,
6:54.0,J. Barea makes 3-pt shot from 25 ft,3,35-43,,
6:44.0,,,35-43,,Miami full timeout
6:44.0,D. Harris enters the game for D. Smith,,35-43,,
6:44.0,Y. Ferrell enters the game for J. Barea,,35-43,,
6:44.0,S. Mejri enters the game for D. Powell,,35-43,,
6:44.0,H. Barnes enters the game for D. Nowitzki,,35-43,,
6:30.0,,,35-43,,B. Adebayo misses 2-pt shot from 1 ft
6:26.0,Defensive rebound by S. Mejri,,35-43,,
6:11.0,H. Barnes makes 2-pt shot from 7 ft,2,37-43,,
5:54.0,,,37-46,3,W. Ellington makes 3-pt shot from 23 ft (assist by B. Adebayo)
5:44.0,,,37-46,,Personal foul by B. Adebayo (drawn by H. Barnes)
5:44.0,,,37-46,,K. Olynyk enters the game for J. Richardson
5:44.0,,,37-46,,J. Mickey enters the game for B. Adebayo
5:44.0,,,37-46,,T. Johnson enters the game for U. Haslem
5:44.0,W. Matthews enters the game for K. Collinsworth,,37-46,,
5:29.0,Y. Ferrell makes 2-pt shot from 11 ft,2,39-46,,
5:18.0,,,39-46,,W. Ellington misses 2-pt shot from 14 ft
5:15.0,Defensive rebound by S. Mejri,,39-46,,
5:02.0,H. Barnes makes 3-pt shot from 26 ft (assist by Y. Ferrell),3,42-46,,
4:35.0,,,42-48,2,K. Olynyk makes 2-pt shot from 13 ft
4:22.0,H. Barnes makes 2-pt shot from 1 ft,2,44-48,,
4:06.0,,,44-51,3,D. Walton makes 3-pt shot from 25 ft
3:52.0,Y. Ferrell misses 2-pt shot from 1 ft,,44-51,,
3:52.0,,,44-51,,Defensive rebound by Team
3:44.0,Personal foul by Y. Ferrell (drawn by D. Walton),,44-51,,
3:44.0,J. Barea enters the game for D. Harris,,44-51,,
3:44.0,D. Nowitzki enters the game for S. Mejri,,44-51,,
3:35.0,,,44-51,,Turnover by T. Johnson (bad pass; steal by W. Matthews)
3:29.0,H. Barnes makes 2-pt shot from 1 ft (assist by W. Matthews),2,46-51,,
3:20.0,,,46-51,,Miami full timeout
3:07.0,,,46-51,,J. Richardson enters the game for D. Walton
3:03.0,,,46-51,,Turnover by J. Richardson (bad pass; steal by Y. Ferrell)
2:49.0,Y. Ferrell misses 3-pt shot from 25 ft,,46-51,,
2:47.0,,,46-51,,Defensive rebound by K. Olynyk
2:40.0,,,46-51,,K. Olynyk misses 2-pt shot from 6 ft
2:36.0,Defensive rebound by D. Nowitzki,,46-51,,
2:24.0,W. Matthews makes 2-pt shot from 4 ft (assist by D. Nowitzki),2,48-51,,
2:06.0,,,48-51,,J. Mickey misses 3-pt shot from 22 ft
2:06.0,Defensive rebound by Team,,48-51,,
2:06.0,,,48-51,,Loose ball foul by K. Olynyk (drawn by H. Barnes)
2:06.0,,,48-51,,D. Walton enters the game for W. Ellington
1:51.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by W. Matthews),3,51-51,,
1:35.0,,,51-51,,Turnover by T. Johnson (bad pass)
1:35.0,,,51-51,,B. Adebayo enters the game for K. Olynyk
1:25.0,Offensive foul by W. Matthews (drawn by J. Richardson),,51-51,,
1:25.0,Turnover by W. Matthews (offensive foul),,51-51,,
1:25.0,,,51-51,,W. Ellington enters the game for D. Walton
1:18.0,Personal foul by J. Barea (drawn by J. Richardson),,51-51,,
1:18.0,,,51-51,,D. Walton enters the game for J. Mickey
1:10.0,,,51-51,,Shooting foul by J. Barea (drawn by B. Adebayo)
1:10.0,,,51-52,1,B. Adebayo makes free throw 1 of 2
1:10.0,,,51-53,1,B. Adebayo makes free throw 2 of 2
0:52.0,J. Barea makes 2-pt shot from 1 ft,2,53-53,,
0:27.0,,,53-53,,Turnover by Team (shot clock)
0:27.0,,,53-53,,J. Mickey enters the game for B. Adebayo
0:18.0,,,53-53,,Personal foul by J. Mickey (drawn by D. Nowitzki)
0:18.0,,,53-53,,U. Haslem enters the game for J. Mickey
0:05.0,D. Nowitzki misses 3-pt shot from 24 ft,,53-53,,
0:03.0,,,53-53,,Defensive rebound by T. Johnson
0:00.0,,,53-53,,W. Ellington misses 3-pt shot from 24 ft
0:00.0,,,53-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,H. Barnes misses 2-pt shot from 22 ft (block by J. Richardson),,53-53,,
11:37.0,Offensive rebound by M. Kleber,,53-53,,
11:32.0,W. Matthews misses 2-pt shot from 2 ft,,53-53,,
11:29.0,,,53-53,,Defensive rebound by J. Richardson
11:27.0,,,53-53,,Turnover by K. Olynyk (traveling)
11:09.0,H. Barnes misses 2-pt shot from 11 ft,,53-53,,
11:06.0,,,53-53,,Defensive rebound by W. Ellington
10:48.0,,,53-56,3,W. Ellington makes 3-pt shot from 25 ft (assist by B. Adebayo)
10:32.0,D. Smith misses 2-pt shot from 1 ft,,53-56,,
10:30.0,,,53-56,,Defensive rebound by K. Olynyk
10:19.0,,,53-58,2,T. Johnson makes 2-pt shot from 1 ft
10:19.0,Dallas full timeout,,53-58,,
10:04.0,M. Kleber misses 3-pt shot from 23 ft,,53-58,,
10:01.0,,,53-58,,Defensive rebound by W. Ellington
9:48.0,,,53-60,2,W. Ellington makes 2-pt shot from 1 ft (assist by J. Richardson)
9:26.0,H. Barnes misses 3-pt shot from 23 ft,,53-60,,
9:19.0,,,53-60,,Defensive rebound by J. Richardson
9:16.0,,,53-62,2,J. Richardson makes 2-pt shot from 19 ft
8:50.0,D. Nowitzki misses 3-pt shot from 26 ft,,53-62,,
8:50.0,,,53-62,,Defensive rebound by T. Johnson
8:42.0,,,53-65,3,W. Ellington makes 3-pt shot from 23 ft (assist by T. Johnson)
8:42.0,Dallas full timeout,,53-65,,
8:42.0,Y. Ferrell enters the game for D. Nowitzki,,53-65,,
8:42.0,S. Mejri enters the game for M. Kleber,,53-65,,
8:29.0,Y. Ferrell makes 3-pt shot from 26 ft (assist by D. Smith),3,56-65,,
8:05.0,,,56-67,2,B. Adebayo makes 2-pt shot from 5 ft (assist by J. Richardson)
7:45.0,S. Mejri misses 2-pt shot from 1 ft (block by K. Olynyk),,56-67,,
7:42.0,,,56-67,,Defensive rebound by T. Johnson
7:28.0,,,56-67,,K. Olynyk misses 3-pt shot from 26 ft
7:28.0,Defensive rebound by Team,,56-67,,
7:28.0,,,56-67,,D. Walton enters the game for T. Johnson
7:15.0,,,56-67,,Personal foul by J. Richardson (drawn by D. Smith)
7:07.0,,,56-67,,Def 3 sec tech foul by B. Adebayo
7:07.0,H. Barnes makes technical free throw,1,57-67,,
6:53.0,W. Matthews makes 3-pt shot from 28 ft (assist by D. Smith),3,60-67,,
6:28.0,,,60-67,,B. Adebayo misses 2-pt shot from 2 ft
6:26.0,Defensive rebound by S. Mejri,,60-67,,
6:19.0,S. Mejri makes 2-pt shot from 1 ft (assist by D. Smith),2,62-67,,
6:17.0,,,62-67,,Miami full timeout
6:17.0,,,62-67,,J. Mickey enters the game for K. Olynyk
5:57.0,,,62-69,2,J. Richardson makes 2-pt shot from 12 ft
5:38.0,H. Barnes makes 2-pt shot from 1 ft,2,64-69,,
5:09.0,,,64-69,,J. Mickey misses 2-pt shot from 1 ft (block by S. Mejri)
5:03.0,Defensive rebound by Y. Ferrell,,64-69,,
4:58.0,Y. Ferrell misses 2-pt shot from 17 ft,,64-69,,
4:55.0,,,64-69,,Defensive rebound by J. Richardson
4:45.0,,,64-71,2,B. Adebayo makes 2-pt shot from 5 ft (assist by D. Walton)
4:23.0,Turnover by H. Barnes (bad pass),,64-71,,
4:23.0,,,64-71,,T. Johnson enters the game for W. Ellington
4:07.0,,,64-73,2,T. Johnson makes 2-pt shot from 19 ft
3:48.0,D. Smith misses 2-pt shot from 11 ft,,64-73,,
3:47.0,,,64-73,,Defensive rebound by J. Mickey
3:44.0,Personal foul by D. Smith (drawn by T. Johnson),,64-73,,
3:44.0,J. Barea enters the game for D. Smith,,64-73,,
3:44.0,D. Powell enters the game for S. Mejri,,64-73,,
3:30.0,,,64-75,2,J. Richardson makes 2-pt shot from 10 ft
3:13.0,J. Barea makes 3-pt shot from 25 ft (assist by D. Powell),3,67-75,,
2:53.0,,,67-77,2,J. Mickey makes 2-pt shot from 4 ft (assist by J. Richardson)
2:43.0,,,67-77,,Personal foul by J. Mickey (drawn by H. Barnes)
2:43.0,,,67-77,,K. Olynyk enters the game for J. Mickey
2:43.0,D. Nowitzki enters the game for H. Barnes,,67-77,,
2:30.0,D. Nowitzki makes 3-pt shot from 27 ft (assist by J. Barea),3,70-77,,
2:08.0,,,70-77,,T. Johnson misses 2-pt shot from 20 ft
2:06.0,Defensive rebound by D. Nowitzki,,70-77,,
2:00.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by J. Barea),3,73-77,,
1:40.0,,,73-77,,W. Ellington enters the game for J. Richardson
1:36.0,,,73-80,3,K. Olynyk makes 3-pt shot from 24 ft (assist by D. Walton)
1:09.0,Turnover by D. Nowitzki (lost ball; steal by B. Adebayo),,73-80,,
1:06.0,Personal foul by Y. Ferrell (drawn by B. Adebayo),,73-80,,
0:55.0,,,73-80,,D. Walton misses 3-pt shot from 24 ft
0:52.0,Defensive rebound by Y. Ferrell,,73-80,,
0:30.0,D. Nowitzki misses 3-pt shot from 27 ft,,73-80,,
0:27.0,,,73-80,,Defensive rebound by T. Johnson
0:09.0,,,73-80,,Turnover by T. Johnson (bad pass; steal by D. Powell)
0:04.0,J. Barea misses 2-pt shot from 1 ft,,73-80,,
0:02.0,,,73-80,,Defensive rebound by K. Olynyk
0:02.0,Personal foul by W. Matthews (drawn by D. Walton),,73-80,,
0:02.0,,,73-81,1,D. Walton makes free throw 1 of 2
0:02.0,,,73-82,1,D. Walton makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,73-82,,J. Mickey misses 2-pt shot from 13 ft
11:39.0,Defensive rebound by D. Powell,,73-82,,
11:20.0,J. Barea misses 2-pt shot from 9 ft,,73-82,,
11:18.0,,,73-82,,Defensive rebound by D. Walton
11:03.0,,,73-82,,W. Ellington misses 3-pt shot from 25 ft
11:00.0,Defensive rebound by Team,,73-82,,
10:53.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Smith),3,76-82,,
10:24.0,,,76-82,,K. Olynyk misses 2-pt shot from 9 ft
10:22.0,Defensive rebound by D. Nowitzki,,76-82,,
10:15.0,D. Powell makes 2-pt shot from 1 ft (assist by D. Smith),2,78-82,,
9:57.0,,,78-82,,Turnover by K. Olynyk (bad pass; steal by D. Powell)
9:57.0,,,78-82,,J. Richardson enters the game for D. Walton
9:51.0,Jump ball: T. Johnson vs. D. Powell (D. Smith gains possession),,,,Jump ball: T. Johnson vs. D. Powell (D. Smith gains possession)
9:40.0,D. Smith makes 3-pt shot from 27 ft (assist by J. Barea),3,81-82,,
9:30.0,,,81-82,,Offensive foul by J. Richardson (drawn by J. Barea)
9:30.0,,,81-82,,Turnover by J. Richardson (offensive foul)
9:30.0,,,81-82,,B. Adebayo enters the game for K. Olynyk
9:16.0,J. Barea misses 2-pt shot from 6 ft,,81-82,,
9:13.0,,,81-82,,Defensive rebound by J. Richardson
9:03.0,,,81-82,,T. Johnson misses 2-pt shot from 8 ft
8:58.0,Defensive rebound by K. Collinsworth,,81-82,,
8:56.0,D. Smith misses 3-pt shot from 24 ft,,81-82,,
8:53.0,,,81-82,,Defensive rebound by B. Adebayo
8:41.0,,,81-82,,J. Mickey misses 2-pt shot from 1 ft
8:40.0,,,81-82,,Offensive rebound by J. Mickey
8:38.0,,,81-84,2,J. Mickey makes 2-pt shot from 1 ft
8:16.0,Shooting foul by W. Ellington (drawn by K. Collinsworth),,81-84,,
8:16.0,K. Collinsworth misses free throw 1 of 2,,81-84,,
8:16.0,Offensive rebound by Team,,81-84,,
8:16.0,K. Collinsworth makes free throw 2 of 2,1,82-84,,
8:04.0,,,82-87,3,W. Ellington makes 3-pt shot from 26 ft (assist by J. Richardson)
7:50.0,D. Nowitzki misses 3-pt shot from 22 ft,,82-87,,
7:41.0,,,82-87,,Defensive rebound by T. Johnson
7:36.0,,,82-90,3,W. Ellington makes 3-pt shot from 25 ft (assist by T. Johnson)
7:36.0,Dallas full timeout,,82-90,,
7:36.0,Y. Ferrell enters the game for J. Barea,,82-90,,
7:36.0,H. Barnes enters the game for D. Powell,,82-90,,
7:36.0,S. Mejri enters the game for D. Nowitzki,,82-90,,
7:36.0,W. Matthews enters the game for K. Collinsworth,,82-90,,
7:20.0,W. Matthews misses 3-pt shot from 25 ft,,82-90,,
7:17.0,,,82-90,,Defensive rebound by J. Mickey
6:53.0,,,82-92,2,J. Richardson makes 2-pt shot from 11 ft
6:30.0,Y. Ferrell makes 2-pt shot from 10 ft,2,84-92,,
6:18.0,Personal foul by S. Mejri (drawn by B. Adebayo),,84-92,,
6:03.0,,,84-92,,J. Richardson misses 3-pt shot from 26 ft
5:59.0,Defensive rebound by D. Smith,,84-92,,
5:40.0,Shooting foul by B. Adebayo (drawn by W. Matthews),,84-92,,
5:40.0,W. Matthews makes free throw 1 of 2,1,85-92,,
5:40.0,,,85-92,,D. Walton enters the game for J. Richardson
5:40.0,W. Matthews makes free throw 2 of 2,1,86-92,,
5:21.0,,,86-94,2,T. Johnson makes 2-pt shot from 21 ft (assist by J. Mickey)
5:07.0,Turnover by D. Smith (bad pass),,86-94,,
4:56.0,,,86-96,2,T. Johnson makes 2-pt shot from 20 ft (assist by D. Walton)
4:56.0,Dallas full timeout,,86-96,,
4:56.0,D. Nowitzki enters the game for D. Smith,,86-96,,
4:56.0,J. Barea enters the game for S. Mejri,,86-96,,
4:43.0,H. Barnes makes 2-pt shot from 1 ft (assist by J. Barea),2,88-96,,
4:19.0,,,88-99,3,W. Ellington makes 3-pt shot from 23 ft (assist by B. Adebayo)
3:59.0,J. Barea misses 3-pt shot from 25 ft,,88-99,,
3:56.0,Offensive rebound by H. Barnes,,88-99,,
3:55.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by H. Barnes),3,91-99,,
3:46.0,,,91-99,,Miami full timeout
3:46.0,,,91-99,,J. Richardson enters the game for J. Mickey
3:35.0,,,91-101,2,J. Richardson makes 2-pt shot from 22 ft
3:13.0,Y. Ferrell makes 3-pt shot from 25 ft,3,94-101,,
2:48.0,,,94-103,2,B. Adebayo makes 2-pt shot from 1 ft (assist by D. Walton)
2:35.0,H. Barnes makes 2-pt shot at rim (assist by J. Barea),2,96-103,,
2:14.0,,,96-103,,T. Johnson misses 2-pt shot from 16 ft
2:12.0,Defensive rebound by H. Barnes,,96-103,,
2:07.0,Shooting foul by W. Ellington (drawn by W. Matthews),,96-103,,
2:07.0,W. Matthews makes free throw 1 of 2,1,97-103,,
2:07.0,,,97-103,,K. Olynyk enters the game for D. Walton
2:07.0,W. Matthews makes free throw 2 of 2,1,98-103,,
1:49.0,,,98-106,3,J. Richardson makes 3-pt shot from 25 ft (assist by K. Olynyk)
1:37.0,Shooting foul by J. Richardson (drawn by H. Barnes),,98-106,,
1:37.0,H. Barnes misses free throw 1 of 2,,98-106,,
1:37.0,Offensive rebound by Team,,98-106,,
1:37.0,H. Barnes misses free throw 2 of 2,,98-106,,
1:32.0,,,98-106,,Defensive rebound by B. Adebayo
1:17.0,,,98-109,3,W. Ellington makes 3-pt shot from 23 ft (assist by T. Johnson)
1:17.0,Dallas full timeout,,98-109,,
1:12.0,Y. Ferrell makes 3-pt shot from 24 ft (assist by H. Barnes),3,101-109,,
0:53.0,,,101-111,2,J. Richardson makes 2-pt shot from 16 ft
0:48.0,Y. Ferrell misses 3-pt shot from 25 ft,,101-111,,
0:45.0,,,101-111,,Defensive rebound by B. Adebayo
0:25.0,,,101-113,2,T. Johnson makes 2-pt shot from 21 ft (assist by B. Adebayo)
0:15.0,H. Barnes misses 3-pt shot from 25 ft,,101-113,,
0:12.0,,,101-113,,Defensive rebound by W. Ellington
