time,Washington,pts.away,score,pts.home,Miami
5:30.0,M. Gortat makes free throw 2 of 2,1,17-10,,
5:12.0,,,17-13,3,D. Waiters makes 3-pt shot from 23 ft (assist by J. Johnson)
4:57.0,M. Gortat misses 2-pt shot from 7 ft,,17-13,,
4:57.0,,,17-13,,Defensive rebound by H. Whiteside
4:44.0,,,17-15,2,D. Waiters makes 2-pt shot from 1 ft
4:30.0,M. Morris makes 2-pt shot from 7 ft,2,19-15,,
4:14.0,,,19-15,,Turnover by D. Waiters (bad pass; steal by J. Wall)
4:07.0,J. Wall misses 2-pt shot from 1 ft,,19-15,,
4:07.0,Offensive rebound by O. Porter,,19-15,,
4:05.0,O. Porter makes 2-pt shot at rim,2,21-15,,
3:46.0,,,21-15,,Shooting foul by M. Morris (drawn by H. Whiteside)
3:46.0,,,21-16,1,H. Whiteside makes free throw 1 of 2
3:46.0,,,21-16,,J. Richardson enters the game for D. Waiters
3:46.0,I. Mahinmi enters the game for M. Morris,,21-16,,
3:46.0,K. Oubre enters the game for M. Gortat,,21-16,,
3:46.0,,,21-17,1,H. Whiteside makes free throw 2 of 2
3:22.0,J. Wall misses 2-pt shot from 11 ft,,21-17,,
3:18.0,,,21-17,,Defensive rebound by H. Whiteside
3:12.0,,,21-19,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
2:49.0,B. Beal makes 2-pt shot from 18 ft,2,23-19,,
2:31.0,,,23-19,,J. Richardson misses 3-pt shot from 25 ft
2:30.0,,,23-19,,Offensive rebound by H. Whiteside
2:28.0,,,23-19,,Turnover by H. Whiteside (bad pass; steal by B. Beal)
2:17.0,J. Wall makes 3-pt shot from 25 ft (assist by K. Oubre),3,26-19,,
1:55.0,,,26-19,,Turnover by G. Dragic (lost ball; steal by B. Beal)
1:45.0,J. Wall makes 2-pt shot from 1 ft,2,28-19,,
1:28.0,,,28-19,,G. Dragic misses 2-pt shot from 18 ft
1:25.0,Defensive rebound by O. Porter,,28-19,,
1:15.0,Turnover by B. Beal (lost ball; steal by J. Richardson),,28-19,,
0:55.0,,,28-19,,G. Dragic misses 3-pt shot from 22 ft
0:53.0,,,28-19,,Offensive rebound by Team
0:53.0,Washington full timeout,,28-19,,
0:53.0,,,28-19,,W. Ellington enters the game for G. Dragic
0:53.0,,,28-19,,K. Olynyk enters the game for H. Whiteside
0:53.0,T. Frazier enters the game for J. Wall,,28-19,,
0:36.0,,,28-19,,T. Johnson misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by O. Porter,,28-19,,
0:20.0,B. Beal makes 2-pt shot from 2 ft,2,30-19,,
0:00.0,,,30-19,,W. Ellington misses 2-pt shot from 16 ft
0:00.0,,,30-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,30-19,,Shooting foul by T. Frazier (drawn by T. Johnson)
11:44.0,,,30-20,1,T. Johnson makes free throw 1 of 2
11:44.0,,,30-21,1,T. Johnson makes free throw 2 of 2
11:32.0,Offensive foul by O. Porter (drawn by J. Richardson),,30-21,,
11:32.0,Turnover by O. Porter (offensive foul),,30-21,,
11:21.0,,,30-24,3,W. Ellington makes 3-pt shot from 25 ft (assist by T. Johnson)
11:00.0,O. Porter makes 2-pt shot from 8 ft,2,32-24,,
10:44.0,,,32-24,,J. Richardson misses 2-pt shot from 8 ft
10:44.0,Defensive rebound by K. Oubre,,32-24,,
10:22.0,T. Frazier makes 3-pt shot from 24 ft,3,35-24,,
10:07.0,,,35-27,3,T. Johnson makes 3-pt shot from 25 ft (assist by J. Richardson)
10:01.0,Turnover by T. Frazier (traveling),,35-27,,
9:50.0,,,35-27,,Turnover by W. Ellington (bad pass)
9:43.0,,,35-27,,Personal foul by T. Johnson (drawn by K. Oubre)
9:26.0,O. Porter makes 3-pt shot from 24 ft (assist by K. Oubre),3,38-27,,
9:03.0,,,38-29,2,T. Johnson makes 2-pt shot from 19 ft
8:51.0,K. Oubre makes 2-pt shot from 1 ft,2,40-29,,
8:34.0,,,40-29,,J. Johnson misses 2-pt shot from 4 ft
8:22.0,Defensive rebound by O. Porter,,40-29,,
8:16.0,T. Frazier makes 2-pt shot from 2 ft,2,42-29,,
8:12.0,,,42-29,,Miami full timeout
8:12.0,,,42-29,,D. Waiters enters the game for J. Richardson
8:12.0,B. Beal enters the game for O. Porter,,42-29,,
8:00.0,,,42-32,3,T. Johnson makes 3-pt shot from 24 ft (assist by D. Waiters)
7:39.0,Shooting foul by K. Olynyk (drawn by I. Mahinmi),,42-32,,
7:39.0,I. Mahinmi makes free throw 1 of 2,1,43-32,,
7:39.0,I. Mahinmi makes free throw 2 of 2,1,44-32,,
7:21.0,,,44-35,3,K. Olynyk makes 3-pt shot from 22 ft (assist by T. Johnson)
6:57.0,T. Frazier misses 2-pt shot from 4 ft,,44-35,,
6:55.0,Offensive rebound by I. Mahinmi,,44-35,,
6:53.0,I. Mahinmi misses 2-pt shot from 2 ft,,44-35,,
6:53.0,,,44-35,,Defensive rebound by K. Olynyk
6:41.0,,,44-38,3,T. Johnson makes 3-pt shot from 25 ft (assist by D. Waiters)
6:41.0,Washington full timeout,,44-38,,
6:41.0,J. Wall enters the game for T. Frazier,,44-38,,
6:20.0,B. Beal misses 2-pt shot from 8 ft,,44-38,,
6:20.0,Offensive rebound by Team,,44-38,,
6:20.0,Shooting foul by W. Ellington (drawn by J. Meeks),,44-38,,
6:20.0,J. Meeks makes free throw 1 of 2,1,45-38,,
6:20.0,M. Gortat enters the game for I. Mahinmi,,45-38,,
6:20.0,J. Meeks makes free throw 2 of 2,1,46-38,,
6:02.0,,,46-38,,T. Johnson misses 2-pt shot from 2 ft
6:00.0,,,46-38,,Offensive rebound by K. Olynyk
6:00.0,,,46-40,2,K. Olynyk makes 2-pt shot at rim
5:46.0,B. Beal makes 2-pt shot from 20 ft,2,48-40,,
5:23.0,,,48-40,,W. Ellington misses 2-pt shot from 2 ft
5:23.0,Defensive rebound by K. Oubre,,48-40,,
5:07.0,J. Meeks makes 2-pt shot from 2 ft,2,50-40,,
4:53.0,,,50-40,,D. Waiters misses 2-pt shot from 1 ft
4:52.0,,,50-40,,Offensive rebound by T. Johnson
4:52.0,,,50-40,,Shooting foul by J. Wall (drawn by D. Waiters)
4:52.0,,,50-41,1,D. Waiters makes free throw 1 of 2
4:52.0,,,50-41,,J. Winslow enters the game for W. Ellington
4:52.0,,,50-41,,H. Whiteside enters the game for K. Olynyk
4:52.0,,,50-41,,G. Dragic enters the game for J. Johnson
4:52.0,M. Morris enters the game for K. Oubre,,50-41,,
4:52.0,,,50-42,1,D. Waiters makes free throw 2 of 2
4:33.0,B. Beal misses 2-pt shot from 4 ft,,50-42,,
4:31.0,Offensive rebound by B. Beal,,50-42,,
4:22.0,,,50-42,,Personal foul by T. Johnson (drawn by M. Morris)
4:14.0,M. Gortat misses 2-pt shot from 1 ft,,50-42,,
4:09.0,Offensive rebound by B. Beal,,50-42,,
4:09.0,B. Beal misses 2-pt shot at rim,,50-42,,
4:08.0,Offensive rebound by B. Beal,,50-42,,
4:08.0,B. Beal misses 2-pt shot at rim,,50-42,,
4:07.0,,,50-42,,Defensive rebound by J. Winslow
4:01.0,,,50-45,3,J. Winslow makes 3-pt shot from 24 ft (assist by D. Waiters)
3:41.0,J. Wall makes 2-pt shot from 1 ft,2,52-45,,
3:29.0,,,52-45,,Turnover by J. Winslow (bad pass; steal by J. Meeks)
3:24.0,J. Wall makes 2-pt shot from 1 ft,2,54-45,,
3:11.0,Personal foul by J. Meeks (drawn by H. Whiteside),,54-45,,
3:11.0,,,54-45,,J. Richardson enters the game for T. Johnson
3:11.0,O. Porter enters the game for J. Meeks,,54-45,,
2:58.0,,,54-45,,D. Waiters misses 3-pt shot from 25 ft
2:54.0,Defensive rebound by O. Porter,,54-45,,
2:35.0,Shooting foul by G. Dragic (drawn by J. Wall),,54-45,,
2:35.0,J. Wall makes free throw 1 of 2,1,55-45,,
2:35.0,J. Wall makes free throw 2 of 2,1,56-45,,
2:29.0,,,56-45,,Turnover by D. Waiters (traveling)
2:17.0,Turnover by J. Wall (bad pass),,56-45,,
2:09.0,,,56-45,,Turnover by D. Waiters (bad pass)
1:50.0,B. Beal misses 2-pt shot from 10 ft,,56-45,,
1:48.0,,,56-45,,Defensive rebound by H. Whiteside
1:42.0,,,56-47,2,G. Dragic makes 2-pt shot from 13 ft
1:35.0,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall),3,59-47,,
1:14.0,,,59-49,2,G. Dragic makes 2-pt shot from 1 ft
0:58.0,O. Porter misses 2-pt shot from 11 ft,,59-49,,
0:56.0,,,59-49,,Defensive rebound by H. Whiteside
0:48.0,,,59-49,,Turnover by J. Winslow (bad pass; steal by M. Gortat)
0:42.0,J. Wall makes 2-pt shot from 1 ft,2,61-49,,
0:21.0,,,61-49,,D. Waiters misses 2-pt shot from 1 ft
0:21.0,Defensive rebound by Team,,61-49,,
0:21.0,,,61-49,,J. Johnson enters the game for J. Winslow
0:00.0,B. Beal misses 2-pt shot from 15 ft,,61-49,,
0:00.0,Offensive rebound by Team,,61-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,61-49,,Shooting foul by M. Gortat (drawn by H. Whiteside)
11:39.0,,,61-50,1,H. Whiteside makes free throw 1 of 2
11:39.0,,,61-51,1,H. Whiteside makes free throw 2 of 2
11:25.0,J. Wall misses 2-pt shot from 18 ft,,61-51,,
11:21.0,Offensive rebound by M. Gortat,,61-51,,
11:17.0,M. Morris misses 3-pt shot from 24 ft,,61-51,,
11:14.0,,,61-51,,Defensive rebound by G. Dragic
11:08.0,,,61-51,,Turnover by G. Dragic (bad pass; steal by O. Porter)
11:06.0,Shooting foul by D. Waiters (drawn by B. Beal),,61-51,,
11:06.0,B. Beal misses free throw 1 of 2,,61-51,,
11:06.0,Offensive rebound by Team,,61-51,,
11:06.0,B. Beal makes free throw 2 of 2,1,62-51,,
10:47.0,,,62-51,,D. Waiters misses 2-pt shot from 18 ft
10:44.0,Defensive rebound by J. Wall,,62-51,,
10:24.0,J. Wall misses 2-pt shot from 20 ft,,62-51,,
10:22.0,,,62-51,,Defensive rebound by H. Whiteside
10:15.0,,,62-54,3,G. Dragic makes 3-pt shot from 25 ft (assist by J. Winslow)
9:55.0,M. Morris misses 2-pt shot from 1 ft,,62-54,,
9:53.0,,,62-54,,Defensive rebound by H. Whiteside
9:44.0,,,62-54,,G. Dragic misses 3-pt shot from 25 ft
9:40.0,,,62-54,,Offensive rebound by J. Richardson
9:40.0,,,62-56,2,J. Richardson makes 2-pt shot from 3 ft
9:40.0,Washington full timeout,,62-56,,
9:24.0,M. Morris misses 2-pt shot from 5 ft,,62-56,,
9:19.0,Offensive rebound by M. Gortat,,62-56,,
9:12.0,M. Gortat misses 2-pt shot from 7 ft,,62-56,,
9:11.0,Offensive rebound by O. Porter,,62-56,,
9:11.0,O. Porter misses 2-pt shot at rim,,62-56,,
9:10.0,,,62-56,,Defensive rebound by H. Whiteside
9:03.0,Personal foul by M. Morris (drawn by D. Waiters),,62-56,,
8:51.0,,,62-56,,H. Whiteside misses 2-pt shot from 11 ft
8:48.0,,,62-56,,Offensive rebound by G. Dragic
8:45.0,,,62-59,3,D. Waiters makes 3-pt shot from 24 ft (assist by G. Dragic)
8:23.0,B. Beal misses 2-pt shot from 13 ft,,62-59,,
8:18.0,,,62-59,,Defensive rebound by H. Whiteside
8:07.0,,,62-59,,J. Richardson misses 2-pt shot from 21 ft
8:03.0,Defensive rebound by B. Beal,,62-59,,
7:46.0,Offensive charge foul by M. Morris (drawn by J. Richardson),,62-59,,
7:46.0,Turnover by M. Morris (offensive foul),,62-59,,
7:46.0,K. Oubre enters the game for M. Morris,,62-59,,
7:34.0,,,62-59,,G. Dragic misses 2-pt shot from 3 ft
7:34.0,,,62-59,,Offensive rebound by H. Whiteside
7:34.0,,,62-59,,Turnover by H. Whiteside (traveling)
7:17.0,J. Wall misses 2-pt shot from 10 ft,,62-59,,
7:15.0,,,62-59,,Defensive rebound by J. Winslow
7:02.0,,,62-59,,J. Richardson misses 3-pt shot from 23 ft
6:57.0,,,62-59,,Offensive rebound by J. Winslow
6:45.0,,,62-59,,D. Waiters misses 3-pt shot from 26 ft
6:43.0,,,62-59,,Offensive rebound by H. Whiteside
6:40.0,,,62-61,2,H. Whiteside makes 2-pt shot from 4 ft
6:23.0,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall),2,64-61,,
6:05.0,,,64-64,3,D. Waiters makes 3-pt shot from 25 ft (assist by J. Richardson)
5:50.0,Offensive foul by M. Gortat (drawn by D. Waiters),,64-64,,
5:50.0,Turnover by M. Gortat (offensive foul),,64-64,,
5:50.0,,,64-64,,T. Johnson enters the game for J. Richardson
5:50.0,I. Mahinmi enters the game for M. Gortat,,64-64,,
5:38.0,,,64-64,,G. Dragic misses 2-pt shot from 1 ft
5:34.0,Defensive rebound by O. Porter,,64-64,,
5:32.0,Turnover by O. Porter (bad pass),,64-64,,
5:18.0,,,64-66,2,J. Winslow makes 2-pt shot from 1 ft
5:03.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,67-66,,
4:47.0,,,67-69,3,G. Dragic makes 3-pt shot from 25 ft (assist by D. Waiters)
4:24.0,B. Beal makes 2-pt shot from 22 ft,2,69-69,,
4:13.0,,,69-69,,D. Waiters misses 2-pt shot from 19 ft
4:11.0,Defensive rebound by K. Oubre,,69-69,,
3:59.0,J. Wall makes 2-pt shot from 1 ft,2,71-69,,
3:59.0,,,71-69,,Miami full timeout
3:45.0,,,71-69,,D. Waiters misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by J. Wall,,71-69,,
3:25.0,K. Oubre misses 2-pt shot from 7 ft,,71-69,,
3:23.0,,,71-69,,Defensive rebound by H. Whiteside
3:11.0,,,71-69,,Turnover by J. Winslow (bad pass)
3:11.0,,,71-69,,J. Johnson enters the game for J. Winslow
2:57.0,J. Wall misses 2-pt shot from 2 ft (block by T. Johnson),,71-69,,
2:52.0,,,71-69,,Defensive rebound by G. Dragic
2:49.0,,,71-69,,D. Waiters misses 3-pt shot from 25 ft
2:45.0,Defensive rebound by K. Oubre,,71-69,,
2:35.0,B. Beal misses 3-pt shot from 26 ft,,71-69,,
2:33.0,,,71-69,,Defensive rebound by J. Johnson
2:20.0,,,71-72,3,G. Dragic makes 3-pt shot from 23 ft (assist by J. Johnson)
2:06.0,Turnover by B. Beal (bad pass; steal by G. Dragic),,71-72,,
1:54.0,Personal foul by B. Beal (drawn by G. Dragic),,71-72,,
1:54.0,,,71-72,,J. Richardson enters the game for G. Dragic
1:54.0,T. Frazier enters the game for J. Wall,,71-72,,
1:40.0,,,71-72,,J. Johnson misses 2-pt shot from 3 ft
1:38.0,Defensive rebound by T. Frazier,,71-72,,
1:32.0,K. Oubre misses 3-pt shot from 24 ft,,71-72,,
1:29.0,,,71-72,,Defensive rebound by H. Whiteside
1:22.0,,,71-72,,Shooting foul by I. Mahinmi (drawn by H. Whiteside)
1:22.0,,,71-72,,H. Whiteside misses free throw 1 of 2
1:22.0,,,71-72,,Offensive rebound by Team
1:22.0,J. Meeks enters the game for B. Beal,,71-72,,
1:22.0,,,71-72,,H. Whiteside misses free throw 2 of 2
1:19.0,Defensive rebound by O. Porter,,71-72,,
1:07.0,K. Oubre misses 2-pt shot from 3 ft,,71-72,,
1:07.0,,,71-72,,Defensive rebound by Team
0:47.0,,,71-72,,T. Johnson misses 3-pt shot from 23 ft
0:47.0,Defensive rebound by Team,,71-72,,
0:32.0,Turnover by J. Meeks (out of bounds lost ball),,71-72,,
0:13.0,,,71-72,,T. Johnson misses 2-pt shot from 19 ft
0:11.0,,,71-72,,Offensive rebound by Team
0:11.0,Loose ball foul by I. Mahinmi (drawn by H. Whiteside),,71-72,,
0:11.0,,,71-72,,J. Winslow enters the game for D. Waiters
0:11.0,,,71-73,1,H. Whiteside makes free throw 1 of 2
0:11.0,,,71-74,1,H. Whiteside makes free throw 2 of 2
0:00.0,O. Porter misses 2-pt shot from 16 ft,,71-74,,
0:00.0,Offensive rebound by Team,,71-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,J. Meeks makes 2-pt shot from 18 ft,2,73-74,,
11:19.0,,,73-74,,K. Olynyk misses 2-pt shot from 13 ft
11:16.0,Defensive rebound by I. Mahinmi,,73-74,,
11:04.0,J. Meeks misses 3-pt shot from 26 ft,,73-74,,
10:59.0,,,73-74,,Defensive rebound by K. Olynyk
10:44.0,,,73-76,2,G. Dragic makes 2-pt shot from 17 ft
10:29.0,Turnover by I. Mahinmi (bad pass; steal by K. Olynyk),,73-76,,
10:26.0,Personal foul by I. Mahinmi (drawn by G. Dragic),,73-76,,
10:12.0,,,73-78,2,G. Dragic makes 2-pt shot from 5 ft
9:58.0,Turnover by I. Mahinmi (traveling),,73-78,,
9:47.0,,,73-80,2,G. Dragic makes 2-pt shot from 14 ft
9:47.0,Washington full timeout,,73-80,,
9:47.0,J. Wall enters the game for I. Mahinmi,,73-80,,
9:47.0,M. Morris enters the game for T. Frazier,,73-80,,
9:26.0,J. Wall misses 2-pt shot from 13 ft,,73-80,,
9:19.0,,,73-80,,Defensive rebound by T. Johnson
9:18.0,,,73-80,,Turnover by G. Dragic (bad pass)
9:05.0,J. Wall makes 2-pt shot from 1 ft,2,75-80,,
9:05.0,Shooting foul by K. Olynyk (drawn by J. Wall),,75-80,,
9:05.0,J. Wall makes free throw 1 of 1,1,76-80,,
8:52.0,Violation by M. Morris (kicked ball),,76-80,,
8:43.0,,,76-80,,K. Olynyk misses 3-pt shot from 25 ft
8:40.0,Defensive rebound by J. Meeks,,76-80,,
8:31.0,Shooting foul by J. Richardson (drawn by K. Oubre),,76-80,,
8:31.0,K. Oubre makes free throw 1 of 2,1,77-80,,
8:31.0,B. Beal enters the game for O. Porter,,77-80,,
8:31.0,K. Oubre makes free throw 2 of 2,1,78-80,,
8:15.0,,,78-80,,T. Johnson misses 3-pt shot from 25 ft
8:15.0,Defensive rebound by Team,,78-80,,
8:10.0,,,78-80,,Personal foul by J. Johnson (drawn by B. Beal)
8:10.0,,,78-80,,J. Winslow enters the game for K. Olynyk
8:05.0,Shooting foul by T. Johnson (drawn by B. Beal),,78-80,,
8:05.0,B. Beal makes free throw 1 of 2,1,79-80,,
8:05.0,B. Beal makes free throw 2 of 2,1,80-80,,
7:58.0,,,80-80,,Shooting foul by J. Wall (drawn by J. Johnson)
7:58.0,,,80-81,1,J. Johnson makes free throw 1 of 2
7:58.0,,,80-82,1,J. Johnson makes free throw 2 of 2
7:43.0,M. Morris misses 2-pt shot from 1 ft,,80-82,,
7:43.0,Offensive rebound by Team,,80-82,,
7:36.0,B. Beal misses 2-pt shot from 1 ft (block by J. Winslow),,80-82,,
7:32.0,Offensive rebound by M. Morris,,80-82,,
7:30.0,M. Morris makes 2-pt shot from 1 ft,2,82-82,,
7:26.0,Personal foul by M. Morris,,82-82,,
7:26.0,Technical foul by M. Morris,,82-82,,
7:26.0,,,82-83,1,T. Johnson makes technical free throw
7:26.0,,,82-83,,D. Waiters enters the game for G. Dragic
7:15.0,,,82-83,,D. Waiters misses 2-pt shot from 21 ft
7:12.0,,,82-83,,Offensive rebound by J. Winslow
7:04.0,,,82-83,,J. Johnson misses 2-pt shot from 5 ft
7:01.0,,,82-83,,Offensive rebound by J. Johnson
7:00.0,,,82-83,,J. Winslow misses 3-pt shot from 23 ft
7:00.0,Defensive rebound by Team,,82-83,,
7:00.0,,,82-83,,Loose ball foul by J. Johnson (drawn by B. Beal)
7:00.0,B. Beal makes free throw 1 of 2,1,83-83,,
7:00.0,B. Beal makes free throw 2 of 2,1,84-83,,
6:57.0,,,84-83,,Miami full timeout
6:45.0,Violation by M. Morris (kicked ball),,84-83,,
6:41.0,,,84-83,,Turnover by J. Johnson (discontinued dribble)
6:27.0,M. Morris makes 2-pt shot from 20 ft,2,86-83,,
6:27.0,Shooting foul by D. Waiters (drawn by M. Morris),,86-83,,
6:27.0,,,86-83,,H. Whiteside enters the game for J. Richardson
6:27.0,M. Morris makes free throw 1 of 1,1,87-83,,
6:27.0,,,87-83,,G. Dragic enters the game for J. Winslow
6:27.0,M. Gortat enters the game for J. Meeks,,87-83,,
6:05.0,,,87-83,,J. Johnson misses 2-pt shot from 4 ft
6:03.0,Defensive rebound by B. Beal,,87-83,,
5:52.0,Shooting foul by T. Johnson (drawn by J. Wall),,87-83,,
5:52.0,J. Wall makes free throw 1 of 2,1,88-83,,
5:52.0,J. Wall misses free throw 2 of 2,,88-83,,
5:49.0,Offensive rebound by J. Wall,,88-83,,
5:43.0,J. Wall misses 2-pt shot from 13 ft,,88-83,,
5:40.0,,,88-83,,Defensive rebound by D. Waiters
5:36.0,,,88-83,,T. Johnson misses 3-pt shot from 22 ft
5:32.0,Defensive rebound by K. Oubre,,88-83,,
5:24.0,M. Morris misses 3-pt shot from 23 ft,,88-83,,
5:20.0,Offensive rebound by Team,,88-83,,
5:04.0,Offensive foul by M. Morris,,88-83,,
5:04.0,Turnover by M. Morris (offensive foul),,88-83,,
5:04.0,Technical foul by M. Morris,,88-83,,
5:04.0,,,88-84,1,T. Johnson makes technical free throw
5:04.0,O. Porter enters the game for M. Morris,,88-84,,
4:51.0,,,88-86,2,D. Waiters makes 2-pt shot from 1 ft
4:31.0,M. Gortat misses 2-pt shot from 6 ft (block by H. Whiteside),,88-86,,
4:28.0,,,88-86,,Defensive rebound by H. Whiteside
4:23.0,,,88-86,,Turnover by J. Johnson (bad pass)
4:02.0,Shooting foul by D. Waiters (drawn by B. Beal),,88-86,,
4:02.0,B. Beal makes free throw 1 of 2,1,89-86,,
4:02.0,B. Beal makes free throw 2 of 2,1,90-86,,
4:02.0,,,90-86,,Miami full timeout
3:54.0,,,90-86,,Turnover by D. Waiters (bad pass; steal by O. Porter)
3:38.0,B. Beal misses 3-pt shot from 30 ft,,90-86,,
3:35.0,,,90-86,,Defensive rebound by H. Whiteside
3:21.0,,,90-86,,Turnover by D. Waiters (lost ball; steal by M. Gortat)
3:04.0,K. Oubre makes 3-pt shot from 26 ft (assist by J. Wall),3,93-86,,
2:48.0,Personal foul by K. Oubre (drawn by G. Dragic),,93-86,,
2:48.0,,,93-86,,J. Richardson enters the game for J. Johnson
2:33.0,,,93-86,,J. Richardson misses 3-pt shot from 25 ft
2:28.0,Defensive rebound by O. Porter,,93-86,,
2:10.0,J. Wall misses 3-pt shot from 26 ft,,93-86,,
2:07.0,,,93-86,,Defensive rebound by J. Richardson
2:04.0,,,93-86,,T. Johnson misses 2-pt shot from 1 ft (block by J. Wall)
1:59.0,Defensive rebound by B. Beal,,93-86,,
1:54.0,B. Beal misses 3-pt shot from 25 ft,,93-86,,
1:51.0,,,93-86,,Defensive rebound by G. Dragic
1:37.0,,,93-88,2,D. Waiters makes 2-pt shot from 21 ft
1:23.0,Shooting foul by D. Waiters (drawn by B. Beal),,93-88,,
1:23.0,,,93-88,,Technical foul by T. Johnson
1:23.0,B. Beal makes technical free throw,1,94-88,,
1:23.0,B. Beal makes free throw 1 of 3,1,95-88,,
1:23.0,B. Beal makes free throw 2 of 3,1,96-88,,
1:23.0,,,96-88,,J. Johnson enters the game for T. Johnson
1:23.0,B. Beal makes free throw 3 of 3,1,97-88,,
1:14.0,,,97-88,,G. Dragic misses 2-pt shot from 20 ft
1:11.0,Defensive rebound by B. Beal,,97-88,,
0:53.0,J. Wall misses 2-pt shot from 4 ft,,97-88,,
0:49.0,,,97-88,,Defensive rebound by H. Whiteside
0:49.0,,,97-90,2,G. Dragic makes 2-pt shot at rim (assist by D. Waiters)
0:41.0,Washington full timeout,,97-90,,
0:41.0,,,97-90,,J. Winslow enters the game for H. Whiteside
0:37.0,,,97-90,,Personal foul by J. Richardson (drawn by J. Wall)
0:37.0,J. Wall makes free throw 1 of 2,1,98-90,,
