time,Detroit,pts.away,score,pts.home,Utah
5:30.0,,,9-18,,Turnover by D. Favors (step out of bounds)
5:18.0,B. Griffin misses 2-pt shot from 20 ft,,9-18,,
5:13.0,Offensive rebound by A. Drummond,,9-18,,
5:13.0,A. Drummond misses 2-pt shot at rim,,9-18,,
5:13.0,Offensive rebound by A. Drummond,,9-18,,
5:11.0,A. Drummond makes 2-pt shot from 2 ft,2,11-18,,
5:00.0,,,11-18,,Shooting foul by J. Ennis (drawn by J. Ingles)
5:00.0,,,11-19,1,J. Ingles makes free throw 1 of 2
5:00.0,,,11-19,,J. Jerebko enters the game for D. Favors
5:00.0,L. Kennard enters the game for J. Ennis,,11-19,,
5:00.0,,,11-20,1,J. Ingles makes free throw 2 of 2
4:50.0,,,11-20,,Personal foul by J. Jerebko (drawn by B. Griffin)
4:50.0,,,11-20,,J. Crowder enters the game for J. Ingles
4:35.0,B. Griffin makes 2-pt shot from 11 ft (assist by L. Kennard),2,13-20,,
4:22.0,,,13-22,2,R. Gobert makes 2-pt shot from 2 ft (assist by R. Rubio)
4:04.0,B. Griffin misses 2-pt shot from 7 ft,,13-22,,
4:00.0,Offensive rebound by A. Drummond,,13-22,,
4:00.0,A. Drummond makes 2-pt shot at rim,2,15-22,,
3:43.0,,,15-24,2,R. Rubio makes 2-pt shot from 15 ft (assist by J. Crowder)
3:24.0,B. Griffin misses 2-pt shot from 3 ft (block by J. Jerebko),,15-24,,
3:20.0,Offensive rebound by I. Smith,,15-24,,
3:18.0,S. Johnson misses 3-pt shot from 26 ft,,15-24,,
3:16.0,,,15-24,,Defensive rebound by R. Rubio
3:10.0,,,15-27,3,J. Jerebko makes 3-pt shot from 25 ft (assist by J. Crowder)
2:49.0,S. Johnson misses 3-pt shot from 24 ft,,15-27,,
2:48.0,Offensive rebound by Team,,15-27,,
2:48.0,,,15-27,,Loose ball foul by R. Gobert (drawn by A. Drummond)
2:48.0,,,15-27,,Utah full timeout
2:48.0,,,15-27,,R. O'Neale enters the game for R. Rubio
2:48.0,,,15-27,,D. Favors enters the game for R. Gobert
2:48.0,A. Tolliver enters the game for B. Griffin,,15-27,,
2:41.0,A. Drummond makes 2-pt shot from 1 ft,2,17-27,,
2:23.0,,,17-29,2,J. Crowder makes 2-pt shot from 3 ft
2:10.0,Shooting foul by J. Crowder (drawn by A. Drummond),,17-29,,
2:10.0,A. Drummond makes free throw 1 of 2,1,18-29,,
2:10.0,J. Nelson enters the game for I. Smith,,18-29,,
2:10.0,A. Drummond makes free throw 2 of 2,1,19-29,,
1:57.0,,,19-31,2,J. Jerebko makes 2-pt shot from 1 ft (assist by D. Mitchell)
1:57.0,Shooting block foul by A. Drummond (drawn by J. Jerebko),,19-31,,
1:57.0,E. Moreland enters the game for A. Drummond,,19-31,,
1:57.0,,,19-31,,J. Jerebko misses free throw 1 of 1
1:55.0,Defensive rebound by A. Tolliver,,19-31,,
1:44.0,L. Kennard misses 3-pt shot from 25 ft,,19-31,,
1:42.0,,,19-31,,Defensive rebound by J. Jerebko
1:29.0,,,19-34,3,J. Crowder makes 3-pt shot from 24 ft (assist by R. O'Neale)
1:09.0,A. Tolliver misses 2-pt shot from 5 ft,,19-34,,
1:06.0,,,19-34,,Defensive rebound by J. Jerebko
0:54.0,,,19-36,2,R. O'Neale makes 2-pt shot from 8 ft (assist by J. Jerebko)
0:46.0,E. Moreland makes 2-pt shot from 11 ft (assist by J. Nelson),2,21-36,,
0:33.0,,,21-39,3,J. Crowder makes 3-pt shot from 22 ft (assist by D. Favors)
0:23.0,J. Nelson misses 2-pt shot from 22 ft,,21-39,,
0:20.0,,,21-39,,Defensive rebound by J. Jerebko
0:01.0,,,21-42,3,J. Jerebko makes 3-pt shot from 22 ft (assist by D. Mitchell)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,J. Ennis makes 2-pt shot from 7 ft,2,23-42,,
11:29.0,,,23-42,,Turnover by J. Crowder (lost ball; steal by E. Moreland)
11:24.0,L. Kennard makes 2-pt shot from 2 ft,2,25-42,,
11:08.0,,,25-44,2,J. Ingles makes 2-pt shot from 3 ft
10:51.0,J. Ennis misses 3-pt shot from 24 ft,,25-44,,
10:49.0,,,25-44,,Defensive rebound by D. Favors
10:39.0,Personal foul by J. Ennis (drawn by J. Crowder),,25-44,,
10:26.0,,,25-44,,J. Ingles misses 3-pt shot from 31 ft
10:23.0,Defensive rebound by E. Moreland,,25-44,,
10:13.0,L. Kennard makes 2-pt shot from 20 ft,2,27-44,,
10:04.0,,,27-44,,J. Ingles misses 2-pt shot from 3 ft (block by A. Tolliver)
10:04.0,,,27-44,,Offensive rebound by Team
10:04.0,,,27-44,,A. Burks enters the game for J. Crowder
9:53.0,,,27-44,,J. Jerebko misses 2-pt shot from 4 ft
9:51.0,,,27-44,,Offensive rebound by R. O'Neale
9:46.0,,,27-44,,Turnover by R. O'Neale (lost ball; steal by A. Tolliver)
9:43.0,A. Tolliver makes 2-pt shot from 1 ft,2,29-44,,
9:43.0,,,29-44,,Utah full timeout
9:27.0,,,29-47,3,J. Jerebko makes 3-pt shot from 23 ft (assist by J. Ingles)
9:11.0,Offensive foul by J. Ennis (drawn by D. Favors),,29-47,,
9:11.0,Turnover by J. Ennis (offensive foul),,29-47,,
9:11.0,,,29-47,,R. Gobert enters the game for J. Jerebko
9:11.0,,,29-47,,R. Rubio enters the game for R. O'Neale
9:11.0,S. Johnson enters the game for J. Ennis,,29-47,,
9:04.0,,,29-47,,Turnover by R. Gobert (traveling)
8:53.0,L. Kennard makes 2-pt shot from 15 ft (assist by E. Moreland),2,31-47,,
8:28.0,,,31-47,,A. Burks misses 2-pt shot from 13 ft
8:26.0,,,31-47,,Offensive rebound by D. Favors
8:22.0,,,31-49,2,R. Gobert makes 2-pt shot at rim (assist by R. Rubio)
8:00.0,Turnover by L. Kennard (lost ball; steal by J. Ingles),,31-49,,
7:55.0,,,31-52,3,J. Ingles makes 3-pt shot from 25 ft
7:40.0,Detroit full timeout,,31-52,,
7:40.0,A. Drummond enters the game for E. Moreland,,31-52,,
7:40.0,B. Griffin enters the game for A. Tolliver,,31-52,,
7:33.0,B. Griffin makes 2-pt shot from 2 ft (assist by J. Nelson),2,33-52,,
7:14.0,Personal foul by A. Drummond (drawn by R. Rubio),,33-52,,
7:14.0,,,33-52,,D. Mitchell enters the game for J. Ingles
7:14.0,E. Moreland enters the game for A. Drummond,,33-52,,
7:00.0,,,33-52,,D. Mitchell misses 3-pt shot from 25 ft
6:59.0,,,33-52,,Offensive rebound by Team
6:59.0,,,33-52,,Turnover by Team (shot clock)
6:51.0,J. Nelson misses 3-pt shot from 25 ft,,33-52,,
6:49.0,,,33-52,,Defensive rebound by R. Gobert
6:37.0,,,33-54,2,R. Rubio makes 2-pt shot from 18 ft
6:28.0,L. Kennard misses 3-pt shot from 26 ft,,33-54,,
6:25.0,,,33-54,,Defensive rebound by R. Gobert
6:01.0,,,33-54,,R. Rubio misses 2-pt shot from 15 ft (block by E. Moreland)
5:59.0,Defensive rebound by L. Kennard,,33-54,,
5:59.0,,,33-54,,Personal foul by D. Mitchell (drawn by L. Kennard)
5:59.0,I. Smith enters the game for J. Nelson,,33-54,,
5:40.0,B. Griffin makes 3-pt shot from 24 ft,3,36-54,,
5:24.0,,,36-54,,Turnover by R. Rubio (bad pass; steal by S. Johnson)
5:20.0,Turnover by S. Johnson (lost ball; steal by D. Mitchell),,36-54,,
5:16.0,,,36-56,2,A. Burks makes 2-pt shot from 2 ft
5:04.0,I. Smith misses 2-pt shot from 20 ft,,36-56,,
5:00.0,,,36-56,,Defensive rebound by D. Mitchell
4:53.0,,,36-56,,Turnover by D. Mitchell (lost ball; steal by S. Johnson)
4:45.0,S. Johnson misses 2-pt shot from 3 ft,,36-56,,
4:42.0,Offensive rebound by E. Moreland,,36-56,,
4:41.0,L. Kennard makes 3-pt shot from 24 ft (assist by E. Moreland),3,39-56,,
4:32.0,,,39-56,,Utah full timeout
4:32.0,,,39-56,,J. Ingles enters the game for A. Burks
4:32.0,,,39-56,,J. Crowder enters the game for D. Favors
4:25.0,,,39-56,,Turnover by D. Mitchell (bad pass)
4:12.0,I. Smith misses 2-pt shot from 6 ft,,39-56,,
4:10.0,,,39-56,,Defensive rebound by R. Rubio
4:01.0,,,39-58,2,R. Gobert makes 2-pt shot at rim (assist by J. Ingles)
4:01.0,,,39-58,,Shooting foul by E. Moreland (drawn by R. Gobert)
4:01.0,,,39-59,1,R. Gobert makes free throw 1 of 1
3:45.0,B. Griffin misses 3-pt shot from 24 ft,,39-59,,
3:42.0,,,39-59,,Defensive rebound by J. Ingles
3:35.0,,,39-62,3,J. Ingles makes 3-pt shot from 27 ft (assist by R. Rubio)
3:22.0,E. Moreland misses 2-pt shot from 9 ft,,39-62,,
3:17.0,Offensive rebound by L. Kennard,,39-62,,
3:12.0,Offensive foul by B. Griffin (drawn by R. Rubio),,39-62,,
3:12.0,Turnover by B. Griffin (offensive foul),,39-62,,
2:57.0,,,39-64,2,R. Gobert makes 2-pt shot from 2 ft (assist by D. Mitchell)
2:38.0,Turnover by I. Smith (lost ball; steal by J. Crowder),,39-64,,
2:27.0,,,39-64,,J. Crowder misses 3-pt shot from 26 ft
2:24.0,,,39-64,,Offensive rebound by R. Gobert
2:17.0,,,39-64,,J. Ingles misses 3-pt shot from 26 ft
2:14.0,Defensive rebound by B. Griffin,,39-64,,
2:13.0,,,39-64,,Personal foul by R. Rubio (drawn by B. Griffin)
2:09.0,I. Smith misses 2-pt shot from 19 ft,,39-64,,
2:06.0,,,39-64,,Defensive rebound by R. Gobert
1:51.0,,,39-64,,J. Crowder misses 3-pt shot from 24 ft
1:48.0,Defensive rebound by E. Moreland,,39-64,,
1:39.0,Turnover by B. Griffin (bad pass; steal by D. Mitchell),,39-64,,
1:35.0,,,39-64,,Shooting foul by I. Smith (drawn by R. Gobert)
1:35.0,,,39-64,,R. Gobert misses free throw 1 of 2
1:35.0,,,39-64,,Offensive rebound by Team
1:35.0,J. Nelson enters the game for I. Smith,,39-64,,
1:35.0,,,39-64,,R. Gobert misses free throw 2 of 2
1:32.0,Defensive rebound by E. Moreland,,39-64,,
1:22.0,J. Nelson misses 2-pt shot from 4 ft (block by R. Gobert),,39-64,,
1:19.0,,,39-64,,Defensive rebound by J. Crowder
1:09.0,,,39-64,,R. Rubio misses 2-pt shot from 1 ft
1:07.0,,,39-64,,Offensive rebound by R. Gobert
1:07.0,,,39-64,,R. Gobert misses 2-pt shot at rim
1:06.0,,,39-64,,Offensive rebound by R. Gobert
1:06.0,,,39-64,,Turnover by R. Gobert (bad pass; steal by S. Johnson)
1:03.0,,,39-64,,Personal foul by J. Ingles (drawn by S. Johnson)
0:57.0,B. Griffin misses 2-pt shot from 20 ft,,39-64,,
0:54.0,,,39-64,,Defensive rebound by J. Ingles
0:39.0,,,39-64,,R. Gobert misses 2-pt shot from 4 ft (block by E. Moreland)
0:35.0,,,39-64,,Offensive rebound by D. Mitchell
0:34.0,,,39-64,,D. Mitchell misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by J. Nelson,,39-64,,
0:26.0,S. Johnson misses 2-pt shot from 7 ft,,39-64,,
0:24.0,,,39-64,,Defensive rebound by D. Mitchell
0:03.0,,,39-64,,Turnover by D. Mitchell (lost ball; steal by J. Nelson)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,L. Kennard misses 3-pt shot from 25 ft,,39-64,,
11:42.0,,,39-64,,Defensive rebound by J. Ingles
11:26.0,,,39-64,,Shooting foul by J. Ennis (drawn by D. Mitchell)
11:26.0,,,39-64,,D. Mitchell misses free throw 1 of 2
11:26.0,,,39-64,,Offensive rebound by Team
11:26.0,,,39-65,1,D. Mitchell makes free throw 2 of 2
11:13.0,B. Griffin misses 3-pt shot from 25 ft,,39-65,,
11:09.0,,,39-65,,Defensive rebound by D. Mitchell
11:00.0,,,39-65,,D. Favors misses 2-pt shot from 18 ft
10:57.0,Defensive rebound by I. Smith,,39-65,,
10:52.0,I. Smith makes 2-pt shot from 1 ft,2,41-65,,
10:34.0,,,41-67,2,R. Gobert makes 2-pt shot from 2 ft (assist by J. Ingles)
10:16.0,,,41-67,,Personal foul by J. Ingles (drawn by J. Ennis)
10:16.0,S. Johnson enters the game for J. Ennis,,41-67,,
10:05.0,Turnover by S. Johnson (bad pass; steal by R. Rubio),,41-67,,
9:58.0,,,41-67,,Turnover by R. Rubio (lost ball; steal by I. Smith)
9:53.0,I. Smith makes 2-pt shot from 2 ft,2,43-67,,
9:37.0,,,43-70,3,J. Ingles makes 3-pt shot from 24 ft (assist by R. Rubio)
9:26.0,Turnover by B. Griffin (bad pass),,43-70,,
9:04.0,,,43-70,,R. Rubio misses 3-pt shot from 23 ft
9:01.0,Defensive rebound by I. Smith,,43-70,,
8:58.0,I. Smith makes 2-pt shot from 1 ft,2,45-70,,
8:57.0,,,45-70,,Utah full timeout
8:35.0,,,45-70,,D. Favors misses 2-pt shot from 10 ft
8:32.0,Defensive rebound by A. Drummond,,45-70,,
8:25.0,I. Smith makes 2-pt shot from 17 ft (assist by L. Kennard),2,47-70,,
8:12.0,,,47-72,2,D. Mitchell makes 2-pt shot from 1 ft
7:52.0,L. Kennard misses 2-pt shot from 5 ft (block by D. Favors),,47-72,,
7:50.0,,,47-72,,Defensive rebound by D. Mitchell
7:33.0,,,47-72,,Turnover by D. Favors (lost ball; steal by S. Johnson)
7:24.0,Turnover by S. Johnson (traveling),,47-72,,
7:11.0,,,47-74,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
7:09.0,Detroit full timeout,,47-74,,
7:09.0,,,47-74,,J. Crowder enters the game for D. Favors
6:57.0,Shooting foul by R. Gobert (drawn by A. Drummond),,47-74,,
6:57.0,A. Drummond misses free throw 1 of 2,,47-74,,
6:57.0,Offensive rebound by Team,,47-74,,
6:57.0,A. Drummond makes free throw 2 of 2,1,48-74,,
6:37.0,,,48-76,2,R. Gobert makes 2-pt shot from 1 ft (assist by R. Rubio)
6:17.0,A. Drummond misses 2-pt shot from 10 ft,,48-76,,
6:15.0,Offensive rebound by A. Drummond,,48-76,,
6:15.0,Shooting foul by R. Rubio (drawn by A. Drummond),,48-76,,
6:15.0,A. Drummond makes free throw 1 of 2,1,49-76,,
6:15.0,A. Drummond misses free throw 2 of 2,,49-76,,
6:13.0,,,49-76,,Defensive rebound by R. Gobert
6:06.0,,,49-76,,Offensive foul by R. Gobert (drawn by I. Smith)
6:06.0,,,49-76,,Turnover by R. Gobert (offensive foul)
5:53.0,Shooting foul by R. Rubio (drawn by I. Smith),,49-76,,
5:53.0,I. Smith makes free throw 1 of 2,1,50-76,,
5:53.0,I. Smith misses free throw 2 of 2,,50-76,,
5:50.0,,,50-76,,Defensive rebound by J. Crowder
5:34.0,,,50-76,,R. Rubio misses 2-pt shot from 14 ft (block by I. Smith)
5:30.0,,,50-76,,Offensive rebound by R. Gobert
5:28.0,,,50-76,,R. Gobert misses 2-pt shot from 12 ft
5:28.0,Defensive rebound by Team,,50-76,,
5:20.0,Turnover by I. Smith (traveling),,50-76,,
5:20.0,,,50-76,,J. Jerebko enters the game for J. Ingles
5:05.0,,,50-76,,D. Mitchell misses 3-pt shot from 26 ft
5:01.0,Defensive rebound by A. Drummond,,50-76,,
4:52.0,,,50-76,,Personal foul by J. Jerebko (drawn by A. Drummond)
4:52.0,A. Drummond makes free throw 1 of 2,1,51-76,,
4:52.0,L. Galloway enters the game for L. Kennard,,51-76,,
4:52.0,A. Drummond misses free throw 2 of 2,,51-76,,
4:50.0,,,51-76,,Defensive rebound by J. Crowder
4:36.0,,,51-76,,Shooting foul by S. Johnson (drawn by R. Gobert)
4:36.0,,,51-77,1,R. Gobert makes free throw 1 of 2
4:36.0,,,51-77,,R. Gobert misses free throw 2 of 2
4:33.0,Defensive rebound by A. Drummond,,51-77,,
4:15.0,I. Smith misses 2-pt shot from 21 ft,,51-77,,
4:13.0,,,51-77,,Defensive rebound by J. Jerebko
4:10.0,,,51-77,,Shooting foul by I. Smith (drawn by D. Mitchell)
4:10.0,,,51-77,,D. Mitchell misses free throw 1 of 2
4:10.0,,,51-77,,Offensive rebound by Team
4:10.0,J. Nelson enters the game for I. Smith,,51-77,,
4:10.0,,,51-78,1,D. Mitchell makes free throw 2 of 2
3:59.0,L. Galloway misses 3-pt shot from 26 ft,,51-78,,
3:58.0,Offensive rebound by A. Drummond,,51-78,,
3:57.0,A. Drummond misses 2-pt shot from 2 ft,,51-78,,
3:57.0,,,51-78,,Defensive rebound by R. Gobert
3:41.0,Personal foul by S. Johnson (drawn by J. Jerebko),,51-78,,
3:41.0,,,51-78,,R. O'Neale enters the game for R. Rubio
3:26.0,,,51-81,3,D. Mitchell makes 3-pt shot from 37 ft (assist by R. Gobert)
3:11.0,,,51-81,,Personal foul by J. Jerebko (drawn by B. Griffin)
3:11.0,B. Griffin makes free throw 1 of 2,1,52-81,,
3:11.0,B. Griffin makes free throw 2 of 2,1,53-81,,
2:56.0,,,53-81,,Turnover by D. Mitchell (out of bounds lost ball)
2:56.0,E. Moreland enters the game for A. Drummond,,53-81,,
2:41.0,L. Galloway makes 3-pt shot from 25 ft (assist by J. Nelson),3,56-81,,
2:20.0,,,56-84,3,J. Crowder makes 3-pt shot from 25 ft (assist by R. O'Neale)
1:59.0,B. Griffin misses 2-pt shot from 7 ft (block by R. Gobert),,56-84,,
1:57.0,,,56-84,,Defensive rebound by R. Gobert
1:55.0,,,56-84,,D. Favors enters the game for R. Gobert
1:50.0,,,56-84,,J. Jerebko misses 3-pt shot from 26 ft
1:47.0,Defensive rebound by E. Moreland,,56-84,,
1:33.0,S. Johnson makes 3-pt shot from 22 ft (assist by B. Griffin),3,59-84,,
1:08.0,,,59-84,,J. Crowder misses 3-pt shot from 26 ft
1:04.0,Defensive rebound by S. Johnson,,59-84,,
0:59.0,S. Johnson misses 2-pt shot from 12 ft,,59-84,,
0:57.0,,,59-84,,Defensive rebound by J. Jerebko
0:39.0,,,59-84,,D. Mitchell misses 2-pt shot from 5 ft
0:37.0,,,59-84,,Offensive rebound by J. Jerebko
0:36.0,,,59-86,2,J. Jerebko makes 2-pt shot from 1 ft
0:29.0,J. Nelson misses 2-pt shot from 17 ft,,59-86,,
0:27.0,,,59-86,,Defensive rebound by D. Mitchell
0:13.0,,,59-86,,D. Mitchell misses 3-pt shot from 27 ft
0:09.0,Defensive rebound by B. Griffin,,59-86,,
0:00.0,B. Griffin misses 2-pt shot from 8 ft,,59-86,,
0:00.0,,,59-86,,Defensive rebound by D. Mitchell
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,59-86,,Turnover by D. Favors (turnover)
11:31.0,,,59-86,,Personal foul by J. Ingles (drawn by L. Kennard)
11:13.0,L. Kennard makes 2-pt shot from 15 ft (assist by L. Galloway),2,61-86,,
11:00.0,,,61-86,,Shooting foul by L. Galloway (drawn by A. Burks)
11:00.0,,,61-87,1,A. Burks makes free throw 1 of 2
11:00.0,,,61-88,1,A. Burks makes free throw 2 of 2
10:47.0,A. Tolliver misses 3-pt shot from 23 ft,,61-88,,
10:44.0,,,61-88,,Defensive rebound by A. Burks
10:29.0,,,61-88,,Shooting foul by A. Tolliver (drawn by D. Favors)
10:29.0,,,61-88,,D. Favors misses free throw 1 of 2
10:29.0,,,61-88,,Offensive rebound by Team
10:29.0,,,61-88,,D. Favors misses free throw 2 of 2
10:26.0,Defensive rebound by E. Moreland,,61-88,,
10:09.0,L. Galloway misses 2-pt shot from 19 ft,,61-88,,
10:07.0,,,61-88,,Defensive rebound by J. Ingles
10:00.0,,,61-90,2,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles)
10:00.0,,,61-90,,Shooting foul by L. Kennard (drawn by D. Favors)
10:00.0,A. Drummond enters the game for E. Moreland,,61-90,,
10:00.0,,,61-91,1,D. Favors makes free throw 1 of 1
9:48.0,L. Galloway misses 3-pt shot from 25 ft,,61-91,,
9:46.0,,,61-91,,Defensive rebound by R. O'Neale
9:34.0,,,61-93,2,D. Favors makes 2-pt shot from 2 ft (assist by J. Crowder)
9:19.0,A. Tolliver misses 3-pt shot from 23 ft,,61-93,,
9:15.0,,,61-93,,Defensive rebound by J. Ingles
9:13.0,Personal foul by A. Tolliver (drawn by J. Crowder),,61-93,,
9:05.0,,,61-93,,Turnover by J. Ingles (bad pass; steal by A. Drummond)
9:02.0,A. Tolliver makes 2-pt shot from 1 ft (assist by J. Nelson),2,63-93,,
8:40.0,,,63-93,,R. O'Neale misses 3-pt shot from 22 ft
8:37.0,Defensive rebound by L. Kennard,,63-93,,
8:32.0,L. Kennard misses 3-pt shot from 27 ft,,63-93,,
8:29.0,,,63-93,,Defensive rebound by J. Crowder
8:22.0,,,63-93,,Turnover by A. Burks (out of bounds lost ball)
8:22.0,,,63-93,,R. Rubio enters the game for J. Ingles
8:22.0,,,63-93,,R. Gobert enters the game for D. Favors
8:10.0,A. Drummond misses 2-pt shot from 2 ft,,63-93,,
8:09.0,,,63-93,,Defensive rebound by R. Gobert
8:07.0,,,63-93,,Offensive charge foul by R. O'Neale (drawn by A. Tolliver)
8:07.0,,,63-93,,Turnover by R. O'Neale (offensive foul)
8:07.0,,,63-93,,D. Mitchell enters the game for A. Burks
7:57.0,Turnover by A. Tolliver (bad pass; steal by J. Crowder),,63-93,,
7:51.0,,,63-95,2,J. Crowder makes 2-pt shot from 10 ft (assist by R. Rubio)
7:51.0,Shooting block foul by L. Kennard (drawn by J. Crowder),,63-95,,
7:51.0,,,63-96,1,J. Crowder makes free throw 1 of 1
7:42.0,,,63-96,,Personal foul by D. Mitchell (drawn by L. Galloway)
7:32.0,L. Galloway makes 2-pt shot from 6 ft (assist by A. Drummond),2,65-96,,
7:12.0,,,65-96,,Shooting foul by J. Nelson (drawn by R. Gobert)
7:12.0,,,65-97,1,R. Gobert makes free throw 1 of 2
7:12.0,,,65-98,1,R. Gobert makes free throw 2 of 2
7:03.0,L. Galloway misses 3-pt shot from 24 ft,,65-98,,
7:00.0,,,65-98,,Defensive rebound by R. Rubio
6:51.0,,,65-101,3,D. Mitchell makes 3-pt shot from 27 ft (assist by R. Rubio)
6:29.0,Turnover by L. Kennard (lost ball; steal by R. O'Neale),,65-101,,
6:23.0,,,65-101,,R. O'Neale misses 3-pt shot from 23 ft
6:20.0,,,65-101,,Offensive rebound by R. Gobert
6:20.0,,,65-101,,Shooting foul by A. Drummond (drawn by R. Gobert)
6:20.0,,,65-101,,Utah full timeout
6:20.0,,,65-101,,A. Burks enters the game for J. Crowder
6:20.0,,,65-101,,J. Jerebko enters the game for D. Mitchell
6:20.0,H. Ellenson enters the game for A. Tolliver,,65-101,,
6:20.0,,,65-101,,R. Gobert misses free throw 1 of 2
6:20.0,,,65-101,,Offensive rebound by Team
6:20.0,,,65-101,,R. Gobert misses free throw 2 of 2
6:17.0,Defensive rebound by A. Drummond,,65-101,,
6:16.0,,,65-101,,Personal foul by R. Rubio (drawn by J. Nelson)
6:16.0,,,65-101,,E. Udoh enters the game for R. Gobert
6:02.0,J. Nelson misses 2-pt shot from 18 ft,,65-101,,
6:00.0,,,65-101,,Defensive rebound by J. Jerebko
5:40.0,,,65-101,,R. Rubio misses 3-pt shot from 25 ft
5:37.0,,,65-101,,Offensive rebound by J. Jerebko
5:37.0,,,65-103,2,J. Jerebko makes 2-pt shot from 2 ft
5:37.0,,,65-103,,Shooting foul by A. Drummond (drawn by J. Jerebko)
5:37.0,,,65-103,,G. Niang enters the game for R. Rubio
5:37.0,E. Moreland enters the game for A. Drummond,,65-103,,
5:37.0,,,65-104,1,J. Jerebko makes free throw 1 of 1
5:16.0,,,65-104,,Personal foul by R. O'Neale (drawn by H. Ellenson)
5:08.0,H. Ellenson misses 2-pt shot from 3 ft (block by R. O'Neale),,65-104,,
5:08.0,Offensive rebound by Team,,65-104,,
5:03.0,Turnover by H. Ellenson (bad pass; steal by A. Burks),,65-104,,
4:56.0,,,65-104,,G. Niang misses 3-pt shot from 24 ft
4:50.0,Defensive rebound by E. Moreland,,65-104,,
4:38.0,H. Ellenson misses 2-pt shot from 9 ft,,65-104,,
4:37.0,Offensive rebound by Team,,65-104,,
4:33.0,H. Ellenson misses 3-pt shot from 25 ft,,65-104,,
4:29.0,,,65-104,,Defensive rebound by R. O'Neale
4:18.0,,,65-104,,Turnover by G. Niang (bad pass; steal by L. Galloway)
