time,San Antonio,pts.away,score,pts.home,Chicago
10:21.0,,,44-43,,Defensive rebound by R. Lopez
10:12.0,,,44-45,2,R. Lopez makes 2-pt shot from 17 ft (assist by J. Grant)
9:54.0,D. Murray makes 2-pt shot from 9 ft,2,46-45,,
9:43.0,,,46-47,2,J. Grant makes 2-pt shot from 4 ft
9:29.0,L. Aldridge misses 2-pt shot from 17 ft,,46-47,,
9:29.0,,,46-47,,Defensive rebound by L. Markkanen
9:20.0,,,46-47,,R. Lopez misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by P. Gasol,,46-47,,
9:07.0,L. Aldridge misses 2-pt shot from 7 ft,,46-47,,
9:07.0,Offensive rebound by K. Anderson,,46-47,,
9:01.0,K. Anderson misses 2-pt shot from 3 ft,,46-47,,
9:01.0,Offensive rebound by L. Aldridge,,46-47,,
8:57.0,L. Aldridge makes 2-pt shot at rim,2,48-47,,
8:49.0,,,48-47,,J. Holiday misses 3-pt shot from 25 ft
8:49.0,Defensive rebound by D. Murray,,48-47,,
8:36.0,L. Aldridge makes 2-pt shot from 2 ft (assist by P. Gasol),2,50-47,,
8:20.0,,,50-49,2,R. Lopez makes 2-pt shot from 15 ft (assist by J. Holiday)
8:10.0,Turnover by D. Murray (step out of bounds),,50-49,,
8:04.0,,,50-49,,Turnover by R. Lopez (lost ball; steal by D. Murray)
7:59.0,L. Aldridge misses 2-pt shot from 4 ft,,50-49,,
7:55.0,Offensive rebound by D. Murray,,50-49,,
7:52.0,R. Gay enters the game for P. Gasol,,50-49,,
7:50.0,D. Green misses 2-pt shot from 14 ft,,50-49,,
7:45.0,,,50-49,,Defensive rebound by R. Lopez
7:38.0,,,50-49,,Turnover by R. Lopez (bad pass)
7:21.0,D. Murray misses 2-pt shot from 13 ft,,50-49,,
7:21.0,Offensive rebound by L. Aldridge,,50-49,,
7:14.0,L. Aldridge makes 2-pt shot at rim,2,52-49,,
7:04.0,,,52-49,,J. Holiday misses 2-pt shot from 3 ft (block by L. Aldridge)
7:04.0,,,52-49,,Offensive rebound by J. Holiday
7:04.0,,,52-49,,Turnover by J. Holiday (step out of bounds)
6:46.0,L. Aldridge misses 2-pt shot from 9 ft,,52-49,,
6:44.0,Offensive rebound by D. Murray,,52-49,,
6:44.0,D. Murray misses 2-pt shot from 3 ft (block by J. Grant),,52-49,,
6:44.0,Offensive rebound by Team,,52-49,,
6:44.0,,,52-49,,Chicago full timeout
6:44.0,,,52-49,,D. Valentine enters the game for P. Zipser
6:33.0,L. Aldridge makes 2-pt shot from 18 ft (assist by D. Murray),2,54-49,,
6:06.0,,,54-49,,J. Holiday misses 2-pt shot from 20 ft
6:03.0,Defensive rebound by K. Anderson,,54-49,,
5:55.0,D. Green makes 3-pt shot from 25 ft (assist by L. Aldridge),3,57-49,,
5:30.0,,,57-51,2,J. Grant makes 2-pt shot from 14 ft
5:14.0,L. Aldridge makes 2-pt shot from 13 ft (assist by D. Murray),2,59-51,,
4:53.0,,,59-51,,D. Valentine misses 2-pt shot from 19 ft
4:53.0,Defensive rebound by D. Green,,59-51,,
4:40.0,L. Aldridge misses 2-pt shot from 16 ft,,59-51,,
4:37.0,,,59-51,,Defensive rebound by L. Markkanen
4:29.0,,,59-51,,L. Markkanen misses 3-pt shot from 25 ft
4:26.0,Defensive rebound by D. Murray,,59-51,,
4:17.0,Shooting foul by L. Markkanen (drawn by R. Gay),,59-51,,
4:17.0,R. Gay misses free throw 1 of 2,,59-51,,
4:17.0,Offensive rebound by Team,,59-51,,
4:17.0,,,59-51,,P. Zipser enters the game for J. Grant
4:17.0,,,59-51,,C. Felicio enters the game for L. Markkanen
4:17.0,,,59-51,,K. Felder enters the game for R. Lopez
4:17.0,M. Ginobili enters the game for K. Anderson,,59-51,,
4:17.0,P. Mills enters the game for D. Murray,,59-51,,
4:17.0,R. Gay misses free throw 2 of 2,,59-51,,
4:14.0,,,59-51,,Defensive rebound by D. Valentine
4:02.0,,,59-51,,P. Zipser misses 3-pt shot from 24 ft
3:57.0,,,59-51,,Offensive rebound by C. Felicio
