time,Cleveland,pts.away,score,pts.home,Sacramento
10:22.0,K. Korver misses 3-pt shot from 25 ft,,29-35,,
10:22.0,,,29-35,,Defensive rebound by W. Cauley-Stein
10:12.0,,,29-35,,W. Cauley-Stein misses 2-pt shot from 2 ft
10:12.0,Defensive rebound by K. Korver,,29-35,,
10:02.0,D. Wade misses 2-pt shot from 23 ft,,29-35,,
10:02.0,,,29-35,,Defensive rebound by B. Bogdanovic
9:53.0,,,29-35,,B. Hield misses 2-pt shot from 6 ft
9:53.0,Defensive rebound by D. Wade,,29-35,,
9:48.0,Shooting foul by J. Jackson (drawn by D. Wade),,29-35,,
9:48.0,D. Wade makes free throw 1 of 2,1,30-35,,
9:48.0,D. Wade makes free throw 2 of 2,1,31-35,,
9:31.0,,,31-38,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by B. Hield)
9:11.0,C. Frye makes 3-pt shot from 25 ft (assist by K. Korver),3,34-38,,
8:43.0,,,34-38,,B. Hield misses 3-pt shot from 24 ft
8:39.0,Defensive rebound by C. Frye,,34-38,,
8:31.0,J. Green misses 2-pt shot from 2 ft (block by V. Carter),,34-38,,
8:29.0,Offensive rebound by J. Crowder,,34-38,,
8:29.0,J. Crowder makes 2-pt shot from 2 ft,2,36-38,,
8:29.0,,,36-38,,Violation by V. Carter (def goaltending)
8:13.0,,,36-38,,Turnover by B. Bogdanovic (bad pass; steal by D. Wade)
8:07.0,J. Green makes 2-pt shot from 1 ft (assist by D. Wade),2,38-38,,
7:59.0,,,38-38,,Sacramento full timeout
7:59.0,,,38-38,,G. Hill enters the game for B. Bogdanovic
7:53.0,Personal foul by J. Green (drawn by G. Hill),,38-38,,
7:44.0,,,38-41,3,J. Jackson makes 3-pt shot from 24 ft (assist by W. Cauley-Stein)
7:23.0,C. Frye misses 3-pt shot from 24 ft,,38-41,,
7:20.0,,,38-41,,Defensive rebound by V. Carter
7:13.0,,,38-43,2,V. Carter makes 2-pt shot from 1 ft
7:02.0,J. Green misses 3-pt shot from 22 ft,,38-43,,
6:59.0,,,38-43,,Defensive rebound by B. Hield
6:51.0,,,38-45,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by B. Hield)
6:50.0,Cleveland full timeout,,38-45,,
6:50.0,L. James enters the game for D. Wade,,38-45,,
6:42.0,,,38-45,,Personal foul by J. Jackson (drawn by J. Green)
6:32.0,J. Green makes 2-pt shot from 1 ft (assist by L. James),2,40-45,,
6:15.0,,,40-45,,Turnover by G. Hill (bad pass; steal by L. James)
6:11.0,J. Crowder makes 2-pt shot from 1 ft (assist by L. James),2,42-45,,
5:49.0,,,42-47,2,V. Carter makes 2-pt shot from 1 ft
5:37.0,J. Crowder misses 2-pt shot from 22 ft,,42-47,,
5:34.0,,,42-47,,Defensive rebound by J. Jackson
5:23.0,,,42-49,2,G. Hill makes 2-pt shot from 17 ft (assist by W. Cauley-Stein)
5:05.0,K. Korver makes 3-pt shot from 25 ft (assist by L. James),3,45-49,,
4:48.0,,,45-52,3,B. Hield makes 3-pt shot from 23 ft (assist by J. Jackson)
4:38.0,K. Korver misses 3-pt shot from 25 ft,,45-52,,
4:35.0,,,45-52,,Defensive rebound by J. Jackson
4:32.0,,,45-52,,Shooting foul by J. Green (drawn by G. Hill)
4:32.0,,,45-53,1,G. Hill makes free throw 1 of 2
4:32.0,,,45-53,,G. Temple enters the game for J. Jackson
4:32.0,J. Smith enters the game for C. Frye,,45-53,,
4:32.0,K. Love enters the game for J. Crowder,,45-53,,
4:32.0,,,45-54,1,G. Hill makes free throw 2 of 2
4:22.0,Turnover by J. Green (bad pass; steal by V. Carter),,45-54,,
4:16.0,,,45-57,3,B. Hield makes 3-pt shot from 25 ft (assist by W. Cauley-Stein)
3:55.0,Shooting foul by W. Cauley-Stein (drawn by L. James),,45-57,,
3:55.0,L. James makes free throw 1 of 2,1,46-57,,
3:55.0,L. James makes free throw 2 of 2,1,47-57,,
3:35.0,,,47-60,3,V. Carter makes 3-pt shot from 27 ft (assist by B. Hield)
3:16.0,K. Love makes 2-pt shot from 21 ft (assist by L. James),2,49-60,,
2:58.0,Personal foul by K. Love (drawn by G. Hill),,49-60,,
2:58.0,J. Calderon enters the game for K. Korver,,49-60,,
2:50.0,,,49-60,,Turnover by G. Temple (bad pass; steal by J. Smith)
2:40.0,J. Green makes 2-pt shot from 1 ft (assist by L. James),2,51-60,,
2:24.0,,,51-60,,G. Temple misses 3-pt shot from 25 ft
2:21.0,Defensive rebound by J. Smith,,51-60,,
2:12.0,Turnover by K. Love (bad pass; steal by B. Hield),,51-60,,
2:08.0,,,51-60,,G. Temple misses 2-pt shot at rim
2:03.0,,,51-60,,Offensive rebound by W. Cauley-Stein
2:03.0,,,51-60,,W. Cauley-Stein misses 2-pt shot at rim
2:02.0,,,51-60,,Offensive rebound by G. Hill
1:58.0,,,51-60,,Sacramento full timeout
1:44.0,,,51-60,,W. Cauley-Stein misses 2-pt shot from 12 ft
1:41.0,Defensive rebound by L. James,,51-60,,
1:33.0,L. James makes 2-pt shot from 2 ft,2,53-60,,
1:07.0,,,53-62,2,G. Hill makes 2-pt shot from 17 ft
0:50.0,J. Calderon misses 3-pt shot from 24 ft,,53-62,,
0:47.0,,,53-62,,Defensive rebound by W. Cauley-Stein
0:41.0,,,53-62,,G. Hill misses 3-pt shot from 25 ft
0:37.0,Defensive rebound by L. James,,53-62,,
0:31.0,Shooting foul by W. Cauley-Stein (drawn by K. Love),,53-62,,
0:31.0,K. Love makes free throw 1 of 2,1,54-62,,
0:31.0,,,54-62,,B. Bogdanovic enters the game for B. Hield
0:31.0,J. Crowder enters the game for J. Green,,54-62,,
0:31.0,K. Love makes free throw 2 of 2,1,55-62,,
0:14.0,,,55-62,,V. Carter misses 2-pt shot from 8 ft
0:11.0,Defensive rebound by L. James,,55-62,,
0:01.0,K. Love misses 3-pt shot from 22 ft,,55-62,,
0:01.0,Offensive rebound by Team,,55-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,55-62,,M. Richardson misses 2-pt shot from 21 ft
11:42.0,,,55-62,,Offensive rebound by Z. Randolph
11:42.0,Personal foul by K. Love (drawn by Z. Randolph),,55-62,,
11:29.0,,,55-64,2,F. Mason makes 2-pt shot from 2 ft
11:14.0,J. Smith makes 3-pt shot from 22 ft (assist by L. James),3,58-64,,
10:57.0,,,58-64,,Shooting foul by K. Love (drawn by Z. Randolph)
10:57.0,,,58-65,1,Z. Randolph makes free throw 1 of 2
10:57.0,,,58-66,1,Z. Randolph makes free throw 2 of 2
10:43.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,61-66,,
10:27.0,,,61-66,,Z. Randolph misses 2-pt shot from 20 ft
10:23.0,Defensive rebound by J. Crowder,,61-66,,
10:19.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,64-66,,
9:57.0,,,64-66,,Z. Randolph misses 2-pt shot from 5 ft
9:54.0,Defensive rebound by L. James,,64-66,,
9:49.0,K. Love misses 3-pt shot from 24 ft,,64-66,,
9:45.0,,,64-66,,Defensive rebound by F. Mason
9:34.0,,,64-66,,M. Richardson misses 3-pt shot from 26 ft
9:34.0,Defensive rebound by J. Smith,,64-66,,
9:29.0,J. Crowder misses 2-pt shot from 22 ft,,64-66,,
9:26.0,,,64-66,,Defensive rebound by M. Richardson
9:03.0,,,64-66,,G. Temple misses 2-pt shot from 10 ft
9:03.0,Defensive rebound by L. James,,64-66,,
8:57.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,67-66,,
8:56.0,,,67-66,,Sacramento full timeout
8:32.0,,,67-66,,G. Temple misses 3-pt shot from 22 ft
8:30.0,,,67-66,,Offensive rebound by Z. Randolph
8:28.0,,,67-66,,Turnover by M. Richardson (out of bounds lost ball)
8:10.0,K. Love misses 3-pt shot from 24 ft,,67-66,,
8:06.0,,,67-66,,Defensive rebound by G. Temple
7:56.0,,,67-66,,Turnover by F. Mason (bad pass; steal by L. James)
7:53.0,J. Crowder misses 2-pt shot from 1 ft (block by G. Temple),,67-66,,
7:50.0,,,67-66,,Defensive rebound by G. Hill
7:46.0,,,67-68,2,F. Mason makes 2-pt shot from 16 ft (assist by M. Richardson)
7:37.0,,,67-68,,Personal foul by G. Temple (drawn by J. Calderon)
7:37.0,,,67-68,,B. Bogdanovic enters the game for F. Mason
7:32.0,L. James misses 2-pt shot from 22 ft,,67-68,,
7:32.0,,,67-68,,Defensive rebound by M. Richardson
7:12.0,,,67-68,,M. Richardson misses 3-pt shot from 25 ft
7:07.0,Defensive rebound by K. Love,,67-68,,
6:59.0,K. Love makes 2-pt shot from 1 ft (assist by L. James),2,69-68,,
6:43.0,,,69-68,,Z. Randolph misses 2-pt shot from 5 ft (block by K. Love)
6:43.0,Defensive rebound by J. Smith,,69-68,,
6:34.0,Turnover by J. Calderon (bad pass; steal by B. Bogdanovic),,69-68,,
6:22.0,,,69-68,,Turnover by B. Bogdanovic (bad pass; steal by L. James)
6:14.0,L. James makes 2-pt shot from 1 ft,2,71-68,,
5:52.0,,,71-68,,Z. Randolph misses 3-pt shot from 22 ft
5:49.0,Defensive rebound by L. James,,71-68,,
5:44.0,L. James misses 3-pt shot from 25 ft,,71-68,,
5:44.0,,,71-68,,Defensive rebound by Z. Randolph
5:30.0,,,71-68,,Z. Randolph misses 2-pt shot from 2 ft (block by K. Love)
5:29.0,,,71-68,,Offensive rebound by Z. Randolph
5:29.0,,,71-70,2,Z. Randolph makes 2-pt shot from 2 ft
5:29.0,,,71-70,,Shooting foul by K. Love (drawn by Z. Randolph)
5:29.0,,,71-70,,W. Cauley-Stein enters the game for M. Richardson
5:29.0,C. Frye enters the game for K. Love,,71-70,,
5:29.0,,,71-71,1,Z. Randolph makes free throw 1 of 1
5:08.0,Turnover by L. James (bad pass; steal by Z. Randolph),,71-71,,
4:58.0,,,71-71,,Z. Randolph misses 2-pt shot from 20 ft
4:54.0,Defensive rebound by J. Smith,,71-71,,
4:46.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,74-71,,
4:24.0,,,74-71,,Shooting foul by J. Calderon (drawn by Z. Randolph)
4:24.0,,,74-72,1,Z. Randolph makes free throw 1 of 2
4:24.0,,,74-73,1,Z. Randolph makes free throw 2 of 2
4:09.0,L. James misses 2-pt shot from 2 ft,,74-73,,
4:08.0,Offensive rebound by L. James,,74-73,,
4:07.0,L. James misses 2-pt shot at rim,,74-73,,
4:07.0,,,74-73,,Defensive rebound by W. Cauley-Stein
4:03.0,Personal foul by J. Smith (drawn by G. Hill),,74-73,,
4:03.0,,,74-74,1,G. Hill makes free throw 1 of 2
4:03.0,,,74-75,1,G. Hill makes free throw 2 of 2
3:51.0,,,74-75,,Violation by G. Temple (kicked ball)
3:38.0,C. Frye misses 2-pt shot from 22 ft,,74-75,,
3:33.0,,,74-75,,Defensive rebound by G. Hill
3:20.0,,,74-77,2,G. Hill makes 2-pt shot from 2 ft (assist by Z. Randolph)
3:06.0,Turnover by C. Frye (bad pass),,74-77,,
3:06.0,,,74-77,,V. Carter enters the game for Z. Randolph
2:49.0,,,74-79,2,V. Carter makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
2:48.0,Cleveland full timeout,,74-79,,
2:48.0,D. Wade enters the game for C. Frye,,74-79,,
2:48.0,T. Thompson enters the game for L. James,,74-79,,
2:48.0,J. Green enters the game for J. Calderon,,74-79,,
2:33.0,,,74-79,,Personal foul by V. Carter (drawn by J. Green)
2:25.0,J. Smith misses 2-pt shot from 7 ft,,74-79,,
2:19.0,Offensive rebound by T. Thompson,,74-79,,
2:19.0,T. Thompson makes 2-pt shot at rim,2,76-79,,
2:06.0,,,76-79,,Turnover by B. Bogdanovic (bad pass; steal by J. Crowder)
2:04.0,Shooting foul by G. Temple (drawn by J. Crowder),,76-79,,
2:04.0,J. Crowder makes free throw 1 of 2,1,77-79,,
2:04.0,,,77-79,,B. Hield enters the game for G. Temple
2:04.0,J. Crowder makes free throw 2 of 2,1,78-79,,
1:47.0,,,78-82,3,V. Carter makes 3-pt shot from 25 ft (assist by B. Hield)
1:31.0,J. Crowder misses 3-pt shot from 24 ft,,78-82,,
1:29.0,,,78-82,,Defensive rebound by B. Bogdanovic
1:18.0,,,78-82,,W. Cauley-Stein misses 2-pt shot from 7 ft
1:18.0,Defensive rebound by J. Green,,78-82,,
1:10.0,J. Green makes 2-pt shot from 3 ft,2,80-82,,
0:52.0,,,80-82,,B. Hield misses 3-pt shot from 25 ft
0:48.0,Defensive rebound by D. Wade,,80-82,,
0:34.0,Turnover by J. Green (bad pass; steal by B. Bogdanovic),,80-82,,
0:13.0,,,80-82,,G. Hill misses 3-pt shot from 25 ft
0:08.0,,,80-82,,Offensive rebound by B. Hield
0:01.0,Violation by J. Crowder (kicked ball),,80-82,,
0:00.0,,,80-85,3,V. Carter makes 3-pt shot from 22 ft (assist by B. Bogdanovic)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Turnover by L. James (bad pass; steal by B. Bogdanovic),,80-85,,
11:29.0,,,80-85,,Turnover by B. Bogdanovic (bad pass; steal by L. James)
11:29.0,,,80-85,,Personal foul by W. Cauley-Stein (drawn by L. James)
11:14.0,L. James misses 3-pt shot from 24 ft,,80-85,,
11:11.0,,,80-85,,Defensive rebound by B. Bogdanovic
10:51.0,,,80-87,2,B. Bogdanovic makes 2-pt shot from 16 ft
10:34.0,Jump ball: G. Hill vs. D. Wade (B. Bogdanovic gains possession),,,,Jump ball: G. Hill vs. D. Wade (B. Bogdanovic gains possession)
10:34.0,Turnover by D. Wade (turnover; steal by G. Hill),,80-87,,
10:24.0,,,80-89,2,W. Cauley-Stein makes 2-pt shot from 8 ft (assist by B. Bogdanovic)
10:11.0,L. James misses 2-pt shot from 5 ft,,80-89,,
10:11.0,,,80-89,,Defensive rebound by V. Carter
10:06.0,,,80-89,,Turnover by V. Carter (bad pass)
10:06.0,K. Love enters the game for T. Thompson,,80-89,,
9:45.0,K. Korver misses 3-pt shot from 25 ft,,80-89,,
9:41.0,,,80-89,,Defensive rebound by V. Carter
9:26.0,,,80-89,,B. Bogdanovic misses 3-pt shot from 24 ft
9:25.0,,,80-89,,Offensive rebound by Team
9:24.0,Loose ball foul by L. James (drawn by G. Hill),,80-89,,
9:15.0,,,80-91,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by V. Carter)
8:59.0,Turnover by K. Korver (step out of bounds),,80-91,,
8:38.0,,,80-94,3,B. Bogdanovic makes 3-pt shot from 24 ft
8:37.0,Cleveland full timeout,,80-94,,
8:21.0,K. Korver makes 3-pt shot from 24 ft (assist by J. Green),3,83-94,,
7:56.0,,,83-96,2,W. Cauley-Stein makes 2-pt shot from 2 ft
7:41.0,Shooting foul by B. Bogdanovic (drawn by D. Wade),,83-96,,
7:41.0,D. Wade misses free throw 1 of 2,,83-96,,
7:41.0,Offensive rebound by Team,,83-96,,
7:41.0,D. Wade makes free throw 2 of 2,1,84-96,,
7:18.0,,,84-96,,B. Hield misses 2-pt shot from 16 ft
7:14.0,Defensive rebound by K. Love,,84-96,,
7:10.0,L. James misses 2-pt shot from 7 ft (block by G. Hill),,84-96,,
7:10.0,Offensive rebound by Team,,84-96,,
7:09.0,Jump ball: G. Hill vs. L. James,,,,Jump ball: G. Hill vs. L. James
7:09.0,,,84-96,,Personal foul by G. Hill (drawn by L. James)
6:57.0,K. Korver misses 3-pt shot from 26 ft,,84-96,,
6:53.0,,,84-96,,Defensive rebound by V. Carter
6:46.0,,,84-98,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by V. Carter)
6:25.0,K. Korver misses 3-pt shot from 24 ft,,84-98,,
6:22.0,,,84-98,,Defensive rebound by W. Cauley-Stein
6:02.0,,,84-98,,Turnover by G. Hill (bad pass; steal by L. James)
5:58.0,K. Korver makes 3-pt shot from 25 ft (assist by L. James),3,87-98,,
5:38.0,,,87-101,2,V. Carter makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
5:11.0,Turnover by Team (shot clock),,87-101,,
5:11.0,,,87-101,,Sacramento full timeout
5:11.0,J. Smith enters the game for D. Wade,,87-101,,
4:55.0,,,87-101,,V. Carter misses 3-pt shot from 22 ft
4:52.0,Defensive rebound by L. James,,87-101,,
4:47.0,L. James makes 2-pt shot from 2 ft,2,89-101,,
4:25.0,,,89-103,2,V. Carter makes 2-pt shot from 1 ft
4:11.0,,,89-103,,Personal foul by B. Hield (drawn by K. Love)
4:03.0,K. Love misses 3-pt shot from 23 ft,,89-103,,
4:00.0,,,89-103,,Defensive rebound by V. Carter
3:38.0,,,89-103,,Shooting foul by J. Smith (drawn by W. Cauley-Stein)
3:38.0,,,89-104,1,W. Cauley-Stein makes free throw 1 of 2
3:38.0,,,89-104,,G. Temple enters the game for B. Hield
3:38.0,J. Crowder enters the game for J. Green,,89-104,,
3:38.0,,,89-104,,W. Cauley-Stein misses free throw 2 of 2
3:35.0,Defensive rebound by L. James,,89-104,,
3:26.0,J. Smith makes 3-pt shot from 26 ft (assist by L. James),3,92-104,,
3:00.0,,,92-106,2,V. Carter makes 2-pt shot from 15 ft
2:45.0,L. James misses 2-pt shot from 2 ft,,92-106,,
2:42.0,,,92-106,,Defensive rebound by G. Temple
2:22.0,,,92-109,3,G. Temple makes 3-pt shot from 26 ft (assist by G. Hill)
2:20.0,Cleveland full timeout,,92-109,,
2:20.0,J. Calderon enters the game for K. Love,,92-109,,
2:20.0,C. Osman enters the game for J. Smith,,92-109,,
2:20.0,J. Green enters the game for L. James,,92-109,,
2:20.0,T. Thompson enters the game for K. Korver,,92-109,,
1:59.0,J. Green misses 3-pt shot from 24 ft,,92-109,,
1:56.0,,,92-109,,Defensive rebound by W. Cauley-Stein
1:43.0,,,92-109,,B. Bogdanovic misses 3-pt shot from 26 ft
1:38.0,Defensive rebound by J. Crowder,,92-109,,
1:18.0,J. Green misses 2-pt shot from 11 ft,,92-109,,
1:15.0,,,92-109,,Defensive rebound by G. Hill
0:55.0,,,92-109,,B. Bogdanovic misses 3-pt shot from 25 ft
0:51.0,Defensive rebound by C. Osman,,92-109,,
0:48.0,C. Osman makes 2-pt shot from 1 ft,2,94-109,,
0:26.0,,,94-109,,W. Cauley-Stein misses 2-pt shot from 17 ft
0:23.0,Defensive rebound by C. Osman,,94-109,,
0:20.0,,,94-109,,Personal foul by G. Hill (drawn by C. Osman)
0:20.0,C. Osman makes free throw 1 of 2,1,95-109,,
0:20.0,,,95-109,,B. Hield enters the game for V. Carter
0:20.0,C. Osman misses free throw 2 of 2,,95-109,,
0:18.0,,,95-109,,Defensive rebound by W. Cauley-Stein
