time,Brooklyn,pts.away,score,pts.home,New Orleans
6:58.0,,,11-15,3,A. Davis makes 3-pt shot from 24 ft (assist by D. Cousins)
6:58.0,Brooklyn full timeout,,11-15,,
6:34.0,R. Hollis-Jefferson makes 2-pt shot from 14 ft,2,13-15,,
6:05.0,,,13-18,3,E. Moore makes 3-pt shot from 25 ft (assist by R. Rondo)
5:44.0,D. Carroll misses 2-pt shot from 2 ft (block by A. Davis),,13-18,,
5:40.0,,,13-18,,Defensive rebound by R. Rondo
5:35.0,,,13-20,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo)
5:12.0,R. Hollis-Jefferson misses 2-pt shot from 5 ft,,13-20,,
5:12.0,Offensive rebound by R. Hollis-Jefferson,,13-20,,
5:04.0,A. Crabbe misses 2-pt shot from 9 ft,,13-20,,
5:04.0,,,13-20,,Defensive rebound by D. Cousins
5:00.0,J. Allen enters the game for D. Carroll,,13-20,,
5:00.0,J. Harris enters the game for T. Zeller,,13-20,,
5:00.0,N. Stauskas enters the game for A. Crabbe,,13-20,,
5:00.0,C. LeVert enters the game for S. Dinwiddie,,13-20,,
4:46.0,,,13-20,,J. Holiday misses 3-pt shot from 23 ft
4:43.0,Defensive rebound by C. LeVert,,13-20,,
4:37.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft,,13-20,,
4:35.0,,,13-20,,Defensive rebound by D. Cousins
4:29.0,,,13-22,2,J. Holiday makes 2-pt shot from 13 ft (assist by R. Rondo)
4:03.0,Turnover by Team (shot clock),,13-22,,
4:03.0,,,13-22,,D. Cunningham enters the game for R. Rondo
4:03.0,,,13-22,,D. Miller enters the game for A. Davis
4:03.0,Q. Acy enters the game for R. Hollis-Jefferson,,13-22,,
3:46.0,,,13-22,,D. Cousins misses 2-pt shot from 2 ft
3:43.0,Defensive rebound by J. Allen,,13-22,,
3:41.0,N. Stauskas misses 3-pt shot from 25 ft,,13-22,,
3:36.0,,,13-22,,Defensive rebound by D. Cousins
3:32.0,Shooting block foul by J. Allen (drawn by D. Cousins),,13-22,,
3:32.0,,,13-23,1,D. Cousins makes free throw 1 of 2
3:32.0,,,13-24,1,D. Cousins makes free throw 2 of 2
3:22.0,J. Harris misses 3-pt shot from 25 ft,,13-24,,
3:19.0,,,13-24,,Defensive rebound by D. Cunningham
3:06.0,,,13-24,,D. Cousins misses 2-pt shot from 8 ft
3:03.0,Defensive rebound by C. LeVert,,13-24,,
2:51.0,J. Allen misses 2-pt shot from 10 ft,,13-24,,
2:50.0,,,13-24,,Defensive rebound by D. Cunningham
2:43.0,,,13-26,2,D. Cunningham makes 2-pt shot at rim (assist by D. Cousins)
2:28.0,C. LeVert makes 2-pt shot from 17 ft,2,15-26,,
2:14.0,,,15-29,3,J. Holiday makes 3-pt shot from 24 ft (assist by E. Moore)
1:58.0,Turnover by C. LeVert (lost ball; steal by E. Moore),,15-29,,
1:53.0,,,15-31,2,E. Moore makes 2-pt shot from 1 ft
1:31.0,Q. Acy makes 3-pt shot from 25 ft (assist by C. LeVert),3,18-31,,
1:20.0,,,18-31,,D. Cousins misses 3-pt shot from 25 ft
1:17.0,Defensive rebound by J. Harris,,18-31,,
1:07.0,,,18-31,,Personal foul by D. Cousins (drawn by N. Stauskas)
1:07.0,,,18-31,,New Orleans full timeout
1:07.0,,,18-31,,J. Nelson enters the game for D. Cousins
1:07.0,,,18-31,,A. Davis enters the game for J. Holiday
1:03.0,C. LeVert misses 3-pt shot from 25 ft,,18-31,,
0:56.0,,,18-31,,Defensive rebound by E. Moore
0:53.0,,,18-31,,A. Davis misses 2-pt shot from 1 ft
0:50.0,Defensive rebound by N. Stauskas,,18-31,,
0:31.0,J. Harris makes 2-pt shot from 1 ft,2,20-31,,
0:15.0,,,20-31,,D. Miller misses 2-pt shot from 5 ft
0:13.0,Defensive rebound by J. Allen,,20-31,,
0:02.0,Q. Acy makes 3-pt shot from 25 ft (assist by C. LeVert),3,23-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Q. Acy misses 3-pt shot from 23 ft,,23-31,,
11:46.0,Offensive rebound by J. Harris,,23-31,,
11:41.0,J. Allen misses 2-pt shot from 11 ft,,23-31,,
11:37.0,,,23-31,,Defensive rebound by A. Davis
11:17.0,,,23-34,3,I. Clark makes 3-pt shot from 24 ft (assist by A. Davis)
10:59.0,J. Allen misses 2-pt shot from 9 ft,,23-34,,
10:57.0,,,23-34,,Defensive rebound by A. Davis
10:51.0,,,23-36,2,A. Davis makes 2-pt shot from 1 ft
10:37.0,J. Harris makes 2-pt shot at rim,2,25-36,,
10:24.0,,,25-39,3,A. Davis makes 3-pt shot from 24 ft (assist by I. Clark)
10:03.0,J. Allen misses 2-pt shot from 2 ft (block by A. Davis),,25-39,,
10:00.0,,,25-39,,Defensive rebound by I. Clark
9:57.0,,,25-39,,I. Clark misses 3-pt shot from 27 ft
9:51.0,Defensive rebound by A. Crabbe,,25-39,,
9:49.0,,,25-39,,Personal foul by D. Miller (drawn by J. Harris)
9:49.0,D. Carroll enters the game for Q. Acy,,25-39,,
9:49.0,T. Mozgov enters the game for J. Allen,,25-39,,
9:43.0,Shooting foul by D. Cunningham (drawn by T. Mozgov),,25-39,,
9:43.0,T. Mozgov makes free throw 1 of 2,1,26-39,,
9:43.0,T. Mozgov makes free throw 2 of 2,1,27-39,,
9:32.0,,,27-41,2,A. Davis makes 2-pt shot from 16 ft (assist by J. Nelson)
9:16.0,D. Carroll makes 2-pt shot from 1 ft (assist by A. Crabbe),2,29-41,,
9:16.0,,,29-41,,Violation by A. Davis (def goaltending)
9:08.0,,,29-41,,Shooting foul by J. Harris (drawn by D. Miller)
9:08.0,,,29-42,1,D. Miller makes free throw 1 of 3
9:08.0,,,29-43,1,D. Miller makes free throw 2 of 3
9:08.0,,,29-44,1,D. Miller makes free throw 3 of 3
8:45.0,Turnover by C. LeVert (bad pass; steal by D. Cunningham),,29-44,,
8:35.0,,,29-44,,D. Cunningham misses 2-pt shot from 1 ft
8:33.0,Defensive rebound by A. Crabbe,,29-44,,
8:28.0,Turnover by D. Carroll (lost ball; steal by A. Davis),,29-44,,
8:23.0,,,29-44,,Shooting foul by T. Mozgov (drawn by A. Davis)
8:23.0,,,29-45,1,A. Davis makes free throw 1 of 2
8:23.0,S. Dinwiddie enters the game for J. Harris,,29-45,,
8:23.0,R. Hollis-Jefferson enters the game for C. LeVert,,29-45,,
8:23.0,,,29-46,1,A. Davis makes free throw 2 of 2
8:12.0,Offensive charge foul by T. Mozgov (drawn by A. Davis),,29-46,,
8:12.0,Turnover by T. Mozgov (offensive foul),,29-46,,
8:02.0,,,29-48,2,D. Miller makes 2-pt shot from 14 ft (assist by J. Nelson)
7:36.0,R. Hollis-Jefferson misses 2-pt shot from 4 ft,,29-48,,
7:36.0,Offensive rebound by T. Mozgov,,29-48,,
7:36.0,T. Mozgov misses 2-pt shot at rim,,29-48,,
7:36.0,,,29-48,,Defensive rebound by I. Clark
7:19.0,,,29-51,3,D. Miller makes 3-pt shot from 24 ft (assist by A. Davis)
7:17.0,Brooklyn full timeout,,29-51,,
7:17.0,Q. Acy enters the game for T. Mozgov,,29-51,,
7:08.0,Offensive foul by R. Hollis-Jefferson (drawn by J. Nelson),,29-51,,
7:08.0,Turnover by R. Hollis-Jefferson (offensive foul),,29-51,,
7:00.0,,,29-51,,I. Clark misses 3-pt shot from 26 ft
6:56.0,Defensive rebound by S. Dinwiddie,,29-51,,
6:48.0,S. Dinwiddie misses 2-pt shot from 2 ft (block by A. Davis),,29-51,,
6:48.0,Offensive rebound by A. Crabbe,,29-51,,
6:42.0,D. Carroll makes 2-pt shot from 9 ft (assist by A. Crabbe),2,31-51,,
6:25.0,,,31-51,,Turnover by J. Nelson (bad pass; steal by D. Carroll)
6:17.0,Q. Acy makes 2-pt shot from 2 ft (assist by A. Crabbe),2,33-51,,
5:57.0,,,33-51,,A. Davis misses 2-pt shot from 17 ft
5:54.0,Defensive rebound by A. Crabbe,,33-51,,
5:50.0,Shooting foul by D. Miller (drawn by D. Carroll),,33-51,,
5:50.0,D. Carroll makes free throw 1 of 2,1,34-51,,
5:50.0,,,34-51,,D. Cousins enters the game for I. Clark
5:50.0,,,34-51,,R. Rondo enters the game for J. Nelson
5:50.0,,,34-51,,J. Holiday enters the game for D. Cunningham
5:50.0,D. Carroll makes free throw 2 of 2,1,35-51,,
5:42.0,,,35-54,3,J. Holiday makes 3-pt shot from 23 ft (assist by R. Rondo)
5:42.0,Away from play foul by Q. Acy (drawn by A. Davis),,35-54,,
5:42.0,,,42-60,1,A. Davis makes free throw 1 of 1
5:35.0,A. Crabbe misses 3-pt shot from 25 ft (block by A. Davis),,42-60,,
5:34.0,,,42-60,,Defensive rebound by D. Cousins
5:26.0,,,42-60,,Turnover by A. Davis (bad pass; steal by A. Crabbe)
5:15.0,,,42-60,,E. Moore enters the game for A. Davis
5:15.0,C. LeVert enters the game for D. Carroll,,42-60,,
5:15.0,M. Doyle enters the game for A. Crabbe,,42-60,,
5:07.0,R. Hollis-Jefferson makes 2-pt shot from 11 ft,2,37-54,,
4:54.0,,,37-54,,Turnover by D. Cousins (lost ball; steal by R. Hollis-Jefferson)
4:48.0,C. LeVert makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson),3,40-54,,
4:32.0,,,40-57,3,J. Holiday makes 3-pt shot from 24 ft (assist by R. Rondo)
4:10.0,Q. Acy makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson),2,42-57,,
3:59.0,,,42-57,,D. Cousins misses 2-pt shot from 2 ft
3:54.0,,,42-57,,Offensive rebound by D. Cousins
3:54.0,,,42-59,2,D. Cousins makes 2-pt shot at rim
3:38.0,S. Dinwiddie misses 3-pt shot from 30 ft,,42-59,,
3:35.0,,,42-59,,Defensive rebound by E. Moore
3:23.0,Personal foul by R. Hollis-Jefferson (drawn by D. Cousins),,42-59,,
3:23.0,T. Zeller enters the game for Q. Acy,,42-59,,
3:23.0,,,42-59,,A. Davis enters the game for D. Miller
3:14.0,,,42-62,2,D. Cousins makes 2-pt shot from 3 ft (assist by R. Rondo)
2:51.0,T. Zeller makes 2-pt shot from 8 ft (assist by S. Dinwiddie),2,44-62,,
2:40.0,,,44-62,,J. Holiday misses 3-pt shot from 26 ft
2:38.0,Defensive rebound by T. Zeller,,44-62,,
2:21.0,M. Doyle misses 3-pt shot from 25 ft,,44-62,,
2:17.0,,,44-62,,Defensive rebound by J. Holiday
2:07.0,,,44-62,,Turnover by R. Rondo (bad pass; steal by R. Hollis-Jefferson)
2:03.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,46-62,,
1:52.0,,,46-64,2,J. Holiday makes 2-pt shot from 1 ft (assist by R. Rondo)
1:32.0,Offensive charge foul by T. Zeller (drawn by D. Cousins),,46-64,,
1:32.0,Turnover by T. Zeller (offensive foul),,46-64,,
1:32.0,,,46-64,,New Orleans full timeout
1:32.0,Q. Acy enters the game for R. Hollis-Jefferson,,46-64,,
1:22.0,,,46-66,2,A. Davis makes 2-pt shot from 2 ft (assist by R. Rondo)
1:07.0,Turnover by Q. Acy (bad pass),,46-66,,
0:52.0,,,46-66,,D. Cousins misses 2-pt shot from 20 ft
0:48.0,Defensive rebound by Q. Acy,,46-66,,
0:40.0,M. Doyle misses 2-pt shot from 17 ft,,46-66,,
0:35.0,,,46-66,,Defensive rebound by D. Cousins
0:31.0,,,46-69,3,D. Cousins makes 3-pt shot from 26 ft (assist by R. Rondo)
0:04.0,Jump ball: J. Holiday vs. S. Dinwiddie (E. Moore gains possession),,,,Jump ball: J. Holiday vs. S. Dinwiddie (E. Moore gains possession)
0:04.0,Turnover by S. Dinwiddie (turnover; steal by J. Holiday),,46-69,,
0:00.0,,,46-69,,E. Moore misses 2-pt shot from 18 ft
0:00.0,,,46-69,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,T. Zeller misses 2-pt shot from 10 ft (block by A. Davis),,46-69,,
11:35.0,,,46-69,,Defensive rebound by D. Cousins
11:24.0,,,46-69,,A. Davis misses 2-pt shot at rim
11:22.0,Defensive rebound by R. Hollis-Jefferson,,46-69,,
11:22.0,,,46-69,,Personal foul by R. Rondo (drawn by R. Hollis-Jefferson)
11:10.0,A. Crabbe misses 3-pt shot from 24 ft,,46-69,,
11:07.0,,,46-69,,Defensive rebound by A. Davis
11:01.0,,,46-71,2,D. Cousins makes 2-pt shot from 1 ft (assist by R. Rondo)
10:45.0,D. Carroll misses 3-pt shot from 24 ft,,46-71,,
10:42.0,,,46-71,,Defensive rebound by D. Cousins
10:36.0,,,46-71,,R. Rondo misses 2-pt shot from 21 ft
10:33.0,Defensive rebound by A. Crabbe,,46-71,,
10:16.0,T. Zeller misses 2-pt shot from 10 ft,,46-71,,
10:14.0,,,46-71,,Defensive rebound by D. Cousins
10:08.0,,,46-74,3,E. Moore makes 3-pt shot from 25 ft (assist by R. Rondo)
9:50.0,R. Hollis-Jefferson makes 2-pt shot from 11 ft,2,48-74,,
9:35.0,,,48-74,,D. Cousins misses 3-pt shot from 25 ft
9:33.0,,,48-74,,Offensive rebound by A. Davis
9:33.0,,,48-74,,Shooting foul by R. Hollis-Jefferson (drawn by A. Davis)
9:33.0,,,48-75,1,A. Davis makes free throw 1 of 2
9:33.0,,,48-76,1,A. Davis makes free throw 2 of 2
9:18.0,Turnover by T. Zeller (bad pass; steal by J. Holiday),,48-76,,
9:14.0,,,48-76,,Offensive foul by R. Rondo (drawn by D. Carroll)
9:14.0,,,48-76,,Turnover by R. Rondo (offensive foul)
9:03.0,A. Crabbe misses 3-pt shot from 24 ft,,48-76,,
9:00.0,,,48-76,,Defensive rebound by R. Rondo
8:42.0,,,48-78,2,A. Davis makes 2-pt shot from 17 ft (assist by D. Cousins)
8:30.0,S. Dinwiddie misses 2-pt shot from 2 ft (block by D. Cousins),,48-78,,
8:27.0,,,48-78,,Defensive rebound by A. Davis
8:23.0,,,48-78,,J. Holiday misses 3-pt shot from 23 ft
8:20.0,Defensive rebound by S. Dinwiddie,,48-78,,
8:08.0,Shooting foul by J. Holiday (drawn by S. Dinwiddie),,48-78,,
8:08.0,S. Dinwiddie makes free throw 1 of 2,1,49-78,,
8:08.0,J. Allen enters the game for T. Zeller,,49-78,,
8:08.0,S. Dinwiddie makes free throw 2 of 2,1,50-78,,
8:05.0,Personal foul by D. Carroll (drawn by A. Davis),,50-78,,
8:03.0,Personal foul by R. Hollis-Jefferson (drawn by D. Cousins),,50-78,,
8:03.0,Q. Acy enters the game for R. Hollis-Jefferson,,50-78,,
7:58.0,,,50-80,2,D. Cousins makes 2-pt shot from 18 ft (assist by R. Rondo)
7:45.0,,,50-80,,Personal foul by E. Moore (drawn by A. Crabbe)
7:37.0,Turnover by Q. Acy (bad pass),,50-80,,
7:33.0,Personal foul by S. Dinwiddie (drawn by D. Cousins),,50-80,,
7:25.0,,,50-80,,A. Davis misses 2-pt shot from 4 ft (block by J. Allen)
7:20.0,Defensive rebound by S. Dinwiddie,,50-80,,
7:11.0,Q. Acy makes 3-pt shot from 22 ft (assist by S. Dinwiddie),3,53-80,,
6:49.0,,,53-83,3,A. Davis makes 3-pt shot from 23 ft (assist by R. Rondo)
6:38.0,Shooting foul by D. Cousins (drawn by S. Dinwiddie),,53-83,,
6:38.0,,,53-83,,New Orleans full timeout
6:38.0,J. Harris enters the game for D. Carroll,,53-83,,
6:38.0,N. Stauskas enters the game for A. Crabbe,,53-83,,
6:38.0,S. Dinwiddie makes free throw 1 of 2,1,54-83,,
6:38.0,S. Dinwiddie makes free throw 2 of 2,1,55-83,,
6:24.0,,,55-83,,A. Davis misses 2-pt shot from 2 ft (block by J. Allen)
6:23.0,,,55-83,,Offensive rebound by Team
6:16.0,,,55-85,2,J. Holiday makes 2-pt shot from 18 ft (assist by D. Cousins)
5:53.0,J. Harris misses 3-pt shot from 22 ft,,55-85,,
5:50.0,Offensive rebound by Q. Acy,,55-85,,
5:50.0,Turnover by Q. Acy (out of bounds lost ball),,55-85,,
5:50.0,,,55-85,,C. Diallo enters the game for R. Rondo
5:50.0,,,55-85,,D. Miller enters the game for A. Davis
5:38.0,Personal foul by Q. Acy (drawn by D. Cousins),,55-85,,
5:38.0,,,55-85,,D. Cousins misses free throw 1 of 2
5:38.0,,,55-85,,Offensive rebound by Team
5:38.0,C. LeVert enters the game for S. Dinwiddie,,55-85,,
5:38.0,,,55-86,1,D. Cousins makes free throw 2 of 2
5:28.0,Q. Acy makes 3-pt shot from 25 ft (assist by J. Harris),3,58-86,,
5:09.0,,,58-89,3,D. Cousins makes 3-pt shot from 26 ft (assist by J. Holiday)
4:55.0,J. Allen misses 2-pt shot from 15 ft,,58-89,,
4:52.0,,,58-89,,Defensive rebound by D. Cousins
4:46.0,,,58-89,,Turnover by D. Cousins (lost ball; steal by Q. Acy)
4:43.0,N. Stauskas misses 2-pt shot from 1 ft,,58-89,,
4:42.0,Offensive rebound by J. Harris,,58-89,,
4:41.0,J. Harris misses 2-pt shot from 1 ft,,58-89,,
4:41.0,,,58-89,,Defensive rebound by Team
4:23.0,,,58-89,,C. Diallo misses 2-pt shot from 15 ft
4:20.0,Defensive rebound by J. Harris,,58-89,,
4:13.0,N. Stauskas misses 3-pt shot from 26 ft,,58-89,,
4:10.0,,,58-89,,Defensive rebound by C. Diallo
4:04.0,,,58-89,,J. Holiday misses 2-pt shot from 6 ft
4:01.0,Defensive rebound by N. Stauskas,,58-89,,
3:57.0,C. LeVert misses 2-pt shot from 4 ft,,58-89,,
3:54.0,,,58-89,,Defensive rebound by C. Diallo
3:37.0,,,58-89,,Turnover by D. Miller (lost ball; steal by J. Harris)
3:26.0,C. LeVert misses 3-pt shot from 25 ft,,58-89,,
3:22.0,,,58-89,,Defensive rebound by D. Cousins
3:15.0,,,58-91,2,D. Cousins makes 2-pt shot from 2 ft
3:15.0,Brooklyn full timeout,,58-91,,
3:15.0,,,58-91,,O. Asik enters the game for D. Cousins
3:15.0,,,58-91,,I. Clark enters the game for J. Holiday
3:15.0,,,58-91,,J. Nelson enters the game for E. Moore
3:15.0,R. Hollis-Jefferson enters the game for Q. Acy,,58-91,,
2:57.0,N. Stauskas makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson),3,61-91,,
2:37.0,,,61-91,,D. Miller misses 3-pt shot from 25 ft
2:34.0,Defensive rebound by R. Hollis-Jefferson,,61-91,,
2:26.0,C. LeVert makes 2-pt shot from 1 ft,2,63-91,,
2:13.0,,,63-91,,Shooting foul by J. Allen (drawn by O. Asik)
2:13.0,,,63-91,,O. Asik misses free throw 1 of 2
2:13.0,,,63-91,,Offensive rebound by Team
2:13.0,,,63-91,,O. Asik misses free throw 2 of 2
2:08.0,Defensive rebound by R. Hollis-Jefferson,,63-91,,
1:53.0,J. Allen makes 3-pt shot from 23 ft (assist by N. Stauskas),3,66-91,,
1:39.0,,,66-91,,D. Miller misses 2-pt shot from 17 ft
1:35.0,Defensive rebound by R. Hollis-Jefferson,,66-91,,
1:29.0,C. LeVert makes 2-pt shot from 2 ft,2,68-91,,
1:29.0,Shooting foul by O. Asik (drawn by C. LeVert),,68-91,,
1:29.0,C. LeVert makes free throw 1 of 1,1,69-91,,
1:04.0,,,69-91,,Turnover by Team (shot clock)
0:52.0,N. Stauskas makes 3-pt shot from 26 ft (assist by C. LeVert),3,72-91,,
0:33.0,,,72-91,,D. Miller misses 3-pt shot from 26 ft
0:28.0,Defensive rebound by R. Hollis-Jefferson,,72-91,,
0:22.0,C. LeVert makes 3-pt shot from 25 ft,3,75-91,,
0:00.0,,,75-91,,J. Nelson misses 2-pt shot from 10 ft
0:00.0,,,75-91,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,75-91,,A. Davis misses 2-pt shot from 16 ft
11:41.0,Defensive rebound by C. LeVert,,75-91,,
11:32.0,J. Allen misses 2-pt shot from 7 ft,,75-91,,
11:29.0,Offensive rebound by J. Allen,,75-91,,
11:25.0,C. LeVert makes 2-pt shot from 10 ft,2,77-91,,
11:08.0,,,77-93,2,A. Davis makes 2-pt shot from 13 ft
10:53.0,J. Harris misses 3-pt shot from 26 ft,,77-93,,
10:49.0,,,77-93,,Defensive rebound by D. Cousins
10:43.0,,,77-95,2,J. Holiday makes 2-pt shot from 6 ft (assist by R. Rondo)
10:31.0,R. Hollis-Jefferson makes 2-pt shot from 14 ft (assist by C. LeVert),2,79-95,,
10:22.0,,,79-97,2,E. Moore makes 2-pt shot from 1 ft (assist by R. Rondo)
10:13.0,Shooting foul by J. Holiday (drawn by C. LeVert),,79-97,,
10:13.0,C. LeVert makes free throw 1 of 2,1,80-97,,
10:13.0,C. LeVert misses free throw 2 of 2,,80-97,,
10:10.0,,,80-97,,Defensive rebound by D. Cousins
10:06.0,,,80-99,2,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo)
9:55.0,N. Stauskas misses 3-pt shot from 24 ft,,80-99,,
9:55.0,,,80-99,,Defensive rebound by E. Moore
9:45.0,,,80-99,,D. Cousins misses 3-pt shot from 26 ft
9:45.0,,,80-99,,Offensive rebound by Team
9:45.0,M. Doyle enters the game for J. Harris,,80-99,,
9:45.0,T. Mozgov enters the game for R. Hollis-Jefferson,,80-99,,
9:36.0,,,80-99,,D. Cousins misses 2-pt shot from 20 ft
9:33.0,Defensive rebound by Team,,80-99,,
9:24.0,J. Allen misses 2-pt shot from 1 ft,,80-99,,
9:20.0,,,80-99,,Defensive rebound by A. Davis
9:15.0,,,80-99,,Shooting foul by T. Mozgov (drawn by D. Cousins)
9:15.0,,,80-100,1,D. Cousins makes free throw 1 of 2
9:15.0,,,80-101,1,D. Cousins makes free throw 2 of 2
9:04.0,M. Doyle misses 3-pt shot from 25 ft,,80-101,,
9:01.0,,,80-101,,Defensive rebound by R. Rondo
8:52.0,,,80-101,,A. Davis misses 2-pt shot at rim
8:49.0,,,80-101,,Offensive rebound by R. Rondo
8:47.0,,,80-101,,J. Holiday misses 3-pt shot from 24 ft
8:47.0,,,80-101,,Offensive rebound by A. Davis
8:43.0,,,80-104,3,E. Moore makes 3-pt shot from 24 ft (assist by D. Cousins)
8:14.0,T. Mozgov misses 2-pt shot from 21 ft,,80-104,,
8:11.0,Offensive rebound by J. Allen,,80-104,,
8:07.0,C. LeVert misses 2-pt shot from 2 ft,,80-104,,
8:02.0,Offensive rebound by C. LeVert,,80-104,,
8:02.0,C. LeVert misses 2-pt shot at rim,,80-104,,
8:01.0,,,80-104,,Defensive rebound by R. Rondo
7:59.0,,,80-104,,Turnover by J. Holiday (bad pass; steal by J. Allen)
7:55.0,Turnover by J. Allen (bad pass; steal by D. Cousins),,80-104,,
7:51.0,,,80-104,,J. Holiday misses 3-pt shot from 22 ft
7:51.0,,,80-104,,Offensive rebound by A. Davis
7:51.0,,,80-106,2,A. Davis makes 2-pt shot from 3 ft
7:51.0,,,80-106,,Shooting foul by M. Doyle (drawn by A. Davis)
7:51.0,Brooklyn full timeout,,80-106,,
7:51.0,Q. Acy enters the game for J. Allen,,80-106,,
7:51.0,,,80-106,,A. Davis misses free throw 1 of 1
7:46.0,Defensive rebound by Q. Acy,,80-106,,
7:37.0,C. LeVert misses 2-pt shot from 1 ft (block by J. Holiday),,80-106,,
7:37.0,Offensive rebound by Team,,80-106,,
7:32.0,N. Stauskas makes 3-pt shot from 26 ft (assist by C. LeVert),3,83-106,,
7:15.0,,,83-108,2,R. Rondo makes 2-pt shot from 1 ft
7:05.0,M. Doyle misses 2-pt shot from 1 ft,,83-108,,
7:03.0,,,83-108,,Defensive rebound by D. Cousins
6:59.0,,,83-110,2,J. Holiday makes 2-pt shot from 19 ft (assist by R. Rondo)
6:47.0,C. LeVert misses 3-pt shot from 25 ft,,83-110,,
6:44.0,,,83-110,,Defensive rebound by A. Davis
6:39.0,,,83-110,,D. Cousins misses 3-pt shot from 25 ft
6:36.0,Defensive rebound by M. Doyle,,83-110,,
6:20.0,M. Doyle misses 2-pt shot from 8 ft (block by A. Davis),,83-110,,
6:15.0,Offensive rebound by C. LeVert,,83-110,,
6:12.0,N. Stauskas makes 3-pt shot from 25 ft (assist by Q. Acy),3,86-110,,
6:02.0,,,86-112,2,J. Holiday makes 2-pt shot from 5 ft (assist by R. Rondo)
5:58.0,Brooklyn full timeout,,86-112,,
5:49.0,T. Mozgov misses 2-pt shot from 2 ft (block by J. Holiday),,86-112,,
5:45.0,,,86-112,,Defensive rebound by E. Moore
5:38.0,,,86-114,2,J. Holiday makes 2-pt shot from 3 ft (assist by R. Rondo)
5:19.0,N. Stauskas makes 3-pt shot from 25 ft (assist by M. Doyle),3,89-114,,
5:00.0,,,89-114,,Turnover by R. Rondo (bad pass)
5:00.0,,,89-114,,D. Cunningham enters the game for D. Cousins
5:00.0,,,89-114,,C. Diallo enters the game for A. Davis
4:49.0,C. LeVert makes 2-pt shot from 1 ft,2,91-114,,
4:49.0,,,91-114,,Away from play foul by C. Diallo (drawn by T. Mozgov)
4:49.0,,,91-114,,I. Clark enters the game for J. Holiday
4:49.0,T. Mozgov makes free throw 1 of 1,1,92-114,,
