time,Philadelphia,pts.away,score,pts.home,New York
4:27.0,D. Saric makes 2-pt shot at rim (assist by R. Covington),2,39-38,,
4:13.0,,,39-38,,Turnover by C. Lee (bad pass)
3:56.0,D. Saric misses 3-pt shot from 26 ft,,39-38,,
3:54.0,,,39-38,,Defensive rebound by E. Kanter
3:47.0,,,39-40,2,K. Porzingis makes 2-pt shot from 2 ft (assist by J. Jack)
3:47.0,Violation by A. Johnson (def goaltending),,39-40,,
3:28.0,D. Saric misses 2-pt shot from 22 ft,,39-40,,
3:24.0,,,39-40,,Defensive rebound by J. Jack
3:10.0,,,39-42,2,K. Porzingis makes 2-pt shot from 15 ft (assist by J. Jack)
2:47.0,R. Covington misses 2-pt shot from 21 ft,,39-42,,
2:45.0,Offensive rebound by D. Saric,,39-42,,
2:45.0,,,39-42,,Personal foul by J. Jack (drawn by D. Saric)
2:45.0,,,39-42,,New York full timeout
2:45.0,J. Embiid enters the game for A. Johnson,,39-42,,
2:45.0,J. Redick enters the game for T. McConnell,,39-42,,
2:34.0,D. Saric makes 2-pt shot from 1 ft,2,41-42,,
2:20.0,,,41-42,,Shooting foul by D. Saric (drawn by K. Porzingis)
2:20.0,,,41-43,1,K. Porzingis makes free throw 1 of 2
2:20.0,,,41-43,,K. Porzingis misses free throw 2 of 2
2:17.0,Defensive rebound by Team,,41-43,,
2:06.0,,,41-43,,Personal foul by C. Lee (drawn by J. Redick)
2:05.0,Shooting foul by J. Jack (drawn by R. Covington),,41-43,,
2:05.0,R. Covington makes free throw 1 of 2,1,42-43,,
2:05.0,R. Covington makes free throw 2 of 2,1,43-43,,
1:53.0,Personal foul by D. Saric (drawn by K. Porzingis),,43-43,,
1:53.0,,,43-44,1,K. Porzingis makes free throw 1 of 2
1:53.0,,,43-45,1,K. Porzingis makes free throw 2 of 2
1:37.0,Shooting foul by L. Thomas (drawn by R. Covington),,43-45,,
1:37.0,R. Covington misses free throw 1 of 2,,43-45,,
1:37.0,Offensive rebound by Team,,43-45,,
1:37.0,R. Covington makes free throw 2 of 2,1,44-45,,
1:21.0,,,44-45,,K. Porzingis misses 3-pt shot from 25 ft
1:19.0,Defensive rebound by J. Embiid,,44-45,,
1:03.0,J. Embiid misses 2-pt shot from 11 ft,,44-45,,
1:00.0,,,44-45,,Defensive rebound by E. Kanter
1:00.0,Personal foul by B. Simmons (drawn by E. Kanter),,44-45,,
1:00.0,,,44-46,1,E. Kanter makes free throw 1 of 2
1:00.0,,,44-46,,E. Kanter misses free throw 2 of 2
0:57.0,Defensive rebound by B. Simmons,,44-46,,
0:43.0,J. Redick makes 3-pt shot from 25 ft (assist by J. Embiid),3,47-46,,
0:38.0,,,47-46,,J. Jack misses 2-pt shot from 21 ft
0:35.0,Defensive rebound by J. Redick,,47-46,,
0:32.0,Shooting foul by J. Jack (drawn by J. Redick),,47-46,,
0:32.0,T. Booker enters the game for D. Saric,,47-46,,
0:32.0,J. Redick makes free throw 1 of 3,1,48-46,,
0:32.0,J. Redick makes free throw 2 of 3,1,49-46,,
0:32.0,J. Redick makes free throw 3 of 3,1,50-46,,
0:08.0,,,50-46,,K. Porzingis misses 2-pt shot from 22 ft
0:06.0,,,50-46,,Offensive rebound by E. Kanter
0:06.0,,,50-48,2,E. Kanter makes 2-pt shot from 1 ft
0:00.0,T. Booker misses 2-pt shot from 3 ft (block by K. Porzingis),,50-48,,
0:00.0,Offensive rebound by Team,,50-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,B. Simmons makes 2-pt shot at rim,2,52-48,,
11:28.0,,,52-50,2,E. Kanter makes 2-pt shot from 4 ft (assist by J. Jack)
11:22.0,J. Redick misses 3-pt shot from 27 ft,,52-50,,
11:19.0,,,52-50,,Defensive rebound by E. Kanter
11:02.0,,,52-52,2,L. Thomas makes 2-pt shot from 1 ft
10:54.0,B. Simmons misses 2-pt shot at rim,,52-52,,
10:53.0,,,52-52,,Defensive rebound by Team
10:44.0,Personal foul by R. Covington (drawn by K. Porzingis),,52-52,,
10:30.0,,,52-52,,L. Thomas misses 3-pt shot from 25 ft
10:29.0,,,52-52,,Offensive rebound by Team
10:29.0,Loose ball foul by B. Simmons (drawn by E. Kanter),,52-52,,
10:24.0,,,52-52,,K. Porzingis misses 2-pt shot from 22 ft
10:20.0,Defensive rebound by J. Redick,,52-52,,
10:04.0,,,52-52,,Technical foul by J. Jack (drawn by J. Embiid)
10:04.0,,,52-52,,F. Ntilikina enters the game for J. Jack
10:04.0,J. Embiid makes flagrant free throw 2 of 2,1,53-52,,
10:04.0,J. Embiid makes flagrant free throw 1 of 2,1,54-52,,
10:03.0,R. Covington makes 2-pt shot from 2 ft (assist by J. Redick),2,56-52,,
10:03.0,,,56-52,,Violation by F. Ntilikina (def goaltending)
9:53.0,,,56-52,,Shooting foul by J. Embiid (drawn by K. Porzingis)
9:53.0,,,56-53,1,K. Porzingis makes free throw 1 of 2
9:53.0,,,56-53,,K. Porzingis misses free throw 2 of 2
9:51.0,Defensive rebound by J. Embiid,,56-53,,
9:39.0,Shooting foul by E. Kanter (drawn by J. Embiid),,56-53,,
9:39.0,J. Embiid makes free throw 1 of 2,1,57-53,,
9:39.0,J. Embiid makes free throw 2 of 2,1,58-53,,
9:28.0,Personal foul by J. Redick (drawn by F. Ntilikina),,58-53,,
9:17.0,,,58-55,2,E. Kanter makes 2-pt shot from 9 ft (assist by C. Lee)
9:04.0,J. Embiid makes 2-pt shot from 1 ft,2,60-55,,
8:37.0,,,60-55,,E. Kanter misses 2-pt shot from 6 ft
8:35.0,Defensive rebound by B. Simmons,,60-55,,
8:22.0,D. Saric misses 3-pt shot from 25 ft,,60-55,,
8:22.0,,,60-55,,Defensive rebound by C. Lee
8:09.0,,,60-55,,K. Porzingis misses 2-pt shot from 1 ft
8:09.0,,,60-55,,Offensive rebound by K. Porzingis
8:09.0,,,60-55,,Shooting foul by R. Covington (drawn by K. Porzingis)
8:09.0,T. McConnell enters the game for J. Redick,,60-55,,
8:09.0,,,60-55,,K. Porzingis misses free throw 1 of 2
8:09.0,,,60-55,,Offensive rebound by Team
8:09.0,,,60-55,,K. Porzingis misses free throw 2 of 2
8:02.0,,,60-55,,Offensive rebound by E. Kanter
8:02.0,,,60-55,,E. Kanter misses 2-pt shot at rim
8:02.0,Defensive rebound by J. Embiid,,60-55,,
7:50.0,B. Simmons misses 2-pt shot from 9 ft,,60-55,,
7:48.0,Offensive rebound by J. Embiid,,60-55,,
7:48.0,Shooting foul by E. Kanter (drawn by J. Embiid),,60-55,,
7:48.0,J. Embiid makes free throw 1 of 2,1,61-55,,
7:48.0,J. Embiid makes free throw 2 of 2,1,62-55,,
7:31.0,,,62-58,3,C. Lee makes 3-pt shot from 23 ft (assist by F. Ntilikina)
7:08.0,J. Embiid misses 2-pt shot from 3 ft (block by K. Porzingis),,62-58,,
7:08.0,Offensive rebound by Team,,62-58,,
7:08.0,A. Johnson enters the game for J. Embiid,,62-58,,
7:06.0,Turnover by R. Covington (out of bounds lost ball),,62-58,,
6:57.0,,,62-58,,C. Lee misses 2-pt shot from 1 ft
6:56.0,,,62-58,,Offensive rebound by E. Kanter
6:56.0,,,62-60,2,E. Kanter makes 2-pt shot at rim
6:56.0,Philadelphia full timeout,,62-60,,
6:56.0,J. Bayless enters the game for R. Covington,,62-60,,
6:37.0,J. Bayless misses 3-pt shot from 25 ft,,62-60,,
6:34.0,,,62-60,,Defensive rebound by K. Porzingis
6:12.0,,,62-60,,Turnover by Team (shot clock)
6:00.0,D. Saric misses 3-pt shot from 25 ft,,62-60,,
5:58.0,,,62-60,,Defensive rebound by E. Kanter
5:55.0,Personal foul by D. Saric (drawn by K. Porzingis),,62-60,,
5:55.0,,,62-60,,R. Baker enters the game for C. Lee
5:55.0,,,62-61,1,K. Porzingis makes free throw 1 of 2
5:55.0,,,62-62,1,K. Porzingis makes free throw 2 of 2
5:43.0,A. Johnson misses 2-pt shot from 3 ft,,62-62,,
5:41.0,,,62-62,,Defensive rebound by E. Kanter
5:35.0,,,62-64,2,E. Kanter makes 2-pt shot from 1 ft (assist by R. Baker)
5:22.0,,,62-64,,Personal foul by L. Thomas (drawn by B. Simmons)
5:12.0,D. Saric makes 2-pt shot from 1 ft (assist by B. Simmons),2,64-64,,
5:00.0,,,64-64,,F. Ntilikina misses 2-pt shot from 16 ft
4:57.0,Defensive rebound by T. McConnell,,64-64,,
4:46.0,T. McConnell misses 2-pt shot from 1 ft,,64-64,,
4:45.0,,,64-64,,Defensive rebound by E. Kanter
4:31.0,,,64-64,,R. Baker misses 2-pt shot at rim
4:27.0,,,64-64,,Offensive rebound by E. Kanter
4:27.0,,,64-64,,E. Kanter misses 2-pt shot at rim
4:24.0,,,64-64,,Offensive rebound by E. Kanter
4:24.0,,,64-64,,E. Kanter misses 2-pt shot at rim
4:21.0,Defensive rebound by T. McConnell,,64-64,,
4:15.0,T. McConnell misses 3-pt shot from 22 ft,,64-64,,
4:13.0,,,64-64,,Defensive rebound by F. Ntilikina
4:00.0,,,64-64,,M. Beasley enters the game for K. Porzingis
4:00.0,R. Covington enters the game for D. Saric,,64-64,,
4:00.0,T. Booker enters the game for B. Simmons,,64-64,,
3:54.0,,,64-64,,Shooting foul by A. Johnson (drawn by E. Kanter)
3:54.0,,,64-64,,D. McDermott enters the game for L. Thomas
3:54.0,J. Embiid enters the game for A. Johnson,,64-64,,
3:54.0,,,64-65,1,E. Kanter makes free throw 1 of 2
3:54.0,,,64-66,1,E. Kanter makes free throw 2 of 2
3:44.0,Shooting foul by F. Ntilikina (drawn by J. Bayless),,64-66,,
3:44.0,J. Bayless misses free throw 1 of 2,,64-66,,
3:44.0,Offensive rebound by Team,,64-66,,
3:44.0,J. Bayless makes free throw 2 of 2,1,65-66,,
3:35.0,,,65-66,,Turnover by M. Beasley (bad pass; steal by R. Covington)
3:29.0,J. Bayless misses 2-pt shot from 1 ft,,65-66,,
3:27.0,Offensive rebound by J. Embiid,,65-66,,
3:17.0,J. Bayless makes 2-pt shot at rim (assist by R. Covington),2,67-66,,
2:59.0,,,67-68,2,E. Kanter makes 2-pt shot from 5 ft
2:47.0,J. Embiid makes 2-pt shot from 17 ft,2,69-68,,
2:40.0,,,69-68,,New York full timeout
2:30.0,,,69-68,,D. McDermott misses 2-pt shot from 12 ft (block by R. Covington)
2:28.0,Defensive rebound by J. Bayless,,69-68,,
2:20.0,T. McConnell misses 2-pt shot from 12 ft,,69-68,,
2:14.0,Offensive rebound by J. Embiid,,69-68,,
2:14.0,J. Embiid makes 2-pt shot at rim,2,71-68,,
1:58.0,,,71-68,,D. McDermott misses 3-pt shot from 22 ft
1:58.0,,,71-68,,Offensive rebound by Team
1:58.0,Loose ball foul by J. Bayless (drawn by E. Kanter),,71-68,,
1:58.0,,,71-69,1,E. Kanter makes free throw 1 of 2
1:58.0,,,71-70,1,E. Kanter makes free throw 2 of 2
1:43.0,,,71-70,,K. O'Quinn enters the game for E. Kanter
1:38.0,T. McConnell makes 2-pt shot from 1 ft (assist by J. Embiid),2,73-70,,
1:38.0,Shooting foul by F. Ntilikina (drawn by T. McConnell),,73-70,,
1:38.0,T. McConnell makes free throw 1 of 1,1,74-70,,
1:28.0,,,74-73,3,D. McDermott makes 3-pt shot from 26 ft (assist by R. Baker)
1:00.0,T. McConnell makes 2-pt shot from 11 ft,2,76-73,,
0:47.0,,,76-73,,D. McDermott misses 2-pt shot from 1 ft
0:45.0,Defensive rebound by J. Embiid,,76-73,,
0:42.0,Turnover by J. Embiid (bad pass; steal by R. Baker),,76-73,,
0:38.0,,,76-73,,R. Baker misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by J. Bayless,,76-73,,
0:25.0,T. McConnell makes 3-pt shot from 22 ft (assist by R. Covington),3,79-73,,
0:03.0,,,79-75,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by M. Beasley)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,,,79-75,,Shooting foul by J. Bayless (drawn by K. O'Quinn)
11:52.0,,,79-75,,K. O'Quinn misses free throw 1 of 2
11:52.0,,,79-75,,Offensive rebound by Team
11:52.0,,,79-75,,K. O'Quinn misses free throw 2 of 2
11:50.0,Defensive rebound by T. Booker,,79-75,,
11:30.0,J. Embiid misses 2-pt shot from 19 ft,,79-75,,
11:27.0,,,79-75,,Defensive rebound by M. Beasley
11:17.0,,,79-75,,M. Beasley misses 2-pt shot from 20 ft
11:15.0,Defensive rebound by J. Redick,,79-75,,
11:08.0,T. Booker misses 2-pt shot from 9 ft,,79-75,,
11:07.0,,,79-75,,Defensive rebound by Team
10:57.0,,,79-77,2,M. Beasley makes 2-pt shot from 7 ft
10:40.0,J. Embiid misses 3-pt shot from 25 ft,,79-77,,
10:35.0,Offensive rebound by T. Booker,,79-77,,
10:33.0,J. Redick misses 3-pt shot from 24 ft,,79-77,,
10:33.0,Offensive rebound by J. Redick,,79-77,,
10:29.0,J. Redick makes 3-pt shot from 25 ft,3,82-77,,
9:59.0,,,82-77,,M. Beasley misses 2-pt shot from 3 ft
9:57.0,Defensive rebound by J. Embiid,,82-77,,
9:49.0,,,82-77,,Personal foul by M. Beasley (drawn by J. Embiid)
9:49.0,,,82-77,,C. Lee enters the game for R. Baker
9:49.0,D. Saric enters the game for T. Booker,,82-77,,
9:48.0,Shooting foul by K. O'Quinn (drawn by J. Bayless),,82-77,,
9:48.0,J. Bayless makes free throw 1 of 2,1,83-77,,
9:48.0,J. Bayless makes free throw 2 of 2,1,84-77,,
9:33.0,,,84-77,,F. Ntilikina misses 2-pt shot from 10 ft
9:30.0,Defensive rebound by J. Embiid,,84-77,,
9:11.0,J. Bayless misses 3-pt shot from 23 ft,,84-77,,
9:10.0,Offensive rebound by D. Saric,,84-77,,
9:10.0,,,84-77,,Personal foul by F. Ntilikina (drawn by D. Saric)
9:10.0,,,84-77,,K. Porzingis enters the game for K. O'Quinn
9:10.0,,,84-77,,J. Jack enters the game for F. Ntilikina
9:10.0,A. Johnson enters the game for J. Embiid,,84-77,,
8:59.0,T. McConnell makes 2-pt shot from 14 ft (assist by D. Saric),2,86-77,,
8:37.0,,,86-79,2,M. Beasley makes 2-pt shot from 1 ft
8:31.0,Philadelphia full timeout,,86-79,,
8:31.0,,,86-79,,E. Kanter enters the game for D. McDermott
8:31.0,B. Simmons enters the game for T. McConnell,,86-79,,
8:31.0,R. Covington enters the game for J. Redick,,86-79,,
8:24.0,D. Saric misses 2-pt shot from 15 ft,,86-79,,
8:21.0,,,86-79,,Defensive rebound by M. Beasley
8:09.0,,,86-79,,J. Jack misses 2-pt shot from 1 ft
8:08.0,,,86-79,,Offensive rebound by E. Kanter
8:08.0,,,86-79,,Shooting foul by A. Johnson (drawn by E. Kanter)
8:08.0,,,86-80,1,E. Kanter makes free throw 1 of 2
8:08.0,,,86-81,1,E. Kanter makes free throw 2 of 2
7:56.0,J. Bayless makes 3-pt shot from 23 ft (assist by D. Saric),3,89-81,,
7:38.0,,,89-81,,M. Beasley misses 3-pt shot from 24 ft
7:34.0,,,89-81,,Offensive rebound by E. Kanter
7:33.0,,,89-84,3,K. Porzingis makes 3-pt shot from 27 ft (assist by J. Jack)
7:11.0,Turnover by D. Saric (bad pass; steal by J. Jack),,89-84,,
6:55.0,,,89-84,,C. Lee misses 3-pt shot from 23 ft
6:52.0,,,89-84,,Offensive rebound by E. Kanter
6:51.0,,,89-84,,E. Kanter misses 2-pt shot from 1 ft (block by A. Johnson)
6:51.0,,,89-84,,Offensive rebound by C. Lee
6:49.0,,,89-84,,J. Jack misses 3-pt shot from 29 ft
6:48.0,,,89-84,,Offensive rebound by Team
6:48.0,,,89-84,,Turnover by Team (shot clock)
6:48.0,J. Embiid enters the game for A. Johnson,,89-84,,
6:28.0,J. Embiid misses 2-pt shot from 12 ft,,89-84,,
6:26.0,,,89-84,,Defensive rebound by M. Beasley
6:21.0,Personal take foul by J. Bayless (drawn by J. Jack),,89-84,,
