time,Milwaukee,pts.away,score,pts.home,Philadelphia
9:43.0,,,82-89,,Turnover by T. McConnell (bad pass; steal by M. Dellavedova)
9:39.0,Turnover by M. Dellavedova (bad pass; steal by R. Covington),,82-89,,
9:36.0,,,82-91,2,T. McConnell makes 2-pt shot from 1 ft (assist by T. Booker)
9:36.0,,,82-91,,Shooting foul by M. Dellavedova (drawn by T. McConnell)
9:36.0,,,82-92,1,T. McConnell makes free throw 1 of 1
9:20.0,Turnover by M. Plumlee (traveling),,82-92,,
9:20.0,,,82-92,,B. Simmons enters the game for T. McConnell
9:07.0,,,82-94,2,R. Covington makes 2-pt shot from 3 ft (assist by B. Simmons)
9:06.0,Milwaukee full timeout,,82-94,,
9:06.0,,,82-94,,D. Saric enters the game for T. Booker
9:06.0,S. Brown enters the game for M. Dellavedova,,82-94,,
9:06.0,J. Henson enters the game for M. Plumlee,,82-94,,
8:58.0,T. Snell misses 2-pt shot from 2 ft (block by A. Johnson),,82-94,,
8:58.0,Offensive rebound by T. Snell,,82-94,,
8:58.0,,,82-94,,Personal foul by D. Saric (drawn by T. Snell)
8:42.0,Turnover by Team (shot clock),,82-94,,
8:41.0,E. Bledsoe misses 3-pt shot from 23 ft,,82-94,,
8:41.0,Offensive rebound by Team,,82-94,,
8:26.0,,,82-97,3,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by B. Simmons)
8:06.0,,,82-97,,Personal foul by B. Simmons (drawn by K. Middleton)
8:06.0,,,82-97,,T. McConnell enters the game for R. Covington
8:01.0,S. Brown makes 3-pt shot from 27 ft (assist by K. Middleton),3,85-97,,
7:44.0,,,85-97,,B. Simmons misses 2-pt shot from 14 ft
7:41.0,Defensive rebound by K. Middleton,,85-97,,
7:35.0,K. Middleton makes 2-pt shot from 17 ft,2,87-97,,
7:34.0,,,87-97,,Philadelphia full timeout
7:16.0,,,87-97,,Turnover by D. Saric (lost ball; steal by E. Bledsoe)
7:03.0,K. Middleton makes 2-pt shot from 14 ft,2,89-97,,
6:49.0,,,89-99,2,T. McConnell makes 2-pt shot from 15 ft (assist by A. Johnson)
6:32.0,K. Middleton misses 3-pt shot from 26 ft,,89-99,,
6:29.0,,,89-99,,Defensive rebound by T. Luwawu-Cabarrot
6:19.0,,,89-101,2,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by A. Johnson)
5:54.0,T. Snell misses 3-pt shot from 24 ft,,89-101,,
5:51.0,,,89-101,,Defensive rebound by D. Saric
