time,Atlanta,pts.away,score,pts.home,Detroit
1:47.0,I. Taylor enters the game for K. Bazemore,,16-21,,
1:38.0,I. Taylor misses 2-pt shot from 5 ft,,16-21,,
1:35.0,,,16-21,,Defensive rebound by I. Smith
1:34.0,,,16-24,3,T. Harris makes 3-pt shot from 25 ft (assist by I. Smith)
1:08.0,J. Collins makes 2-pt shot from 12 ft (assist by L. Babbitt),2,18-24,,
0:53.0,,,18-26,2,A. Bradley makes 2-pt shot from 1 ft (assist by A. Drummond)
0:39.0,L. Babbitt makes 2-pt shot from 9 ft (assist by T. Waller-Prince),2,20-26,,
0:30.0,,,20-26,,Turnover by A. Drummond (bad pass; steal by L. Babbitt)
0:22.0,T. Waller-Prince makes 2-pt shot from 1 ft (assist by M. Belinelli),2,22-26,,
0:02.0,,,22-26,,I. Smith misses 2-pt shot from 14 ft
0:02.0,Defensive rebound by L. Babbitt,,22-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,M. Belinelli misses 3-pt shot from 28 ft,,22-26,,
11:35.0,,,22-26,,Defensive rebound by I. Smith
11:30.0,,,22-26,,I. Smith misses 2-pt shot from 10 ft (block by I. Taylor)
11:28.0,Defensive rebound by M. Delaney,,22-26,,
11:25.0,,,22-26,,Personal foul by I. Smith (drawn by M. Belinelli)
11:24.0,J. Collins misses 2-pt shot from 4 ft (block by E. Moreland),,22-26,,
11:24.0,,,22-26,,Defensive rebound by A. Tolliver
11:16.0,,,22-26,,A. Tolliver misses 3-pt shot from 24 ft
11:16.0,Defensive rebound by L. Babbitt,,22-26,,
10:58.0,J. Collins misses 2-pt shot from 16 ft,,22-26,,
10:58.0,,,22-26,,Defensive rebound by L. Kennard
10:43.0,,,22-26,,L. Galloway misses 2-pt shot from 19 ft
10:41.0,Defensive rebound by J. Collins,,22-26,,
10:27.0,Turnover by J. Collins (bad pass; steal by I. Smith),,22-26,,
10:14.0,,,22-26,,L. Kennard misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by L. Babbitt,,22-26,,
10:03.0,Shooting foul by I. Smith (drawn by I. Taylor),,22-26,,
10:03.0,I. Taylor misses free throw 1 of 2,,22-26,,
10:03.0,Offensive rebound by Team,,22-26,,
10:03.0,T. Cavanaugh enters the game for J. Collins,,22-26,,
10:03.0,I. Taylor makes free throw 2 of 2,1,23-26,,
9:53.0,,,23-26,,L. Galloway misses 3-pt shot from 24 ft
9:51.0,Defensive rebound by M. Belinelli,,23-26,,
9:42.0,M. Belinelli makes 2-pt shot from 11 ft (assist by I. Taylor),2,25-26,,
9:27.0,,,25-26,,L. Galloway misses 2-pt shot from 4 ft
9:25.0,Defensive rebound by T. Cavanaugh,,25-26,,
9:19.0,T. Cavanaugh misses 3-pt shot from 26 ft,,25-26,,
9:16.0,,,25-26,,Defensive rebound by E. Moreland
9:12.0,,,25-28,2,I. Smith makes 2-pt shot at rim
9:11.0,Atlanta full timeout,,25-28,,
9:11.0,D. Dedmon enters the game for T. Cavanaugh,,25-28,,
9:06.0,Turnover by L. Babbitt (bad pass; steal by L. Galloway),,25-28,,
9:03.0,,,25-30,2,I. Smith makes 2-pt shot from 1 ft (assist by L. Kennard)
8:51.0,Shooting foul by E. Moreland (drawn by I. Taylor),,25-30,,
8:51.0,I. Taylor makes free throw 1 of 2,1,26-30,,
8:51.0,I. Taylor makes free throw 2 of 2,1,27-30,,
8:36.0,,,27-30,,Turnover by L. Kennard (bad pass; steal by M. Belinelli)
8:23.0,M. Belinelli makes 2-pt shot from 15 ft (assist by D. Dedmon),2,29-30,,
8:06.0,,,29-32,2,E. Moreland makes 2-pt shot from 1 ft (assist by I. Smith)
7:52.0,Offensive charge foul by L. Babbitt (drawn by E. Moreland),,29-32,,
7:52.0,Turnover by L. Babbitt (offensive foul),,29-32,,
7:52.0,D. Schroder enters the game for M. Belinelli,,29-32,,
7:33.0,,,29-32,,L. Galloway misses 3-pt shot from 23 ft
7:31.0,Defensive rebound by D. Dedmon,,29-32,,
7:20.0,Turnover by D. Schroder (bad pass; steal by L. Kennard),,29-32,,
7:14.0,,,29-32,,L. Kennard misses 3-pt shot from 25 ft
7:09.0,,,29-32,,Offensive rebound by E. Moreland
6:59.0,,,29-32,,A. Tolliver misses 2-pt shot from 3 ft
6:56.0,Defensive rebound by L. Babbitt,,29-32,,
6:50.0,D. Dedmon makes 2-pt shot from 19 ft (assist by M. Delaney),2,31-32,,
6:30.0,,,31-34,2,L. Kennard makes 2-pt shot from 1 ft (assist by E. Moreland)
6:19.0,L. Babbitt misses 3-pt shot from 26 ft,,31-34,,
6:17.0,,,31-34,,Defensive rebound by L. Kennard
6:10.0,,,31-34,,I. Smith misses 3-pt shot from 23 ft
6:10.0,Defensive rebound by D. Schroder,,31-34,,
6:02.0,Shooting foul by I. Smith (drawn by D. Schroder),,31-34,,
6:02.0,D. Schroder makes free throw 1 of 2,1,32-34,,
6:02.0,,,32-34,,A. Drummond enters the game for L. Galloway
6:02.0,,,32-34,,R. Jackson enters the game for I. Smith
6:02.0,,,32-34,,A. Bradley enters the game for E. Moreland
6:02.0,K. Bazemore enters the game for L. Babbitt,,32-34,,
6:02.0,D. Schroder misses free throw 2 of 2,,32-34,,
5:59.0,,,32-34,,Defensive rebound by A. Tolliver
5:43.0,,,32-36,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
5:24.0,M. Delaney misses 3-pt shot from 22 ft,,32-36,,
5:24.0,,,32-36,,Defensive rebound by A. Drummond
5:12.0,,,32-38,2,R. Jackson makes 2-pt shot at rim
4:58.0,D. Schroder misses 2-pt shot from 2 ft,,32-38,,
4:55.0,,,32-38,,Defensive rebound by A. Drummond
4:50.0,,,32-38,,Shooting foul by I. Taylor (drawn by A. Tolliver)
4:50.0,,,32-39,1,A. Tolliver makes free throw 1 of 2
4:50.0,,,32-39,,R. Bullock enters the game for L. Kennard
4:50.0,T. Waller-Prince enters the game for I. Taylor,,32-39,,
4:50.0,,,32-39,,A. Tolliver misses free throw 2 of 2
4:48.0,Defensive rebound by D. Dedmon,,32-39,,
4:36.0,D. Dedmon makes 2-pt shot from 17 ft (assist by K. Bazemore),2,34-39,,
4:19.0,,,34-41,2,R. Jackson makes 2-pt shot from 8 ft
3:54.0,Turnover by D. Schroder (bad pass; steal by R. Bullock),,34-41,,
3:50.0,,,34-43,2,A. Bradley makes 2-pt shot at rim (assist by R. Jackson)
3:32.0,D. Dedmon makes 2-pt shot from 12 ft (assist by D. Schroder),2,36-43,,
3:16.0,,,36-43,,T. Harris enters the game for A. Tolliver
3:16.0,M. Belinelli enters the game for M. Delaney,,36-43,,
3:11.0,,,36-45,2,A. Bradley makes 2-pt shot from 15 ft (assist by R. Jackson)
2:45.0,,,36-45,,Detroit full timeout
2:42.0,Turnover by Team (shot clock),,36-45,,
2:34.0,,,36-47,2,T. Harris makes 2-pt shot from 3 ft
2:17.0,K. Bazemore misses 2-pt shot from 1 ft,,36-47,,
2:15.0,,,36-47,,Defensive rebound by R. Jackson
2:08.0,,,36-50,3,R. Bullock makes 3-pt shot from 22 ft (assist by R. Jackson)
1:49.0,M. Belinelli misses 2-pt shot from 17 ft,,36-50,,
1:45.0,,,36-50,,Defensive rebound by T. Harris
1:38.0,Personal foul by K. Bazemore (drawn by R. Jackson),,36-50,,
1:38.0,L. Babbitt enters the game for K. Bazemore,,36-50,,
1:33.0,,,36-50,,R. Jackson misses 2-pt shot from 2 ft
1:26.0,,,36-50,,Offensive rebound by A. Drummond
1:26.0,,,36-52,2,A. Drummond makes 2-pt shot at rim
1:25.0,Turnover by D. Dedmon (offensive goaltending),,36-52,,
1:17.0,,,36-55,3,R. Bullock makes 3-pt shot from 25 ft (assist by A. Drummond)
0:54.0,D. Dedmon makes 3-pt shot from 23 ft (assist by D. Schroder),3,39-55,,
0:43.0,,,39-55,,Offensive charge foul by T. Harris (drawn by D. Dedmon)
0:43.0,,,39-55,,Turnover by T. Harris (offensive foul)
0:43.0,,,39-55,,A. Tolliver enters the game for T. Harris
0:30.0,Turnover by T. Waller-Prince (traveling),,39-55,,
0:19.0,,,39-57,2,A. Bradley makes 2-pt shot from 19 ft (assist by A. Drummond)
0:06.0,D. Dedmon makes 2-pt shot from 7 ft (assist by D. Schroder),2,41-57,,
0:00.0,,,41-57,,R. Jackson misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by D. Dedmon,,41-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,D. Schroder makes 2-pt shot at rim (assist by K. Bazemore),2,43-57,,
11:33.0,,,43-57,,R. Bullock misses 3-pt shot from 26 ft
11:30.0,Defensive rebound by L. Babbitt,,43-57,,
11:20.0,D. Schroder misses 2-pt shot from 1 ft (block by R. Bullock),,43-57,,
11:18.0,,,43-57,,Defensive rebound by T. Harris
11:12.0,,,43-57,,T. Harris misses 2-pt shot from 13 ft
11:09.0,,,43-57,,Offensive rebound by T. Harris
11:07.0,,,43-57,,T. Harris misses 2-pt shot from 4 ft (block by D. Dedmon)
11:07.0,Defensive rebound by D. Dedmon,,43-57,,
10:54.0,T. Waller-Prince misses 3-pt shot from 28 ft,,43-57,,
10:48.0,,,43-57,,Defensive rebound by A. Bradley
10:46.0,,,43-57,,Shooting foul by D. Schroder (drawn by A. Bradley)
10:46.0,,,43-58,1,A. Bradley makes free throw 1 of 2
10:46.0,J. Collins enters the game for D. Dedmon,,43-58,,
10:46.0,,,43-59,1,A. Bradley makes free throw 2 of 2
10:37.0,L. Babbitt makes 3-pt shot from 24 ft (assist by J. Collins),3,46-59,,
10:15.0,,,46-59,,Turnover by A. Bradley (bad pass; steal by L. Babbitt)
10:12.0,,,46-59,,Personal foul by R. Bullock (drawn by J. Collins)
10:07.0,D. Schroder makes 2-pt shot from 18 ft,2,48-59,,
9:49.0,,,48-59,,A. Bradley misses 2-pt shot from 1 ft (block by T. Waller-Prince)
9:49.0,Defensive rebound by J. Collins,,48-59,,
9:40.0,Turnover by K. Bazemore (bad pass; steal by A. Bradley),,48-59,,
9:35.0,,,48-59,,A. Bradley misses 2-pt shot from 4 ft (block by K. Bazemore)
9:31.0,,,48-59,,Offensive rebound by T. Harris
9:29.0,,,48-59,,R. Jackson misses 3-pt shot from 23 ft
9:18.0,,,48-59,,Offensive rebound by A. Drummond
9:18.0,,,48-61,2,A. Drummond makes 2-pt shot at rim
9:05.0,J. Collins misses 2-pt shot from 10 ft,,48-61,,
9:03.0,,,48-61,,Defensive rebound by T. Harris
8:50.0,,,48-61,,R. Jackson misses 2-pt shot from 8 ft
8:46.0,Defensive rebound by L. Babbitt,,48-61,,
8:36.0,J. Collins makes 2-pt shot at rim (assist by L. Babbitt),2,50-61,,
8:23.0,,,50-61,,Detroit full timeout
8:12.0,,,50-61,,Turnover by R. Jackson (bad pass; steal by D. Schroder)
8:09.0,J. Collins makes 2-pt shot from 1 ft (assist by D. Schroder),2,52-61,,
7:57.0,,,52-61,,A. Bradley misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by L. Babbitt,,52-61,,
7:49.0,K. Bazemore misses 2-pt shot from 1 ft,,52-61,,
7:49.0,,,52-61,,Defensive rebound by A. Drummond
7:42.0,,,52-61,,T. Harris misses 3-pt shot from 28 ft
7:37.0,Defensive rebound by J. Collins,,52-61,,
7:30.0,D. Schroder makes 2-pt shot from 1 ft,2,54-61,,
7:16.0,,,54-64,3,T. Harris makes 3-pt shot from 26 ft (assist by R. Bullock)
6:52.0,J. Collins misses 2-pt shot from 1 ft,,54-64,,
6:51.0,,,54-64,,Defensive rebound by A. Drummond
6:47.0,,,54-64,,A. Bradley misses 2-pt shot from 1 ft
6:46.0,Defensive rebound by T. Waller-Prince,,54-64,,
6:43.0,,,54-64,,Personal foul by R. Bullock (drawn by J. Collins)
6:43.0,M. Belinelli enters the game for L. Babbitt,,54-64,,
6:38.0,M. Belinelli misses 2-pt shot from 17 ft,,54-64,,
6:35.0,,,54-64,,Defensive rebound by T. Harris
6:27.0,,,54-64,,A. Bradley misses 3-pt shot from 23 ft
6:23.0,Defensive rebound by J. Collins,,54-64,,
6:15.0,D. Schroder misses 3-pt shot from 24 ft,,54-64,,
6:11.0,,,54-64,,Defensive rebound by A. Drummond
6:04.0,,,54-64,,T. Harris misses 2-pt shot from 6 ft (block by J. Collins)
6:02.0,Defensive rebound by K. Bazemore,,54-64,,
5:55.0,,,54-64,,Personal foul by A. Bradley (drawn by D. Schroder)
5:47.0,M. Belinelli makes 3-pt shot from 25 ft (assist by D. Schroder),3,57-64,,
5:29.0,,,57-64,,Turnover by A. Drummond (lost ball; steal by K. Bazemore)
5:26.0,,,57-64,,L. Kennard enters the game for R. Bullock
5:15.0,K. Bazemore makes 2-pt shot from 2 ft,2,59-64,,
5:08.0,,,59-64,,Detroit full timeout
5:08.0,,,59-64,,I. Smith enters the game for R. Jackson
4:49.0,,,59-64,,A. Bradley misses 2-pt shot from 19 ft
4:47.0,,,59-64,,Offensive rebound by A. Drummond
4:47.0,Personal foul by J. Collins (drawn by A. Drummond),,59-64,,
4:36.0,,,59-66,2,I. Smith makes 2-pt shot from 9 ft (assist by A. Drummond)
4:36.0,,,59-66,,Loose ball foul by A. Drummond (drawn by J. Collins)
4:24.0,D. Schroder misses 2-pt shot from 17 ft,,59-66,,
4:19.0,,,59-66,,Defensive rebound by I. Smith
4:14.0,,,59-69,3,T. Harris makes 3-pt shot from 25 ft (assist by I. Smith)
3:47.0,T. Waller-Prince misses 3-pt shot from 23 ft,,59-69,,
3:44.0,Offensive rebound by J. Collins,,59-69,,
3:43.0,J. Collins makes 2-pt shot from 1 ft,2,61-69,,
3:31.0,,,61-69,,Turnover by T. Harris (traveling)
3:31.0,L. Babbitt enters the game for K. Bazemore,,61-69,,
3:15.0,T. Waller-Prince misses 2-pt shot from 10 ft,,61-69,,
3:12.0,,,61-69,,Defensive rebound by A. Drummond
3:04.0,,,61-69,,A. Drummond misses 2-pt shot from 4 ft
3:02.0,Defensive rebound by J. Collins,,61-69,,
2:54.0,M. Belinelli misses 3-pt shot from 24 ft,,61-69,,
2:51.0,,,61-69,,Defensive rebound by A. Bradley
2:45.0,,,61-69,,Shooting foul by J. Collins (drawn by I. Smith)
2:45.0,,,61-70,1,I. Smith makes free throw 1 of 2
2:45.0,I. Taylor enters the game for D. Schroder,,61-70,,
2:45.0,,,61-70,,L. Galloway enters the game for A. Bradley
2:45.0,,,61-71,1,I. Smith makes free throw 2 of 2
2:29.0,L. Babbitt makes 2-pt shot from 15 ft,2,63-71,,
2:09.0,,,63-71,,Turnover by I. Smith (bad pass; steal by T. Waller-Prince)
2:05.0,M. Belinelli misses 2-pt shot from 3 ft,,63-71,,
2:01.0,Offensive rebound by T. Waller-Prince,,63-71,,
2:01.0,T. Waller-Prince makes 2-pt shot from 1 ft,2,65-71,,
1:38.0,,,65-74,3,I. Smith makes 3-pt shot from 25 ft (assist by T. Harris)
1:13.0,T. Waller-Prince misses 2-pt shot from 1 ft (block by L. Galloway),,65-74,,
1:12.0,T. Waller-Prince misses 2-pt shot at rim,,65-74,,
1:12.0,Offensive rebound by T. Waller-Prince,,65-74,,
1:11.0,Offensive rebound by T. Waller-Prince,,65-74,,
1:11.0,T. Waller-Prince misses 2-pt shot at rim,,65-74,,
1:11.0,,,65-74,,Defensive rebound by Team
1:11.0,Personal foul by J. Collins (drawn by A. Drummond),,65-74,,
1:11.0,,,65-74,,A. Tolliver enters the game for T. Harris
0:53.0,,,65-74,,A. Drummond misses 2-pt shot from 9 ft
0:52.0,,,65-74,,Offensive rebound by A. Tolliver
0:52.0,,,65-74,,Shooting foul by L. Babbitt (drawn by A. Tolliver)
0:52.0,,,65-75,1,A. Tolliver makes free throw 1 of 2
0:52.0,K. Bazemore enters the game for L. Babbitt,,65-75,,
0:52.0,M. Delaney enters the game for T. Waller-Prince,,65-75,,
0:52.0,,,65-76,1,A. Tolliver makes free throw 2 of 2
0:36.0,M. Belinelli makes 2-pt shot from 1 ft,2,67-76,,
0:18.0,,,67-76,,L. Kennard misses 2-pt shot from 14 ft
0:13.0,Defensive rebound by M. Delaney,,67-76,,
0:01.0,Shooting foul by I. Smith (drawn by K. Bazemore),,67-76,,
0:01.0,K. Bazemore makes free throw 1 of 2,1,68-76,,
0:01.0,T. Cavanaugh enters the game for J. Collins,,68-76,,
0:01.0,K. Bazemore makes free throw 2 of 2,1,69-76,,
0:01.0,,,69-76,,Turnover by A. Tolliver (bad pass; steal by M. Belinelli)
0:00.0,M. Belinelli misses 3-pt shot from 30 ft,,69-76,,
0:00.0,Offensive rebound by Team,,69-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,69-79,3,L. Galloway makes 3-pt shot from 26 ft (assist by I. Smith)
11:33.0,J. Collins makes 2-pt shot at rim (assist by I. Taylor),2,71-79,,
11:19.0,,,71-79,,A. Tolliver misses 3-pt shot from 27 ft
11:14.0,Defensive rebound by J. Collins,,71-79,,
11:05.0,J. Collins misses 2-pt shot from 5 ft,,71-79,,
11:03.0,,,71-79,,Defensive rebound by E. Moreland
10:57.0,,,71-81,2,I. Smith makes 2-pt shot from 19 ft (assist by L. Kennard)
10:40.0,M. Belinelli makes 3-pt shot from 27 ft (assist by M. Delaney),3,74-81,,
10:29.0,,,74-81,,Personal foul by A. Tolliver (drawn by M. Delaney)
10:29.0,,,74-81,,Turnover by A. Tolliver (turnover)
10:17.0,M. Belinelli misses 2-pt shot from 4 ft,,74-81,,
10:12.0,Offensive rebound by J. Collins,,74-81,,
10:12.0,J. Collins makes 2-pt shot at rim,2,76-81,,
10:02.0,,,76-81,,A. Tolliver misses 3-pt shot from 27 ft
10:02.0,,,76-81,,Offensive rebound by E. Moreland
10:02.0,Loose ball foul by M. Belinelli (drawn by E. Moreland),,76-81,,
9:51.0,,,76-83,2,A. Tolliver makes 2-pt shot at rim (assist by I. Smith)
9:43.0,L. Babbitt enters the game for J. Collins,,76-83,,
9:30.0,M. Belinelli misses 3-pt shot from 24 ft,,76-83,,
9:28.0,,,76-83,,Defensive rebound by L. Galloway
9:22.0,,,76-85,2,I. Smith makes 2-pt shot from 18 ft
9:01.0,Turnover by D. Dedmon (bad pass),,76-85,,
9:01.0,D. Schroder enters the game for I. Taylor,,76-85,,
8:48.0,,,76-87,2,I. Smith makes 2-pt shot from 1 ft
8:38.0,D. Schroder makes 2-pt shot from 6 ft,2,78-87,,
8:18.0,Personal foul by D. Dedmon (drawn by I. Smith),,78-87,,
8:18.0,K. Bazemore enters the game for M. Belinelli,,78-87,,
8:11.0,,,78-87,,Turnover by A. Tolliver (lost ball; steal by K. Bazemore)
8:07.0,D. Schroder makes 2-pt shot from 1 ft (assist by K. Bazemore),2,80-87,,
7:41.0,,,80-87,,Shooting foul by M. Delaney (drawn by L. Galloway)
7:41.0,,,80-88,1,L. Galloway makes free throw 1 of 2
7:41.0,,,80-88,,A. Drummond enters the game for L. Kennard
7:41.0,,,80-88,,R. Bullock enters the game for E. Moreland
7:41.0,,,80-89,1,L. Galloway makes free throw 2 of 2
7:26.0,D. Dedmon misses 2-pt shot from 3 ft,,80-89,,
7:26.0,Offensive rebound by D. Dedmon,,80-89,,
7:26.0,,,80-89,,Personal foul by R. Bullock (drawn by D. Dedmon)
7:26.0,,,80-89,,A. Bradley enters the game for L. Galloway
7:20.0,D. Schroder misses 2-pt shot from 3 ft,,80-89,,
7:16.0,Offensive rebound by D. Dedmon,,80-89,,
7:15.0,D. Dedmon makes 2-pt shot at rim,2,82-89,,
6:54.0,,,82-89,,A. Drummond misses 2-pt shot from 2 ft
6:52.0,Defensive rebound by M. Delaney,,82-89,,
6:34.0,K. Bazemore makes 2-pt shot from 19 ft,2,84-89,,
6:13.0,,,84-89,,Shooting foul by D. Dedmon (drawn by A. Bradley)
6:13.0,,,84-89,,Detroit full timeout
6:13.0,,,84-89,,T. Harris enters the game for I. Smith
6:13.0,,,84-89,,R. Jackson enters the game for A. Tolliver
6:13.0,T. Waller-Prince enters the game for M. Delaney,,84-89,,
6:13.0,,,84-90,1,A. Bradley makes free throw 1 of 2
6:13.0,,,84-91,1,A. Bradley makes free throw 2 of 2
5:59.0,Turnover by D. Dedmon (bad pass; steal by R. Jackson),,84-91,,
5:54.0,,,84-91,,A. Bradley misses 2-pt shot from 3 ft
5:54.0,,,84-91,,Offensive rebound by Team
5:35.0,,,84-91,,Turnover by A. Drummond (bad pass)
5:27.0,,,84-91,,Personal foul by R. Bullock (drawn by D. Schroder)
5:21.0,T. Waller-Prince makes 2-pt shot from 1 ft,2,86-91,,
5:09.0,,,86-93,2,R. Jackson makes 2-pt shot from 8 ft
5:09.0,,,86-93,,Shooting foul by K. Bazemore (drawn by R. Jackson)
5:09.0,J. Collins enters the game for L. Babbitt,,86-93,,
5:09.0,M. Belinelli enters the game for D. Dedmon,,86-93,,
