time,New York,pts.away,score,pts.home,Philadelphia
4:55.0,Defensive rebound by E. Mudiay,,11-18,,
4:52.0,K. O'Quinn makes 2-pt shot from 2 ft (assist by E. Mudiay),2,13-18,,
4:40.0,,,13-18,,Turnover by A. Johnson (bad pass)
4:29.0,,,13-18,,Personal foul by T. McConnell (drawn by E. Mudiay)
4:29.0,,,13-18,,J. Anderson enters the game for R. Covington
4:21.0,M. Beasley misses 3-pt shot from 25 ft,,13-18,,
4:16.0,,,13-18,,Defensive rebound by T. McConnell
4:05.0,,,13-18,,T. Booker enters the game for D. Saric
4:03.0,,,13-18,,J. Anderson misses 2-pt shot from 10 ft
4:00.0,Defensive rebound by K. O'Quinn,,13-18,,
3:49.0,F. Ntilikina misses 2-pt shot from 18 ft,,13-18,,
3:46.0,,,13-18,,Defensive rebound by B. Simmons
3:30.0,,,13-18,,T. McConnell misses 2-pt shot from 10 ft
3:27.0,Defensive rebound by K. O'Quinn,,13-18,,
3:23.0,Turnover by F. Ntilikina (bad pass; steal by T. McConnell),,13-18,,
3:18.0,,,13-20,2,J. Anderson makes 2-pt shot at rim (assist by T. McConnell)
2:58.0,K. O'Quinn misses 2-pt shot from 4 ft,,13-20,,
2:56.0,,,13-20,,Defensive rebound by T. Booker
2:52.0,,,13-22,2,T. Booker makes 2-pt shot from 4 ft (assist by B. Simmons)
2:36.0,C. Lee misses 2-pt shot from 16 ft,,13-22,,
2:34.0,,,13-22,,Defensive rebound by T. McConnell
2:18.0,,,13-24,2,T. McConnell makes 2-pt shot from 15 ft (assist by T. Booker)
1:54.0,M. Beasley makes 3-pt shot from 23 ft (assist by E. Mudiay),3,16-24,,
1:41.0,,,16-24,,Shooting foul by C. Lee (drawn by J. Anderson)
1:41.0,,,16-24,,J. Anderson misses free throw 1 of 2
1:41.0,,,16-24,,Offensive rebound by Team
1:41.0,,,16-24,,J. Embiid enters the game for A. Johnson
1:41.0,,,16-24,,J. Redick enters the game for B. Simmons
1:41.0,E. Kanter enters the game for K. O'Quinn,,16-24,,
1:41.0,,,16-25,1,J. Anderson makes free throw 2 of 2
1:23.0,C. Lee makes 3-pt shot from 23 ft (assist by M. Beasley),3,19-25,,
1:11.0,Personal foul by F. Ntilikina (drawn by J. Embiid),,19-25,,
1:11.0,,,19-26,1,J. Embiid makes free throw 1 of 2
1:11.0,,,19-27,1,J. Embiid makes free throw 2 of 2
0:54.0,E. Kanter makes 2-pt shot from 2 ft,2,21-27,,
0:46.0,,,21-29,2,J. Redick makes 2-pt shot from 16 ft (assist by J. Embiid)
0:37.0,E. Mudiay misses 3-pt shot from 26 ft,,21-29,,
0:34.0,,,21-29,,Defensive rebound by T. McConnell
0:20.0,Personal foul by E. Mudiay (drawn by J. Redick),,21-29,,
0:20.0,,,21-30,1,J. Redick makes free throw 1 of 2
0:20.0,,,21-31,1,J. Redick makes free throw 2 of 2
0:01.0,F. Ntilikina misses 3-pt shot from 26 ft,,21-31,,
0:01.0,Offensive rebound by Team,,21-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Turnover by E. Mudiay (bad pass),,21-31,,
11:39.0,,,21-31,,Shooting foul by I. Hicks (drawn by J. Embiid)
11:39.0,,,21-32,1,J. Embiid makes free throw 1 of 2
11:39.0,,,21-32,,J. Embiid misses free throw 2 of 2
11:37.0,Defensive rebound by I. Hicks,,21-32,,
11:21.0,,,21-32,,Violation by T. Booker (kicked ball)
11:09.0,E. Kanter makes 2-pt shot from 8 ft,2,23-32,,
11:01.0,,,23-35,3,J. Redick makes 3-pt shot from 27 ft (assist by J. Embiid)
10:44.0,C. Lee makes 3-pt shot from 24 ft (assist by T. Hardaway),3,26-35,,
10:18.0,,,26-35,,R. Covington misses 2-pt shot from 8 ft
10:15.0,Defensive rebound by E. Kanter,,26-35,,
10:11.0,Offensive foul by I. Hicks (drawn by R. Covington),,26-35,,
10:11.0,Turnover by I. Hicks (offensive foul),,26-35,,
10:11.0,,,26-35,,D. Saric enters the game for T. Booker
9:53.0,,,26-35,,Turnover by J. Redick (bad pass)
9:35.0,Shooting foul by J. Embiid (drawn by E. Kanter),,26-35,,
9:35.0,E. Kanter makes free throw 1 of 2,1,27-35,,
9:35.0,E. Kanter makes free throw 2 of 2,1,28-35,,
9:23.0,,,28-35,,J. Embiid misses 2-pt shot from 2 ft
9:20.0,Defensive rebound by E. Mudiay,,28-35,,
9:15.0,C. Lee makes 3-pt shot from 23 ft (assist by I. Hicks),3,31-35,,
9:04.0,,,31-37,2,D. Saric makes 2-pt shot from 6 ft
9:04.0,,,31-37,,Shooting foul by I. Hicks (drawn by D. Saric)
9:04.0,,,31-38,1,D. Saric makes free throw 1 of 1
8:51.0,E. Mudiay makes 2-pt shot from 8 ft,2,33-38,,
8:36.0,,,33-38,,Turnover by J. Embiid (out of bounds lost ball)
8:36.0,,,33-38,,A. Johnson enters the game for J. Embiid
8:16.0,T. Hardaway makes 2-pt shot from 17 ft (assist by E. Kanter),2,35-38,,
8:03.0,,,35-40,2,J. Redick makes 2-pt shot from 20 ft (assist by T. McConnell)
7:48.0,E. Mudiay misses 2-pt shot from 3 ft,,35-40,,
7:46.0,,,35-40,,Defensive rebound by R. Covington
7:44.0,,,35-40,,Turnover by J. Redick (bad pass; steal by E. Mudiay)
7:39.0,E. Mudiay makes 2-pt shot from 4 ft,2,37-40,,
7:31.0,,,37-43,3,D. Saric makes 3-pt shot from 29 ft (assist by T. McConnell)
7:08.0,E. Mudiay misses 3-pt shot from 26 ft,,37-43,,
7:04.0,,,37-43,,Defensive rebound by D. Saric
6:56.0,,,37-43,,T. McConnell misses 2-pt shot from 7 ft
6:53.0,Defensive rebound by E. Kanter,,37-43,,
6:51.0,Turnover by E. Kanter (bad pass; steal by J. Redick),,37-43,,
6:49.0,,,37-46,3,J. Redick makes 3-pt shot from 25 ft
6:45.0,,,37-46,,Philadelphia full timeout
6:45.0,,,37-46,,B. Simmons enters the game for J. Redick
6:45.0,M. Beasley enters the game for E. Mudiay,,37-46,,
6:45.0,F. Ntilikina enters the game for I. Hicks,,37-46,,
6:32.0,,,37-46,,Personal foul by D. Saric (drawn by M. Beasley)
6:32.0,,,37-46,,J. Anderson enters the game for T. McConnell
6:17.0,C. Lee misses 2-pt shot from 14 ft,,37-46,,
6:17.0,Offensive rebound by Team,,37-46,,
6:17.0,,,37-46,,Loose ball foul by A. Johnson (drawn by E. Kanter)
6:11.0,T. Hardaway misses 2-pt shot from 2 ft,,37-46,,
6:09.0,Offensive rebound by T. Hardaway,,37-46,,
6:08.0,T. Hardaway makes 2-pt shot from 3 ft,2,39-46,,
5:49.0,,,39-46,,Turnover by A. Johnson (bad pass; steal by C. Lee)
5:47.0,Shooting foul by J. Anderson (drawn by C. Lee),,39-46,,
5:47.0,,,39-46,,T. McConnell enters the game for J. Anderson
5:47.0,C. Lee makes free throw 1 of 2,1,40-46,,
5:47.0,C. Lee makes free throw 2 of 2,1,41-46,,
5:34.0,,,41-46,,B. Simmons misses 2-pt shot from 5 ft
5:32.0,Defensive rebound by E. Kanter,,41-46,,
5:19.0,T. Hardaway makes 2-pt shot from 2 ft (assist by M. Beasley),2,43-46,,
4:51.0,,,43-46,,D. Saric misses 3-pt shot from 26 ft
4:51.0,Defensive rebound by Team,,43-46,,
4:35.0,T. Hardaway makes 2-pt shot from 18 ft,2,45-46,,
4:25.0,,,45-46,,Offensive foul by R. Covington (drawn by T. Hardaway)
4:25.0,,,45-46,,Turnover by R. Covington (offensive foul)
4:19.0,Turnover by F. Ntilikina (bad pass; steal by T. McConnell),,45-46,,
4:17.0,,,45-46,,Shooting foul by F. Ntilikina (drawn by B. Simmons)
4:17.0,,,45-46,,B. Simmons misses free throw 1 of 2
4:17.0,,,45-46,,Offensive rebound by Team
4:17.0,,,45-46,,J. Embiid enters the game for A. Johnson
4:17.0,,,45-47,1,B. Simmons makes free throw 2 of 2
3:59.0,T. Hardaway misses 3-pt shot from 27 ft,,45-47,,
3:57.0,,,45-47,,Defensive rebound by Team
3:57.0,,,45-47,,J. Redick enters the game for R. Covington
3:40.0,,,45-49,2,J. Embiid makes 2-pt shot from 7 ft
3:17.0,T. Hardaway misses 2-pt shot from 6 ft (block by B. Simmons),,45-49,,
3:17.0,Offensive rebound by Team,,45-49,,
3:17.0,New York full timeout,,45-49,,
3:14.0,M. Beasley misses 2-pt shot from 8 ft,,45-49,,
3:09.0,,,45-49,,Defensive rebound by B. Simmons
2:53.0,Personal foul by T. Hardaway (drawn by J. Embiid),,45-49,,
2:45.0,,,45-49,,B. Simmons misses 2-pt shot from 1 ft
2:43.0,Defensive rebound by C. Lee,,45-49,,
2:41.0,Shooting foul by D. Saric (drawn by M. Beasley),,45-49,,
2:41.0,M. Beasley makes free throw 1 of 2,1,46-49,,
2:41.0,M. Beasley makes free throw 2 of 2,1,47-49,,
2:18.0,,,47-51,2,J. Embiid makes 2-pt shot from 2 ft
2:06.0,Shooting foul by J. Embiid (drawn by C. Lee),,47-51,,
2:06.0,C. Lee makes free throw 1 of 2,1,48-51,,
2:06.0,,,48-51,,A. Johnson enters the game for J. Embiid
2:06.0,C. Lee makes free throw 2 of 2,1,49-51,,
1:46.0,Personal foul by M. Beasley (drawn by D. Saric),,49-51,,
1:46.0,,,49-52,1,D. Saric makes free throw 1 of 2
1:46.0,,,49-53,1,D. Saric makes free throw 2 of 2
1:32.0,M. Beasley makes 2-pt shot from 9 ft,2,51-53,,
1:16.0,,,51-55,2,T. McConnell makes 2-pt shot from 14 ft (assist by A. Johnson)
0:51.0,Turnover by M. Beasley (bad pass; steal by B. Simmons),,51-55,,
0:46.0,,,51-55,,Offensive charge foul by D. Saric (drawn by T. Hardaway)
0:46.0,,,51-55,,Turnover by D. Saric (offensive foul)
0:46.0,,,51-55,,T. Booker enters the game for D. Saric
0:31.0,T. Hardaway misses 3-pt shot from 23 ft,,51-55,,
0:31.0,Offensive rebound by Team,,51-55,,
0:31.0,,,51-55,,Loose ball foul by T. Booker (drawn by E. Kanter)
0:31.0,E. Kanter makes free throw 1 of 2,1,52-55,,
0:31.0,E. Kanter makes free throw 2 of 2,1,53-55,,
0:07.0,,,53-57,2,B. Simmons makes 2-pt shot from 2 ft (assist by T. McConnell)
0:03.0,C. Lee misses 3-pt shot from 29 ft,,53-57,,
0:01.0,Offensive rebound by E. Kanter,,53-57,,
0:01.0,Shooting foul by J. Redick (drawn by E. Kanter),,53-57,,
0:01.0,E. Kanter makes free throw 1 of 2,1,54-57,,
0:01.0,,,54-57,,R. Covington enters the game for T. McConnell
0:01.0,,,54-57,,J. Embiid enters the game for A. Johnson
0:01.0,K. O'Quinn enters the game for F. Ntilikina,,54-57,,
0:01.0,E. Kanter makes free throw 2 of 2,1,55-57,,
0:01.0,,,55-57,,Turnover by R. Covington (bad pass; steal by E. Kanter)
0:01.0,E. Kanter misses 2-pt shot from 21 ft,,55-57,,
0:01.0,Offensive rebound by Team,,55-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,E. Kanter misses 2-pt shot from 5 ft,,55-57,,
11:37.0,,,55-57,,Defensive rebound by J. Embiid
11:19.0,,,55-57,,J. Embiid misses 2-pt shot from 10 ft
11:16.0,Defensive rebound by E. Kanter,,55-57,,
11:07.0,E. Kanter misses 2-pt shot from 14 ft,,55-57,,
11:05.0,,,55-57,,Defensive rebound by D. Saric
10:44.0,,,55-59,2,J. Redick makes 2-pt shot from 18 ft
10:29.0,T. Hardaway misses 2-pt shot from 10 ft,,55-59,,
10:25.0,Offensive rebound by E. Kanter,,55-59,,
10:25.0,E. Kanter makes 2-pt shot at rim,2,57-59,,
10:13.0,,,57-61,2,J. Embiid makes 2-pt shot from 7 ft (assist by J. Redick)
9:52.0,M. Beasley misses 2-pt shot at rim,,57-61,,
9:52.0,Offensive rebound by Team,,57-61,,
9:52.0,,,57-61,,Loose ball foul by B. Simmons (drawn by E. Kanter)
9:42.0,J. Jack misses 2-pt shot from 15 ft,,57-61,,
9:37.0,,,57-61,,Defensive rebound by D. Saric
9:28.0,,,57-64,3,J. Embiid makes 3-pt shot from 26 ft (assist by B. Simmons)
9:11.0,T. Hardaway misses 3-pt shot from 26 ft,,57-64,,
9:09.0,,,57-64,,Defensive rebound by B. Simmons
8:46.0,,,57-64,,R. Covington misses 2-pt shot from 21 ft
8:42.0,Defensive rebound by L. Thomas,,57-64,,
8:37.0,E. Kanter misses 2-pt shot from 4 ft (block by R. Covington),,57-64,,
8:37.0,,,57-64,,Defensive rebound by Team
8:25.0,,,57-67,3,J. Redick makes 3-pt shot from 27 ft (assist by B. Simmons)
7:55.0,J. Jack makes 3-pt shot from 28 ft (assist by L. Thomas),3,60-67,,
7:34.0,,,60-69,2,D. Saric makes 2-pt shot from 15 ft
7:19.0,J. Jack makes 2-pt shot from 21 ft,2,62-69,,
7:14.0,,,62-69,,Turnover by B. Simmons (out of bounds lost ball)
7:14.0,,,62-69,,A. Johnson enters the game for J. Redick
7:14.0,,,62-69,,T. McConnell enters the game for J. Embiid
7:09.0,Shooting foul by T. McConnell (drawn by J. Jack),,62-69,,
7:09.0,J. Jack makes free throw 1 of 2,1,63-69,,
7:09.0,J. Jack makes free throw 2 of 2,1,64-69,,
6:51.0,,,64-71,2,B. Simmons makes 2-pt shot from 17 ft
6:36.0,Turnover by J. Jack (lost ball; steal by R. Covington),,64-71,,
6:31.0,,,64-73,2,B. Simmons makes 2-pt shot from 1 ft (assist by R. Covington)
6:31.0,New York full timeout,,64-73,,
6:17.0,M. Beasley makes 2-pt shot from 18 ft (assist by E. Kanter),2,66-73,,
5:58.0,Personal foul by T. Hardaway (drawn by R. Covington),,66-73,,
5:45.0,,,66-73,,R. Covington misses 2-pt shot from 20 ft
5:43.0,Defensive rebound by Team,,66-73,,
5:31.0,E. Kanter misses 2-pt shot from 3 ft (block by B. Simmons),,66-73,,
5:31.0,Offensive rebound by E. Kanter,,66-73,,
5:31.0,E. Kanter makes 2-pt shot from 3 ft,2,68-73,,
5:31.0,Shooting foul by A. Johnson (drawn by E. Kanter),,68-73,,
5:31.0,E. Kanter makes free throw 1 of 1,1,69-73,,
5:11.0,,,69-73,,D. Saric misses 2-pt shot from 4 ft (block by M. Beasley)
5:08.0,Defensive rebound by E. Kanter,,69-73,,
5:00.0,M. Beasley makes 2-pt shot from 3 ft (assist by T. Hardaway),2,71-73,,
5:00.0,,,71-73,,Philadelphia full timeout
5:00.0,C. Lee enters the game for T. Hardaway,,71-73,,
4:44.0,,,71-73,,Turnover by A. Johnson (turnover)
4:33.0,M. Beasley misses 2-pt shot from 1 ft (block by A. Johnson),,71-73,,
4:33.0,Offensive rebound by Team,,71-73,,
4:30.0,,,71-73,,Violation by D. Saric (kicked ball)
4:25.0,Offensive foul by M. Beasley (drawn by T. McConnell),,71-73,,
4:25.0,Turnover by M. Beasley (offensive foul),,71-73,,
4:25.0,E. Mudiay enters the game for J. Jack,,71-73,,
4:09.0,,,71-73,,A. Johnson misses 2-pt shot from 2 ft
4:07.0,Defensive rebound by E. Kanter,,71-73,,
3:57.0,E. Kanter makes 2-pt shot from 16 ft (assist by C. Lee),2,73-73,,
3:38.0,,,73-76,3,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons)
3:18.0,Turnover by M. Beasley (lost ball; steal by T. McConnell),,73-76,,
3:16.0,,,73-78,2,R. Covington makes 2-pt shot at rim (assist by T. McConnell)
3:16.0,,,73-78,,Shooting foul by E. Mudiay (drawn by R. Covington)
3:16.0,,,73-78,,J. Redick enters the game for A. Johnson
3:16.0,,,73-78,,J. Embiid enters the game for B. Simmons
3:16.0,T. Hardaway enters the game for L. Thomas,,73-78,,
3:16.0,,,73-78,,T. Booker enters the game for D. Saric
3:16.0,,,73-79,1,R. Covington makes free throw 1 of 1
2:54.0,T. Hardaway misses 3-pt shot from 27 ft,,73-79,,
2:52.0,,,73-79,,Defensive rebound by T. McConnell
2:46.0,,,73-79,,J. Redick misses 2-pt shot from 7 ft
2:43.0,Defensive rebound by E. Kanter,,73-79,,
2:35.0,C. Lee makes 2-pt shot from 1 ft (assist by T. Hardaway),2,75-79,,
2:14.0,,,75-81,2,J. Embiid makes 2-pt shot from 15 ft
2:02.0,Turnover by M. Beasley (bad pass; steal by T. McConnell),,75-81,,
1:58.0,,,75-83,2,R. Covington makes 2-pt shot from 2 ft (assist by T. McConnell)
1:56.0,,,75-83,,Technical foul by J. Embiid
1:56.0,C. Lee makes technical free throw,1,76-83,,
1:56.0,,,76-83,,T. Luwawu-Cabarrot enters the game for R. Covington
1:56.0,K. O'Quinn enters the game for E. Kanter,,76-83,,
1:43.0,Offensive foul by K. O'Quinn (drawn by T. McConnell),,76-83,,
1:43.0,Turnover by K. O'Quinn (offensive foul),,76-83,,
1:40.0,,,76-83,,Shooting foul by M. Beasley (drawn by J. Redick)
1:40.0,,,76-83,,J. Redick misses free throw 1 of 2
1:40.0,,,76-83,,Offensive rebound by Team
1:40.0,,,76-84,1,J. Redick makes free throw 2 of 2
1:25.0,Shooting foul by T. McConnell (drawn by E. Mudiay),,76-84,,
1:25.0,E. Mudiay misses free throw 1 of 2,,76-84,,
1:25.0,Offensive rebound by Team,,76-84,,
1:25.0,E. Kanter enters the game for M. Beasley,,76-84,,
1:25.0,E. Mudiay makes free throw 2 of 2,1,77-84,,
1:16.0,,,77-84,,J. Redick misses 3-pt shot from 26 ft
1:12.0,Defensive rebound by E. Kanter,,77-84,,
1:06.0,E. Mudiay misses 3-pt shot from 26 ft,,77-84,,
1:02.0,,,77-84,,Defensive rebound by J. Embiid
0:57.0,,,77-84,,Turnover by T. McConnell (bad pass)
0:48.0,T. Hardaway misses 3-pt shot from 26 ft,,77-84,,
0:45.0,,,77-84,,Defensive rebound by J. Redick
0:32.0,,,77-86,2,T. McConnell makes 2-pt shot from 13 ft (assist by T. Booker)
0:20.0,Shooting foul by T. McConnell (drawn by E. Mudiay),,77-86,,
0:20.0,E. Mudiay misses free throw 1 of 2,,77-86,,
0:20.0,Offensive rebound by Team,,77-86,,
0:20.0,E. Mudiay misses free throw 2 of 2,,77-86,,
0:18.0,,,77-86,,Defensive rebound by J. Embiid
0:04.0,,,77-86,,J. Redick misses 2-pt shot from 20 ft
0:00.0,Defensive rebound by E. Kanter,,77-86,,
0:00.0,,,77-86,,Personal foul by J. Redick (drawn by C. Lee)
0:00.0,C. Lee makes free throw 1 of 2,1,78-86,,
0:00.0,C. Lee makes free throw 2 of 2,1,79-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,79-86,,J. Redick misses 3-pt shot from 26 ft
11:44.0,Defensive rebound by Team,,79-86,,
11:26.0,K. O'Quinn misses 2-pt shot from 3 ft,,79-86,,
11:25.0,,,79-86,,Defensive rebound by J. Embiid
11:17.0,,,79-86,,J. Embiid misses 2-pt shot from 13 ft
11:15.0,Defensive rebound by E. Mudiay,,79-86,,
10:59.0,T. Hardaway misses 3-pt shot from 27 ft,,79-86,,
10:56.0,,,79-86,,Defensive rebound by T. McConnell
10:47.0,,,79-88,2,T. Booker makes 2-pt shot from 5 ft (assist by J. Redick)
10:47.0,,,79-88,,Shooting foul by K. O'Quinn (drawn by T. Booker)
10:47.0,,,79-89,1,T. Booker makes free throw 1 of 1
10:35.0,M. Beasley misses 2-pt shot from 20 ft,,79-89,,
10:32.0,,,79-89,,Defensive rebound by T. McConnell
10:12.0,,,79-89,,J. Embiid misses 2-pt shot from 4 ft
10:11.0,,,79-89,,Offensive rebound by J. Embiid
10:11.0,,,79-89,,R. Covington enters the game for J. Redick
10:08.0,,,79-89,,J. Embiid misses 2-pt shot from 21 ft
10:05.0,,,79-89,,Offensive rebound by T. McConnell
9:53.0,,,79-91,2,T. McConnell makes 2-pt shot from 1 ft
9:53.0,New York full timeout,,79-91,,
9:53.0,E. Kanter enters the game for E. Mudiay,,79-91,,
9:53.0,F. Ntilikina enters the game for T. Hardaway,,79-91,,
9:53.0,J. Jack enters the game for K. O'Quinn,,79-91,,
9:29.0,J. Jack misses 3-pt shot from 26 ft,,79-91,,
9:26.0,,,79-91,,Defensive rebound by T. Luwawu-Cabarrot
9:22.0,,,79-91,,Turnover by T. Luwawu-Cabarrot (bad pass)
9:10.0,Turnover by J. Jack (bad pass; steal by T. McConnell),,79-91,,
9:07.0,,,79-93,2,R. Covington makes 2-pt shot at rim (assist by T. McConnell)
9:07.0,,,79-93,,Shooting foul by F. Ntilikina (drawn by R. Covington)
9:07.0,,,79-93,,B. Simmons enters the game for T. Luwawu-Cabarrot
9:07.0,,,79-93,,A. Johnson enters the game for J. Embiid
9:07.0,,,79-93,,R. Covington misses free throw 1 of 1
9:05.0,Defensive rebound by M. Beasley,,79-93,,
8:45.0,C. Lee misses 2-pt shot from 19 ft,,79-93,,
8:42.0,,,79-93,,Defensive rebound by T. McConnell
8:34.0,,,79-93,,Shooting foul by F. Ntilikina (drawn by A. Johnson)
8:34.0,,,79-94,1,A. Johnson makes free throw 1 of 2
8:34.0,,,79-94,,D. Saric enters the game for T. Booker
8:34.0,,,79-94,,A. Johnson misses free throw 2 of 2
8:32.0,Defensive rebound by M. Beasley,,79-94,,
8:13.0,M. Beasley makes 3-pt shot from 27 ft (assist by E. Kanter),3,82-94,,
8:11.0,,,82-94,,Philadelphia full timeout
7:50.0,,,82-94,,T. McConnell misses 2-pt shot from 7 ft
7:47.0,,,82-94,,Offensive rebound by A. Johnson
7:36.0,,,82-94,,R. Covington misses 3-pt shot from 26 ft
7:33.0,Defensive rebound by C. Lee,,82-94,,
7:14.0,Turnover by C. Lee (traveling),,82-94,,
7:00.0,,,82-97,3,D. Saric makes 3-pt shot from 27 ft (assist by T. McConnell)
6:48.0,Shooting foul by D. Saric (drawn by J. Jack),,82-97,,
6:48.0,J. Jack makes free throw 1 of 2,1,83-97,,
6:48.0,J. Jack makes free throw 2 of 2,1,84-97,,
6:34.0,,,84-99,2,B. Simmons makes 2-pt shot from 1 ft
6:20.0,F. Ntilikina misses 2-pt shot from 17 ft,,84-99,,
6:12.0,Offensive rebound by M. Beasley,,84-99,,
6:12.0,M. Beasley makes 2-pt shot at rim,2,86-99,,
5:57.0,,,86-101,2,A. Johnson makes 2-pt shot from 1 ft (assist by T. McConnell)
5:40.0,,,86-101,,Personal foul by B. Simmons (drawn by E. Kanter)
5:40.0,T. Hardaway enters the game for C. Lee,,86-101,,
5:35.0,M. Beasley misses 2-pt shot from 3 ft,,86-101,,
5:32.0,,,86-101,,Defensive rebound by D. Saric
5:11.0,Personal foul by T. Hardaway (drawn by B. Simmons),,86-101,,
5:11.0,E. Mudiay enters the game for J. Jack,,86-101,,
5:06.0,,,86-101,,R. Covington misses 3-pt shot from 27 ft
5:00.0,Defensive rebound by E. Kanter,,86-101,,
