time,San Antonio,pts.away,score,pts.home,Orlando
8:33.0,Turnover by D. Green (bad pass),,24-40,,
8:21.0,,,24-40,,Shooting foul by B. Paul (drawn by B. Biyombo)
8:21.0,,,24-41,1,B. Biyombo makes free throw 1 of 2
8:21.0,,,24-41,,B. Biyombo misses free throw 2 of 2
8:18.0,Defensive rebound by P. Gasol,,24-41,,
8:05.0,P. Gasol misses 2-pt shot from 7 ft,,24-41,,
8:02.0,,,24-41,,Defensive rebound by B. Biyombo
7:56.0,,,24-43,2,S. Mack makes 2-pt shot from 1 ft
7:41.0,Shooting foul by T. Ross (drawn by D. Green),,24-43,,
7:41.0,D. Green misses free throw 1 of 2,,24-43,,
7:41.0,Offensive rebound by Team,,24-43,,
7:41.0,L. Aldridge enters the game for P. Gasol,,24-43,,
7:41.0,K. Anderson enters the game for D. Bertans,,24-43,,
7:41.0,D. Green makes free throw 2 of 2,1,25-43,,
7:29.0,,,25-43,,S. Mack misses 2-pt shot from 8 ft
7:26.0,Defensive rebound by L. Aldridge,,25-43,,
7:10.0,D. Murray misses 2-pt shot from 7 ft,,25-43,,
7:10.0,Offensive rebound by K. Anderson,,25-43,,
7:04.0,D. Green misses 3-pt shot from 25 ft,,25-43,,
7:04.0,,,25-43,,Defensive rebound by J. Isaac
6:57.0,,,25-45,2,J. Simmons makes 2-pt shot from 17 ft
6:42.0,Turnover by L. Aldridge (bad pass; steal by T. Ross),,25-45,,
6:42.0,,,25-45,,Turnover by T. Ross (bad pass; steal by D. Green)
6:31.0,D. Murray misses 2-pt shot from 5 ft (block by J. Isaac),,25-45,,
6:31.0,,,25-45,,Defensive rebound by T. Ross
6:26.0,,,25-45,,J. Simmons misses 2-pt shot from 2 ft (block by B. Paul)
6:26.0,Defensive rebound by D. Murray,,25-45,,
6:13.0,Turnover by D. Murray (bad pass; steal by J. Isaac),,25-45,,
6:10.0,,,25-47,2,S. Mack makes 2-pt shot at rim (assist by J. Isaac)
5:50.0,San Antonio full timeout,,25-47,,
5:50.0,,,25-47,,A. Gordon enters the game for S. Mack
5:50.0,,,25-47,,D. Augustin enters the game for J. Simmons
5:50.0,B. Forbes enters the game for D. Murray,,25-47,,
5:50.0,P. Mills enters the game for D. Green,,25-47,,
5:50.0,R. Gay enters the game for B. Paul,,25-47,,
5:42.0,L. Aldridge makes 2-pt shot from 7 ft,2,27-47,,
5:13.0,,,27-49,2,J. Isaac makes 2-pt shot from 12 ft
5:06.0,P. Mills misses 2-pt shot from 20 ft,,27-49,,
5:06.0,Offensive rebound by K. Anderson,,27-49,,
5:01.0,R. Gay makes 2-pt shot from 5 ft (assist by B. Forbes),2,29-49,,
4:44.0,,,29-49,,J. Isaac misses 3-pt shot from 25 ft
4:39.0,Defensive rebound by R. Gay,,29-49,,
4:24.0,P. Mills misses 2-pt shot at rim,,29-49,,
4:24.0,,,29-49,,Defensive rebound by B. Biyombo
4:18.0,,,29-52,3,A. Gordon makes 3-pt shot from 25 ft
3:59.0,L. Aldridge misses 2-pt shot from 17 ft,,29-52,,
3:56.0,,,29-52,,Defensive rebound by T. Ross
3:50.0,,,29-52,,J. Isaac misses 3-pt shot from 22 ft
3:43.0,,,29-52,,Offensive rebound by B. Biyombo
3:43.0,,,29-54,2,B. Biyombo makes 2-pt shot from 2 ft
3:28.0,B. Forbes misses 3-pt shot from 25 ft,,29-54,,
3:25.0,,,29-54,,Defensive rebound by B. Biyombo
3:11.0,,,29-54,,B. Biyombo misses 2-pt shot from 2 ft (block by R. Gay)
3:06.0,,,29-54,,Offensive rebound by J. Isaac
3:05.0,,,29-54,,J. Isaac misses 2-pt shot from 3 ft (block by R. Gay)
3:05.0,Defensive rebound by P. Mills,,29-54,,
3:01.0,B. Forbes misses 2-pt shot from 12 ft,,29-54,,
2:57.0,,,29-54,,Defensive rebound by B. Biyombo
2:50.0,,,29-54,,Offensive charge foul by B. Biyombo (drawn by P. Mills)
2:50.0,,,29-54,,Turnover by B. Biyombo (offensive foul)
2:50.0,,,29-54,,Orlando full timeout
2:50.0,,,29-54,,E. Fournier enters the game for J. Isaac
2:50.0,,,29-54,,N. Vucevic enters the game for B. Biyombo
2:50.0,,,29-54,,J. Simmons enters the game for T. Ross
2:33.0,P. Mills misses 3-pt shot from 25 ft,,29-54,,
2:30.0,Offensive rebound by B. Forbes,,29-54,,
2:27.0,K. Anderson makes 2-pt shot from 1 ft,2,31-54,,
2:12.0,,,31-56,2,E. Fournier makes 2-pt shot from 15 ft (assist by J. Simmons)
1:56.0,P. Mills misses 3-pt shot from 26 ft,,31-56,,
1:55.0,,,31-56,,Defensive rebound by Team
1:36.0,,,31-56,,N. Vucevic misses 2-pt shot from 12 ft
1:31.0,Defensive rebound by L. Aldridge,,31-56,,
1:27.0,R. Gay misses 3-pt shot from 26 ft,,31-56,,
1:23.0,Offensive rebound by R. Gay,,31-56,,
1:20.0,B. Forbes misses 3-pt shot from 24 ft,,31-56,,
1:17.0,,,31-56,,Defensive rebound by E. Fournier
1:06.0,,,31-56,,Turnover by E. Fournier (lost ball; steal by K. Anderson)
0:56.0,Turnover by P. Mills (bad pass; steal by D. Augustin),,31-56,,
0:53.0,,,31-58,2,D. Augustin makes 2-pt shot from 2 ft
0:39.0,B. Forbes makes 3-pt shot from 22 ft (assist by P. Mills),3,34-58,,
0:30.0,,,34-58,,J. Isaac enters the game for J. Simmons
0:21.0,,,34-61,3,N. Vucevic makes 3-pt shot from 25 ft (assist by D. Augustin)
0:11.0,,,34-61,,Personal foul by D. Augustin (drawn by P. Mills)
0:00.0,L. Aldridge misses 2-pt shot from 2 ft,,34-61,,
0:00.0,Offensive rebound by Team,,34-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,34-61,,T. Ross misses 3-pt shot from 24 ft
11:39.0,Defensive rebound by L. Aldridge,,34-61,,
11:18.0,D. Green misses 3-pt shot from 23 ft,,34-61,,
11:18.0,Offensive rebound by L. Aldridge,,34-61,,
11:16.0,Shooting foul by E. Fournier (drawn by L. Aldridge),,34-61,,
11:16.0,L. Aldridge makes free throw 1 of 2,1,35-61,,
11:16.0,L. Aldridge makes free throw 2 of 2,1,36-61,,
10:59.0,,,36-63,2,A. Gordon makes 2-pt shot from 14 ft
10:43.0,L. Aldridge makes 2-pt shot from 2 ft (assist by P. Gasol),2,38-63,,
10:26.0,,,38-65,2,A. Gordon makes 2-pt shot from 20 ft
10:09.0,L. Aldridge makes 2-pt shot from 1 ft (assist by K. Anderson),2,40-65,,
10:00.0,,,40-67,2,D. Augustin makes 2-pt shot from 1 ft
9:39.0,K. Anderson misses 2-pt shot from 3 ft,,40-67,,
9:36.0,,,40-67,,Defensive rebound by N. Vucevic
9:30.0,,,40-67,,E. Fournier misses 2-pt shot from 2 ft
9:28.0,Defensive rebound by P. Gasol,,40-67,,
9:22.0,Turnover by P. Gasol (bad pass),,40-67,,
9:03.0,,,40-67,,A. Gordon misses 3-pt shot from 25 ft
9:01.0,Defensive rebound by K. Anderson,,40-67,,
8:54.0,Turnover by D. Green (bad pass; steal by D. Augustin),,40-67,,
8:30.0,,,40-69,2,N. Vucevic makes 2-pt shot from 2 ft
8:30.0,San Antonio full timeout,,40-69,,
8:30.0,P. Mills enters the game for D. Murray,,40-69,,
8:15.0,P. Mills misses 2-pt shot from 1 ft,,40-69,,
8:12.0,,,40-69,,Defensive rebound by A. Gordon
8:04.0,,,40-69,,A. Gordon misses 2-pt shot from 18 ft
8:00.0,,,40-69,,Offensive rebound by T. Ross
7:58.0,,,40-72,3,E. Fournier makes 3-pt shot from 25 ft (assist by D. Augustin)
7:45.0,Shooting foul by D. Augustin (drawn by K. Anderson),,40-72,,
7:45.0,K. Anderson makes free throw 1 of 2,1,41-72,,
7:45.0,K. Anderson makes free throw 2 of 2,1,42-72,,
7:29.0,,,42-72,,T. Ross misses 2-pt shot from 9 ft (block by L. Aldridge)
7:23.0,Defensive rebound by P. Mills,,42-72,,
7:19.0,L. Aldridge misses 3-pt shot from 24 ft,,42-72,,
7:16.0,,,42-72,,Defensive rebound by A. Gordon
7:09.0,,,42-72,,Turnover by N. Vucevic (bad pass; steal by P. Mills)
6:59.0,,,42-72,,Personal foul by A. Gordon (drawn by P. Gasol)
6:50.0,P. Gasol makes 2-pt shot from 16 ft (assist by P. Mills),2,44-72,,
6:36.0,,,44-74,2,E. Fournier makes 2-pt shot from 2 ft (assist by D. Augustin)
6:20.0,P. Mills misses 2-pt shot from 17 ft,,44-74,,
6:18.0,Offensive rebound by K. Anderson,,44-74,,
6:14.0,K. Anderson misses 2-pt shot from 3 ft (block by N. Vucevic),,44-74,,
6:14.0,P. Gasol makes 2-pt shot from 1 ft,2,46-74,,
6:13.0,Offensive rebound by P. Gasol,,46-74,,
6:02.0,Personal foul by K. Anderson (drawn by N. Vucevic),,46-74,,
6:02.0,M. Ginobili enters the game for K. Anderson,,46-74,,
6:02.0,R. Gay enters the game for D. Green,,46-74,,
6:02.0,B. Paul enters the game for P. Gasol,,46-74,,
5:53.0,,,46-74,,N. Vucevic misses 2-pt shot at rim (block by R. Gay)
5:51.0,Defensive rebound by R. Gay,,46-74,,
5:45.0,,,46-74,,Personal foul by D. Augustin (drawn by R. Gay)
5:43.0,Turnover by P. Mills (bad pass),,46-74,,
5:34.0,,,46-77,3,N. Vucevic makes 3-pt shot from 25 ft (assist by E. Fournier)
5:19.0,P. Mills misses 3-pt shot from 25 ft,,46-77,,
5:16.0,Offensive rebound by L. Aldridge,,46-77,,
5:07.0,R. Gay misses 2-pt shot from 9 ft,,46-77,,
4:59.0,Offensive rebound by L. Aldridge,,46-77,,
4:59.0,L. Aldridge makes 2-pt shot at rim,2,48-77,,
4:50.0,,,48-79,2,E. Fournier makes 2-pt shot from 2 ft
4:37.0,B. Paul misses 3-pt shot from 25 ft,,48-79,,
4:33.0,,,48-79,,Defensive rebound by D. Augustin
4:28.0,,,48-82,3,A. Gordon makes 3-pt shot from 25 ft (assist by N. Vucevic)
4:11.0,P. Mills misses 2-pt shot from 8 ft,,48-82,,
4:09.0,Offensive rebound by L. Aldridge,,48-82,,
4:09.0,Shooting foul by N. Vucevic (drawn by L. Aldridge),,48-82,,
4:09.0,L. Aldridge makes free throw 1 of 2,1,49-82,,
4:09.0,,,49-82,,J. Simmons enters the game for T. Ross
4:09.0,L. Aldridge makes free throw 2 of 2,1,50-82,,
3:58.0,,,50-82,,Turnover by A. Gordon (bad pass)
3:44.0,M. Ginobili misses 2-pt shot from 8 ft,,50-82,,
3:39.0,,,50-82,,Defensive rebound by E. Fournier
3:31.0,,,50-82,,A. Gordon misses 3-pt shot from 22 ft
3:29.0,Defensive rebound by L. Aldridge,,50-82,,
3:26.0,Turnover by P. Mills (bad pass; steal by E. Fournier),,50-82,,
3:17.0,,,50-85,3,E. Fournier makes 3-pt shot from 25 ft (assist by D. Augustin)
3:17.0,,,50-85,,Shooting foul by P. Mills (drawn by E. Fournier)
3:17.0,,,50-86,1,E. Fournier makes free throw 1 of 1
2:53.0,P. Mills makes 2-pt shot from 9 ft (assist by R. Gay),2,52-86,,
2:36.0,,,52-86,,A. Gordon misses 2-pt shot from 1 ft
2:28.0,,,52-86,,Offensive rebound by A. Gordon
2:28.0,,,52-88,2,A. Gordon makes 2-pt shot at rim
2:14.0,M. Ginobili misses 2-pt shot from 10 ft,,52-88,,
2:12.0,,,52-88,,Defensive rebound by A. Gordon
2:07.0,,,52-88,,Turnover by N. Vucevic (traveling)
2:07.0,,,52-88,,Orlando full timeout
2:07.0,,,52-88,,S. Mack enters the game for D. Augustin
1:54.0,Shooting foul by J. Simmons (drawn by M. Ginobili),,52-88,,
1:54.0,M. Ginobili makes free throw 1 of 2,1,53-88,,
1:54.0,M. Ginobili makes free throw 2 of 2,1,54-88,,
1:43.0,,,54-88,,Shooting foul by R. Gay (drawn by J. Simmons)
1:43.0,,,54-88,,J. Simmons misses free throw 1 of 2
1:43.0,,,54-88,,Offensive rebound by Team
1:43.0,,,54-88,,J. Isaac enters the game for A. Gordon
1:43.0,,,54-88,,B. Biyombo enters the game for N. Vucevic
1:43.0,,,54-89,1,J. Simmons makes free throw 2 of 2
1:33.0,P. Mills makes 3-pt shot from 25 ft,3,57-89,,
1:33.0,Shooting foul by B. Biyombo (drawn by P. Mills),,57-89,,
1:33.0,P. Mills makes free throw 1 of 1,1,58-89,,
1:21.0,,,58-89,,B. Biyombo misses 2-pt shot from 9 ft
1:21.0,Defensive rebound by L. Aldridge,,58-89,,
1:11.0,Turnover by M. Ginobili (bad pass; steal by J. Isaac),,58-89,,
1:11.0,Personal foul by M. Ginobili (drawn by J. Isaac),,58-89,,
1:11.0,,,58-90,1,J. Isaac makes free throw 2 of 2
1:11.0,,,58-91,1,J. Isaac makes free throw 1 of 2
0:59.0,P. Mills misses 2-pt shot from 21 ft,,58-91,,
0:56.0,,,58-91,,Defensive rebound by E. Fournier
0:44.0,,,58-93,2,J. Simmons makes 2-pt shot from 16 ft
0:34.0,L. Aldridge makes 2-pt shot from 2 ft (assist by P. Mills),2,60-93,,
0:28.0,,,60-95,2,J. Simmons makes 2-pt shot from 14 ft
0:21.0,B. Paul makes 2-pt shot from 1 ft (assist by R. Gay),2,62-95,,
0:04.0,,,62-95,,J. Simmons misses 2-pt shot from 16 ft
0:04.0,Defensive rebound by L. Aldridge,,62-95,,
0:00.0,P. Mills makes 2-pt shot from 1 ft,2,64-95,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,D. White misses 2-pt shot from 13 ft,,64-95,,
11:44.0,Offensive rebound by P. Gasol,,64-95,,
11:42.0,D. Bertans misses 2-pt shot from 2 ft (block by B. Biyombo),,64-95,,
11:42.0,Offensive rebound by P. Gasol,,64-95,,
11:34.0,P. Gasol makes 2-pt shot from 1 ft,2,66-95,,
11:33.0,Personal foul by D. Bertans (drawn by J. Isaac),,66-95,,
11:26.0,,,66-95,,S. Mack misses 3-pt shot from 22 ft
11:26.0,,,66-95,,Offensive rebound by Team
11:26.0,Loose ball foul by D. Bertans (drawn by J. Isaac),,66-95,,
11:19.0,Personal foul by B. Paul (drawn by M. Hezonja),,66-95,,
11:10.0,,,66-97,2,B. Biyombo makes 2-pt shot from 1 ft (assist by J. Simmons)
10:50.0,D. Bertans makes 3-pt shot from 25 ft (assist by B. Paul),3,69-97,,
10:34.0,,,69-97,,J. Simmons misses 2-pt shot from 13 ft (block by B. Forbes)
10:31.0,Defensive rebound by P. Gasol,,69-97,,
10:30.0,B. Paul makes 2-pt shot from 2 ft (assist by D. White),2,71-97,,
10:07.0,,,71-97,,B. Biyombo misses 2-pt shot from 12 ft
10:02.0,Defensive rebound by D. White,,71-97,,
9:57.0,B. Forbes makes 2-pt shot from 9 ft (assist by D. White),2,73-97,,
9:56.0,,,73-97,,Orlando full timeout
9:53.0,Personal foul by B. Paul (drawn by J. Isaac),,73-97,,
9:35.0,,,73-99,2,M. Hezonja makes 2-pt shot from 5 ft (assist by S. Mack)
9:14.0,D. Bertans misses 3-pt shot from 24 ft,,73-99,,
9:11.0,,,73-99,,Defensive rebound by J. Simmons
8:58.0,,,73-99,,Turnover by M. Hezonja (traveling)
8:45.0,D. White misses 2-pt shot from 2 ft,,73-99,,
8:42.0,Offensive rebound by D. White,,73-99,,
8:42.0,,,73-99,,Personal foul by B. Biyombo (drawn by D. White)
8:39.0,Shooting foul by J. Isaac (drawn by D. White),,73-99,,
8:39.0,D. White makes free throw 1 of 2,1,74-99,,
8:39.0,D. White misses free throw 2 of 2,,74-99,,
8:36.0,,,74-99,,Defensive rebound by B. Biyombo
8:20.0,,,74-101,2,J. Simmons makes 2-pt shot from 2 ft
8:05.0,B. Forbes misses 3-pt shot from 25 ft,,74-101,,
8:03.0,,,74-101,,Defensive rebound by J. Isaac
7:51.0,,,74-104,3,M. Hezonja makes 3-pt shot from 25 ft (assist by S. Mack)
7:22.0,Turnover by Team (shot clock),,74-104,,
7:15.0,,,74-104,,Offensive foul by J. Isaac (drawn by B. Forbes)
7:15.0,,,74-104,,Turnover by J. Isaac (offensive foul)
7:05.0,,,74-104,,Personal foul by M. Hezonja (drawn by B. Paul)
7:05.0,,,74-104,,Turnover by M. Hezonja (turnover)
7:05.0,,,74-104,,W. Iwundu enters the game for S. Mack
7:02.0,Turnover by B. Paul (bad pass; steal by M. Hezonja),,74-104,,
6:57.0,,,74-106,2,M. Hezonja makes 2-pt shot from 1 ft
6:47.0,B. Forbes misses 2-pt shot from 21 ft,,74-106,,
6:43.0,,,74-106,,Defensive rebound by J. Simmons
6:32.0,,,74-106,,Shooting foul by D. White (drawn by B. Biyombo)
6:32.0,,,74-106,,B. Biyombo misses free throw 1 of 2
6:32.0,,,74-106,,Offensive rebound by Team
6:32.0,San Antonio full timeout,,74-106,,
6:32.0,,,74-106,,S. Mack enters the game for J. Simmons
6:32.0,,,74-106,,B. Biyombo misses free throw 2 of 2
6:29.0,Defensive rebound by B. Paul,,74-106,,
6:16.0,B. Forbes misses 2-pt shot from 12 ft,,74-106,,
6:14.0,,,74-106,,Defensive rebound by B. Biyombo
6:10.0,,,74-106,,M. Hezonja misses 2-pt shot from 5 ft (block by D. Bertans)
6:10.0,,,74-106,,Offensive rebound by Team
6:10.0,,,74-106,,M. Speights enters the game for J. Isaac
6:10.0,,,74-106,,A. Afflalo enters the game for B. Biyombo
6:00.0,,,74-106,,M. Speights misses 3-pt shot from 26 ft
6:00.0,Defensive rebound by B. Paul,,74-106,,
5:47.0,P. Gasol misses 2-pt shot from 9 ft,,74-106,,
5:47.0,,,74-106,,Defensive rebound by W. Iwundu
5:29.0,,,74-106,,A. Afflalo misses 2-pt shot from 13 ft
5:26.0,Defensive rebound by P. Gasol,,74-106,,
5:19.0,D. Bertans misses 3-pt shot from 25 ft,,74-106,,
5:10.0,Offensive rebound by P. Gasol,,74-106,,
5:10.0,P. Gasol makes 2-pt shot at rim,2,76-106,,
4:59.0,,,76-106,,M. Speights misses 3-pt shot from 25 ft
4:57.0,Defensive rebound by P. Gasol,,76-106,,
4:52.0,Shooting foul by M. Speights (drawn by B. Paul),,76-106,,
4:52.0,B. Paul misses free throw 1 of 2,,76-106,,
4:52.0,Offensive rebound by Team,,76-106,,
4:52.0,D. Murray enters the game for B. Forbes,,76-106,,
