time,Toronto,pts.away,score,pts.home,Minnesota
5:41.0,,,16-15,2,A. Wiggins makes 2-pt shot from 2 ft (assist by K. Towns)
5:27.0,D. DeRozan makes 3-pt shot from 24 ft (assist by K. Lowry),3,19-15,,
5:13.0,,,19-15,,A. Wiggins misses 2-pt shot from 16 ft
5:10.0,Defensive rebound by S. Ibaka,,19-15,,
5:04.0,,,19-15,,Personal block foul by K. Towns (drawn by S. Ibaka)
5:04.0,,,19-15,,G. Dieng enters the game for K. Towns
5:03.0,Turnover by D. DeRozan (step out of bounds),,19-15,,
4:42.0,,,19-15,,J. Teague misses 2-pt shot from 4 ft
4:39.0,Defensive rebound by L. Nogueira,,19-15,,
4:24.0,S. Ibaka makes 2-pt shot at rim (assist by D. DeRozan),2,21-15,,
4:11.0,,,21-15,,Shooting foul by L. Nogueira (drawn by A. Wiggins)
4:11.0,,,21-16,1,A. Wiggins makes free throw 1 of 2
4:11.0,C. Miles enters the game for O. Anunoby,,21-16,,
4:11.0,P. Siakam enters the game for S. Ibaka,,21-16,,
4:11.0,,,21-17,1,A. Wiggins makes free throw 2 of 2
3:53.0,C. Miles misses 3-pt shot from 26 ft,,21-17,,
3:51.0,,,21-17,,Defensive rebound by M. Georges-Hunt
3:42.0,,,21-17,,J. Teague misses 2-pt shot from 17 ft
3:39.0,Defensive rebound by P. Siakam,,21-17,,
3:34.0,K. Lowry makes 2-pt shot from 1 ft,2,23-17,,
3:27.0,,,23-17,,J. Teague misses 2-pt shot from 5 ft
3:27.0,Defensive rebound by L. Nogueira,,23-17,,
3:21.0,K. Lowry misses 2-pt shot from 5 ft,,23-17,,
3:21.0,Offensive rebound by K. Lowry,,23-17,,
3:14.0,K. Lowry makes 2-pt shot at rim,2,25-17,,
3:13.0,,,25-17,,Minnesota full timeout
3:13.0,J. Poeltl enters the game for K. Lowry,,25-17,,
3:13.0,D. Wright enters the game for L. Nogueira,,25-17,,
3:00.0,,,25-19,2,A. Wiggins makes 2-pt shot from 14 ft (assist by J. Teague)
2:46.0,Turnover by C. Miles (traveling),,25-19,,
2:46.0,,,25-19,,T. Jones enters the game for J. Teague
2:25.0,,,25-21,2,A. Wiggins makes 2-pt shot at rim (assist by M. Georges-Hunt)
1:58.0,D. DeRozan misses 2-pt shot from 19 ft,,25-21,,
1:57.0,,,25-21,,Defensive rebound by Team
1:42.0,,,25-23,2,T. Gibson makes 2-pt shot from 1 ft (assist by A. Wiggins)
1:25.0,C. Miles makes 3-pt shot from 27 ft (assist by P. Siakam),3,28-23,,
1:15.0,,,28-23,,M. Georges-Hunt misses 3-pt shot from 23 ft
1:12.0,,,28-23,,Offensive rebound by G. Dieng
1:04.0,,,28-23,,G. Dieng misses 2-pt shot from 17 ft
1:01.0,Defensive rebound by D. DeRozan,,28-23,,
0:59.0,Turnover by D. DeRozan (bad pass; steal by G. Dieng),,28-23,,
0:54.0,,,28-23,,T. Jones misses 2-pt shot from 2 ft
0:51.0,,,28-23,,Offensive rebound by T. Gibson
0:51.0,,,28-23,,Shooting foul by J. Poeltl (drawn by T. Gibson)
0:51.0,,,28-23,,T. Gibson misses free throw 1 of 2
0:51.0,,,28-23,,Offensive rebound by Team
0:51.0,,,28-23,,S. Muhammad enters the game for A. Wiggins
0:51.0,F. VanVleet enters the game for D. DeRozan,,28-23,,
0:51.0,,,28-24,1,T. Gibson makes free throw 2 of 2
0:32.0,P. Siakam misses 3-pt shot from 25 ft,,28-24,,
0:30.0,,,28-24,,Defensive rebound by T. Jones
0:23.0,,,28-26,2,T. Jones makes 2-pt shot from 16 ft
0:08.0,,,28-26,,Personal take foul by T. Jones (drawn by F. VanVleet)
0:00.0,Turnover by F. VanVleet (bad pass),,28-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,,,28-26,,N. Bjelica misses 2-pt shot from 10 ft
11:32.0,,,28-26,,Offensive rebound by S. Muhammad
11:32.0,,,28-26,,Shooting foul by J. Poeltl (drawn by S. Muhammad)
11:32.0,,,28-27,1,S. Muhammad makes free throw 1 of 2
11:32.0,,,28-27,,S. Muhammad misses free throw 2 of 2
11:28.0,,,28-27,,Offensive rebound by N. Bjelica
11:27.0,,,28-27,,Turnover by N. Bjelica (lost ball; steal by F. VanVleet)
11:11.0,D. Wright misses 2-pt shot from 4 ft,,28-27,,
11:09.0,,,28-27,,Defensive rebound by G. Dieng
11:02.0,,,28-27,,M. Georges-Hunt misses 2-pt shot from 1 ft
10:58.0,Defensive rebound by F. VanVleet,,28-27,,
10:55.0,Shooting foul by M. Georges-Hunt (drawn by F. VanVleet),,28-27,,
10:55.0,F. VanVleet makes free throw 1 of 2,1,29-27,,
10:55.0,F. VanVleet makes free throw 2 of 2,1,30-27,,
10:43.0,,,30-27,,Shooting foul by F. VanVleet (drawn by T. Jones)
10:43.0,,,30-28,1,T. Jones makes free throw 1 of 2
10:43.0,,,30-29,1,T. Jones makes free throw 2 of 2
10:34.0,C. Miles misses 3-pt shot from 26 ft,,30-29,,
10:30.0,,,30-29,,Defensive rebound by N. Bjelica
10:27.0,,,30-29,,S. Muhammad misses 2-pt shot from 3 ft (block by C. Miles)
10:27.0,Defensive rebound by D. Wright,,30-29,,
10:22.0,,,30-29,,Personal foul by N. Bjelica (drawn by D. Wright)
10:13.0,J. Poeltl makes 2-pt shot from 1 ft (assist by P. Siakam),2,32-29,,
9:49.0,,,32-29,,S. Muhammad misses 2-pt shot from 2 ft (block by C. Miles)
9:49.0,,,32-29,,Offensive rebound by Team
9:48.0,,,32-29,,S. Muhammad misses 2-pt shot from 2 ft (block by C. Miles)
9:48.0,,,32-29,,Offensive rebound by Team
9:45.0,,,32-29,,N. Bjelica misses 2-pt shot from 23 ft
9:39.0,,,32-29,,Offensive rebound by M. Georges-Hunt
9:39.0,,,32-29,,M. Georges-Hunt misses 2-pt shot at rim
9:39.0,,,32-29,,Offensive rebound by T. Jones
9:39.0,,,32-29,,Turnover by T. Jones (bad pass)
9:27.0,D. Wright misses 2-pt shot from 2 ft,,32-29,,
9:26.0,Offensive rebound by Team,,32-29,,
9:26.0,,,32-29,,Loose ball foul by S. Muhammad (drawn by J. Poeltl)
9:26.0,,,32-29,,K. Towns enters the game for G. Dieng
9:17.0,D. Wright makes 2-pt shot from 1 ft,2,34-29,,
9:17.0,Shooting foul by K. Towns (drawn by D. Wright),,34-29,,
9:17.0,D. Wright makes free throw 1 of 1,1,35-29,,
9:02.0,,,35-31,2,T. Jones makes 2-pt shot from 6 ft
8:53.0,C. Miles misses 3-pt shot from 25 ft,,35-31,,
8:50.0,Offensive rebound by P. Siakam,,35-31,,
8:43.0,J. Poeltl makes 2-pt shot from 1 ft (assist by D. Wright),2,37-31,,
8:30.0,,,37-31,,Shooting foul by F. VanVleet (drawn by S. Muhammad)
8:30.0,,,37-32,1,S. Muhammad makes free throw 1 of 2
8:30.0,J. Valanciunas enters the game for J. Poeltl,,37-32,,
8:30.0,,,37-33,1,S. Muhammad makes free throw 2 of 2
8:14.0,D. Wright makes 2-pt shot from 1 ft,2,39-33,,
8:02.0,,,39-33,,Offensive foul by K. Towns (drawn by F. VanVleet)
8:02.0,,,39-33,,Turnover by K. Towns (offensive foul)
8:02.0,,,39-33,,G. Dieng enters the game for K. Towns
7:50.0,D. Wright misses 2-pt shot from 2 ft,,39-33,,
7:49.0,,,39-33,,Defensive rebound by N. Bjelica
7:37.0,,,39-35,2,G. Dieng makes 2-pt shot from 10 ft (assist by T. Jones)
7:29.0,Shooting foul by T. Jones (drawn by F. VanVleet),,39-35,,
7:29.0,F. VanVleet makes free throw 1 of 2,1,40-35,,
7:29.0,,,40-35,,J. Teague enters the game for T. Jones
7:29.0,K. Lowry enters the game for C. Miles,,40-35,,
7:29.0,S. Ibaka enters the game for P. Siakam,,40-35,,
7:29.0,,,40-35,,T. Gibson enters the game for M. Georges-Hunt
7:29.0,,,40-35,,A. Wiggins enters the game for S. Muhammad
7:29.0,F. VanVleet misses free throw 2 of 2,,40-35,,
7:26.0,Offensive rebound by F. VanVleet,,40-35,,
7:24.0,K. Lowry misses 2-pt shot from 7 ft,,40-35,,
7:23.0,,,40-35,,Defensive rebound by Team
7:23.0,Loose ball foul by J. Valanciunas (drawn by G. Dieng),,40-35,,
7:23.0,J. Poeltl enters the game for J. Valanciunas,,40-35,,
7:11.0,,,40-37,2,A. Wiggins makes 2-pt shot from 20 ft
6:52.0,S. Ibaka makes 2-pt shot from 6 ft,2,42-37,,
6:36.0,,,42-39,2,J. Teague makes 2-pt shot from 8 ft
6:13.0,D. Wright misses 3-pt shot from 25 ft,,42-39,,
6:09.0,Offensive rebound by J. Poeltl,,42-39,,
5:55.0,S. Ibaka makes 3-pt shot from 22 ft (assist by F. VanVleet),3,45-39,,
5:41.0,,,45-39,,N. Bjelica misses 3-pt shot from 24 ft
5:39.0,Defensive rebound by D. Wright,,45-39,,
5:29.0,K. Lowry misses 2-pt shot from 21 ft,,45-39,,
5:27.0,Offensive rebound by J. Poeltl,,45-39,,
5:27.0,J. Poeltl makes 2-pt shot at rim,2,47-39,,
5:21.0,,,47-39,,Minnesota full timeout
5:21.0,D. DeRozan enters the game for F. VanVleet,,47-39,,
5:21.0,O. Anunoby enters the game for D. Wright,,47-39,,
5:11.0,Personal foul by K. Lowry (drawn by A. Wiggins),,47-39,,
5:11.0,,,47-40,1,A. Wiggins makes free throw 1 of 2
5:11.0,,,47-41,1,A. Wiggins makes free throw 2 of 2
4:59.0,K. Lowry misses 2-pt shot from 20 ft,,47-41,,
4:57.0,Offensive rebound by Team,,47-41,,
4:46.0,O. Anunoby makes 3-pt shot from 23 ft (assist by D. DeRozan),3,50-41,,
4:31.0,,,50-43,2,G. Dieng makes 2-pt shot from 13 ft (assist by J. Teague)
4:19.0,D. DeRozan makes 2-pt shot from 4 ft,2,52-43,,
4:09.0,,,52-45,2,A. Wiggins makes 2-pt shot from 7 ft (assist by J. Teague)
3:49.0,D. DeRozan misses 3-pt shot from 23 ft,,52-45,,
3:48.0,,,52-45,,Defensive rebound by Team
3:37.0,,,52-45,,Turnover by G. Dieng (traveling)
3:19.0,O. Anunoby misses 3-pt shot from 25 ft,,52-45,,
3:16.0,,,52-45,,Defensive rebound by T. Gibson
3:08.0,,,52-45,,J. Teague misses 2-pt shot from 8 ft
3:06.0,Defensive rebound by J. Poeltl,,52-45,,
3:04.0,K. Lowry makes 2-pt shot from 1 ft,2,54-45,,
3:04.0,Shooting foul by A. Wiggins (drawn by K. Lowry),,54-45,,
3:04.0,K. Lowry makes free throw 1 of 1,1,55-45,,
2:51.0,,,55-47,2,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Teague)
2:37.0,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan),3,58-47,,
2:18.0,,,58-49,2,T. Gibson makes 2-pt shot from 17 ft (assist by J. Teague)
2:12.0,Toronto full timeout,,58-49,,
2:08.0,D. DeRozan misses 2-pt shot from 20 ft,,58-49,,
2:04.0,,,58-49,,Defensive rebound by T. Gibson
1:59.0,,,58-49,,J. Teague misses 3-pt shot from 25 ft (block by O. Anunoby)
1:56.0,Defensive rebound by O. Anunoby,,58-49,,
1:52.0,,,58-49,,Personal foul by N. Bjelica (drawn by D. DeRozan)
1:52.0,D. DeRozan makes free throw 1 of 2,1,59-49,,
1:52.0,D. DeRozan makes free throw 2 of 2,1,60-49,,
1:34.0,,,60-51,2,G. Dieng makes 2-pt shot from 8 ft
1:22.0,Turnover by O. Anunoby (traveling),,60-51,,
1:10.0,,,60-51,,A. Wiggins misses 2-pt shot from 20 ft
1:04.0,Defensive rebound by D. DeRozan,,60-51,,
0:51.0,D. DeRozan misses 2-pt shot from 2 ft,,60-51,,
0:49.0,,,60-51,,Defensive rebound by A. Wiggins
0:43.0,,,60-54,3,N. Bjelica makes 3-pt shot from 22 ft (assist by J. Teague)
0:30.0,K. Lowry makes 2-pt shot from 1 ft,2,62-54,,
0:08.0,,,62-54,,A. Wiggins misses 3-pt shot from 28 ft
0:04.0,Defensive rebound by K. Lowry,,62-54,,
0:00.0,Turnover by D. DeRozan (traveling),,62-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Personal foul by S. Ibaka (drawn by K. Towns),,62-54,,
11:39.0,,,62-54,,Shooting foul by J. Valanciunas (drawn by K. Towns)
11:39.0,,,62-54,,K. Towns misses free throw 1 of 2
11:39.0,,,62-54,,Offensive rebound by Team
11:39.0,L. Nogueira enters the game for J. Valanciunas,,62-54,,
11:39.0,,,62-55,1,K. Towns makes free throw 2 of 2
11:22.0,O. Anunoby makes 2-pt shot from 1 ft (assist by K. Lowry),2,64-55,,
10:57.0,,,64-57,2,T. Gibson makes 2-pt shot from 8 ft
10:40.0,S. Ibaka makes 2-pt shot from 18 ft,2,66-57,,
10:27.0,,,66-57,,A. Wiggins misses 2-pt shot from 20 ft
10:24.0,Defensive rebound by K. Lowry,,66-57,,
10:02.0,Turnover by Team (shot clock),,66-57,,
9:52.0,,,66-59,2,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Teague)
9:31.0,S. Ibaka misses 3-pt shot from 25 ft,,66-59,,
9:30.0,,,66-59,,Defensive rebound by K. Towns
9:26.0,,,66-59,,T. Gibson misses 2-pt shot at rim
9:24.0,,,66-59,,Offensive rebound by T. Gibson
9:23.0,,,66-61,2,T. Gibson makes 2-pt shot at rim
9:01.0,K. Lowry misses 3-pt shot from 27 ft,,66-61,,
8:57.0,,,66-61,,Defensive rebound by K. Towns
8:55.0,Personal foul by K. Lowry (drawn by J. Teague),,66-61,,
8:48.0,,,66-61,,Turnover by A. Wiggins (bad pass; steal by O. Anunoby)
8:44.0,O. Anunoby misses 2-pt shot from 1 ft,,66-61,,
8:40.0,,,66-61,,Defensive rebound by J. Teague
8:37.0,,,66-61,,N. Bjelica misses 2-pt shot from 4 ft (block by L. Nogueira)
8:37.0,,,66-61,,Offensive rebound by K. Towns
8:37.0,,,66-61,,Shooting foul by K. Lowry (drawn by K. Towns)
8:37.0,,,66-62,1,K. Towns makes free throw 1 of 2
8:37.0,Toronto full timeout,,66-62,,
8:37.0,,,66-63,1,K. Towns makes free throw 2 of 2
8:27.0,D. DeRozan misses 2-pt shot from 12 ft,,66-63,,
8:25.0,,,66-63,,Defensive rebound by K. Towns
8:19.0,,,66-63,,Shooting foul by S. Ibaka (drawn by K. Towns)
8:19.0,,,66-64,1,K. Towns makes free throw 1 of 2
8:19.0,,,66-65,1,K. Towns makes free throw 2 of 2
7:56.0,S. Ibaka misses 2-pt shot from 21 ft,,66-65,,
7:53.0,,,66-65,,Defensive rebound by K. Towns
7:46.0,,,66-68,3,K. Towns makes 3-pt shot from 25 ft (assist by A. Wiggins)
7:24.0,D. DeRozan misses 3-pt shot from 24 ft,,66-68,,
7:22.0,,,66-68,,Defensive rebound by N. Bjelica
7:11.0,,,66-68,,A. Wiggins misses 2-pt shot from 4 ft
7:09.0,,,66-68,,Offensive rebound by K. Towns
7:09.0,,,66-68,,K. Towns misses 2-pt shot from 2 ft (block by S. Ibaka)
7:09.0,Defensive rebound by K. Lowry,,66-68,,
7:02.0,K. Lowry makes 2-pt shot from 1 ft,2,68-68,,
6:57.0,P. Siakam enters the game for O. Anunoby,,68-68,,
6:57.0,D. Wright enters the game for L. Nogueira,,68-68,,
6:56.0,Personal foul by P. Siakam (drawn by K. Towns),,68-68,,
6:56.0,,,68-69,1,K. Towns makes free throw 1 of 2
6:56.0,,,68-70,1,K. Towns makes free throw 2 of 2
6:38.0,Shooting foul by J. Teague (drawn by K. Lowry),,68-70,,
6:38.0,K. Lowry makes free throw 1 of 2,1,69-70,,
6:38.0,,,69-70,,M. Georges-Hunt enters the game for N. Bjelica
6:38.0,K. Lowry makes free throw 2 of 2,1,70-70,,
6:28.0,,,70-70,,Shooting foul by S. Ibaka (drawn by T. Gibson)
6:28.0,,,70-71,1,T. Gibson makes free throw 1 of 2
6:28.0,,,70-71,,T. Gibson misses free throw 2 of 2
6:25.0,Defensive rebound by S. Ibaka,,70-71,,
6:05.0,K. Lowry misses 2-pt shot from 18 ft,,70-71,,
6:04.0,Offensive rebound by Team,,70-71,,
6:04.0,Turnover by Team (shot clock),,70-71,,
5:40.0,,,70-71,,Shooting foul by D. DeRozan (drawn by T. Gibson)
5:40.0,,,70-72,1,T. Gibson makes free throw 1 of 2
5:40.0,,,70-73,1,T. Gibson makes free throw 2 of 2
5:19.0,Turnover by P. Siakam (traveling),,70-73,,
5:09.0,,,70-75,2,K. Towns makes 2-pt shot from 9 ft (assist by J. Teague)
4:56.0,P. Siakam misses 3-pt shot from 25 ft,,70-75,,
4:52.0,,,70-75,,Defensive rebound by A. Wiggins
4:48.0,,,70-75,,A. Wiggins misses 2-pt shot from 8 ft
4:46.0,Defensive rebound by D. Wright,,70-75,,
4:42.0,K. Lowry makes 3-pt shot from 24 ft (assist by D. Wright),3,73-75,,
4:30.0,,,73-75,,J. Teague misses 2-pt shot from 11 ft
4:27.0,Defensive rebound by S. Ibaka,,73-75,,
4:16.0,K. Lowry misses 3-pt shot from 24 ft,,73-75,,
4:15.0,Offensive rebound by D. Wright,,73-75,,
4:12.0,K. Lowry makes 3-pt shot from 22 ft (assist by D. Wright),3,76-75,,
3:54.0,,,76-75,,A. Wiggins misses 2-pt shot from 20 ft
3:52.0,Defensive rebound by S. Ibaka,,76-75,,
3:46.0,P. Siakam misses 2-pt shot from 1 ft,,76-75,,
3:44.0,Offensive rebound by D. Wright,,76-75,,
3:44.0,Shooting foul by A. Wiggins (drawn by D. Wright),,76-75,,
3:44.0,D. Wright makes free throw 1 of 2,1,77-75,,
3:44.0,,,77-75,,G. Dieng enters the game for K. Towns
3:44.0,C. Miles enters the game for S. Ibaka,,77-75,,
3:44.0,J. Poeltl enters the game for D. DeRozan,,77-75,,
3:44.0,D. Wright makes free throw 2 of 2,1,78-75,,
3:34.0,,,78-75,,Turnover by A. Wiggins (lost ball; steal by P. Siakam)
3:30.0,K. Lowry makes 2-pt shot at rim,2,80-75,,
3:11.0,,,80-77,2,M. Georges-Hunt makes 2-pt shot from 3 ft
3:03.0,,,80-77,,Personal foul by J. Teague (drawn by K. Lowry)
3:03.0,,,80-77,,S. Muhammad enters the game for A. Wiggins
2:59.0,Offensive foul by J. Poeltl (drawn by M. Georges-Hunt),,80-77,,
2:59.0,Turnover by J. Poeltl (offensive foul),,80-77,,
2:59.0,,,80-77,,Minnesota full timeout
2:43.0,,,80-77,,M. Georges-Hunt misses 2-pt shot from 11 ft
2:41.0,Defensive rebound by D. Wright,,80-77,,
2:27.0,D. Wright misses 3-pt shot from 24 ft (block by T. Gibson),,80-77,,
2:20.0,,,80-77,,Defensive rebound by G. Dieng
2:17.0,,,80-79,2,S. Muhammad makes 2-pt shot from 20 ft
2:03.0,Turnover by P. Siakam (lost ball; steal by G. Dieng),,80-79,,
2:03.0,Personal foul by C. Miles (drawn by M. Georges-Hunt),,80-79,,
2:03.0,,,80-80,1,M. Georges-Hunt makes clear path free throw 1 of 2
2:03.0,,,80-80,,M. Georges-Hunt misses clear path free throw 2 of 2
2:03.0,,,80-80,,Offensive rebound by Team
2:03.0,F. VanVleet enters the game for K. Lowry,,80-80,,
1:51.0,,,80-80,,Shooting foul by P. Siakam (drawn by S. Muhammad)
1:51.0,,,80-80,,S. Muhammad misses free throw 1 of 2
1:51.0,,,80-80,,Offensive rebound by Team
1:51.0,,,80-81,1,S. Muhammad makes free throw 2 of 2
1:36.0,C. Miles misses 2-pt shot from 21 ft,,80-81,,
1:34.0,,,80-81,,Defensive rebound by J. Teague
1:17.0,,,80-84,3,M. Georges-Hunt makes 3-pt shot from 25 ft (assist by J. Teague)
0:52.0,C. Miles misses 3-pt shot from 24 ft,,80-84,,
0:49.0,,,80-84,,Defensive rebound by S. Muhammad
0:39.0,,,80-84,,G. Dieng misses 3-pt shot from 23 ft
0:35.0,Defensive rebound by P. Siakam,,80-84,,
0:31.0,D. Wright makes 2-pt shot from 2 ft,2,82-84,,
0:31.0,Shooting foul by S. Muhammad (drawn by D. Wright),,82-84,,
0:31.0,,,82-84,,T. Jones enters the game for J. Teague
0:31.0,D. Wright makes free throw 1 of 1,1,83-84,,
0:08.0,,,83-84,,T. Jones misses 2-pt shot from 19 ft
0:04.0,,,83-84,,Offensive rebound by T. Jones
0:00.0,,,83-87,2,G. Dieng makes 3-pt shot from 24 ft (assist by T. Jones)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,D. Wright misses 2-pt shot from 2 ft,,83-87,,
11:40.0,,,83-87,,Defensive rebound by N. Bjelica
11:25.0,Personal foul by P. Siakam (drawn by N. Bjelica),,83-87,,
11:18.0,,,83-87,,N. Bjelica misses 2-pt shot from 5 ft
11:14.0,Jump ball: S. Muhammad vs. J. Poeltl (P. Siakam gains possession),,,,Jump ball: S. Muhammad vs. J. Poeltl (P. Siakam gains possession)
11:14.0,Defensive rebound by Team,,83-87,,
11:04.0,,,83-87,,K. Towns enters the game for G. Dieng
10:59.0,Jump ball: T. Jones vs. D. Wright (C. Miles gains possession),,,,Jump ball: T. Jones vs. D. Wright (C. Miles gains possession)
10:54.0,C. Miles misses 3-pt shot from 26 ft,,83-87,,
10:51.0,,,83-87,,Defensive rebound by K. Towns
10:40.0,,,83-89,2,M. Georges-Hunt makes 2-pt shot from 1 ft
10:24.0,F. VanVleet makes 2-pt shot from 2 ft (assist by D. Wright),2,85-89,,
10:01.0,,,85-89,,M. Georges-Hunt misses 2-pt shot from 1 ft
9:59.0,,,85-89,,Offensive rebound by K. Towns
9:59.0,,,85-91,2,K. Towns makes 2-pt shot at rim
9:42.0,F. VanVleet makes 3-pt shot from 25 ft (assist by J. Poeltl),3,88-91,,
9:24.0,,,88-91,,Shooting foul by C. Miles (drawn by S. Muhammad)
9:24.0,,,88-91,,S. Muhammad misses free throw 1 of 2
9:24.0,,,88-91,,Offensive rebound by Team
9:24.0,S. Ibaka enters the game for C. Miles,,88-91,,
9:24.0,D. DeRozan enters the game for P. Siakam,,88-91,,
9:24.0,,,88-92,1,S. Muhammad makes free throw 2 of 2
9:06.0,D. DeRozan makes 2-pt shot from 19 ft (assist by D. Wright),2,90-92,,
8:49.0,,,90-94,2,K. Towns makes 2-pt shot from 1 ft (assist by T. Jones)
8:49.0,,,90-94,,Shooting foul by J. Poeltl (drawn by K. Towns)
8:49.0,,,90-94,,A. Wiggins enters the game for N. Bjelica
8:49.0,,,90-94,,T. Gibson enters the game for S. Muhammad
8:49.0,,,90-95,1,K. Towns makes free throw 1 of 1
8:32.0,D. DeRozan makes 2-pt shot from 21 ft,2,92-95,,
8:19.0,,,92-97,2,K. Towns makes 2-pt shot from 1 ft (assist by T. Jones)
8:05.0,D. DeRozan misses 2-pt shot from 14 ft,,92-97,,
8:03.0,,,92-97,,Defensive rebound by T. Gibson
7:49.0,,,92-100,3,T. Jones makes 3-pt shot from 26 ft (assist by M. Georges-Hunt)
7:47.0,Toronto full timeout,,92-100,,
7:47.0,K. Lowry enters the game for F. VanVleet,,92-100,,
7:47.0,J. Valanciunas enters the game for J. Poeltl,,92-100,,
7:36.0,D. DeRozan misses 3-pt shot from 24 ft,,92-100,,
7:34.0,,,92-100,,Defensive rebound by T. Jones
7:15.0,Personal foul by S. Ibaka (drawn by A. Wiggins),,92-100,,
7:10.0,Personal foul by D. DeRozan (drawn by A. Wiggins),,92-100,,
7:10.0,,,92-101,1,A. Wiggins makes free throw 1 of 2
7:10.0,,,92-102,1,A. Wiggins makes free throw 2 of 2
6:46.0,K. Lowry misses 2-pt shot from 8 ft,,92-102,,
6:44.0,Offensive rebound by S. Ibaka,,92-102,,
6:44.0,S. Ibaka misses 2-pt shot from 4 ft (block by K. Towns),,92-102,,
6:44.0,,,92-102,,Defensive rebound by A. Wiggins
6:39.0,,,92-102,,M. Georges-Hunt misses 3-pt shot from 22 ft
6:33.0,Defensive rebound by K. Lowry,,92-102,,
6:29.0,S. Ibaka makes 2-pt shot from 1 ft (assist by K. Lowry),2,94-102,,
6:03.0,,,94-102,,Turnover by A. Wiggins (lost ball; steal by D. DeRozan)
5:45.0,,,94-102,,Personal foul by A. Wiggins (drawn by D. DeRozan)
