time,Chicago,pts.away,score,pts.home,Houston
7:33.0,L. Markkanen makes 2-pt shot from 1 ft,2,9-14,,
7:23.0,,,9-14,,E. Gordon misses 3-pt shot from 23 ft
7:19.0,Defensive rebound by C. Payne,,9-14,,
6:58.0,C. Felicio misses 2-pt shot from 10 ft,,9-14,,
6:55.0,,,9-14,,Defensive rebound by T. Ariza
6:47.0,,,9-14,,N. Hilario misses 2-pt shot from 18 ft
6:43.0,Defensive rebound by C. Payne,,9-14,,
6:32.0,L. Markkanen makes 3-pt shot from 25 ft,3,12-14,,
6:21.0,,,12-14,,G. Green enters the game for C. Paul
6:21.0,,,12-14,,R. Anderson enters the game for N. Hilario
6:15.0,Def 3 sec tech foul by L. Markkanen,,12-14,,
6:15.0,,,12-15,1,T. Ariza makes technical free throw
6:07.0,,,12-15,,Turnover by R. Anderson (bad pass; steal by D. Nwaba)
5:52.0,C. Payne misses 3-pt shot from 23 ft,,12-15,,
5:50.0,,,12-15,,Defensive rebound by P. Tucker
5:50.0,Personal foul by C. Felicio (drawn by P. Tucker),,12-15,,
5:39.0,,,12-17,2,E. Gordon makes 2-pt shot at rim
5:27.0,Turnover by C. Felicio (lost ball; steal by P. Tucker),,12-17,,
5:24.0,,,12-17,,P. Tucker misses 2-pt shot from 2 ft (block by L. Markkanen)
5:24.0,,,12-17,,Offensive rebound by Team
5:24.0,,,12-17,,J. Johnson enters the game for P. Tucker
5:24.0,B. Portis enters the game for C. Felicio,,12-17,,
5:19.0,,,12-20,3,T. Ariza makes 3-pt shot from 22 ft (assist by J. Johnson)
4:57.0,L. Markkanen makes 2-pt shot from 13 ft,2,14-20,,
4:40.0,,,14-22,2,E. Gordon makes 2-pt shot from 1 ft
4:23.0,L. Markkanen misses 2-pt shot from 11 ft,,14-22,,
4:21.0,,,14-22,,Defensive rebound by R. Anderson
4:08.0,,,14-22,,T. Ariza misses 3-pt shot from 22 ft
4:04.0,Defensive rebound by B. Portis,,14-22,,
3:59.0,D. Nwaba misses 2-pt shot from 1 ft,,14-22,,
3:56.0,,,14-22,,Defensive rebound by G. Green
3:51.0,,,14-25,3,E. Gordon makes 3-pt shot from 30 ft (assist by G. Green)
3:34.0,L. Markkanen makes 2-pt shot from 14 ft,2,16-25,,
3:23.0,,,16-25,,G. Green misses 2-pt shot from 9 ft
3:21.0,Defensive rebound by L. Markkanen,,16-25,,
3:18.0,J. Holiday misses 3-pt shot from 24 ft,,16-25,,
3:08.0,Offensive rebound by B. Portis,,16-25,,
3:08.0,B. Portis misses 2-pt shot at rim,,16-25,,
3:08.0,,,16-25,,Defensive rebound by R. Anderson
2:59.0,Def 3 sec tech foul by D. Nwaba,,16-25,,
2:59.0,,,16-25,,Houston full timeout
2:59.0,,,16-25,,C. Paul enters the game for E. Gordon
2:59.0,J. Grant enters the game for D. Nwaba,,16-25,,
2:59.0,D. Valentine enters the game for C. Payne,,16-25,,
2:59.0,N. Vonleh enters the game for L. Markkanen,,16-25,,
2:59.0,,,16-26,1,T. Ariza makes technical free throw
2:48.0,,,16-29,3,C. Paul makes 3-pt shot from 26 ft
2:26.0,B. Portis makes 2-pt shot from 18 ft,2,18-29,,
2:07.0,,,18-29,,G. Green misses 3-pt shot from 25 ft
2:04.0,Defensive rebound by N. Vonleh,,18-29,,
1:59.0,J. Grant misses 3-pt shot from 24 ft,,18-29,,
1:56.0,,,18-29,,Defensive rebound by C. Paul
1:50.0,,,18-29,,T. Ariza misses 3-pt shot from 25 ft
1:47.0,Defensive rebound by D. Valentine,,18-29,,
1:38.0,B. Portis makes 2-pt shot from 3 ft,2,20-29,,
1:15.0,,,20-31,2,T. Ariza makes 2-pt shot from 1 ft (assist by C. Paul)
0:49.0,D. Valentine makes 3-pt shot from 23 ft (assist by J. Grant),3,23-31,,
0:34.0,,,23-31,,C. Paul misses 2-pt shot from 19 ft
0:32.0,Defensive rebound by J. Holiday,,23-31,,
0:32.0,Turnover by J. Holiday (bad pass),,23-31,,
0:11.0,,,23-31,,J. Johnson misses 2-pt shot from 11 ft
0:09.0,Defensive rebound by J. Grant,,23-31,,
0:01.0,J. Grant misses 2-pt shot from 17 ft,,23-31,,
0:00.0,,,23-31,,Defensive rebound by T. Ariza
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,S. Kilpatrick makes 2-pt shot from 1 ft (assist by B. Portis),2,25-31,,
11:30.0,,,25-34,3,R. Anderson makes 3-pt shot from 26 ft (assist by C. Paul)
11:15.0,Turnover by N. Vonleh (bad pass; steal by P. Tucker),,25-34,,
11:08.0,,,25-34,,R. Anderson misses 3-pt shot from 28 ft
11:05.0,Defensive rebound by B. Portis,,25-34,,
10:57.0,S. Kilpatrick misses 3-pt shot from 24 ft,,25-34,,
10:51.0,Offensive rebound by N. Vonleh,,25-34,,
10:51.0,N. Vonleh makes 2-pt shot at rim,2,27-34,,
10:30.0,,,27-34,,C. Paul misses 3-pt shot from 26 ft
10:30.0,,,27-34,,Offensive rebound by Team
10:30.0,Loose ball foul by J. Grant (drawn by R. Anderson),,27-34,,
10:19.0,,,27-36,2,G. Green makes 2-pt shot from 14 ft
10:09.0,J. Grant misses 2-pt shot from 9 ft,,27-36,,
10:05.0,,,27-36,,Defensive rebound by J. Johnson
9:52.0,,,27-36,,P. Tucker misses 3-pt shot from 23 ft
9:48.0,Defensive rebound by J. Grant,,27-36,,
9:43.0,S. Kilpatrick misses 3-pt shot from 23 ft,,27-36,,
9:41.0,,,27-36,,Defensive rebound by Team
9:19.0,,,27-38,2,C. Paul makes 2-pt shot from 16 ft
9:02.0,Turnover by D. Valentine (bad pass; steal by C. Paul),,27-38,,
8:56.0,,,27-38,,C. Paul misses 3-pt shot from 24 ft
8:53.0,Defensive rebound by B. Portis,,27-38,,
8:46.0,D. Valentine makes 3-pt shot from 27 ft,3,30-38,,
8:28.0,,,30-38,,G. Green misses 3-pt shot from 25 ft
8:27.0,,,30-38,,Offensive rebound by Team
8:27.0,Loose ball foul by J. Grant (drawn by P. Tucker),,30-38,,
8:22.0,,,30-38,,J. Johnson misses 3-pt shot from 23 ft
8:18.0,Defensive rebound by N. Vonleh,,30-38,,
8:10.0,B. Portis misses 2-pt shot from 12 ft,,30-38,,
8:07.0,,,30-38,,Defensive rebound by G. Green
8:01.0,,,30-38,,Shooting foul by D. Valentine (drawn by G. Green)
8:01.0,,,30-39,1,G. Green makes free throw 1 of 2
8:01.0,,,30-39,,N. Hilario enters the game for R. Anderson
8:01.0,C. Payne enters the game for J. Grant,,30-39,,
8:01.0,,,30-40,1,G. Green makes free throw 2 of 2
7:54.0,D. Valentine misses 3-pt shot from 25 ft,,30-40,,
7:52.0,,,30-40,,Defensive rebound by P. Tucker
7:45.0,,,30-40,,Turnover by C. Paul (bad pass; steal by C. Payne)
7:41.0,N. Vonleh makes 2-pt shot from 1 ft,2,32-40,,
7:33.0,,,32-40,,J. Johnson misses 2-pt shot from 7 ft
7:33.0,,,32-40,,Offensive rebound by Team
7:31.0,L. Markkanen enters the game for B. Portis,,32-40,,
7:23.0,Jump ball: N. Hilario vs. N. Vonleh (C. Paul gains possession),,,,Jump ball: N. Hilario vs. N. Vonleh (C. Paul gains possession)
7:14.0,,,32-40,,C. Paul misses 3-pt shot from 25 ft
7:11.0,Defensive rebound by L. Markkanen,,32-40,,
7:07.0,L. Markkanen misses 3-pt shot from 26 ft,,32-40,,
7:04.0,,,32-40,,Defensive rebound by P. Tucker
7:01.0,,,32-40,,Shooting foul by C. Payne (drawn by J. Johnson)
7:01.0,,,32-41,1,J. Johnson makes free throw 1 of 2
7:01.0,,,32-41,,E. Gordon enters the game for C. Paul
7:01.0,,,32-42,1,J. Johnson makes free throw 2 of 2
6:37.0,D. Valentine misses 2-pt shot from 14 ft,,32-42,,
6:33.0,,,32-42,,Defensive rebound by E. Gordon
6:24.0,,,32-42,,N. Hilario misses 2-pt shot from 6 ft
6:23.0,Defensive rebound by Team,,32-42,,
6:23.0,,,32-42,,Houston full timeout
6:23.0,,,32-42,,T. Ariza enters the game for G. Green
6:23.0,D. Nwaba enters the game for D. Valentine,,32-42,,
6:16.0,C. Payne misses 3-pt shot from 24 ft,,32-42,,
6:13.0,,,32-42,,Defensive rebound by T. Ariza
5:57.0,,,32-42,,E. Gordon misses 3-pt shot from 28 ft
5:53.0,,,32-42,,Offensive rebound by P. Tucker
5:49.0,J. Holiday enters the game for S. Kilpatrick,,32-42,,
5:44.0,,,32-42,,E. Gordon misses 2-pt shot from 1 ft
5:43.0,,,32-42,,Offensive rebound by N. Hilario
5:30.0,,,32-44,2,N. Hilario makes 2-pt shot from 2 ft (assist by P. Tucker)
5:05.0,L. Markkanen misses 2-pt shot from 17 ft (block by T. Ariza),,32-44,,
5:02.0,,,32-44,,Defensive rebound by P. Tucker
4:53.0,,,32-46,2,E. Gordon makes 2-pt shot from 1 ft (assist by T. Ariza)
4:42.0,N. Vonleh misses 2-pt shot at rim,,32-46,,
4:42.0,,,32-46,,Defensive rebound by P. Tucker
4:34.0,Personal foul by L. Markkanen (drawn by N. Hilario),,32-46,,
4:34.0,,,32-47,1,N. Hilario makes free throw 1 of 2
4:34.0,,,32-47,,C. Paul enters the game for J. Johnson
4:34.0,C. Felicio enters the game for N. Vonleh,,32-47,,
4:34.0,,,32-48,1,N. Hilario makes free throw 2 of 2
4:11.0,L. Markkanen misses 3-pt shot from 24 ft,,32-48,,
4:07.0,,,32-48,,Defensive rebound by T. Ariza
3:59.0,,,32-51,3,E. Gordon makes 3-pt shot from 27 ft
3:58.0,Chicago full timeout,,32-51,,
3:58.0,,,32-51,,R. Anderson enters the game for P. Tucker
3:58.0,B. Portis enters the game for L. Markkanen,,32-51,,
3:41.0,Turnover by D. Nwaba (lost ball; steal by N. Hilario),,32-51,,
3:31.0,,,32-51,,R. Anderson misses 2-pt shot from 5 ft
3:25.0,Defensive rebound by C. Felicio,,32-51,,
3:24.0,Turnover by C. Payne (bad pass; steal by C. Paul),,32-51,,
3:21.0,,,32-51,,R. Anderson misses 3-pt shot from 24 ft
3:18.0,Defensive rebound by C. Payne,,32-51,,
3:12.0,J. Holiday makes 3-pt shot from 25 ft,3,35-51,,
2:54.0,,,35-51,,C. Paul misses 3-pt shot from 25 ft
2:50.0,,,35-51,,Offensive rebound by N. Hilario
2:45.0,,,35-54,3,E. Gordon makes 3-pt shot from 25 ft (assist by N. Hilario)
2:29.0,Turnover by D. Nwaba (traveling),,35-54,,
2:29.0,D. Valentine enters the game for D. Nwaba,,35-54,,
2:18.0,,,35-54,,Turnover by C. Paul (bad pass)
2:08.0,J. Holiday misses 3-pt shot from 24 ft,,35-54,,
2:05.0,,,35-54,,Defensive rebound by C. Paul
1:57.0,,,35-54,,R. Anderson misses 3-pt shot from 26 ft
1:53.0,Defensive rebound by D. Valentine,,35-54,,
1:47.0,J. Holiday misses 3-pt shot from 25 ft,,35-54,,
1:45.0,Offensive rebound by C. Payne,,35-54,,
1:39.0,B. Portis misses 2-pt shot from 12 ft,,35-54,,
1:36.0,,,35-54,,Defensive rebound by N. Hilario
1:25.0,,,35-57,2,E. Gordon makes 3-pt shot from 27 ft (assist by C. Paul)
1:13.0,J. Holiday makes 2-pt shot from 8 ft (assist by C. Payne),2,37-57,,
1:13.0,Shooting foul by E. Gordon (drawn by J. Holiday),,37-57,,
1:13.0,J. Holiday misses free throw 1 of 1,,37-57,,
1:13.0,,,37-57,,Defensive rebound by T. Ariza
1:03.0,,,37-57,,T. Ariza misses 3-pt shot from 24 ft
0:59.0,Defensive rebound by C. Felicio,,37-57,,
0:46.0,D. Valentine makes 2-pt shot from 2 ft (assist by C. Payne),2,39-57,,
0:35.0,,,39-57,,T. Ariza misses 3-pt shot from 25 ft
0:32.0,,,39-57,,Offensive rebound by R. Anderson
0:30.0,,,39-57,,E. Gordon misses 3-pt shot from 24 ft
0:27.0,Defensive rebound by C. Payne,,39-57,,
0:08.0,J. Holiday misses 3-pt shot from 24 ft,,39-57,,
0:05.0,,,39-57,,Defensive rebound by C. Paul
0:01.0,,,39-60,3,E. Gordon makes 3-pt shot from 27 ft (assist by C. Paul)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,L. Markkanen misses 3-pt shot from 25 ft,,39-60,,
11:41.0,,,39-60,,Defensive rebound by N. Hilario
11:30.0,,,39-62,2,N. Hilario makes 2-pt shot at rim (assist by C. Paul)
11:08.0,J. Holiday misses 3-pt shot from 25 ft,,39-62,,
11:06.0,,,39-62,,Defensive rebound by P. Tucker
10:57.0,,,39-65,3,T. Ariza makes 3-pt shot from 23 ft (assist by C. Paul)
10:44.0,Turnover by L. Markkanen (bad pass; steal by T. Ariza),,39-65,,
10:39.0,,,39-65,,E. Gordon misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by L. Markkanen,,39-65,,
10:19.0,B. Portis makes 2-pt shot from 12 ft,2,41-65,,
9:56.0,,,41-68,3,C. Paul makes 3-pt shot from 25 ft (assist by N. Hilario)
9:36.0,J. Holiday misses 2-pt shot from 12 ft,,41-68,,
9:33.0,,,41-68,,Defensive rebound by N. Hilario
9:25.0,,,41-68,,Turnover by C. Paul (bad pass; steal by B. Portis)
9:19.0,Turnover by L. Markkanen (bad pass; steal by N. Hilario),,41-68,,
9:14.0,,,41-68,,Shooting foul by J. Holiday (drawn by E. Gordon)
9:14.0,,,41-69,1,E. Gordon makes free throw 1 of 2
9:14.0,,,41-69,,E. Gordon misses free throw 2 of 2
9:14.0,Defensive rebound by L. Markkanen,,41-69,,
9:00.0,L. Markkanen misses 3-pt shot from 25 ft,,41-69,,
8:56.0,,,41-69,,Defensive rebound by T. Ariza
8:50.0,,,41-72,3,T. Ariza makes 3-pt shot from 26 ft (assist by C. Paul)
8:49.0,Chicago full timeout,,41-72,,
8:35.0,D. Nwaba misses 2-pt shot at rim (block by P. Tucker),,41-72,,
8:30.0,Offensive rebound by D. Nwaba,,41-72,,
8:25.0,Turnover by Team (shot clock),,41-72,,
7:59.0,,,41-74,2,P. Tucker makes 2-pt shot from 1 ft (assist by C. Paul)
7:49.0,Turnover by D. Nwaba (step out of bounds),,41-74,,
7:42.0,,,41-74,,T. Ariza misses 3-pt shot from 23 ft
7:39.0,Defensive rebound by C. Payne,,41-74,,
7:37.0,Turnover by C. Payne (lost ball; steal by C. Paul),,41-74,,
7:36.0,,,41-74,,Shooting foul by D. Nwaba (drawn by T. Ariza)
7:36.0,,,41-75,1,T. Ariza makes free throw 1 of 2
7:36.0,,,41-76,1,T. Ariza makes free throw 2 of 2
7:18.0,C. Payne misses 3-pt shot from 25 ft (block by E. Gordon),,41-76,,
7:16.0,,,41-76,,Defensive rebound by Team
6:55.0,,,41-76,,C. Paul misses 3-pt shot from 27 ft
6:53.0,Defensive rebound by J. Holiday,,41-76,,
6:49.0,D. Nwaba makes 2-pt shot from 10 ft (assist by J. Holiday),2,43-76,,
6:36.0,,,43-78,2,N. Hilario makes 2-pt shot at rim (assist by P. Tucker)
6:15.0,C. Payne misses 3-pt shot from 27 ft,,43-78,,
6:12.0,,,43-78,,Defensive rebound by P. Tucker
6:04.0,,,43-80,2,T. Ariza makes 2-pt shot at rim (assist by E. Gordon)
6:04.0,,,43-80,,Shooting foul by B. Portis (drawn by T. Ariza)
6:04.0,D. Valentine enters the game for J. Holiday,,43-80,,
6:04.0,J. Grant enters the game for C. Payne,,43-80,,
6:04.0,,,43-81,1,T. Ariza makes free throw 1 of 1
6:04.0,,,43-81,,G. Green enters the game for C. Paul
5:49.0,J. Grant misses 3-pt shot from 23 ft,,43-81,,
5:48.0,,,43-81,,Defensive rebound by Team
5:35.0,,,43-81,,Turnover by P. Tucker (bad pass; steal by D. Valentine)
5:20.0,J. Grant misses 2-pt shot at rim,,43-81,,
5:18.0,,,43-81,,Defensive rebound by N. Hilario
5:07.0,,,43-83,2,N. Hilario makes 2-pt shot from 1 ft
5:07.0,,,43-83,,R. Anderson enters the game for N. Hilario
5:07.0,Chicago full timeout,,43-83,,
4:44.0,Jump ball: T. Ariza vs. D. Valentine (P. Tucker gains possession),,,,Jump ball: T. Ariza vs. D. Valentine (P. Tucker gains possession)
4:44.0,Turnover by D. Valentine (turnover; steal by T. Ariza),,43-83,,
4:31.0,,,43-83,,Turnover by G. Green (lost ball; steal by B. Portis)
4:27.0,Shooting foul by G. Green (drawn by L. Markkanen),,43-83,,
4:27.0,L. Markkanen makes free throw 1 of 2,1,44-83,,
4:27.0,L. Markkanen makes free throw 2 of 2,1,45-83,,
4:10.0,,,45-83,,G. Green misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by Team,,45-83,,
4:10.0,,,45-83,,Loose ball foul by R. Anderson (drawn by J. Grant)
4:10.0,,,45-83,,J. Johnson enters the game for T. Ariza
4:02.0,D. Nwaba makes 2-pt shot from 1 ft,2,47-83,,
3:52.0,,,47-83,,E. Gordon misses 3-pt shot from 25 ft
3:49.0,Defensive rebound by D. Valentine,,47-83,,
3:44.0,L. Markkanen makes 2-pt shot from 1 ft (assist by D. Valentine),2,49-83,,
3:37.0,Personal foul by L. Markkanen (drawn by E. Gordon),,49-83,,
3:37.0,,,49-83,,C. Paul enters the game for E. Gordon
3:37.0,N. Vonleh enters the game for L. Markkanen,,49-83,,
3:27.0,,,49-83,,C. Paul misses 2-pt shot from 10 ft
3:23.0,Defensive rebound by N. Vonleh,,49-83,,
3:16.0,D. Nwaba misses 2-pt shot from 9 ft,,49-83,,
3:16.0,Offensive rebound by B. Portis,,49-83,,
3:16.0,B. Portis misses 2-pt shot at rim,,49-83,,
3:16.0,Offensive rebound by Team,,49-83,,
3:07.0,D. Valentine misses 3-pt shot from 25 ft,,49-83,,
3:05.0,Offensive rebound by N. Vonleh,,49-83,,
3:02.0,N. Vonleh makes 2-pt shot from 2 ft,2,51-83,,
2:53.0,,,51-83,,G. Green misses 3-pt shot from 25 ft
2:49.0,Defensive rebound by B. Portis,,51-83,,
2:41.0,B. Portis makes 2-pt shot from 9 ft (assist by J. Grant),2,53-83,,
2:22.0,,,53-83,,P. Tucker misses 3-pt shot from 23 ft
2:19.0,Defensive rebound by B. Portis,,53-83,,
2:08.0,,,53-83,,Personal foul by C. Paul (drawn by B. Portis)
2:01.0,D. Valentine misses 3-pt shot from 27 ft,,53-83,,
1:58.0,,,53-83,,Defensive rebound by Team
1:46.0,,,53-83,,G. Green misses 3-pt shot from 25 ft
1:42.0,,,53-83,,Offensive rebound by R. Anderson
1:41.0,,,53-83,,P. Tucker misses 3-pt shot from 22 ft
1:37.0,Defensive rebound by D. Nwaba,,53-83,,
1:35.0,,,53-83,,Shooting block foul by J. Johnson (drawn by J. Grant)
1:35.0,J. Grant misses free throw 1 of 2,,53-83,,
1:35.0,Offensive rebound by Team,,53-83,,
1:35.0,J. Grant makes free throw 2 of 2,1,54-83,,
1:18.0,Personal foul by N. Vonleh (drawn by C. Paul),,54-83,,
1:18.0,,,54-84,1,C. Paul makes free throw 1 of 2
1:18.0,,,54-85,1,C. Paul makes free throw 2 of 2
1:11.0,Turnover by D. Valentine (bad pass; steal by C. Paul),,54-85,,
1:06.0,,,54-87,2,P. Tucker makes 2-pt shot at rim (assist by J. Johnson)
0:50.0,B. Portis makes 3-pt shot from 25 ft (assist by J. Grant),3,57-87,,
0:41.0,,,57-87,,C. Paul misses 3-pt shot from 25 ft
0:41.0,Defensive rebound by B. Portis,,57-87,,
0:32.0,J. Grant misses 2-pt shot from 2 ft (block by P. Tucker),,57-87,,
0:32.0,Offensive rebound by Team,,57-87,,
0:28.0,B. Portis misses 3-pt shot from 25 ft,,57-87,,
0:25.0,,,57-87,,Defensive rebound by C. Paul
0:04.0,,,57-87,,R. Anderson misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by D. Nwaba,,57-87,,
0:00.0,D. Nwaba misses 3-pt shot from 44 ft,,57-87,,
0:00.0,Offensive rebound by Team,,57-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,57-89,2,G. Green makes 2-pt shot from 19 ft (assist by T. Black)
11:20.0,L. Markkanen makes 2-pt shot from 2 ft (assist by D. Valentine),2,59-89,,
11:11.0,Personal block foul by N. Vonleh (drawn by E. Gordon),,59-89,,
11:04.0,,,59-91,2,J. Johnson makes 2-pt shot from 10 ft
10:48.0,N. Vonleh makes 2-pt shot from 5 ft (assist by L. Markkanen),2,61-91,,
10:34.0,,,61-94,3,E. Gordon makes 3-pt shot from 28 ft (assist by R. Anderson)
10:21.0,J. Grant misses 2-pt shot from 2 ft,,61-94,,
10:18.0,,,61-94,,Defensive rebound by G. Green
10:15.0,,,61-97,3,E. Gordon makes 3-pt shot from 24 ft (assist by G. Green)
10:02.0,Shooting foul by T. Black (drawn by S. Kilpatrick),,61-97,,
10:02.0,S. Kilpatrick misses free throw 1 of 2,,61-97,,
10:02.0,Offensive rebound by Team,,61-97,,
10:02.0,,,61-97,,R. Hunter enters the game for E. Gordon
10:02.0,S. Kilpatrick makes free throw 2 of 2,1,62-97,,
9:51.0,,,62-97,,J. Johnson misses 3-pt shot from 26 ft
9:47.0,,,62-97,,Offensive rebound by T. Black
9:43.0,,,62-97,,R. Hunter misses 3-pt shot from 25 ft
9:39.0,Defensive rebound by N. Vonleh,,62-97,,
9:27.0,Shooting foul by R. Anderson (drawn by D. Valentine),,62-97,,
9:27.0,D. Valentine misses free throw 1 of 2,,62-97,,
9:27.0,Offensive rebound by Team,,62-97,,
9:27.0,D. Valentine misses free throw 2 of 2,,62-97,,
9:27.0,,,62-97,,Defensive rebound by T. Black
9:15.0,,,62-99,2,T. Black makes 2-pt shot at rim (assist by J. Johnson)
8:53.0,N. Vonleh misses 2-pt shot from 1 ft (block by T. Black),,62-99,,
8:50.0,Offensive rebound by N. Vonleh,,62-99,,
8:47.0,J. Grant makes 3-pt shot from 25 ft (assist by N. Vonleh),3,65-99,,
8:32.0,,,65-101,2,G. Green makes 2-pt shot from 20 ft
8:15.0,S. Kilpatrick misses 3-pt shot from 25 ft,,65-101,,
8:11.0,,,65-101,,Defensive rebound by G. Green
8:05.0,,,65-101,,Turnover by G. Green (lost ball; steal by J. Grant)
7:59.0,Shooting foul by T. Black (drawn by L. Markkanen),,65-101,,
7:59.0,L. Markkanen makes free throw 1 of 2,1,66-101,,
7:59.0,,,66-101,,Z. Qi enters the game for R. Anderson
7:59.0,L. Markkanen makes free throw 2 of 2,1,67-101,,
7:47.0,,,67-101,,Turnover by Z. Qi (step out of bounds)
7:27.0,J. Grant misses 3-pt shot from 25 ft,,67-101,,
7:24.0,,,67-101,,Defensive rebound by Z. Qi
7:14.0,,,67-101,,G. Green misses 3-pt shot from 25 ft
7:08.0,,,67-101,,Offensive rebound by Z. Qi
7:07.0,,,67-101,,Shooting foul by D. Valentine (drawn by G. Green)
7:07.0,,,67-102,1,G. Green makes free throw 1 of 2
7:07.0,R. Arcidiacono enters the game for J. Grant,,67-102,,
7:07.0,,,67-103,1,G. Green makes free throw 2 of 2
6:58.0,,,67-103,,Personal block foul by R. Hunter (drawn by S. Kilpatrick)
6:58.0,,,67-103,,Houston full timeout
6:50.0,L. Markkanen misses 2-pt shot from 5 ft,,67-103,,
6:47.0,,,67-103,,Defensive rebound by J. Johnson
6:30.0,,,67-106,3,G. Green makes 3-pt shot from 22 ft (assist by J. Johnson)
6:30.0,,,67-106,,Shooting foul by N. Vonleh (drawn by G. Green)
6:30.0,,,67-107,1,G. Green makes free throw 1 of 1
6:16.0,S. Kilpatrick makes 3-pt shot from 25 ft (assist by L. Markkanen),3,70-107,,
6:02.0,,,70-107,,Turnover by T. Black (lost ball; steal by N. Vonleh)
5:55.0,,,70-107,,Personal foul by R. Hunter (drawn by R. Arcidiacono)
5:55.0,R. Arcidiacono makes free throw 1 of 2,1,71-107,,
5:55.0,R. Arcidiacono makes free throw 2 of 2,1,72-107,,
5:37.0,,,72-109,2,J. Johnson makes 2-pt shot from 15 ft
5:24.0,Turnover by L. Markkanen (bad pass; steal by T. Black),,72-109,,
5:17.0,,,72-109,,G. Green misses 2-pt shot from 1 ft
5:16.0,,,72-109,,Offensive rebound by T. Black
5:13.0,,,72-109,,R. Hunter misses 3-pt shot from 25 ft
5:08.0,Defensive rebound by N. Vonleh,,72-109,,
5:01.0,N. Vonleh misses 3-pt shot from 24 ft,,72-109,,
5:00.0,Offensive rebound by Team,,72-109,,
5:00.0,D. Nwaba enters the game for L. Markkanen,,72-109,,
4:55.0,Shooting foul by Z. Qi (drawn by D. Nwaba),,72-109,,
4:55.0,D. Nwaba makes free throw 1 of 2,1,73-109,,
4:55.0,D. Nwaba makes free throw 2 of 2,1,74-109,,
4:41.0,,,74-109,,G. Green misses 3-pt shot from 26 ft
4:40.0,Defensive rebound by Team,,74-109,,
4:31.0,S. Kilpatrick makes 2-pt shot from 10 ft (assist by N. Vonleh),2,76-109,,
4:11.0,,,76-111,2,T. Black makes 2-pt shot at rim (assist by J. Johnson)
4:04.0,D. Nwaba misses 2-pt shot from 1 ft (block by Z. Qi),,76-111,,
4:01.0,,,76-111,,Defensive rebound by T. Black
3:49.0,,,76-111,,G. Green misses 3-pt shot from 24 ft
3:47.0,Defensive rebound by S. Kilpatrick,,76-111,,
3:46.0,Turnover by S. Kilpatrick (lost ball; steal by R. Hunter),,76-111,,
3:45.0,Personal foul by D. Nwaba (drawn by R. Hunter),,76-111,,
3:36.0,,,76-111,,R. Hunter misses 2-pt shot from 1 ft
3:34.0,Defensive rebound by D. Nwaba,,76-111,,
