time,Memphis,pts.away,score,pts.home,Detroit
6:31.0,,,8-11,,Shooting foul by J. Green (drawn by B. Griffin)
6:31.0,,,8-12,1,B. Griffin makes free throw 1 of 2
6:31.0,,,8-13,1,B. Griffin makes free throw 2 of 2
6:31.0,Violation by B. McLemore (lane),,8-13,,
6:15.0,J. Green misses 2-pt shot from 1 ft (block by B. Griffin),,8-13,,
6:14.0,,,8-13,,Defensive rebound by B. Griffin
6:14.0,Personal foul by J. Ennis (drawn by B. Griffin),,8-13,,
5:58.0,,,8-15,2,R. Bullock makes 2-pt shot from 1 ft (assist by I. Smith)
5:41.0,M. Gasol misses 3-pt shot from 26 ft,,8-15,,
5:38.0,Offensive rebound by J. Ennis,,8-15,,
5:37.0,J. Ennis makes 2-pt shot at rim,2,10-15,,
5:18.0,,,10-15,,Shooting foul by W. Selden (drawn by B. Griffin)
5:18.0,,,10-15,,B. Griffin misses free throw 1 of 2
5:18.0,,,10-15,,Offensive rebound by Team
5:18.0,,,10-15,,L. Kennard enters the game for S. Johnson
5:18.0,M. Henry enters the game for W. Selden,,10-15,,
5:18.0,,,10-16,1,B. Griffin makes free throw 2 of 2
5:04.0,B. McLemore misses 3-pt shot from 25 ft,,10-16,,
4:59.0,Offensive rebound by J. Green,,10-16,,
4:59.0,J. Green makes 2-pt shot at rim,2,12-16,,
4:47.0,,,12-18,2,I. Smith makes 2-pt shot from 1 ft
4:34.0,J. Green makes 2-pt shot from 18 ft (assist by J. Ennis),2,14-18,,
4:24.0,Personal foul by J. Ennis (drawn by R. Bullock),,14-18,,
4:24.0,A. Harrison enters the game for J. Ennis,,14-18,,
4:24.0,,,14-19,1,R. Bullock makes free throw 1 of 2
4:24.0,,,14-20,1,R. Bullock makes free throw 2 of 2
4:15.0,,,14-20,,D. Buycks enters the game for I. Smith
4:08.0,A. Harrison misses 2-pt shot from 3 ft (block by L. Kennard),,14-20,,
4:08.0,Offensive rebound by Team,,14-20,,
4:02.0,J. Green misses 3-pt shot from 24 ft,,14-20,,
3:58.0,,,14-20,,Defensive rebound by R. Bullock
3:51.0,,,14-20,,B. Griffin misses 3-pt shot from 25 ft
3:48.0,Defensive rebound by M. Gasol,,14-20,,
3:36.0,B. McLemore misses 2-pt shot from 20 ft,,14-20,,
3:32.0,Offensive rebound by M. Gasol,,14-20,,
3:31.0,M. Henry misses 3-pt shot from 25 ft,,14-20,,
3:31.0,,,14-20,,Defensive rebound by A. Drummond
3:22.0,,,14-22,2,B. Griffin makes 2-pt shot from 1 ft
3:06.0,J. Green misses 3-pt shot from 25 ft,,14-22,,
3:04.0,,,14-22,,Defensive rebound by A. Drummond
2:52.0,,,14-22,,D. Buycks misses 3-pt shot from 24 ft
2:49.0,Defensive rebound by J. Green,,14-22,,
2:40.0,M. Gasol misses 2-pt shot from 13 ft,,14-22,,
2:38.0,,,14-22,,Defensive rebound by B. Griffin
2:23.0,,,14-22,,Turnover by L. Kennard (bad pass)
2:23.0,,,14-22,,Detroit full timeout
2:23.0,,,14-22,,L. Galloway enters the game for B. Griffin
2:23.0,,,14-22,,A. Tolliver enters the game for R. Bullock
2:23.0,D. Davis enters the game for J. Green,,14-22,,
2:23.0,J. Martin enters the game for M. Gasol,,14-22,,
2:11.0,A. Harrison misses 2-pt shot from 15 ft,,14-22,,
2:02.0,Offensive rebound by D. Davis,,14-22,,
2:02.0,D. Davis makes 2-pt shot at rim,2,16-22,,
1:52.0,,,16-24,2,D. Buycks makes 2-pt shot from 1 ft (assist by L. Kennard)
1:37.0,,,16-24,,Personal foul by L. Kennard (drawn by J. Martin)
1:28.0,A. Harrison makes 2-pt shot from 2 ft,2,18-24,,
1:11.0,,,18-24,,L. Kennard misses 2-pt shot from 10 ft
1:09.0,Defensive rebound by D. Davis,,18-24,,
1:05.0,M. Henry makes 2-pt shot from 1 ft (assist by A. Harrison),2,20-24,,
0:50.0,,,20-24,,A. Drummond misses 2-pt shot from 2 ft
0:48.0,Defensive rebound by A. Harrison,,20-24,,
0:41.0,B. McLemore misses 2-pt shot from 5 ft (block by A. Drummond),,20-24,,
0:37.0,,,20-24,,Defensive rebound by A. Drummond
0:34.0,,,20-27,3,A. Tolliver makes 3-pt shot from 24 ft (assist by A. Drummond)
0:17.0,J. Martin makes 2-pt shot from 5 ft,2,22-27,,
0:05.0,,,22-27,,Offensive foul by A. Tolliver (drawn by A. Harrison)
0:05.0,,,22-27,,Turnover by A. Tolliver (offensive foul)
0:01.0,A. Harrison makes 3-pt shot from 24 ft,3,25-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,D. Davis makes 2-pt shot at rim (assist by J. Martin),2,27-27,,
11:33.0,,,27-27,,L. Galloway misses 2-pt shot from 5 ft
11:31.0,Defensive rebound by D. Davis,,27-27,,
11:25.0,M. Henry makes 3-pt shot from 24 ft (assist by A. Harrison),3,30-27,,
11:03.0,,,30-27,,D. Buycks misses 2-pt shot from 2 ft
11:01.0,,,30-27,,Offensive rebound by D. Buycks
10:56.0,,,30-27,,E. Moreland misses 2-pt shot from 4 ft
10:55.0,Defensive rebound by D. Davis,,30-27,,
10:50.0,J. Martin makes 2-pt shot from 18 ft (assist by A. Harrison),2,32-27,,
10:41.0,,,32-27,,Detroit full timeout
10:34.0,,,32-27,,Shooting foul by J. Martin (drawn by L. Kennard)
10:34.0,,,32-28,1,L. Kennard makes free throw 1 of 2
10:34.0,,,32-28,,S. Johnson enters the game for L. Galloway
10:34.0,,,32-29,1,L. Kennard makes free throw 2 of 2
10:19.0,J. Martin misses 2-pt shot from 18 ft,,32-29,,
10:17.0,Offensive rebound by Team,,32-29,,
10:14.0,B. McLemore misses 3-pt shot from 24 ft,,32-29,,
10:10.0,,,32-29,,Defensive rebound by A. Tolliver
9:57.0,,,32-31,2,L. Kennard makes 2-pt shot from 1 ft (assist by S. Johnson)
9:43.0,D. Davis makes 2-pt shot from 1 ft (assist by A. Harrison),2,34-31,,
9:24.0,,,34-31,,A. Tolliver misses 3-pt shot from 22 ft
9:21.0,Defensive rebound by B. McLemore,,34-31,,
9:14.0,D. Davis misses 2-pt shot from 8 ft,,34-31,,
9:12.0,,,34-31,,Defensive rebound by E. Moreland
8:58.0,,,34-31,,Shooting foul by D. Davis (drawn by E. Moreland)
8:58.0,,,34-31,,E. Moreland misses free throw 1 of 2
8:58.0,,,34-31,,Offensive rebound by Team
8:58.0,W. Selden enters the game for A. Harrison,,34-31,,
8:58.0,D. Brooks enters the game for B. McLemore,,34-31,,
8:58.0,,,34-31,,E. Moreland misses free throw 2 of 2
8:53.0,Defensive rebound by J. Martin,,34-31,,
8:39.0,W. Selden makes 3-pt shot from 24 ft (assist by D. Brooks),3,37-31,,
8:14.0,,,37-33,2,D. Buycks makes 2-pt shot from 1 ft
8:01.0,Turnover by J. Martin (lost ball; steal by D. Buycks),,37-33,,
7:57.0,,,37-35,2,D. Buycks makes 2-pt shot at rim (assist by A. Tolliver)
7:39.0,D. Brooks makes 3-pt shot from 24 ft (assist by W. Selden),3,40-35,,
7:15.0,,,40-35,,S. Johnson misses 3-pt shot from 26 ft
7:11.0,Defensive rebound by D. Davis,,40-35,,
7:06.0,W. Selden makes 2-pt shot from 6 ft,2,42-35,,
6:54.0,,,42-35,,Shooting foul by D. Davis (drawn by D. Buycks)
6:54.0,,,42-36,1,D. Buycks makes free throw 1 of 2
6:54.0,,,42-36,,A. Drummond enters the game for L. Kennard
6:54.0,,,42-36,,B. Griffin enters the game for E. Moreland
6:54.0,,,42-36,,R. Bullock enters the game for A. Tolliver
6:54.0,J. Green enters the game for J. Martin,,42-36,,
6:54.0,J. Ennis enters the game for M. Henry,,42-36,,
6:54.0,M. Gasol enters the game for D. Davis,,42-36,,
6:54.0,,,42-36,,D. Buycks misses free throw 2 of 2
6:48.0,,,42-36,,Offensive rebound by A. Drummond
6:48.0,,,42-38,2,A. Drummond makes 2-pt shot at rim
6:30.0,J. Ennis misses 2-pt shot from 12 ft,,42-38,,
6:27.0,,,42-38,,Defensive rebound by B. Griffin
6:21.0,,,42-40,2,A. Drummond makes 2-pt shot from 2 ft (assist by B. Griffin)
6:09.0,W. Selden misses 2-pt shot from 8 ft,,42-40,,
6:07.0,,,42-40,,Defensive rebound by A. Drummond
6:01.0,,,42-40,,Shooting foul by J. Green (drawn by B. Griffin)
6:01.0,,,42-41,1,B. Griffin makes free throw 1 of 2
6:01.0,,,42-41,,I. Smith enters the game for D. Buycks
6:01.0,,,42-41,,B. Griffin misses free throw 2 of 2
5:58.0,Defensive rebound by J. Ennis,,42-41,,
5:44.0,M. Gasol misses 2-pt shot from 12 ft,,42-41,,
5:42.0,,,42-41,,Defensive rebound by A. Drummond
5:23.0,,,42-44,3,B. Griffin makes 3-pt shot from 25 ft (assist by I. Smith)
5:17.0,Memphis full timeout,,42-44,,
5:06.0,Turnover by W. Selden (bad pass; steal by I. Smith),,42-44,,
5:02.0,,,42-46,2,S. Johnson makes 2-pt shot from 1 ft (assist by I. Smith)
4:44.0,J. Green makes 2-pt shot from 1 ft (assist by J. Ennis),2,44-46,,
4:24.0,,,44-46,,Turnover by A. Drummond (lost ball; steal by J. Ennis)
4:16.0,Memphis full timeout,,44-46,,
4:16.0,A. Harrison enters the game for W. Selden,,44-46,,
4:08.0,J. Green misses 2-pt shot from 18 ft,,44-46,,
4:06.0,,,44-46,,Defensive rebound by A. Drummond
4:05.0,,,44-46,,Shooting foul by A. Harrison (drawn by I. Smith)
4:05.0,,,44-47,1,I. Smith makes free throw 1 of 2
4:05.0,,,44-48,1,I. Smith makes free throw 2 of 2
3:53.0,M. Gasol makes 2-pt shot from 1 ft (assist by J. Green),2,46-48,,
3:53.0,Shooting foul by I. Smith (drawn by M. Gasol),,46-48,,
3:53.0,M. Gasol makes free throw 1 of 1,1,47-48,,
3:43.0,,,47-48,,B. Griffin misses 3-pt shot from 23 ft
3:39.0,Defensive rebound by D. Brooks,,47-48,,
3:31.0,M. Henry enters the game for J. Ennis,,47-48,,
3:26.0,Turnover by A. Harrison (lost ball; steal by I. Smith),,47-48,,
3:19.0,,,47-48,,S. Johnson misses 3-pt shot from 26 ft
3:16.0,Defensive rebound by M. Gasol,,47-48,,
3:09.0,M. Gasol misses 3-pt shot from 26 ft,,47-48,,
3:07.0,,,47-48,,Defensive rebound by B. Griffin
2:55.0,,,47-48,,S. Johnson misses 2-pt shot from 7 ft
2:55.0,J. Martin enters the game for J. Green,,47-48,,
2:55.0,W. Selden enters the game for D. Brooks,,47-48,,
2:52.0,Jump ball: S. Johnson vs. M. Henry (B. Griffin gains possession),,,,Jump ball: S. Johnson vs. M. Henry (B. Griffin gains possession)
2:52.0,,,47-48,,Offensive rebound by Team
2:45.0,,,47-48,,Shooting foul by J. Martin (drawn by A. Drummond)
2:45.0,,,47-48,,A. Drummond misses free throw 1 of 2
2:45.0,,,47-48,,Offensive rebound by Team
2:45.0,,,47-48,,A. Drummond misses free throw 2 of 2
2:43.0,Defensive rebound by M. Gasol,,47-48,,
2:21.0,A. Harrison misses 2-pt shot from 19 ft,,47-48,,
2:19.0,,,47-48,,Defensive rebound by B. Griffin
2:12.0,,,47-48,,A. Drummond misses 2-pt shot from 5 ft
2:11.0,Defensive rebound by M. Gasol,,47-48,,
2:06.0,,,47-48,,Personal foul by A. Drummond (drawn by W. Selden)
2:06.0,,,47-48,,A. Tolliver enters the game for A. Drummond
1:57.0,Shooting foul by B. Griffin (drawn by A. Harrison),,47-48,,
1:57.0,A. Harrison makes free throw 1 of 2,1,48-48,,
1:57.0,J. Green enters the game for J. Martin,,48-48,,
1:57.0,A. Harrison makes free throw 2 of 2,1,49-48,,
1:45.0,,,49-51,3,R. Bullock makes 3-pt shot from 25 ft (assist by B. Griffin)
1:24.0,M. Gasol misses 2-pt shot from 7 ft,,49-51,,
1:21.0,,,49-51,,Defensive rebound by S. Johnson
1:15.0,,,49-51,,Turnover by S. Johnson (bad pass; steal by M. Henry)
0:56.0,W. Selden misses 3-pt shot from 26 ft,,49-51,,
0:52.0,,,49-51,,Defensive rebound by I. Smith
0:42.0,,,49-51,,A. Tolliver misses 2-pt shot from 1 ft
0:40.0,Defensive rebound by A. Harrison,,49-51,,
0:27.0,A. Harrison makes 2-pt shot from 1 ft,2,51-51,,
0:03.0,,,51-51,,B. Griffin misses 2-pt shot from 14 ft
0:00.0,Defensive rebound by M. Gasol,,51-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,M. Gasol misses 3-pt shot from 26 ft,,51-51,,
11:46.0,,,51-51,,Defensive rebound by Team
11:46.0,,,51-51,,B. Griffin enters the game for A. Tolliver
11:32.0,,,51-53,2,B. Griffin makes 2-pt shot from 19 ft (assist by A. Drummond)
11:21.0,Turnover by W. Selden (lost ball; steal by A. Drummond),,51-53,,
11:18.0,,,51-53,,A. Drummond misses 2-pt shot from 1 ft
11:13.0,Defensive rebound by J. Martin,,51-53,,
11:06.0,M. Gasol misses 2-pt shot from 3 ft,,51-53,,
11:03.0,,,51-53,,Defensive rebound by A. Drummond
10:56.0,,,51-53,,I. Smith misses 2-pt shot from 19 ft
10:54.0,Defensive rebound by M. Gasol,,51-53,,
10:50.0,D. Brooks makes 2-pt shot from 3 ft,2,53-53,,
10:50.0,Shooting foul by A. Drummond (drawn by D. Brooks),,53-53,,
10:50.0,D. Brooks makes free throw 1 of 1,1,54-53,,
10:40.0,,,54-53,,S. Johnson misses 3-pt shot from 23 ft
10:36.0,Defensive rebound by W. Selden,,54-53,,
10:24.0,W. Selden misses 3-pt shot from 25 ft,,54-53,,
10:21.0,,,54-53,,Defensive rebound by A. Drummond
10:12.0,,,54-55,2,B. Griffin makes 2-pt shot from 3 ft
10:12.0,,,54-55,,Shooting foul by J. Martin (drawn by B. Griffin)
10:12.0,,,54-56,1,B. Griffin makes free throw 1 of 1
10:02.0,D. Brooks makes 2-pt shot from 13 ft (assist by A. Harrison),2,56-56,,
9:47.0,,,56-56,,Offensive foul by A. Drummond (drawn by D. Brooks)
9:47.0,,,56-56,,Turnover by A. Drummond (offensive foul)
9:32.0,D. Brooks misses 3-pt shot from 24 ft,,56-56,,
9:29.0,Offensive rebound by J. Martin,,56-56,,
9:27.0,M. Gasol makes 2-pt shot from 12 ft (assist by J. Martin),2,58-56,,
9:26.0,,,58-56,,Detroit full timeout
9:26.0,,,58-56,,W. Reed enters the game for A. Drummond
9:11.0,,,58-58,2,B. Griffin makes 2-pt shot from 2 ft
9:01.0,,,58-58,,Personal foul by I. Smith (drawn by A. Harrison)
8:45.0,W. Selden misses 2-pt shot from 8 ft,,58-58,,
8:45.0,Offensive rebound by Team,,58-58,,
8:45.0,Turnover by Team (shot clock),,58-58,,
8:21.0,,,58-58,,B. Griffin misses 2-pt shot from 22 ft (block by M. Gasol)
8:21.0,,,58-58,,Offensive rebound by Team
8:21.0,,,58-58,,Turnover by Team (shot clock)
8:14.0,,,58-58,,Personal foul by W. Reed (drawn by M. Gasol)
8:04.0,D. Brooks misses 3-pt shot from 25 ft,,58-58,,
8:01.0,Offensive rebound by M. Gasol,,58-58,,
7:58.0,J. Martin makes 2-pt shot from 1 ft (assist by W. Selden),2,60-58,,
7:58.0,,,60-58,,Violation by R. Bullock (def goaltending)
7:42.0,Violation by A. Harrison (kicked ball),,60-58,,
7:34.0,,,60-58,,I. Smith misses 2-pt shot from 7 ft
7:32.0,Defensive rebound by M. Gasol,,60-58,,
7:18.0,Turnover by M. Gasol (traveling),,60-58,,
7:06.0,,,60-61,3,S. Johnson makes 3-pt shot from 24 ft (assist by B. Griffin)
6:44.0,,,60-61,,Personal foul by W. Reed (drawn by M. Gasol)
6:44.0,J. Ennis enters the game for W. Selden,,60-61,,
6:44.0,J. Green enters the game for J. Martin,,60-61,,
6:35.0,A. Harrison makes 2-pt shot from 4 ft,2,62-61,,
6:15.0,,,62-64,3,S. Johnson makes 3-pt shot from 25 ft (assist by B. Griffin)
5:55.0,M. Gasol makes 2-pt shot from 15 ft,2,64-64,,
5:55.0,Shooting foul by W. Reed (drawn by M. Gasol),,64-64,,
5:55.0,M. Gasol makes free throw 1 of 1,1,65-64,,
5:37.0,,,65-66,2,R. Bullock makes 2-pt shot from 11 ft (assist by W. Reed)
5:26.0,,,65-66,,Def 3 sec tech foul by B. Griffin
5:26.0,M. Gasol makes technical free throw,1,66-66,,
5:26.0,,,66-66,,L. Kennard enters the game for R. Bullock
5:26.0,M. Henry enters the game for D. Brooks,,66-66,,
5:14.0,M. Gasol makes 2-pt shot from 9 ft,2,68-66,,
4:59.0,,,68-68,2,S. Johnson makes 2-pt shot from 15 ft
4:47.0,M. Gasol misses 3-pt shot from 28 ft,,68-68,,
4:43.0,,,68-68,,Defensive rebound by B. Griffin
4:39.0,,,68-68,,S. Johnson misses 3-pt shot from 24 ft
4:35.0,Defensive rebound by M. Gasol,,68-68,,
4:24.0,J. Green misses 2-pt shot from 1 ft,,68-68,,
4:20.0,,,68-68,,Defensive rebound by B. Griffin
4:04.0,,,68-70,2,I. Smith makes 2-pt shot from 1 ft (assist by S. Johnson)
4:04.0,,,68-70,,Shooting foul by A. Harrison (drawn by I. Smith)
4:04.0,,,68-70,,A. Tolliver enters the game for W. Reed
4:04.0,W. Selden enters the game for A. Harrison,,68-70,,
4:04.0,,,68-70,,I. Smith misses free throw 1 of 1
4:01.0,Defensive rebound by M. Gasol,,68-70,,
3:56.0,J. Ennis misses 2-pt shot from 2 ft,,68-70,,
3:54.0,,,68-70,,Defensive rebound by A. Tolliver
3:49.0,,,68-72,2,I. Smith makes 2-pt shot from 1 ft
3:49.0,Memphis full timeout,,68-72,,
3:34.0,M. Gasol misses 2-pt shot from 7 ft,,68-72,,
3:32.0,,,68-72,,Defensive rebound by S. Johnson
3:30.0,Personal foul by J. Ennis (drawn by S. Johnson),,68-72,,
3:22.0,,,68-72,,L. Kennard misses 3-pt shot from 24 ft
3:19.0,Defensive rebound by J. Green,,68-72,,
3:05.0,M. Henry makes 2-pt shot from 3 ft,2,70-72,,
2:54.0,Personal foul by J. Green (drawn by S. Johnson),,70-72,,
2:54.0,,,70-72,,D. Buycks enters the game for I. Smith
2:54.0,D. Davis enters the game for M. Gasol,,70-72,,
2:49.0,,,70-72,,A. Tolliver misses 3-pt shot from 28 ft
2:47.0,,,70-72,,Offensive rebound by B. Griffin
2:47.0,Personal foul by J. Ennis (drawn by B. Griffin),,70-72,,
2:47.0,,,70-73,1,B. Griffin makes free throw 1 of 2
2:47.0,D. Brooks enters the game for J. Ennis,,70-73,,
2:47.0,,,70-74,1,B. Griffin makes free throw 2 of 2
2:22.0,Turnover by Team (shot clock),,70-74,,
2:12.0,,,70-76,2,D. Buycks makes 2-pt shot from 3 ft
1:53.0,J. Green makes 2-pt shot from 16 ft (assist by D. Brooks),2,72-76,,
1:30.0,,,72-78,2,S. Johnson makes 2-pt shot from 19 ft
1:10.0,D. Davis makes 2-pt shot from 16 ft (assist by D. Brooks),2,74-78,,
0:46.0,,,74-78,,Shooting foul by D. Brooks (drawn by S. Johnson)
0:46.0,,,74-79,1,S. Johnson makes free throw 1 of 2
0:46.0,A. Harrison enters the game for J. Green,,74-79,,
0:46.0,J. Martin enters the game for M. Henry,,74-79,,
0:46.0,,,74-80,1,S. Johnson makes free throw 2 of 2
0:38.0,A. Harrison misses 3-pt shot from 25 ft,,74-80,,
0:34.0,,,74-80,,Defensive rebound by A. Tolliver
0:13.0,,,74-80,,B. Griffin misses 2-pt shot from 5 ft
0:12.0,Defensive rebound by D. Davis,,74-80,,
0:07.0,D. Brooks misses 2-pt shot from 3 ft,,74-80,,
0:06.0,Offensive rebound by J. Martin,,74-80,,
0:06.0,J. Martin makes 2-pt shot at rim,2,76-80,,
0:00.0,,,76-80,,Shooting foul by A. Harrison (drawn by D. Buycks)
0:00.0,,,76-81,1,D. Buycks makes free throw 1 of 2
0:00.0,,,76-82,1,D. Buycks makes free throw 2 of 2
0:00.0,D. Brooks misses 3-pt shot from 67 ft,,76-82,,
0:00.0,Offensive rebound by Team,,76-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,76-82,,Turnover by D. Buycks (bad pass; steal by A. Harrison)
11:38.0,D. Davis makes 2-pt shot from 8 ft (assist by W. Selden),2,78-82,,
11:16.0,,,78-82,,R. Bullock misses 3-pt shot from 25 ft
11:13.0,Defensive rebound by A. Harrison,,78-82,,
11:09.0,A. Harrison makes 2-pt shot from 8 ft,2,80-82,,
11:09.0,Shooting foul by D. Buycks (drawn by A. Harrison),,80-82,,
11:09.0,J. Ennis enters the game for W. Selden,,80-82,,
11:09.0,A. Harrison makes free throw 1 of 1,1,81-82,,
10:52.0,,,81-84,2,A. Drummond makes 2-pt shot at rim (assist by L. Kennard)
10:35.0,D. Brooks misses 2-pt shot from 1 ft,,81-84,,
10:35.0,,,81-84,,Defensive rebound by A. Drummond
10:28.0,,,81-84,,L. Kennard misses technical free throw
10:28.0,,,81-84,,Offensive rebound by Team
10:22.0,,,81-84,,D. Buycks misses 2-pt shot from 2 ft
10:19.0,Defensive rebound by D. Brooks,,81-84,,
10:14.0,D. Davis makes 2-pt shot from 3 ft (assist by A. Harrison),2,83-84,,
10:00.0,,,83-84,,A. Drummond misses 2-pt shot from 2 ft
10:00.0,Defensive rebound by J. Martin,,83-84,,
9:53.0,Turnover by J. Martin (lost ball; steal by A. Drummond),,83-84,,
9:42.0,,,83-84,,R. Bullock misses 3-pt shot from 23 ft
9:38.0,Defensive rebound by D. Davis,,83-84,,
9:26.0,J. Ennis makes 3-pt shot from 27 ft (assist by D. Davis),3,86-84,,
9:25.0,,,86-84,,Detroit full timeout
9:03.0,,,86-84,,A. Drummond misses 2-pt shot from 3 ft (block by D. Davis)
9:01.0,Defensive rebound by J. Ennis,,86-84,,
8:54.0,D. Brooks makes 3-pt shot from 26 ft (assist by A. Harrison),3,89-84,,
8:30.0,,,89-86,2,A. Drummond makes 2-pt shot from 7 ft (assist by D. Buycks)
8:16.0,,,89-86,,Personal foul by D. Buycks (drawn by A. Harrison)
8:03.0,A. Harrison makes 2-pt shot from 7 ft,2,91-86,,
7:48.0,,,91-86,,D. Buycks misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by D. Davis,,91-86,,
7:28.0,Turnover by A. Harrison (bad pass; steal by L. Kennard),,91-86,,
7:20.0,,,91-88,2,A. Drummond makes 2-pt shot from 4 ft
7:07.0,J. Martin misses 2-pt shot from 3 ft,,91-88,,
7:04.0,,,91-88,,Defensive rebound by L. Kennard
6:58.0,,,91-88,,Shooting foul by J. Ennis (drawn by D. Buycks)
6:58.0,,,91-89,1,D. Buycks makes free throw 1 of 2
6:58.0,,,91-89,,S. Johnson enters the game for L. Kennard
6:58.0,,,91-89,,B. Griffin enters the game for A. Tolliver
6:58.0,W. Selden enters the game for A. Harrison,,91-89,,
6:58.0,M. Gasol enters the game for D. Davis,,91-89,,
6:58.0,M. Henry enters the game for J. Ennis,,91-89,,
6:58.0,,,91-90,1,D. Buycks makes free throw 2 of 2
6:35.0,W. Selden misses 2-pt shot from 5 ft,,91-90,,
6:31.0,Offensive rebound by W. Selden,,91-90,,
6:29.0,M. Henry makes 3-pt shot from 24 ft (assist by M. Gasol),3,94-90,,
6:12.0,,,94-90,,R. Bullock misses 2-pt shot from 6 ft
6:10.0,,,94-90,,Offensive rebound by A. Drummond
6:09.0,,,94-92,2,A. Drummond makes 2-pt shot from 1 ft
5:57.0,Turnover by W. Selden (lost ball; steal by S. Johnson),,94-92,,
5:53.0,,,94-94,2,A. Drummond makes 2-pt shot from 1 ft (assist by S. Johnson)
5:53.0,Memphis full timeout,,94-94,,
5:53.0,,,94-94,,I. Smith enters the game for D. Buycks
5:38.0,M. Gasol makes 2-pt shot from 4 ft,2,96-94,,
5:11.0,,,96-94,,Turnover by Team (shot clock)
5:00.0,M. Gasol misses 2-pt shot from 20 ft,,96-94,,
4:57.0,,,96-94,,Defensive rebound by I. Smith
4:48.0,,,96-96,2,I. Smith makes 2-pt shot from 4 ft
4:33.0,W. Selden misses 3-pt shot from 25 ft,,96-96,,
4:30.0,,,96-96,,Defensive rebound by A. Drummond
4:24.0,,,96-96,,I. Smith misses 2-pt shot from 5 ft
4:22.0,Defensive rebound by M. Gasol,,96-96,,
4:10.0,J. Martin misses 2-pt shot from 12 ft,,96-96,,
4:07.0,,,96-96,,Defensive rebound by A. Drummond
