time,Portland,pts.away,score,pts.home,Orlando
4:26.0,,,15-13,,W. Iwundu enters the game for M. Hezonja
4:26.0,P. Connaughton enters the game for C. McCollum,,15-13,,
4:14.0,D. Lillard makes 3-pt shot from 28 ft,3,18-13,,
4:04.0,,,18-16,3,A. Gordon makes 3-pt shot from 25 ft (assist by E. Payton)
3:44.0,A. Aminu makes 2-pt shot at rim (assist by D. Lillard),2,20-16,,
3:43.0,,,20-16,,Orlando full timeout
3:43.0,,,20-16,,B. Biyombo enters the game for E. Payton
3:43.0,,,20-16,,D. Augustin enters the game for N. Vucevic
3:28.0,,,20-16,,A. Gordon misses 2-pt shot from 17 ft
3:25.0,Defensive rebound by P. Connaughton,,20-16,,
3:16.0,Z. Collins misses 2-pt shot from 11 ft,,20-16,,
3:13.0,,,20-16,,Defensive rebound by A. Gordon
2:57.0,,,20-16,,D. Augustin misses 2-pt shot from 11 ft (block by D. Lillard)
2:57.0,Defensive rebound by D. Lillard,,20-16,,
2:51.0,E. Davis misses 2-pt shot from 1 ft (block by J. Simmons),,20-16,,
2:46.0,,,20-16,,Defensive rebound by B. Biyombo
2:35.0,,,20-19,3,J. Simmons makes 3-pt shot from 22 ft (assist by D. Augustin)
2:14.0,D. Lillard misses 3-pt shot from 26 ft,,20-19,,
2:10.0,,,20-19,,Defensive rebound by J. Simmons
2:00.0,,,20-19,,J. Simmons misses 2-pt shot from 9 ft (block by E. Davis)
1:57.0,Defensive rebound by E. Davis,,20-19,,
1:52.0,,,20-19,,Personal foul by A. Gordon (drawn by D. Lillard)
1:52.0,S. Napier enters the game for A. Aminu,,20-19,,
1:52.0,,,20-19,,M. Speights enters the game for A. Gordon
1:37.0,P. Connaughton misses 3-pt shot from 25 ft,,20-19,,
1:31.0,Offensive rebound by D. Lillard,,20-19,,
1:19.0,S. Napier makes 2-pt shot from 17 ft,2,22-19,,
1:06.0,,,22-19,,Shooting foul by E. Davis (drawn by B. Biyombo)
1:06.0,,,22-19,,B. Biyombo misses free throw 1 of 2
1:06.0,,,22-19,,Offensive rebound by Team
1:06.0,C. McCollum enters the game for D. Lillard,,22-19,,
1:06.0,,,22-20,1,B. Biyombo makes free throw 2 of 2
0:54.0,Z. Collins misses 3-pt shot from 26 ft,,22-20,,
0:52.0,,,22-20,,Defensive rebound by B. Biyombo
0:34.0,,,22-20,,M. Speights misses 2-pt shot from 7 ft
0:31.0,Defensive rebound by S. Napier,,22-20,,
0:14.0,C. McCollum makes 2-pt shot from 21 ft,2,24-20,,
0:00.0,,,24-20,,J. Simmons misses 2-pt shot from 19 ft
0:00.0,,,24-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,24-20,,B. Biyombo misses 2-pt shot from 6 ft
11:44.0,,,24-20,,Offensive rebound by M. Speights
11:44.0,,,24-20,,M. Speights misses 2-pt shot from 6 ft (block by Z. Collins)
11:44.0,Defensive rebound by S. Napier,,24-20,,
11:18.0,Z. Collins misses 2-pt shot from 7 ft (block by M. Speights),,24-20,,
11:18.0,Offensive rebound by Team,,24-20,,
11:16.0,P. Connaughton misses 2-pt shot from 17 ft,,24-20,,
11:15.0,Offensive rebound by Team,,24-20,,
11:15.0,Turnover by Team (shot clock),,24-20,,
11:05.0,,,24-20,,Turnover by W. Iwundu (bad pass; steal by S. Napier)
11:02.0,C. McCollum misses 2-pt shot at rim,,24-20,,
11:01.0,,,24-20,,Defensive rebound by Team
11:01.0,Loose ball foul by E. Davis (drawn by B. Biyombo),,24-20,,
11:01.0,N. Vonleh enters the game for E. Davis,,24-20,,
10:47.0,,,24-20,,D. Augustin misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by Z. Collins,,24-20,,
10:29.0,P. Connaughton makes 3-pt shot from 22 ft (assist by S. Napier),3,27-20,,
10:09.0,,,27-20,,M. Speights misses 2-pt shot from 1 ft
10:09.0,Defensive rebound by P. Connaughton,,27-20,,
10:02.0,,,27-20,,Personal foul by M. Speights (drawn by C. McCollum)
9:51.0,Z. Collins misses 2-pt shot from 17 ft,,27-20,,
9:48.0,,,27-20,,Defensive rebound by M. Speights
9:43.0,,,27-20,,M. Speights misses 3-pt shot from 25 ft
9:40.0,Defensive rebound by C. McCollum,,27-20,,
9:35.0,C. McCollum misses 2-pt shot from 20 ft,,27-20,,
9:33.0,Offensive rebound by Z. Collins,,27-20,,
9:31.0,P. Connaughton makes 3-pt shot from 25 ft (assist by Z. Collins),3,30-20,,
9:30.0,,,30-20,,Orlando full timeout
9:18.0,,,30-22,2,W. Iwundu makes 2-pt shot from 2 ft (assist by B. Biyombo)
8:56.0,S. Napier makes 2-pt shot from 20 ft,2,32-22,,
8:38.0,,,32-25,3,D. Augustin makes 3-pt shot from 25 ft (assist by M. Speights)
8:17.0,Z. Collins misses 2-pt shot from 3 ft,,32-25,,
8:17.0,,,32-25,,Defensive rebound by S. Mack
8:04.0,,,32-25,,S. Mack misses 2-pt shot from 1 ft
8:04.0,,,32-25,,Offensive rebound by B. Biyombo
7:57.0,,,32-27,2,B. Biyombo makes 2-pt shot from 2 ft
7:37.0,C. McCollum misses 2-pt shot from 2 ft,,32-27,,
7:35.0,,,32-27,,Defensive rebound by S. Mack
7:27.0,,,32-27,,W. Iwundu misses 2-pt shot from 10 ft
7:27.0,Defensive rebound by Z. Collins,,32-27,,
7:15.0,S. Napier misses 2-pt shot from 2 ft,,32-27,,
7:11.0,,,32-27,,Defensive rebound by M. Speights
7:09.0,Personal foul by Z. Collins (drawn by B. Biyombo),,32-27,,
7:09.0,,,32-27,,N. Vucevic enters the game for B. Biyombo
7:09.0,J. Nurkic enters the game for Z. Collins,,32-27,,
6:53.0,,,32-27,,W. Iwundu misses 3-pt shot from 26 ft
6:52.0,,,32-27,,Offensive rebound by Team
6:52.0,,,32-27,,Turnover by Team (shot clock)
6:52.0,,,32-27,,M. Hezonja enters the game for M. Speights
6:52.0,,,32-27,,A. Gordon enters the game for W. Iwundu
6:52.0,E. Turner enters the game for P. Connaughton,,32-27,,
6:38.0,C. McCollum makes 2-pt shot from 14 ft,2,34-27,,
6:12.0,,,34-27,,S. Mack misses 2-pt shot from 3 ft
6:09.0,Defensive rebound by J. Nurkic,,34-27,,
6:03.0,J. Nurkic makes 2-pt shot from 2 ft (assist by C. McCollum),2,36-27,,
5:51.0,,,36-27,,D. Augustin misses 2-pt shot from 1 ft
5:47.0,Defensive rebound by E. Turner,,36-27,,
5:43.0,Shooting foul by S. Mack (drawn by E. Turner),,36-27,,
5:43.0,E. Turner makes free throw 1 of 2,1,37-27,,
5:43.0,,,37-27,,E. Payton enters the game for D. Augustin
5:43.0,D. Lillard enters the game for C. McCollum,,37-27,,
5:43.0,E. Turner makes free throw 2 of 2,1,38-27,,
5:31.0,,,38-29,2,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Payton)
5:13.0,J. Nurkic misses 2-pt shot from 10 ft,,38-29,,
5:10.0,Offensive rebound by J. Nurkic,,38-29,,
5:09.0,J. Nurkic makes 2-pt shot from 2 ft,2,40-29,,
4:59.0,,,40-29,,A. Gordon misses 2-pt shot at rim
4:56.0,Defensive rebound by E. Turner,,40-29,,
4:54.0,,,40-29,,Personal foul by N. Vucevic (drawn by J. Nurkic)
4:54.0,A. Aminu enters the game for N. Vonleh,,40-29,,
4:48.0,D. Lillard misses 3-pt shot from 25 ft,,40-29,,
4:46.0,,,40-29,,Defensive rebound by E. Payton
4:40.0,,,40-31,2,E. Payton makes 2-pt shot from 2 ft
4:22.0,E. Turner makes 2-pt shot from 14 ft,2,42-31,,
4:12.0,,,42-31,,Offensive foul by A. Gordon (drawn by S. Napier)
4:12.0,,,42-31,,Turnover by A. Gordon (offensive foul)
4:12.0,,,42-31,,M. Speights enters the game for A. Gordon
4:12.0,,,42-31,,J. Simmons enters the game for S. Mack
3:59.0,E. Turner misses 2-pt shot from 21 ft,,42-31,,
3:56.0,,,42-31,,Defensive rebound by N. Vucevic
3:46.0,,,42-33,2,N. Vucevic makes 2-pt shot from 7 ft
3:17.0,A. Aminu makes 3-pt shot from 22 ft (assist by S. Napier),3,45-33,,
2:54.0,,,45-35,2,E. Payton makes 2-pt shot from 16 ft
2:54.0,Portland full timeout,,45-35,,
2:54.0,,,45-35,,D. Augustin enters the game for M. Speights
2:54.0,C. McCollum enters the game for S. Napier,,45-35,,
2:40.0,D. Lillard makes 3-pt shot from 26 ft,3,48-35,,
2:26.0,,,48-35,,E. Payton misses 2-pt shot from 7 ft
2:23.0,Defensive rebound by A. Aminu,,48-35,,
2:15.0,D. Lillard misses 2-pt shot at rim,,48-35,,
2:13.0,,,48-35,,Defensive rebound by J. Simmons
2:06.0,,,48-38,3,D. Augustin makes 3-pt shot from 25 ft (assist by N. Vucevic)
1:49.0,C. McCollum misses 2-pt shot from 15 ft,,48-38,,
1:46.0,,,48-38,,Defensive rebound by N. Vucevic
1:35.0,,,48-38,,N. Vucevic misses 2-pt shot from 11 ft
1:33.0,Turnover by J. Nurkic (bad pass),,48-38,,
1:33.0,Offensive rebound by J. Nurkic,,48-38,,
1:33.0,E. Davis enters the game for J. Nurkic,,48-38,,
1:24.0,,,48-38,,Shooting foul by D. Lillard (drawn by M. Hezonja)
1:24.0,,,48-39,1,M. Hezonja makes free throw 1 of 2
1:24.0,,,48-39,,B. Biyombo enters the game for N. Vucevic
1:24.0,,,48-40,1,M. Hezonja makes free throw 2 of 2
1:06.0,,,48-40,,Personal foul by M. Hezonja (drawn by E. Turner)
0:57.0,D. Lillard makes 2-pt shot from 1 ft (assist by E. Turner),2,50-40,,
0:37.0,,,50-43,3,D. Augustin makes 3-pt shot from 23 ft (assist by J. Simmons)
0:32.0,Offensive charge foul by E. Davis (drawn by J. Simmons),,50-43,,
0:32.0,Turnover by E. Davis (offensive foul),,50-43,,
0:32.0,N. Vonleh enters the game for E. Davis,,50-43,,
0:23.0,,,50-43,,J. Simmons misses 2-pt shot from 3 ft (block by N. Vonleh)
0:19.0,Defensive rebound by C. McCollum,,50-43,,
0:00.0,C. McCollum misses 2-pt shot from 22 ft,,50-43,,
0:00.0,Offensive rebound by Team,,50-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,50-43,,N. Vucevic misses 2-pt shot from 10 ft
11:41.0,Defensive rebound by J. Nurkic,,50-43,,
11:32.0,Shooting foul by E. Payton (drawn by D. Lillard),,50-43,,
11:32.0,D. Lillard makes free throw 1 of 3,1,51-43,,
11:32.0,D. Lillard makes free throw 2 of 3,1,52-43,,
11:32.0,D. Lillard makes free throw 3 of 3,1,53-43,,
11:16.0,,,53-43,,Turnover by N. Vucevic (bad pass; steal by D. Lillard)
11:09.0,D. Lillard misses 2-pt shot from 17 ft,,53-43,,
11:07.0,,,53-43,,Defensive rebound by Team
10:56.0,,,53-43,,J. Simmons misses 2-pt shot from 1 ft
10:55.0,,,53-43,,Offensive rebound by Team
10:50.0,,,53-43,,M. Hezonja misses 2-pt shot from 19 ft
10:46.0,,,53-43,,Offensive rebound by N. Vucevic
10:37.0,,,53-43,,E. Payton misses 2-pt shot from 3 ft (block by J. Nurkic)
10:34.0,Defensive rebound by J. Nurkic,,53-43,,
10:15.0,D. Lillard makes 2-pt shot from 1 ft (assist by J. Nurkic),2,55-43,,
9:59.0,,,55-43,,A. Gordon misses 3-pt shot from 25 ft
9:57.0,Defensive rebound by E. Turner,,55-43,,
9:53.0,,,55-43,,Personal foul by J. Simmons (drawn by E. Turner)
9:43.0,Turnover by D. Lillard (lost ball; steal by J. Simmons),,55-43,,
9:40.0,,,55-43,,Turnover by N. Vucevic (bad pass)
9:23.0,C. McCollum misses 2-pt shot from 23 ft,,55-43,,
9:20.0,,,55-43,,Defensive rebound by A. Gordon
9:17.0,,,55-46,3,N. Vucevic makes 3-pt shot from 25 ft (assist by A. Gordon)
8:55.0,C. McCollum misses 3-pt shot from 25 ft,,55-46,,
8:50.0,,,55-46,,Defensive rebound by N. Vucevic
8:46.0,,,55-46,,A. Gordon misses 3-pt shot from 26 ft
8:46.0,Defensive rebound by E. Turner,,55-46,,
8:37.0,D. Lillard makes 3-pt shot from 25 ft (assist by E. Turner),3,58-46,,
8:36.0,,,58-46,,Orlando full timeout
8:17.0,Personal foul by J. Nurkic (drawn by N. Vucevic),,58-46,,
8:12.0,,,58-46,,Shooting foul by J. Nurkic (drawn by M. Hezonja)
8:12.0,,,58-47,1,M. Hezonja makes free throw 1 of 2
8:12.0,,,58-48,1,M. Hezonja makes free throw 2 of 2
7:58.0,C. McCollum misses 2-pt shot from 9 ft,,58-48,,
7:54.0,,,58-48,,Defensive rebound by M. Hezonja
7:48.0,,,58-48,,A. Gordon misses 2-pt shot from 3 ft (block by J. Nurkic)
7:48.0,,,58-48,,Offensive rebound by A. Gordon
7:48.0,,,58-48,,Shooting foul by A. Aminu (drawn by A. Gordon)
7:48.0,,,58-49,1,A. Gordon makes free throw 1 of 2
7:48.0,,,58-50,1,A. Gordon makes free throw 2 of 2
7:29.0,Turnover by E. Turner (bad pass; steal by A. Gordon),,58-50,,
7:14.0,,,58-50,,A. Gordon misses 3-pt shot from 25 ft
7:10.0,Defensive rebound by E. Turner,,58-50,,
7:09.0,,,58-50,,Personal foul by M. Hezonja (drawn by J. Nurkic)
7:07.0,D. Lillard makes 2-pt shot from 1 ft (assist by J. Nurkic),2,60-50,,
7:07.0,Shooting foul by E. Payton (drawn by D. Lillard),,60-50,,
7:07.0,D. Lillard makes free throw 1 of 1,1,61-50,,
7:02.0,,,61-50,,Turnover by E. Payton (bad pass)
6:55.0,A. Aminu misses 2-pt shot from 7 ft,,61-50,,
6:54.0,Offensive rebound by A. Aminu,,61-50,,
6:51.0,A. Aminu makes 2-pt shot from 2 ft,2,63-50,,
6:37.0,,,63-50,,J. Simmons misses 3-pt shot from 22 ft
6:37.0,,,63-50,,Offensive rebound by N. Vucevic
6:36.0,,,63-50,,Turnover by N. Vucevic (traveling)
6:36.0,E. Davis enters the game for J. Nurkic,,63-50,,
6:22.0,C. McCollum makes 2-pt shot from 21 ft,2,65-50,,
6:10.0,,,65-52,2,N. Vucevic makes 2-pt shot from 8 ft (assist by J. Simmons)
5:56.0,E. Turner makes 2-pt shot from 2 ft,2,67-52,,
5:40.0,,,67-52,,Turnover by E. Payton (lost ball; steal by A. Aminu)
5:31.0,C. McCollum makes 2-pt shot from 1 ft,2,69-52,,
5:30.0,,,69-52,,Orlando full timeout
5:30.0,,,69-52,,D. Augustin enters the game for E. Payton
5:30.0,,,69-52,,W. Iwundu enters the game for M. Hezonja
5:30.0,P. Connaughton enters the game for E. Turner,,69-52,,
5:15.0,,,69-54,2,N. Vucevic makes 2-pt shot from 1 ft (assist by J. Simmons)
5:04.0,D. Lillard makes 2-pt shot from 1 ft,2,71-54,,
4:47.0,,,71-56,2,J. Simmons makes 2-pt shot from 4 ft
4:29.0,C. McCollum misses 2-pt shot from 2 ft,,71-56,,
4:26.0,,,71-56,,Defensive rebound by N. Vucevic
4:25.0,,,71-56,,Shooting foul by A. Aminu (drawn by A. Gordon)
4:25.0,,,71-56,,A. Gordon misses free throw 1 of 2
4:25.0,,,71-56,,Offensive rebound by Team
4:25.0,S. Napier enters the game for C. McCollum,,71-56,,
4:25.0,,,71-57,1,A. Gordon makes free throw 2 of 2
4:05.0,D. Lillard misses 2-pt shot from 20 ft,,71-57,,
4:02.0,,,71-57,,Defensive rebound by N. Vucevic
3:57.0,,,71-57,,Turnover by J. Simmons (lost ball; steal by S. Napier)
3:48.0,D. Lillard misses 2-pt shot from 18 ft,,71-57,,
3:45.0,,,71-57,,Defensive rebound by A. Gordon
3:39.0,,,71-57,,S. Mack enters the game for J. Simmons
3:39.0,Z. Collins enters the game for A. Aminu,,71-57,,
3:32.0,,,71-60,3,D. Augustin makes 3-pt shot from 26 ft
3:15.0,Turnover by S. Napier (bad pass; steal by D. Augustin),,71-60,,
2:56.0,,,71-62,2,N. Vucevic makes 2-pt shot from 2 ft
2:56.0,Portland full timeout,,71-62,,
2:43.0,Turnover by D. Lillard (out of bounds lost ball),,71-62,,
2:20.0,,,71-64,2,N. Vucevic makes 2-pt shot from 10 ft
2:04.0,S. Napier makes 2-pt shot from 17 ft,2,73-64,,
1:53.0,,,73-64,,Offensive charge foul by D. Augustin (drawn by Z. Collins)
1:53.0,,,73-64,,Turnover by D. Augustin (offensive foul)
1:41.0,Offensive charge foul by E. Davis (drawn by W. Iwundu),,73-64,,
1:41.0,Turnover by E. Davis (offensive foul),,73-64,,
1:23.0,,,73-64,,D. Augustin misses 2-pt shot from 1 ft
1:21.0,Defensive rebound by P. Connaughton,,73-64,,
1:17.0,S. Napier misses 2-pt shot at rim,,73-64,,
1:17.0,,,73-64,,Defensive rebound by N. Vucevic
1:10.0,Personal foul by P. Connaughton (drawn by D. Augustin),,73-64,,
1:10.0,,,73-65,1,D. Augustin makes free throw 1 of 2
1:10.0,,,73-65,,M. Speights enters the game for A. Gordon
1:10.0,C. McCollum enters the game for D. Lillard,,73-65,,
1:10.0,,,73-66,1,D. Augustin makes free throw 2 of 2
0:59.0,Turnover by C. McCollum (bad pass; steal by N. Vucevic),,73-66,,
0:55.0,,,73-66,,W. Iwundu misses 2-pt shot from 1 ft
0:53.0,Defensive rebound by E. Davis,,73-66,,
0:36.0,C. McCollum makes 2-pt shot from 14 ft,2,75-66,,
0:26.0,,,75-66,,M. Speights misses 3-pt shot from 25 ft
0:22.0,Defensive rebound by Z. Collins,,75-66,,
0:04.0,P. Connaughton misses 3-pt shot from 28 ft,,75-66,,
0:01.0,,,75-66,,Defensive rebound by D. Augustin
0:00.0,,,75-66,,D. Augustin misses 3-pt shot from 32 ft
0:00.0,,,75-66,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,E. Davis misses 2-pt shot from 7 ft,,75-66,,
11:44.0,Offensive rebound by Team,,75-66,,
11:33.0,Z. Collins misses 2-pt shot from 14 ft,,75-66,,
11:30.0,,,75-66,,Defensive rebound by B. Biyombo
11:12.0,,,75-69,3,M. Speights makes 3-pt shot from 27 ft (assist by D. Augustin)
10:52.0,E. Davis makes 2-pt shot from 6 ft (assist by P. Connaughton),2,77-69,,
10:28.0,,,77-69,,B. Biyombo misses 2-pt shot from 8 ft
10:25.0,,,77-69,,Offensive rebound by W. Iwundu
10:23.0,,,77-69,,S. Mack misses 3-pt shot from 26 ft
10:20.0,Defensive rebound by E. Davis,,77-69,,
10:10.0,S. Napier misses 2-pt shot from 21 ft,,77-69,,
10:08.0,Offensive rebound by Z. Collins,,77-69,,
10:05.0,Offensive charge foul by S. Napier (drawn by M. Speights),,77-69,,
10:05.0,Turnover by S. Napier (offensive foul),,77-69,,
9:51.0,,,77-69,,Turnover by M. Speights (lost ball; steal by E. Davis)
9:46.0,Shooting foul by M. Speights (drawn by P. Connaughton),,77-69,,
9:46.0,P. Connaughton makes free throw 1 of 2,1,78-69,,
9:46.0,P. Connaughton misses free throw 2 of 2,,78-69,,
9:42.0,,,78-69,,Defensive rebound by D. Augustin
9:30.0,,,78-69,,M. Speights misses 3-pt shot from 27 ft
9:28.0,Defensive rebound by S. Napier,,78-69,,
9:27.0,,,78-69,,Technical foul by M. Speights
9:27.0,C. McCollum makes technical free throw,1,79-69,,
9:17.0,S. Napier makes 2-pt shot from 21 ft,2,81-69,,
8:55.0,,,81-69,,S. Mack misses 2-pt shot from 3 ft (block by Z. Collins)
8:55.0,,,81-69,,Offensive rebound by S. Mack
8:55.0,Personal foul by E. Davis (drawn by S. Mack),,81-69,,
8:55.0,,,81-69,,A. Gordon enters the game for M. Speights
8:55.0,N. Vonleh enters the game for E. Davis,,81-69,,
8:43.0,,,81-69,,S. Mack misses 3-pt shot from 25 ft
8:39.0,Defensive rebound by N. Vonleh,,81-69,,
8:30.0,Z. Collins makes 2-pt shot from 2 ft (assist by C. McCollum),2,83-69,,
8:30.0,,,83-69,,Orlando full timeout
8:30.0,,,83-69,,N. Vucevic enters the game for B. Biyombo
8:30.0,,,83-69,,J. Simmons enters the game for W. Iwundu
8:21.0,Personal foul by P. Connaughton (drawn by D. Augustin),,83-69,,
8:21.0,D. Lillard enters the game for P. Connaughton,,83-69,,
8:16.0,,,83-69,,J. Simmons misses 2-pt shot from 10 ft
8:12.0,Defensive rebound by Z. Collins,,83-69,,
8:04.0,Z. Collins makes 2-pt shot from 2 ft (assist by C. McCollum),2,85-69,,
7:45.0,,,85-69,,Turnover by J. Simmons (bad pass; steal by S. Napier)
7:45.0,,,85-69,,Personal foul by S. Mack (drawn by S. Napier)
7:45.0,,,85-69,,M. Speights enters the game for A. Gordon
7:29.0,C. McCollum misses 2-pt shot from 19 ft,,85-69,,
7:29.0,Offensive rebound by Team,,85-69,,
7:29.0,J. Nurkic enters the game for Z. Collins,,85-69,,
7:26.0,Shooting foul by S. Mack (drawn by N. Vonleh),,85-69,,
7:26.0,N. Vonleh misses free throw 1 of 2,,85-69,,
7:26.0,Offensive rebound by Team,,85-69,,
7:26.0,,,85-69,,E. Payton enters the game for D. Augustin
7:26.0,E. Turner enters the game for S. Napier,,85-69,,
7:26.0,N. Vonleh makes free throw 2 of 2,1,86-69,,
7:07.0,,,86-69,,E. Payton misses 2-pt shot from 20 ft
7:06.0,,,86-69,,Offensive rebound by N. Vucevic
7:05.0,,,86-71,2,N. Vucevic makes 2-pt shot from 5 ft
6:43.0,N. Vonleh misses 2-pt shot at rim,,86-71,,
6:40.0,Offensive rebound by J. Nurkic,,86-71,,
6:37.0,Turnover by J. Nurkic (bad pass; steal by J. Simmons),,86-71,,
6:36.0,,,86-73,2,J. Simmons makes 2-pt shot from 1 ft
6:36.0,,,86-73,,Shooting foul by D. Lillard (drawn by J. Simmons)
6:36.0,A. Aminu enters the game for N. Vonleh,,86-73,,
6:36.0,,,86-73,,J. Simmons misses free throw 1 of 1
6:33.0,Defensive rebound by J. Nurkic,,86-73,,
6:16.0,J. Nurkic misses 2-pt shot from 8 ft,,86-73,,
6:13.0,,,86-73,,Defensive rebound by N. Vucevic
6:09.0,,,86-73,,N. Vucevic misses 3-pt shot from 25 ft
6:03.0,Defensive rebound by E. Turner,,86-73,,
5:54.0,P. Connaughton enters the game for C. McCollum,,86-73,,
5:49.0,D. Lillard misses 3-pt shot from 25 ft,,86-73,,
5:45.0,,,86-73,,Defensive rebound by E. Payton
5:28.0,,,86-73,,Shooting foul by D. Lillard (drawn by S. Mack)
5:28.0,,,86-74,1,S. Mack makes free throw 1 of 2
5:28.0,,,86-75,1,S. Mack makes free throw 2 of 2
5:09.0,Offensive charge foul by E. Turner (drawn by E. Payton),,86-75,,
5:09.0,Turnover by E. Turner (offensive foul),,86-75,,
5:09.0,,,86-75,,D. Augustin enters the game for S. Mack
4:54.0,,,86-77,2,N. Vucevic makes 2-pt shot from 8 ft
4:37.0,J. Nurkic misses 2-pt shot from 7 ft (block by N. Vucevic),,86-77,,
4:35.0,,,86-77,,Defensive rebound by D. Augustin
4:32.0,,,86-79,2,J. Simmons makes 2-pt shot from 1 ft (assist by D. Augustin)
4:32.0,Portland full timeout,,86-79,,
4:32.0,C. McCollum enters the game for P. Connaughton,,86-79,,
4:10.0,A. Aminu misses 3-pt shot from 27 ft,,86-79,,
4:06.0,,,86-79,,Defensive rebound by E. Payton
3:51.0,,,86-79,,M. Speights misses 3-pt shot from 26 ft
3:51.0,Defensive rebound by J. Nurkic,,86-79,,
