time,Chicago,pts.away,score,pts.home,Charlotte
2:51.0,R. Lopez makes 2-pt shot from 6 ft (assist by K. Dunn),2,17-23,,
2:35.0,,,17-23,,K. Walker misses 2-pt shot from 2 ft
2:35.0,,,17-23,,Offensive rebound by M. Williams
2:35.0,,,17-23,,M. Williams misses 2-pt shot from 1 ft
2:35.0,Defensive rebound by N. Mirotic,,17-23,,
2:23.0,K. Dunn makes 2-pt shot from 21 ft,2,19-23,,
2:02.0,,,19-23,,D. Howard misses 2-pt shot from 2 ft (block by D. Nwaba)
2:00.0,Defensive rebound by R. Lopez,,19-23,,
1:57.0,N. Mirotic makes 2-pt shot from 2 ft (assist by D. Nwaba),2,21-23,,
1:57.0,Shooting foul by K. Walker (drawn by N. Mirotic),,21-23,,
1:57.0,,,21-23,,Charlotte full timeout
1:57.0,,,21-23,,Technical foul by K. Walker
1:57.0,,,21-23,,T. Graham enters the game for M. Williams
1:57.0,,,21-23,,M. Monk enters the game for N. Batum
1:57.0,,,21-23,,J. O'Bryant enters the game for D. Howard
1:57.0,,,21-23,,M. Carter-Williams enters the game for K. Walker
1:57.0,J. Grant enters the game for K. Dunn,,21-23,,
1:57.0,B. Portis enters the game for R. Lopez,,21-23,,
1:57.0,J. Holiday makes technical free throw,1,22-23,,
1:57.0,N. Mirotic makes free throw 1 of 1,1,23-23,,
1:32.0,,,23-23,,M. Carter-Williams misses 2-pt shot from 2 ft
1:23.0,Defensive rebound by B. Portis,,23-23,,
1:22.0,D. Nwaba makes 2-pt shot at rim (assist by J. Grant),2,25-23,,
1:08.0,,,25-25,2,J. Lamb makes 2-pt shot from 2 ft
0:54.0,J. Holiday makes 3-pt shot from 26 ft (assist by D. Nwaba),3,28-25,,
0:54.0,Shooting foul by M. Carter-Williams (drawn by J. Holiday),,28-25,,
0:54.0,J. Holiday makes free throw 1 of 1,1,29-25,,
0:32.0,,,29-25,,Turnover by J. O'Bryant (lost ball; steal by J. Holiday)
0:23.0,B. Portis makes 2-pt shot from 7 ft (assist by J. Holiday),2,31-25,,
0:02.0,,,31-25,,M. Carter-Williams misses 2-pt shot from 3 ft (block by N. Mirotic)
0:02.0,,,31-25,,Offensive rebound by Team
0:00.0,,,31-25,,J. Lamb misses 2-pt shot from 15 ft
0:00.0,,,31-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,D. Nwaba misses 2-pt shot from 1 ft,,31-25,,
11:46.0,Offensive rebound by Team,,31-25,,
11:44.0,P. Zipser misses 2-pt shot from 14 ft,,31-25,,
11:32.0,,,31-25,,Defensive rebound by T. Graham
11:30.0,,,31-25,,Offensive foul by T. Graham (drawn by P. Zipser)
11:30.0,,,31-25,,Turnover by T. Graham (offensive foul)
11:16.0,D. Nwaba misses 2-pt shot from 2 ft (block by J. Lamb),,31-25,,
11:13.0,,,31-25,,Defensive rebound by M. Monk
11:04.0,,,31-28,3,T. Graham makes 3-pt shot from 25 ft
10:47.0,Turnover by J. Grant (bad pass; steal by J. O'Bryant),,31-28,,
10:46.0,Personal foul by N. Mirotic (drawn by J. O'Bryant),,31-28,,
10:46.0,,,31-29,1,J. O'Bryant makes clear path free throw 2 of 2
10:46.0,,,31-30,1,J. O'Bryant makes clear path free throw 1 of 2
10:40.0,,,31-30,,J. Lamb misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by B. Portis,,31-30,,
10:28.0,N. Mirotic misses 3-pt shot from 25 ft,,31-30,,
10:25.0,,,31-30,,Defensive rebound by M. Monk
10:17.0,,,31-30,,M. Carter-Williams misses 2-pt shot from 1 ft
10:17.0,,,31-30,,Offensive rebound by Team
10:12.0,,,31-30,,J. Lamb misses 3-pt shot from 25 ft
10:06.0,Defensive rebound by P. Zipser,,31-30,,
9:56.0,N. Mirotic misses 2-pt shot from 3 ft,,31-30,,
9:53.0,,,31-30,,Defensive rebound by J. Lamb
9:47.0,,,31-33,3,M. Monk makes 3-pt shot from 23 ft (assist by T. Graham)
9:41.0,Shooting foul by M. Carter-Williams (drawn by D. Nwaba),,31-33,,
9:41.0,D. Nwaba makes free throw 1 of 2,1,32-33,,
9:41.0,D. Nwaba misses free throw 2 of 2,,32-33,,
9:41.0,Offensive rebound by Team,,32-33,,
9:41.0,,,32-33,,Loose ball foul by T. Graham (drawn by N. Mirotic)
9:30.0,N. Mirotic misses 2-pt shot from 3 ft (block by J. Lamb),,32-33,,
9:28.0,Offensive rebound by Team,,32-33,,
9:20.0,N. Mirotic misses 2-pt shot from 15 ft,,32-33,,
9:10.0,,,32-33,,Defensive rebound by J. O'Bryant
9:07.0,,,32-33,,J. O'Bryant misses 3-pt shot from 26 ft
9:04.0,Defensive rebound by N. Mirotic,,32-33,,
8:57.0,Turnover by B. Portis (bad pass; steal by M. Carter-Williams),,32-33,,
8:52.0,Personal foul by B. Portis (drawn by M. Monk),,32-33,,
8:52.0,,,32-33,,D. Howard enters the game for J. O'Bryant
8:52.0,R. Lopez enters the game for N. Mirotic,,32-33,,
8:42.0,,,32-33,,M. Monk misses 2-pt shot from 21 ft
8:38.0,Defensive rebound by P. Zipser,,32-33,,
8:30.0,Shooting foul by D. Howard (drawn by R. Lopez),,32-33,,
8:30.0,R. Lopez misses free throw 1 of 2,,32-33,,
8:30.0,Offensive rebound by Team,,32-33,,
8:30.0,R. Lopez makes free throw 2 of 2,1,33-33,,
8:16.0,,,33-35,2,M. Carter-Williams makes 2-pt shot from 2 ft
8:07.0,J. Grant makes 2-pt shot from 11 ft,2,35-35,,
7:51.0,,,35-35,,T. Graham misses 2-pt shot from 11 ft
7:47.0,Defensive rebound by R. Lopez,,35-35,,
7:46.0,,,35-35,,N. Batum enters the game for M. Monk
7:46.0,,,35-35,,K. Walker enters the game for M. Carter-Williams
7:44.0,P. Zipser misses 2-pt shot from 15 ft,,35-35,,
7:41.0,,,35-35,,Defensive rebound by J. Lamb
7:31.0,,,35-37,2,J. Lamb makes 2-pt shot from 11 ft (assist by N. Batum)
7:08.0,J. Grant makes 2-pt shot from 16 ft,2,37-37,,
7:03.0,Personal foul by J. Grant (drawn by K. Walker),,37-37,,
7:03.0,K. Dunn enters the game for J. Grant,,37-37,,
7:03.0,D. Valentine enters the game for D. Nwaba,,37-37,,
7:03.0,,,37-37,,M. Kidd-Gilchrist enters the game for J. Lamb
7:03.0,,,37-37,,M. Williams enters the game for T. Graham
6:51.0,,,37-37,,K. Walker misses 3-pt shot from 26 ft
6:47.0,Defensive rebound by B. Portis,,37-37,,
6:37.0,Offensive foul by B. Portis (drawn by M. Williams),,37-37,,
6:37.0,Turnover by B. Portis (offensive foul),,37-37,,
6:37.0,,,37-37,,Charlotte full timeout
6:37.0,L. Markkanen enters the game for B. Portis,,37-37,,
6:37.0,J. Holiday enters the game for P. Zipser,,37-37,,
6:23.0,,,37-39,2,D. Howard makes 2-pt shot from 4 ft (assist by K. Walker)
6:01.0,R. Lopez makes 2-pt shot from 4 ft (assist by K. Dunn),2,39-39,,
5:48.0,,,39-41,2,N. Batum makes 2-pt shot from 23 ft (assist by D. Howard)
5:40.0,,,39-41,,Personal foul by N. Batum (drawn by D. Valentine)
5:35.0,J. Holiday misses 2-pt shot from 20 ft,,39-41,,
5:29.0,,,39-41,,Defensive rebound by M. Williams
5:15.0,Def 3 sec tech foul by J. Holiday,,39-41,,
5:15.0,,,39-42,1,K. Walker makes technical free throw
5:06.0,,,39-42,,Turnover by M. Kidd-Gilchrist (traveling)
4:57.0,Turnover by D. Valentine (bad pass),,39-42,,
4:46.0,,,39-42,,N. Batum misses 2-pt shot from 19 ft (block by J. Holiday)
4:43.0,Defensive rebound by K. Dunn,,39-42,,
4:40.0,K. Dunn misses 2-pt shot from 1 ft,,39-42,,
4:35.0,Offensive rebound by L. Markkanen,,39-42,,
4:35.0,L. Markkanen makes 2-pt shot at rim,2,41-42,,
4:22.0,Personal foul by J. Holiday (drawn by D. Howard),,41-42,,
4:16.0,,,41-44,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum)
4:11.0,D. Valentine makes 2-pt shot from 2 ft (assist by K. Dunn),2,43-44,,
4:11.0,Shooting foul by M. Kidd-Gilchrist (drawn by D. Valentine),,43-44,,
4:11.0,D. Valentine makes free throw 1 of 1,1,44-44,,
3:55.0,,,44-44,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
3:51.0,Defensive rebound by K. Dunn,,44-44,,
3:38.0,L. Markkanen misses 2-pt shot from 17 ft,,44-44,,
3:34.0,,,44-44,,Defensive rebound by N. Batum
3:31.0,Personal foul by D. Valentine (drawn by D. Howard),,44-44,,
3:31.0,,,44-45,1,D. Howard makes free throw 1 of 2
3:31.0,,,44-45,,D. Howard misses free throw 2 of 2
3:28.0,Defensive rebound by L. Markkanen,,44-45,,
3:11.0,L. Markkanen makes 2-pt shot from 1 ft,2,46-45,,
2:48.0,,,46-47,2,M. Williams makes 2-pt shot from 1 ft (assist by M. Kidd-Gilchrist)
2:35.0,K. Dunn misses 2-pt shot from 14 ft,,46-47,,
2:32.0,,,46-47,,Defensive rebound by D. Howard
2:25.0,,,46-47,,D. Howard misses 2-pt shot from 3 ft
2:23.0,Defensive rebound by R. Lopez,,46-47,,
2:02.0,K. Dunn misses 2-pt shot from 2 ft (block by M. Williams),,46-47,,
1:58.0,,,46-47,,Defensive rebound by M. Williams
1:51.0,,,46-47,,N. Batum misses 2-pt shot from 12 ft
1:48.0,Defensive rebound by J. Holiday,,46-47,,
1:46.0,Chicago full timeout,,46-47,,
1:46.0,,,46-47,,T. Graham enters the game for M. Kidd-Gilchrist
1:46.0,D. Nwaba enters the game for J. Holiday,,46-47,,
1:37.0,L. Markkanen misses 2-pt shot from 2 ft (block by D. Howard),,46-47,,
1:35.0,Offensive rebound by Team,,46-47,,
1:22.0,R. Lopez makes 2-pt shot from 6 ft (assist by K. Dunn),2,48-47,,
1:00.0,,,48-50,3,K. Walker makes 3-pt shot from 23 ft (assist by T. Graham)
0:51.0,K. Dunn makes 2-pt shot from 8 ft,2,50-50,,
0:37.0,,,50-52,2,M. Williams makes 2-pt shot from 2 ft (assist by N. Batum)
0:24.0,L. Markkanen misses 3-pt shot from 24 ft,,50-52,,
0:20.0,Offensive rebound by D. Nwaba,,50-52,,
0:05.0,D. Valentine makes 2-pt shot from 17 ft,2,52-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:56.0,Turnover by L. Markkanen (bad pass; steal by K. Walker),,52-52,,
11:52.0,,,52-54,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by K. Walker)
11:34.0,R. Lopez makes 2-pt shot from 1 ft (assist by D. Valentine),2,54-54,,
11:22.0,,,54-54,,Shooting foul by K. Dunn (drawn by K. Walker)
11:22.0,,,54-55,1,K. Walker makes free throw 1 of 3
11:22.0,,,54-56,1,K. Walker makes free throw 2 of 3
11:22.0,,,54-57,1,K. Walker makes free throw 3 of 3
11:11.0,J. Holiday misses 3-pt shot from 25 ft,,54-57,,
11:06.0,,,54-57,,Defensive rebound by D. Howard
10:57.0,,,54-57,,K. Walker misses 2-pt shot from 1 ft
10:53.0,,,54-57,,Offensive rebound by D. Howard
10:53.0,,,54-59,2,D. Howard makes 2-pt shot at rim
10:42.0,D. Valentine makes 2-pt shot from 15 ft,2,56-59,,
10:27.0,,,56-59,,K. Walker misses 3-pt shot from 25 ft
10:23.0,Defensive rebound by L. Markkanen,,56-59,,
10:14.0,R. Lopez misses 2-pt shot from 20 ft,,56-59,,
10:11.0,,,56-59,,Defensive rebound by D. Howard
10:02.0,,,56-59,,D. Howard misses 2-pt shot from 1 ft
9:59.0,Defensive rebound by L. Markkanen,,56-59,,
9:46.0,L. Markkanen makes 2-pt shot from 1 ft (assist by R. Lopez),2,58-59,,
9:26.0,,,58-59,,N. Batum misses 3-pt shot from 25 ft
9:22.0,Defensive rebound by L. Markkanen,,58-59,,
9:07.0,D. Valentine misses 2-pt shot from 18 ft,,58-59,,
9:01.0,,,58-59,,Defensive rebound by N. Batum
9:00.0,,,58-59,,Offensive foul by D. Howard (drawn by R. Lopez)
9:00.0,,,58-59,,Turnover by D. Howard (offensive foul)
8:48.0,J. Holiday misses 3-pt shot from 22 ft,,58-59,,
8:44.0,,,58-59,,Defensive rebound by N. Batum
8:35.0,,,58-59,,N. Batum misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by L. Markkanen,,58-59,,
8:20.0,L. Markkanen misses 2-pt shot from 6 ft,,58-59,,
8:17.0,,,58-59,,Defensive rebound by K. Walker
8:16.0,,,58-59,,Shooting foul by J. Holiday (drawn by M. Kidd-Gilchrist)
8:16.0,,,58-60,1,M. Kidd-Gilchrist makes free throw 1 of 2
8:16.0,,,58-61,1,M. Kidd-Gilchrist makes free throw 2 of 2
7:59.0,J. Holiday makes 2-pt shot from 13 ft,2,60-61,,
7:56.0,,,60-61,,Technical foul by M. Kidd-Gilchrist
7:56.0,D. Valentine misses technical free throw,,60-61,,
7:56.0,,,60-61,,Defensive rebound by Team
7:47.0,,,60-61,,K. Walker misses 3-pt shot from 24 ft
7:43.0,Defensive rebound by J. Holiday,,60-61,,
7:36.0,Shooting foul by M. Williams (drawn by L. Markkanen),,60-61,,
7:36.0,L. Markkanen makes free throw 1 of 3,1,61-61,,
7:36.0,L. Markkanen makes free throw 2 of 3,1,62-61,,
7:36.0,L. Markkanen makes free throw 3 of 3,1,63-61,,
7:15.0,,,63-61,,D. Howard misses 2-pt shot from 7 ft
7:12.0,Defensive rebound by K. Dunn,,63-61,,
7:00.0,R. Lopez makes 2-pt shot from 3 ft (assist by K. Dunn),2,65-61,,
6:45.0,,,65-63,2,D. Howard makes 2-pt shot from 8 ft (assist by M. Kidd-Gilchrist)
6:36.0,K. Dunn misses 3-pt shot from 25 ft,,65-63,,
6:29.0,,,65-63,,Defensive rebound by D. Howard
6:23.0,,,65-65,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum)
6:10.0,K. Dunn misses 2-pt shot from 3 ft (block by N. Batum),,65-65,,
6:06.0,,,65-65,,Defensive rebound by D. Howard
6:00.0,,,65-68,3,M. Williams makes 3-pt shot from 26 ft (assist by K. Walker)
5:59.0,Chicago full timeout,,65-68,,
5:44.0,,,65-68,,Personal foul by M. Williams (drawn by L. Markkanen)
5:37.0,K. Dunn makes 2-pt shot from 16 ft,2,67-68,,
5:21.0,,,67-70,2,D. Howard makes 2-pt shot from 1 ft (assist by N. Batum)
5:05.0,R. Lopez makes 2-pt shot from 1 ft (assist by K. Dunn),2,69-70,,
4:52.0,,,69-70,,D. Howard misses 2-pt shot from 19 ft
4:47.0,Defensive rebound by D. Valentine,,69-70,,
4:29.0,D. Valentine misses 3-pt shot from 26 ft,,69-70,,
4:26.0,,,69-70,,Defensive rebound by D. Howard
4:15.0,,,69-70,,N. Batum misses 2-pt shot from 8 ft
4:10.0,,,69-70,,Offensive rebound by M. Kidd-Gilchrist
4:10.0,,,69-72,2,M. Kidd-Gilchrist makes 2-pt shot at rim
4:01.0,J. Holiday makes 2-pt shot from 6 ft (assist by K. Dunn),2,71-72,,
3:38.0,,,71-72,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
3:35.0,,,71-72,,Offensive rebound by Team
3:35.0,N. Mirotic enters the game for L. Markkanen,,71-72,,
3:30.0,Jump ball: M. Kidd-Gilchrist vs. D. Valentine (M. Williams gains possession),,,,Jump ball: M. Kidd-Gilchrist vs. D. Valentine (M. Williams gains possession)
3:29.0,,,71-72,,Charlotte full timeout
3:29.0,,,71-72,,T. Graham enters the game for M. Kidd-Gilchrist
3:29.0,D. Nwaba enters the game for D. Valentine,,71-72,,
3:18.0,,,71-72,,T. Graham misses 2-pt shot from 12 ft (block by D. Nwaba)
3:14.0,Defensive rebound by D. Nwaba,,71-72,,
3:02.0,J. Holiday misses 2-pt shot from 2 ft (block by D. Howard),,71-72,,
2:58.0,,,71-72,,Defensive rebound by M. Williams
2:52.0,,,71-72,,Turnover by N. Batum (bad pass; steal by K. Dunn)
2:46.0,K. Dunn misses 2-pt shot from 1 ft,,71-72,,
2:43.0,,,71-72,,Defensive rebound by D. Howard
2:33.0,,,71-75,3,K. Walker makes 3-pt shot from 25 ft
2:19.0,J. Holiday makes 2-pt shot from 21 ft,2,73-75,,
1:56.0,,,73-75,,D. Howard misses 2-pt shot from 17 ft
1:53.0,Defensive rebound by N. Mirotic,,73-75,,
1:43.0,J. Holiday misses 2-pt shot from 19 ft,,73-75,,
1:38.0,,,73-75,,Defensive rebound by D. Howard
1:34.0,,,73-75,,K. Walker misses 3-pt shot from 24 ft
1:32.0,Defensive rebound by D. Nwaba,,73-75,,
1:27.0,J. Holiday makes 2-pt shot from 14 ft (assist by D. Nwaba),2,75-75,,
1:05.0,,,75-77,2,D. Howard makes 2-pt shot from 5 ft
0:57.0,K. Dunn misses 2-pt shot from 7 ft,,75-77,,
0:53.0,,,75-77,,Defensive rebound by N. Batum
0:37.0,,,75-77,,M. Williams misses 3-pt shot from 25 ft
0:33.0,Defensive rebound by K. Dunn,,75-77,,
0:25.0,N. Mirotic misses 3-pt shot from 26 ft,,75-77,,
0:21.0,,,75-77,,Defensive rebound by M. Williams
0:09.0,Personal foul by K. Dunn (drawn by K. Walker),,75-77,,
0:09.0,B. Portis enters the game for K. Dunn,,75-77,,
0:09.0,J. Grant enters the game for R. Lopez,,75-77,,
0:00.0,,,75-79,2,D. Howard makes 2-pt shot from 20 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,75-79,,J. O'Bryant misses 2-pt shot from 9 ft
11:41.0,Defensive rebound by P. Zipser,,75-79,,
11:33.0,D. Nwaba makes 2-pt shot from 2 ft,2,77-79,,
11:17.0,,,77-79,,M. Monk misses 3-pt shot from 25 ft
11:15.0,Defensive rebound by J. Grant,,77-79,,
11:10.0,B. Portis makes 2-pt shot from 18 ft (assist by D. Nwaba),2,79-79,,
10:53.0,,,79-79,,T. Graham misses 3-pt shot from 23 ft
10:50.0,Defensive rebound by B. Portis,,79-79,,
10:46.0,D. Nwaba makes 2-pt shot from 1 ft (assist by J. Grant),2,81-79,,
10:27.0,,,81-79,,J. O'Bryant misses 2-pt shot from 10 ft
10:21.0,,,81-79,,Offensive rebound by T. Graham
10:19.0,,,81-79,,M. Monk misses 2-pt shot from 16 ft
10:19.0,,,81-79,,Offensive rebound by Team
10:12.0,,,81-79,,Offensive foul by J. O'Bryant (drawn by N. Mirotic)
10:12.0,,,81-79,,Turnover by J. O'Bryant (offensive foul)
9:55.0,B. Portis makes 2-pt shot from 1 ft,2,83-79,,
9:36.0,,,83-79,,Shooting foul by J. Grant (drawn by T. Graham)
9:36.0,,,83-80,1,T. Graham makes free throw 1 of 2
9:36.0,,,83-81,1,T. Graham makes free throw 2 of 2
9:25.0,J. Grant makes 2-pt shot from 2 ft,2,85-81,,
9:03.0,,,85-81,,M. Carter-Williams misses 3-pt shot from 25 ft
8:59.0,Defensive rebound by D. Nwaba,,85-81,,
8:39.0,Turnover by P. Zipser (lost ball; steal by M. Monk),,85-81,,
8:33.0,,,85-83,2,D. Bacon makes 2-pt shot from 1 ft
8:10.0,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Grant),3,88-83,,
7:48.0,,,88-85,2,T. Graham makes 2-pt shot from 10 ft
7:28.0,Offensive foul by P. Zipser (drawn by J. O'Bryant),,88-85,,
7:28.0,Turnover by P. Zipser (offensive foul),,88-85,,
7:28.0,,,88-85,,D. Howard enters the game for J. O'Bryant
7:28.0,,,88-85,,K. Walker enters the game for D. Bacon
7:28.0,,,88-85,,N. Batum enters the game for M. Monk
7:28.0,R. Lopez enters the game for N. Mirotic,,88-85,,
7:18.0,Personal foul by P. Zipser (drawn by K. Walker),,88-85,,
7:18.0,D. Valentine enters the game for J. Grant,,88-85,,
7:18.0,K. Dunn enters the game for P. Zipser,,88-85,,
7:07.0,,,88-87,2,T. Graham makes 2-pt shot from 13 ft
6:57.0,B. Portis makes 3-pt shot from 25 ft (assist by K. Dunn),3,91-87,,
6:38.0,,,91-90,3,T. Graham makes 3-pt shot from 27 ft (assist by D. Howard)
6:25.0,K. Dunn makes 2-pt shot from 17 ft,2,93-90,,
6:02.0,,,93-90,,D. Howard misses 2-pt shot from 2 ft
6:02.0,Defensive rebound by R. Lopez,,93-90,,
5:46.0,D. Nwaba makes 2-pt shot from 2 ft (assist by K. Dunn),2,95-90,,
5:37.0,,,95-90,,Charlotte full timeout
5:37.0,,,95-90,,M. Kidd-Gilchrist enters the game for M. Carter-Williams
5:37.0,,,95-90,,M. Williams enters the game for T. Graham
5:31.0,,,95-93,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
5:19.0,K. Dunn misses 2-pt shot from 18 ft,,95-93,,
5:16.0,,,95-93,,Defensive rebound by M. Kidd-Gilchrist
5:07.0,,,95-95,2,K. Walker makes 2-pt shot from 5 ft
5:07.0,,,95-95,,Shooting foul by D. Valentine (drawn by K. Walker)
5:07.0,J. Holiday enters the game for B. Portis,,95-95,,
5:07.0,L. Markkanen enters the game for D. Nwaba,,95-95,,
5:07.0,,,95-96,1,K. Walker makes free throw 1 of 1
4:53.0,Turnover by D. Valentine (turnover),,95-96,,
4:53.0,Personal foul by R. Lopez (drawn by N. Batum),,95-96,,
4:53.0,D. Nwaba enters the game for D. Valentine,,95-96,,
4:42.0,,,95-96,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by R. Lopez)
4:39.0,Defensive rebound by J. Holiday,,95-96,,
4:30.0,K. Dunn makes 2-pt shot from 18 ft,2,97-96,,
4:14.0,,,97-96,,K. Walker misses 2-pt shot from 1 ft
4:11.0,Defensive rebound by J. Holiday,,97-96,,
4:06.0,D. Nwaba makes 2-pt shot from 1 ft,2,99-96,,
