time,Philadelphia,pts.away,score,pts.home,Sacramento
7:55.0,D. Saric misses 3-pt shot from 25 ft,,7-4,,
7:53.0,,,7-4,,Defensive rebound by B. Bogdanovic
7:47.0,T. McConnell enters the game for D. Saric,,7-4,,
7:47.0,R. Holmes enters the game for J. Embiid,,7-4,,
7:40.0,,,7-6,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by G. Hill)
7:27.0,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons),3,10-6,,
7:15.0,,,10-8,2,Z. Randolph makes 2-pt shot from 5 ft
7:06.0,Shooting foul by G. Temple (drawn by B. Simmons),,10-8,,
7:06.0,B. Simmons makes free throw 1 of 2,1,11-8,,
7:06.0,T. Luwawu-Cabarrot enters the game for J. Redick,,11-8,,
7:06.0,B. Simmons makes free throw 2 of 2,1,12-8,,
6:52.0,Def 3 sec tech foul by T. Luwawu-Cabarrot,,12-8,,
6:52.0,,,12-8,,Sacramento full timeout
6:52.0,,,12-9,1,B. Bogdanovic makes technical free throw
6:40.0,,,12-9,,G. Temple misses 2-pt shot from 14 ft
6:35.0,Defensive rebound by R. Holmes,,12-9,,
6:27.0,Turnover by T. McConnell (lost ball; steal by B. Bogdanovic),,12-9,,
6:20.0,,,12-9,,Shooting foul by R. Covington (drawn by W. Cauley-Stein)
6:20.0,,,12-9,,W. Cauley-Stein misses free throw 1 of 1
6:20.0,,,12-9,,Offensive rebound by Team
6:20.0,,,12-10,1,W. Cauley-Stein makes free throw 2 of 2
6:10.0,T. McConnell makes 2-pt shot from 13 ft,2,14-10,,
6:03.0,,,14-12,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by G. Hill)
5:52.0,R. Covington misses 3-pt shot from 24 ft,,14-12,,
5:46.0,,,14-12,,Defensive rebound by G. Hill
5:39.0,,,14-15,3,Z. Randolph makes 3-pt shot from 25 ft (assist by G. Hill)
5:27.0,R. Covington makes 3-pt shot from 24 ft (assist by B. Simmons),3,17-15,,
5:13.0,,,17-17,2,W. Cauley-Stein makes 2-pt shot from 4 ft (assist by G. Hill)
5:01.0,R. Covington misses 3-pt shot from 25 ft,,17-17,,
4:59.0,,,17-17,,Defensive rebound by Z. Randolph
4:50.0,,,17-17,,G. Hill misses 2-pt shot from 14 ft
4:46.0,Defensive rebound by R. Covington,,17-17,,
4:43.0,Shooting foul by W. Cauley-Stein (drawn by B. Simmons),,17-17,,
4:43.0,B. Simmons misses free throw 1 of 2,,17-17,,
4:43.0,Offensive rebound by Team,,17-17,,
4:43.0,,,17-17,,K. Koufos enters the game for W. Cauley-Stein
4:43.0,B. Simmons makes free throw 2 of 2,1,18-17,,
4:28.0,,,18-17,,Turnover by B. Bogdanovic (bad pass; steal by B. Simmons)
4:25.0,B. Simmons makes 2-pt shot at rim,2,20-17,,
4:16.0,,,20-17,,K. Koufos misses 2-pt shot from 5 ft
4:14.0,,,20-17,,Offensive rebound by K. Koufos
4:14.0,Personal foul by R. Holmes (drawn by K. Koufos),,20-17,,
4:14.0,,,20-17,,B. Hield enters the game for G. Temple
4:14.0,D. Saric enters the game for B. Simmons,,20-17,,
4:14.0,J. Redick enters the game for R. Covington,,20-17,,
4:05.0,,,20-17,,B. Bogdanovic misses 3-pt shot from 24 ft
4:02.0,Defensive rebound by D. Saric,,20-17,,
3:46.0,D. Saric makes 2-pt shot from 2 ft (assist by J. Redick),2,22-17,,
3:36.0,,,22-17,,Sacramento full timeout
3:36.0,,,22-17,,D. Fox enters the game for G. Hill
3:36.0,,,22-17,,J. Jackson enters the game for B. Bogdanovic
3:36.0,J. Embiid enters the game for R. Holmes,,22-17,,
3:29.0,,,22-19,2,Z. Randolph makes 2-pt shot from 3 ft (assist by J. Jackson)
3:09.0,J. Embiid misses 2-pt shot from 1 ft,,22-19,,
3:06.0,,,22-19,,Defensive rebound by K. Koufos
2:52.0,,,22-19,,Z. Randolph misses 2-pt shot from 2 ft
2:45.0,,,22-19,,Offensive rebound by K. Koufos
2:45.0,,,22-21,2,K. Koufos makes 2-pt shot at rim
2:35.0,Shooting foul by K. Koufos (drawn by J. Embiid),,22-21,,
2:35.0,J. Embiid makes free throw 1 of 2,1,23-21,,
2:35.0,,,23-21,,S. Labissiere enters the game for Z. Randolph
2:35.0,J. Anderson enters the game for T. Luwawu-Cabarrot,,23-21,,
2:35.0,J. Embiid misses free throw 2 of 2,,23-21,,
2:32.0,,,23-21,,Defensive rebound by K. Koufos
2:25.0,,,23-24,3,J. Jackson makes 3-pt shot from 23 ft (assist by B. Hield)
2:09.0,J. Embiid misses 2-pt shot from 15 ft,,23-24,,
2:06.0,,,23-24,,Defensive rebound by K. Koufos
1:53.0,,,23-24,,B. Hield misses 2-pt shot from 22 ft
1:50.0,Defensive rebound by J. Embiid,,23-24,,
1:37.0,D. Saric misses 3-pt shot from 24 ft,,23-24,,
1:34.0,Offensive rebound by J. Anderson,,23-24,,
1:22.0,J. Redick misses 2-pt shot from 17 ft,,23-24,,
1:20.0,Offensive rebound by D. Saric,,23-24,,
1:15.0,Philadelphia full timeout,,23-24,,
1:12.0,J. Anderson misses 2-pt shot from 6 ft,,23-24,,
1:09.0,Offensive rebound by J. Anderson,,23-24,,
1:07.0,J. Redick misses 3-pt shot from 24 ft,,23-24,,
1:07.0,,,23-24,,Defensive rebound by K. Koufos
0:52.0,,,23-24,,B. Hield misses 2-pt shot from 4 ft
0:49.0,Defensive rebound by T. McConnell,,23-24,,
0:46.0,J. Redick makes 3-pt shot from 24 ft (assist by T. McConnell),3,26-24,,
0:41.0,,,26-24,,D. Fox misses 2-pt shot from 3 ft
0:38.0,Defensive rebound by J. Anderson,,26-24,,
0:29.0,J. Redick misses 3-pt shot from 23 ft,,26-24,,
0:25.0,,,26-24,,Defensive rebound by K. Koufos
0:23.0,,,26-26,2,J. Jackson makes 2-pt shot from 20 ft (assist by D. Fox)
0:03.0,J. Anderson misses 3-pt shot from 23 ft,,26-26,,
0:00.0,,,26-26,,Defensive rebound by B. Hield
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,26-26,,Shooting foul by B. Simmons (drawn by D. Fox)
11:51.0,,,26-26,,D. Fox misses free throw 1 of 2
11:51.0,,,26-26,,Offensive rebound by Team
11:51.0,,,26-27,1,D. Fox makes free throw 2 of 2
11:38.0,J. Embiid makes 2-pt shot from 8 ft,2,28-27,,
11:17.0,,,28-30,3,J. Jackson makes 3-pt shot from 23 ft (assist by K. Koufos)
11:06.0,J. Embiid misses 3-pt shot from 24 ft,,28-30,,
10:59.0,,,28-30,,Defensive rebound by B. Hield
10:56.0,,,28-32,2,B. Hield makes 2-pt shot from 15 ft
10:44.0,D. Saric misses 2-pt shot from 20 ft,,28-32,,
10:40.0,Offensive rebound by J. Anderson,,28-32,,
10:39.0,J. Anderson makes 3-pt shot from 23 ft (assist by T. Luwawu-Cabarrot),3,31-32,,
10:20.0,,,31-34,2,S. Labissiere makes 2-pt shot from 23 ft (assist by B. Hield)
10:14.0,Shooting foul by D. Fox (drawn by B. Simmons),,31-34,,
10:14.0,B. Simmons makes free throw 1 of 2,1,32-34,,
10:14.0,T. McConnell enters the game for D. Saric,,32-34,,
10:14.0,B. Simmons makes free throw 2 of 2,1,33-34,,
9:57.0,,,33-34,,S. Labissiere misses 2-pt shot from 11 ft
9:54.0,Defensive rebound by J. Anderson,,33-34,,
9:44.0,J. Anderson misses 2-pt shot from 3 ft (block by S. Labissiere),,33-34,,
9:44.0,,,33-34,,Turnover by S. Labissiere (bad pass; steal by J. Anderson)
9:40.0,,,33-34,,Offensive rebound by S. Labissiere
9:37.0,J. Embiid misses 2-pt shot from 13 ft,,33-34,,
9:30.0,,,33-34,,Defensive rebound by B. Hield
9:26.0,,,33-34,,S. Labissiere misses 2-pt shot from 19 ft
9:22.0,Defensive rebound by J. Embiid,,33-34,,
9:16.0,B. Simmons makes 2-pt shot from 7 ft,2,35-34,,
8:51.0,,,35-34,,J. Jackson misses 2-pt shot from 23 ft
8:51.0,Defensive rebound by J. Embiid,,35-34,,
8:42.0,Offensive charge foul by J. Embiid (drawn by B. Hield),,35-34,,
8:42.0,Turnover by J. Embiid (offensive foul),,35-34,,
8:42.0,R. Holmes enters the game for J. Anderson,,35-34,,
8:42.0,R. Covington enters the game for J. Embiid,,35-34,,
8:29.0,,,35-34,,J. Jackson misses 2-pt shot from 6 ft
8:25.0,,,35-34,,Offensive rebound by S. Labissiere
8:20.0,,,35-37,3,B. Hield makes 3-pt shot from 25 ft (assist by D. Fox)
8:12.0,R. Covington makes 3-pt shot from 25 ft (assist by R. Holmes),3,38-37,,
8:12.0,Shooting foul by S. Labissiere (drawn by R. Covington),,38-37,,
8:12.0,R. Covington misses free throw 1 of 1,,38-37,,
8:08.0,,,38-37,,Defensive rebound by K. Koufos
7:58.0,,,38-39,2,K. Koufos makes 2-pt shot from 12 ft (assist by D. Fox)
7:46.0,R. Covington makes 3-pt shot from 25 ft,3,41-39,,
7:46.0,Shooting foul by S. Labissiere (drawn by R. Covington),,41-39,,
7:46.0,,,41-39,,M. Richardson enters the game for S. Labissiere
7:46.0,J. Redick enters the game for T. Luwawu-Cabarrot,,41-39,,
7:46.0,R. Covington makes free throw 1 of 1,1,42-39,,
7:36.0,,,42-41,2,D. Fox makes 2-pt shot from 19 ft (assist by K. Koufos)
7:22.0,R. Holmes misses 2-pt shot from 8 ft,,42-41,,
7:22.0,,,42-41,,Defensive rebound by D. Fox
7:15.0,,,42-44,3,M. Richardson makes 3-pt shot from 25 ft (assist by J. Jackson)
7:13.0,Philadelphia full timeout,,42-44,,
6:57.0,J. Redick makes 2-pt shot from 2 ft (assist by T. McConnell),2,44-44,,
6:46.0,,,44-44,,Turnover by D. Fox (bad pass; steal by T. McConnell)
6:43.0,Turnover by T. McConnell (step out of bounds),,44-44,,
6:20.0,,,44-47,3,M. Richardson makes 3-pt shot from 25 ft (assist by B. Hield)
6:10.0,Offensive charge foul by B. Simmons (drawn by J. Jackson),,44-47,,
6:10.0,Turnover by B. Simmons (offensive foul),,44-47,,
6:10.0,D. Saric enters the game for B. Simmons,,44-47,,
5:56.0,,,44-47,,B. Hield misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by D. Saric,,44-47,,
5:50.0,J. Redick makes 3-pt shot from 24 ft (assist by T. McConnell),2,47-47,,
5:35.0,,,47-49,2,M. Richardson makes 2-pt shot from 21 ft (assist by K. Koufos)
5:27.0,R. Covington misses 2-pt shot from 5 ft,,47-49,,
5:22.0,,,47-49,,Defensive rebound by M. Richardson
5:17.0,,,47-51,2,K. Koufos makes 2-pt shot from 2 ft (assist by B. Hield)
5:08.0,J. Redick makes 2-pt shot from 20 ft,2,49-51,,
5:00.0,,,49-51,,J. Jackson misses 2-pt shot from 4 ft
5:00.0,Defensive rebound by T. McConnell,,49-51,,
4:43.0,T. McConnell misses 2-pt shot from 3 ft,,49-51,,
4:43.0,,,49-51,,Defensive rebound by K. Koufos
4:37.0,,,49-54,3,B. Hield makes 3-pt shot from 25 ft (assist by D. Fox)
4:18.0,J. Redick makes 2-pt shot from 14 ft,2,51-54,,
3:59.0,Personal foul by R. Holmes (drawn by K. Koufos),,51-54,,
3:59.0,,,51-54,,G. Hill enters the game for B. Hield
3:59.0,,,51-54,,Z. Randolph enters the game for K. Koufos
3:59.0,J. Embiid enters the game for R. Holmes,,51-54,,
3:47.0,,,51-54,,D. Fox misses 3-pt shot from 24 ft
3:44.0,Defensive rebound by J. Redick,,51-54,,
3:32.0,J. Embiid misses 2-pt shot from 4 ft,,51-54,,
3:28.0,Offensive rebound by J. Embiid,,51-54,,
3:28.0,J. Embiid makes 2-pt shot from 2 ft,2,53-54,,
3:08.0,,,53-54,,Sacramento full timeout
3:08.0,,,53-54,,B. Bogdanovic enters the game for D. Fox
3:08.0,,,53-54,,G. Temple enters the game for M. Richardson
3:08.0,,,53-54,,W. Cauley-Stein enters the game for J. Jackson
3:07.0,,,53-54,,G. Hill misses 2-pt shot from 7 ft (block by R. Covington)
3:07.0,,,53-54,,Offensive rebound by Team
3:04.0,,,53-54,,W. Cauley-Stein misses 2-pt shot from 14 ft
3:00.0,Defensive rebound by T. McConnell,,53-54,,
2:56.0,R. Covington misses 3-pt shot from 25 ft,,53-54,,
2:53.0,,,53-54,,Defensive rebound by G. Temple
2:50.0,,,53-54,,B. Bogdanovic misses 2-pt shot from 2 ft (block by R. Covington)
2:50.0,,,53-54,,Offensive rebound by B. Bogdanovic
2:46.0,,,53-56,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by B. Bogdanovic)
2:46.0,,,53-56,,Shooting foul by D. Saric (drawn by W. Cauley-Stein)
2:46.0,,,53-57,1,W. Cauley-Stein makes free throw 1 of 1
2:30.0,D. Saric misses 3-pt shot from 24 ft,,53-57,,
2:27.0,,,53-57,,Defensive rebound by B. Bogdanovic
2:15.0,,,53-57,,Shooting foul by D. Saric (drawn by Z. Randolph)
2:15.0,,,53-57,,Z. Randolph misses free throw 1 of 2
2:15.0,,,53-57,,Offensive rebound by Team
2:15.0,,,53-57,,Z. Randolph misses free throw 2 of 2
2:12.0,Defensive rebound by D. Saric,,53-57,,
2:04.0,J. Redick misses 2-pt shot from 22 ft,,53-57,,
2:01.0,,,53-57,,Defensive rebound by Z. Randolph
1:57.0,,,53-60,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by G. Temple)
1:29.0,J. Embiid misses 2-pt shot from 9 ft,,53-60,,
1:26.0,,,53-60,,Defensive rebound by G. Hill
1:22.0,Personal foul by T. McConnell (drawn by G. Hill),,53-60,,
1:22.0,,,53-61,1,G. Hill makes free throw 1 of 2
1:22.0,,,53-62,1,G. Hill makes free throw 2 of 2
1:04.0,R. Covington makes 2-pt shot from 2 ft (assist by D. Saric),2,55-62,,
0:53.0,,,55-62,,Shooting foul by R. Covington (drawn by G. Hill)
0:53.0,,,55-62,,G. Hill misses free throw 1 of 2
0:53.0,,,55-62,,Offensive rebound by Team
0:53.0,,,55-62,,G. Hill misses free throw 2 of 2
0:50.0,Defensive rebound by J. Embiid,,55-62,,
0:36.0,R. Covington misses 2-pt shot from 11 ft (block by B. Bogdanovic),,55-62,,
0:33.0,Offensive rebound by R. Covington,,55-62,,
0:31.0,J. Embiid makes 2-pt shot from 5 ft (assist by T. McConnell),2,57-62,,
0:23.0,,,57-64,2,W. Cauley-Stein makes 2-pt shot from 6 ft (assist by Z. Randolph)
0:05.0,,,57-64,,Personal foul by G. Hill (drawn by J. Embiid)
0:05.0,,,57-64,,M. Richardson enters the game for W. Cauley-Stein
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,57-64,,Offensive charge foul by Z. Randolph (drawn by J. Redick)
11:48.0,,,57-64,,Turnover by Z. Randolph (offensive foul)
11:35.0,B. Simmons makes 2-pt shot from 13 ft (assist by J. Embiid),2,59-64,,
11:18.0,,,59-64,,W. Cauley-Stein misses 2-pt shot from 17 ft
11:18.0,Defensive rebound by J. Redick,,59-64,,
11:11.0,R. Covington misses 3-pt shot from 24 ft,,59-64,,
11:06.0,,,59-64,,Defensive rebound by G. Hill
11:04.0,,,59-64,,G. Hill misses 3-pt shot from 24 ft
11:01.0,Defensive rebound by D. Saric,,59-64,,
10:54.0,Turnover by R. Covington (step out of bounds),,59-64,,
10:43.0,Personal foul by B. Simmons (drawn by Z. Randolph),,59-64,,
10:43.0,T. McConnell enters the game for B. Simmons,,59-64,,
10:35.0,,,59-67,3,Z. Randolph makes 3-pt shot from 24 ft (assist by G. Hill)
10:19.0,D. Saric makes 3-pt shot from 25 ft (assist by T. McConnell),3,62-67,,
10:03.0,,,62-67,,B. Bogdanovic misses 2-pt shot from 19 ft
9:59.0,Defensive rebound by J. Embiid,,62-67,,
9:52.0,Turnover by J. Embiid (lost ball; steal by G. Temple),,62-67,,
9:49.0,,,62-67,,Shooting foul by T. McConnell (drawn by G. Temple)
9:49.0,,,62-67,,G. Temple misses free throw 1 of 2
9:49.0,,,62-67,,Offensive rebound by Team
9:49.0,,,62-68,1,G. Temple makes free throw 2 of 2
9:32.0,J. Embiid misses 2-pt shot from 8 ft,,62-68,,
9:29.0,,,62-68,,Defensive rebound by W. Cauley-Stein
9:17.0,Personal foul by R. Covington (drawn by B. Bogdanovic),,62-68,,
9:10.0,,,62-68,,W. Cauley-Stein misses 2-pt shot from 7 ft (block by J. Embiid)
9:04.0,Defensive rebound by T. McConnell,,62-68,,
8:59.0,Turnover by T. McConnell (bad pass; steal by Z. Randolph),,62-68,,
8:40.0,,,62-68,,Z. Randolph misses 2-pt shot from 2 ft
8:35.0,,,62-68,,Offensive rebound by Z. Randolph
8:35.0,,,62-70,2,Z. Randolph makes 2-pt shot at rim
8:28.0,J. Redick misses 2-pt shot from 20 ft,,62-70,,
8:24.0,Offensive rebound by R. Covington,,62-70,,
8:17.0,D. Saric makes 3-pt shot from 24 ft (assist by J. Redick),3,65-70,,
8:02.0,,,65-70,,G. Temple misses 3-pt shot from 23 ft
7:59.0,Defensive rebound by R. Covington,,65-70,,
7:47.0,J. Embiid makes 3-pt shot from 25 ft (assist by J. Redick),3,68-70,,
7:23.0,,,68-70,,B. Bogdanovic misses 3-pt shot from 25 ft
7:20.0,Defensive rebound by D. Saric,,68-70,,
7:04.0,D. Saric misses 2-pt shot from 1 ft,,68-70,,
7:01.0,,,68-70,,Defensive rebound by W. Cauley-Stein
6:55.0,,,68-72,2,Z. Randolph makes 2-pt shot from 1 ft (assist by W. Cauley-Stein)
6:35.0,R. Covington makes 3-pt shot from 25 ft (assist by D. Saric),3,71-72,,
6:27.0,,,71-72,,Sacramento full timeout
6:27.0,J. Anderson enters the game for D. Saric,,71-72,,
6:27.0,A. Johnson enters the game for J. Redick,,71-72,,
6:27.0,T. Luwawu-Cabarrot enters the game for J. Embiid,,71-72,,
6:20.0,,,71-72,,Turnover by B. Bogdanovic (out of bounds lost ball)
6:09.0,T. McConnell makes 2-pt shot from 4 ft,2,73-72,,
5:45.0,,,73-75,3,G. Temple makes 3-pt shot from 24 ft (assist by G. Hill)
5:32.0,T. McConnell misses 2-pt shot from 2 ft,,73-75,,
5:30.0,,,73-75,,Defensive rebound by Z. Randolph
5:24.0,,,73-75,,G. Temple misses 3-pt shot from 24 ft
5:20.0,Defensive rebound by J. Anderson,,73-75,,
5:06.0,Turnover by J. Anderson (out of bounds lost ball),,73-75,,
5:06.0,,,73-75,,D. Fox enters the game for W. Cauley-Stein
5:06.0,,,73-75,,J. Jackson enters the game for G. Hill
4:54.0,,,73-75,,Z. Randolph misses 2-pt shot from 19 ft
4:48.0,,,73-75,,Offensive rebound by D. Fox
4:48.0,,,73-77,2,D. Fox makes 2-pt shot at rim
4:36.0,Turnover by T. Luwawu-Cabarrot (turnover),,73-77,,
4:36.0,D. Saric enters the game for R. Covington,,73-77,,
4:24.0,,,73-77,,Turnover by Z. Randolph (lost ball; steal by A. Johnson)
4:21.0,Shooting foul by G. Temple (drawn by T. Luwawu-Cabarrot),,73-77,,
4:21.0,T. Luwawu-Cabarrot misses free throw 1 of 2,,73-77,,
4:21.0,Offensive rebound by Team,,73-77,,
4:21.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,74-77,,
4:05.0,,,74-77,,G. Temple misses 2-pt shot from 2 ft
4:02.0,Defensive rebound by J. Anderson,,74-77,,
3:56.0,J. Anderson misses 3-pt shot from 25 ft,,74-77,,
3:53.0,,,74-77,,Defensive rebound by Z. Randolph
3:40.0,,,74-79,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by Z. Randolph)
3:26.0,Shooting foul by J. Jackson (drawn by D. Saric),,74-79,,
3:26.0,D. Saric misses free throw 1 of 2,,74-79,,
3:26.0,Offensive rebound by Team,,74-79,,
3:26.0,,,74-79,,B. Hield enters the game for G. Temple
3:26.0,,,74-79,,K. Koufos enters the game for Z. Randolph
3:26.0,J. Embiid enters the game for A. Johnson,,74-79,,
3:26.0,J. Redick enters the game for T. Luwawu-Cabarrot,,74-79,,
3:26.0,D. Saric misses free throw 2 of 2,,74-79,,
3:23.0,,,74-79,,Defensive rebound by K. Koufos
3:19.0,,,74-82,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by D. Fox)
3:08.0,J. Redick misses 3-pt shot from 26 ft,,74-82,,
3:04.0,Offensive rebound by T. McConnell,,74-82,,
3:02.0,J. Redick makes 2-pt shot from 12 ft,2,76-82,,
2:49.0,,,76-82,,D. Fox misses 2-pt shot from 7 ft
2:47.0,Defensive rebound by D. Saric,,76-82,,
2:35.0,Offensive charge foul by J. Embiid (drawn by K. Koufos),,76-82,,
2:35.0,Turnover by J. Embiid (offensive foul),,76-82,,
2:35.0,,,76-82,,Sacramento full timeout
2:19.0,,,76-84,2,K. Koufos makes 2-pt shot from 3 ft (assist by B. Bogdanovic)
2:05.0,J. Embiid misses 2-pt shot from 4 ft,,76-84,,
2:00.0,Offensive rebound by J. Anderson,,76-84,,
2:00.0,J. Anderson misses 2-pt shot at rim,,76-84,,
1:58.0,,,76-84,,Defensive rebound by K. Koufos
1:47.0,,,76-84,,Turnover by J. Jackson (traveling)
1:34.0,J. Redick misses 3-pt shot from 25 ft,,76-84,,
1:31.0,Offensive rebound by J. Anderson,,76-84,,
1:31.0,J. Anderson misses 2-pt shot at rim,,76-84,,
1:31.0,Offensive rebound by J. Embiid,,76-84,,
1:31.0,Shooting foul by K. Koufos (drawn by J. Embiid),,76-84,,
1:31.0,J. Embiid makes free throw 1 of 2,1,77-84,,
1:31.0,J. Embiid makes free throw 2 of 2,1,78-84,,
1:15.0,Personal foul by T. McConnell (drawn by D. Fox),,78-84,,
1:03.0,,,78-84,,J. Jackson misses 3-pt shot from 24 ft
0:59.0,Defensive rebound by J. Embiid,,78-84,,
0:53.0,Philadelphia full timeout,,78-84,,
0:53.0,,,78-84,,G. Temple enters the game for B. Bogdanovic
0:40.0,J. Anderson makes 3-pt shot from 25 ft (assist by T. McConnell),3,81-84,,
0:25.0,,,81-84,,D. Fox misses 3-pt shot from 23 ft
0:23.0,Defensive rebound by J. Redick,,81-84,,
0:03.0,Turnover by J. Embiid (bad pass; steal by B. Hield),,81-84,,
0:00.0,,,81-84,,B. Hield misses 2-pt shot from 4 ft
0:00.0,,,81-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,J. Embiid makes 2-pt shot from 7 ft,2,83-84,,
11:38.0,Shooting foul by K. Koufos (drawn by J. Embiid),,83-84,,
11:38.0,J. Embiid makes free throw 1 of 1,1,84-84,,
11:25.0,,,84-84,,B. Hield misses 2-pt shot from 11 ft
11:25.0,Defensive rebound by J. Embiid,,84-84,,
11:17.0,T. Luwawu-Cabarrot makes 3-pt shot from 24 ft (assist by B. Simmons),3,87-84,,
10:59.0,,,87-86,2,J. Jackson makes 2-pt shot from 11 ft
10:45.0,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft,,87-86,,
10:41.0,,,87-86,,Defensive rebound by K. Koufos
10:37.0,Personal foul by J. Anderson (drawn by D. Fox),,87-86,,
10:32.0,,,87-86,,B. Hield misses 2-pt shot from 17 ft
10:29.0,Defensive rebound by J. Embiid,,87-86,,
10:23.0,Shooting foul by S. Labissiere (drawn by B. Simmons),,87-86,,
10:23.0,B. Simmons misses free throw 1 of 2,,87-86,,
10:23.0,Offensive rebound by Team,,87-86,,
10:23.0,B. Simmons makes free throw 2 of 2,1,88-86,,
10:04.0,,,88-86,,S. Labissiere misses 2-pt shot from 7 ft
9:59.0,Defensive rebound by R. Covington,,88-86,,
9:49.0,R. Covington misses 2-pt shot from 3 ft (block by K. Koufos),,88-86,,
9:48.0,,,88-86,,Defensive rebound by S. Labissiere
9:48.0,Personal foul by T. Luwawu-Cabarrot (drawn by B. Hield),,88-86,,
9:48.0,A. Johnson enters the game for J. Embiid,,88-86,,
9:38.0,,,88-88,2,J. Jackson makes 2-pt shot from 10 ft
9:29.0,,,88-88,,Personal foul by K. Koufos (drawn by B. Simmons)
9:21.0,,,88-88,,Personal foul by S. Labissiere (drawn by B. Simmons)
9:13.0,J. Anderson misses 3-pt shot from 22 ft,,88-88,,
9:09.0,,,88-88,,Defensive rebound by B. Hield
9:05.0,Personal foul by T. Luwawu-Cabarrot (drawn by D. Fox),,88-88,,
8:59.0,,,88-88,,B. Hield misses 3-pt shot from 24 ft
8:59.0,Jump ball: S. Labissiere vs. J. Anderson (T. Luwawu-Cabarrot gains possession),,,,Jump ball: S. Labissiere vs. J. Anderson (T. Luwawu-Cabarrot gains possession)
8:59.0,Defensive rebound by J. Anderson,,88-88,,
8:37.0,A. Johnson makes 2-pt shot from 7 ft (assist by B. Simmons),2,90-88,,
8:29.0,,,90-88,,D. Fox misses 2-pt shot from 21 ft
8:29.0,Defensive rebound by R. Covington,,90-88,,
8:24.0,T. Luwawu-Cabarrot misses 2-pt shot from 3 ft,,90-88,,
8:24.0,,,90-88,,Defensive rebound by S. Labissiere
8:18.0,,,90-88,,M. Richardson enters the game for S. Labissiere
